'day	d a j
agwalbuhay	ʔ a ɡ w a l b u h a j
agwamadre	ʔ a ɡ w a m a d ɾ e
agwamarina	ʔ a ɡ w a m a ɾ i n a
agwamiyel	ʔ a ɡ w a m i e l
agwamyel	ʔ a ɡ w a m j e l
agwanta	ʔ a ɡ w a n t a
agwaras	ʔ a ɡ w a ɾ a s
agwardiyente	ʔ a ɡ w a ɾ d i e n t e
agwardyente	ʔ a ɡ w a ɾ d j e n t e
agwareya	ʔ a ɡ w a ɾ e a
agwarosas	ʔ a ɡ w a ɾ o s a s
agwas	ʔ a ɡ w a s
agwasa	ʔ a ɡ w a s a
agwasero	ʔ a ɡ w a s e ɾ o
agwasil	ʔ a ɡ w a s i l
agwaspotable	ʔ a ɡ w a s p o t a b l e
agwat	ʔ a ɡ w a t
agwatiyempo	ʔ a ɡ w a t i e m p o
agwatyempo	ʔ a ɡ w a t j e m p o
agwela	ʔ a ɡ w e l a
agwelo	ʔ a ɡ w e l o
agwero	ʔ a ɡ w e ɾ o
agwika	ʔ a ɡ w i k a ʔ
agyot	ʔ a ɡ j o t
aha	ʔ a h a
ahang	ʔ a h a ŋ
ahas	ʔ a h a s
ahedres	ʔ a h e d ɾ e s
ahedresan	ʔ a h e d ɾ e s a n
ahedresista	ʔ a h e d ɾ e s i s t a
ahedrista	ʔ a h e d ɾ i s t a
ahenda	ʔ a h e n d a
ahengho	ʔ a h e ŋ h o
ahenho	ʔ a h e n h o
ahensiya	ʔ a h e n s i a
ahensya	ʔ a h e n s j a
ahente	ʔ a h e n t e
ahete	ʔ a h e t e
ahilidad	ʔ a h i l i d a d
ahin	ʔ a h i n
ahit	ʔ a h i t
ahitador	ʔ a h i t a d o ɾ
ahitasyon	ʔ a h i t a s j o n
ahitin	ʔ a h i t i n
ahito	ʔ a h i t o
ahituhin	ʔ a h i t u h i n
ahiya	ʔ a h i a
aho	ʔ a h o
ahon	ʔ a h o n
ahonholi	ʔ a h o n h o l i
ahoro	ʔ a h o ɾ o
ahos	ʔ a h o s
ahunin	ʔ a h u n i n
ahustado	ʔ a h u s t a d o
ahustador	ʔ a h u s t a d o ɾ
ahuste	ʔ a h u s t e
aibutod	ʔ a ʔ i b u t o d
aikido	ʔ a j k i d o
aising	ʔ a j s i ŋ
aisla	ʔ a j s l a
aislado	ʔ a j s l a d o
aislador	ʔ a j s l a d o ɾ
aislamyento	ʔ a j s l a m j e n t o
aka	ʔ a k a
akademika	ʔ a k a d e m i k a
akademiko	ʔ a k a d e m i k o
akademisyan	ʔ a k a d e m i s j a n
akademiya	ʔ a k a d e m i a
akademya	ʔ a k a d e m j a
akala	ʔ a k a l a ʔ
akantilado	ʔ a k a n t i l a d o
akap	ʔ a k a p
akapara	ʔ a k a p a ɾ a
akaparado	ʔ a k a p a ɾ a d o
akaparador	ʔ a k a p a ɾ a d o ɾ
akapulko	ʔ a k a p u l k o
akarolohiya	ʔ a k a ɾ o l o h i a
akasiya	ʔ a k a s i a
akasya	ʔ a k a s j a
akata	ʔ a k a t a
akatorse	ʔ a k a t o ɾ s e
akaunt	ʔ a k a w n t
akauntan	ʔ a k a w n t a n
akauntant	ʔ a k a w n t a n t
akaunting	ʔ a k a w n t i ŋ
akawnt	ʔ a k a w n t
akawntabilidad	ʔ a k a w n t a b i l i d a d
akawntan	ʔ a k a w n t a n
akawntant	ʔ a k a w n t a n t
akawnting	ʔ a k a w n t i ŋ
akay	ʔ a k a j
akayin	ʔ a k a j i n
akba	ʔ a k b a
akbar	ʔ a k b a ɾ
akbay	ʔ a k b a j
akda	ʔ a k d a ʔ
akibat	ʔ a k i b a t
akiko	ʔ a k i k o
akin	ʔ a k e n
akina	ʔ a k i n a
akinse	ʔ a k i n s e
akit	ʔ a k i t
aklaha	ʔ a k l a h a
aklama	ʔ a k l a m a
aklamado	ʔ a k l a m a d o
aklamasyon	ʔ a k l a m a s j o n
aklan	ʔ a k l a n
aklas	ʔ a k l a s
aklat	ʔ a k l a t
aklatan	ʔ a k l a t a n
akle	ʔ a k l e
akli	ʔ a k l i
aklimasyon	ʔ a k l i m a s j o n
aklimata	ʔ a k l i m a t a
aklimatado	ʔ a k l i m a t a d o
aklimatasyon	ʔ a k l i m a t a s j o n
aklimatisasyon	ʔ a k l i m a t i s a s j o n
akma	ʔ a k m a
akme	ʔ a k m e
akne	ʔ a k n e
ako	ʔ a k o
akolada	ʔ a k o l a d a
akolito	ʔ a k o l i t o
akom	ʔ a k o m
akomodador	ʔ a k o m o d a d o ɾ
akomodasyon	ʔ a k o m o d a s j o n
akompanimento	ʔ a k o m p a n i m e n t o
akompanimyento	ʔ a k o m p a n i m j e n t o
akompanista	ʔ a k o m p a n i s t a
akompaniya	ʔ a k o m p a n i a
akompaniyamiyento	ʔ a k o m p a n i a m i e n t o
akompaniyante	ʔ a k o m p a n i a n t e
akompaniyente	ʔ a k o m p a n i e n t e
akompanya	ʔ a k o m p a n j a
akompanyador	ʔ a k o m p a n j a d o ɾ
akompanyamento	ʔ a k o m p a n j a m e n t o
akompanyamiento	ʔ a k o m p a n j a m j e n t o
akompanyamiyento	ʔ a k o m p a n j a m i e n t o
akompanyamyento	ʔ a k o m p a n j a m j e n t o
akompanyante	ʔ a k o m p a n j a n t e
akompanyente	ʔ a k o m p a n j e n t e
akonito	ʔ a k o n i t o
akontabilidad	ʔ a k o n t a b i l i d a d
akorasado	ʔ a k o ɾ a s a d o
akordada	ʔ a k o ɾ d a d a
akorde	ʔ a k o ɾ d e
akordeon	ʔ a k o ɾ d e o n
akordeonista	ʔ a k o ɾ d e o n i s t a
akordiyon	ʔ a k o ɾ d i o n
akordiyonista	ʔ a k o ɾ d i o n i s t a
akordyon	ʔ a k o ɾ d j o n
akordyonista	ʔ a k o ɾ d j o n i s t a
akoro	ʔ a k o ɾ o
akostumbrado	ʔ a k o s t u m b ɾ a d o
akotasyon	ʔ a k o t a s j o n
akre	ʔ a k ɾ e
akredita	ʔ a k ɾ e d i t a
akreditado	ʔ a k ɾ e d i t a d o
akreditasyon	ʔ a k ɾ e d i t a s j o n
akreedor	ʔ a k ɾ e e d o ɾ
akriliko	ʔ a k ɾ i l i k o
akrobasiya	ʔ a k ɾ o b a s i a
akrobasya	ʔ a k ɾ o b a s j a
akrobat	ʔ a k ɾ o b a t
akrobata	ʔ a k ɾ o b a t a
akrobatika	ʔ a k ɾ o b a t i k a
akrobatiko	ʔ a k ɾ o b a t i k o
akromatiko	ʔ a k ɾ o m a t i k o
akromatisa	ʔ a k ɾ o m a t i s a
akromatismo	ʔ a k ɾ o m a t i s m o
akromegalya	ʔ a k ɾ o m e ɡ a l j a
akronim	ʔ a k ɾ o n i m
akronimo	ʔ a k ɾ o n i m o
akropobya	ʔ a k ɾ o p o b j a
akropolis	ʔ a k ɾ o p o l i s
akrostik	ʔ a k ɾ o s t i k
akrostiko	ʔ a k ɾ o s t i k o
aksaya	ʔ a k s a j a
aksayado	ʔ a k s a j a d o
akselerador	ʔ a k s e l e ɾ a d o ɾ
akselerasyon	ʔ a k s e l e ɾ a s j o n
aksento	ʔ a k s e n t o
aksentuhan	ʔ a k s e n t u h a n
aksentuwado	ʔ a k s e n t u a d o
aksentuwasyon	ʔ a k s e n t u a s j o n
aksentwado	ʔ a k s e n t w a d o
aksentwasyon	ʔ a k s e n t w a s j o n
akseptable	ʔ a k s e p t a b l e
akseptado	ʔ a k s e p t a d o
akses	ʔ a k s e s
aksesibilidad	ʔ a k s e s i b i l i d a d
aksesible	ʔ a k s e s i b l e
aksesit	ʔ a k s e s i t
akseso	ʔ a k s e s o
aksesoriya	ʔ a k s e s o ɾ i a
aksesorya	ʔ a k s e s o ɾ j a
aksesoryo	ʔ a k s e s o ɾ j o
aksibad	ʔ a k s i b a d
aksibal	ʔ a k s i b a l
aksidental	ʔ a k s i d e n t a l
aksidente	ʔ a k s i d e n t e
aksido	ʔ a k s i d o
aksis	ʔ a k s i s
aksiyom	ʔ a k s i o m
aksiyon	ʔ a k s i o n
aksiyonista	ʔ a k s i o n i s t a
aksiyuli	ʔ a k s i u l i
aksiyunan	ʔ a k s i u n a n
aksiyunista	ʔ a k s i u n i s t a
aksyom	ʔ a k s j o m
aksyon	ʔ a k s j o n
aksyonista	ʔ a k s j o n i s t a
aksyunan	ʔ a k s j u n a n
aksyunista	ʔ a k s j u n i s t a
akta	ʔ a k t a
aktiba	ʔ a k t i b a
aktibado	ʔ a k t i b a d o
aktibasyon	ʔ a k t i b a s j o n
aktibidad	ʔ a k t i b i d a d
aktibidades	ʔ a k t i b i d a d e s
aktibismo	ʔ a k t i b i s m o
aktibista	ʔ a k t i b i s t a
aktibo	ʔ a k t i b o
akting	ʔ a k t i ŋ
aktingan	ʔ a k t i ŋ a n
aktinyum	ʔ a k t i n j u m
aktitud	ʔ a k t i t u d
akto	ʔ a k t o
aktor	ʔ a k t o ɾ
aktres	ʔ a k t ɾ e s
aktris	ʔ a k t ɾ i s
aktuwal	ʔ a k t u a l
aktuwali	ʔ a k t u a l i
aktuwalidad	ʔ a k t u a l i d a d
aktuwaryo	ʔ a k t u a ɾ j o
aktuwasyon	ʔ a k t u a s j o n
aktwal	ʔ a k t w a l
aktwalidad	ʔ a k t w a l i d a d
aktwaryo	ʔ a k t w a ɾ j o
aktwasyon	ʔ a k t w a s j o n
akuin	ʔ a k u ʔ i n
akulturasyon	ʔ a k u l t u ɾ a s j o n
akumen	ʔ a k u m e n
akumpanya	ʔ a k u m p a n j a
akumula	ʔ a k u m u l a
akumulado	ʔ a k u m u l a d o
akumulador	ʔ a k u m u l a d o ɾ
akumulasyon	ʔ a k u m u l a s j o n
akumulatibo	ʔ a k u m u l a t i b o
akunyador	ʔ a k u n j a d o ɾ
akurdiyon	ʔ a k u ɾ d i o n
akurdiyonista	ʔ a k u ɾ d i o n i s t a
akurdyon	ʔ a k u ɾ d j o n
akurdyonista	ʔ a k u ɾ d j o n i s t a
akusa	ʔ a k u s a
akusado	ʔ a k u s a d o
akusador	ʔ a k u s a d o ɾ
akusasiyon	ʔ a k u s a s i o n
akusasyon	ʔ a k u s a s j o n
akusatibo	ʔ a k u s a t i b o
akustika	ʔ a k u s t i k a
akustiko	ʔ a k u s t i k o
akustiks	ʔ a k u s t i k s
akustumbrado	ʔ a k u s t u m b ɾ a d o
akuwariyum	ʔ a k u a ɾ i u m
akuwatro	ʔ a k u a t ɾ o
akwadukto	ʔ a k w a d u k t o
akwakultura	ʔ a k w a k u l t u ɾ a
akwarela	ʔ a k w a ɾ e l a
akwarelista	ʔ a k w a ɾ e l i s t a
akwaryo	ʔ a k w a ɾ j o
akwaryum	ʔ a k w a ɾ j u m
akwatika	ʔ a k w a t i k a
akwatiko	ʔ a k w a t i k o
akwatro	ʔ a k w a t ɾ o
akwedukto	ʔ a k w e d u k t o
akwerdo	ʔ a k w e ɾ d o
akwisisyon	ʔ a k w i s i s j o n
akwosidad	ʔ a k w o s i d a d
akwoso	ʔ a k w o s o
akyat	ʔ a k j a t
akyatan	ʔ a k j a t a n
akyatin	ʔ a k j a t i n
al	ʔ a l
ala	ʔ a l a
alaala	ʔ a l a ʔ a l a
alab	ʔ a l a b
alabado	ʔ a l a b a d o
alabama	ʔ a l a b a m a
alabang	ʔ a l a b a ŋ
alabansa	ʔ a l a b a n s a
alabastro	ʔ a l a b a s t ɾ o
alabat	ʔ a l a b a t
alabok	ʔ a l a b o k
alabrilyo	ʔ a l a b ɾ i l j o
alabwab	ʔ a l a b w a b
alabyu	ʔ a l a b j u
alado	ʔ a l a d o
alaga	ʔ a l a ɡ a ʔ
alagad	ʔ a l a ɡ a d
alagaw	ʔ a l a ɡ a w
alagdan	ʔ a l a ɡ d a n
alaguwa	ʔ a l a ɡ u a
alagwa	ʔ a l a ɡ w a
alahado	ʔ a l a h a d o
alahas	ʔ a l a h a s
alahasan	ʔ a l a h a s a n
alahera	ʔ a l a h e ɾ a
alaheriya	ʔ a l a h e ɾ i a
alahero	ʔ a l a h e ɾ o
alaherya	ʔ a l a h e ɾ j a
alahibe	ʔ a l a h i b e
alahibi	ʔ a l a h i b i
alahilyos	ʔ a l a h i l j o s
alahoy	ʔ a l a h o j
alahuy	ʔ a l a h u j
alak	ʔ a l a k
alakalakan	ʔ a l a k a l a k a n
alakdan	ʔ a l a k d a n
alakeka	ʔ a l a k e k a
alakibot	ʔ a l a k i b o t
alakos	ʔ a l a k o s
alakran	ʔ a l a k ɾ a n
alaktiya	ʔ a l a k t i a ʔ
alala	ʔ a l a l a
alalago	ʔ a l a l a ɡ o
alalahanin	ʔ a l a l a h a n i n
alalawa	ʔ a l a l a w a ʔ
alalay	ʔ a l a l a j
alalayan	ʔ a l a l a j a n
alam	ʔ a l a m
alamada	ʔ a l a m a d a
alaman	ʔ a l a m a n
alamang	ʔ a l a m a ŋ
alamat	ʔ a l a m a t
alambike	ʔ a l a m b i k e
alambrada	ʔ a l a m b ɾ a d a
alambre	ʔ a l a m b ɾ e
alambrera	ʔ a l a m b ɾ e ɾ a
alambrilyo	ʔ a l a m b ɾ i l j o
alamid	ʔ a l a m i d
alamin	ʔ a l a m i n
alaminos	ʔ a l a m i n o s
alamo	ʔ a l a m o
alampay	ʔ a l a m p a j
alan	ʔ a l a n
alandahaw	ʔ a l a n d a h a w
alangaang	ʔ a l a ŋ a ʔ a ŋ
alangan	ʔ a l a ŋ a n
alanganin	ʔ a l a ŋ a n i n
alangilan	ʔ a l a ŋ i l a n
alap	ʔ a l a p
alapaap	ʔ a l a p a ʔ a p
alapap	ʔ a l a p a p
alapaw	ʔ a l a p a w
alarakas	ʔ a l a ɾ a k a s
alarcon	ʔ a l a ɾ k o n
alarma	ʔ a l a ɾ m a
alarmado	ʔ a l a ɾ m a d o
alarmista	ʔ a l a ɾ m i s t a
alas	ʔ a l a s
alasan	ʔ a l a s a n
alaska	ʔ a l a s k a
alaskador	ʔ a l a s k a d o ɾ
alaskadora	ʔ a l a s k a d o ɾ a
alasuwerte	ʔ a l a s u e ɾ t e
alaswerte	ʔ a l a s w e ɾ t e
alat	ʔ a l a t
alatiit	ʔ a l a t i ʔ i t
alatowat	ʔ a l a t o a t
alatuat	ʔ a l a t u ʔ a t
alatuwat	ʔ a l a t u a t
alatwat	ʔ a l a t w a t
alawans	ʔ a l a w a n s
alaws	ʔ a l a w s
alay	ʔ a l a j
alayan	ʔ a l a j a n
alba	ʔ a l b a
albahaka	ʔ a l b a h a k a
albakora	ʔ a l b a k o ɾ a
albakura	ʔ a l b a k u ɾ a
albanaka	ʔ a l b a n a k a
albanes	ʔ a l b a n e s
albanesa	ʔ a l b a n e s a
albano	ʔ a l b a n o
albanya	ʔ a l b a n j a
albardilya	ʔ a l b a ɾ d i l j a
albarikoke	ʔ a l b a ɾ i k o k e
albasea	ʔ a l b a s e a
albaseya	ʔ a l b a s e a
albatros	ʔ a l b a t ɾ o s
albay	ʔ a l b a j
albayalde	ʔ a l b a j a l d e
albeolo	ʔ a l b e o l o
alberto	ʔ a l b e ɾ t o
albino	ʔ a l b i n o
albiyolar	ʔ a l b i o l a ɾ
albiyolo	ʔ a l b i o l o
albolaryo	ʔ a l b o l a ɾ j o
albondigas	ʔ a l b o n d i ɡ a s
alboroto	ʔ a l b o ɾ o t o
albularyo	ʔ a l b u l a ɾ j o
album	ʔ a l b u m
albumen	ʔ a l b u m e n
albumina	ʔ a l b u m i n a
albundigas	ʔ a l b u n d i ɡ a s
albur	ʔ a l b u ɾ
alburnos	ʔ a l b u ɾ n o s
alburoto	ʔ a l b u ɾ o t o
alburquerque	ʔ a l b u ɾ k e ɾ k e
alburuto	ʔ a l b u ɾ u t o
albyolar	ʔ a l b j o l a ɾ
albyolo	ʔ a l b j o l o
alcaide	ʔ a l k a j d e
alcala	ʔ a l k a l a
alcantara	ʔ a l k a n t a ɾ a
alcoy	ʔ a l k o j
aldaba	ʔ a l d a b a
aldabis	ʔ a l d a b i s
aldana	ʔ a l d a n a
aldea	ʔ a l d e a
aldehido	ʔ a l d e h i d o
aldonises	ʔ a l d o n i s e s
aldonisis	ʔ a l d o n i s i s
aldosines	ʔ a l d o s i n e s
aldover	ʔ a l d o b e ɾ
aldovino	ʔ a l d o b i n o
aldyebra	ʔ a l d j e b ɾ a
aldyibra	ʔ a l d j i b ɾ a
ale	ʔ a l e
alebosya	ʔ a l e b o s j a
alegado	ʔ a l e ɡ a d o
alegasyon	ʔ a l e ɡ a s j o n
alegato	ʔ a l e ɡ a t o
alegoria	ʔ a l e ɡ o ɾ i a
alegorika	ʔ a l e ɡ o ɾ i k a
alegoriko	ʔ a l e ɡ o ɾ i k o
alegorisa	ʔ a l e ɡ o ɾ i s a
alegorisahin	ʔ a l e ɡ o ɾ i s a h i n
alegorista	ʔ a l e ɡ o ɾ i s t a
alegoriya	ʔ a l e ɡ o ɾ i a
alegorya	ʔ a l e ɡ o ɾ j a
alegre	ʔ a l e ɡ ɾ e
alegreto	ʔ a l e ɡ ɾ e t o
alegria	ʔ a l e ɡ ɾ i a
alegriya	ʔ a l e ɡ ɾ i a
alegro	ʔ a l e ɡ ɾ o
alehandrina	ʔ a l e h a n d ɾ i n a
alehandrino	ʔ a l e h a n d ɾ i n o
alehilyos	ʔ a l e h i l j o s
alejandrino	ʔ a l e h a n d ɾ i n o
alejandro	ʔ a l e h a n d ɾ o
aleli	ʔ a l e l i
aleluya	ʔ a l e l u j a
aleman	ʔ a l e m a n
alemana	ʔ a l e m a n a
alemanika	ʔ a l e m a n i k a
alemaniko	ʔ a l e m a n i k o
alemanya	ʔ a l e m a n j a
alembong	ʔ a l e m b o ŋ
aleng	ʔ a l e ŋ
aleosan	ʔ a l i o s a n
alerdyi	ʔ a l e ɾ d j i
alerdyik	ʔ a l e ɾ d j i k
alerhia	ʔ a l e ɾ h i a
alerhiya	ʔ a l e ɾ h i a
alero	ʔ a l e ɾ o
alerta	ʔ a l e ɾ t a
alerto	ʔ a l e ɾ t o
aleta	ʔ a l e t a
alexa	ʔ a l e k s a
alfaro	ʔ a l f a ɾ o
alfeche	ʔ a l f e t͡ʃ e
alfonso	ʔ a l f o n s o
alfredo	ʔ a l f ɾ e d o
alga	ʔ a l ɡ a
algaroba	ʔ a l ɡ a ɾ o b a
algodon	ʔ a l ɡ o d o n
algudon	ʔ a l ɡ u d o n
alguwasil	ʔ a l ɡ u a s i l
algwasil	ʔ a l ɡ w a s i l
alhamdulila	ʔ a l h a m d u l i l a
alhamdulillah	ʔ a l h a m d u l i l a
alhebra	ʔ a l h e b ɾ a
alhebraika	ʔ a l h e b ɾ a i k a
alhebraiko	ʔ a l h e b ɾ a i k o
alhebrayika	ʔ a l h e b ɾ a j i k a
alhebrayiko	ʔ a l h e b ɾ a j i k o
alhebrayka	ʔ a l h e b ɾ a j k a
alhebrayko	ʔ a l h e b ɾ a j k o
alherya	ʔ a l h e ɾ j a
alheryana	ʔ a l h e ɾ j a n a
alheryano	ʔ a l h e ɾ j a n o
alhibe	ʔ a l h i b e
ali	ʔ a l i
aliaga	ʔ a l j a ɡ a
alibadbad	ʔ a l i b a d b a d
alibangbang	ʔ a l i b a ŋ b a ŋ
alibarbar	ʔ a l i b a ɾ b a ɾ
alibasoy	ʔ a l i b a s o j
alibata	ʔ a l i b a t a
alibay	ʔ a l i b a j
alibugha	ʔ a l i b u ɡ h a ʔ
alibukay	ʔ a l i b u k a j
alibukdan	ʔ a l i b u k d a n
alibutdan	ʔ a l i b u t d a n
alibutod	ʔ a l i b u t o d
alibutran	ʔ a l i b u t ɾ a n
alicante	ʔ a l i k a n t e
alice	ʔ a l i s
alicia	ʔ a l i s j a
aliga	ʔ a l i ɡ a
aligaga	ʔ a l i ɡ a ɡ a ʔ
aligamgam	ʔ a l i ɡ a m ɡ a m
aligandero	ʔ a l i ɡ a n d e ɾ o
aligando	ʔ a l i ɡ a n d o
aligasin	ʔ a l i ɡ a s i n
aligi	ʔ a l i ɡ i
aligid	ʔ a l i ɡ i d
alikabok	ʔ a l i k a b o k
alikantino	ʔ a l i k a n t i n o
alikate	ʔ a l i k a t e
alikmata	ʔ a l i k m a t a
aliktiya	ʔ a l i k t i a ʔ
aliktya	ʔ a l i k t j a ʔ
alila	ʔ a l i l a ʔ
alilain	ʔ a l i l a ʔ i n
alilis	ʔ a l i l i s
alilisan	ʔ a l i l i s a n
alim	ʔ a l i m
alimango	ʔ a l i m a ŋ o
alimasag	ʔ a l i m a s a ɡ
alimbukay	ʔ a l i m b u k a j
alimis	ʔ a l i m i s
alimpayawan	ʔ a l i m p a j a w a n
alimpungat	ʔ a l i m p u ŋ a t
alimpuyo	ʔ a l i m p u j o
alimuom	ʔ a l i m u ʔ o m
alimuos	ʔ a l i m u ʔ o s
alimuran	ʔ a l i m u ɾ a n
alimuranin	ʔ a l i m u ɾ a n i n
alin	ʔ a l e n
alinagnag	ʔ a l i n a ɡ n a ɡ
alindog	ʔ a l i n d o ɡ
aling	ʔ a l i ŋ
alingaro	ʔ a l i ŋ a ɾ o
alingasaw	ʔ a l i ŋ a s a w
alingasngas	ʔ a l i ŋ a s ŋ a s
alingawngaw	ʔ a l i ŋ a w ŋ a w
alinlangan	ʔ a l i n l a ŋ a n
alinman	ʔ a l i n m a n
alinsangan	ʔ a l i n s a ŋ a n
alinsunod	ʔ a l i n s u n o d
alintana	ʔ a l i n t a n a
alintataw	ʔ a l i n t a t a w
alipala	ʔ a l i p a l a
alipato	ʔ a l i p a t o
alipin	ʔ a l i p i n
alipinin	ʔ a l i p i n i n
alipores	ʔ a l i p o ɾ e s
alipunga	ʔ a l i p u ŋ a
alipunya	ʔ a l i p u n j a ʔ
alipures	ʔ a l i p u ɾ e s
alipuris	ʔ a l i p u ɾ i s
alipusta	ʔ a l i p u s t a
alipustahin	ʔ a l i p u s t a h i n
alipustain	ʔ a l i p u s t a ʔ i n
alis	ʔ a l i s
alisaga	ʔ a l i s a ɡ a ʔ
alisagsag	ʔ a l i s a ɡ s a ɡ
alisan	ʔ a l i s a n
alisangsang	ʔ a l i s a ŋ s a ŋ
alisin	ʔ a l i s i n
alisto	ʔ a l i s t o
alisuas	ʔ a l i s u ʔ a s
alit	ʔ a l i t
alitagtag	ʔ a l i t a ɡ t a ɡ
alitan	ʔ a l i t a n
alitangya	ʔ a l i t a ŋ j a
alitaptap	ʔ a l i t a p t a p
aliterasiyon	ʔ a l i t e ɾ a s i o n
aliterasyon	ʔ a l i t e ɾ a s j o n
alitiit	ʔ a l i t i ʔ i t
alitowat	ʔ a l i t o a t
alituntunin	ʔ a l i t u n t u n i n
alituwat	ʔ a l i t u a t
alitwat	ʔ a l i t w a t
aliw	ʔ a l i w
aliwalas	ʔ a l i w a l a s
alkabala	ʔ a l k a b a l a
alkabalero	ʔ a l k a b a l e ɾ o
alkabus	ʔ a l k a b u s
alkabusero	ʔ a l k a b u s e ɾ o
alkagwete	ʔ a l k a ɡ w e t e
alkahuwete	ʔ a l k a h u e t e
alkahwete	ʔ a l k a h w e t e
alkaide	ʔ a l k a j d e
alkalde	ʔ a l k a l d e
alkaldesa	ʔ a l k a l d e s a
alkaldia	ʔ a l k a l d i a
alkaldiya	ʔ a l k a l d i a
alkaldya	ʔ a l k a l d j a
alkali	ʔ a l k a l i
alkalimetro	ʔ a l k a l i m e t ɾ o
alkalina	ʔ a l k a l i n a
alkalinidad	ʔ a l k a l i n i d a d
alkalinisado	ʔ a l k a l i n i s a d o
alkalinisasyon	ʔ a l k a l i n i s a s j o n
alkalino	ʔ a l k a l i n o
alkalisado	ʔ a l k a l i s a d o
alkalisasyon	ʔ a l k a l i s a s j o n
alkaloyd	ʔ a l k a l o j d
alkaloyde	ʔ a l k a l o j d e
alkampor	ʔ a l k a m p o ɾ
alkamporado	ʔ a l k a m p o ɾ a d o
alkampurado	ʔ a l k a m p u ɾ a d o
alkampuran	ʔ a l k a m p u ɾ a n
alkanse	ʔ a l k a n s e
alkansia	ʔ a l k a n s i a
alkansiya	ʔ a l k a n s i a
alkansya	ʔ a l k a n s j a
alkantarilya	ʔ a l k a n t a ɾ i l j a
alkantarilyado	ʔ a l k a n t a ɾ i l j a d o
alkapara	ʔ a l k a p a ɾ a
alkaparas	ʔ a l k a p a ɾ a s
alkarabea	ʔ a l k a ɾ a b e a
alkarabeya	ʔ a l k a ɾ a b e a
alkasar	ʔ a l k a s a ɾ
alkatsopa	ʔ a l k a t s o p a
alkatsopas	ʔ a l k a t s o p a s
alkawete	ʔ a l k a w e t e
alkayde	ʔ a l k a j d e
alkayseriya	ʔ a l k a j s e ɾ i a
alkila	ʔ a l k i l a
alkilador	ʔ a l k i l a d o ɾ
alkiler	ʔ a l k i l e ɾ
alkimista	ʔ a l k i m i s t a
alkimiya	ʔ a l k i m i a
alkimya	ʔ a l k i m j a
alkitara	ʔ a l k i t a ɾ a
alkitran	ʔ a l k i t ɾ a n
alkoba	ʔ a l k o b a
alkohol	ʔ a l k o h o l
alkoholado	ʔ a l k o h o l a d o
alkoholiko	ʔ a l k o h o l i k o
alkoholimetro	ʔ a l k o h o l i m e t ɾ o
alkoholisa	ʔ a l k o h o l i s a
alkoholisado	ʔ a l k o h o l i s a d o
alkoholisahan	ʔ a l k o h o l i s a h a n
alkoholisahin	ʔ a l k o h o l i s a h i n
alkoholismo	ʔ a l k o h o l i s m o
alkohometro	ʔ a l k o h o m e t ɾ o
alkontado	ʔ a l k o n t a d o
alkoran	ʔ a l k o ɾ a n
alkuol	ʔ a l k u ʔ o l
allacapan	ʔ a l a k a p a n
allan	ʔ a l a n
allasitan	ʔ a l a s i t a n
allison	ʔ a l i s o n
alma	ʔ a l m a
almabre	ʔ a l m a b ɾ e
almaden	ʔ a l m a d e n
almador	ʔ a l m a d o ɾ
almagre	ʔ a l m a ɡ ɾ e
almagro	ʔ a l m a ɡ ɾ o
almanake	ʔ a l m a n a k e
almarez	ʔ a l m a ɾ e s
almario	ʔ a l m a ɾ j o
almaryo	ʔ a l m a ɾ j o
almasen	ʔ a l m a s e n
almasena	ʔ a l m a s e n a
almasenado	ʔ a l m a s e n a d o
almasenahe	ʔ a l m a s e n a h e
almasenahin	ʔ a l m a s e n a h i n
almasenero	ʔ a l m a s e n e ɾ o
almasiga	ʔ a l m a s i ɡ a
almasin	ʔ a l m a s i n
almasinero	ʔ a l m a s i n e ɾ o
almason	ʔ a l m a s o n
almazan	ʔ a l m a s a n
almeda	ʔ a l m e d a
almeha	ʔ a l m e h a
almendra	ʔ a l m e n d ɾ a
almendrala	ʔ a l m e n d ɾ a l a
almendras	ʔ a l m e n d ɾ a s
almendrilya	ʔ a l m e n d ɾ i l j a
almendrilyas	ʔ a l m e n d ɾ i l j a s
almeres	ʔ a l m e ɾ e s
almeria	ʔ a l m e ɾ i a
almete	ʔ a l m e t e
almirantasgo	ʔ a l m i ɾ a n t a s ɡ o
almirante	ʔ a l m i ɾ a n t e
almires	ʔ a l m i ɾ e s
almiris	ʔ a l m i ɾ i s
almirol	ʔ a l m i ɾ o l
almirolado	ʔ a l m i ɾ o l a d o
almirolan	ʔ a l m i ɾ o l a n
almirulan	ʔ a l m i ɾ u l a n
almiskle	ʔ a l m i s k l e
almohada	ʔ a l m o h a d a
almohadilya	ʔ a l m o h a d i l j a
almohadon	ʔ a l m o h a d o n
almohasa	ʔ a l m o h a s a
almon	ʔ a l m o n
almondigas	ʔ a l m o n d i ɡ a s
almondigilya	ʔ a l m o n d i ɡ i l j a
almoneda	ʔ a l m o n e d a
almoranas	ʔ a l m o ɾ a n a s
almoseda	ʔ a l m o s e d a
almowada	ʔ a l m o a d a
almowadilya	ʔ a l m o a d i l j a
almowadon	ʔ a l m o a d o n
almowasa	ʔ a l m o a s a
almud	ʔ a l m u d
almuhada	ʔ a l m u h a d a
almuhadilya	ʔ a l m u h a d i l j a
