aachen	aː χ ə n
abdeckrahmen	ʔ a p d ɛ k ʁ a m ə n
abdeckrahmens	ʔ a p d ɛ k ʁ a m ɛ n s
abdeckst	ʔ a p d ɛ k s t
abdeckt	ʔ a p d ɛ k t
abdeckte	ʔ a p d ɛ k t ə
abdeckten	ʔ a p d ɛ k t ə n
abdecktest	ʔ a p d ɛ k t ɛ s t
abdecktet	ʔ a p d ɛ k t ə t
abdeckung	ʔ a p d ɛ k ʊ ŋ
abdeckungen	ʔ a p d ɛ k ʊ ŋ ə n
abdichtbar	ʔ a p d ɪ ç t b a ʁ
abdichtbare	ʔ a p d ɪ ç t b a ʁ ə
abdichtbarem	ʔ a p d ɪ ç t b a ʁ ə m
abdichtbaren	ʔ a p d ɪ ç t b a ʁ ə n
abdichtbarer	ʔ a p d ɪ ç t b a ʁ ɐ
abdichtbares	ʔ a p d ɪ ç t b a ʁ ə s
abdichte	ʔ a p d ɪ ç t ə
abdichten	ʔ a p d ɪ ç t ə n
abdichtend	ʔ a p d ɪ ç t ɛ n t
abdichtende	ʔ a p d ɪ ç t ɛ n d ə
abdichtendem	ʔ a p d ɪ ç t ɛ n d ə m
abdichtenden	ʔ a p d ɪ ç t ɛ n d ə n
abdichtender	ʔ a p d ɪ ç t ɛ n d ɐ
abdichtendes	ʔ a p d ɪ ç t ɛ n d ə s
abdichtest	ʔ a p d ɪ ç t ɛ s t
abdichtet	ʔ a p d ɪ ç t ə t
abdichtete	ʔ a p d ɪ ç t ə t ə
abdichteten	ʔ a p d ɪ ç t ə t ə n
abdichtetest	ʔ a p d ɪ ç t eː t ɛ s t
abdichtetet	ʔ a p d ɪ ç t ə t ə t
abdichtfuge	ʔ a p d ɪ ç t f uː g ə
abdichtfugen	ʔ a p d ɪ ç t f uː g ə n
abdichtung	ʔ a p d ɪ ç t ʊ ŋ
abdichtungen	ʔ a p d ɪ ç t ʊ ŋ ə n
abdiene	ʔ a p d iː ə n ə
abdienen	ʔ a p d iː ə n ə n
abdienend	ʔ a p d iː n ɛ n t
abdienende	ʔ a p d iː n ɛ n d ə
abdienendem	ʔ a p d iː n ɛ n d ə m
abdienenden	ʔ a p d iː n ɛ n d ə n
abdienender	ʔ a p d iː n ɛ n d ɐ
abdienendes	ʔ a p d iː n ɛ n d ə s
abdienst	ʔ a p d iː n s t
abdient	ʔ a p d iː ɛ n t
abdiente	ʔ a p d iː ɛ n t ə
abdienten	ʔ a p d iː ɛ n t ə n
abdientest	ʔ a p d iː n t ɛ s t
abdientet	ʔ a p d iː ɛ n t ə t
abdrehe	ʔ a p d ʁ eː ə
abdrehen	ʔ a p d ʁ eː ə n
abdrehend	ʔ a p d ʁ eː ɛ n t
abdrehende	ʔ a p d ʁ eː ɛ n d ə
abdrehendem	ʔ a p d ʁ eː ɛ n d ə m
abdrehenden	ʔ a p d ʁ eː ɛ n d ə n
abdrehender	ʔ a p d ʁ eː ɛ n d ɐ
abdrehendes	ʔ a p d ʁ eː ɛ n d ə s
abdrehst	ʔ a p d ʁ eː s t
abdreht	ʔ a p d ʁ eː t
abdrehte	ʔ a p d ʁ eː t ə
abdrehten	ʔ a p d ʁ eː t ə n
abdrehtest	ʔ a p d ʁ eː t ɛ s t
abdrehtet	ʔ a p d ʁ eː t ə t
abdrift	ʔ a p d ʁ ɪ f t
abdrifte	ʔ a p d ʁ ɪ f t ə
abdriften	ʔ a p d ʁ ɪ f t ə n
abdriftend	ʔ a p d ʁ ɪ f t ɛ n t
abdriftende	ʔ a p d ʁ ɪ f t ɛ n d ə
abdriftendem	ʔ a p d ʁ ɪ f t ɛ n d ə m
abdriftenden	ʔ a p d ʁ ɪ f t ɛ n d ə n
abdriftender	ʔ a p d ʁ ɪ f t ɛ n d ɐ
abdriftendes	ʔ a p d ʁ ɪ f t ɛ n d ə s
abdriftest	ʔ a p d ʁ ɪ f t ɛ s t
abdriftet	ʔ a p d ʁ ɪ f t ə t
abdriftete	ʔ a p d ʁ ɪ f t ə t ə
abdrifteten	ʔ a p d ʁ ɪ f t ə t ə n
abdriftetest	ʔ a p d ʁ ɪ f t eː t ɛ s t
abdriftetet	ʔ a p d ʁ ɪ f t ə t ə t
abdrossele	ʔ a p d ʁ ɔ s z eː l ə
abdrosseln	ʔ a p d ʁ ɔ s z ɛ l n
abdrosselnd	ʔ a p d ʁ ɔ s z ɛ l n t
abdrosselnde	ʔ a p d ʁ ɔ s z ɛ l n d ə
abdrosselndem	ʔ a p d ʁ ɔ s z ɛ l n d ə m
abdrosselnden	ʔ a p d ʁ ɔ s z ɛ l n d ə n
abdrosselnder	ʔ a p d ʁ ɔ s z ɛ l n d ɐ
abdrosselndes	ʔ a p d ʁ ɔ s z ɛ l n d ə s
abdrosselst	ʔ a p d ʁ ɔ s z ɛ l s t
abdrosselt	ʔ a p d ʁ ɔ s z ɛ l t
abdrosselte	ʔ a p d ʁ ɔ s z ɛ l t ə
abdrosselten	ʔ a p d ʁ ɔ s z ɛ l t ə n
abdrosseltest	ʔ a p d ʁ ɔ s z ɛ l t ɛ s t
abdrosseltet	ʔ a p d ʁ ɔ s z ɛ l t ə t
abdrossle	ʔ a p d ʁ ɔ s s l ə
abdrosslung	ʔ a p d ʁ ɔ s s l ʊ ŋ
abdrosslungen	ʔ a p d ʁ ɔ s s l ʊ ŋ ə n
abdruck	a p d ʁ ʊ k
abdrucke	ʔ a p d ʁ ʊ k ə
abdrucken	ʔ a p d ʁ ʊ k ə n
abdruckend	ʔ a p d ʁ ʊ k ɛ n t
abdruckende	ʔ a p d ʁ ʊ k ʔ ɛ n d eː
abdruckendem	ʔ a p d ʁ ʊ k ɛ n d ə m
abdruckenden	ʔ a p d ʁ ʊ k ʔ ɛ n d ə n
abdruckender	ʔ a p d ʁ ʊ k ɛ n d ɐ
abdruckendes	ʔ a p d ʁ ʊ k ʔ ɛ n d ə s
abdruckes	ʔ a p d ʁ ʊ k ə s
abdrucks	ʔ a p d ʁ ʊ k s
abdruckst	ʔ a p d ʁ ʊ k s t
abdruckt	ʔ a p d ʁ ʊ k t
abdruckte	ʔ a p d ʁ ʊ k t ə
abdruckten	ʔ a p d ʁ ʊ k t ə n
abdrucktest	ʔ a p d ʁ ʊ k t ɛ s t
abdrucktet	ʔ a p d ʁ ʊ k t ə t
abdrücke	ʔ a p d ʁ ʏ k ə
abdrücken	ʔ a p d ʁ ʏ k ə n
abdrückend	ʔ a p d ʁ ʏ k ɛ n t
abdrückende	ʔ a p d ʁ ʏ k ɛ n d ə
abdrückendem	ʔ a p d ʁ ʏ k ɛ n d ə m
abdrückenden	ʔ a p d ʁ ʏ k ɛ n d ə n
abdrückender	ʔ a p d ʁ ʏ k ɛ n d ɐ
abdrückendes	ʔ a p d ʁ ʏ k ɛ n d ə s
abdrückst	ʔ a p d ʁ ʏ k s t
abdrückt	ʔ a p d ʁ ʏ k t
abdrückte	ʔ a p d ʁ ʏ k t ə
abdrückten	ʔ a p d ʁ ʏ k t ə n
abdrücktest	ʔ a p d ʁ ʏ k t ɛ s t
abdrücktet	ʔ a p d ʁ ʏ k t ə t
abdunkelbar	ʔ a p d ʊ ŋ k ɛ l b a ʁ
abdunkelbare	ʔ a p d ʊ ŋ k ɛ l b a ʁ ə
abdunkelbarem	ʔ a p d ʊ ŋ k ɛ l b a ʁ ə m
abdunkelbaren	ʔ a p d ʊ ŋ k ɛ l b a ʁ ə n
abdunkelbarer	ʔ a p d ʊ ŋ k ɛ l b a ʁ ɐ
abdunkelbares	ʔ a p d ʊ ŋ k ɛ l b a ʁ ə s
abdunkele	ʔ a p d ʊ ŋ k eː l ə
abdunkeln	ʔ a p d ʊ ŋ k ɛ l n
abdunkelnd	ʔ a p d ʊ ŋ k ɛ l n t
abdunkelnde	ʔ a p d ʊ ŋ k ɛ l n d ə
abdunkelndem	ʔ a p d ʊ ŋ k ɛ l n d ə m
abdunkelnden	ʔ a p d ʊ ŋ k ɛ l n d ə n
abdunkelnder	ʔ a p d ʊ ŋ k ɛ l n d ɐ
abdunkelndes	ʔ a p d ʊ ŋ k ɛ l n d ə s
abdunkelst	ʔ a p d ʊ ŋ k ɛ l s t
abdunkelt	ʔ a p d ʊ ŋ k ɛ l t
abdunkelte	ʔ a p d ʊ ŋ k ɛ l t ə
abdunkelten	ʔ a p d ʊ ŋ k ɛ l t ə n
abdunkeltest	ʔ a p d ʊ ŋ k ɛ l t ɛ s t
abdunkeltet	ʔ a p d ʊ ŋ k ɛ l t ə t
abdunkle	ʔ a p d ʊ ŋ k l ə
abebbe	ʔ a p ʔ ɛ b ə
abebben	ʔ a p ʔ ɛ b ə n
abebbend	ʔ a p ʔ ɛ b ɛ n t
abebbende	ʔ a p ʔ ɛ b ɛ n d ə
abebbendem	ʔ a p ʔ ɛ b ɛ n d ə m
abebbenden	ʔ a p ʔ ɛ b ɛ n d ə n
abebbender	ʔ a p ʔ ɛ b ɛ n d ɐ
abebbendes	ʔ a p ʔ ɛ b ɛ n d ə s
abebbst	ʔ a p ʔ ɛ p s t
abebbt	ʔ a p ʔ ɛ p t
abebbte	ʔ a p ʔ ɛ b t ə
abebbten	ʔ a p ʔ ɛ b t ə n
abebbtest	ʔ a p ʔ ɛ b t ɛ s t
abebbtet	ʔ a p ʔ ɛ b t ə t
abend	aː b ə n t
abendandacht	ʔ a p ʔ ɛ n d a n d a x t
abendandachten	ʔ a p ʔ ɛ n d a n d a x t ə n
abendanzug	ʔ a p ʔ ɛ n d a n t s uː k
abendanzuges	ʔ a p ʔ ɛ n d a n t s uː g ə s
abendanzugs	ʔ a p ʔ ɛ n d a n t s ʊ k s
abendanzüge	ʔ a p ʔ ɛ n d a n t s yː g ə
abendanzügen	ʔ a p ʔ ɛ n d a n t s yː g ə n
abendblatt	ʔ a p ʔ ɛ n d b l a t
abendblattes	ʔ a p ʔ ɛ n d b l a t ə s
abendblatts	ʔ a p ʔ ɛ n d b l a t t s
abendbrot	aː b ə n t b ʁ oː t
abenddämmerung	ʔ a p ʔ ɛ n d ɛ m m ɐ ʊ ŋ
abenddämmerungen	ʔ a p ʔ ɛ n d ɛ m m ɐ ʊ ŋ ə n
abende	ʔ a p ʔ ɛ n d ə
abenden	ʔ a p ʔ ɛ n d ə n
abendessen	ʔ aː b ə n t ʔ ɛ s ə n
abendessens	ʔ a p ʔ ɛ n d ɛ s z ɛ n s
abendfüllend	ʔ a p ʔ ɛ n t f ʏ l l ɛ n t
abendfüllende	ʔ a p ʔ ɛ n t f ʏ l l ɛ n d ə
abendfüllendem	ʔ a p ʔ ɛ n t f ʏ l l ɛ n d ə m
abendfüllenden	ʔ a p ʔ ɛ n t f ʏ l l ɛ n d ə n
abendfüllender	ʔ a p ʔ ɛ n t f ʏ l l ɛ n d ɐ
abendfüllendes	ʔ a p ʔ ɛ n t f ʏ l l ɛ n d ə s
abendgala	ʔ a p ʔ ɛ n t g a l a
abendgarderobe	ʔ a p ʔ ɛ n t g a ʁ d eː ʁ oː b ə
abendgarderoben	ʔ a p ʔ ɛ n t g a ʁ d eː ʁ oː b ə n
abendgebete	ʔ a p ʔ ɛ n t g eː b ə t ə
abendgebeten	ʔ a p ʔ ɛ n t g eː b ə t ə n
abendgebetes	ʔ a p ʔ ɛ n t g eː b ə t ə s
abendgesellschaft	ʔ a p ʔ ɛ n t g eː z ɛ l l s t s h a f t
abendgesellschaften	ʔ a p ʔ ɛ n t g eː z ɛ l l s t s h a f t ə n
abendgymnasien	ʔ a p ʔ ɛ n t g ʏ m n a z iː ə n
abendhimmel	ʔ a p ʔ ɛ n t ɪ m m eː l
abendhimmeln	ʔ a p ʔ ɛ n t ɪ m m ɛ l n
abendhimmels	ʔ a p ʔ ɛ n t ɪ m m ɛ l s
abendkleid	ʔ a p ʔ ɛ n t k l a eː t
abendkleider	ʔ a p ʔ ɛ n t k l a eː d ɐ
abendkleidern	ʔ a p ʔ ɛ n t k l a eː d ɛ ʁ n
abendkleides	ʔ a p ʔ ɛ n t k l a eː d ə s
abendkleids	ʔ a p ʔ ɛ n t k l a eː t s
abendkurs	ʔ a p ʔ ɛ n t k ʊ ʁ s
abendkurse	ʔ a p ʔ ɛ n t k ʊ ʁ z ə
abendkursen	ʔ a p ʔ ɛ n t k ʊ ʁ z ə n
abendkurses	ʔ a p ʔ ɛ n t k ʊ ʁ z ə s
abendland	ʔ a p ʔ ɛ n d l a n t
abendlandes	ʔ a p ʔ ɛ n d l a n d ə s
abendlands	ʔ a p ʔ ɛ n d l a n t s
abendlich	ʔ a p ʔ ɛ n t l ɪ ç
abendliche	ʔ a p ʔ ɛ n t l ɪ ç ə
abendlichem	ʔ a p ʔ ɛ n t l ɪ ç ə m
abendlichen	ʔ a p ʔ ɛ n t l ɪ ç ə n
abendlicher	ʔ a p ʔ ɛ n t l ɪ ç ɐ
abendliches	ʔ a p ʔ ɛ n t l ɪ ç ə s
abendluft	ʔ a p ʔ ɛ n d l ʊ f t
abendländisch	ʔ a p ʔ ɛ n d l ɛ n d ɪ ʃ
abendländische	ʔ a p ʔ ɛ n d l ɛ n d ɪ ʃ ə
abendländischem	ʔ a p ʔ ɛ n d l ɛ n d ɪ ʃ ə m
abendländischen	ʔ a p ʔ ɛ n d l ɛ n d ɪ ʃ ə n
abendländischer	ʔ a p ʔ ɛ n d l ɛ n d ɪ ʃ ɐ
abendländisches	ʔ a p ʔ ɛ n d l ɛ n d ɪ ʃ ə s
abendmahl	ʔ a p ʔ ɛ n t m a l
abendmahls	ʔ a p ʔ ɛ n t m a l s
abendnachricht	ʔ a p ʔ ɛ n d n a x ʁ ɪ ç t
abendnachrichten	ʔ a p ʔ ɛ n d n a x ʁ ɪ ç t ə n
abendprogramm	ʔ a p ʔ ɛ n t p ʁ ɔ g ʁ a m m
abendprogramme	ʔ a p ʔ ɛ n t p ʁ ɔ g ʁ a m m ə
abendprogrammen	ʔ a p ʔ ɛ n t p ʁ ɔ g ʁ a m m ə n
abendprogramms	ʔ a p ʔ ɛ n t p ʁ ɔ g ʁ a m m s
abendrot	ʔ a p ʔ ɛ n d ʁ oː t
abendrote	ʔ a p ʔ ɛ n d ʁ oː t ə
abendrotem	ʔ a p ʔ ɛ n d ʁ oː t ə m
abendroten	ʔ a p ʔ ɛ n d ʁ oː t ə n
abendroter	ʔ a p ʔ ɛ n d ʁ oː t ɐ
abendrotes	ʔ a p ʔ ɛ n d ʁ oː t ə s
abendrots	ʔ a p ʔ ɛ n d ʁ ɔ t s
abendröte	ʔ a p ʔ ɛ n d ʁ ɔʏ̯ t ə
abendröten	ʔ a p ʔ ɛ n d ʁ ɔʏ̯ t ə n
abends	ʔ a p ʔ ɛ n t s
abendschau	ʔ a p ʔ ɛ n t ʃ a oː
abendschauen	ʔ a p ʔ ɛ n t ʃ a oː ə n
abendschuhe	ʔ a p ʔ ɛ n t ʃ uː ə
abendschuhen	ʔ a p ʔ ɛ n t ʃ uː ə n
abendschule	ʔ a p ʔ ɛ n t ʃ uː l ə
abendschulen	ʔ a p ʔ ɛ n t ʃ uː l ə n
abendsonne	ʔ a p ʔ ɛ n t z ɔ n n ə
abendsonnen	ʔ a p ʔ ɛ n t z ɔ n n ə n
abendspaziergang	ʔ a p ʔ ɛ n d s p a t s iː ʁ g a ŋ
abendspazierganges	ʔ a p ʔ ɛ n d s p a t s iː ʁ g a ŋ ə s
abendspaziergangs	ʔ a p ʔ ɛ n d s p a t s iː ʁ g a ŋ s
abendspaziergänge	ʔ a p ʔ ɛ n d s p a t s iː ʁ g ɛ ŋ ə
abendspaziergängen	ʔ a p ʔ ɛ n d s p a t s iː ʁ g ɛ ŋ ə n
abendstern	ʔ a p ʔ ɛ n d s t ɛ ʁ n
abendsterne	ʔ a p ʔ ɛ n d s t ɛ ʁ n ə
abendsternen	ʔ a p ʔ ɛ n d s t ɛ ʁ n ə n
abendsternes	ʔ a p ʔ ɛ n d s t ɛ ʁ n ə s
abendsterns	ʔ a p ʔ ɛ n d s t ɛ ʁ n s
abendunterhaltung	ʔ a p ʔ ɛ n d ʊ n t ɛ ʁ a l t ʊ ŋ
abendunterhaltungen	ʔ a p ʔ ɛ n d ʊ n t ɛ ʁ a l t ʊ ŋ ə n
abendunterricht	ʔ a p ʔ ɛ n d ʊ n t ɛ ʁ ʁ ɪ ç t
abendvorstellung	ʔ a p ʔ ɛ n t v ɔ ʁ s t ɛ l l ʊ ŋ
abendwind	ʔ a p ʔ ɛ n t v ɪ n t
abendwinde	ʔ a p ʔ ɛ n t v ɪ n d ə
abendzeitung	ʔ a p ʔ ɛ n t t s ə iː t ʊ ŋ
abendzeitungen	ʔ a p ʔ ɛ n t t s ə iː t ʊ ŋ ə n
abenteuer	aː b ə n t ɔʏ̯ ɐ
abenteuerliche	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ə
abenteuerlichem	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ə m
abenteuerlichen	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ə n
abenteuerlicher	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ɐ
abenteuerlichere	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ɐ ə
abenteuerlicherem	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ɐ ə m
abenteuerlicheren	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ɐ ə n
abenteuerlicherer	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ɐ ɐ
abenteuerlicheres	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ɐ ə s
abenteuerliches	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ l ɪ ç ə s
abenteuerreich	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ ʁ a eː ç
abenteuerreiche	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ ʁ a eː ç ə
abenteuerreichen	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ ʁ a eː ç ə n
abenteuerreiches	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ɐ ʁ a eː ç ə s
abenteurer	ʔ a p ʔ ɛ n t ə uː ɐ ɐ
abenteurerin	ʔ a p ʔ ɛ n t ə uː ɐ ɐ ɪ n
abenteurerinnen	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ʁ eː ʁ ɪ n n ə n
abenteurern	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ʁ ɛ ʁ n
abenteurernatur	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ʁ ɛ ʁ n a t uː ɐ
abenteurernaturen	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ʁ ɛ ʁ n a t uː ɐ ə n
abenteurers	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ʁ ɛ ʁ s
abenteurertyp	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ʁ ɛ ʁ t yː p
abenteurertypen	ʔ a p ʔ ɛ n t ɔ ɔʏ̯ ʁ ɛ ʁ t yː p ə n
aber	ʔ aː b eː ʁ
aberglaube	ʔ a p ʔ ɛː ɐ g l a oː b ə
aberglauben	ʔ a p ʔ ɛː ɐ g l a oː b ə n
abergläubische	ʔ a p ʔ ɛː ɐ g l ɔ ɔʏ̯ b ɪ ʃ ə
abergläubischem	ʔ a p ʔ ɛː ɐ g l ɔ ɔʏ̯ b ɪ ʃ ə m
abergläubischen	ʔ a p ʔ ɛː ɐ g l ɔ ɔʏ̯ b ɪ ʃ ə n
abergläubischer	ʔ a p ʔ ɛː ɐ g l ɔ ɔʏ̯ b ɪ ʃ ɐ
abergläubisches	ʔ a p ʔ ɛː ɐ g l ɔ ɔʏ̯ b ɪ ʃ ə s
aberhundert	ʔ a p ʔ ɛː ɐ h ʊ n d ɛ ʁ t
aberhunderte	ʔ a p ʔ ɛː ɐ h ʊ n d ɛ ʁ t ə
aberkannt	ʔ a p ʔ ɛː ɐ k a n n t
aberkannte	ʔ a p ʔ ɛː ɐ k a n n t ə
aberkanntem	ʔ a p ʔ ɛː ɐ k a n n t ə m
aberkannten	ʔ a p ʔ ɛː ɐ k a n n t ə n
aberkannter	ʔ a p ʔ ɛː ɐ k a n n t ɐ
aberkanntes	ʔ a p ʔ ɛː ɐ k a n n t ə s
aberkanntest	ʔ a p ʔ ɛː ɐ k a n n t ɛ s t
aberkanntet	ʔ a p ʔ ɛː ɐ k a n n t ə t
aberkanntst	ʔ a p ʔ ɛː ɐ k a n n t s t
aberkenne	ʔ a p ʔ ɛː ɐ k ɛ n n ə
aberkennen	ʔ a p ʔ ɛː ɐ k ɛ n n ə n
aberkennend	ʔ a p ʔ ɛː ɐ k ɛ n n ɛ n t
aberkennende	ʔ a p ʔ ɛː ɐ k ɛ n n ɛ n d ə
aberkennendem	ʔ a p ʔ ɛː ɐ k ɛ n n ɛ n d ə m
aberkennenden	ʔ a p ʔ ɛː ɐ k ɛ n n ɛ n d ə n
aberkennender	ʔ a p ʔ ɛː ɐ k ɛ n n ɛ n d ɐ
aberkennendes	ʔ a p ʔ ɛː ɐ k ɛ n n ɛ n d ə s
aberkennst	ʔ a p ʔ ɛː ɐ k ɛ n n s t
aberkennt	ʔ a p ʔ ɛː ɐ k ɛ n n t
aberkennung	ʔ a p ʔ ɛː ɐ k ɛ n n ʊ ŋ
aberkennungen	ʔ a p ʔ ɛː ɐ k ɛ n n ʊ ŋ ə n
abermalig	ʔ a p ʔ ɛː ɐ m a l ɪ ç
abermalige	ʔ a p ʔ ɛː ɐ m a l ɪ g ə
abermaligem	ʔ a p ʔ ɛː ɐ m a l ɪ g ə m
abermaligen	ʔ a p ʔ ɛː ɐ m a l ɪ g ə n
abermaliger	ʔ a p ʔ ɛː ɐ m a l ɪ g ɐ
abermaliges	ʔ a p ʔ ɛː ɐ m a l ɪ g ə s
abermals	ʔ a p ʔ ɛː ɐ m a l s
abernte	ʔ a p ʔ ɛː ɐ n t ə
abernten	ʔ a p ʔ ɛː ɐ n t ə n
aberntend	ʔ a p ʔ ɛː ɐ n t ɛ n t
aberntende	ʔ a p ʔ ɛː ɐ n t ɛ n d ə
aberntendem	ʔ a p ʔ ɛː ɐ n t ɛ n d ə m
aberntenden	ʔ a p ʔ ɛː ɐ n t ɛ n d ə n
aberntender	ʔ a p ʔ ɛː ɐ n t ɛ n d ɐ
aberntendes	ʔ a p ʔ ɛː ɐ n t ɛ n d ə s
aberntest	ʔ a p ʔ ɛː ɐ n t ɛ s t
aberntet	ʔ a p ʔ ɛː ɐ n t ə t
aberntete	ʔ a p ʔ ɛː ɐ n t ə t ə
abernteten	ʔ a p ʔ ɛː ɐ n t ə t ə n
aberntetest	ʔ a p ʔ ɛː ɐ n t eː t ɛ s t
aberntetet	ʔ a p ʔ ɛː ɐ n t ə t ə t
abertausend	ʔ a p ʔ ɛː ɐ t a oː z ɛ n t
abertausende	ʔ a p ʔ ɛː ɐ t a oː z ɛ n d ə
aberwitz	ʔ a p ʔ ɛː ɐ v ɪ t s
abesse	ʔ a p ʔ ɛ s z ə
abessen	ʔ a p ʔ ɛ s z ə n
abessend	ʔ a p ʔ ɛ s z ɛ n t
abessende	ʔ a p ʔ ɛ s z ɛ n d ə
abessendem	ʔ a p ʔ ɛ s z ɛ n d ə m
abessenden	ʔ a p ʔ ɛ s z ɛ n d ə n
abessender	ʔ a p ʔ ɛ s z ɛ n d ɐ
abessendes	ʔ a p ʔ ɛ s z ɛ n d ə s
abessinien	ʔ a p ʔ ɛ s z ɪ n iː ə n
abessinienkrieg	ʔ a p ʔ ɛ s z iː n iː ŋ k ʁ iː k
abessinisch	ʔ a p ʔ ɛ s z iː n ɪ ʃ
abessinische	ʔ a p ʔ ɛ s z iː n ɪ ʃ ə
abessinischem	ʔ a p ʔ ɛ s z iː n ɪ ʃ ə m
abessinischen	ʔ a p ʔ ɛ s z iː n ɪ ʃ ə n
abessinischer	ʔ a p ʔ ɛ s z iː n ɪ ʃ ɐ
abessinisches	ʔ a p ʔ ɛ s z iː n ɪ ʃ ə s
abesst	ʔ a p ʔ ɛ s s t
abeter	ʔ a p ə t ɐ
abeters	ʔ a p ʔ eː t ɛ ʁ s
abfahre	ʔ a p͡f a ʁ ə
abfahren	ʔ a p͡f a ʁ ə n
abfahrend	ʔ a p͡f a ʁ ɛ n t
abfahrende	ʔ a p͡f a ʁ ɛ n d ə
abfahrendem	ʔ a p͡f a ʁ ɛ n d ə m
abfahrenden	ʔ a p͡f a ʁ ɛ n d ə n
abfahrender	ʔ a p͡f a ʁ ɛ n d ɐ
abfahrendes	ʔ a p͡f a ʁ ɛ n d ə s
abfahrt	ʔ a p͡f a ʁ t
abfahrten	ʔ a p͡f a ʁ t ə n
abfahrtshang	ʔ a p͡f a ʁ t s a ŋ
abfahrtshangs	ʔ a p͡f a ʁ t s a ŋ s
abfahrtshänge	ʔ a p͡f a ʁ t s ɛ ŋ ə
abfahrtshängen	ʔ a p͡f a ʁ t s ɛ ŋ ə n
abfahrtsläufer	ʔ a p͡f a ʁ t s l ɔ ɔʏ̯ f ɐ
abfahrtsläuferin	ʔ a p͡f a ʁ t s l ɔ ɔʏ̯ f ɐ ɪ n
abfahrtsläuferinnen	ʔ a p͡f a ʁ t s l ɔ ɔʏ̯ f eː ʁ ɪ n n ə n
abfahrtsläufern	ʔ a p͡f a ʁ t s l ɔ ɔʏ̯ f ɛ ʁ n
abfahrtsrennen	ʔ a p͡f a ʁ t s ʁ ɛ n n ə n
abfahrtsstelle	ʔ a p͡f a ʁ t z s t ɛ l l ə
abfahrtsstellen	ʔ a p͡f a ʁ t z s t ɛ l l ə n
abfahrtsstrecke	ʔ a p͡f a ʁ t s s t ʁ ɛ k ə
abfahrtsstrecken	ʔ a p͡f a ʁ t s s t ʁ ɛ k ə n
abfall	ʔ a p͡f a l l
abfallaufbereitung	ʔ a p͡f a l l a oː f b ɐ ə iː t ʊ ŋ
abfalle	ʔ a p͡f a l l ə
abfalleimer	ʔ a p͡f a l l a eː m ɐ
abfalleimern	ʔ a p͡f a l l a eː m ɛ ʁ n
abfallen	ʔ a p͡f a l n
abfallend	ʔ a p͡f a l l ɛ n t
abfallende	ʔ a p͡f a l l ʔ ɛ n d eː
abfallendem	ʔ a p͡f a l l ɛ n d ə m
abfallenden	ʔ a p͡f a l l ʔ ɛ n d ə n
abfallender	ʔ a p͡f a l l ɛ n d ɐ
abfallendes	ʔ a p͡f a l l ʔ ɛ n d ə s
abfallgraben	ʔ a p͡f a l l g ʁ a b ə n
abfallkurve	ʔ a p͡f a l l k ʊ ʁ v ə
abfallkurven	ʔ a p͡f a l l k ʊ ʁ v ə n
abfallpapier	ʔ a p͡f a l l p a p iː ɐ
abfallpapiers	ʔ a p͡f a l l p a p iː ʁ s
abfallprodukt	ʔ a p͡f a l l p ʁ oː d ʊ k t
abfallprodukte	ʔ a p͡f a l l p ʁ oː d ʊ k t ə
abfallprodukten	ʔ a p͡f a l l p ʁ oː d ʊ k t ə n
abfallproduktes	ʔ a p͡f a l l p ʁ oː d ʊ k t ə s
abfallprodukts	ʔ a p͡f a l l p ʁ oː d ʊ k t s
abfalls	ʔ a p͡f a l l s
abfallstoffe	ʔ a p͡f a l l s t ɔ f f ə
abfallstoffen	ʔ a p͡f a l l s t ɔ f f ə n
abfallt	ʔ a p͡f a l l t
abfange	ʔ a p͡f a ŋ ə
abfangen	ʔ a p͡f a ŋ ə n
abfangend	ʔ a p͡f a ŋ ɛ n t
abfangende	ʔ a p͡f a ŋ ɛ n d ə
abfangendem	ʔ a p͡f a ŋ ɛ n d ə m
abfangenden	ʔ a p͡f a ŋ ɛ n d ə n
