'n	m
adlerauge	aː d l ɐ ʔ a ʊ̯ ɡ ə
adlerfarn	aː d l ɐ f a ʁ n
adlernase	aː d l ɐ n aː z ə
adlers	ʔ aː d l ɐ s
adliger	aː d l ɪ ɡ ɐ
admiral	a d m i ʁ aː l
adobe	a d oː b ə
adolf	aː d ɔ l f
adonai	a d o n aː i
adposition	a t p o z i t͡s i̯ oː n
adrenalin	a d ʁ e n a l iː n
adressat	a d ʁ ɛ s aː t
adressbuch	a d ʁ ɛ s b uː χ
adria	aː d ʁ i a
adrian	aː d ʁ i aː n
adriane	a d ʁ i aː n ə
adrianen	a d ʁ i aː n ə n
adrians	a d ʁ i aː n s
advent	ʔ a t v ɛ n t
advente	ʔ a t v ɛ n t ə
adventen	ʔ a t v ɛ n t n̩
adventes	ʔ a t v ɛ n t ə s
adventkalender	ʔ a t v ɛ n t k a l ɛ n d ɐ
adventkranz	ʔ a t v ɛ n t k ʁ a n t s
advents	ʔ a t v ɛ n t s
adventskalender	ʔ a t v ɛ n t s k a l ɛ n d ɐ
adventskalendern	ʔ a t v ɛ n t s k a l ɛ n d ɐ n
adventskalenders	ʔ a t v ɛ n t s k a l ɛ n d ɐ s
adventskranz	ʔ a t v ɛ n t s k ʁ a n t s
adventszeit	a t v ɛ n t͡s t͡s a ɪ̯ t
adverb	a t v ɛ ʁ p
adverbialbestimmung	a t v ɛ ʁ b i̯ aː l b ə ʃ t ɪ m ʊ ŋ
adverbialsatz	a t v ɛ ʁ b i̯ aː l z a t͡s
advokat	a t v o k aː t
aerobier	a e ʁ oː b i̯ ɐ
aerobiern	a e ʁ oː b i̯ ɐ n
aerobiologie	a e ʁ o b i o l o ɡ iː
aerobiont	a e ʁ o b i̯ ɔ n t
aerodynamik	a e ʁ o d y n aː m ɪ k
aeroplan	a e ʁ o p l aː n
affenbrotbaum	a f n̩ b ʁ oː t b a ʊ̯ m
affengriff	a f ə n ɡ ʁ ɪ f
affenhorde	a f ŋ h ɔ ʁ d ə
affenliebe	a f n̩ l iː b ə
affenpocken	a f n̩ p ɔ k n̩
affentheater	a f n̩ t e ʔ aː t ɐ
affinität	a f i n i t ɛː t
affrikate	a f ʁ i k aː t ə
affront	a f ʁ ɔ̃ː
affäre	a f ɛː r ə
afghanistan	a f ɡ aː n ɪ s t aː n
afrika	a f ʁ i k a
afrikaans	a f ʁ i k aː n s
afrikaner	ʔ a f ʁ i k aː n ɐ
afrobeat	a f ʁ o b iː t
afrobeats	a f ʁ o b iː t s
afrodeutsche	a f ʁ oː d ɔ ʏ̯ t͡ʃ ə
afrodeutschem	aː f ʁ o d ɔ ɪ̯ t͡ʃ m̩
afrodeutschen	aː f ʁ o d ɔ ɪ̯ t͡ʃ n̩
afrodeutscher	a f ʁ oː d ɔ ʏ̯ t͡ʃ ɐ
after	a f t ɐ
afterkind	a f t ɐ k ɪ n t
afterlehen	a f t ɐ l eː ə n
aftershave	aː f t ɐ ʃ ɛ ɪ̯ f
afterwelt	a f t ɐ v ɛ l t
afterwissenschaft	a f t ɐ v ɪ s ə n ʃ a f t
agape	a ɡ aː p ə
agenda	a ɡ ɛ n d a
agens	aː ɡ ɛ n s
agententhriller	a ɡ ɛ n t n̩ θ ʁ ɪ l ɐ
agentur	a ɡ ɛ n t uː ɐ̯
aggressivität	a ɡ ʁ ɛ s i v i t ɛː t
agilität	a ɡ i l i t ɛː t
agnes	a x n ə s
agnostiker	a ɡ n ɔ s t i k ɐ
agnostikerin	a ɡ n ɔ s t i k ə ʁ ɪ n
agon	a ɡ oː n
agoraphobie	a ɡ o ʁ a f o b iː
agraffe	a ɡ ʁ a f ə
agrammatismus	a ɡ ʁ a m a t ɪ s m ʊ s
agrarbiologie	a ɡ ʁ aː ɐ̯ b i o l o ɡ iː
agrargemeinschaft	a ɡ ʁ aː ɐ̯ ɡ ə m a ɪ̯ n ʃ a f t
agrarpolitik	a ɡ ʁ aː ɐ̯ p o l i t iː k
agrarwissenschaft	a ɡ ʁ aː ɐ̯ v ɪ s n̩ ʃ a f t
agrarökologie	a ɡ ʁ aː ɐ̯ ʔ ø k o l o ɡ iː
agrest	a ɡ r ɛ s t
agrobiologie	aː ɡ ʁ o b i o l o ɡ iː
ahmadinedschad	a x m a d i n e d ʒ aː t
ahmed	a x m ɛ t
ahn	ʔ aː n
ahndung	aː n d ʊ ŋ
ahnenforschung	aː n ə n f ɔ ʁ ʃ ʊ ŋ
ahnherr	aː n h ɛ ʁ
ahnung	ʔ aː n ʊ ŋ
ahnungen	ʔ aː n ʊ ŋ ə n
ahorn	ʔ aː h ɔ ʁ n
ahornbaum	aː h ɔ ʁ n b a ʊ̯ m
ahornblättchen	aː h ɔ ʁ n b l ɛ t ç ə n
ahornholz	aː h ɔ ʁ n h ɔ l t͡s
ahr	aː r
ahrensburg	aː ʁ ə n s b ʊ ʁ k
ahrensburgs	aː ʁ ə n s b ʊ ʁ k s
ahrweiler	aː ɐ̯ v a ɪ̯ l ɐ
ahrweilers	aː ɐ̯ v a ɪ̯ l ɐ s
aibling	a ɪ̯ b l ɪ ŋ
aiblings	a ɪ̯ b l ɪ ŋ s
aichach	a ɪ̯ ç a x
aichtal	a ɪ̯ ç t aː l
aids	eː t s
aikido	a ɪ k iː d ə ʊ
aimbot	eː m b ɔ t
aioli	a j oː l i
airbag	ɛː ʁ b ɛ k
airline	ɛː ɐ̯ l a ɪ̯ n
aische	a ɪ̯ ʃ ə
ajax	aː j a k s
akademie	a k a d e m iː
akarnanien	a k a ʁ n aː n i̯ ə n
akarnaniens	a k a ʁ n aː n i̯ ə n s
akazie	a k aː t͡s i ə
akelei	a k ə l a ɪ̯
akklimatisieren	a k l i m a t i z iː ʁ ə n
akkordarbeit	a k ɔ ʁ t ʔ a ʁ b a ɪ̯ t
akkordeon	a k ɔ ʁ d e ɔ n
akkordeonspieler	a k ɔ ʁ d e ɔ n ʃ p iː l ɐ
akkordeonspielerin	a k ɔ ʁ d e ɔ n ʃ p iː l ɐ ʁ ɪ n
akkordfolge	a k ɔ ʁ t f ɔ l ɡ ə
akkordfolgen	a k ɔ ʁ t f ɔ l ɡ ŋ̩
akku	a k u
akkusativ	a k u z a t iː f
akkusativobjekt	a k u z a t iː f ʔ ɔ p j ɛ k t
akkuschrauber	a k u ʃ ʁ a ʊ̯ b ɐ
akolyth	a k o l yː t
akquise	a k v iː z ə
akribie	a k ʁ i b iː
akrobat	a k ʁ o b aː t
akrophobie	a k r o f o b iː
akrostichon	a k ʁ ɔ s t ɪ ç ɔ n
akt	a k t
akte	a k t ə
akten	a k t ə n
aktenkoffer	a k t ə n k ɔ f ə r
aktenschrank	a k t n̩ ʃ ʁ a ŋ k
aktentasche	a k t ə n t a ʃ ə
aktenzeichen	a k t n̩ t͡s a ɪ̯ ç n̩
akteur	a k t øː ɐ̯
akteurin	a k t øː ʁ ɪ n
aktie	a k t s i̯ ə
aktienindex	a k t͡s i̯ ə n ʔ ɪ n d ɛ k s
aktienmehrheit	a k t͡s i̯ ə n m eː ɐ̯ h a ɪ̯ t
aktienstimmrecht	a k t͡s i̯ ə n ʃ t ɪ m ʁ ɛ ç t
aktienvermögen	a k t͡s i̯ ə n v ɛ ɐ̯ m øː ɡ ə n
aktion	a k t s i̯ oː n
aktionstag	a k t͡s i̯ oː n s t aː k
aktionstage	a k t͡s i̯ oː n s t aː ɡ ə
aktionstagen	a k t͡s i̯ oː n s t aː ɡ n̩
aktionstages	a k t͡s i̯ oː n s t aː ɡ ə s
aktionstags	a k t͡s i̯ oː n s t aː k s
aktionär	a k t͡s i̯ o n eː ɐ̯
aktionärsstruktur	a k t͡s i̯ o n ɛː ɐ̯ s ʃ t ʁ ʊ k t uː ɐ̯
aktivator	a k t i v aː t oː ɐ̯
aktivieren	a k t i v iː ʁ ə n
aktivierungsgutschein	a k t i v iː ʁ ʊ ŋ s ɡ uː t ʃ a ɪ̯ n
aktivist	a k t i v ɪ s t
aktivität	a k t i v i t eː t
aktivposten	a k t iː f p ɔ s t n̩
aktivrente	a k t iː f ʁ ɛ n t ə
aktivurlaub	a k t iː f ʔ uː ɐ̯ l a ʊ̯ p
aktualisierung	a k t u a l i z iː ʁ ʊ ŋ
aktualität	a k t u a l i t ɛː t
aktualitäten	a k t u a l i t ɛː t n̩
akut	a k uː t
akzelerationismus	a k t͡s e l e ʁ a t͡s i̯ o n ɪ s m ʊ s
akzent	a k t͡s ɛ n t
akzentsetzung	a k t͡s ɛ n t z ɛ t͡s ʊ ŋ
akzentuieren	a k t͡s ɛ n t u iː ʁ ə n
akzeptor	a k t͡s ɛ p t oː ɐ̯
aküfi	a k ʏ f i
alabaster	a l a b a s t ɐ
alane	a l aː n ə
alantbeere	a l a n t b eː ʁ ə
alarm	a l a ʁ m
alarmglocke	a l a ʁ m ɡ l ɔ k ə
alarmglöckchen	a l a ʁ m ɡ l œ k ç ə n
alarmismus	a l a ʁ m ɪ s m ʊ s
alaska	a l a s k a
alaun	a l a ʊ̯ n
alb	a l p
albanesisch	ʔ a l b a n eː z ɪ ʃ
albanien	a l b aː n i̯ ə n
albanologe	a l b aː n o l oː ɡ ə
albdruck	a l p d ʁ ʊ k
albe	a l b ə
albert	a l b ɛ ʁ t
albino	a l b iː n o
albtraum	a l p t ʁ a ʊ̯ m
albumin	a l b u m iː n
alchemie	a l ç e m iː
alchemist	a l ç e m ɪ s t
alchimie	a l ç i m iː
alder	a l d ɐ
aldisierung	a l d iː z iː ʁ ʊ ŋ
ale	eː l
alemanne	a l e m a n ə
alemannisch	a l ə m a n ɪ ʃ
aleppo	a l ɛ p o
alex	a l ɛ k s
alexandra	a l ɛ k s a n d ʁ a
alexandrien	a l ɛ k s a n d ʁ i ə n
alexine	a l ɛ k s iː n ə
alexins	a l ɛ k s iː n s
alexithymie	a l ɛ k s i t y m iː
alexithymien	a l ɛ k s i t y m iː ə n
alfalfa	a l f a l f a
alfanzerei	a l f a n t͡s ə ʁ a ɪ̯
alfred	a l f ʁ eː t
algarve	a l ɡ a ʁ v ə
alge	a l ɡ ə
algebra	a l ɡ e b ʁ aː
algenfarn	a l ɡ n̩ f a ʁ n
algerier	a l ɡ e r i ɛ r
algier	a l ʒ iː r
algol	a l ɡ oː l
algologie	a l ɡ o l o ɡ iː
algorithmen	ʔ a l ɡ o ʁ ɪ t m ə n
ali	aː l i
alias	aː l i̯ a s
alibi	aː l i b i
alice	a l iː s
alien	ɛ ɪ̯ l iː n
alimente	a l i m ɛ n t ə
alinea	a l i n e a
alizarin	a l i t͡s a ʁ iː n
alk	a l k
alkeier	a l k a ɪ̯ ɐ
alki	a l k i
alkmene	a l k m eː n ə
alkohol	a l k o h oː l
alkoholexzess	a l k o h o l ʔ ɛ k s t͡s ɛ s
alkoholexzesse	a l k o h o l ʔ ɛ k s t s ɛ s ə
alkoholexzesses	a l k o h o l ʔ ɛ k s t s ɛ s ə s
alkoholexzeß	a l k o h o l ʔ ɛ k s t͡s ɛ s
alkoholkonsum	a l k o h o l k ɔ n z uː m
alkoholkranke	a l k o h oː l k ʁ a ŋ k ə
alkoholspiegel	a l k o h oː l ʃ p iː ɡ l̩
alkoholsucht	a l k o h oː l z ʊ x t
alkoholtest	a l k o h o l t ɛ s t
alkoven	a l k oː v ə n
allah	a l a
alleinerziehende	a l a ɪ̯ n ʔ ɛ ɐ̯ t͡s iː ə n d ə
alleinerziehenden	a l a ɪ̯ n ʔ ɛ ɐ̯ t͡s iː ə n d ə n
alleinerziehender	a l a ɪ̯ n ʔ ɛ ɐ̯ t͡s iː ə n d ɐ
alleinschuld	a l a ɪ̯ n ʃ ʊ l t
alleinsein	a l a ɪ̯ n z a ɪ̯ n
alleinstehende	a l a ɪ̯ n ʃ t eː ə n d ə
alleinstehenden	a l a ɪ̯ n ʃ t eː ə n d ə n
alleinstehender	a l a ɪ̯ n ʃ t eː ə n d ɐ
alleinstellungsmerkmal	a l a ɪ̯ n ʃ t ɛ l ʊ ŋ s m ɛ ʁ k m aː l
allensbach	a l ə n s b a x
allergiker	a l ɛ ʁ ɡ i k ɐ
allerheiligen	a l ɐ h a ɪ̯ l ɪ ɡ ə n
allerseelen	a l ɐ z eː l ə n
allesfresser	a l ə s f ʁ ɛ s ɐ
allgegenwärtigkeit	a l ɡ eː ɡ n̩ v ɛ ʁ t ɪ ç k a ɪ̯ t
allgemeinwohl	a l ɡ ə m a ɪ̯ n v oː l
allheilmittel	a l h a ɪ̯ l m ɪ t ə l
allheit	a l h a ɪ̯ t
allianz	a l i̯ a n t͡s
alligator	a l i ɡ aː t oː ʁ
alligatoren	a l i ɡ a t oː ʁ ə n
alligatorschildkröte	a l i ɡ aː t oː ɐ̯ ʃ ɪ l t k ʁ øː t ə
alliierter	a l i ʔ iː ɐ̯ t ɐ
alliteration	a l ɪ t e ʁ a t͡s i̯ oː n
allmende	a l m ɛ n d ə
allmächtiger	a l m ɛ ç t ɪ ɡ ɐ
allopathie	a l o p a t iː
allophon	a l o f oː n
allotria	ʔ a l oː t ʁ i a
allstedt	a l ʃ t ɛ t
allsympathie	a l z ʏ m p a t iː
alltag	a l t a k
alltagsleben	a l t aː k s l eː b n̩
alltagsrassismus	a l t aː k s ʁ a s ɪ s m ʊ s
allüre	a l yː ʁ ə
almanach	a l m a n a x
almosen	a l m oː z ə n
alp	a l p
alpaka	a l p a k a
alpdruck	a l p d ʁ ʊ k
alpdrücken	a l p d ʁ ʏ k n̩
alpen	ʔ a l p ə n
alpenbraunelle	a l p ə n b ʀ a ʊ̯ n ɛ l ə
alpenbraunellen	a l p ə n b ʀ a ʊ̯ n ɛ l ə n
alpenglühen	a l p n̩ ɡ l yː ə n
alpenrhein	a l p n̩ ʁ a ɪ̯ n
alpenstrandläufer	a l p ə n ʃ t r a n t l ɔ ɪ̯ f ɐ
alpenveilchen	ʔ a l p m̩ f a ɪ̯ l ç n̩
alphabet	a l f a b eː t
alphabetisieren	a l f a b e t i z iː ʁ ə n
alphastrahlungen	a l f a ʃ t ʁ aː l ʊ ŋ ə n
alphorn	a l p h ɔ ʁ n
alpirsbach	a l p ɪ ʁ s b a x
alptraum	a l p t ʁ a ʊ̯ m
alptraumes	ʔ a l p t ʁ a ʊ̯ m ə s
alptraums	ʔ a l p t ʁ a ʊ̯ m s
alpträume	ʔ a l p t ʁ ɔ ɪ̯ m ə
alsfeld	a l s f ɛ l t
alsleben	a l s l eː b n̩
alslebens	a l s l eː b n̩ s
alster	a l s t ɐ
alsterwasser	a l s t ɐ v a s ɐ
alt	ʔ a l t
altan	a l t aː n
altane	a l t aː n ə
altanes	a l t aː n ə s
altans	a l t aː n s
altar	a l t aː
altaraufsatz	a l t aː ɐ̯ a ʊ̯ f z a t͡s
altarbild	a l t aː b ɪ l t
altarretabel	a l t aː ɐ̯ ʁ e t aː b l̩
altarweihe	a l t aː ɐ̯ v a ɪ̯ ə
altbayern	a l t b a ɪ̯ ɐ n
altbier	a l t b iː ɐ̯
altbürgermeister	a l t b ʏ r ɡ ə r m a ɪ̯ s t ə r
alte	a l t ə
altenberg	a l t n̩ b ɛ ʁ k
altenburg	a l t n̩ b ʊ ʁ k
altenburger	a l t n̩ b ʊ ʁ ɡ ɐ
altenburgs	a l t n̩ b ʊ ʁ k s
altenheim	a l t ə n h a ɪ̯ m
altenkirchen	a l t n̩ k ɪ ʁ ç n̩
altensteig	a l t n̩ ʃ t a ɪ̯ k
altenteil	a l t n̩ t a ɪ̯ l
altentreptow	a l t n̩ t ʁ ɛ p t o
alter	a l d ɐ
alterität	a l t ə ʁ i t ɛː t
alternative	a l t ɛ ʁ n a t iː v ə
alternativhypothese	a l t ɐ n a t iː f h y p o t eː z ə
altersaufbau	a l t ɐ s a ʊ̯ f b a ʊ̯
altersaufbaues	a l t ɐ s a ʊ̯ f b a ʊ̯ ə s
altersaufbaus	a l t ɐ s a ʊ̯ f b a ʊ̯ s
altersaufbauten	a l t ɐ s a ʊ̯ f b a ʊ̯ t ə n
altersbeschränkung	a l t ɐ s b ə ʃ ʁ ɛ ŋ k ʊ ŋ
altersgrenze	a l t ɐ s ɡ ʁ ɛ n t͡s ə
altersgruppe	a l t ɐ s ɡ ʁ ʊ p ə
altersgruppen	a l t ɐ s ɡ ʁ ʊ p n̩
altersheilkunde	a l t ə r s h a ɪ̯ l k ʊ n d ə
altersheim	a l t ɐ s h a ɪ̯ m
altersheime	ʔ a l t ɐ s h a ɪ̯ m ə
altersheimes	ʔ a l t ɐ s h a ɪ̯ m ə s
altersheims	ʔ a l t ɐ s h a ɪ̯ m s
altersklasse	a l t ɐ s k l a s ə
altersmilde	a l t ɐ s m ɪ l d ə
alterspyramide	a l t ɐ s p y ʁ a m iː d ə
alterspyramiden	a l t ɐ s p y ʁ a m iː d ə n
altertumswissenschaft	a l t ɐ t uː m s v ɪ s n̩ ʃ a f t
altertümelei	a l t ə ʁ t y m ə l a ɪ̯
altertümler	a l t ə ʁ t yː m l ə ʁ
altglas	a l t ɡ l aː s
altgriechisch	a l t ɡ ʁ iː ç ɪ ʃ
altholz	a l t h ɔ l t͡s
altimeter	a l t i m eː t ɐ
altjapanisch	a l t j a p aː n ɪ ʃ
altjapanische	a l t j a p aː n ɪ ʃ ə
altjapanischen	a l t j a p aː n ɪ ʃ n̩
altjapanischs	a l t j a p aː n ɪ ʃ s
altkanzler	a l t k a n t͡s l ɐ
altkunststoff	a l t k ʊ n s t ʃ t ɔ f
altlandsberg	a l t l a n t͡s b ɛ ʁ k
altleiningen	a l t l a ɪ̯ n ɪ ŋ ə n
altleiningens	a l t l a ɪ̯ n ɪ ŋ ə n s
altniederländisch	a l t n iː d ɐ l ɛ n d ɪ ʃ
altpapier	a l t p a p iː ɐ̯
altrosa	a l t ʁ oː z a
altschliff	a l t ʃ l ɪ f
altschliffe	a l t ʃ l ɪ f ə
altschliffes	a l t ʃ l ɪ f ə s
altschliffs	a l t ʃ l ɪ f s
altschlüssel	a l t ʃ l ʏ s ə l̩
altstimme	a l t ʃ t ɪ m ə
altstoff	a l t ʃ t ɔ f
altvorderer	a l t f ɔ ʁ d ə ʁ ɐ
altwarenhandel	a l t v aː ʁ ə n h a n d ə l
altwarenhändlers	a l t v aː ʁ ə n h ɛ n d l ɐ s
altweibersommer	a l t v a ɪ̯ b ɐ z ɔ m ɐ
altötting	a l t ʔ œ t ɪ ŋ
alu	a l u
alublech	a l u b l ɛ ç
alufelge	a l u f ɛ l ɡ ə
aluminium	a l u m iː n i̯ ʊ m
alzey	a l t͡s a i̯
alzeys	a l t͡s a i̯ s
alzheimer	a l t s h a ɪ̯ m ə r
amalia	a m aː l i̯ a
amalie	a m aː l i̯ ə
amarant	a m a ʁ a n t
amateurfunk	a m a t øː ɐ̯ f ʊ ŋ k
amateurin	a m a t øː ʁ ɪ n
amateurkünstler	a m a t øː ɐ̯ k ʏ n s t l ɐ
amateurkünstlerin	a m a t øː ɐ̯ k ʏ n s t l ə ʁ ɪ n
amateurkünstlerinnen	a m a t øː ɐ̯ k ʏ n s t l ə ʁ ɪ n ə n
amateurkünstlers	a m a t øː ɐ̯ k ʏ n s t l ɐ s
amateurmusikerin	a m a t øː ɐ̯ m uː z ɪ k ə ʁ ɪ n
amateurmusikerinnen	a m a t øː ɐ̯ m uː z ɪ k ə ʁ ɪ n ə n
amazonas	a m a t͡s oː n a s
ambazonien	a m b a t͡s oː n i ə n
ambazoniens	a m b a t͡s oː n i ə n s
amberg	a m b ɛ ʁ k
ambiente	a m b i̯ ɛ n t ə
ambiguität	a m b i ɡ u i t ɛː t
ambo	a m b o
amboss	a m b ɔ s
ambulanz	a m b u l a n t͡s
ameise	aː m a ɪ̯ z ə
ameisenbär	aː m a ɪ̯ z ə n b ɛː ɐ̯
ameisenhaufen	aː m a ɪ̯ z n̩ h a ʊ̯ f n̩
ameisenigel	aː m a ɪ̯ z n̩ ʔ iː ɡ l̩
ameisenkönigin	aː m a ɪ̯ z n̩ k øː n ɪ ɡ ɪ n
ameisenlöwe	aː m a ɪ̯ z n̩ l øː v ə
ameisensäure	ʔ aː m a ɪ̯ z n̩ z ɔ ɪ̯ ʁ ə
amen	aː m ə n
amerika	a m eː ʁ i k a
amerikafeindlichkeit	a m eː ʁ i k a f a ɪ̯ n t l ɪ ç k a ɪ̯ t
amerikaner	a m e ʁ i k aː n ɐ
amerikanerin	a m e ʁ i k aː n ə ʁ ɪ n
amerikanisch	a m e ʁ i k aː n ɪ ʃ
amerikanismus	a m e ʁ i k a n ɪ s m ʊ s
amerikanist	a m e ʁ i k a n ɪ s t
amerikanistik	a m e ʁ i k a n ɪ s t ɪ k
amethyst	a m e t ʏ s t
amethysttäubling	a m ɛ t ɪ s t t ɔ ɪ̯ b l ɪ ŋ
amharisch	a m h aː ʁ ɪ ʃ
ami	a m i
amigo	a m iː ɡ o
amiland	a m i l a n t
aminosäure	a m iː n o z ɔ ɪ̯ ʁ ə
amman	a m aː n
amme	a m ə
ammenmärchen	a m ə n m ɛː ɐ̯ ç ə n
ammensprache	a m ə n ʃ p ʁ aː x ə
ammer	a m ɐ
ammerland	a m ɐ l a n t
ammon	a m ɔ n
ammoniak	a m o n j a k
ammonit	a m o n iː t
amnestieren	a m n ɛ s t iː ʁ ə n
amnion	a m n i ɔ n
amok	a m ɔ k
amoklauf	aː m ɔ k l a ʊ̯ f
amoklaufen	aː m ɔ k l a ʊ̯ f ə n
amor	aː m oː ɐ̯
amorette	a m o ʁ ɛ t ə
amouren	a m uː ʁ ə n
ampel	ʔ a m p l̩
ampelfrau	a m p l̩ f r a ʊ̯
ampelkoalition	a m p l̩ k o a l i t͡s i̯ oː n
ampelmann	a m p l̩ m a n
ampelmännchen	a m p ə l m ɛ n ç ə n
ampeln	ʔ a m p l̩ n
ampelograph	a m p e l o ɡ ʁ aː f
ampelographie	a m p e l o ɡ ʁ a f iː
ampere	a m p eː ɐ̯
ampfer	a m f ɐ
amphetamin	a m f e t a m iː n
amphibie	a m f iː b i̯ ə
amphiprostylos	a m f i p ʁ ɔ s t y l ɔ s
amphore	a m f oː ʁ ə
amplitude	a m p l i t uː d ə
amrum	a m ʁ ʊ m
amsel	a m z ə l
amsterdam	a m s t ɐ d a m
amt	a m t
amtmann	a m t m a n
amtsanmaßung	a m t͡s ʔ a n m aː s ʊ ŋ
amtsantritt	a m t͡s ʔ a n t ʁ ɪ t
amtsdeutsch	a m t͡s d ɔ ɪ̯ t͡ʃ
amtsdeutschs	a m t͡s d ɔ ɪ̯ t͡ʃ s
amtseid	a m t͡s ʔ a ɪ̯ t
amtseinführung	a m t s ʔ a ɪ̯ n f yː ʁ ʊ ŋ
amtsleiter	a m t͡s l a ɪ̯ t ɐ
amtsmissbrauch	a m t͡s m ɪ s b ʁ a ʊ̯ x
amtsmißbrauch	a m t͡s m ɪ s b ʁ a ʊ̯ x
amtssprache	a m t͡s ʃ p ʁ aː x ə
amtsträger	a m t s t ʁ eː ɡ ɐ
amulett	a m u l ɛ t
amun	a m uː n
amöbe	a m øː b ə
anabolikum	a n a b oː l i k ʊ m
anadiplose	a n a d i p l oː z ə
analkette	a n aː l k ɛ t ə
analogiebildung	a n a l o ɡ iː b ɪ l d ʊ ŋ
analogon	a n a l o ɡ ɔ n
analoguhr	a n a l oː k ʔ u ɐ̯
analphabet	a n ʔ a l f a b eː t
analsex	a n aː l s ɛ k s
analverkehr	a n aː l f ɛ ɐ̯ k eː ɐ̯
analysis	a n a l y z ɪ s
ananas	a n a n a s
ananassaft	a n a n a s z a f t
anaptyxe	a n a p t ʏ k s ə
anapäst	a n a p ɛː s t
anarchie	a n a ʁ ç iː
anatomie	ʔ a n a t o m iː
anbau	a n b a ʊ̯
anbefehlen	a n b ə f eː l ə n
anbeginn	a n b ə ɡ ɪ n
anbeissen	a n b a ɪ̯ s ə n
anbeter	a n b eː t ɐ
anbeterin	a n b eː t ə ʁ ɪ n
anbetracht	a n b ə t ʁ a x t
anbieten	ʔ a n b iː t ə n
anbieter	a n b iː t ɐ
anbindung	a n b ɪ n d ʊ ŋ
anblick	ʔ a n b l ɪ k
anbot	a n b oː t
anbraten	a n b ʁ aː t ə n
anbrennen	a n b ʁ ɛ n ə n
anbruch	a n b ʁ ʊ x
anchorman	ɛ ŋ k ɐ m ɛ n
anchovis	a n ʃ oː v ɪ s
andalusien	ˀa n d a l uː z i̯ ə n
anden	a n d n̩
andersdenkender	a n d ɐ s d ɛ ŋ k ə n d ɐ
andeutung	a n d ɔ ɪ̯ t ʊ ŋ
andorf	a n d ɔ ʁ f
andorfs	a n d ɔ ʁ f s
andorra	a n d ɔ ʁ a
andorraner	a n d ɔ ʁ aː n ɐ
andorranerin	a n d ɔ ʁ aː n ɐ ʁ ɪ n
andrea	a n d ʁ eː a
andreaskreuz	a n d ʁ eː a s k ʁ ɔ ʏ̯ t s
androgen	a n d ʁ o ɡ eː n
androhung	a n d ʁ oː ʊ ŋ
android	a n d ʁ o iː t
andrologie	a n d ʁ o l o ɡ iː
andré	a n d ʁ e
aneignung	a n ʔ a ɪ̯ ɡ n ʊ ŋ
anekdote	a n ɛ k d oː t ə
anekdötchen	a n ɛ k d øː t ç ə n
anekeln	a n ʔ eː k l̩ n
anerbieten	a n ʔ ɛ ɐ̯ b iː t n̩
aneurysma	a n ɔ ɪ̯ ʁ ʏ s m a
anfachung	a n f a x ʊ ŋ
anfall	a n f a l
anfang	ʔ a n f a ŋ
anfangsbuchstabe	a n f a ŋ s b uː x ʃ t aː b ə
anfangsphase	a n f a ŋ s f aː z ə
anfangszeit	a n f a ŋ s t͡s a ɪ̯ t
anfechtung	a n f ɛ ç t ʊ ŋ
anfeinden	a n f a ɪ̯ n d n̩
anfeindung	a n f a ɪ̯ n d ʊ ŋ
anflug	a n f l uː k
anfänger	a n f ɛ ŋ ɐ
anfängerglück	a n f ɛ ŋ ɐ ɡ l ʏ k
anfängerin	ʔ a n f ɛ ŋ ə ʁ ɪ n
anführer	a n f yː r ɐ
anführerin	a n f yː r ə r ɪ n
anführungszeichen	a n f yː ʁ ʊ ŋ s t͡s a ɪ̯ ç n̩
angabe	a n ɡ aː b ə
angeber	ʔ a n ɡ eː b ɐ
angeberei	a n ɡ eː b ə ʁ a ɪ̯
angebot	a n ɡ ə b oː t
angel	a ŋ ə l
angela	a ŋ ə l a
angelegenheit	a n ɡ ə l eː ɡ n̩ h a ɪ̯ t
angelhaken	a ŋ l̩ h aː k ə n
angeln	a ŋ ə l n
angelpunkt	a ŋ l̩ p ʊ ŋ k t
angelpunkte	a ŋ l̩ p ʊ ŋ k t ə
angelpunktes	a ŋ l̩ p ʊ ŋ k t ə s
angelpunkts	a ŋ l̩ p ʊ ŋ k t s
angelsachse	a ŋ l̩ z a k s ə
angelschnur	a ŋ ə l ʃ n uː r
angelzapfen	a ŋ l̩ t s a p f ə n
angelzapfens	a ŋ l̩ t s a p f ə n s
anger	a ŋ ə r
angermünde	a ŋ ɐ m ʏ n d ə
angesicht	a n ɡ ə z ɪ ç t
angestellte	a n ɡ ə ʃ t ɛ l t ə
angestellter	a n ɡ ə ʃ t ɛ l t ɐ
angewohnheit	a n ɡ ə v oː n h a ɪ̯ t
angie	ʔ a n d͡ʒ i
angiografie	a ŋ ɡ i̯ o ɡ ʁ a f iː
angler	a ŋ l ɐ
anglerstiefel	a ŋ l ɐ ʃ t iː f l̩
anglist	a ŋ ɡ l ɪ s t
anglistik	a ŋ ɡ l ɪ s t ɪ k
anglistiken	a ŋ ɡ l ɪ s t ɪ k n̩
angola	a ŋ ɡ oː l aː
angolaner	a ŋ ɡ o l aː n ɐ
angolanerin	a ŋ ɡ o l aː n ə ʁ ɪ n
angreifbarkeit	a n ɡ ʁ a ɪ̯ f b aː ɐ̯ k a ɪ̯ t
angreifen	a n ɡ ʁ a ɪ̯ f ə n
