'n	m
abschreckungswaffen	a p ʃ ʁ ɛ k ʊ ŋ s v a f ə n
abschreiben	ʔ a p ʃ ʁ a ɪ̯ b m̩
abschreibung	a p ʃ ʁ a ɪ̯ b ʊ ŋ
abschreiten	a p ʃ r a ɪ̯ t ə n
abschrift	a p ʃ ʁ ɪ f t
abschub	a p ʃ uː p
abschuften	a p ʃ ʊ f t ə n
abschuss	a p ʃ ʊ s
abschweifen	a p ʃ v a ɪ̯ f ə n
abschweifung	a p ʃ v a ɪ̯ f ʊ ŋ
abschwung	a p ʃ v ʊ ŋ
abschwächen	a p ʃ v ɛ ç n̩
abschwächend	a p ʃ v ɛ ç n̩ t
abschälen	a p ʃ ɛː l ə n
abschätzen	a p ʃ ɛ t s ə n
abschätzig	a p ʃ ɛ t͡s ɪ k
abschäumen	a p ʃ ɔ ɪ̯ m ə n
abschüssig	a p ʃ ʏ s ɪ k
absehbar	a p z̥ eː b aː ɐ̯
abseihen	a p z a ɪ̯ ə n
abseilen	a p z a ɪ̯ l ə n
abseitig	a p z a ɪ̯ t ɪ ç
abseits	a p z a ɪ̯ t s
abseitsfalle	a p z a ɪ̯ t͡s f a l ə
abseitstor	a p z a ɪ̯ t͡s t oː ɐ̯
abseitsverdächtig	a p z a ɪ̯ t͡s f ɛ ɐ̯ d ɛ ç t ɪ ç
absence	a p s ãː s
absende	a p z ɛ n d ə
absenden	a p z ɛ n d ə n
absendend	a p z ɛ n d n̩ t
absender	a p z ɛ n d ɐ
absenderin	a p z ɛ n d ə ʁ ɪ n
absendest	a p z ɛ n d ə s t
absendet	a p z ɛ n d ə t
absendete	a p z ɛ n d ə t ə
absendeten	a p z ɛ n d ə t n̩
absendetest	a p z ɛ n d ə t ə s t
absendetet	a p z ɛ n d ə t ə t
absenken	a p z ɛ ŋ k ə n
absetzen	a p z ɛ t s ə n
absicherer	a p z ɪ ç ə ʁ ɐ
absichtlich	a p s ɪ ç t l ɪ ç
absichtserklärung	a p z ɪ ç t͡s ʔ ɛ ɐ̯ k l ɛː ʁ ʊ ŋ
absiedeln	a p z iː d ə l n
absinth	a p z ɪ n t
absolut	a p s o l uː t
absolutadjektiv	a p z o l uː t ʔ a t j ɛ k t iː f
absolutheit	a p z o l uː t h a ɪ̯ t
absolution	a p z̥ o l u t͡s i̯ oː n
absondern	a p z ɔ n d ɐ n
absorbieren	a b z ɔ ʁ b iː r ə n
absorption	a p z ɔ ʁ p t͡s i̯ oː n
absorptionsfähigkeit	a p z ɔ ʁ p t͡s i̯ oː n s f ɛː ɪ ç k a ɪ̯ t
abspalten	ʔ a p ʃ p a l t n̩
abspann	a p ʃ p a n
abspenstig	a p ʃ p ɛ n s t ɪ k
absperren	ʔ a p ʃ p ɛ ɐ̯ n
absperrhahn	a p ʃ p ɛ r h aː n
abspielgeräten	a p ʃ p iː l ɡ ə ʁ ɛː t n̩
absprache	a p ʃ p ʁ aː x ə
absprechen	a p ʃ p ʁ ɛ ç n̩
abstammen	a p ʃ t a m ə n
abstammung	a p ʃ t a m ʊ ŋ
abstand	a p ʃ t a n t
abstatt	a p ʃ t a t
abstatten	a p ʃ t a t n̩
abstehen	a p ʃ t eː ə n
absteige	a p ʃ t a ɪ̯ ɡ ə
absteigen	a p ʃ t a ɪ̯ ɡ ŋ̍
absteiger	a p ʃ t a ɪ̯ ɡ ɐ
absteigerin	a p ʃ t a ɪ̯ ɡ ə ʁ ɪ n
absteigerinnen	a p ʃ t a ɪ̯ ɡ ə ʁ ɪ n ə n
abstellfläche	a p ʃ t ɛ l f l ɛ ç ə
abstellgleis	a p ʃ t ɛ l ɡ l a ɪ̯ s
abstempeln	a p ʃ t ɛ m p ə l n
abstieg	a p ʃ t iː k
abstillen	a p ʃ t ɪ l ə n
abstinent	a p s t i n ɛ n t
abstinenz	a p s t i n ɛ n t s
abstottern	a p ʃ t ɔ t ɐ n
abstoßen	ʔ a p ʃ t oː s n̩
abstoßend	a p ʃ t oː s n̩ t
abstoßung	a p ʃ t oː s ʊ ŋ
abstrahlung	a p ʃ t ʁ aː l ʊ ŋ
abstreifen	a p ʃ t ʁ a ɪ̯ f ə n
abstreitbar	a p ʃ t ʁ a ɪ̯ t b aː ɐ̯
abstreuen	a p ʃ t r ɔ ʏ̯ ə n
abstrich	a p ʃ t ʁ ɪ ç
abstrudeln	a p ʃ t ʁ uː d l̩ n
abstumpfen	a p ʃ t u m p͡f ə n
abstumpfung	a p ʃ t ʊ m p͡f ʊ ŋ
abstützen	a p ʃ t ʏ t s n̩
absuchen	ʔ a p z uː x ə n
absucher	ʔ a p z uː x ɐ
absuchers	ʔ a p z uː x ɐ s
absurd	a p z ʊ ʁ t
absurdistan	a p z ʊ ʁ d ɪ s t aː n
absurdität	a p z ʊ ʁ d i t ɛː t
absägen	a p z eː ɡ n̩
abtausch	a p t a ʊ̯ ʃ
abtei	a p t a ɪ̯
abteikirche	a p t a ɪ̯ k ɪ ʁ ç ə
abteikirchen	a p t a ɪ̯ k ɪ ʁ ç ə n
abteil	a p t a ɪ̯ l
abteilen	a p t a ɪ̯ l ə n
abteilung	a p t a ɪ̯ l ʊ ŋ
abtippen	a p t ɪ p ə n
abtragung	a p t ʁ aː ɡ ʊ ŋ
abtreiben	a p t ʁ a ɪ̯ b ə n
abtreibung	a p t ʁ a ɪ̯ b ʊ ŋ
abtreibungsbefürworter	a p t ʁ a ɪ̯ b ʊ ŋ s b ə f yː ɐ̯ v ɔ ʁ t ɐ
abtreibungsbefürwortern	a p t ʀ a ɪ̯ b ʊ ŋ s b ə f yː ɐ̯ v ɔ ʁ t n
abtreibungsgegner	a p t ʁ a ɪ̯ b ʊ ŋ s ɡ eː ɡ n ɐ
abtrennbar	a p t ʁ ɛ n b aː ɐ̯
abtretbar	a p t ʁ eː t b aː ɐ̯
abtreten	a p t ʁ eː t n̩
abtrinken	a p t ʁ ɪ ŋ k ŋ̩
abtritt	a p t ʁ ɪ t
abtropfen	a p t ʁ ɔ p͡f n̩
abtropfsiebe	a p t ʁ ɔ p͡f̩ z iː b ə
abtropfsiebes	a p t ʁ ɔ p͡f̩ z iː b ə s
abtropfsiebs	a p t ʁ ɔ p͡f̩ z iː p s
abtupfen	a p t ʊ p͡f n̩
abtönen	a p t øː n ə n
abtönung	a p t øː n ʊ ŋ
abtönungspartikel	a p t øː n ʊ ŋ s p a ʁ t ɪ k l̩
abtötung	a p t øː t ʊ ŋ
abulie	a b u l iː
abundant	a b ʊ n d a n t
abwahl	a p v aː l
abwandeln	a p v a n d l̩ n
abwandlung	a p v a n d l ʊ ŋ
abwart	a p v a ʁ t
abwasch	a p v a ʃ
abwasserkanal	a p v a s ɐ k a n aː l
abwasserreinigung	a p v a s ɐ ʁ a ɪ̯ n ɪ ɡ ʊ ŋ
abwegig	a p v eː ɡ ɪ k
abwehrmechanismus	a p v eː ɐ̯ m e ç a n ɪ s m ʊ s
abwehrspieler	a p v ɛ ɐ̯ ʃ p iː l ɐ
abwehrspielerin	a p v ɛ ɐ̯ ʃ p iː l ə ʁ ɪ n
abweichen	a p v a ɪ̯ ç n̩
abweichend	a p v a ɪ̯ ç n̩ t
abweicher	a p v a ɪ ç ɐ
abweicherin	a p v a ɪ ç ə ʁ ɪ n
abweicherinnen	a p v a ɪ ç ə ʁ ɪ n ə n
abweichers	a p v a ɪ ç ɐ s
abweichler	a p v a ɪ̯ ç l ɐ
abweichlerin	a p v a ɪ̯ ç l ə ʁ ɪ n
abweichung	a p v a ɪ̯ ç ʊ ŋ
abweisen	a p v a ɪ̯ z ə n
abweisungsreif	a p v a ɪ̯ z ʊ ŋ s ʁ a ɪ̯ f
abwenden	ʔ a p v ɛ n d n̩
abwendig	a p v ɛ n d ɪ k
abwertend	a p v eː ɐ̯ t n̩ t
abwertung	a p v eː ɐ̯ t ʊ ŋ
abwesend	a p v eː s ɛ n t
abwickeln	ʔ a p v ɪ k l̩ n
abwiegen	a p v iː ɡ ə n
abwimmeln	a p v ɪ m ə l n
abwracken	a p v ʁ a k ə n
abwrackprämie	a p v ʁ a k p ʁ ɛː m i̯ ə
abwurf	a p v ʊ ʁ f
abwurfes	a p v ʊ ʁ f ə s
abwurfs	a p v ʊ ʁ f s
abwägen	a p v eː ɡ n̩
abwürfe	a p v ʏ ʁ f ə
abwürgen	a p v ʏ r ɡ ə n
abwürger	a p v ʏ r ɡ ɐ
abzahlen	a p t͡s aː l ə n
abzeichen	a p t s a ɪ̯ ç ə n
abzeichnen	ʔ a p t͡s a ɪ̯ ç n ə n
abzieher	a p t͡s iː ɐ
abziehung	a p t s iː ʊ ŋ
abzielen	a p t͡s iː l ə n
abzischen	a p z ɪ ʃ n̩
abzocke	a p t͡s ɔ k ə
abzocken	ʔ a p t s ɔ k ŋ̩
abzug	a p t͡s uː k
abzugfähig	ä pː t͡s uː k f ɛː ɪ k
abzugsfähig	ä pː t͡s uː k͡s f ɛː ɪ k
abzusaufen	a p t͡s u z a ʊ̯ f n̩
abzusenden	a p t͡s u z ɛ n d n̩
abzwacken	a p t͡s v a k n̩
abzweigung	a p t͡s v a ɪ ɡ ʊ ŋ
abzwicken	a p t͡s v ɪ k n̩
abzwingen	a p t͡s v ɪ ŋ ə n
abzählbar	a p t͡s eː l b aː ɐ̯
abzählreim	a p t͡s eː l ʁ a ɪ̯ m
abzäumen	a p t͡s ɔ ɪ̯ m ə n
abzüglich	a p t͡s yː k l ɪ ç
abänderbar	a p ɛ n d ə ʁ b aː ʁ
abänderer	a p ɛ n d ɐ ʁ ɐ
abändern	a p ɛ n d ɐ n
abänderungsantrag	a p ɛ n d ə r ʊ ŋ s a n t r aː k
abänderungsvorschlag	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l aː k
abänderungsvorschlages	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l aː ɡ ə s
abänderungsvorschlags	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l aː k s
abänderungsvorschläge	a p ɛ n d ə r ʊ ŋ s f ɔ ʁ ʃ l ɛː ɡ ə
abängstigen	a p ɛ ŋ s t ɪ ɡ n̩
abäschern	a p ʔ ɛ ʃ ɐ n
acai	a s a iː
accessoire	a k s ɛ s u̯ aː ʁ
account	a k a ʊ̯ n t
accum	a k ʊ m
acetaldehyd	a t s eː t ʔ a l d ə h ʏ t
acetylgruppen	a t͡s e t y l ɡ ʁ ʊ p ə n
acetylieren	a t͡s e t y l iː ʁ ə n
acetylsalicylsäure	a t s e t yː l z a l i t s yː l z ɔ ʏ̯ ʁ ə
ach	a x
achaier	a ç aː ɪ ɐ
achatschnecke	a x aː t ʃ n ɛ k ə
achern	a x ɐ n
achillesferse	a x ɪ l ə s f ɛ r z ə
achillessehne	a x ɪ l ɛ s z eː n ə
achim	a x iː m
achselklappe	a k s ə l k l a p ə
achselstück	a k s ə l ʃ t ʏ k
achselzucken	a k s l̩ t͡s ʊ k n̩
achselzuckend	a k s l̩ t͡s ʊ k n̩ t
achsenmacht	a k s n̩ m a x t
achsenzeit	a k s n̩ t͡s a ɪ̯ t
acht	a x t
achtarmig	a x t ʔ a ʁ m ɪ k
achtbar	a χ t b aː ɐ̯
achtbarkeit	a χ t b aː ɐ̯ k a ɪ̯ t
achteck	a x t ɛ k
achteckig	a χ t ɛ k ɪ k
achteckige	a x t ʔ ɛ k ɪ ɡ ə
achteckigem	a x t ʔ ɛ k ɪ ɡ ə m
achteckigen	a x t ʔ ɛ k ɪ ɡ n̩
achteckiger	a x t ʔ ɛ k ɪ ɡ ɐ
achteckiges	a x t ʔ ɛ k ɪ ɡ ə s
achteckpyramide	a x t ɛ k p y ʁ a m iː d ə
achteckpyramiden	a x t ɛ k p y ʁ a m iː d ə n
achtel	a x t ə l
achtelnote	a x t l̩ n oː t ə
achtens	a x t n̩ s
achter	a x t ɐ
achterer	a x t ə ʁ ɐ
achterl	a x t ɛ ʁ l
achtern	a x t ɐ n
achterschiff	a x t ɐ ʃ ɪ f
achterteil	a x t ə ʁ t a ɪ̯ l
achtfach	a x t f a x
achtflächner	a x t f l ɛ ç n ɐ
achtfüßig	a x t f yː s ɪ ç
achtgeben	a χ t ɡ eː b n̩
achtgeschossig	a x t ɡ ə ʃ ɔ s ɪ k
achthundert	a x t h ʊ n d ɐ t
achthundertjährig	a x t h ʊ n d ɐ t j ɛː ʁ ɪ ç
achthunderttausend	ɑ x t h ʊ n d ɐ t t a ʊ z n̩ t
achtjährig	a x t j eː ʁ ɪ ç
achtkampf	a x t k a m p͡f
achtkantig	a x t k a n t ɪ ç
achtköpfig	a x t k œ p f ɪ ç
achtköpfiger	a x t k œ p͡f ɪ ɡ ɐ
achtmal	a x t m aː l
achtminütig	a x t m i n yː t ɪ ç
achtprozentig	a x t p ʁ o t͡s ɛ n t ɪ ç
achtsaitig	a x t z a ɪ̯ t ɪ k
achtsam	a x t z a m
achtsamkeit	a χ t z aː m k a ɪ̯ t
achtsilbig	a x t z ɪ l b ɪ ç
achtsprachig	a x t ʃ p ʁ aː χ ɪ k
achtstündig	a x t ʃ t ʏ n d ɪ k
achttausend	ɑ x t t a ʊ z n̩ t
achttausendfach	ɑ x t t a ʊ z n̩ t f a χ
achttausendmal	ɑ x t t a ʊ z n̩ t m aː ɮ̩
achttausendste	ɑ x t t a ʊ z n̩ t͡s t ə
achttausendstel	ɑ x t t a ʊ z n̩ t͡s t ɮ̩
achttägig	a x t t ɛː ɡ ɪ ç
achtundachtzig	a x t ʊ n t a x t͡s ɪ ç
achtundachtzigste	a x t ʊ n t a x t͡s ɪ ç s t ə
achtunddreissigmal	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç m aː l
achtunddreissigstens	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç s t n̩ s
achtunddreißig	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç
achtunddreißigfach	a x t ʊ n d ʁ a ɪ̯ s ɪ ç f a x
achtunddreißigfacher	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç f a x ɐ
achtunddreißigjährig	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç j ɛː ʁ ɪ ç
achtunddreißigmal	a x t ʊ n t d ʁ a ɪ̯ s ɪ k m aː l
achtunddreißigminütig	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç m i n yː t ɪ ç
achtunddreißigminütiger	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç m i n yː t ɪ ɡ ɐ
achtunddreißigste	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə
achtunddreißigstel	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə l
achtunddreißigstels	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç s t ə l s
achtunddreißigstens	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç s t n̩ s
achtunddreißigstündiger	a x t ʊ n t d ʁ a ɪ̯ s ɪ ç ʃ t ʏ n d ɪ ɡ ɐ
achtundfünfzig	a x t ʊ n t f ʏ n f t͡s ɪ ç
achtundfünfzigfach	a x t ʊ n t f ʏ n f t͡s ɪ ç f a x
achtundfünfzigjährig	a x t ʊ n t f ʏ n f t͡s ɪ ç j ɛː ʁ ɪ ç
achtundfünfzigmal	a x t ʊ n t f ʏ n f t͡s ɪ ç m aː l
achtundfünfzigste	a x t ʊ n t f ʏ n f t͡s ɪ ç s t ə
achtundneunzig	a x t ʊ n t n ɔ ɪ̯ n t͡s ɪ ç
achtundneunzigste	a x t ʊ n t n ɔ ɪ̯ n t͡s ɪ ç s t ə
achtundsechzig	a x t ʊ n t z ɛ ç t͡s ɪ ç
achtundsechzigste	a x t ʊ n t z ɛ ç t͡s ɪ ç s t ə
achtundsiebzig	a x t ʊ n t z iː p t͡s ɪ ç
achtundsiebzigste	a x t ʊ n t z iː p t͡s ɪ ç s t ə
achtundvierzig	a x t ʊ n t f ɪ ʁ t͡s ɪ ç
achtundvierzigeck	a x t ʊ n t f ɪ ʁ t͡s ɪ ç ɛ k
achtundvierzigecke	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ɛ k ə
achtundvierzigeckes	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ɛ k ə s
achtundvierzigeckig	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ɛ k ɪ ç
achtundvierzigecks	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ɛ k s
achtundvierzigfach	a x t ʊ n t f ɪ ʁ t͡s ɪ k f a x
achtundvierzigjährig	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç j ɛː ʁ ɪ ç
achtundvierzigjährige	a x t ʊ n t f ɪ ɐ̯ t͡s ɪ ç j ɛː ʁ ɪ ɡ ə
achtundvierzigjähriger	a x t ʊ n t f ɪ ɐ̯ t͡s ɪ ç j ɛː ʁ ɪ ɡ ɐ
achtundvierzigköpfig	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç k œ p f ɪ ç
achtundvierzigmal	a x t ʊ n t f ɪ ɐ̯ t s ɪ k m aː l
achtundvierzigminütig	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç m i n yː t ɪ ç
achtundvierzigminütiger	a x t ʊ n t f ɪ ɐ̯ t͡s ɪ ç m i n yː t ɪ ɡ ɐ
achtundvierzigmonatig	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç m oː n a t ɪ ç
achtundvierzigste	a x t ʊ n t f ɪ ʁ t͡s ɪ ç s t ə
achtundvierzigstel	a x t ʊ n t f ɪ ʁ t͡s ɪ ç s t ə l
achtundvierzigstels	a x t ʊ n t f ɪ ʁ t͡s ɪ ç s t ə l s
achtundvierzigstens	a x t ʊ n t f ɪ ʁ t͡s ɪ k s t n̩ s
achtundvierzigster	a x t ʊ n t f ɪ ʁ t͡s ɪ ç s t ɐ
achtundvierzigstündig	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç ʃ t ʏ n d ɪ ç
achtundvierzigstündiger	a x t ʊ n t f ɪ ɐ̯ t͡s ɪ ç ʃ t ʏ n d ɪ ɡ ɐ
achtundvierzigtägig	a x t ʊ n t f ɪ ɐ̯ t s ɪ k t ɛː ɡ ɪ k
achtundvierzigwöchig	a x t ʊ n t f ɪ ɐ̯ t s ɪ ç v œ ç ɪ ç
achtundzwanzig	a x t ʊ n t t͡s v a n t͡s ɪ ç
achtundzwanzigecke	a x t ʊ n t t͡s v a n t͡s ɪ ç ɛ k ə
achtundzwanzigeckes	a x t ʊ n t t͡s v a n t͡s ɪ ç ɛ k ə s
achtundzwanzigeckig	a x t ʊ n t t͡s v a n t͡s ɪ ç ɛ k ɪ ç
achtundzwanzigecks	a x t ʊ n t t͡s v a n t͡s ɪ ç ɛ k s
achtundzwanzigfach	a x t ʊ n t t͡s v a n t͡s ɪ ç f a x
achtundzwanzigfacher	a x t ʊ n t t͡s v a n t͡s ɪ ç f a x ɐ
achtundzwanzigjährig	a x t ʊ n t͡s v a n t͡s ɪ ç j ɛː ʁ ɪ ç
achtundzwanzigköpfiger	a x t ʊ n t͡s v a n t͡s ɪ ç k œ p f ɪ ɡ ɐ
achtundzwanzigmal	a x t ʔ ʊ n t t͡s v a n t͡s ɪ ç m aː l
achtundzwanzigminütig	a x t ʊ n t͡s v a n t͡s ɪ ç m i n yː t ɪ ç
achtundzwanzigminütiger	a x t ʊ n t͡s v a n t͡s ɪ ç m i n yː t ɪ ɡ ɐ
achtundzwanzigste	a x t ʊ n t t͡s v a n t͡s ɪ ç s t ə
achtundzwanzigstel	a x t ʊ n t t͡s v a n t͡s ɪ ç s t ə l
achtundzwanzigstels	a x t ʊ n t t͡s v a n t͡s ɪ ç s t ə l s
achtundzwanzigstens	a x t ʔ ʊ n t t͡s v a n t͡s ɪ ç s t n̩ s
achtundzwanzigstündig	a x t ʊ n t t͡s v a n t͡s ɪ k ʃ t ʏ n d ɪ k
achtundzwanzigstündiger	a x t ʊ n t t͡s v a n t͡s ɪ ç ʃ t ʏ n d ɪ ɡ ɐ
achtundzwanzigwöchig	a x t ʊ n t͡s v a n t͡s ɪ ç v œ ç ɪ ç
achtundzwanzigwöchiger	a x t ʊ n t͡s v a n t͡s ɪ ç v œ ç ɪ ɡ ɐ
achtungserfolg	a x t ʊ ŋ s ɛ r f ɔ l k
achtwertig	a x t v eː ɐ̯ t ɪ k
achtwöchig	a x t v œ ç ɪ ç
achtzehneck	a x t s eː n ɛ k
achtzehnecke	a x t s eː n ɛ k ə
achtzehneckes	a x t s eː n ɛ k ə s
achtzehneckig	a x t͡s eː n ɛ k ɪ ç
achtzehneckiger	a x t s eː n ɛ k ɪ ɡ ɐ
achtzehnecks	a x t s eː n ɛ k s
achtzehnfach	a x t͡s eː n f a χ
achtzehnjährig	a x t͡s eː n j ɛː ʁ ɪ ç
achtzehnköpfig	a x t͡s eː n k œ p f ɪ ç
achtzehnköpfiger	a x t͡s eː n k œ p f ɪ ɡ ɐ
achtzehnmal	a x t s eː n m aː l
achtzehnminütig	a x t s eː n m i n yː t ɪ ç
achtzehnstündig	a x t͡s eː n ʃ t ʏ n d ɪ ç
achtzehntel	a x t͡s eː n t ə l
achtzehntels	a x t͡s eː n t ə l s
achtzehntens	a x t s eː n t ə n s
achtzehntägig	a x t͡s eː n t ɛː ɡ ɪ ç
achtzehntägiger	a x t͡s eː n t ɛː ɡ ɪ ɡ ɐ
achtzehnwöchig	a x t s eː n v œ ç ɪ ç
achtzig	a x t͡s ɪ k
achtzigeck	a x t s ɪ ç ɛ k
achtzigecke	a x t s ɪ ç ɛ k ə
achtzigeckes	a x t s ɪ ç ɛ k ə s
achtzigecks	a x t s ɪ ç ɛ k s
achtzigfach	a x t͡s ɪ k f a x
achtzigjährig	a x t s ɪ ç j eː ʁ ɪ ç
achtzigmal	a x t͡s ɪ ç m aː l
achtzigminütig	a x t͡s ɪ ç m i n yː t ɪ ç
achtzigprozentig	a x t͡s ɪ k p ʁ o t͡s ɛ n t ɪ k
achtzigste	a x t s ɪ k s t ə
achtzigtausend	ɑ x t s ɪ ç t a ʊ z n̩ t
achtzigtausendfach	ɑ x t s ɪ ç t a ʊ z n̩ t f a χ
achtzigtausendmal	ɑ x t s ɪ ç t a ʊ z n̩ t m aː ɮ̩
achtzigtausendste	ɑ x t s ɪ ç t a ʊ z n̩ t͡s t ə
achtzigtausendstel	ɑ x t s ɪ ç t a ʊ z n̩ t͡s t ɮ̩
achtzigtägig	a x t s ɪ k t ɛː ɡ ɪ k
achtzigtägiger	a x t͡s ɪ ç t ɛː ɡ ɪ ɡ ɐ
acidität	a t s i d i t ɛː t
ackermann	a k ɐ m a n
acryl	a k ʁ yː l
acrylfarbe	a k ʁ yː l f a ʁ b ə
acrylglas	a k ʁ yː l ɡ l aː s
action	ɛ k t ʃ ə n
actioncomic	ɛ k t͡ʃ n̩ k ɔ m ɪ k
actionfilm	ɛ k t͡ʃ n̩ f ɪ l m
adabei	aː d a b a ɪ̯
adalbert	aː d a l b ɛ ʁ t
adam	aː d a m
adamec	a d a m ɛ t͡s
adametz	a d a m ɛ t͡s
adaption	a d a p t͡s i̯ oː n
adden	ɛ d n̩
addieren	a d iː r ə n
additiv	a d i t iː f
adebar	aː d ə b aː ɐ̯
adelbert	aː d l̩ b ɛ ʁ t
adele	a d eː l ə
adelig	aː d ə l ɪ k
adelsbezeichnung	aː d l̩ s b ə t͡s a ɪ̯ ç n ʊ ŋ
adelsbezeichnungen	aː d l̩ s b ə t͡s a ɪ̯ ç n ʊ ŋ ə n
adelsgeschlecht	ʔ aː d l̩ ɡ ə ʃ l ɛ ç t
adelsheim	aː d l̩ s h a ɪ̯ m
adelsname	aː d ə l s n aː m ə
adelsprädikat	aː d l̩ s p ʁ ɛ d i k aː t
adelsstand	aː d l̩ s ʃ t a n t
adenin	a d e n iː n
adenom	a d e n oː m
adenosintriphosphat	a d e n o z iː n t ʁ iː f ɔ s f aː t
aderhaut	aː d ɐ h a u t
aderlass	aː d ɐ l a s
adhs	aː d eː h aː ʔ ɛ s
adhäsion	a t h ɛ z ɪ̯ oː n
adidas	a d i d a s
adieu	a d j øː
adilette	a d i l ɛ t ə
adjektiv	a d j ɛ k t iː f
adjektive	a t j ɛ k t iː v ə
adjunkt	a t j ʊ n k t
adjunktor	a t j ʊ ŋ k t oː ɐ̯
adjutant	a d j u t a n t
adlatus	a d l aː t ʊ s
adler	aː d l ə r
adlerartig	aː d l ɐ ʔ a ʁ t ɪ ç
adlerauge	aː d l ɐ ʔ a ʊ̯ ɡ ə
adlerfarn	aː d l ɐ f a ʁ n
adlernase	aː d l ɐ n aː z ə
adlers	ʔ aː d l ɐ s
adlig	aː d l ɪ k
adliger	aː d l ɪ ɡ ɐ
administrativ	a t m i n ɪ s t ʁ a t iː f
administrieren	a t m i n ɪ s t ʁ iː ɐ̯ n
admiral	a d m i ʁ aː l
adobe	a d oː b ə
adolf	aː d ɔ l f
adonai	a d o n aː i
adposition	a t p o z i t͡s i̯ oː n
adrenalin	a d ʁ e n a l iː n
adressat	a d ʁ ɛ s aː t
adressbuch	a d ʁ ɛ s b uː χ
adria	aː d ʁ i a
adrian	aː d ʁ i aː n
adriane	a d ʁ i aː n ə
adrianen	a d ʁ i aː n ə n
adrians	a d ʁ i aː n s
adriatisch	a d ʁ i aː t ɪ ʃ
advente	ʔ a t v ɛ n t ə
adventen	ʔ a t v ɛ n t n̩
adventes	ʔ a t v ɛ n t ə s
adventkalender	ʔ a t v ɛ n t k a l ɛ n d ɐ
adventkranz	ʔ a t v ɛ n t k ʁ a n t s
advents	ʔ a t v ɛ n t s
adventskalender	ʔ a t v ɛ n t s k a l ɛ n d ɐ
adventskalendern	ʔ a t v ɛ n t s k a l ɛ n d ɐ n
adventskalenders	ʔ a t v ɛ n t s k a l ɛ n d ɐ s
adventskranz	ʔ a t v ɛ n t s k ʁ a n t s
adventszeit	a t v ɛ n t͡s t͡s a ɪ̯ t
adverb	a t v ɛ ʁ p
adverbial	ʔ a t v ɛ ɐ̯ b i̯ aː l
adverbialbestimmung	a t v ɛ ʁ b i̯ aː l b ə ʃ t ɪ m ʊ ŋ
adverbialsatz	a t v ɛ ʁ b i̯ aː l z a t͡s
advokat	a t v o k aː t
aerobier	a e ʁ oː b i̯ ɐ
aerobiern	a e ʁ oː b i̯ ɐ n
aerobiologie	a e ʁ o b i o l o ɡ iː
aerobiont	a e ʁ o b i̯ ɔ n t
aerodynamik	a e ʁ o d y n aː m ɪ k
aerodynamisch	a e ʁ o d y n aː m ɪ ʃ
aeroplan	a e ʁ o p l aː n
affenbrotbaum	a f n̩ b ʁ oː t b a ʊ̯ m
affengriff	a f ə n ɡ ʁ ɪ f
affenhorde	a f ŋ h ɔ ʁ d ə
affenliebe	a f n̩ l iː b ə
affenpocken	a f n̩ p ɔ k n̩
affentheater	a f n̩ t e ʔ aː t ɐ
affichieren	a f ɪ ʃ iː ɐ̯ n
affig	a f ɪ k
affinität	a f i n i t ɛː t
affirmativ	a f ɪ ʁ m a t iː f
affrikate	a f ʁ i k aː t ə
affront	a f ʁ ɔ̃ː
affäre	a f ɛː r ə
afghanistan	a f ɡ aː n ɪ s t aː n
afrika	a f ʁ i k a
afrikaans	a f ʁ i k aː n s
afrikaner	ʔ a f ʁ i k aː n ɐ
afrobeat	a f ʁ o b iː t
afrobeats	a f ʁ o b iː t s
afrodeutsch	a f ʁ oː d ɔ ʏ̯ t͡ʃ
afrodeutsche	a f ʁ oː d ɔ ʏ̯ t͡ʃ ə
afrodeutschem	aː f ʁ o d ɔ ɪ̯ t͡ʃ m̩
afrodeutschen	aː f ʁ o d ɔ ɪ̯ t͡ʃ n̩
afrodeutscher	a f ʁ oː d ɔ ʏ̯ t͡ʃ ɐ
afterkind	a f t ɐ k ɪ n t
afterlehen	a f t ɐ l eː ə n
afterreden	a f t ɐ ʁ eː d n̩
