'ch	χ
amdan	a m d a n
amdana	a m d a n a
amdanaf	a m d a n a v
amdanat	a m d a n a t
amdani	a m d a n i
amdano	a m d a n ɔ
amdanoch	a m d a n ɔ χ
amdanom	a m d a n ɔ m
amdanon	a m d a n ɔ n
amdanot	a m d a n ɔ t
amdanyn	a m d a n ɪ n
amdanynt	a m d a n ɪ n t
amddiffyn	a m ð ɪ f ɪ n
amddiffynnaf	a m ð ɪ f ə n a v
ameba	a m eː b a
america	a m ɛ r ɪ k a
americanes	a m ɛ r ɪ k a n ɛ s
americanwr	a m ɛ r ɪ k a n ʊ r
americiwm	a m ɛ r ɪ k j ʊ m
amerig	a m eː r ɪ ɡ
amethyst	a m ɛ θ ɪ s d
amffibiad	a m f ɪ b j a d
amgae	a m ɡ a i̯
amgaeedig	a m ɡ e i̯ eː d ɪ ɡ
amgaeiff	a m ɡ e i̯ ɪ f
amgaeith	a m ɡ e i̯ ɪ θ
amguedd	a m ɡ iː ɛ ð
amgueddfa	a m ɡ i ɛ ð v a
amgyffred	a m ɡ ə f r ɛ d
amgylch	a m ɡ ɪ l χ
amgylchedd	a m ɡ ə l χ ɛ ð
amgylcheddol	a m ɡ ə l χ eː ð ɔ l
amgylchedig	a m ɡ ə ɬ χ eː d ɪ ɡ
amgylchiedig	a m ɡ ə ɬ χ j eː d ɪ ɡ
amgylchyn	a m ɡ ə l χ ɪ n
amgáu	a m ɡ a i̯
amharchu	a m h a r χ i
amharchus	a m h a r χ ɪ s
amharu	a m h a r i
amhendant	a m h ɛ n d a n t
amhenderfynol	a m h ɛ n d ɛ r v ə n ɔ l
amhenodol	a m h ɛ n oː d ɔ l
amherffaith	a m̥ h ɛ r f a i̯ θ
amheuaeth	a m h e i̯ a i̯ θ
amheuaf	a m h e i̯ a
amheus	a m h e ɪ s
amholiticaidd	a m h ɔ l ɪ t ɪ k a i̯ ð
amhosib	a m h ɔ s ɪ b
amhrisiadwy	a m̥ r̥ ɪ s j a d ʊ i̯
amhroffidiol	a m̥ r ɔ f ɪ d j ɔ l
amhrofiadol	a m̥ r ɔ v j a d ɔ l
amhrydlon	a m h r ə d l ɔ n
amhurdeb	a m̥ ɪ r d ɛ b
amhuredd	a m̥ iː r ɛ ð
amhûr	a m̥ iː r
amig	a m ɪ ɡ
amlach	a m l a χ
amlannirlawn	a m l a n ɪ r l a u̯ n
amlawdd	a m l a u̯ ð
amlbriod	a m l b r iː ɔ d
amlddewis	a m l ð ɛ u̯ ɪ s
amldduw	a m l ð ɪ u̯
amldduwiad	a m l ð ɪ u̯ j a d
amldduwiaeth	a m l ð ɪ u̯ j a i̯ θ
amldduwiol	a m l ð ɪ u̯ j ɔ l
amldonfedd	a m a l d ɔ n v a ð
amleiriog	a m l e i̯ r j ɔ ɡ
amlen	a m l ɛ n
amlffurf	a m l f ɪ r v
amlgarwriaeth	a m a l ɡ a r ʊ r j a i̯ θ
amlgarwriaethol	a m a l ɡ a r ʊ r j e i̯ θ ɔ l
amlgellog	a m l ɡ ɛ ɬ ɔ ɡ
amlhad	a m l h aː d
amlhau	a m l h a i̯
amlieithog	a m l j e ɪ θ ɔ ɡ
amlin	a m l ɪ n
amlinell	a m l iː n ɛ ɬ
amlinelliad	a m l ɪ n ɛ ɬ j a d
amlinellu	a m l ɪ n ɛ ɬ i
amlochrog	a m l ɔ χ r ɔ ɡ
amlodd	a m l oː ð
amlosgi	a m l ɔ s ɡ i
amlweddog	a m l w eː ð ɔ ɡ
amlwg	a m l ʊ ɡ
amlygrwydd	a m l ə ɡ r ʊ i̯ ð
amlygu	a m l ə ɡ i
amlygwr	a m l ə ɡ ʊ r
amlygydd	a m l ə ɡ ɪ ð
amlygyn	a m l ə ɡ ɪ n
amlyn	a m l ɪ n
amnaid	a m n a i̯ d
amnewid	a n n ɛ u̯ ɪ d
amobr	a m ɔ b r
amod	a m ɔ d
amodau	a m oː d a i̯
amodi	a m oː d i
amodiad	a m ɔ d j a d
amodol	a m oː d ɔ l
amorffaidd	a m ɔ r f a i̯ ð
amos	a m ɔ s
amranflew	a m r a n v l ɛ u̯
amrannau	a m r a n a i̯
amrant	a m r a n t
amrantiad	a m r a n t j a d
amranwen	a m r a n w ɛ n
amrwd	a m r ʊ d
amrwymo	a m r ʊ i̯ m ɔ
amryffurf	a m r ə f ɪ r v
amryffurfedd	a m r ə f ɪ r v ɛ ð
amryw	a m r ɪ u̯
amrywedd	a m r ɪ u̯ j ɛ ð
amrywiad	a m r ɪ u̯ j a d
amrywiadau	a m r ɪ u̯ j a d a i̯
amrywiaeth	a m r ɪ u̯ j a i̯ θ
amrywiaethau	a m r ɪ u̯ j e i̯ θ a i̯
amrywio	a m r ɪ u̯ j ɔ
amrywiol	a m r ɪ u̯ j ɔ l
amser	a m s ɛ r
amserau	a m s eː r a i̯
amseriad	a m s ɛ r j a d
amseriadur	a m s ɛ r j a d ɪ r
amseriaduron	a m s ɛ r j a d iː r ɔ n
amserlen	a m s ɛ r l ɛ n
amserlenni	a m s ɛ r l ɛ n i
amseroedd	a m s eː r ɔ i̯ ð
amseru	a m s eː r i
amsugno	a m s ɪ ɡ n ɔ
amwys	a m ʊ i s
amwysedd	a m w ɨ s ɛ ð
amwythig	a m ʊ i̯ θ ɪ ɡ
anabl	a n a b l
anabledd	a n a b l ɛ ð
anableddau	a n a b l eː ð a i̯
anachroniaeth	a n a χ r ɔ n j a i̯ θ
anaddas	a n a ð a s
anadla	a n a d l a
anadlad	a n a d l a d
anadlaf	a n a d l a v
anadlo	a n a d l ɔ
anadlu	a n a d l i
anadnabyddus	a n a d n a b ə ð ɪ s
anaeddfed	a n e i̯ ð v ɛ d
anaeddfedrwydd	a n e i̯ ð v ɛ d r ʊ i̯ ð
anaerobig	a n e i̯ r oː b ɪ ɡ
anaf	a n a v
anafa	a n a v a
anafaf	a n a v a
anafai	a n a v a i̯
anafais	a n a v a i̯ s
anafes	a n a v ɛ s
anafiadau	a n a v j a d a i̯
anafsai	a n a v s a i̯
anafu	a n a v i
anair	a n a i̯ r
anal	a n a l
analiad	a n a l j a d
analu	a n a l i
anaml	a n a m l
anamlder	a n a m l d ɛ r
anamledd	a n a m l ɛ ð
anamlwg	a n a m l ʊ ɡ
anamodol	a n a m oː d ɔ l
anamserol	a n a m s eː r ɔ l
anap	a n a p
anaplastig	a n a p l a s t ɪ ɡ
anarawd	a n a r a u̯ d
anarchiaeth	a n a r χ j a i̯ θ
anarfog	a n a r v ɔ ɡ
anawsterau	a n a u̯ s d eː r a i̯
andras	a n d r a s
andreas	a n d r ɛ a s
andro	a n d r oː
androw	a n d r o u̯
andwyol	a n d ʊ i̯ ɔ l
anedl	a n ɛ d l
aneffeithiol	a n ɛ f e i̯ θ j ɔ l
aneglur	a n ɛ ɡ l ɪ r
aneglurder	a n ɛ ɡ l ɪ r d ɛ r
aneira	a n e i̯ r a
aneiri	a n e i̯ r i
aneirif	a n e i̯ r ɪ v
aneirin	a n e i̯ r ɪ n
aneiriol	a n e i̯ r j ɔ l
aneirod	a n e i̯ r ɔ d
aneirwen	a n e i̯ r w ɛ n
anelu	a n eː l i
anenwog	a n ɛ n w ɔ ɡ
anerchaf	a n ɛ r χ a v
anes	a n ɛ s
anesboniadwy	a n ɛ s b ɔ n j a d ʊ i̯
anesgusodol	a n ɛ s ɡ ɪ s oː d ɔ l
anesmwyth	a n ɛ s m ʊ i̯ θ
anest	a n ɛ s t
aneurin	a n e i̯ r ɪ n
anfantais	a n v a n t a i̯ s
anfanteisiol	a n v a n t e i̯ s j ɔ l
anfanteision	a n v a n t e i̯ s j ɔ n
anfeddylgar	a n v ɛ ð ə l ɡ a r
anfedrus	a n v ɛ d r ɪ s
anferth	a n v ɛ r θ
anfetel	a n v ɛ t ɛ l
anffaeledig	a n f e i̯ l eː d ɪ ɡ
anffafriol	a n f a v r j ɔ l
anffawd	a n f a u̯ d
anffodus	a n f oː d ɪ s
anffurf	a n f ɪ r v
anffurfiedig	a n f ɪ r v j eː d ɪ ɡ
anffurfio	a n f ɪ r v j ɔ
anffurfiol	a n f ɪ r v j ɔ l
anffydd	a n f i ð
anffyddiaeth	a n f ə ð j a i̯ θ
anffyddiwr	a n f ə ð j ʊ r
anfodlon	a n v ɔ d l ɔ n
anfodlona	a n v ɔ d l oː n a
anfodlonaf	a n v ɔ d l oː n a v
anfodol	a n v oː d ɔ l
anfoesgar	a n v ɔ i̯ s ɡ a r
anfoesol	a n v ɔ i̯ s ɔ l
anfon	a n v ɔ n
anfonaf	a n v oː n a v
anfoneb	a n v oː n ɛ b
anfri	a n v r i
anfuddiol	a n v ɪ ð j ɔ l
anfwriadol	a n v ʊ r j a d ɔ l
anfwytadwy	a n v ʊ i̯ t a d ʊ i̯
anfynych	a n v ə n ɪ χ
anfynychder	a n v ə n ə χ d ɛ r
angall	a ŋ a ɬ
angau	a ŋ a i̯
angel	a ŋ ɛ l
angell	a n ɡ ɛ ɬ
angen	a ŋ ɛ n
angenrheidiol	a ŋ ɛ n r̥ e i̯ d j ɔ l
angenrheidrwydd	a ŋ ɛ n r̥ e i̯ d r ʊ i̯ ð
angerdd	a ŋ ɛ r ð
anghaffael	a ŋ̊ h a f a i̯ l
anghanfyddadwy	a ŋ h a n v ə ð a d ʊ i̯
angharad	a ŋ h a r a d
anghenion	a ŋ h ɛ n j ɔ n
anghenraid	a ŋ h ɛ n r a i̯ d
anghenus	a ŋ h eː n ɪ s
angheuoedd	a ŋ h e i̯ ɔ i̯ ð
angheuol	a ŋ h e i̯ ɔ l
anghlod	a ŋ h l ɔ d
anghlodau	a ŋ h l oː d a i̯
anghlodwiw	a ŋ h l ɔ d w ɪ u̯
anghofiadwy	a ŋ h ɔ v j a d ʊ i̯
anghofiaf	a ŋ h ɔ v j a v
anghofiedig	a ŋ h ɔ v j eː d ɪ ɡ
anghofio	a ŋ h ɔ v j ɔ
anghofrwydd	a ŋ h ɔ v r ʊ i̯ ð
anghofus	a ŋ h oː v ɪ s
anghofuster	a ŋ h ɔ v ɪ s d ɛ r
anghoroni	a ŋ h ɔ r oː n i
anghraff	a ŋ̊ r a f
anghredadwy	a ŋ h r ɛ d a d u
anghydfod	a ŋ h ə d v ɔ d
anghydfodau	a ŋ h ə d v oː d a i̯
anghydradd	a ŋ h ə d r a ð
anghydraddol	a ŋ h ə d r a ð ɔ l
anghydraddoldeb	a ŋ h ə d r a ð ɔ l d ɛ b
anghydsynio	a ŋ h ɪ d s ə n j ɔ
anghydweld	a ŋ h ɪ d w ɛ l d
anghydwelediad	a ŋ h ɪ d w ɛ l ɛ d j a d
anghydwelediadau	a ŋ h ɨ̞ d w eː l ɛ d j aː d a i̯
anghyfaddas	a ŋ h ə v a ð a s
anghyfartal	a ŋ h ə v a r t a l
anghyfforddus	a ŋ h ə f ɔ r ð ɪ s
anghyffredin	a ŋ h ə f r eː d ɪ n
anghyfiawn	a ŋ̊ h ə v j a u̯ n
anghyfiawnder	a ŋ h ə v j a u̯ n d ɛ r
anghyflawn	a ŋ h ə v l a u̯ n
anghyfleustra	a ŋ h ə v l e i̯ s d r a
anghyflogaeth	a ŋ h ə v l oː ɡ a i̯ θ
anghyfreithlon	a ŋ h ə v r e i̯ θ l ɔ n
anghymdeithasol	a ŋ h ə m d e i̯ θ a s ɔ l
anghymeradwyaeth	a ŋ h ə m eː r a d ʊ i̯ a i̯ θ
anghymeradwyol	a ŋ̊ ə m ɛ r a d u i̯ ɔ l
anghymhwyso	a ŋ h ə m h ʊ i̯ s ɔ
anghymhwyster	a ŋ h ə m h ʊ i̯ s t ɛ r
anghymreig	a ŋ h ə m r e i̯ ɡ
anghymreigio	a ŋ h ə m r e i̯ ɡ j ɔ
anghymwys	a ŋ h ə m ʊ i̯ s
anghynhyrchiol	a ŋ h ə n h ə r χ j ɔ l
anghynnes	a ŋ̊ ə n ɛ s
anghyseinedd	a ŋ h ə s e i̯ n ɛ ð
anghyson	a ŋ h ə s ɔ n
anghysoni	a ŋ h ə s oː n ɪ
anghysonol	a ŋ h ə s oː n ɔ l
anghytgord	a ŋ h ə t ɡ ɔ r d
anghytgordiau	a ŋ h ə t ɡ ɔ r d j a i̯
anghytundeb	a ŋ h ə t ɪ n d ɛ b
anghytundebau	a ŋ h ə t ɪ n d eː b a i̯
anghytuno	a ŋ h ə t iː n ɔ
anghytûn	a ŋ h ə t iː n
anghywir	a ŋ h ə w ɪ r
angladd	a ŋ l a ð
angladdau	a ŋ l a ð a i̯
angladdol	a ŋ l a ð ɔ l
angof	a ŋ ɔ v
angola	a ŋ ɡ oː l a
angor	a ŋ ɔ r
angorau	a ŋ ɔ r a a i̯
angorion	a ŋ ɔ r j ɔ n
angylaidd	a ŋ ə l a i̯ ð
angyles	a ŋ ə l ɛ s
angylesau	a ŋ ə l ɛ s a i̯
angylion	a ŋ ə l j ɔ n
anhap	a n h a p
anhapus	a n h a p ɪ s
anharddu	a n h a r ð i
anhawdd	a n h a u̯ ð
anhawster	a n h a u̯ s d ɛ r
anheddau	a n h eː ð a i̯
anhedliad	a n h ɛ d l j a d
anhedlu	a n h ɛ d l i
anhepgor	a n h ɛ b ɡ ɔ r
anhrefn	a n r̥ eː v ɛ n
anhrefnu	a n h r ɛ v n i
anhrefnus	a n r̥ ɛ v n ɪ s
anhrefnusrwydd	a n r̥ ɛ v n ɪ s r ʊ i̯ ð
anhryloyw	a n h r ə l ɔ i̯ u
anhryloywder	a n r̥ ə l ɔ i̯ w d ɛ r
anhun	a n h ɪ n
anhwylder	a n h ʊ i̯ l d ɛ r
anhwylderau	a n h ʊ i̯ l d eː r a i̯
anhwylus	a n h ʊ i̯ l ɪ s
anhwylustod	a n h ʊ i̯ l ɪ s d ɔ d
anhyblyg	a n h ə b l ɪ ɡ
anhydrin	a n h ə d r ɪ n
anhyfedr	a n h ə v ɛ d r
anhyfryd	a n h ə v r ɪ d
anhygoel	a n h ə ɡ ɔ i̯ l
anhysbys	a n h ə s b ɪ s
anhysbysyn	a n h ə s b ə s ɪ n
ania	a n j a
anial	a n j a l
anialdir	a n j a l d ɪ r
anialwch	a n j a l ʊ χ
anian	a n j a n
anianau	a n j a n a i̯
anianwr	a n j a n ʊ r
anianydd	a n j a n ɪ ð
anifail	a n iː v a i̯ l
animeiddiad	a n ɪ m e i̯ ð j a d
animeiddiadau	a n ɪ m e i̯ ð j j a d a i̯
animeiddio	a n ɪ m e i̯ ð j ɔ
animeiddiwr	a n ɪ m e i̯ ð j ʊ r
animeiddwyr	a n ɪ m e i̯ ð w ɪ r
anita	a n iː t a
anlawdd	a n l a u̯ ð
anllad	a n ɬ a d
anlwc	a n l ʊ k
anlwcus	a n l ʊ k ɪ s
ann	a n
anna	a n a
annalyn	a n a l ɪ n
anneau	a n eː a i̯
annedd	a n ɛ ð
anneheuig	a n ɛ h e i̯ ɪ ɡ
annell	a n ɛ ɬ
anner	a n ɛ r
annerbyniol	a n ɛ r b ə n j o l
annerch	a n ɛ r χ
annes	a n ɛ s
annest	a n ɛ s t
annhaclus	a n h a k l ɪ s
annhacluso	a n h a k l ɪ s ɔ
annhebyg	a n h eː b ɪ ɡ
annhebygol	a n h ɛ b ə ɡ ɔ l
annhebygrwydd	a n h ɛ b ə ɡ r ʊ i̯ ð
annheg	a n h eː ɡ
annherfynol	a n h ɛ r v ə n ɔ l
annhêr	a n h eː r
anni	a n iː
anniben	a n iː b ɛ n
annibendod	a n ɪ b ɛ n d ɔ d
annibennu	a n ɪ b ɛ n i
annibynadwy	a n ɪ b ə n a d u
anniddorol	a n ɪ ð oː r ɔ l
annifyr	a n iː v ɪ r
annifyrdod	a n ɪ v ə r d ɔ d
annifyrrwch	a n ɪ v ə r ʊ χ
annigonol	a n ɪ ɡ oː n ɔ l
annihangol	a n ɪ h a ŋ ɔ l
annirlawn	a n ɪ r l a u̯ n
annisgwyl	a n ɪ s ɡ ʊ i̯ l
annisgybledig	a n ɪ s ɡ ə b l eː d ɪ ɡ
anniwair	a n iː w a i̯ r
anniwedd	a n ɪ u̯ ɛ ð
annoeth	a n ɔ i̯ θ
annog	a n ɔ ɡ
annun	a n ɪ n
annuwiol	a n ɪ u̯ j ɔ l
annwyd	a n ʊ i̯ d
annwyl	a n ʊ i̯ l
anobaith	a n oː b a i θ
anobeithiau	a n ɔ b e i̯ θ j a i̯
anobeithio	a n ɔ b e i̯ θ j ɔ
anobeithiol	a n ɔ b e i̯ θ j ɔ l
anochel	a n oː χ ɛ l
anocheledd	a n ɔ χ eː l ɛ ð
anodd	a n ɔ ð
anoddach	a n oː ð a χ
anoddaf	a n oː ð a
anodded	a n oː ð ɛ d
anofalus	a n ɔ v a l ɪ s
anogaf	a n oː ɡ a
anona	a n ɔ n a
anorffen	a n ɔ r f ɛ n
anrhaith	a n r̥ a i̯ θ
anrheg	a n r̥ ɛ ɡ
anrheithio	a n r̥ e i̯ θ j ɔ
anrhydedd	a n h r ə d ɛ ð
anrhydeddu	a n h r ə d eː ð i
anrhydeddus	a n h r ə d eː ð ɪ s
ansadrwydd	a n s a d r ʊ i̯ ð
ansawdd	a n s a u̯ ð
ansefydlogrwydd	a n s ɛ v ə d l ɔ ɡ r ʊ i̯ ð
ansicr	a n s ɪ k r̩
ansoddair	a n s oː ð a i̯ r
ansoddeiriau	a n s ɔ ð e i̯ r j a i̯
ansoddeiriol	a n s ɔ ð eː r j ɔ l
ansoddol	a n s oː ð ɔ l
ansylweddol	a n s ə l w eː ð ɔ l
anthem	a n θ ɛ m
anthemau	a n θ ɛ m a i̯
anther	a n θ ɛ r
anti	a n t i
antigwa	a n t ɪ ɡ w a
antimoni	a n t ɪ m ɔ n i
antur	a n t ɪ r
anturiaeth	a n t ɪ r j a i θ
anturiaethau	a n t ɪ r j a i θ a i
anturion	a n t ɪ r j ɔ n
anuniongyrchol	a n ɪ n j ɔ ŋ ɡ ə r χ ɔ l
anwadal	a n w a d a l
anwadalu	a n w a d a l i
anwaraidd	a n w a r a i̯ ð
anwe	a n w e
anwedd	a n w ɛ ð
anweddiad	a n w ɛ ð j a d
anweddol	a n w eː ð ɔ l
anweddu	a n w eː ð i
anweddus	a n w eː ð ɪ s
anweladwy	a n w ɛ l a d ʊ i̯
anweledig	a n w ɛ l eː d ɪ ɡ
anwen	a n w ɛ n
anwes	a n w ɛ s
anwesiad	a n w ɛ s j a d
anwesu	a n w ɛ s i
anwir	a n w ɪ r
anwleidyddol	a n w l e i̯ d ə ð ɔ l
anwn	a n ʊ n
anwrol	a n uː r ɔ l
anwybod	a n w ɪ b ɔ d
anwybodus	a n w ɪ b oː d ɪ s
anwybyddu	a n w ɪ b ə ð i
anwyl	a n ʊ i̯ l
anwylio	a n ʊ i̯ l j ɔ
anwylo	a n ʊ i̯ l ɔ
anwylu	a n ʊ i̯ l i
anwylyn	a n ʊ i̯ l ɪ n
anwythiad	a n ʊ i̯ θ j a d
anwythiant	a n ʊ i̯ θ j a n t
anwytho	a n ʊ i̯ θ ɔ
anwythol	a n ʊ i̯ θ ɔ l
anwythydd	a n ʊ i̯ θ ɪ ð
anysbryd	a n ə s b r ɪ d
anysbrydol	a n ə s b r ə d ɔ l
anystyr	a n ə s d ɪ r
anystyrgar	a n ə s d ə r ɡ a r
anystyriol	a n ə s d ə r j ɔ l
anystywallt	a n ə s d ə u̯ a ɬ d
ap	a p
apeliadau	a p ɛ l j a d a i̯
apig	a p ɪ ɡ
apostol	a p ɔ s d ɔ l
apostolaidd	a p ɔ s d ɔ l a i̯ ð
apostolig	a p ɔ s d ɔ l ɪ ɡ
apostolion	a p ɔ s d ɔ l j ɔ n
apwyntiad	a p ʊ i̯ n t j a d
apwyntio	a p ʊ i̯ n t j o
apêl	a p eː l
ar	a r
arab	a r a b
arabaidd	a r a b a i̯ ð
arabeg	a r a b ɛ ɡ
arabes	a r a b ɛ s
arabiad	a r a b j a d
arabiaid	a r a b j a i̯ d
arad	aː r a d
aradr	a r a d
araf	a r a v
arafa	a r a v a
arafaf	a r a v a
arafodd	a r a v ɔ ð
arafu	a r a v i
arafwch	a r a v ʊ χ
arall	a r a ɬ
arallfyd	a r a ɬ v ɪ d
aran	a r a n
aranianoliaeth	a r a n j a n ɔ l j a i̯ θ
aranli	a r a n l i
aranrhod	a r a n r̥ ɔ d
aranwen	a r a n w ɛ n
aranwy	a r a n ʊ i̯
arawd	a r a u̯ d
arawn	a r a u̯ n
arbed	a r b ɛ d
arbedadwy	a r b ɛ d a d ʊ i̯
arbedaf	a r b eː d a
arbenigo	a r b ɛ n iː ɡ ɔ
arbennig	a r b ɛ n ɪ ɡ
arberth	a r b ɛ r θ
arbrawf	a r b r a u̯ v
arbrofi	a r b r oː v i
arbrofiad	a r b r ɔ v j a d
arch	a r χ
archaea	a r χ e i̯ a
archangel	a r χ a ŋ ɛ l
archangylion	a r χ a ŋ ə l j ɔ n
archdderwydd	a r χ ð ɛ r w ɪ ð
archdeyrniaeth	a r χ d e i̯ r n j a i̯ θ
archdeyrniaethau	a r χ d e i̯ r n j e i̯ θ a i̯
archeb	a r χ ɛ b
archebion	a r χ ɛ b j ɔ n
archebu	a r χ eː b i
archentaidd	a r χ ɛ n t a i̯ ð
archentiad	a r χ ɛ n t j a d
archentwr	a r χ ɛ n t ʊ r
archentwraig	a r χ ɛ n t w r a i̯ ɡ
archesgob	a r χ ɛ s ɡ ɔ b
archesgobion	a r χ ɛ s ɡ ɔ b j ɔ n
archfarchnad	a r χ v a r χ n a d
archfarchnadoedd	a r χ v a r χ n a d ɔ i̯ ð
archiad	a r χ j a d
archoll	a r χ ɔ ɬ
archolli	a r χ ɔ ɬ i
archser	a r χ s ɛ r
archseren	a r χ s eː r ɛ n
archwiliad	a r χ w ɪ l j a d
archwilio	a r χ w ɪ l j ɔ
archwiliwr	a r χ w ɪ l j ʊ r
ardal	a r d a l
ardaloedd	a r d a l ɔ i̯ ð
ardd	a r ð
arddaf	a r ð a v
arddangos	a r ð a ŋ ɡ ɔ s
arddangosfa	a r ð a ŋ ɡ ɔ s v a
arddangosfeydd	a r ð a ŋ ɡ ɔ s v e i̯ ð
arddansoddiad	a r ð a n s ɔ ð j a d
arddansoddiaeth	a r ð a n s ɔ ð j ɛ θ
arddel	a r ð ɛ l
arddelw	a r ð ɛ l u
arddelwon	a r ð ɛ l w ɔ n
ardderchog	a r ð ɛ r χ ɔ ɡ
arddio	a r ð j ɔ
arddodi	a r ð oː d i
arddodiad	a r ð ɔ d j a d
arddodiaid	a r ð ɔ d j a i̯ d
arddu	a r ð i
arddun	a r ð ɪ n
arddur	a r ð ɪ r
arddwrn	a r ð ʊ r n
arddyrnau	a r ð ə r n a i̯
ardir	a r d ɪ r
ardudfyl	a r d ɪ d v ɪ l
ardudwen	a r d ɪ d w ɛ n
aredaf	a r eː d a
aredig	a r eː d ɪ ɡ
aren	a r ɛ n
arennau	a r ɛ n a i̯
arestiad	a r ɛ s d j a d
arestiadau	a r ɛ s d j a d a i̯
arestio	a r ɛ s d j ɔ
arf	a r v
arfarnu	a r v a r n i
arfau	a r v a i̯
arfbais	a r v b a i̯ s
arfbeisiau	a r v b e i̯ s j a i̯
arfedd	a r v ɛ ð
arfeddion	a r v ɛ ð j ɔ n
arfeddog	a r v eː ð ɔ ɡ
arfer	a r v ɛ r
arferol	a r v eː r ɔ l
arffed	a r f ɛ d
arffedog	a r f eː d ɔ ɡ
arfod	a r v ɔ d
arfodau	a r v oː d a i̯
arfodion	a r v ɔ d j ɔ n
arfog	a r v ɔ ɡ
arfon	a r v ɔ n
arfona	a r v ɔ n a
arfonia	a r v ɔ n j a
arfor	a r v ɔ r
arfryn	a r v r ɪ n
arg	a r ɡ
argae	a r ɡ a i̯
argaen	a r ɡ a i̯ n
argaenau	a r ɡ e i̯ n a i̯
arglawdd	a r ɡ l a u̯ ð
arglwydd	a r ɡ l ʊ i̯ ð
arglwyddes	a r ɡ l ʊ i̯ ð ɛ s
arglwyddesau	a r ɡ l ʊ i̯ ð ɛ s a i̯
arglwyddi	a r ɡ l ʊ i̯ ð i
arglwyddiaeth	a r ɡ l ʊ i ð j a i θ
argoed	a r ɡ oː d
argoel	a r ɡ ɔ i̯ l
argon	a r ɡ ɔ n
argraff	a r ɡ r a f
argraffiad	a r ɡ r a f j a d
argraffiadaeth	a r ɡ r a f j a d a i̯ θ
argraffiadau	a r ɡ r a f j a d a i̯
argraffiadol	a r ɡ r a f j a d ɔ l
argraffiadwyr	a r ɡ r a f j a d w ɪ r
argraffiadydd	a r ɡ r a f j a d ɪ ð
argraffu	a r ɡ r a f i
argraffwr	a r ɡ r a f ʊ r
argraffwyr	a r ɡ r a f w ɪ r
argraffydd	a r ɡ r a f ɪ ð
argraffyddion	a r ɡ r a f ə ð j ɔ n
argrafiadau	a r ɡ r a f j a d a i̯
argroen	a r ɡ r ɔ i̯ n
argyfwng	a r ɡ ə v ʊ ŋ
argyfyngau	a r ɡ ə v ə ŋ a i̯
argyfyngus	a r ɡ ə v ə ŋ ɪ s
argyhoeddi	a r ɡ ə h ɔ i̯ ð i
argyhoeddiad	a r ɡ ə h ɔ i̯ ð j a d
arholi	a r h oː l i
arholiad	a r h ɔ l j a d
arholiadau	a r h ɔ l j a d a i̯
arholwr	a r h ɔ l j ʊ r
arholydd	a r h oː l ɪ ð
arhosa	a r h ɔ s a
arhosaf	a r h ɔ s a v
arhosais	a r h ɔ s a i̯ s
arhosaist	a r h ɔ s a i̯ s t
arhosan	a r h ɔ s a n
arhosfa	a r h ɔ s v a
arhosiad	a r h ɔ s j a d
arhosle	a r h ɔ s l ɛ
arhosoch	a r h ɔ s ɔ χ
arhosodd	a r h ɔ s ɔ ð
arhosol	a r h ɔ s ɔ l
arhoson	a r h ɔ s ɔ n
arhoswch	a r h ɔ s ʊ χ
arial	a r j a l
arian	a r j a n
arianina	a r j a n ɪ n a
ariannell	a r j a n ɛ ɬ
ariannin	a r j a n ɪ n
ariannog	a r j a n ɔ ɡ
ariannwr	a r j a n ʊ r
arianrhod	a r j a n r̥ ɔ d
arianwen	a r j a n w ɛ n
arianwyn	a r j a n w ɪ n
ariel	a r j ɛ l
arien	a r j ɛ n
arlais	a r l a i̯ s
arlludd	a r ɬ ɪ ð
arllwys	a r ɬ ʊ i̯ s
arllwysaf	a r ɬ ʊ i̯ s a
arloesi	a r l ɔ i̯ s i
arlun	a r l ɪ n
arlunydd	a r l iː n ɪ ð
arlwy	a r l u i̯
arlwyau	a r l ʊ i̯ a i̯
arlwyon	a r l u i̯ ɔ n
arlywydd	a r l ə u̯ ɪ ð
armenaidd	a r m eː n a i̯ ð
armenia	a r m ɛ n j a
armeniad	a r m ɛ n j a d
armeniaeg	a r m ɛ n j a i̯ ɡ
armerth	a r m ɛ r θ
armon	a r m ɔ n
arna	a r n a
arnaf	a r n a v
arnall	a r n a ɬ
arnallt	a r n a ɬ t
arnat	a r n a t
arni	a r n i
arno	a r n ɔ
arnoch	a r n ɔ χ
arnodd	a r n ɔ ð
arnofio	a r n ɔ v j ɔ
arnom	a r n ɔ m
arnon	a r n ɔ n
arnot	a r n ɔ t
arnyn	a r n ɪ n
arnynt	a r n ɪ n t
arofan	a r o v a n
arogl	a r ɔ ɡ l
aroglau	a r ɔ ɡ l a i̯
arogldarth	a r ɔ ɡ l d a r θ
arogleuo	a r ɔ ɡ l e i̯ ɔ
arogli	a r ɔ ɡ l i
aroglus	a r ɔ ɡ l ɪ s
aroleuo	a r ɔ l e i̯ ɔ
aroleuydd	a r ɔ l e i̯ ɪ ð
arolwg	a r oː l ʊ ɡ
arolygiad	a r ɔ l ə ɡ j a d
arolygiadau	a r ɔ l ə ɡ j a d a i̯
arolygiaeth	a r ɔ l ə ɡ j a i̯ θ
arolygiaethau	a r ɔ l ə ɡ j e i̯ θ a i̯
arolygol	a r ɔ l ə ɡ ɔ l
