aba	a b a
barok	b a r ɔ k
barometer	b a r ɔ m e c e r
barta	b a r t a
bartakovič	b a r t a k ɔ v i t͡ʃ
bartek	b a r c e k
bartko	b a r t k ɔ
bartl	b a r t l̩
bartolomej	b a r t ɔ ɫ ɔ m ɛ j
bartolák	b a r t ɔ l aː k
bartovic	b a r t ɔ v i t͡s
bartoš	b a r t ɔ ʃ
barytón	b a r i t ɔː n
barák	b a r aː k
baráth	b a r aː t
basista	b a s i s t a
basistka	b a s i s t k a
basketbal	b a s k e d b a l
basketbalista	b a s k e d b a l i s t a
basketbalistka	b a s k e d b a ʎ i s t k a
basseterre	b a s t eː r
batalión	b a t a ʎ i ɔː n
baterka	b a t e r k a
baterkový	b a c e r k ɔ v iː
batyskaf	b a t i s k a f
batéria	b a t eː r i a
bauco	b a u t͡s ɔ
baudyš	b a u d i ʃ
bauer	b a u e r
bauko	b a u k ɔ
bauxit	b a u k s i t
bavko	b a v k ɔ
bavlna	b a v l̩ n a
bavorsko	b a v ɔ r s k ɔ
bazilej	b a z i ʎ e j
bača	b a t͡ʃ a
bačko	b a t͡ʃ k ɔ
bačkovský	b a t͡ʃ k ɔ v s k iː
bačnosť	b a t͡ʃ n ɔ s c
bačo	b a t͡ʃ ɔ
bačovka	b a t͡ʃ ɔ v k a
bačovská	b a t͡ʃ ɔ v s k aː
bačovský	b a t͡ʃ ɔ v s k iː
bačuvčík	b a t͡ʃ u v t͡ʃ iː k
bačík	b a t͡ʃ iː k
baďura	b a ɟ u r a
baľo	b a ʎ ɔ
baňa	b a ɲ a
baša	b a ʃ a
baškirčina	b a ʃ k i r t͡ʃ i n a
bašo	b a ʃ ɔ
bašta	b a ʃ t a
baťala	b a c a l a
baťo	b a c ɔ
bažant	b a ʒ a n t
bažantnica	b a ʒ a n t ɲ i t͡s a
bažantnice	b a ʒ a n t ɲ i t͡s e
bažantík	b a ʒ a n c iː k
beatifikovať	b e a c i f i k ɔ v a c
beatifikácia	b e a t i f i k aː t͡s i a
bebrava	b e b r a v a
bebčák	b e p t͡ʃ aː k
bechná	b e x n aː
bechný	b e x n iː
bedle	b e d ʎ e
bedliach	b e d ʎ ɪ̯ a x
bedlí	b e d ʎ iː
bedminton	b ɛː d m i n t ɔ n
bedmintonista	b e d m i n t ɔ n i s t a
bedmintonistka	b e d m i n t ɔ ɲ i s t k a
bednár	b e d n aː r
bedrami	b e d r a m i
bedro	b e d r ɔ
bedrovník	b e d r ɔ v ɲ iː k
bedrá	b e d r aː
bedrách	b e d r aː x
bedrám	b e d r aː m
bedľa	b e d ʎ a
bedľami	b e d ʎ a m i
bedľou	b e d ʎ ɔ v
bedňa	b e d ɲ a
begala	b e ɡ a l a
beh	b e x
behaj	b e ɦ a j
behajme	b e ɦ a j m e
behajte	b e ɦ a j c e
behajú	b e ɦ a j uː
behajúc	b e ɦ a j uː t͡s
behajúci	b e ɦ a j uː t͡s i
behan	b e ɦ a n
behanie	b e ɦ a ɲ ɪ̯ e
behaviorizmus	b e ɦ a v i ɔ r i z m u s
behať	b e ɦ a c
behá	b e ɦ aː
behám	b e ɦ aː m
behán	b e ɦ aː n
behún	b e ɦ uː n
behúň	b e ɦ uː ɲ
behýl	b e ɦ iː l
bejrút	b e j r uː t
bekeš	b e k e ʃ
beladona	b e l a d ɔ n a
belaj	b e l a j
belaník	b e l a ɲ iː k
belasý	b e l a s iː
belavý	b e l a v iː
belehrad	b e ʎ e ɦ r a t
beleš	b e ʎ e ʃ
belfast	b e l f a s t
belgicko	b e l ɡ i t͡s k ɔ
belgičan	b e l ɡ i t͡ʃ a n
belgičanka	b e l ɡ i t͡ʃ a n k a
belica	b e ʎ i t͡s a
belko	b e l k ɔ
belmopan	b e l m ɔ p a n
belo	b ɛ ɫ ɔ
belší	b e l ʃ iː
bena	b e n a
benda	b e n d a
beneš	b e n e ʃ
bengálčina	b e n ɡ aː l t͡ʃ i n a
benin	b e ɲ i n
benjamín	b ɛ n j a m iː n
benko	b e n k ɔ
benkovič	b e n k ɔ v i t͡ʃ
benzín	b e n z iː n
benzínka	b ɛ n z iː n k a
benzínový	b e n z iː n ɔ v iː
benátky	b e n aː t k i
benčať	b e n t͡ʃ a c
benčík	b e n t͡ʃ iː k
beran	b e r a n
berho	b e r ɦ ɔ
berko	b e r k ɔ
berkélium	b ɛ r k ɛː l ɪ j ʊ m
berlín	b e r ʎ iː n
berlínčan	b e r ʎ iː n t͡ʃ a n
berlínčanka	b e r ʎ iː n t͡ʃ a n k a
bermudy	b e r m u d i
bern	b e r n
bernard	b ɛ r n a r d
bernolák	b e r n ɔ l aː k
bernolákovčina	b e r n ɔ l aː k ɔ v t͡ʃ i n a
bernát	b e r n aː t
bero	b e r ɔ
berta	b e r t a
beryl	b e r i l
beránek	b e r aː n e k
berýlium	b e r iː l i u m
beseda	b e s e d a
beskydy	b ɛ s k i d i
besnota	b e s n ɔ t a
bestseller	b e s t͡sː e ʎ e r
beta	b e t a
betlehem	b e t ʎ e ɦ e m
beták	b e t aː k
betón	b e t ɔː n
betónovať	b e t ɔː n ɔ v a c
bez	b ɛ s
bezbranný	b e z b r a nː iː
bezcennosť	b e s t͡s e nː ɔ s c
bezcenný	b e s t͡s e nː iː
bezcestný	b e s t͡s e s t n iː
bezcharakterný	b ɛ s x a r a k t ɛ r n iː
bezchybne	b e s x i b ɲ e
bezchybnosť	b e s x i b n ɔ s c
bezchybný	b e s x i b n iː
bezcolný	b e s t͡s ɔ l n iː
bezdetnosť	b e z ɟ e t n ɔ s c
bezdetný	b e z ɟ e t n iː
bezek	b e z e k
bezfarebnosť	b e s f a r e b n ɔ s c
bezfarebný	b e s f a r e b n iː
bezhriešnosť	b e z ɦ r ɪ̯ e ʃ n ɔ s c
bezhriešny	b e z ɦ r ɪ̯ e ʃ n i
bezideový	b e z i ɟ e ɔ v iː
bezkrvne	b e s k r̩ v ɲ e
bezkrvnosť	b e s k r̩ v n ɔ s c
bezkrvný	b e s k r̩ v n iː
bezmenný	b e z m e nː iː
bezmocný	b e z m ɔ t͡s n iː
beznohý	b e z n ɔ ɦ iː
beznádej	b e z n aː ɟ e j
bezo	b ɛ z ɔ
bezpečnosť	b ɛ s p ɛ t͡ʃ n ɔ s c
bezrohý	b e z r ɔ ɦ iː
bezzubosť	b e zː u b ɔ s c
bezzubý	b e zː u b iː
bezák	b e z aː k
bezženstvo	b e z ʒ e n s t v ɔ
beáta	b e aː t a
beátka	b e aː t k a
bečák	b e t͡ʃ aː k
beľ	b e ʎ
beňa	b e ɲ a
beňadik	b e ɲ a d i k
beňo	b e ɲ ɔ
beňuš	b e ɲ u ʃ
beňuška	b e ɲ u ʃ k a
beštiálny	b e ʃ c i aː l n i
beťár	b e c aː r
beťárka	b e c aː r k a
bežať	b ɛ ʒ a c
bežec	b e ʒ e t͡s
bežecký	b e ʒ e t͡s k iː
bežkyňa	b e ʃ k i ɲ a
bežný	b e ʒ n iː
bhután	b ɦ u t aː n
bi	b i
bianka	b ɪ̯ a n k a
biatlon	b i a t l ɔ n
biatlonista	b i a t l ɔ n i s t a
biatlonový	b i a t l ɔ n ɔ v iː
bibiána	b i b i aː n a
bibliofília	b i b l i ɔ f iː l i a
bibliografia	b i b l i ɔ ɡ r a f i a
bicek	b i t͡s e k
bicykel	b i t͡s i k e l
bicyklovať	b i t͡s i k l ɔ v a c
bidet	b i d e t
bidetový	b i ɟ e t ɔ v iː
bidlo	b i d l ɔ
biedny	b ɪ̯ e d n i
biela	b ɪ̯ e l a
biele	b ɪ̯ e l e
bielej	b ɪ̯ e ʎ e j
bieli	b ɪ̯ e l i
bielik	b ɪ̯ e ʎ i k
bielizeň	b ɪ̯ e ʎ i z e ɲ
bielizník	b ɪ̯ e ʎ i z ɲ iː k
bielizníka	b ɪ̯ e ʎ i z ɲ iː k a
bielkovina	b ɪ̯ e l k ɔ v i n a
bielok	b ɪ̯ e l ɔ k
bielokrvnosť	b ɪ̯ e l ɔ k r̩ v n ɔ s c
bielorusko	b ɪ̯ e l ɔ r u s k ɔ
bieloruský	b ɪ̯ e l ɔ r u s k iː
bieloruština	b ɪ̯ e l ɔ r u ʃ c i n a
bielou	b ɪ̯ e l ɔ v
bielu	b ɪ̯ e l u
biely	b ɪ̯ e l i
bifurkácia	b i f u r k aː t͡s i a
bifľoš	b i v ʎ ɔ ʃ
bihár	b i ɦ aː r
bije	b i j e
bijem	b i j e m
bijeme	b i j e m e
bijete	b i j e c e
biješ	b i j e ʃ
bijú	b i j uː
bijúc	b i j uː t͡s
bijúci	b i j uː t͡s i
bil	b i l
bila	b i l a
bilbord	b i l b ɔ r t
bili	b i ʎ i
bilingválny	b i ʎ i n ɡ v aː l n i
bilión	b i ʎ i ɔː n
bilko	b i l k ɔ
bilo	b i l ɔ
bilský	b i l s k iː
bime	b i m e
binda	b i n d a
binčík	b i n t͡ʃ iː k
biochemický	b i ɔ x e m i t͡s k iː
biodiverzita	b i ɔ d i v e r z i t a
biofyzika	b i ɔ f i z i k a
bioklimatológia	b i ɔ k l i m a t ɔ l ɔː ɡ i a
biologičiek	b i ɔ l ɔ ɡ i t͡ʃ ɪ̯ e k
biologička	b i ɔ l ɔ ɡ i t͡ʃ k a
bioluminiscencia	b i ɔ l u m i n i s t͡s e n t͡s i a
biológ	b i ɔ l ɔː k
biológia	b i ɔ l ɔː ɡ i a
biometeorológia	b i ɔ m e t e ɔ r ɔ l ɔː ɡ i a
biotechnológia	b i ɔ t e x n ɔ l ɔː ɡ i a
biotit	b i o t i t
bipolárny	b i p ɔ l aː r n i
birmovanie	b i r m ɔ v a ɲ i̯ ɛ
birmovka	b i r m ɔ v k a
biro	b i r ɔ
biroš	b i r ɔ ʃ
birčák	b i r t͡ʃ aː k
bisexualita	b i s ɛ k s u a l i t a
biskup	b i s k u p
biskupský	b i s k u p s k iː
bislama	b i s l a m a
bissau	b i sː a u
bite	b i c e
bitie	b i c ɪ̯ e
bitka	b i t k a
bitý	b i t iː
bizmut	b i z m u t
biznismen	b i z n i s m e n
bič	b i t͡ʃ
bičan	b i t͡ʃ a n
bičík	b i t͡ʃ iː k
biškek	b i ʃ k e k
biť	b i c
blaho	b l a ɦ ɔ
blahoslav	b ɫ a ɦ ɔ s ɫ a u̯
blahota	b l a ɦ ɔ t a
blahušiak	b l a ɦ u ʃ ɪ̯ a k
blahút	b l a ɦ uː t
blamáž	b l a m aː ʃ
blana	b l a n a
blane	b l a ɲ e
blanka	b l a n k a
blanu	b l a n u
blany	b l a n i
blanár	b l a n aː r
blatnický	b l a t ɲ i t͡s k iː
blatník	b l a t ɲ iː k
blaško	b l a ʃ k ɔ
blaškovič	b l a ʃ k ɔ v i t͡ʃ
blažej	b l a ʒ e j
blažek	b l a ʒ e k
blažena	b l a ʒ e n a
blbaňa	b l̩ b a ɲ a
blcha	b l̩ x a
blchou	b l̩ x ɔ v
blchu	b l̩ x u
blchy	b l̩ x i
blecha	b ʎ e x a
bledokrvnosť	b ʎ e d ɔ k r̩ v n ɔ s c
bledý	b ʎ e d iː
blen	b ʎ e n
blenový	b ʎ e n ɔ v iː
blesk	b ʎ e s k
blicha	b ʎ i x a
bliznák	b ʎ i z n aː k
bližší	b ʎ i ʃː iː
blog	b l ɔ k
blokovať	b l ɔ k ɔ v a c
blokuje	b l ɔ k u j e
blokujú	b l ɔ k u j uː
blokáda	b l ɔ k aː d a
blud	b l u t
blude	b l u ɟ e
bludisko	b l u ɟ i s k ɔ
bludmi	b l u d m i
bludoch	b l u d ɔ x
bludom	b l u d ɔ m
bludov	b l u d ɔ v
bludu	b l u d u
bludy	b l u d i
bláha	b l aː ɦ a
blán	b l aː n
bláznovský	b l aː z n ɔ v s k iː
blázon	b l aː z ɔ n
blázonka	b l aː z ɔ n k a
blázonko	b l aː z ɔ n k ɔ
blázonkovia	b l aː z ɔ n k ɔ v ɪ̯ a
blázonček	b l aː z ɔ n t͡ʃ e k
blízki	b ʎ iː s k i
blízkosť	b ʎ iː s k ɔ s c
blízky	b ʎ iː s k i
blúdiť	b l uː ɟ i c
blúza	b l uː z a
blška	b l̩ ʃ k a
blšťák	b l̩ ʃ c aː k
bobka	b ɔ p k a
bobok	b ɔ b ɔ k
bobona	b ɔ b ɔ n a
bobor	b ɔ b ɔ r
bobrica	b ɔ b r i t͡s a
bobrovník	b ɔ b r ɔ v ɲ iː k
bobrový	b ɔ b r ɔ v iː
bobrík	b ɔ b r iː k
bobuľa	b ɔ b u ʎ a
bobák	b ɔ b aː k
bobček	b ɔ p t͡ʃ e k
bochnovič	b ɔ x n ɔ v i t͡ʃ
bocian	b ɔ t͡s ɪ̯ a n
boda	b ɔ d a
bodka	b ɔ t k a
bodkočiarka	b ɔ t k ɔ t͡ʃ ɪ̯ a r k a
bodla	b ɔ d l a
bodli	b ɔ d ʎ i
bodliak	b ɔ d ʎ ɪ̯ a k
bodne	b ɔ d ɲ e
bodnem	b ɔ d ɲ e m
bodneme	b ɔ d ɲ e m e
bodnete	b ɔ d ɲ e c e
bodneš	b ɔ d ɲ e ʃ
bodnutie	b ɔ d n u c ɪ̯ e
bodnár	b ɔ d n aː r
bodnú	b ɔ d n uː
bodnúť	b ɔ d n uː c
bodol	b ɔ d ɔ l
bodrog	b ɔ d r ɔ k
bodva	b ɔ d v a
body	b ɔ d i
bodyček	b ɔ d i t͡ʃ e k
bodzík	b ɔ d͡z iː k
bogdan	b ɔ ɡ d a n
bogomil	b ɔ ɡ ɔ m i l
bogota	b ɔ ɡ ɔ t a
bogár	b ɔ ɡ aː r
boh	b ɔ x
boha	b ɔ ɦ a
bohatej	b ɔ ɦ a c e j
bohatom	b ɔ ɦ a t ɔ m
bohaté	b ɔ ɦ a t eː
bohatú	b ɔ ɦ a t uː
bohatý	b ɔ ɦ a t iː
bohdan	b ɔ ɦ d a n
bohdana	b ɔ ɦ d a n a
bohemizmus	b ɔ ɦ ɛ m i z m u s
bohmi	b ɔ ɦ m i
bohoch	b ɔ ɦ ɔ x
bohom	b ɔ ɦ ɔ m
bohov	b ɔ ɦ ɔ v
bohovi	b ɔ ɦ ɔ v i
bohovia	b ɔ ɦ ɔ v ɪ̯ a
bohrium	b ɔ r ɪ j ʊ m
bohu	b ɔ ɦ u
bohumil	b ɔ ɦ u m i l
bohumír	b ɔ ɦ u m iː r
bohuslav	b ɔ ɦ u s l a u̯
bohuslava	b ɔ ɦ u s l a v a
bohuš	b ɔ ɦ u ʃ
bohužiaľ	b ɔ ɦ u ʒ ɪ̯ a ʎ
bohyňa	b ɔ ɦ i ɲ a
boháč	b ɔ ɦ aː t͡ʃ
boháček	b ɔ ɦ aː t͡ʃ e k
boháčsky	b ɔ ɦ aː t͡ʃ s k i
boj	b ɔ j
bojazlivosť	b ɔ j a z ʎ i v ɔ s c
bojazlivý	b ɔ j a z ʎ i v iː
bojisko	b ɔ j i s k ɔ
bojkotovanie	b ɔ j k ɔ t ɔ v a ɲ ɪ̯ e
bojkotovať	b ɔ j k ɔ t ɔ v a c
bojovať	b ɔ j ɔ v a c
bojovnícky	b ɔ j ɔ v ɲ iː t͡s k i
bojovník	b ɔ j ɔ v ɲ iː k
bojtár	b ɔ j t aː r
bojuje	b ɔ j u j e
bojujem	b ɔ j u j e m
bojujeme	b ɔ j u j e m e
bojujete	b ɔ j u j e c e
bojuješ	b ɔ j u j e ʃ
bojujú	b ɔ j u j uː
bojí	b ɔ j iː
bojím	b ɔ j iː m
bojíme	b ɔ j iː m e
bojíš	b ɔ j iː ʃ
bol	b ɔ l
bola	b ɔ l a
boldiš	b ɔ l ɟ i ʃ
bolebruch	b ɔ ʎ e b r u x
boledovič	b ɔ ʎ e d ɔ v i t͡ʃ
bolehradský	b ɔ ʎ e ɦ r a t͡s k iː
boleslav	b ɔ l ɛ s l a u̯
bolesť	b ɔ ʎ e s c
bolgáč	b ɔ l ɡ aː t͡ʃ
boli	b ɔ ʎ i
bolieť	b ɔ ʎ ɪ̯ e c
bolo	b ɔ l ɔ
bologna	b o l o ɲ a
bolí	b ɔ ʎ iː
bolívia	b ɔ l iː v i a
bolívie	b ɔ l iː v i e
bomba	b ɔ m b a
bombardoval	b ɔ m b a r d ɔ v a l
bombardovania	b ɔ m b a r d ɔ v a ɲ ɪ̯ a
bombardovanie	b ɔ m b a r d ɔ v a ɲ ɪ̯ e
bombardovať	b ɔ m b a r d ɔ v a c
bombarduje	b ɔ m b a r d u j e
bombardujú	b ɔ m b a r d u j uː
bombasticky	b ɔ m b a s c i t͡s k i
bombastický	b ɔ m b a s c i t͡s k iː
bombík	b ɔ m b iː k
bonbón	b ɔ m b ɔː n
bondra	b ɔ n d r a
bonec	b ɔ ɲ e t͡s
bonifác	b ɔ ɲ i f aː t͡s
bončik	b ɔ n t͡ʃ i k
bordel	b ɔ r d e l
bordelár	b ɔ r d e l aː r
bordelárka	b ɔ r ɟ e l aː r k a
bordáč	b ɔ r d aː t͡ʃ
borec	b ɔ r e t͡s
borecká	b ɔ r e t͡s k aː
borecký	b ɔ r e t͡s k iː
boreálny	b ɔ r e aː l n i
borguľa	b ɔ r ɡ u ʎ a
boril	b ɔ r i l
boris	b ɔ r i s
borovicový	b ɔ r ɔ v i t͡s ɔ v iː
borovička	b ɔ r ɔ v i t͡ʃ k a
borovka	b ɔ r ɔ v k a
borovská	b ɔ r ɔ v s k aː
borovský	b ɔ r ɔ v s k iː
borovčiak	b ɔ r ɔ v t͡ʃ ɪ̯ a k
boroš	b ɔ r ɔ ʃ
borík	b ɔ r iː k
boršč	b ɔ r ʃ t͡ʃ
bosniacky	b ɔ s ɲ ɪ̯ a t͡s k i
bosniak	b ɔ s ɲ ɪ̯ a k
bosniansky	b ɔ s ɲ ɪ̯ a n s k i
bosorka	b ɔ s ɔ r k a
bosorák	b ɔ s ɔ r aː k
boston	b ɔ s t ɔ n
bosák	b ɔ s aː k
bosý	b ɔ s iː
bot	b ɔ t
botanicky	b ɔ t a ɲ i t͡s k i
botanický	b ɔ t a ɲ i t͡s k iː
botanika	b ɔ t a n i k a
botanikou	b ɔ t a ɲ i k ɔ v
botaniku	b ɔ t a ɲ i k u
botanizovať	b ɔ t a n i z ɔ v a c
botek	b ɔ c e k
botka	b ɔ t k a
botková	b ɔ t k ɔ v aː
botlík	b ɔ t ʎ iː k
botová	b ɔ t ɔ v aː
botík	b ɔ c iː k
boxuje	b ɔ k s u j e
boxujem	b ɔ k s u j e m
boxujeme	b ɔ k s u j e m e
boxujete	b ɔ k s u j e c e
boxuješ	b ɔ k s u j e ʃ
boxujú	b ɔ k s u j uː
bozk	b ɔ s k
bozkať	b ɔ s k a c
bočka	b ɔ t͡ʃ k a
bočnica	b ɔ t͡ʃ ɲ i t͡s a
boďo	b ɔ ɟ ɔ
boľševický	b ɔ ʎ ʃ e v i t͡s k iː
boľševik	b ɔ ʎ ʃ e v i k
boľševizmu	b ɔ ʎ ʃ e v i z m u
boľševizmus	b ɔ ʎ ʃ e v i z m u s
boľševizovať	b ɔ ʎ ʃ e v i z ɔ v a c
boľševička	b ɔ ʎ ʃ e v i t͡ʃ k a
boňko	b ɔ ɲ k ɔ
boška	b ɔ ʃ k a
boško	b ɔ ʃ k ɔ
bošák	b ɔ ʃ aː k
bože	b ɔ ʒ ɛ
božek	b ɔ ʒ e k
božena	b ɔ ʒ e n a
boženík	b ɔ ʒ e ɲ iː k
božica	b ɔ ʒ i t͡s a
božidara	b ɔ ʒ i d a r a
božstvo	b ɔ ʃ s t v ɔ
božtek	b ɔ ʃ c e k
brachna	b r a x n a
brada	b r a d a
bradatý	b r a d a t iː
bradavica	b r a d a v i t͡s a
bradavka	b r a d a v k a
bradáň	b r a d aː ɲ
bradáňa	b r a d aː ɲ a
bralo	b r a l ɔ
brandenbursko	b r a n ɟ e n b u r s k ɔ
brandy	b r e n d i
brandža	b r a n d͡ʒ a
branislav	b r a ɲ i s ɫ a u̯
branislava	b r a ɲ i s l a v a
brankár	b r a n k aː r
brankárka	b r a n k aː r k a
brankársky	b r a n k aː r s k i
brat	b r a t
brata	b r a t a
brate	b r a c e
bratislava	b r a c i s l a v a
bratislave	b r a c i s ɫ a v ɛ
bratislavou	b r a c i s ɫ a v ɔ u̯
bratislavu	b r a c i s ɫ a v u
bratislavy	b r a c i s ɫ a v i
bratislavčan	b r a c i s l a u̯ t͡ʃ a n
bratislavčanka	b r a c i s l a v t͡ʃ a n k a
bratku	b r a t k u
bratov	b r a t ɔ v
bratranec	b r a t r a ɲ e t͡s
bratský	b r a t͡s k iː
bratu	b r a t u
brav	b r a v
bravúrny	b r a v uː r n i
bravčovina	b r a v t͡ʃ ɔ v i n a
bravčové	b r a v t͡ʃ ɔ v eː
bravčový	b r a v t͡ʃ ɔ v iː
braxatoris	b r a k s a t ɔ r i s
brazzaville	b r a z a v i l
brazília	b r a z iː l i a
brazílski	b r a z iː l s k i
braček	b r a t͡ʃ e k
braňa	b r a ɲ a
braňo	b r a ɲ ɔ
brašov	b r a ʃ ɔ u̯
brať	b r a c
brblavý	b r̩ b l a v iː
brde	b r̩ ɟ e
brdo	b r̩ d ɔ
brdzami	b r̩ d͡z a m i
brdár	b r̩ d aː r
breakdance	b r e j ɡ d e n s
breh	b r e x
brehuv	b r e ɦ u v
brejcha	b r e j x a
brejkbal	b r e j ɡ b a l
brekyňa	b r e k i ɲ a
bremä	b r e m æ
bretónčina	b r e t ɔː n t͡ʃ i n a
breza	b r e z a
brezina	b r e z i n a
brezniak	b r e z ɲ ɪ̯ a k
brezno	b r e z n ɔ
brezovská	b r e z ɔ v s k aː
brezovský	b r e z ɔ v s k iː
brečka	b r e t͡ʃ k a
brečtan	b r e t͡ʃ t a n
brečtanový	b r e t͡ʃ t a n ɔ v iː
brheľ	b r̩ ɦ e ʎ
brhlík	b r̩ ɦ ʎ iː k
brhoľ	b r̩ ɦ ɔ ʎ
brhél	b r̩ ɦ eː l
briadka	b r ɪ̯ a t k a
bridlica	b r i d ʎ i t͡s a
bridž	b r i t͡ʃ
bridžový	b r i d͡ʒ ɔ v iː
briestenský	b r ɪ̯ e s c e n s k iː
brigantína	b r i ɡ a n t iː n a
brigita	b r i ɡ i t a
brigáda	b r i ɡ aː d a
briketa	b r i k e t a
brita	b r i t a
britiev	b r i c ɪ̯ e v
britkej	b r i t k e j
britkejší	b r i t k e j ʃ iː
britko	b r i t k ɔ
britkou	b r i t k ɔ v
britká	b r i t k aː
britké	b r i t k eː
britkého	b r i t k eː ɦ ɔ
britkému	b r i t k eː m u
britkí	b r i t k iː
britkú	b r i t k uː
britký	b r i t k iː
britkých	b r i t k iː x
britkým	b r i t k iː m
britkými	b r i t k iː m i
britský	b r i t͡s k iː
britva	b r i t v a
britvy	b r i t v i
brloh	b r̩ ɫ ɔ x
brna	b r̩ n a
brne	b r̩ ɲ e
brnenie	b r̩ ɲ e ɲ ɪ̯ e
brod	b r ɔ t
brodňanská	b r ɔ d ɲ a n s k aː
brodňanský	b r ɔ d ɲ a n s k iː
brokovnica	b r ɔ k ɔ v ɲ i t͡s a
brokát	b r ɔ k aː t
bronchiálny	b r ɔ n x i aː l n i
bronislava	b r ɔ ɲ i s l a v a
bronz	b r ɔ n s
bronzový	b r ɔ n z ɔ v iː
broskyňa	b r ɔ s k i ɲ a
broskýň	b r ɔ s k iː ɲ
brošňa	b r ɔ ʃ ɲ a
brož	b r ɔ ʃ
brožúra	b r ɔ ʒ uː r a
brucha	b r u x a
brucho	b r u x ɔ
bruchom	b r u x ɔ m
bruchomluvca	b r u x ɔ m l u v t͡s a
bruchomluvec	b r u x ɔ m l u v e t͡s
bruchovravca	b r u x ɔ v r a v t͡s a
bruchovravci	b r u x ɔ v r a v t͡s i
bruchovravec	b r u x ɔ v r a v e t͡s
brunet	b r u n e t
bruneta	b r u n e t a
brunetka	b r u n e t k a
bruno	b r u n ɔ
brunovská	b r u n ɔ v s k aː
brunovský	b r u n ɔ v s k iː
brusel	b r u s ɛ ɫ
brutalita	b r u t a l i t a
brutálne	b r u t aː l ɲ e
brutálnosť	b r u t aː l n ɔ s c
brutálny	b r u t aː l n i
brušiek	b r u ʃ ɪ̯ e k
bruška	b r u ʃ k a
bruško	b r u ʃ k ɔ
brušku	b r u ʃ k u
brušká	b r u ʃ k aː
brušný	b r u ʃ n iː
bryndza	b r i n d͡z a
brzda	b r̩ z d a
brzde	b r̩ z ɟ e
brzdiť	b r̩ z ɟ i c
brzdou	b r̩ z d ɔ v
brzdu	b r̩ z d u
brzdy	b r̩ z d i
brzdách	b r̩ z d aː x
brzdám	b r̩ z d aː m
brznúť	b r̩ z n uː c
brzď	b r̩ s c
brál	b r aː l
brán	b r aː n
bránic	b r aː ɲ i t͡s
bránica	b r aː ɲ i t͡s a
bránice	b r aː ɲ i t͡s e
brániť	b r aː ɲ i c
brány	b r aː n i
brázda	b r aː z d a
brémy	b r eː m i
bróm	b r ɔː m
brómový	b r ɔː m ɔ v iː
brúch	b r uː x
brús	b r uː s
brúsa	b r uː s a
brúse	b r uː s e
brúsu	b r uː s u
brčkavý	b r̩ t͡ʃ k a v iː
brčák	b r̩ t͡ʃ aː k
bršlen	b r̩ ʃ ʎ e n
bršlena	b r̩ ʃ ʎ e n a
bršlenu	b r̩ ʃ ʎ e n u
bubenčík	b u b e n t͡ʃ iː k
bubna	b u b n a
bubnový	b u b n ɔ v iː
bubon	b u b ɔ n
bubík	b u b iː k
bucha	b u x a
buchol	b u x ɔ l
buchta	b u x t a
buchtík	b u x c iː k
budapešť	b u d a p e ʃ c
buddhizmus	b u dː ɦ i z m u s
bude	b u ɟ e
budeme	b u ɟ e m e
budete	b u ɟ e c e
budeš	b u ɟ e ʃ
budhizmu	b u d ɦ i z m u
budhizmus	b u d ɦ i z m u s
budiť	b u ɟ i c
budova	b u d ɔ v a
budovanie	b u d ɔ v a ɲ ɪ̯ e
budované	b u d ɔ v a n eː
budovaný	b u d ɔ v a n iː
budovať	b u d ɔ v a c
buduj	b u d u j
buduje	b u d u j e
budujem	b u d u j e m
budujme	b u d u j m e
budujte	b u d u j c e
budujú	b u d u j uː
budujúc	b u d u j uː t͡s
budujúci	b u d u j uː t͡s i
budyšín	b u d i ʃ iː n
budzák	b u d͡z aː k
budú	b u d uː
budúci	b u d uː t͡s i
budúcoročný	b u d uː t͡s ɔ r ɔ t͡ʃ n iː
buffa	b u fː a
bugár	b u ɡ aː r
bujalko	b u j a l k ɔ
bujón	b u j ɔː n
buka	b u k a
bukoch	b u k ɔ x
bukov	b u k ɔ v
bukovina	b u k ɔ v i n a
bukový	b u k ɔ v iː
bukréta	b u k r eː t a
buku	b u k u
bukurešť	b u k u r e ʃ c
bukva	b u k v a
bula	b u l a
bulava	b u l a v a
buldozér	b u l d ɔ z eː r
buldozéra	b u l d ɔ z eː r a
buldozérmi	b u l d ɔ z eː r m i
buldozéroch	b u l d ɔ z eː r ɔ x
buldozérový	b u l d ɔ z eː r ɔ v iː
buldozéry	b u l d ɔ z eː r i
bulharsko	b u l ɦ a r s k ɔ
bulharský	b u l ɦ a r s k iː
bulharčina	b u l ɦ a r t͡ʃ i n a
bulko	b u l k ɔ
bulla	b u lː a
bulvárny	b u l v aː r n i
bulímia	b u l iː m i a
bumerang	b u m e r a n k
bunda	b u n d a
buniek	b u ɲ ɪ̯ e k
bunka	b u n k a
bunkami	b u n k a m i
bunke	b u n k e
bunkou	b u n k ɔ v
bunku	b u n k u
bunky	b u n k i
buran	b u r a n
buraľ	b u r a ʎ
bureň	b u r e ɲ
bureš	b u r e ʃ
burian	b u r ɪ̯ a n
burina	b u r i n a
burinka	b u r i n k a
burián	b u r i aː n
burján	b u r j aː n
burzala	b u r z a l a
busta	b u s t a
butala	b u t a l a
buza	b u z a
buzga	b u z ɡ a
buzássy	b u z aː sː i
buzík	b u z iː k
