'tain	t ɛ̃
bouriaud	b u ʁ j o
bouroundi	b u ʁ u n d i
bourque	b u ʁ k
bourrieau	b u ʁ j o
bousenna	b u s e n a
boutaleb	b u t a l ɛ b
boutboul	b u t b u l
boutcha	b u t ʃ a
boutella	b u t e l a
bouvier	b u v j e
bouxwiller	b u k s v i l ɛ ʁ
bouygues	b w i ɡ
bowman	b o m a n
boyancé	b w a j ɑ̃ s e
boyer	b w a j e
bozouls	b o z u l
brabant	b ʁ a b ɑ̃
brabançon	b ʁ a b ɑ̃ s ɔ̃
bradfer	b ʁ a d f e
brahim	b ʁ a h i m
brandebourg	b ʁ ɑ̃ d b u ʁ
brassac	b ʁ a s a k
brassard	b ʁ a s a ʁ
brau	b ʁ o
braudel	b ʁ o d ɛ l
brazzaville	b ʁ a z a v i l
breault	b ʁ o
breaux	b ɾ o
breitenbach	b ʁ a j t ə n b a k
brejnev	b ʁ ɛ ʒ n ɛ f
brest	b ʁ ɛ s t
bretagne	b ʁ ə t a ɲ
breton	b ʁ ə t ɔ̃
bretonne	b ʁ ə t ɔ n
bretonnes	b ʁ ə t ɔ n
bretons	b ʁ ə t ɔ̃
brexit	b ʁ ɛ k s i t
brian	b ʁ a j a n
briançon	b ʁ i j ɑ̃ s ɔ̃
brice	b ʁ i s
brieuc	b ʁ i j ø
brigitte	b ʁ i ʒ i t
brindes	b ʁ ɛ̃ d
brisac	b ʁ i z a k
bristol	b ʁ i s t o l
brixton	b ʁ i k s t ɔ n
broadway	b ʁ o d w e
brocheré	b ʁ ɔ ʃ ʁ e
brocéliande	b ʁ ɔ s e l j ɑ̃ d
broglie	b ʁ o ɡ l i
brogniart	b ʁ ɔ ɲ j a ʁ
brongniart	b ʁ ɔ̃ ɲ j a ʁ
brouchéion	b ʁ u k e j ɔ̃
broulard	b ʁ u l a ʁ
broussard	b ʁ u s a ʁ
brown	b ʁ a w n
brugeois	b ʁ y ʒ w a
brugeoise	b ʁ y ʒ w a z
bruges	b ʁ y ʒ
brugheas	b ʁ y ʒ a s
brunei	b ʁ y n e j
bruniquel	b ʁ y n i k ɛ l
bruno	b ʁ y n o
brunschvicg	b ʁ œ̃ ʃ v i k
brunéi	b ʁ y n e i
bruxelles	b ʁ y k s ɛ l
bruxellois	b ʁ y s e l w a
bruxelloise	b ʁ y s e l w a z
bruz	b ʁ y
bry	b ʁ i
bryson	b ʁ i s ɔ n
bréant	b ʁ e ɑ̃
brébeuf	b ʁ e b œ f
brésil	b ʁ e z i l
brésilien	b ʁ e z i l j ɛ̃
bréville	b ʁ e v i j
brême	b ʁ ɛ m
bucarest	b y k a ʁ ɛ s t
buchez	b y ʃ e
buckingham	b y k i ŋ ɛ m
bucovine	b y k ɔ v i n
budapest	b y d a p ɛ s t
bugey	b y ʒ ɛ j
bujumbura	b u ʒ u m b u ʁ a
bujumburais	b u ʒ u m b u ʁ ɛ
bujumburien	b u ʒ u m b u ʁ j ɛ̃
bulgare	b y l ɡ a ʁ
bulgarie	b y l ɡ a ʁ i
bulgnéville	b y l ɲ e v i j
burette	b y ʁ ɛ t
burgenland	b y ʁ ʒ ɑ̃ l ɑ̃
burgonde	b y ʁ ɡ ɔ̃ d
burin	b y ʁ ɛ̃
burkina	b u ʁ k i n a
burundi	b u ʁ u n d i
buryatie	b u ʁ j a t i
bussy	b y s i
but	b y
butin	b y t ɛ̃
buzançais	b y z ɑ̃ s e
byzance	b i z ɑ̃ s
bâle	b a l
bâlois	b a l w a
béa	b e a
béarn	b e a ʁ n
béatrice	b e a t ʁ i s
béatrix	b e a t ʁ i k s
bébryce	b e b ʁ i s
bébryces	b e b ʁ i s
bébrycie	b e b ʁ i s i
bécancour	b e k ɑ̃ k u ʁ
béchamp	b e ʃ ɑ̃
béchard	b e ʃ a ʁ
bédard	b e d a ʁ
bégin	b e ʒ ɛ̃
béjaïa	b e ʒ a j a
béland	b e l ɑ̃
bélarus	b e l a ʁ y s
bélial	b e l j a l
bélier	b e l j e
bélisaire	b e l i z ɛ ʁ
bélisle	b e l i l
bélize	b e l i z
bénin	b e n ɛ̃
bénédicte	b e n e d i k t
bénélux	b e n e l y k s
béotie	b e ɔ s i
bérangère	b e ʁ ɑ̃ ʒ ɛ ʁ
bérenger	b e ʁ ɑ̃ ʒ e
bérengère	b e ʁ ɑ̃ ʒ ɛ ʁ
bérubé	b e ʁ y b e
béryte	b e ʁ i t
bérytien	b e ʁ i s j ɛ̃
bérée	b e ʁ e
bérégovoy	b e ʁ e ɡ ɔ v w a j
bérénice	b e ʁ e n i s
bételgeuse	b e t ɛ l ʒ ø z
bézier	b e z j e
béziers	b e z j e
bœotie	b e ɔ s i
ca	s e a
cac	k a k
caf	k a f
cantou	k ɑ̃ t u
caq	k a k
cb	s e b e
cbrn	s e b e ɛ ʁ ɛ n
cd	s e d e
cdd	s e d e d e
cdi	s e d e i
ce	s e ø
cedeao	s e d e a o
cedex	s e d ɛ k s
cern	s ɛ ʁ n
ces	s e ə ɛ s
cgt	s e ʒ e t e
ch	s e a ʃ
chsld	s e a ʃ ɛ s ɛ l d e
cia	s e i a
cic	s e i s e
clsc	s e e l ɛ s s e
cmu	s e e m y
cod	s ə ɔ d
coi	s ə ɔ i
com	k ɔ m
cov	s e o v e
cpa	s e p e a
cpe	s e p e ø
cpf	s e p e ɛ f
cqfd	s e k y ɛ f d e
crous	k ʁ u s
crtc	s e ɛ ʁ t e s e
cv	s e v e
cvr	s e v e ɛ ʁ
cabanel	k a b a n ɛ l
cachan	k a ʃ ɑ̃
cachemire	k a ʃ m i ʁ
cadien	k a d j ɛ̃
cadienne	k a d j ɛ̃ n
cadillac	k a d i j a k
cadix	k a d i k s
cadjin	k a d ʒ ɛ̃
cadjinne	k a d ʒ ĩ n
cadoc	k a d ɔ k
caen	k ɑ̃
caennais	k a n ɛ
caffrerie	k a f ʁ ə ʁ i
cafre	k a f ʁ
cafrerie	k a f ʁ ə ʁ i
caillette	k a j ɛ t
cairote	k e ʁ ɔ t
caiète	k a j ɛ t
calabre	k a l a b ʁ
calais	k a l ɛ
calaisien	k a l e z j ɛ̃
calaisienne	k a l e z j ɛ n
calavon	k a l a v ɔ̃
calcutta	k a l k y t a
caleb	k a l ɛ b
calgarien	k a l ɡ a ʁ j ɛ̃
calgary	k a l ɡ a ʁ i
californie	k a l i f ɔ ʁ n i
californien	k a l i f ɔ ʁ n j ɛ̃
calixte	k a l i k s t
calixthe	k a l i k s t
callimaque	k a l i m a k
calvados	k a l v a d o s
calvaire	k a l v ɛ ʁ
camargue	k a m a ʁ ɡ
cambligneul	k ɑ̃ b l i ɲ œ l
cambodge	k ɑ̃ b ɔ d ʒ
cambridge	k a m b ʁ i d ʒ
camelot	k a m l o
cameroun	k a m ʁ u n
camille	k a m i j
campanie	k ɑ̃ p a n i
campbellton	k a m b ɛ l t œ n
camus	k a m y
camélia	k a m e l j a
canada	k a n a d a
canadien	k a n a d j ɛ̃
canadienne	k a n a d j ɛ n
canadiens	k a n a d j ɛ̃
canaries	k a n a ʁ i
canavan	k a n a v a n
canberra	k a n b e ʁ a
cancer	k ɑ̃ s ɛ ʁ
cancún	k ɑ̃ k u n
candilis	k ɑ̃ d i l i s
canet	k a n ɛ
caniapiscau	k a n j a p i s k o
canicule	k a n i k y l
canigou	k a n i ɡ u
cannes	k a n
canseau	k ɑ̃ s o
canso	k ɑ̃ s o
cantal	k ɑ̃ t a l
canterbury	k ɑ̃ t ɛ ʁ b œ ʁ i
cantley	k ɑ̃ t l i
canton	k ɑ̃ t ɔ̃
cantonais	k ɑ̃ t ɔ n ɛ
cantonnier	k ɑ̃ t ɔ n j e
cantonniers	k ɑ̃ t ɔ n j e
cantonnière	k ɑ̃ t ɔ n j ɛ ʁ
cantonnières	k ɑ̃ t ɔ n j ɛ ʁ
cantorbéry	k ɑ̃ t ɔ ʁ b e ʁ i
cap	k a p
capernaüm	k a p ɛ ʁ n a ɔ m
capet	k a p ɛ
capitole	k a p i t ɔ l
caplet	k a p l ɛ
capoue	k a p u
cappadoce	k a p a d ɔ s
capricorne	k a p ʁ i k ɔ ʁ n
capucine	k a p y s i n
caracas	k a ʁ a k a s
caradoc	k a ʁ a d ɔ k
caralp	k a ʁ a l
caramel	k a ʁ a m ɛ l
caraque	k a ʁ a k
caraquet	k a ʁ a k ɛ t
caravage	k a ʁ a v a ʒ
caraïbes	k a ʁ a i b
carbonifère	k a ʁ b ɔ n i f ɛ ʁ
carcassonne	k a ʁ k a s ɔ n
carcellier	k a ʁ s e l j e
cargèse	k a ʁ ʒ ɛ z
carie	k a ʁ i
carine	k a ʁ i n
carinthie	k a ʁ ɛ̃ t i
carla	k a ʁ l a
carlovingien	k a ʁ l ɔ v ɛ̃ ʒ j ɛ̃
carmaux	k a ʁ m o
carmen	k a ʁ m ɛ n
carnot	k a ʁ n o
caro	k a ʁ o
carolane	k a ʁ ɔ l a n
carolanne	k a ʁ ɔ l a n
carole	k a ʁ ɔ l
caroline	k a ʁ ɔ l i n
carolinge	k a ʁ ɔ l ɛ̃ ʒ
carolingien	k a ʁ ɔ l ɛ̃ ʒ j ɛ̃
caromb	k a ʁ ɔ̃
carpates	k a ʁ p a t
carpentier	k a ʁ p ɑ̃ t j e
carpentras	k a ʁ p ɑ̃ t ʁ a
carqueiranne	k a ʁ k e ʁ a n
carreau	k a ʁ o
carrier	k a ʁ j e
carros	k a ʁ ɔ s
carthage	k a ʁ t a ʒ
carélie	k a ʁ e l i
casablanca	k a z a b l ɑ̃ k a
caspienne	k a s p j ɛ n
cassin	k a s ɛ̃
cassini	k a s i n i
cassiopée	k a s j ɔ p e
cassis	k a s i
castagnoli	k a s t a ɲ ɔ l i
castelbiague	k a s t ɛ l b j a ɡ
castelgaillard	k a s t ɛ l ɡ a j a ʁ
castellet	k a s t e l ɛ
castex	k a s t ɛ k s
castillan	k a s t i j ɑ̃
castille	k a s t i j
castor	k a s t ɔ ʁ
catalabutte	k a t a l a b y t
catalan	k a t a l ɑ̃
catalogne	k a t a l ɔ ɲ
catane	k a t a n
catelle	k a t ɛ l
catherine	k a t ʁ i n
caton	k a t ɔ̃
cattelot	k a t l o
cau	k o
caucase	k ɔ k a z
caulières	k o l j ɛ ʁ
cauvin	k o v ɛ̃
cavaillon	k a v a j ɔ̃
cavalaire	k a v a l ɛ ʁ
cayamant	k a j a m ɑ̃
cayenne	k a j ɛ n
cayor	k a j ɔ ʁ
cazalé	k a z a l e
cazavet	k a z a v ɛ
cazotte	k a z ɔ t
caïn	k a ɛ̃
cenchrées	s ɑ̃ k ʁ e
cendrillon	s ɑ̃ d ʁ i j ɔ̃
centrafrique	s ɑ̃ t ʁ a f ʁ i k
centrasiatique	s ɑ̃ t ʁ a z j a t i k
centre	s ɑ̃ t ʁ
cerbère	s ɛ ʁ b ɛ ʁ
cerise	s ə ʁ i z
cervin	s ɛ ʁ v ɛ̃
cette	s ɛ t
ceylan	s e l ɑ̃
chabanais	ʃ a b a n ɛ
chabert	ʃ a b ɛ ʁ
chabot	ʃ a b o
chaillol	ʃ a j ɔ l
chaillot	ʃ a j o
chaix	ʃ ɛ
chalabert	ʃ a l a b ɛ ʁ
chalabre	ʃ a l a b ʁ
chalamet	ʃ a l a m ɛ
chalcédoine	k a l s e d w a n
chaldée	k a l d e
chaldéen	k a l d e ɛ̃
chalifour	ʃ a l i f u ʁ
chalifoux	ʃ a l i f u
chalosse	ʃ a l ɔ s
cham	t ʃ a m
chamard	ʃ a m a ʁ
chambly	ʃ ɑ̃ b l i
chambord	ʃ ɑ̃ b ɔ ʁ
chamonix	ʃ a m ɔ n i
champagne	ʃ ɑ̃ p a ɲ
champalimaud	ʃ ɑ̃ p a l i m o
champenois	ʃ ɑ̃ p ə n w a
champenoise	ʃ ɑ̃ p ə n w a z
champerret	ʃ ɑ̃ p e ʁ ɛ
champhol	ʃ ɑ̃ f ɔ l
champlain	ʃ ɑ̃ p l ɛ̃
champneuf	ʃ ɑ̃ n œ f
champs	ʃ ɑ̃
chams	t ʃ a m
chandeleur	ʃ ɑ̃ d l œ ʁ
chantal	ʃ ɑ̃ t a l
chanteraine	ʃ ɑ̃ t ʁ ɛ n
chaon	ʃ ɔ̃
chaouis	ʃ a w i
chapon	ʃ a p ɔ̃
chapteuil	ʃ a p t œ j
chapuis	ʃ a p ɥ i
chapuit	ʃ a p ɥ i
charbonier	ʃ a ʁ b ɔ n j e
chardonnay	ʃ a ʁ d ɔ n ɛ
charente	ʃ a ʁ ɑ̃ t
charette	ʃ a ʁ ɛ t
chariclée	k a ʁ i k l e
charites	k a ʁ i t
charlemagne	ʃ a ʁ l ə m a ɲ
charleroi	ʃ a ʁ l ə ʁ w a
charles	ʃ a ʁ l
charlevoix	ʃ a ʁ l ə v w a
charline	ʃ a ʁ l i n
charlot	ʃ a ʁ l o
charlotte	ʃ a ʁ l ɔ t
charlène	ʃ a ʁ l ɛ n
charmentray	ʃ a ʁ m ɑ̃ t ʁ ɛ
chartainvilliers	ʃ a ʁ t ɛ̃ v i j j e
chartres	ʃ a ʁ t ʁ
chartreux	ʃ a ʁ t ʁ ø
charybde	k a ʁ i b d
chastres	ʃ a t ʁ
chastrès	ʃ a s t ʁ ɛ
chateaubriand	ʃ a t o b ʁ i j ɑ̃
chaumette	ʃ o m ɛ t
chaumuzy	ʃ o m y z i
chautemps	ʃ o t ɑ̃
chauvin	ʃ o v ɛ̃
chavin	ʃ a v ɛ̃
chazel	ʃ a z ɛ l
chechnie	ʃ ɛ ʃ n i
chelles	ʃ ɛ l
chelsea	t ʃ ɛ l s i
chemetoff	ʃ e m e t ɔ f
cheng	t ʃ ɛ ŋ
chenonceaux	ʃ ə n ɔ̃ s o
cher	ʃ ɛ ʁ
cherbourg	ʃ ɛ ʁ b u ʁ
chevalier	ʃ ə v a l j e
chevrier	ʃ ə v ʁ i j e
chevrolet	ʃ ə v ʁ ɔ l ɛ
cheyenne	ʃ e j ɛ n
chiac	ʃ j a k
chibougamau	ʃ i b u ɡ a m o
chicago	ʃ i k a ɡ o
chicagoan	ʃ i k a ɡ ɔ ɑ̃
chicagolais	ʃ i k a ɡ ɔ l ɛ
chicheportiche	ʃ i ʃ p ɔ ʁ t i ʃ
chichester	t ʃ i t ʃ ɛ s t œ ʁ
chichportich	ʃ i ʃ p ɔ ʁ t i ʃ
chicoutimi	ʃ i k u t i m i
chicoutimien	ʃ i k u t i m j ɛ̃
chiers	ʃ j ɛ ʁ
chihiro	t ʃ i h i ʁ o
chili	ʃ i l i
chilien	ʃ i l j ɛ̃
chilienne	ʃ i l j ɛ n
chine	ʃ i n
chinois	ʃ i n w a
chipiez	ʃ i p j e
chirac	ʃ i ʁ a k
chirol	ʃ i ʁ ɔ l
chiron	k i ʁ ɔ̃
chirvan	ʃ i ʁ v ɑ̃
chisa	t ʃ i s a
chisasibi	ʃ i z a s i b i
chiyo	t ʃ i j o
chièvres	ʃ j ɛ v ʁ
chlef	ʃ l ɛ f
chleuh	ʃ l ø
chleuhe	ʃ l ø
chloé	k l o e
chneiweiss	ʃ n e v ɛ j s
chochana	ʃ ɔ ʃ a n a
chokri	ʃ ɔ k ʁ i
chongqing	t ʃ ɔ ŋ t ʃ i ŋ
chooz	ʃ o
chopin	ʃ ɔ p ɛ̃
choquet	ʃ ɔ k ɛ
chouchanik	ʃ u ʃ a n i k
chouchi	ʃ u ʃ i
chouinard	ʃ w i n a ʁ
choulguine	ʃ u l ɡ i n
christ	k ʁ i
christelle	k ʁ i s t ɛ l
christian	k ʁ i s t j ɑ̃
christiane	k ʁ i s t j a n
christine	k ʁ i s t i n
christophe	k ʁ i s t ɔ f
christopher	k ʁ i s t ɔ f ɛ ʁ
chrysippe	k ʁ i z i p
chrétien	k ʁ e t j ɛ̃
chrétienne	k ʁ e t j ɛ n
chtiba	ʃ t i b a
chypre	ʃ i p ʁ
chypriote	ʃ i p ʁ i j ɔ t
châteauguay	ʃ a t o ɡ ɛ
châteauroux	ʃ a t o ʁ u
châtelaillon	ʃ a t e l a j ɔ̃
châtellerault	ʃ a t ɛ l ʁ o
châtres	ʃ a t ʁ
chénéville	ʃ e n e v i l
chérif	ʃ e ʁ i f
ciboure	s i b u ʁ
cimiez	s i m j e
cinthie	s ɛ̃ t i
ciotaden	s j ɔ t a d ɛ̃
circassie	s i ʁ k a s i
circassien	s i ʁ k a s j ɛ̃
circassienne	s i ʁ k a s j ɛ n
circé	s i ʁ s e
circée	s i ʁ s e
ciret	s i ʁ ɛ
ciron	s i ʁ ɔ̃
cisjordanie	s i s ʒ ɔ ʁ d a n i
citroën	s i t ʁ o ɛ n
cixous	s i k s u
claira	k l e ʁ a
claire	k l ɛ ʁ
clairouin	k l e ʁ w ɛ̃
clara	k l a ʁ a
clarendon	k l a ʁ ə n d ɔ n
clarisse	k l a ʁ i s
claude	k l o d
claudette	k l o d ɛ t
claudia	k l o d j a
claudie	k l o d i
claudine	k l o d i n
cleenewerck	k l ə n w ɛ ʁ k
clermont	k l ɛ ʁ m ɔ̃
clerval	k l ɛ ʁ v a l
clervie	k l ɛ ʁ v i
clignancourt	k l i ɲ ɑ̃ k u ʁ
clisthène	k l i s t ɛ n
clopas	k l ɔ p a
clothilde	k l ɔ t i l d
clotilde	k l ɔ t i l d
cloutier	k l u t j e
clovis	k l ɔ v i s
clèves	k l ɛ v
cléanthe	k l e ɑ̃ t
clélia	k l e l j a
clélie	k l e l i
clémence	k l e m ɑ̃ s
clément	k l e m ɑ̃
clémentine	k l e m ɑ̃ t i n
clémie	k l e m i
cléobule	k l e ɔ b y l
cléopâtre	k l e ɔ p a t ʁ
cléricy	k l e ʁ i s i
cléry	k l e ʁ i
clœlia	k l e l j a
clœlius	k l e l j y s
cnide	k n i d
coaticook	k w a t i k u k
coblence	k ɔ b l ɑ̃ s
cobée	k ɔ b e
cochin	k ɔ ʃ ɛ̃
cocyte	k ɔ s i t
coffin	k ɔ f ɛ̃
cognac	k ɔ ɲ a k
colchide	k ɔ l ʃ i d
coldefy	k ɔ l d ə f i
colette	k ɔ l ɛ t
colin	k ɔ l ɛ̃
coline	k ɔ l i n
colisée	k ɔ l i z e
collas	k ɔ l a
colmar	k ɔ l m a ʁ
cologne	k ɔ l ɔ ɲ
colombani	k ɔ l ɔ̃ b a n i
colombie	k ɔ l ɔ̃ b i
colombien	k ɔ l ɔ̃ b j ɛ̃
colombienne	k ɔ l ɔ̃ b j ɛ n
colombier	k ɔ l ɔ̃ b j e
colomiers	k ɔ l ɔ m j e
colonna	k ɔ l ɔ n a
colorado	k ɔ l ɔ ʁ a d o
colossiens	k ɔ l ɔ s j ɛ̃
colossée	k ɔ l ɔ s e
coltainville	k ɔ l t ɛ̃ v i l
combani	k ɔ̃ b a n i
combourg	k ɔ̃ b u ʁ
comeau	k ɔ m o
comeaux	k ɔ m o
commagène	k ɔ m a ʒ ɛ n
comminges	k ɔ m ɛ̃ ʒ
comores	k ɔ m ɔ ʁ
compostelle	k ɔ̃ p ɔ s t ɛ l
comte	k ɔ̃ t
coméliau	k ɔ m e l j o
concarneau	k ɔ̃ k a ʁ n o
concorde	k ɔ̃ k ɔ ʁ d
concots	k ɔ̃ k o
condat	k ɔ̃ d a
condom	k ɔ̃ d ɔ̃
condé	k ɔ̃ d e
confiturembourg	k ɔ̃ f i t y ʁ ɛ̃ b u ʁ
confucius	k ɔ̃ f y s j y s
confédération	k ɔ̃ f e d e ʁ a s j ɔ̃
congo	k ɔ̃ ɡ o
congolais	k ɔ̃ ɡ ɔ l ɛ
congolaise	k ɔ̃ ɡ ɔ l ɛ z
congolaises	k ɔ̃ ɡ ɔ l ɛ z
congos	k ɔ̃ ɡ o
congy	k ɔ̃ ʒ i
coni	k ɔ n i
conoc	k ɔ n ɔ k
conogan	k ɔ n ɔ ɡ a n
conquête	k ɔ̃ k ɛ t
conserans	k ɔ̃ s ʁ ɑ̃
constance	k ɔ̃ s t ɑ̃ s
constantin	k ɔ̃ s t ɑ̃ t ɛ̃
constantinescu	k ɔ̃ s t ɑ̃ t i n ɛ s k y
constantinople	k ɔ̃ s t ɑ̃ t i n ɔ p l
constantinopolitain	k ɔ̃ s t ɑ̃ t i n ɔ p ɔ l i t ɛ̃
contrazy	k ɔ̃ t ʁ a z i
contrecœur	k ɔ̃ t ʁ ə k œ ʁ
convel	k ɔ̃ v ɛ l
convoyon	k ɔ̃ v w a j ɔ̃
copenhague	k ɔ p e n a ɡ
coppée	k ɔ p e
coquatrix	k ɔ k a t ʁ i
coralie	k ɔ ʁ a l i
coran	k ɔ ʁ ɑ̃
corbeau	k ɔ ʁ b o
corcoran	k ɔ ʁ k ɔ ʁ ɑ̃
corcyre	k ɔ ʁ s i ʁ
corcyréen	k ɔ ʁ s i ʁ e ɛ̃
cordoue	k ɔ ʁ d u
corentin	k ɔ ʁ ɑ̃ t ɛ̃
corentine	k ɔ ʁ ɑ̃ t i n
corfou	k ɔ ʁ f u
corinne	k ɔ ʁ i n
corinthe	k ɔ ʁ ɛ̃ t
corinthien	k ɔ ʁ ɛ̃ t j ɛ̃
coriolis	k ɔ ʁ j ɔ l i s
cormier	k ɔ ʁ m j e
cornec	k ɔ ʁ n ɛ k
corneille	k ɔ ʁ n ɛ j
cornille	k ɔ ʁ n i j
cornillet	k ɔ ʁ n i j ɛ
cornouaille	k ɔ ʁ n w a j
cornouailles	k ɔ ʁ n w a j
cornély	k ɔ ʁ n e l i
corre	k ɔ ʁ
corrèze	k ɔ ʁ ɛ z
corse	k ɔ ʁ s
coré	k ɔ ʁ e
corée	k ɔ ʁ e
coréen	k ɔ ʁ e ɛ̃
cosaque	k ɔ z a k
cosnard	k ɔ n a ʁ
cosne	k ɔ s n
costa	k ɔ s t a
cotillard	k ɔ t i j a ʁ
couffignal	k u f i ɲ a l
couflens	k u f l ɑ̃
coulm	k u l m
coulon	k u l ɔ̃
coupe	k u p
courbet	k u ʁ b ɛ
courbevoie	k u ʁ b ə v w a
cournut	k u ʁ n y
couronne	k u ʁ ɔ n
courseulles	k u ʁ s œ l
courtagnon	k u ʁ t a ɲ ɔ̃
courtois	k u ʁ t w a
courtrai	k u ʁ t ʁ ɛ
couserannais	k u z ʁ a n ɛ
couserans	k u z ʁ ɑ̃
coutisson	k u t i s ɔ̃
couture	k u t y ʁ
covid	k ɔ v i d
coïmbre	k ɔ ɛ̃ b ʁ
cracovie	k ʁ a k ɔ v i
cracovien	k ʁ a k ɔ v j ɛ̃
cramchaban	k ʁ a m ʃ a b ɑ̃
crampagna	k ʁ ɑ̃ p a ɲ a
craon	k ʁ ɑ̃
cratéis	k ʁ a t e i s
crau	k ʁ o
crespelle	k ʁ ɛ s p ɛ l
crest	k ʁ e
creuse	k ʁ ø z
cri	k ʁ i
crimée	k ʁ i m e
cris	k ʁ i
croate	k ʁ ɔ a t
croatie	k ʁ o a s i
cronos	k ʁ ɔ n o s
cruou	k ʁ y u
crète	k ʁ ɛ t
créac'h	k ʁ e a ʃ
créateur	k ʁ e a t œ ʁ
crécy	k ʁ e s i
crégols	k ʁ e ɡ ɔ l
crémone	k ʁ e m ɔ n
créneau	k ʁ e n o
créole	k ʁ e ɔ l
crépeau	k ʁ e p o
crépeaux	k ʁ e p o
crésus	k ʁ e z y s
créteil	k ʁ e t ɛ j
cuba	k y b a
cubain	k y b ɛ̃
cubains	k y b ɛ̃
cucugnan	k y k y ɲ ɑ̃
cucuron	k y k y ʁ ɔ̃
cuguron	k y ɡ y ʁ ɔ̃
cuif	k ɥ i f
cumes	k y m
cuméen	k y m e ɛ̃
cunwal	k y n w a l
cupidon	k y p i d ɔ̃
cuqueron	k y k ʁ ɔ̃
curaçao	k y ʁ a s o
cychrée	s i k ʁ e
cyclades	s i k l a d
cygne	s i ɲ
cynosure	s i n o z y ʁ
cynthe	s ɛ̃ t
cynthie	s ɛ̃ t i
cypre	s i p ʁ
cyprien	s i p ʁ i j ɛ̃
cypriote	s i p ʁ i j ɔ t
cyriaque	s i ʁ j a k
cyril	s i ʁ i l
cyrille	s i ʁ i l
cyrène	s i ʁ ɛ n
cyrénaïque	s i ʁ e n a i k
cyssunte	s i s œ̃ t
cythère	s i t ɛ ʁ
cythéréen	s i t e ʁ e ɛ̃
céli	s e l i
cæsar	s e z a ʁ
cène	s ɛ n
cécile	s e s i l
cécilia	s e s i l j a
cédric	s e d ʁ i k
cédrika	s e d ʁ i k a
céfran	s e f ʁ ɑ̃
céleste	s e l ɛ s t
célestial	s e l ɛ s t j a l
célia	s e l j a
céline	s e l i n
célé	s e l e
céphallénie	s e f a l e n i
céphalonie	s e f a l ɔ n i
céphas	s e f a s
céphée	s e f e
céret	s e ʁ ɛ
cérons	s e ʁ ɔ̃
cérynée	s e ʁ i n e
cérès	s e ʁ ɛ s
césar	s e z a ʁ
césarion	s e z a ʁ j ɔ̃
césarée	s e z a ʁ e
cîteaux	s i t o
côme	k o m
côté	k o t e
d'alembert	d a l ɑ̃ b ɛ ʁ
d'autray	d o t ʁ ɛ
dab	d a b
dae	d e a ø
dcd	d e s e d e
ddt	d e d e t e
deug	d œ ɡ
dgse	d e ʒ e e s ə
diu	d e i y
dom	d ɔ m
drh	d e e ʁ a ʃ
drhc	d e e ʁ a ʃ s e
drom	d ʁ ɔ m
ds	d e ɛ s
dst	d e ɛ s t e
dvd	d e v e d e
dz	d e z ɛ d
dacquois	d a k w a
dacquoise	d a k w a z
dadou	d a d u
daech	d a ɛ ʃ
daeninck	d a n ɛ̃ k
daeninckx	d a n ɛ̃ k k s
daghestan	d a ɡ ɛ s t ɑ̃
daghestanais	d a ɡ ɛ s t a n ɛ
dagorn	d a ɡ ɔ ʁ n
daguestan	d a ɡ ɛ s t ɑ̃
dahoméenne	d a ɔ m e ɛ n
daigle	d ɛ ɡ l
dalhousie	d a l u z i
dalila	d a l i l a
dallaire	d a l ɛ ʁ
dalmatie	d a l m a s i
damas	d a m a s
damascène	d a m a s ɛ n
damien	d a m j ɛ̃
damoclès	d a m ɔ k l ɛ s
danaïde	d a n a i d
danemark	d a n m a ʁ k
danglars	d ɑ̃ ɡ l a ʁ
daniel	d a n j ɛ l
danielle	d a n j ɛ l
danièle	d a n j ɛ l
danoise	d a n w a z
dantou	d ɑ̃ t u
dany	d a n i
danylo	d a n i l o
daphné	d a f n e
dardanelles	d a ʁ d a n ɛ l
dardanie	d a ʁ d a n i
darracq	d a ʁ a k
darrigrand	d a ʁ i ɡ ʁ ɑ̃
daudet	d o d ɛ
dauphin	d o f ɛ̃
dauphinois	d o f i n w a
dauphinoise	d o f i n w a z
dauphiné	d o f i n e
dauzat	d o z a
david	d a v i
davis	d e v i s
davy	d a v i
dax	d a k s
debaltseve	d e b a l t s e v e
debaltsevo	d i b a l t s i v ə
debaralle	d ə b a ʁ a l
debes	d œ b
debussy	d ə b y s i
debès	d ə b ɛ
decoteau	d ə k ɔ t o
dedieu	d ə d j ø
defays	d ə f a i
deinokratès	d e j n ɔ k ʁ a t ɛ s
dekkan	d e k ɑ̃
delacroix	d ə l a k ʁ w a
delage	d ə l a ʒ
delamarre	d ə l a m a ʁ
delanglade	d ə l ɑ̃ ɡ l a d
delaunay	d ə l o n ɛ
delavay	d ə l a v ɛ
deleuze	d ə l ø z
delfour	d ɛ l f u ʁ
delord	d ə l ɔ ʁ
delors	d ə l ɔ ʁ
delort	d ə l ɔ ʁ
delphes	d ɛ l f
delphine	d ɛ l f i n
delpuech	d ɛ l p ɥ ɛ ʃ
delyankir	d e l j ɑ̃ k i ʁ
demesmaeker	d ə m ɛ s m a k œ ʁ
denamiel	d ə n a m j ɛ l
denault	d ə n o
denholm	d ɛ n o l m
denis	d ə n i
denise	d ə n i z
deranque	d ə ʁ ɑ̃ k
deroche	d ə ʁ ɔ ʃ
derrida	d e ʁ i d a
desaulniers	d ə s o n j e
