a	ɐ
abordaram	ɐ b o ʁ d ɐ ɾ ɐ̃w̃
abordará	ɐ b o ʁ d ɐ ɾ ɐ
abordo	ɐ b o ɹ d u
abordou	ɐ b o ʁ d ow
abordável	ɐ b o ɹ d ɐ v e w
aboriginal	ɐ b o ɾ i ʒ ĩ n ɐw
aboriginalidade	ɐ b o ɾ i ʒ i n ɐ l i d ɐ d e
aborrece	ɐ b o ʁ e s i
aborrecer	ɐ b o ʁ e s e ɹ
aborrecida	ɐ b o ʁ e s i d ɐ
aborrecido	ɐ b o ʁ e s i d u
aborrecidos	ɐ b o ʁ e s i d u s
aborrecimento	ɐ b o ʁ e s ĩ m ẽ t u
aborrecimentos	ɐ b o ʁ e s ĩ m ẽ t u s
aborrescente	ɐ b o ʁ e s ẽ t e
aborrir	ɐ b o ʁ i
abortada	ɐ b o ɹ t ɐ d ɐ
abortado	ɐ b o ɹ t ɐ d u
abortados	ɐ b o ɹ t ɐ d u s
abortar	ɐ b o ɹ t ɐ ɹ
aborteiro	ɐ b o ɹ t e ɾ ɾ u
abortina	ɐ b o ɹ t ĩ n ɐ
abortismo	ɐ b o ɹ t i z m u
abortista	ɐ b o ɹ t i s t ɐ
abortividade	ɐ b o ɹ t i v i d ɐ d i
abortivo	ɐ b o ɹ t i v u
aborto	ɐ b o ɹ t u
abortos	ɐ b o ɹ t u s
abortou	ɐ b o ɹ t ow
abortável	ɐ b o ɹ t ɐ v e w
abortífero	ɐ b o ɹ t i f e ɾ u
aborígene	ɐ b o ɾ i ʒ e n e
aborígenes	ɐ b o ɾ i ʒ e n i s
aborígine	ɐ b o ɾ i ʒ i n e
aborígines	ɐ b o ɾ i ʒ ĩ n i s
abotoadura	ɐ b o t o ɐ d u ɾ ɐ
abotoar	ɐ b o t o ɐ ɹ
abotoo	ɐ b o t o o
abou	ɐ b ow
aboukir	ɐ b o k i
about	ɐ b ow t ʃ
above	ɐ b o v i
abpd	ɐ b p d ʒ
abr	ɐ b ɹ
abra	ɐ b ɾ ɐ
abraamismo	ɐ b ɾ ɐ ɐ m i z m o
abrac	ɐ b ɾ ɐ k
abracadabra	ɐ b ɾ ɐ k ɐ d ɐ b ɾ ɐ
abracaf	ɐ b ɾ ɐ k ɐ f
abracem	ɐ b ɾ ɐ s ẽ s
abraciclo	ɐ b ɾ ɐ s i k l u
abrad	ɐ b ɾ ɐ d ʒ
abradif	ɐ b ɾ ɐ d ʒ i f
abraham	ɐ b ɾ ɐ ɐ̃w̃
abrahams	ɐ b ɾ ɐ ɐ̃ s
abrahão	ɐ b ɾ ɐ ɐ̃w̃
abram	ɐ b ɾ ɐ̃w̃
abramczyk	ɐ b ɾ ɐ̃ k z i k
abramge	ɐ b ɾ ɐ̃ ʒ i
abramo	ɐ b ɾ ɐ̃ m u
abrams	ɐ b ɾ ɐ̃ s
abranches	ɐ b ɾ ɐ̃ ʃ i s
abrandamento	ɐ b ɾ ɐ̃ d ɐ m ẽ t u
abrandando	ɐ b ɾ ɐ̃ d ɐ̃ d o
abrandar	ɐ b ɾ ɐ̃ d ɐ ɹ
abrando	ɐ b ɾ ɐ̃ d o
abrange	ɐ b ɾ ɐ̃ ʒ i
abrangem	ɐ b ɾ ɐ̃ ʒ ẽj̃
abrangendo	ɐ b ɾ ɐ̃ ʒ ẽ d u
abrangente	ɐ b ɾ ɐ̃ ʒ ẽ t ʃ i
abrangentes	ɐ b ɾ ɐ̃ ʒ ẽ t ʃ i s
abranger	ɐ b ɾ ɐ̃ ʒ e ɹ
abrangeu	ɐ b ɾ ɐ̃ ʒ ew
abrangia	ɐ b ɾ ɐ̃ ʒ i ɐ
abrangência	ɐ b ɾ ɐ̃ ʒ ẽ s i ɐ
abrantes	ɐ b ɾ ɐ̃ t ʃ i s
abrapp	ɐ b ɾ ɐ p p
abraquia	ɐ b ɾ ɐ k i ɐ
abras	ɐ b ɾ ɐ s
abrasador	ɐ b ɾ ɐ z ɐ d o ɹ
abrasar	ɐ b ɾ ɐ z ɐ
abrasax	ɐ b ɾ ɐ s ɐ k s
abrasileiramento	ɐ b ɾ ɐ z i l e ɾ ɾ ɐ m ẽ t o
abrasileirar	ɐ b ɾ ɐ z i l e ɾ ɾ ɐ
abrasividade	ɐ b ɾ ɐ z i v i d ɐ d e
abrasivo	ɐ b ɾ ɐ z i v o
abrasp	ɐ b ɾ ɐ s p
abrasão	ɐ b ɾ ɐ z ɐ̃ ɐ̃w̃
abrasômetro	ɐ b ɾ ɐ z o m e t ɾ o
abravest	ɐ b ɾ ɐ v e s t ʃ
abraâmico	ɐ b ɾ ɐ ɐ m i k o
abraão	ɐ b ɾ ɐ ɐ̃w̃
abraça	ɐ b ɾ ɐ s ɐ
abraçada	ɐ b ɾ ɐ s ɐ d ɐ
abraçado	ɐ b ɾ ɐ s ɐ d u
abraçados	ɐ b ɾ ɐ s ɐ d u s
abraçam	ɐ b ɾ ɐ s ɐ̃w̃
abraçando	ɐ b ɾ ɐ s ɐ̃ d u
abraçar	ɐ b ɾ ɐ s ɐ ɹ
abraçaram	ɐ b ɾ ɐ s ɐ ɾ ɐ̃w̃
abraçassem	ɐ b ɾ ɐ s ɐ s ẽ s
abraçava	ɐ b ɾ ɐ s ɐ v ɐ
abraço	ɐ b ɾ ɐ s u
abraços	ɐ b ɾ ɐ s u s
abraçou	ɐ b ɾ ɐ s ow
abraçá	ɐ b ɾ ɐ s ɐ
abraçáveis	ɐ b ɾ ɐ s ɐ v e ɾ s
abraçável	ɐ b ɾ ɐ s ɐ v e w
abração	ɐ b ɾ ɐ s ɐ̃ ɐ̃w̃
abre	ɐ b ɾ i
abrego	ɐ b ɾ e ɡ o
abregos	ɐ b ɾ e ɡ o s
abrem	ɐ b ɾ ẽj̃
abrenúncio	ɐ b ɾ e n ũ s i o
abreu	ɐ b ɾ ew
abreugrafia	ɐ b ɾ e w ɡ ɾ ɐ f i ɐ
abreviadamente	ɐ b ɾ e v i ɐ d ɐ m ẽ t e
abreviado	ɐ b ɾ e v i ɐ d o
abreviar	ɐ b ɾ e v i ɐ ɹ
abreviativo	ɐ b ɾ e v i ɐ t i v o
abreviatura	ɐ b ɾ e v i ɐ t u ɾ ɐ
abreviaturas	ɐ b ɾ e v i ɐ t u ɾ ɐ s
abreviatório	ɐ b ɾ e v i ɐ t o ɾ i o
abreviação	ɐ b ɾ e v i ɐ s ɐ̃w̃
abri	ɐ b ɾ i
abria	ɐ b ɾ i ɐ
abriam	ɐ b ɾ i ɐ̃w̃
abricó	ɐ b ɾ i k ɔ
abridor	ɐ b ɾ i d o ɹ
abridores	ɐ b ɾ i d o ɾ e s
abriga	ɐ b ɾ i ɡ ɐ
abrigadas	ɐ b ɾ i ɡ ɐ d ɐ s
abrigado	ɐ b ɾ i ɡ ɐ d u
abrigados	ɐ b ɾ i ɡ ɐ d u s
abrigam	ɐ b ɾ i ɡ ɐ̃w̃
abrigando	ɐ b ɾ i ɡ ɐ̃ d u
abrigar	ɐ b ɾ i ɡ ɐ ɹ
abrigará	ɐ b ɾ i ɡ ɐ ɾ ɐ
abrigava	ɐ b ɾ i ɡ ɐ v ɐ
abrigo	ɐ b ɾ i ɡ u
abrigoir	ɐ b ɾ i ɡ o i
abrigos	ɐ b ɾ i ɡ u s
abrigou	ɐ b ɾ i ɡ ow
abril	ɐ b ɾ iw
abrimos	ɐ b ɾ ĩ m u s
abrin	ɐ b ɾ ĩ
abrina	ɐ b ɾ i n ɐ
abrindo	ɐ b ɾ ĩ d u
abrinq	ɐ b ɾ ĩ k
abrir	ɐ b ɾ i ɹ
abriram	ɐ b ɾ i ɾ ɐ̃w̃
abrirem	ɐ b ɾ i ɾ ẽj̃
abriria	ɐ b ɾ i ɾ i ɐ
abririam	ɐ b ɾ i ɾ i ɐ̃w̃
abrirá	ɐ b ɾ i ɾ ɐ
abrirão	ɐ b ɾ i ɾ ɐ̃w̃
abrisse	ɐ b ɾ i s i
abrissem	ɐ b ɾ i s ẽj̃
abriu	ɐ b ɾ iw
abro	ɐ b ɾ u
abrolho	ɐ b ɾ o ʎ o
abrolhos	ɐ b ɾ o ʎ u s
abroquelar	ɐ b ɾ o k e l ɐ
abrunheiro	ɐ b ɾ u ɲ e ɾ ɾ o
abrunho	ɐ b ɾ u ɲ o
abrupta	ɐ b ɾ u p t ɐ
abruptamente	ɐ b ɾ u p t ɐ m ẽ t ʃ i
abruptas	ɐ b ɾ u p t ɐ s
abrupto	ɐ b ɾ u p t u
abrupção	ɐ b ɾ u p s ɐ̃ ɐ̃w̃
abruzzo	ɐ b ɾ u z o
abruzzês	ɐ b ɾ u z e ɾ s
abruzês	ɐ b ɾ u z e ɾ s
abrãao	ɐ b ɾ ɐ̃ ɐw
abrão	ɐ b ɾ ɐ̃w̃
abrótano	ɐ b ɾ o t ɐ n o
abrótea	ɐ b ɾ o t i ɐ
abrótono	ɐ b ɾ o t o n o
abs	ɐ b s
absaber	ɐ b s ɐ b e ɹ
absalão	ɐ b s ɐ l ɐ̃ ɐ̃w̃
absceder	ɐ b s e d e
abscederes	ɐ b s e d e ɾ e s
abscedido	ɐ b s e d i d o
abscesso	ɐ b s e s o
abscissa	ɐ b i s i s ɐ
abscisão	ɐ b i s i z ɐ̃ ɐ̃w̃
absenteísmo	ɐ b s ẽ t e i z m u
absentismo	ɐ b s ẽ t i z m o
absidal	ɐ b i s i d ɐ w
absinto	ɐ b i s ĩ t u
absolut	ɐ b s o l u t ʃ
absoluta	ɐ b s o l u t ɐ
absolutamente	ɐ b s o l u t ɐ m ẽ t ʃ i
absolutas	ɐ b s o l u t ɐ s
absolutismo	ɐ b s o l u t ʃ i z m u
absoluto	ɐ b s o l u t u
absolutos	ɐ b s o l u t u s
absolve	ɐ b s ɔ w v i
absolver	ɐ b s ow v e ɹ
absolveram	ɐ b s ow v e ɾ ɐ̃w̃
absolveu	ɐ b s ow v ew
absolvida	ɐ b s ow v i d ɐ
absolvido	ɐ b s ow v i d u
absolvidos	ɐ b s ow v i d u s
absolvição	ɐ b s ow v i s ɐ̃w̃
absolvições	ɐ b s ow v i s õj̃ s
absolvível	ɐ b i s o w v i v e w
absonância	ɐ b s o n ɐ̃ s i ɐ
absorciômetro	ɐ b i s o ɹ s i õ m e t ɾ u
absorto	ɐ b s o ɹ t u
absorve	ɐ b s o ʁ v i
absorvedora	ɐ b s o ɹ v e d o ɾ ɐ
absorvedoras	ɐ b s o ɹ v e d o ɾ ɐ s
absorvedores	ɐ b s o ɹ v e d o ɾ i s
absorvem	ɐ b s o ʁ v ẽj̃
absorvendo	ɐ b s o ʁ v ẽ d u
absorvente	ɐ b s o ʁ v ẽ t ʃ i
absorventes	ɐ b s o ʁ v ẽ t ʃ i s
absorver	ɐ b s o ʁ v e ɹ
absorveram	ɐ b s o ʁ v e ɾ ɐ̃w̃
absorveu	ɐ b s o ʁ v ew
absorvida	ɐ b s o ʁ v i d ɐ
absorvidas	ɐ b s o ʁ v i d ɐ s
absorvido	ɐ b s o ʁ v i d u
absorvidos	ɐ b s o ʁ v i d u s
absorvo	ɐ b i s o ɹ v u
absorção	ɐ b s o ɹ s ɐ̃w̃
abstenha	ɐ b s t e ɲ ɐ
abstenção	ɐ b s t ẽ s ɐ̃w̃
abstenções	ɐ b s t ẽ s õj̃ s
abster	ɐ b s t e ɹ
abstergente	ɐ b s t e ɹ ʒ ẽ t i
absterá	ɐ b i s t e ɾ ɐ
absteve	ɐ b s t e v i
abstinência	ɐ b s t ʃ ĩ n ẽ s i ɐ
abstiveram	ɐ b s t ʃ i v e ɾ ɐ̃w̃
abstracionismo	ɐ b s t ɾ ɐ s i o n i z m u
abstracionista	ɐ b i s t ɾ ɐ s i o n i s t ɐ
abstraia	ɐ b i s t ɾ ɐ ɾ ɐ
abstraidamente	ɐ b i s t ɾ ɐ i d ɐ m ẽ t i
abstraindo	ɐ b s t ɾ ɐ ĩ d u
abstraio	ɐ b i s t ɾ ɐ ɾ u
abstrair	ɐ b s t ɾ ɐj ɹ
abstraiu	ɐ b i s t ɾ ɐ i w
abstrata	ɐ b s t ɾ ɐ t ɐ
abstratamente	ɐ b i s t ɾ ɐ t ɐ m ẽ t i
abstratas	ɐ b s t ɾ ɐ t ɐ s
abstratidade	ɐ b i s t ɾ ɐ t i d ɐ d i
abstratividade	ɐ b i s t ɾ ɐ t i v i d ɐ d i
abstrativo	ɐ b i s t ɾ ɐ t i v u
abstrato	ɐ b s t ɾ ɐ t u
abstratos	ɐ b s t ɾ ɐ t u s
abstração	ɐ b s t ɾ ɐ s ɐ̃w̃
abstrações	ɐ b s t ɾ ɐ s õj̃ s
abstraível	ɐ b i s t ɾ ɐ i v e w
abstrusão	ɐ b s t ɾ u z ɐ̃ ɐ̃w̃
abstêm	ɐ b i s t ẽ s
abstêmio	ɐ b s t e m i u
absurda	ɐ b s u ʁ d ɐ
absurdamente	ɐ b s u ʁ d ɐ m ẽ t ʃ i
absurdas	ɐ b s u ʁ d ɐ s
absurdo	ɐ b s u ʁ d u
absurdos	ɐ b s u ʁ d u s
absáber	ɐ b s ɐ b e ɹ
absíntio	ɐ b i s ĩ t i u
abt	ɐ b t ʃ
abu	ɐ b u
abud	ɐ b u d ʒ
abudábi	ɐ b u d ɐ b i
abugida	ɐ b u ʒ i d ɐ
abugão	ɐ b u ɡ ɐ̃ ɐ̃w̃
abugões	ɐ b u ɡ õ s s
abuitre	ɐ b u ɾ t ɾ e
abuja	ɐ b u ʒ ɐ
abujamra	ɐ b u ʒ ɐ̃ ɾ ɐ
abujão	ɐ b u ʒ ɐ̃ ɐ̃w̃
abujões	ɐ b u ʒ õ s s
abukater	ɐ b u k ɐ t e ɹ
abulasão	ɐ b u l ɐ z ɐ̃ ɐ̃w̃
abulia	ɐ b u l i ɐ
abuna	ɐ b u n ɐ
abundam	ɐ b ũ d ɐ̃w̃
abundante	ɐ b ũ d ɐ̃ t ʃ i
abundantemente	ɐ b ũ d ɐ̃ t e m ẽ t ʃ i
abundantes	ɐ b ũ d ɐ̃ t ʃ i s
abundar	ɐ b ũ d ɐ
abundas	ɐ b ũ d ɐ s
abundio	ɐ b ũ d i u
abundo	ɐ b ũ d o
abundância	ɐ b ũ d ɐ̃ s i ɐ
abunã	ɐ b u n ɐ̃
abuquir	ɐ b u k i
aburguesar	ɐ b u ɹ ɡ e z ɐ
aburrão	ɐ b u ʁ ɐ̃ ɐ̃w̃
aburrões	ɐ b u ʁ õ s s
aburto	ɐ b u ɹ t u
abusa	ɐ b u z ɐ
abusada	ɐ b u z ɐ d ɐ
abusado	ɐ b u z ɐ d u
abusam	ɐ b u z ɐ̃w̃
abusando	ɐ b u z ɐ̃ d u
abusar	ɐ b u z ɐ ɹ
abusaram	ɐ b u z ɐ ɾ ɐ̃w̃
abusarem	ɐ b u z ɐ ɾ ẽj̃
abuse	ɐ b u z i
abusinhão	ɐ b u z i ɲ ɐ̃ ɐ̃w̃
abusinhões	ɐ b u z i ɲ õ s s
abusiva	ɐ b u z i v ɐ
abusivamente	ɐ b u z i v ɐ m ẽ t ʃ i
abusivas	ɐ b u z i v ɐ s
abusividade	ɐ b u z i v i d ɐ d ʒ i
abusivo	ɐ b u z i v u
abusivos	ɐ b u z i v u s
abuso	ɐ b u z u
abusos	ɐ b u z u s
abusou	ɐ b u z ow
abusável	ɐ b u z ɐ v e w
abutilão	ɐ b u t i l ɐ̃ ɐ̃w̃
abutre	ɐ b u t ɾ i
abutres	ɐ b u t ɾ i s
abádida	ɐ b ɐ d i d ɐ
abás	ɐ b ɐ ɾ s
abásico	ɐ b ɐ z i k o
abássida	ɐ b ɐ s i d ɐ
abécula	ɐ b e k u l ɐ
abélia	ɐ b e l i ɐ
abígeo	ɐ b i ʒ e o
abílio	ɐ b i l i u
abóbada	ɐ b ɔ b ɐ d ɐ
abóbeda	ɐ b o b e d ɐ
abóbora	ɐ b ɔ b o ɾ ɐ
abóboras	ɐ b ɔ b o ɾ ɐ s
abúlico	ɐ b u l i k o
abúndio	ɐ b ũ d i o
ac	ɐ k
acaba	ɐ k ɐ b ɐ
acabada	ɐ k ɐ b ɐ d ɐ
acabadas	ɐ k ɐ b ɐ d ɐ s
acabado	ɐ k ɐ b ɐ d u
acabados	ɐ k ɐ b ɐ d u s
acabam	ɐ k ɐ b ɐ̃w̃
acabamento	ɐ k ɐ b ɐ m ẽ t u
acabamentos	ɐ k ɐ b ɐ m ẽ t u s
acabamos	ɐ k ɐ b ɐ̃ m u s
acabando	ɐ k ɐ b ɐ̃ d u
acabar	ɐ k ɐ b ɐ ɹ
acabara	ɐ k ɐ b ɐ ɾ ɐ
acabaram	ɐ k ɐ b ɐ ɾ ɐ̃w̃
acabarem	ɐ k ɐ b ɐ ɾ ẽj̃
acabaria	ɐ k ɐ b ɐ ɾ i ɐ
acabariam	ɐ k ɐ b ɐ ɾ i ɐ̃w̃
acabará	ɐ k ɐ b ɐ ɾ ɐ
acabarão	ɐ k ɐ b ɐ ɾ ɐ̃w̃
acabasse	ɐ k ɐ b ɐ s i
acabava	ɐ k ɐ b ɐ v ɐ
acabavam	ɐ k ɐ b ɐ v ɐ̃w̃
acabe	ɐ k ɐ b i
acabei	ɐ k ɐ b ej
acabem	ɐ k ɐ b ẽj̃
acabo	ɐ k ɐ b u
acabou	ɐ k ɐ b ow
acabrunhar	ɐ k ɐ b ɾ u ɲ ɐ
acacetina	ɐ k ɐ s e t i n ɐ
acachapante	ɐ k ɐ ʃ ɐ p ɐ̃ t ʃ i
academia	ɐ k ɐ d e m i ɐ
academias	ɐ k ɐ d e m i ɐ s
academicamente	ɐ k ɐ d e m i k ɐ m ẽ t e
academicismo	ɐ k ɐ d e m i s i z m u
academismo	ɐ k ɐ d e m i z m o
academizar	ɐ k ɐ d e m i z ɐ
academização	ɐ k ɐ d e m i z ɐ s ɐ̃ ɐ̃w̃
academy	ɐ k ɐ d ẽ i
academês	ɐ k ɐ d e m e ɾ s
acadiano	ɐ k ɐ d i ɐ n o
acadêmia	ɐ k ɐ d e m i ɐ
acadêmica	ɐ k ɐ d e m i k ɐ
acadêmicas	ɐ k ɐ d e m i k ɐ s
acadêmico	ɐ k ɐ d e m i k u
acadêmicos	ɐ k ɐ d e m i k u s
acaia	ɐ k ɐ ɾ ɐ
acaiaca	ɐ k ɐ ɾ ɐ k ɐ
acaias	ɐ k ɐ ɾ ɐ s
acaica	ɐ k ɐ ɾ k ɐ
acaicas	ɐ k ɐ ɾ k ɐ s
acaico	ɐ k ɐ ɾ k o
acaicos	ɐ k ɐ ɾ k o s
acaio	ɐ k ɐ ɾ o
acaios	ɐ k ɐ ɾ o s
acaju	ɐ k ɐ ʒ u
acajutiba	ɐ k ɐ ʒ u t i b ɐ
acalanto	ɐ k ɐ l ɐ̃ t o
acalasia	ɐ k ɐ l ɐ z i ɐ
acalculia	ɐ k ɐ w k u l i ɐ
acalenta	ɐ k ɐ l ẽ t ɐ
acalentar	ɐ k ɐ l ẽ t ɐ
acalma	ɐ k ɐw m ɐ
acalmar	ɐ k ɐw m ɐ ɹ
acalme	ɐ k ɐ w m e
acalmo	ɐ k ɐ w m o
acalmou	ɐ k ɐw m ow
acalmá	ɐ k ɐw m ɐ
acalorado	ɐ k ɐ l o ɾ ɐ d o
acalorar	ɐ k ɐ l o ɾ ɐ
acamado	ɐ k ɐ m ɐ d o
acamar	ɐ k ɐ m ɐ
acamo	ɐ k ɐ m o
acampadas	ɐ k ɐ̃ p ɐ d ɐ s
acampado	ɐ k ɐ̃ p ɐ d u
acampados	ɐ k ɐ̃ p ɐ d u s
acampamento	ɐ k ɐ̃ p ɐ m ẽ t u
acampamentos	ɐ k ɐ̃ p ɐ m ẽ t u s
acampar	ɐ k ɐ̃ p ɐ ɹ
acanalar	ɐ k ɐ n ɐ l ɐ
acanhada	ɐ k ɐ ɲ ɐ d ɐ
acanhado	ɐ k ɐ ɲ ɐ d u
acanhar	ɐ k ɐ ɲ ɐ
acantamebíase	ɐ k ɐ̃ t ɐ m e b i ɐ z e
acantita	ɐ k ɐ̃ t i t ɐ
acantião	ɐ k ɐ̃ t i ɐ̃ ɐ̃w̃
acanto	ɐ k ɐ̃ t o
acantocéfalo	ɐ k ɐ̃ t o s e f ɐ l o
acantolítico	ɐ k ɐ̃ t o l i t i k o
acantopódio	ɐ k ɐ̃ t o p o d i o
acanturídeo	ɐ k ɐ̃ t u ɾ i d e o
acantácea	ɐ k ɐ̃ t ɐ s e ɐ
acantócito	ɐ k ɐ̃ t o s i t o
acantódio	ɐ k ɐ̃ t o d i o
acantólise	ɐ k ɐ̃ t o l i z e
acantótico	ɐ k ɐ̃ t o t i k o
acapu	ɐ k ɐ p u
acapulco	ɐ k ɐ p u w k u
acarajé	ɐ k ɐ ɾ ɐ ʒ ɛ
acaramelar	ɐ k ɐ ɾ ɐ m e l ɐ
acaranguejado	ɐ k ɐ ɾ ɐ̃ ɡ e ʒ ɐ d o
acaraú	ɐ k ɐ ɾ ɐ u
acardia	ɐ k ɐ ɹ d i ɐ
acarditar	ɐ k ɐ ɹ d i t ɐ
acardíaco	ɐ k ɐ ɹ d i ɐ k u
acareada	ɐ k ɐ ɾ e ɐ d ɐ
acareadas	ɐ k ɐ ɾ e ɐ d ɐ s
acareado	ɐ k ɐ ɾ e ɐ d o
acareados	ɐ k ɐ ɾ e ɐ d o s
acarear	ɐ k ɐ ɾ e ɐ
acareação	ɐ k ɐ ɾ e ɐ s ɐ̃w̃
acareei	ɐ k ɐ ɾ e e ɾ
acareio	ɐ k ɐ ɾ e ɾ o
acari	ɐ k ɐ ɾ i
acariciando	ɐ k ɐ ɾ i s i ɐ̃ d u
acariciar	ɐ k ɐ ɾ i s i ɐ ɹ
acaricida	ɐ k ɐ ɾ i s i d ɐ
acariciou	ɐ k ɐ ɾ i s i ow
acariciável	ɐ k ɐ ɾ i s i ɐ v e w
acarinhar	ɐ k ɐ ɾ i ɲ ɐ
acarino	ɐ k ɐ ɾ i n o
acariquara	ɐ k ɐ ɾ i k w ɐ ɾ ɐ
acarnaniano	ɐ k ɐ ɹ n ɐ n i ɐ̃ n u
acarnânia	ɐ k ɐ ɹ n ɐ̃ n i ɐ
acarnânio	ɐ k ɐ ɹ n ɐ̃ n i u
acarofobia	ɐ k ɐ ɾ o f o b i ɐ
acarologia	ɐ k ɐ ɾ o l o ʒ i ɐ
acarológico	ɐ k ɐ ɾ o l o ʒ i k o
acarreta	ɐ k ɐ ʁ e t ɐ
acarretam	ɐ k ɐ ʁ e t ɐ̃w̃
acarretamento	ɐ k ɐ ʁ e t ɐ m ẽ t o
acarretando	ɐ k ɐ ʁ e t ɐ̃ d u
acarretar	ɐ k ɐ ʁ e t ɐ ɹ
acarretaria	ɐ k ɐ ʁ e t ɐ ɾ i ɐ
acarretará	ɐ k ɐ ʁ e t ɐ ɾ ɐ
acarretou	ɐ k ɐ ʁ e t ow
acartar	ɐ k ɐ ɹ t ɐ
acará	ɐ k ɐ ɾ ɐ
acaríase	ɐ k ɐ ɾ i ɐ z e
acarídeo	ɐ k ɐ ɾ i d e o
acasalamento	ɐ k ɐ z ɐ l ɐ m ẽ t u
acasalar	ɐ k ɐ z ɐ l ɐ ɹ
acaso	ɐ k ɐ z u
acasos	ɐ k ɐ z u s
acastanhado	ɐ k ɐ s t ɐ ɲ ɐ d o
acastanhar	ɐ k ɐ s t ɐ ɲ ɐ
acastelada	ɐ k ɐ s t e l ɐ d ɐ
acasteladas	ɐ k ɐ s t e l ɐ d ɐ s
acastelados	ɐ k ɐ s t e l ɐ d o s
acastelar	ɐ k ɐ s t e l ɐ
acata	ɐ k ɐ t ɐ
acatada	ɐ k ɐ t ɐ d ɐ
acatadas	ɐ k ɐ t ɐ d ɐ s
acatado	ɐ k ɐ t ɐ d u
acatalasemia	ɐ k ɐ t ɐ l ɐ z e m i ɐ
acatalasia	ɐ k ɐ t ɐ l ɐ z i ɐ
acatalético	ɐ k ɐ t ɐ l e t i k o
acatam	ɐ k ɐ t ɐ̃ ɐ̃w̃
acatando	ɐ k ɐ t ɐ̃ d u
acatar	ɐ k ɐ t ɐ ɹ
acataram	ɐ k ɐ t ɐ ɾ ɐ̃w̃
acatará	ɐ k ɐ t ɐ ɾ ɐ
acate	ɐ k ɐ t ʃ i
acategórico	ɐ k ɐ t e ɡ o ɾ i k o
acatem	ɐ k ɐ t ẽ s
acatisia	ɐ k ɐ t i z i ɐ
acatisto	ɐ k ɐ t i s t o
acatou	ɐ k ɐ t ow
acatólico	ɐ k ɐ t o l i k o
acaudado	ɐ k ɐ w d ɐ d o
acaule	ɐ k ɐ w l e
acausal	ɐ k ɐ w z ɐ w
acausalidade	ɐ k ɐ w z ɐ l i d ɐ d e
acautelado	ɐ k ɐ w t e l ɐ d o
acautelar	ɐ k ɐ w t e l ɐ
acauã	ɐ k ɐ w ɐ̃
acaz	ɐ k ɐ ɾ s
acaçapado	ɐ k ɐ s ɐ p ɐ d o
acaçapante	ɐ k ɐ s ɐ p ɐ̃ t e
acbr	ɐ k b ɹ
acc	ɐ k k
accent	ɐ k s ẽ t ʃ
access	ɐ k s e s
accioly	ɐ k s i ow i
accolade	ɐ k k o l ɐ d ʒ i
accor	ɐ k k o ɹ
accord	ɐ k k o ʁ d ʒ
accorsi	ɐ k k o ɹ s i
accra	ɐ k ɾ ɐ
accs	ɐ k k s
ace	ɐ s i
acebolado	ɐ s e b o l ɐ d o
acebolar	ɐ s e b o l ɐ
acedacão	ɐ s e d ɐ k ɐ̃ ɐ̃w̃
acedecão	ɐ s e d e k ɐ̃ ɐ̃w̃
aceder	ɐ s e d e
acedência	ɐ s e d ẽ s i ɐ
acefalia	ɐ s e f ɐ l i ɐ
acefalocístico	ɐ s e f ɐ l o s i s t i k o
acefato	ɐ s e f ɐ t o
aceguá	ɐ s e ɡ w ɐ
aceh	ɐ t e
aceifão	ɐ s e ɾ f ɐ̃ ɐ̃w̃
aceirar	ɐ s ej ɾ ɐ ɹ
aceiro	ɐ s ej ɾ u
aceita	ɐ s ej t ɐ
aceitabilidade	ɐ s e ɾ t ɐ b i l i d ɐ d e
aceitado	ɐ s ej t ɐ d u
aceitam	ɐ s ej t ɐ̃w̃
aceitamos	ɐ s ej t ɐ m u s
aceitando	ɐ s ej t ɐ̃ d u
aceitante	ɐ s e ɾ t ɐ̃ t e
aceitar	ɐ s ej t ɐ ɹ
aceitaram	ɐ s ej t ɐ ɾ ɐ̃w̃
aceitarem	ɐ s ej t ɐ ɾ ẽj̃
aceitaremos	ɐ s ej t ɐ ɾ e m u s
aceitaria	ɐ s ej t ɐ ɾ i ɐ
aceitariam	ɐ s ej t ɐ ɾ i ɐ̃w̃
aceitará	ɐ s ej t ɐ ɾ ɐ
aceitarão	ɐ s ej t ɐ ɾ ɐ̃w̃
aceitas	ɐ s ej t ɐ s
aceitasse	ɐ s ej t ɐ s i
aceitava	ɐ s ej t ɐ v ɐ
aceitavam	ɐ s ej t ɐ v ɐ̃w̃
aceitavelmente	ɐ s e ɾ t ɐ v e w m ẽ t e
aceitação	ɐ s ej t ɐ s ɐ̃w̃
aceitações	ɐ s e ɾ t ɐ s õ s s
aceite	ɐ s ej t ʃ i
aceitei	ɐ s ej t ej
aceitem	ɐ s ej t ẽj̃
aceites	ɐ s e ɾ t e s
aceito	ɐ s ej t u
aceitos	ɐ s ej t u s
aceitou	ɐ s ej t ow
aceitá	ɐ s ej t ɐ
aceitáveis	ɐ s ej t ɐ v ej s
aceitável	ɐ s ej t ɐ v ew
acelarar	ɐ s e l ɐ ɾ ɐ
acelaração	ɐ s e l ɐ ɾ ɐ s ɐ̃ ɐ̃w̃
acelera	ɐ s e l e ɾ ɐ
acelerada	ɐ s e l e ɾ ɐ d ɐ
aceleradamente	ɐ s e l e ɾ ɐ d ɐ m ẽ t ʃ i
