muy	m u ʝ
cómics	k o m i k s
daily	d ai l i
edit	e d i t
end	e n d
fort	f o ɾ t
gomez	g o m e θ
impactante	i m p a k t a n t e
julieta	x u l ʝ e t a
logan	l o g a n
madame	m a d a m e
mobile	m o b i l e
mon	m o n
moore	m o o ɾ e
murray	m u r a ʝ
pelotuda	p e l o t u d a
photoshop	f o t o s o p
posgrado	p o s g ɾ a d o
pymes	p i m e s
religion	r e l i x ʝ o n
rossi	r o s i
sabado	s a b a d o
sabés	s a b e s
saudita	s au d i t a
sex	s e k s
tr	t ɾ
ups	u p s
var	b a ɾ
velázquez	b e l a θ k e θ
want	wa n t
zulia	θ u l ʝ a
amanda	a m a n d a
anita	a n i t a
anton	a n t o n
bariloche	b a ɾ i l o t͡ʃ e
boris	b o ɾ i s
dani	d a n i
dark	d a ɾ k
dirigencia	d i ɾ i x e n θ ʝ a
exito	e k s i t o
ga	g a
golden	g o l d e n
hara	a ɾ a
hunter	u n t e ɾ
jodidos	x o d i d o s
led	l e d
lionel	l ʝ o n e l
madagascar	m a d a g a s k a ɾ
made	m a d e
mari	m a ɾ i
mel	m e l
monitoreo	m o n i t o ɾ e o
nora	n o ɾ a
oms	o m s
otto	o t t o
panama	p a n a m a
pu	p u
qui	k i
ring	r i n g
rob	r o b
spain	s p ai n
tlaxcala	t l a k s k a l a
turner	t u ɾ n e ɾ
ultimamente	u l t i m a m e n t e
warren	wa r e n
wiki	wi k i
únete	u n e t e
aguascalientes	a g wa s k a l ʝ e n t e s
blues	b l we s
bond	b o n d
boys	b o ʝ s
capitan	k a p i t a n
carlo	k a ɾ l o
carmona	k a ɾ m o n a
elisa	e l i s a
estambul	e s t a m b u l
ey	e ʝ
felix	f e l i k s
haria	a ɾ ʝ a
harold	a ɾ o l d
hazte	a θ t e
hope	o p e
marcus	m a ɾ k u s
mejía	m e x i a
monroe	m o n r o e
nicholas	n i t͡ʃ o l a s
port	p o ɾ t
seattle	s e a t t l e
um	u m
vergara	b e ɾ g a ɾ a
victimas	b i k t i m a s
villegas	b i ʎ e g a s
wang	wa n g
yu	ʝ u
yuri	ʝ u ɾ i
zero	θ e ɾ o
action	a k t ʝ o n
age	a x e
atlanta	a t l a n t a
bernal	b e ɾ n a l
bon	b o n
brad	b ɾ a d
camila	k a m i l a
earth	e a ɾ t
eslovaquia	e s l o b a k ʝ a
facu	f a k u
fire	f i ɾ e
fuí	f wi
haha	a a
insurgentes	i n s u ɾ x e n t e s
iraní	i ɾ a n i
jeans	x e a n s
links	l i n k s
lourdes	l ou ɾ d e s
luca	l u k a
magallanes	m a g a ʎ a n e s
melilla	m e l i ʎ a
monton	m o n t o n
morelia	m o ɾ e l ʝ a
multinacional	m u l t i n a θ ʝ o n a l
neil	n ei l
orange	o ɾ a n x e
orleans	o ɾ l e a n s
pendeja	p e n d e x a
peronista	p e ɾ o n i s t a
ping	p i n g
quedate	k e d a t e
rapero	r a p e ɾ o
research	r e s e a ɾ t͡ʃ
rex	r e k s
science	s θ ʝ e n θ e
sports	s p o ɾ t s
stuart	s t wa ɾ t
when	we n
word	wo ɾ d
angola	a n g o l a
arg	a ɾ g
bi	b i
cusco	k u s k o
cállate	k a ʎ a t e
decime	d e θ i m e
dream	d ɾ e a m
drive	d ɾ i b e
expo	e k s p o
ff	f f
fran	f ɾ a n
freud	f ɾ eu d
harrison	a r i s o n
her	e ɾ
his	i s
ki	k i
leonard	l e o n a ɾ d
maps	m a p s
mir	m i ɾ
newton	n eu t o n
olivia	o l i b ʝ a
pendejadas	p e n d e x a d a s
pin	p i n
pizarro	p i θ a r o
pl	p l
porq	p o ɾ k
proximo	p ɾ o k s i m o
rebecca	r e b e k k a
saavedra	s a a b e d ɾ a
sip	s i p
talvez	t a l b e θ
there	t e ɾ e
tokyo	t o k ʝ o
tráiler	t ɾ ai l e ɾ
walt	wa l t
willy	wi ʎ i
wu	wu
yeah	ʝ e a
yemen	ʝ e m e n
adams	a d a m s
ago	a g o
alaska	a l a s k a
alvarez	a l b a ɾ e θ
august	au g u s t
bobby	b o b b i
cannabis	k a n n a b i s
capriles	k a p ɾ i l e s
carol	k a ɾ o l
claude	k l au d e
comic	k o m i k
constitucion	k o n s t i t u θ ʝ o n
credito	k ɾ e d i t o
créeme	k ɾ e e m e
cápita	k a p i t a
daniela	d a n ʝ e l a
demo	d e m o
development	d e b e l o p m e n t
estupido	e s t u p i d o
foundation	f ou n d a t ʝ o n
gijón	x i x o n
hard	a ɾ d
helen	e l e n
interamericana	i n t e ɾ a m e ɾ i k a n a
kent	k e n t
kiev	k ʝ e b
lan	l a n
leandro	l e a n d ɾ o
lin	l i n
low	l ow
montenegro	m o n t e n e g ɾ o
mujica	m u x i k a
nadal	n a d a l
oct	o k t
over	o b e ɾ
poli	p o l i
politicos	p o l i t i k o s
produccion	p ɾ o d u k θ ʝ o n
proxima	p ɾ o k s i m a
págs	p a g s
quilmes	k i l m e s
regina	r e x i n a
serra	s e r a
telenovela	t e l e n o b e l a
true	t ɾ we
tuitear	t wi t e a ɾ
victima	b i k t i m a
andres	a n d ɾ e s
bondi	b o n d i
campbell	k a m p b e ʎ
carrito	k a r i t o
cel	θ e l
chavistas	t͡ʃ a b i s t a s
claire	k l ai ɾ e
craig	k ɾ ai g
cross	k ɾ o s
dom	d o m
drake	d ɾ a k e
edo	e d o
gatito	g a t i t o
heredia	e ɾ e d ʝ a
hernando	e ɾ n a n d o
history	i s t o ɾ i
jardin	x a ɾ d i n
jet	x e t
joyce	x o ʝ θ e
luciano	l u θ ʝ a n o
madison	m a d i s o n
mara	m a ɾ a
next	n e k s t
pau	p au
performance	p e ɾ f o ɾ m a n θ e
planeación	p l a n e a θ ʝ o n
praga	p ɾ a g a
pub	p u b
ralph	r a l f
side	s i d e
sim	s i m
sostenibilidad	s o s t e n i b i l i d a d
sri	s r i
sud	s u d
sudán	s u d a n
terra	t e r a
they	t e ʝ
things	t i n g s
toyota	t o ʝ o t a
trailer	t ɾ ai l e ɾ
troll	t ɾ o ʎ
tve	t b e
again	a g ai n
alfaro	a l f a ɾ o
alvaro	a l b a ɾ o
apolo	a p o l o
aristóteles	a ɾ i s t o t e l e s
baker	b a k e ɾ
benítez	b e n i t e θ
boludeces	b o l u d e θ e s
borja	b o ɾ x a
ceuta	θ eu t a
cho	t͡ʃ o
ci	θ i
cochabamba	k o t͡ʃ a b a m b a
cordoba	k o ɾ d o b a
duramente	d u ɾ a m e n t e
economia	e k o n o m ʝ a
encontre	e n k o n t ɾ e
erik	e ɾ i k
ethan	e t a n
greg	g ɾ e g
habitacion	a b i t a θ ʝ o n
hare	a ɾ e
infinitamente	i m f i n i t a m e n t e
lily	l i l i
lobby	l o b b i
madonna	m a d o n n a
milton	m i l t o n
murillo	m u ɾ i ʎ o
murphy	m u ɾ f i
never	n e b e ɾ
octavio	o k t a b ʝ o
osvaldo	o s b a l d o
parecia	p a ɾ e θ ʝ a
prepárate	p ɾ e p a ɾ a t e
public	p u b l i k
puntaje	p u n t a x e
ronald	r o n a l d
switch	s wi t͡ʃ
tas	t a s
tecnologia	t e k n o l o x ʝ a
ucraniano	u k ɾ a n ʝ a n o
ultimos	u l t i m o s
uni	u n i
vásquez	b a s k e θ
wolf	wo l f
airlines	ai ɾ l i n e s
amsterdam	a m s t e ɾ d a m
anticorrupción	a n t i k o r u p θ ʝ o n
aníbal	a n i b a l
ayúdame	a ʝ u d a m e
boluda	b o l u d a
bots	b o t s
camboya	k a m b o ʝ a
compa	k o m p a
crimea	k ɾ i m e a
daria	d a ɾ ʝ a
darwin	d a ɾ wi n
dawn	d au n
denis	d e n i s
dubai	d u b ai
eleccion	e l e k θ ʝ o n
euskadi	eu s k a d i
food	f o o d
gene	x e n e
goya	g o ʝ a
habria	a b ɾ ʝ a
hazme	a θ m e
intel	i n t e l
itunes	i t u n e s
jonas	x o n a s
lorena	l o ɾ e n a
mai	m ai
march	m a ɾ t͡ʃ
menéndez	m e n e n d e θ
milan	m i l a n
mix	m i k s
mouse	m ou s e
nah	n a
nana	n a n a
our	ou ɾ
paramilitares	p a ɾ a m i l i t a ɾ e s
pat	p a t
pensas	p e n s a s
pink	p i n k
please	p l e a s e
race	r a θ e
region	r e x ʝ o n
renault	r e n au l t
rumania	r u m a n ʝ a
santana	s a n t a n a
silver	s i l b e ɾ
song	s o n g
spencer	s p e n θ e ɾ
toni	t o n i
tyler	t i l e ɾ
versus	b e ɾ s u s
villar	b i ʎ a ɾ
villarreal	b i ʎ a r e a l
vo	b o
abuelita	a b we l i t a
adrian	a d ɾ ʝ a n
arnold	a ɾ n o l d
ash	a s
bart	b a ɾ t
barça	b a ɾ θ a
bitcoin	b i t k oi n
bol	b o l
bonus	b o n u s
corporation	k o ɾ p o ɾ a t ʝ o n
dana	d a n a
death	d e a t
déjalo	d e x a l o
empoderamiento	e m p o d e ɾ a m ʝ e n t o
gaspar	g a s p a ɾ
goleador	g o l e a d o ɾ
gym	x i m
hit	i t
iron	i ɾ o n
janet	x a n e t
jong	x o n g
liam	l ʝ a m
lpm	l p e m
mad	m a d
mao	m a o
miriam	m i ɾ ʝ a m
mitchell	m i t͡ʃ e ʎ
movil	m o b i l
nepal	n e p a l
nike	n i k e
nm	m m
nokia	n o k ʝ a
orozco	o ɾ o θ k o
paypal	p a i p a l
quilombo	k i l o m b o
reuters	r eu t e ɾ s
ronaldo	r o n a l d o
said	s ai d
sandoval	s a n d o b a l
serbio	s e ɾ b ʝ o
slim	s l i m
summer	s u m m e ɾ
sígueme	s i g e m e
teneis	t e n ei s
today	t o d a ʝ
vila	b i l a
wallace	wa ʎ a θ e
work	wo ɾ k
yes	ʝ e s
activismo	a k t i b i s m o
after	a f t e ɾ
ag	a g
alzheimer	a l θ ei m e ɾ
artigas	a ɾ t i g a s
autodeterminación	au t o d e t e ɾ m i n a θ ʝ o n
community	k o m m u n i t i
covid	k o b i d
elsa	e l s a
family	f a m i l i
fer	f e ɾ
games	g a m e s
habeis	a b ei s
ibn	i b n
jesse	x e s e
julie	x u l ʝ e
kirchnerismo	k i ɾ t͡ʃ n e ɾ i s m o
marcel	m a ɾ θ e l
maximo	m a k s i m o
minimo	m i n i m o
neuquén	n eu k e n
owen	o we n
podrian	p o d ɾ ʝ a n
porfavor	p o ɾ f a b o ɾ
predominante	p ɾ e d o m i n a n t e
price	p ɾ i θ e
quiroga	k i ɾ o g a
random	r a n d o m
records	r e k o ɾ d s
rei	r ei
remix	r e m i k s
report	r e p o ɾ t
rios	r ʝ o s
smart	s m a ɾ t
studio	s t u d ʝ o
system	s i s t e m
tac	t a k
teruel	t e ɾ we l
think	t i n k
und	u n d
vision	b i s ʝ o n
vox	b o k s
zombies	θ o m b ʝ e s
act	a k t
antofagasta	a n t o f a g a s t a
articulos	a ɾ t i k u l o s
asique	a s i k e
bryan	b ɾ ʝ a n
cancion	k a n θ ʝ o n
casting	k a s t i n g
chang	t͡ʃ a n g
cne	k n e
codigo	k o d i g o
cr	k ɾ
deberian	d e b e ɾ ʝ a n
desinformación	d e s i m f o ɾ m a θ ʝ o n
detroit	d e t ɾ oi t
envio	e m b ʝ o
epoca	e p o k a
eurovisión	eu ɾ o b i s ʝ o n
feb	f e b
fijate	f i x a t e
god	g o d
great	g ɾ e a t
guardian	g wa ɾ d ʝ a n
hab	a b
hacker	a k e ɾ
henri	e n r i
higgins	i g x i n s
jake	x a k e
jamie	x a m ʝ e
ju	x u
laptop	l a p t o p
last	l a s t
ll	ʎ
mickey	m i k e ʝ
mill	m i ʎ
mit	m i t
narcos	n a ɾ k o s
neoliberal	n e o l i b e ɾ a l
nilo	n i l o
nu	n u
participativa	p a ɾ t i θ i p a t i b a
run	r u n
saudí	s au d i
say	s a ʝ
seran	s e ɾ a n
server	s e ɾ b e ɾ
silvio	s i l b ʝ o
sisi	s i s i
surf	s u ɾ f
veia	b e ʝ a
wade	wa d e
association	a s o θ ʝ a t ʝ o n
aurelio	au ɾ e l ʝ o
aver	a b e ɾ
belgrado	b e l g ɾ a d o
chao	t͡ʃ a o
chubut	t͡ʃ u b u t
clon	k l o n
confort	k o m f o ɾ t
cover	k o b e ɾ
denle	d e n l e
dir	d i ɾ
elvira	e l b i ɾ a
evans	e b a n s
fabio	f a b ʝ o
friends	f ɾ ʝ e n d s
frijoles	f ɾ i x o l e s
gibraltar	x i b ɾ a l t a ɾ
hannah	a n n a
harvey	a ɾ b e ʝ
holmes	o l m e s
isbn	i s b n
june	x u n e
kai	k ai
ko	k o
leonor	l e o n o ɾ
loreto	l o ɾ e t o
marcela	m a ɾ θ e l a
melissa	m e l i s a
nathan	n a t a n
ocde	o k d e
only	o n l i
picasso	p i k a s o
populismo	p o p u l i s m o
puig	p wi g
ramon	r a m o n
sandy	s a n d i
site	s i t e
tech	t e t͡ʃ
yugoslavia	ʝ u g o s l a b ʝ a
zoo	θ o o
ébola	e b o l a
ale	a l e
ami	a m i
anaya	a n a ʝ a
asegúrate	a s e g u ɾ a t e
axel	a k s e l
barack	b a ɾ a k
basket	b a s k e t
bull	b u ʎ
bustamante	b u s t a m a n t e
colin	k o l i n
cyrus	θ i ɾ u s
derek	d e ɾ e k
estocolmo	e s t o k o l m o
europe	eu ɾ o p e
fichaje	f i t͡ʃ a x e
folklore	f o l k l o ɾ e
gandhi	g a n d i
heroes	e ɾ o e s
hudson	u d s o n
indice	i n d i θ e
indie	i n d ʝ e
jordania	x o ɾ d a n ʝ a
kansas	k a n s a s
maurice	m au ɾ i θ e
montt	m o n t t
mt	m t
oficialista	o f i θ ʝ a l i s t a
relax	r e l a k s
revolucion	r e b o l u θ ʝ o n
rocha	r o t͡ʃ a
roosevelt	r o o s e b e l t
simpsons	s i m p s o n s
solucion	s o l u θ ʝ o n
solís	s o l i s
sophie	s o f ʝ e
spot	s p o t
take	t a k e
tours	t ou ɾ s
trasfondo	t ɾ a s f o n d o
traves	t ɾ a b e s
táchira	t a t͡ʃ i ɾ a
urquiza	u ɾ k i θ a
alegria	a l e g ɾ ʝ a
aquino	a k i n o
ayacucho	a ʝ a k u t͡ʃ o
baltimore	b a l t i m o ɾ e
beatles	b e a t l e s
bielorrusia	b ʝ e l o r u s ʝ a
brenda	b ɾ e n d a
cash	k a s
challenge	t͡ʃ a ʎ e n x e
change	t͡ʃ a n x e
clarke	k l a ɾ k e
cohen	k o e n
comunicacion	k o m u n i k a θ ʝ o n
dea	d e a
deberias	d e b e ɾ ʝ a s
eslovenia	e s l o b e n ʝ a
fernanda	f e ɾ n a n d a
françois	f ɾ a n θ oi s
funes	f u n e s
ibiza	i b i θ a
iran	i ɾ a n
jacobo	x a k o b o
josep	x o s e p
joshua	x o s wa
lane	l a n e
manu	m a n u
marilyn	m a ɾ i l i n
mass	m a s
maximiliano	m a k s i m i l ʝ a n o
mohamed	m o a m e d
multi	m u l t i
murio	m u ɾ ʝ o
oil	oi l
olvidate	o l b i d a t e
palmer	p a l m e ɾ
pearl	p e a ɾ l
piénsalo	p ʝ e n s a l o
politico	p o l i t i k o
prince	p ɾ i n θ e
principe	p ɾ i n θ i p e
restrepo	r e s t ɾ e p o
some	s o m e
sáenz	s a e n θ
ter	t e ɾ
tesla	t e s l a
thor	t o ɾ
two	t wo
vanessa	b a n e s a
vehicular	b ei k u l a ɾ
ward	wa ɾ d
website	we b s i t e
win	wi n
zavala	θ a b a l a
agro	a g ɾ o
alien	a l ʝ e n
alpha	a l f a
amelia	a m e l ʝ a
autismo	au t i s m o
awards	a wa ɾ d s
caracter	k a ɾ a k t e ɾ
chrome	t͡ʃ ɾ o m e
chu	t͡ʃ u
cl	k l
cleveland	k l e b e l a n d
clubs	k l u b s
code	k o d e
edwin	e d wi n
ellen	e ʎ e n
falcón	f a l k o n
ferry	f e r i
forever	f o ɾ e b e ɾ
gates	g a t e s
ge	x e
gilbert	x i l b e ɾ t
hermanito	e ɾ m a n i t o
hulk	u l k
ie	ʝ e
imss	i m s
ingrid	i n g ɾ i d
laburo	l a b u ɾ o
laurent	l au ɾ e n t
malik	m a l i k
mall	m a ʎ
mongolia	m o n g o l ʝ a
oficialismo	o f i θ ʝ a l i s m o
ohio	o ʝ o
olvídate	o l b i d a t e
opcion	o p θ ʝ o n
phoenix	f o e n i k s
posicion	p o s i θ ʝ o n
reed	r e e d
reunion	r eu n ʝ o n
rivero	r i b e ɾ o
rom	r o m
sali	s a l i
sandwich	s a n d wi t͡ʃ
shin	s i n
space	s p a θ e
tip	t i p
why	wi
ace	a θ e
afa	a f a
alí	a l i
audi	au d i
audios	au d ʝ o s
bagdad	b a g d a d
birmania	b i ɾ m a n ʝ a
boe	b o e
break	b ɾ e a k
cuídate	k wi d a t e
delhi	d e l i
dog	d o g
elias	e l ʝ a s
empezo	e m p e θ o
excel	e k s θ e l
forbes	f o ɾ b e s
foster	f o s t e ɾ
fun	f u n
guayana	g wa ʝ a n a
guionista	g ʝ o n i s t a
hanna	a n n a
hugh	u g
joey	x o e ʝ
joy	x o ʝ
jules	x u l e s
juniors	x u n ʝ o ɾ s
mails	m ai l s
money	m o n e ʝ
monica	m o n i k a
munich	m u n i t͡ʃ
nadia	n a d ʝ a
ocampo	o k a m p o
olimpia	o l i m p ʝ a
other	o t e ɾ
paola	p a o l a
pará	p a ɾ a
poblacional	p o b l a θ ʝ o n a l
pokemon	p o k e m o n
porfirio	p o ɾ f i ɾ ʝ o
reagan	r e a g a n
salon	s a l o n
senegal	s e n e g a l
siberia	s i b e ɾ ʝ a
tutorial	t u t o ɾ ʝ a l
valverde	b a l b e ɾ d e
vinilo	b i n i l o
water	wa t e ɾ
western	we s t e ɾ n
álbumes	a l b u m e s
acreditación	a k ɾ e d i t a θ ʝ o n
arbol	a ɾ b o l
barbie	b a ɾ b ʝ e
birra	b i r a
blackberry	b l a k b e r i
caido	k ai d o
callate	k a ʎ a t e
camerún	k a m e ɾ u n
carabobo	k a ɾ a b o b o
contraloría	k o n t ɾ a l o ɾ i a
diria	d i ɾ ʝ a
fast	f a s t
fonseca	f o n s e k a
formosa	f o ɾ m o s a
franz	f ɾ a n θ
fujimori	f u x i m o ɾ i
ghana	g a n a
gregory	g ɾ e g o ɾ i
guyana	g u ʝ a n a
hello	e ʎ o
help	e l p
image	i m a x e
johan	x o a n
lanka	l a n k a
let	l e t
lou	l ou
merkel	m e ɾ k e l
mind	m i n d
much	m u t͡ʃ
opus	o p u s
oz	o θ
pac	p a k
predominantemente	p ɾ e d o m i n a n t e m e n t e
saltillo	s a l t i ʎ o
sat	s a t
simone	s i m o n e
soul	s ou l
talk	t a l k
tarado	t a ɾ a d o
teodoro	t e o d o ɾ o
theory	t e o ɾ i
tipico	t i p i k o
tor	t o ɾ
ucr	u k ɾ
vita	b i t a
vzla	b θ l a
wii	wi i
women	wo m e n
zeus	θ eu s
adónde	a d o n d e
angie	a n x ʝ e
berlin	b e ɾ l i n
boludos	b o l u d o s
broadway	b ɾ o a d wa ʝ
bros	b ɾ o s
bu	b u
buenísima	b we n i s i m a
card	k a ɾ d
ciro	θ i ɾ o
cisneros	θ i s n e ɾ o s
compu	k o m p u
cook	k o o k
cuauhtémoc	k wau t e m o k
design	d e s i g n
duncan	d u n k a n
dávila	d a b i l a
ebro	e b ɾ o
elvis	e l b i s
ever	e b e ɾ
fiat	f ʝ a t
fisher	f i s e ɾ
fisica	f i s i k a
front	f ɾ o n t
ft	f t
garrido	g a r i d o
generalitat	x e n e ɾ a l i t a t
hacian	a θ ʝ a n
hahaha	a a a
hermosillo	e ɾ m o s i ʎ o
ibm	i b m
jobs	x o b s
likes	l i k e s
marley	m a ɾ l e ʝ
miercoles	m ʝ e ɾ k o l e s
montoya	m o n t o ʝ a
pachuca	p a t͡ʃ u k a
paolo	p a o l o
pelis	p e l i s
pineda	p i n e d a
regimen	r e x i m e n
ri	r i
récords	r e k o ɾ d s
she	s e
shell	s e ʎ
sobredosis	s o b ɾ e d o s i s
tanzania	t a n θ a n ʝ a
temuco	t e m u k o
varsovia	b a ɾ s o b ʝ a
volkswagen	b o l k s wa x e n
wagner	wa g n e ɾ
aaa	a a a
alarcón	a l a ɾ k o n
aldo	a l d o
anc	a n k
antoine	a n t oi n e
armstrong	a ɾ m s t ɾ o n g
bikini	b i k i n i
bolivar	b o l i b a ɾ
brandon	b ɾ a n d o n
brother	b ɾ o t e ɾ
caroline	k a ɾ o l i n e
children	t͡ʃ i l d ɾ e n
christine	t͡ʃ ɾ i s t i n e
core	k o ɾ e
culturalmente	k u l t u ɾ a l m e n t e
depto	d e p t o
dilma	d i l m a
duke	d u k e
edwards	e d wa ɾ d s
emilia	e m i l ʝ a
espinoza	e s p i n o θ a
estara	e s t a ɾ a
fria	f ɾ ʝ a
gastón	g a s t o n
girls	x i ɾ l s
glenn	g l e n n
gore	g o ɾ e
hector	e k t o ɾ
homofobia	o m o f o b ʝ a
ibáñez	i b a ɲ e θ
iraq	i ɾ a k
jajajajajaja	x a x a x a x a x a x a x a
judith	x u d i t
kids	k i d s
lab	l a b
latinoamericanas	l a t i n o a m e ɾ i k a n a s
lope	l o p e
ltd	l t e d e
luther	l u t e ɾ
mae	m a e
market	m a ɾ k e t
medioambiente	m e d ʝ o a m b ʝ e n t e
melbourne	m e l b ou ɾ n e
michigan	m i t͡ʃ i g a n
nac	n a k
naruto	n a ɾ u t o
nat	n a t
nisman	n i s m a n
pasion	p a s ʝ o n
perdio	p e ɾ d ʝ o
poe	p o e
policias	p o l i θ ʝ a s
pontevedra	p o n t e b e d ɾ a
prat	p ɾ a t
pregúntale	p ɾ e g u n t a l e
páez	p a e θ
remodelación	r e m o d e l a θ ʝ o n
restaurant	r e s t au ɾ a n t
roland	r o l a n d
room	r o o m
same	s a m e
somalia	s o m a l ʝ a
source	s ou ɾ θ e
tlc	t l k
trade	t ɾ a d e
uc	u k
uganda	u g a n d a
ulises	u l i s e s
volvio	b o l b ʝ o
yi	ʝ i
yuca	ʝ u k a
ak	a k
angelina	a n x e l i n a
bach	b a t͡ʃ
caba	k a b a
capitolio	k a p i t o l ʝ o
chavo	t͡ʃ a b o
chipre	t͡ʃ i p ɾ e
dire	d i ɾ e
ejido	e x i d o
eli	e l i
emiratos	e m i ɾ a t o s
forum	f o ɾ u m
frustrante	f ɾ u s t ɾ a n t e
giovanni	x ʝ o b a n n i
ica	i k a
iquique	i k i k e
josefa	x o s e f a
kun	k u n
lina	l i n a
loja	l o x a
maggie	m a g x ʝ e
malcolm	m a l k o l m
mason	m a s o n
masters	m a s t e ɾ s
millon	m i ʎ o n
montreal	m o n t ɾ e a l
mozart	m o θ a ɾ t
nam	n a m
neruda	n e ɾ u d a
numeros	n u m e ɾ o s
oe	o e
oo	o o
pag	p a g
podeis	p o d ei s
podian	p o d ʝ a n
rating	r a t i n g
rogelio	r o x e l ʝ o
sahara	s a a ɾ a
tania	t a n ʝ a
telenovelas	t e l e n o b e l a s
todd	t o d d
vacio	b a θ ʝ o
vé	b e
woman	wo m a n
allan	a ʎ a n
altamira	a l t a m i ɾ a
arellano	a ɾ e ʎ a n o
ashley	a s l e ʝ
bailey	b ai l e ʝ
bankia	b a n k ʝ a
bye	b ʝ e
caida	k ai d a
cajamarca	k a x a m a ɾ k a
celebrarse	θ e l e b ɾ a ɾ s e
conoci	k o n o θ i
cpu	k p u
cártel	k a ɾ t e l
dá	d a
edith	e d i t
emiliano	e m i l ʝ a n o
emmanuel	e m m a n we l
espiritu	e s p i ɾ i t u
estais	e s t ai s
fernet	f e ɾ n e t
films	f i l m s
garden	g a ɾ d e n
goleada	g o l e a d a
guion	g ʝ o n
hbo	b o
health	e a l t
hills	i ʎ s
hughes	u g e s
imbecil	i m b e θ i l
isa	i s a
jackie	x a k ʝ e
jam	x a m
kyle	k i l e
laredo	l a ɾ e d o
liu	l ʝ u
logroño	l o g ɾ o ɲ o
magic	m a x i k
magno	m a g n o
managua	m a n a g wa
melo	m e l o
mk	m k
mod	m o d
moreira	m o ɾ ei ɾ a
municipalidades	m u n i θ i p a l i d a d e s
nazismo	n a θ i s m o
need	n e e d
okay	o k a ʝ
podra	p o d ɾ a
ponle	p o n l e
porter	p o ɾ t e ɾ
randy	r a n d i
saúl	s au l
sec	s e k
sharon	s a ɾ o n
stella	s t e ʎ a
tae	t a e
toc	t o k
uefa	we f a
viktor	b i k t o ɾ
wendy	we n d i
wild	wi l d
won	wo n
yankees	ʝ a n k e e s
ye	ʝ e
adidas	a d i d a s
angulo	a n g u l o
aplicacion	a p l i k a θ ʝ o n
bangkok	b a n g k o k
bolt	b o l t
castle	k a s t l e
cifuentes	θ i f we n t e s
closet	k l o s e t
construccion	k o n s t ɾ u k θ ʝ o n
copenhague	k o p e n a g e
curriculum	k u r i k u l u m
danilo	d a n i l o
deep	d e e p
dong	d o n g
déjate	d e x a t e
ebay	e b a ʝ
eleanor	e l e a n o ɾ
ferreira	f e r ei ɾ a
font	f o n t
hackers	a k e ɾ s
ig	i g
imparable	i m p a ɾ a b l e
inegi	i n e x i
information	i m f o ɾ m a t ʝ o n
its	i t s
leslie	l e s l ʝ e
lio	l ʝ o
logos	l o g o s
lynch	l i ɲ t͡ʃ
marsella	m a ɾ s e ʎ a
moyano	m o ʝ a n o
mts	m t s
navidades	n a b i d a d e s
organizacion	o ɾ g a n i θ a θ ʝ o n
perdi	p e ɾ d i
philippe	f i l i p p e
promo	p ɾ o m o
pujol	p u x o l
qaeda	k a e d a
round	r ou n d
seleccion	s e l e k θ ʝ o n
sofia	s o f ʝ a
solito	s o l i t o
surrealista	s u r e a l i s t a
telegram	t e l e g ɾ a m
toy	t o ʝ
under	u n d e ɾ
urban	u ɾ b a n
valeria	b a l e ɾ ʝ a
veréis	b e ɾ ei s
village	b i ʎ a x e
weon	we o n
winston	wi n s t o n
yale	ʝ a l e
yankee	ʝ a n k e e
abr	a b ɾ
administracion	a d m i n i s t ɾ a θ ʝ o n
ahmed	a m e d
andre	a n d ɾ e
ari	a ɾ i
bayern	b a ʝ e ɾ n
bermúdez	b e ɾ m u d e θ
betis	b e t i s
bishop	b i s o p
body	b o d i
casablanca	k a s a b l a n k a
charly	t͡ʃ a ɾ l i
chase	t͡ʃ a s e
chin	t͡ʃ i n
curry	k u r i
cuéntanos	k we n t a n o s
decian	d e θ ʝ a n
dell	d e ʎ
dif	d i f
edge	e d x e
edition	e d i t ʝ o n
enzo	e n θ o
eve	e b e
evil	e b i l
fabián	f a b ʝ a n
firmantes	f i ɾ m a n t e s
fitness	f i t n e s
freelance	f ɾ e e l a n θ e
gibson	x i b s o n
gilberto	x i l b e ɾ t o
hart	a ɾ t
herman	e ɾ m a n
hermanita	e ɾ m a n i t a
indignante	i n d i g n a n t e
int	i n t
jefferson	x e f f e ɾ s o n
jovencita	x o b e n θ i t a
juventus	x u b e n t u s
kane	k a n e
key	k e ʝ
kid	k i d
lagrimas	l a g ɾ i m a s
lang	l a n g
lanús	l a n u s
leucemia	l eu θ e m ʝ a
lost	l o s t
lyon	l ʝ o n
maxi	m a k s i
menem	m e n e m
muchisimas	m u t͡ʃ i s i m a s
ordóñez	o ɾ d o ɲ e θ
paper	p a p e ɾ
perdóname	p e ɾ d o n a m e
peñarol	p e ɲ a ɾ o l
póngase	p o n g a s e
qatar	k a t a ɾ
ren	r e n
sanders	s a n d e ɾ s
spoiler	s p oi l e ɾ
sue	s we
tatiana	t a t ʝ a n a
text	t e k s t
titanic	t i t a n i k
topic	t o p i k
trad	t ɾ a d
trip	t ɾ i p
trust	t ɾ u s t
ua	wa
valenzuela	b a l e n θ we l a
ámsterdam	a m s t e ɾ d a m
és	e s
andate	a n d a t e
army	a ɾ m i
aviv	a b i b
bahamas	b a a m a s
beethoven	b e e t o b e n
blair	b l ai ɾ
báez	b a e θ
care	k a ɾ e
churchill	t͡ʃ u ɾ t͡ʃ i ʎ
