حتى	ħ a t aː
الحرة	a l ħ a r a
الخارجي	a l x aː r a d͡ʒ i j j
الخطأ	a l x a tˤ a ʔ a
السريع	a s s a r iː ʕ
السير	a s s iː r
الصدر	a sˤ sˤ a d a r a
الطائرات	a tˤ tˤ aː ʔ i r aː t
القائم	a l q aː ʔ i m
الكامل	a l k aː m i l
المستخدم	a l m u s t a x d a m
المعروفة	a l m a ʕ r uː f a
المقدس	a l m a q d a s
الملعب	a l m a l ʕ a b a
النصر	a n n a sˤ a r a
الوزارة	a l w a z aː r a
الوزير	a l w a z iː r
بريطانيا	b a r iː tˤ aː n i j aː
عادي	ʕ aː d i j j
فلما	f a l a m aː
لدرجة	l a d r a d͡ʒ a
مناسبة	m a n aː s i b a
يدعو	j a d ʕ uː
يعملون	j a ʕ m a l uː n
ينتهي	j a n t a h i j j
أعظم	ʔ a ʕ ðˤ a m a
اسمك	i s m a k k a
الإسبانية	a l ʔ i s b aː n i j j a
البطولة	a l b a tˤ uː l a
الدورة	a d d uː r a
الشخصيات	a ʃ ʃ a x sˤ i j j aː t
المريض	a l m a r iː dˤ
النمو	a n n a m uː
الهجرة	a l h a d͡ʒ a r a
بسهولة	b a s h uː l a
تتعلق	t a t a ʕ l a q a
تعديل	t a ʕ d iː l
طلاب	tˤ a l aː b
فارس	f aː r i s
لتلك	l a t a l a k a
نحتاج	n a ħ t aː d͡ʒ
ويتم	w a j t a m
أطلقت	ʔ a tˤ l a q t
إعداد	ʔ i ʕ d aː d
الأربعة	a l ʔ a r b a ʕ a
الأصل	a l ʔ a sˤ a l a
الحسين	a l ħ a s iː n
الحضور	a l ħ a dˤ uː r
السابعة	a s s aː b i ʕ a
الصحي	a sˤ sˤ a ħ i j j
القليل	a l q a l iː l
القيم	a l q iː m
تسمى	t a s a m m aː
دولية	d a w l i j j a
رسائل	r a s aː ʔ i l
طبيعية	tˤ a b iː ʕ i j j a
عدا	ʕ a d aː
عندنا	ʕ a n d a n aː
قصر	q a sˤ a r a
مثيرة	m a θ iː r a
وأضاف	w a ʔ dˤ aː f
ولما	w a l a m aː
وهما	w a h m aː
وهنا	w a h n aː
يوتيوب	j uː t j uː b
for	f o r
أمور	ʔ a m uː r
إجراءات	ʔ i d͡ʒ r aː ʔ aː t
ابدا	i b d aː
الأجهزة	a l ʔ a d͡ʒ h a z a
الأساسي	a l ʔ a s aː s i j j
الجبهة	a l d͡ʒ a b h a
الجيل	a l d͡ʒ iː l
الحدث	a l ħ a d a θ a
الطلب	a tˤ tˤ a l a b a
العدو	a l ʕ a d uː
الفكر	a l f a k a r a
المرضى	a l m a r dˤ aː
النهار	a n n i h aː r
الوعي	a l w a ʕ i j j
تضم	t a dˤ a m m a
جعلت	d͡ʒ a ʕ l a t
رحمه	r a ħ m a h
شعرت	ʃ a ʕ r a t
محددة	m a ħ d a d a
وأصبح	w a ʔ sˤ a b a ħ
يتكلم	j a t k a l a m
يقل	j a q a l a
إننا	ʔ i n n aː
الأردنية	a l ʔ a r d a n i j j a
الأطباء	a l ʔ a tˤ b aː ʔ
الأفريقية	a l ʔ a f r iː q i j j a
البلدين	a l b a l d iː n
البيان	a l b i j aː n
الحساب	a l ħ i s aː b
الرسائل	a r r i s aː ʔ i l
السعادة	a s s i ʕ aː d a
اللغات	a l l a ɣ aː t
الموارد	a l m a w aː r i d
تداول	t a d aː w a l a
تقارير	t a q aː r iː r
تهدف	t a h a d d a f a
حفظ	ħ a f a ðˤ a
سر	s a r r
صعبة	sˤ a ʕ b a
لحماية	l a ħ m aː j a
منتجات	m u n t a d͡ʒ aː t
منى	m a n aː
وقام	w a q aː m
يعرفون	j a ʕ r a f uː n
يقف	j a q a f a
أبطال	ʔ a b tˤ aː l
أردت	ʔ a r d a t a
إياه	ʔ i j aː h
الإنتاج	a l ʔ i n t aː d͡ʒ
الاستخدام	a l i s t i x d aː m
التابع	i l t aː b i ʕ
التصميم	a t t a sˤ m iː m
التصويت	a t t a sˤ w iː t
الحادث	a l ħ aː d i θ
الحمل	a l ħ a m a l a
الشهيد	a ʃ ʃ a h iː d
الغذاء	a l ɣ a ð aː ʔ
الغذائية	a l ɣ a ð aː ʔ i j j a
المجاورة	a l m a d͡ʒ aː w a r a
المسؤول	a l m a s ʔ uː l
النصف	a n n a sˤ a f a
الوقود	a l w a q uː d
الولاية	a l w a l aː j a
تقف	t a q a f f a
كوني	k uː n i j j
للوصول	l a l uː sˤ uː l
لوس	l a w s
مجاني	m a d͡ʒ aː n i j j
نعلم	n a ʕ l a m
وقتها	w a q t a h aː
ومنها	w a m a n h aː
يبحث	j a b ħ a θ a
يعطي	j a ʕ tˤ i j j
أدنى	ʔ a d n aː
أعوام	ʔ a ʕ w aː m
إضافية	ʔ i dˤ aː f i j j a
اجتماعية	i d͡ʒ t i m aː ʕ i j j a
استخدامها	i s t i x d aː m h aː
البنوك	a l b a n uː k
الشخصي	a ʃ ʃ a x sˤ i j j
الشوارع	a ʃ ʃ a w aː r i ʕ
الطويل	a tˤ tˤ a w iː l
المدى	a l m a d aː
المقبل	a l m a q b a l
النهائية	a n n i h aː ʔ i j j a
بالرياض	b i r r i j aː dˤ
بحلول	b a ħ l uː l
تتبع	t a t a b b a ʕ a
تدعى	t a d a ʕ ʕ aː
تدور	t a d a w w a r a
تعاني	t a ʕ aː n i j j
جاك	d͡ʒ aː k a
خطيرة	x a tˤ iː r a
ده	d a h h
زين	z a j j a n a
سريعا	s a r iː ʕ a n
سيدة	s a j d a
شهد	ʃ a h a d a
عنا	ʕ a n aː
لانه	l aː n a h a
لى	l aː
معروفة	m a ʕ r uː f a
مميزة	m a m iː z a
هذة	h a ð ð a
أواخر	ʔ a w aː x i r
اختبار	i x t i b aː r
الأجنبية	a l ʔ a d͡ʒ a n b i j j a
البيض	a l b iː dˤ
الرواية	a r r a w aː j a
الرياضة	a r r i j aː dˤ a
السرطان	a s s i r tˤ aː n
الصيني	a sˤ sˤ iː n i j j
العالية	a l ʕ aː l i j j a
القواعد	a l q a w aː ʕ i d
الكلية	a l k a l i j j a
المباشر	a l m a b aː ʃ i r
المسرح	a l m a s r a ħ
المطار	a l m i tˤ aː r
انتم	i n t a m m a
بعيدة	b a ʕ iː d a
تابعة	t aː b i ʕ a
تختلف	t a x t a l a f a
جراء	d͡ʒ a r aː ʔ
سنين	s a n iː n
علاقات	ʕ a l aː q aː t
فهل	f a h a l a
لأنك	l a ʔ a n k
مازال	m aː z aː l
نيسان	n iː s aː n
ورئيس	w a r ʔ iː s
يأخذ	j a ʔ x a ð a
أسئلة	ʔ a s ʔ i l a
أصدر	ʔ a sˤ d a r a
أقصى	ʔ a q sˤ aː
الإصابة	a l ʔ i sˤ aː b a
البريطاني	a l b a r iː tˤ aː n i j j
الديني	a d d iː n i j j
الربيع	a r r a b iː ʕ
السعر	a s s a ʕ a r a
السيسي	a s s iː s i j j
الطلبة	a tˤ tˤ a l a b a
الغد	a l ɣ a d d a
الكشف	a l k a ʃ a f a
المطاف	a l m i tˤ aː f
المناخ	a l m a n aː x
ايام	i j aː m m a
بدل	b a d a l a
تطلب	t a tˤ a l l a b a
عشان	ʕ a ʃ aː n
محدودة	m a ħ d uː d a
مرت	m a r t
يضم	j a dˤ a m a
ألعاب	ʔ a l ʕ aː b
الأهداف	a l ʔ a h d aː f
التونسية	a t t uː n s i j j a
الجلسة	a l d͡ʒ a l s a
الجهة	a l d͡ʒ a h a
الجهود	a l d͡ʒ a h uː d
الدقيقة	a d d a q iː q a
الرائع	a r r aː ʔ i ʕ
الشرعية	a ʃ ʃ a r ʕ i j j a
الشهير	a ʃ ʃ a h iː r
الظهر	a ðˤ ðˤ a h a r a
العائلات	a l ʕ aː ʔ i l aː t
الفندق	a l f a n d a q
القرى	a l q a r aː
المسؤولين	a l m a s ʔ uː l iː n
المشهد	a l m a ʃ h a d
النقطة	a n n a q tˤ a
الوزن	a l w a z a n a
الوسط	a l w a s a tˤ a
تتوقف	t a t a w a q q a f a
تصدر	t a sˤ a d d a r a
جاي	d͡ʒ aː j
جهود	d͡ʒ a h uː d
حمد	ħ a m a d a
سرية	s a r i j j a
طبقا	tˤ a b a q aː
طبية	tˤ a b i j j a
علامات	ʕ a l aː m aː t
فرص	f a r a sˤ a
كونه	k uː n h
لسنة	l a s n a
لعدة	l a ʕ d a
للدولة	l a l d uː l a
مفتوحة	m a f t uː ħ a
نظم	n a ðˤ a m a
وادي	w aː d i j j
وبذلك	w a b ð a l a k
وتقول	w a t q uː l
يضع	j a dˤ a ʕ a
أحياء	ʔ a ħ j aː ʔ
أعد	ʔ a ʕ d
استخدمت	i s t a x d a m a t a
استمرت	i s t a m r a t a
البلدية	a l b a l d i j j a
البنية	a l b a n i j j a
التونسي	a t t uː n s i j j
الخطر	a l x a tˤ a r a
الخطوة	a l x a tˤ w a
الدليل	a d d a l iː l
الرياضي	a r r i j aː dˤ i j j
الزمان	a z z a m aː n
الشريف	a ʃ ʃ a r iː f
القانوني	a l q aː n uː n i j j
القلق	a l q a l a q a
المشتركة	a l m u ʃ t a r k a
النفسية	a n n a f s i j j a
النهر	a n n a h a r a
الهوية	a l h a w i j j a
تراجع	t a r aː d͡ʒ a ʕ a
تقل	t a q a l l a
تموز	t a m a w w a z a
جزر	d͡ʒ a z a r a
سريعة	s a r iː ʕ a
سعيدة	s a ʕ iː d a
عامين	ʕ aː m iː n
فكيف	f a k iː f
فنحن	f a n ħ a n a
لشركة	l a ʃ r a k a
لكنهم	l a k n a h a m
للقيام	l a l q i j aː m
نعيش	n a ʕ iː ʃ
يعيشون	j a ʕ iː ʃ uː n
آذار	ʔ aː ð aː r
أكن	ʔ a k a n a
أنظمة	ʔ a n ðˤ a m a
ابنه	i b n a h a
الأسماء	a l ʔ a s m aː ʔ
الأغنية	a l ʔ a ɣ n i j j a
الأنظمة	a l ʔ a n ðˤ a m a
الإعلامي	a l ʔ i ʕ l aː m i j j
الحبيب	a l ħ a b iː b
الحجب	a l ħ a d͡ʒ a b a
الخطة	a l x a tˤ tˤ a
الدائرة	a d d aː ʔ i r a
السهل	a s s a h a l a
الشكر	a ʃ ʃ a k a r a
الصحيفة	a sˤ sˤ a ħ iː f a
الطبي	a tˤ tˤ a b i j j
الغضب	a l ɣ a dˤ a b a
المدنيين	a l m a d a n j iː n
ايران	iː r aː n
تبادل	t a b aː d a l a
تستمر	t a s t a m a r a
تعطي	t a ʕ tˤ i j j
حديثا	ħ a d iː θ aː
حزيران	ħ a z iː r aː n
خطط	x a tˤ a tˤ a
دا	d aː
شروط	ʃ a r uː tˤ
ضخمة	dˤ a x m a
فيك	f a j k
قدما	q a d a m aː
قرأت	q a r ʔ a t
محامي	m a ħ aː m i j j
يعانون	j a ʕ aː n uː n
de	d e
أحدث	ʔ a ħ d a θ a
الأوراق	a l ʔ uː r aː q
الإجابة	a l ʔ i d͡ʒ aː b a
الإدارية	a l ʔ i d aː r i j j a
الإصلاح	a l ʔ i sˤ l aː ħ
الانتخابية	a l i n t i x aː b i j j a
البدء	a l b a d a ʔ a
الجائزة	a l d͡ʒ aː ʔ i z a
الحصار	a l ħ i sˤ aː r
الحكومي	a l ħ a k uː m i j j
الدفع	a d d a f a ʕ a
الميدان	a l m iː d aː n
النفسي	a n n a f s i j j
باتجاه	b aː t i d͡ʒ aː h
تعلن	t a ʕ a l l a n a
تمويل	t a m w iː l
تواجه	t a w aː d͡ʒ a h a
عادت	ʕ aː d i t
عزيزي	ʕ a z iː z i j j
قنوات	q a n a w aː t
لزيادة	l a z j aː d a
لشخص	l a ʃ x a sˤ a
مستويات	m u s t a w i j j aː t
هلا	h a l aː
هوية	h a w i j j a
وأخيرا	w a ʔ x iː r aː
وخلال	w a x l aː l
وعمل	w a ʕ m a l
يمتلك	j a m t a l a k
أصغر	ʔ a sˤ ɣ a r a
إثارة	ʔ i θ aː r a
اكتشفت	i k t a ʃ a f t a
الأحوال	a l ʔ a ħ w aː l
الأدلة	a l ʔ a d l a
الأسنان	a l ʔ a s n aː n
الاستقلال	a l i s t i q l aː l
البخاري	a l b i x aː r i j j
الحجم	a l ħ a d͡ʒ a m a
الرئاسة	a r r i ʔ aː s a
الرياح	a r r i j aː ħ
العاشرة	a l ʕ aː ʃ i r a
الفجر	a l f a d͡ʒ a r a
القهوة	a l q a h w a
المخرج	a l m a x r a d͡ʒ
المقدمة	a l m a q d a m a
الموجود	a l m a w d͡ʒ uː d
الناحية	a n n aː ħ i j j a
النشر	a n n a ʃ a r a
بو	b uː
توم	t a w a m m a
صرح	sˤ a r a ħ a
طريقه	tˤ a r iː q a h
عملا	ʕ a m l a n
فقدت	f a q d a t
لأننا	l a ʔ a n n aː
لغات	l a ɣ aː t
مدارس	m a d aː r i s
نجح	n a d͡ʒ a ħ a
وعند	w a ʕ a n d
وليست	w a l iː s t
يخص	j a x a sˤ a
أصيب	ʔ a sˤ iː b
أظن	ʔ a ðˤ a n a
ابراهيم	i b r aː h iː m
اقرأ	i q r a ʔ a
الأساس	a l ʔ a s aː s
الأطراف	a l ʔ a tˤ r aː f
الإسباني	a l ʔ i s b aː n i j j
الراحة	a r r aː ħ a
الرسوم	a r r a s uː m
الزراعة	a z z i r aː ʕ a
الشهيرة	a ʃ ʃ a h iː r a
الطويلة	a tˤ tˤ a w iː l a
القومية	a l q uː m i j j a
النهضة	a n n a h dˤ a
حكومية	ħ a k uː m i j j a
روبرت	r uː b a r t
سنتين	s a n t iː n
صفقة	sˤ a f a q a
عائلتي	ʕ aː ʔ i l t i j j
فعلت	f a ʕ l a t
قريبة	q a r iː b a
ليسوا	l a j s a w aː
مين	m a j j a n a
والدها	w aː l d a h aː
وجميع	w a d͡ʒ m iː ʕ
وجهي	w a d͡ʒ h i j j
يختلف	j a x t a l a f
أبعد	ʔ a b ʕ a d a
أسرع	ʔ a s r a ʕ a
اخبار	i x b aː r a
اسرائيل	i s r aː ʔ iː l
افلام	i f l aː m
الإعلامية	a l ʔ i ʕ l aː m i j j a
الاسبوع	a l aː s b uː ʕ
البوابة	a l b a w aː b a
الجبال	a l d͡ʒ i b aː l
الحلم	a l ħ a l a m a
الرائعة	a r r aː ʔ i ʕ a
الزعيم	a z z a ʕ iː m
الشرقي	a ʃ ʃ a r q i j j
الشروط	a ʃ ʃ a r uː tˤ
الضفة	a dˤ dˤ a f a
العيون	a l ʕ a j uː n
المثليين	a l m a θ l i j iː n
المنافسة	a l m a n aː f i s a
النائب	a n n aː ʔ i b
الهندية	a l h a n d i j j a
اهتمام	i h t i m aː m
بتقديم	b i t a q d iː m
بشيء	b a ʃ iː ʔ
تموت	t a m a w w a t a
زادت	z aː d i t
سري	s a r i j j
صحيحة	sˤ a ħ iː ħ a
كونها	k uː n h aː
واليوم	w aː l j uː m
وكنت	w a k a n t
يتغير	j a t ɣ iː r
أعداد	ʔ a ʕ d aː d
أمريكية	ʔ a m r iː k i j j a
إيقاف	ʔ iː q aː f
الأسعار	a l ʔ a s ʕ aː r
الأمطار	a l ʔ a m tˤ aː r
الأن	a l ʔ a n a
البطل	a l b a tˤ a l a
التنظيم	a t t a n ðˤ iː m
الجهات	a l d͡ʒ a h aː t
الحفل	a l ħ a f a l a
الحمام	a l ħ a m aː m
الخضراء	a l x i dˤ r aː ʔ
الدار	a d d aː r
الرصاص	a r r i sˤ aː sˤ
الساحة	a s s aː ħ a
السباق	a s s i b aː q
السيئة	a s s iː ʔ a
السياحة	a s s i j aː ħ a
الصادر	a sˤ sˤ aː d i r
الضحية	a dˤ dˤ a ħ i j j a
الطيب	a tˤ tˤ iː b
الظلام	a ðˤ ðˤ a l aː m
الفضل	a l f a dˤ a l a
اللاتينية	a l l aː t iː n i j j a
المالي	a l m aː l i j j
المساجد	a l m a s aː d͡ʒ i d
المستمر	a l m u s t a m a r
المسيرة	a l m a s iː r a
المشترك	a l m u ʃ t a r a k
المفروض	a l m a f r uː dˤ
المقال	a l m i q aː l
المهنية	a l m a h n i j j a
المواضيع	a l m a w aː dˤ iː ʕ
النقد	a n n a q a d a
الهواتف	a l h a w aː t i f
اليها	a l j a h aː
جوائز	d͡ʒ a w aː ʔ i z
ذهبية	ð a h a b i j j a
ربع	r a b a ʕ a
شباط	ʃ a b b aː tˤ
صديقي	sˤ a d iː q i j j
للمرأة	l a l m a r ʔ a
مستمر	m u s t a m a r
يدور	j a d uː r
أرجو	ʔ a r d͡ʒ uː
أفكار	ʔ a f k aː r
أمة	ʔ a m m a
الأرضية	a l ʔ a r dˤ i j j a
الأرقام	a l ʔ a r q aː m
الأسواق	a l ʔ a s w aː q
الأشجار	a l ʔ a ʃ d͡ʒ aː r
الأنشطة	a l ʔ a n ʃ a tˤ a
الأهمية	a l ʔ a h m i j j a
الإثنين	a l ʔ i θ n iː n
التاريخي	a t t aː r iː x i j j
الحرس	a l ħ a r a s a
الحروب	a l ħ a r uː b
السياق	a s s i j aː q
الشؤون	a ʃ ʃ u ʔ uː n
الفنون	a l f a n uː n
القرارات	a l q i r aː r aː t
القمة	a l q a m a
القيمة	a l q iː m a
الكبار	a l k i b aː r
المطر	a l m a tˤ a r a
المطلوب	a l m a tˤ l uː b
الولادة	a l w a l aː d a
بمعنى	b a m a ʕ n aː
تتراوح	t a t r aː w a ħ a
تحديدا	t a ħ d iː d aː
تخيل	t a x a j j a l a
تشبه	t a ʃ a b b a h a
رواه	r a w aː h
سرقة	s a r a q a
شخصيات	ʃ a x sˤ i j j aː t
صغيرا	sˤ a ɣ iː r aː
عشرين	ʕ a ʃ r iː n
فضل	f a dˤ a l a
فنية	f a n i j j a
كارل	k aː r a l a
للحكومة	l a l a ħ k uː m a
محاولات	m a ħ aː w a l aː t
مستقلة	m u s t a q l a
مملكة	m a m l a k a
نمو	n a m uː
يدل	j a d a l a
أرسلت	ʔ a r s a l t
أظهر	ʔ a ðˤ h a r a
الأستاذ	a l ʔ a s t aː ð
الأقصى	a l ʔ a q sˤ aː
التعلم	i l t a ʕ l a m a
السطح	a s s a tˤ a ħ a
الظلم	a ðˤ ðˤ a l a m a
الغريب	a l ɣ a r iː b
الفضائية	a l f i dˤ aː ʔ i j j a
الفوضى	a l f a w dˤ aː
القصيرة	a l q a sˤ iː r a
القليلة	a l q a l iː l a
المخاطر	a l m u x aː tˤ i r
المدرب	a l m a d r a b
النقاط	a n n i q aː tˤ
الواحدة	a l w aː ħ i d a
اليهودية	a l j a h uː d i j j a
بدور	b a d uː r
تدفع	t a d a f f a ʕ a
تسمع	t a s a m m a ʕ a
تقنيات	t a q n i j j aː t
حضر	ħ a dˤ a r a
رئيسة	r a ʔ iː s a
ربط	r a b a tˤ a
سعودية	s u ʕ uː d i j j a
سير	s a j j a r a
شيئ	ʃ a j ʔ
عائلته	ʕ aː ʔ i l t a h
كبرى	k a b r aː
مرتبطة	m u r t a b tˤ a
منهما	m a n h a m aː
مواضيع	m a w aː dˤ iː ʕ
يثبت	j a θ b a t
أوائل	ʔ a w aː ʔ i l
إمرأة	ʔ i m r a ʔ a
الأردني	a l ʔ a r d a n i j j
الأمان	a l ʔ a m aː n
الأوقات	a l ʔ a w q aː t
الإقليمية	a l ʔ i q l iː m i j j a
الامور	a l aː m uː r
الجامعي	a l d͡ʒ aː m i ʕ i j j
الجنوبي	a l d͡ʒ a n uː b i j j
الحاسوب	a l ħ aː s uː b
الحقائق	a l ħ i q aː ʔ i q
الرئاسية	a r r i ʔ aː s i j j a
الرحيل	a r r a ħ iː l
الساحل	a s s aː ħ i l
السكر	a s s a k a r a
العادة	a l ʕ aː d a
الغرض	a l ɣ a r a dˤ a
القيامة	a l q i j aː m a
المطبخ	a l m a tˤ b a x
المهرجان	a l m a h r a d͡ʒ aː n
الوظيفة	a l w a ðˤ iː f a
الوقوف	a l w a q uː f
اليابانية	a l j aː b aː n i j j a
بغض	b a ɣ a dˤ a
خذ	x a ð ð a
خلاف	x a l aː f
ردا	r a d aː
شريط	ʃ a r iː tˤ
فعاليات	f a ʕ aː l i j j aː t
لضمان	l a dˤ m aː n
للحفاظ	l a l a ħ f aː ðˤ
لمدينة	l a m d iː n a
هاي	h aː j
يرجى	j a r d͡ʒ aː
يسعى	j a s ʕ aː
يغير	j a ɣ iː r
أثار	ʔ a θ aː r a
أيار	ʔ a j j aː r
إيه	ʔ iː h
اعلم	i ʕ l a m a
الآلاف	a l ʔ aː l aː f
الأخلاق	a l ʔ a x l aː q
الأسر	a l ʔ a s a r a
الاطفال	a l aː tˤ i f aː l
الجسد	a l d͡ʒ a s a d
العبد	a l ʕ a b a d a
الكاميرا	a l k aː m iː r aː
النيابة	a n n i j aː b a
اى	aː
اين	iː n
باستثناء	b aː s t i θ n aː ʔ
بدءا	b a d ʔ aː
بدوره	b a d uː r a h
بقيت	b a q iː t
تطبيقات	t a tˤ b iː q aː t
تطلق	t a tˤ a l l a q a
توقع	t a w a q q a ʕ a
توماس	t a w m aː s
جان	d͡ʒ aː n a
حظر	ħ a ðˤ a r a
سويا	s a w j aː
شأنه	ʃ a ʔ n a h
صنعت	sˤ a n ʕ a t
ضرورة	dˤ a r uː r a
عظيمة	ʕ a ðˤ iː m a
فهناك	f a h n aː k
فيسبوك	f iː s b uː k
قدره	q a d r a h
كأنه	k a ʔ n a h
للجيش	l a l d͡ʒ iː ʃ
مناقشة	m a n aː q i ʃ a
منصة	m a n sˤ a
نزل	n a z a l a
هامة	h aː m a
وحدات	w a ħ d aː t
يتكون	j a t k uː n
يستطيعون	j a s t a tˤ iː ʕ uː n
يصعب	j a sˤ ʕ a b a
أوباما	ʔ uː b aː m aː
استجابة	i s t i d͡ʒ aː b a
الأزرق	a l ʔ a z r a q
الإرهابية	a l ʔ i r h aː b i j j a
البرية	a l b a r i j j a
التخطيط	a t t a x tˤ iː tˤ
الجيدة	a l d͡ʒ iː d a
الحوثي	a l ħ a w θ i j j
الخبراء	a l x i b r aː ʔ
الشأن	a ʃ ʃ a ʔ a n a
الشاي	a ʃ ʃ aː j
الشريط	a ʃ ʃ a r iː tˤ
الصندوق	a sˤ sˤ a n d uː q
العاشر	a l ʕ aː ʃ i r
القارة	a l q aː r a
اللازم	a l l aː z i m
المفاوضات	a l m a f aː w a dˤ aː t
المواقف	a l m a w aː q i f
النحو	a n n a ħ w
بلدان	b a l d aː n
بوضوح	b uː dˤ uː ħ
تعالي	t a ʕ aː l i j j
ثمة	θ a m m a
سهلة	s a h l a
طرح	tˤ a r a ħ a
عندهم	ʕ a n d a h a m
فيقول	f a j q uː l
كانا	k aː n aː
نسيت	n a s iː t
وخصوصا	w a x sˤ uː sˤ a n
أسأل	ʔ a s ʔ a l a
أيا	ʔ a j j aː
إليكم	ʔ i l iː k a m
التنفيذ	a t t a n f iː ð
الحزن	a l ħ a z a n a
العميل	a l ʕ a m iː l
الكوكب	a l k uː k a b a
اللى	a lˤ lˤ aː
المئة	a l m i ʔ a
المحيطة	a l m a ħ iː tˤ a
المسيحية	a l m a s iː ħ i j j a
المعلم	a l m a ʕ l a m
المعلمين	a l m a ʕ l a m iː n
الموسيقية	a l m uː s iː q i j j a
امس	i m s a
بأنك	b a ʔ a n k
بجائزة	b a d͡ʒ aː ʔ i z a
تتميز	t a t m iː z
تركت	t a r a k k a t a
تصور	t a sˤ a w w a r a
دعونا	d a ʕ uː n aː
فعلى	f a ʕ l aː
للتواصل	l i l t a w aː sˤ i l
يده	j a d a h a
يعتقدون	j a ʕ t a q d uː n
يفهم	j a f h a m
is	i s
أس	ʔ a s s
اقتصادية	i q t i sˤ aː d i j j a
الأفارقة	a l ʔ a f aː r i q a
البيئية	a l b iː ʔ i j j a
الجيد	a l d͡ʒ iː d
الخليجي	a l x a l iː d͡ʒ i j j
الخمسة	a l x a m s a
الرؤية	a r r u ʔ i j j a
الزراعية	a z z i r aː ʕ i j j a
السياسات	a s s i j aː s aː t
الضروري	a dˤ dˤ a r uː r i j j
العادية	a l ʕ aː d i j j a
العظمى	a l ʕ a ðˤ m aː
العوامل	a l ʕ a w aː m i l
الغابات	a l ɣ aː b aː t
الفئة	a l f i ʔ a
الكذب	a l k a ð a b a
المبادرة	a l m u b aː d i r a
المحطة	a l m a ħ tˤ a
المرتبة	a l m a r t a b a
