km	k a ɛ m
escrime	ɛ s k ʁ i m
fdp	ɛ f d e p e
finalistes	f i n a l i s t
francaise	f ʁ ɑ̃ k ɛ z
garou	ɡ a ʁ u
hacker	a k e
homologue	ɔ m ɔ l ɔ ɡ
homophobes	ɔ m ɔ f ɔ b
indépendantistes	ɛ̃ d e p ɑ̃ d ɑ̃ t i s t
infographie	ɛ̃ f ɔ ɡ ʁ a f i
jérémie	ʒ e ʁ e m i
lana	l a n a
lanceurs	l ɑ̃ s œ ʁ
lg	ɛ l ʒ e
malik	m a l i k
minières	m i n j ɛ ʁ
mountain	m u n t ɛ̃
navy	n a v i
orlando	ɔ ʁ l ɑ̃ d o
protéine	p ʁ ɔ t e i n
pénitentiaire	p e n i t ɑ̃ s j ɛ ʁ
pétroliers	p e t ʁ ɔ l j e
reflètent	ʁ ə f l ɛ t
ricardo	ʁ i k a ʁ d o
soda	s ɔ d a
synopsis	s i n ɔ p s i
terra	t ɛ ʁ a
tina	t i n a
travis	t ʁ a v i
utilisations	y t i l i z a s j ɔ̃
vasculaire	v a s k y l ɛ ʁ
view	v j u
zeus	z ø
épuration	e p y ʁ a s j ɔ̃
évocation	e v ɔ k a s j ɔ̃
allie	a l i
alpin	a l p ɛ̃
alt	a l t
avc	a v e s e
bebe	b ɛ b
bennett	b ɛ n ɛ t
burn	b y ʁ n
calgary	k a l ɡ a ʁ i
compteurs	k ɔ̃ t œ ʁ
constituées	k ɔ̃ s t i t ɥ e
coop	k u p
credit	k ʁ ə d i
détenue	d e t ə n y
emmerder	ɑ̃ m ɛ ʁ d e
ensuit	ɑ̃ s ɥ i
eye	ɛ j
gb	ʒ e b e
ghost	ɡ ɔ s t
giovanni	ʒ j ɔ v a n i
hazard	a z a ʁ
hunt	œ̃
hémorragie	e m ɔ ʁ a ʒ i
ill	i l
illicite	i l i s i t
janeiro	ʒ a n ɛ ʁ o
lima	l i m a
légalisation	l e ɡ a l i z a s j ɔ̃
nicholas	n i ʃ ɔ l a
orne	ɔ ʁ n
ouganda	u ɡ ɑ̃ d a
pb	p e b e
radiation	ʁ a d j a s j ɔ̃
rectangulaire	ʁ ɛ k t ɑ̃ ɡ y l ɛ ʁ
roberts	ʁ ɔ b ɛ ʁ
salopes	s a l ɔ p
sidi	s i d i
slovénie	s l ɔ v e n i
snow	s n o
teen	t i n
vintage	v ɛ̃ t a ʒ
yu	j y
éradiquer	e ʁ a d i k e
abonner	a b ɔ n e
abordés	a b ɔ ʁ d e
albanie	a l b a n i
amnistie	a m n i s t i
angola	ɑ̃ ɡ ɔ l a
automatisation	o t ɔ m a t i z a s j ɔ̃
beyoncé	b ɛ j ɔ̃ s e
centrée	s ɑ̃ t ʁ e
chase	ʃ a z
contrefaçon	k ɔ̃ t ʁ ə f a s ɔ̃
debut	d ə b y
diaspora	d j a s p ɔ ʁ a
drole	d ʁ ɔ l
edge	ɛ d ʒ
envole	ɑ̃ v ɔ l
financés	f i n ɑ̃ s e
glamour	ɡ l a m u ʁ
gérés	ʒ e ʁ e
hashtag	a ʃ t a ɡ
irrigation	i ʁ i ɡ a s j ɔ̃
joy	ʒ w a
marijuana	m a ʁ i ʒ ɥ a n a
miranda	m i ʁ ɑ̃ d a
médiatiques	m e d j a t i k
nantais	n ɑ̃ t ɛ
paramètre	p a ʁ a m ɛ t ʁ
participatif	p a ʁ t i s i p a t i f
porn	p ɔ ʁ n
ptit	p t i
pédophile	p e d ɔ f i l
pédophilie	p e d ɔ f i l i
randy	ʁ ɑ̃ d i
réalises	ʁ e a l i z
sets	s ɛ
slovaquie	s l ɔ v a k i
sylvia	s i l v j a
tiger	t i ʒ e
vulnérabilité	v y l n e ʁ a b i l i t e
échiquier	e ʃ i k j e
émotionnelle	e m ɔ s j ɔ n ɛ l
alliage	a l j a ʒ
amiante	a m j ɑ̃ t
apartheid	a p a ʁ t ɛ j d
april	a p ʁ i l
armstrong	a ʁ m s t ʁ ɔ̃
attirance	a t i ʁ ɑ̃ s
bamako	b a m a k o
been	b i n
bingo	b ɛ̃ ɡ o
brigades	b ʁ i ɡ a d
candy	k ɑ̃ d i
capitole	k a p i t ɔ l
chuté	ʃ y t e
core	k ɔ ʁ
cristina	k ʁ i s t i n a
dénommé	d e n ɔ m e
effigie	e f i ʒ i
effondrer	e f ɔ̃ d ʁ e
entrepreneuriat	ɑ̃ t ʁ ə p ʁ ə n œ ʁ j a
foutez	f u t e
hills	i l
impliquent	ɛ̃ p l i k
incline	ɛ̃ k l i n
inclusion	ɛ̃ k l y z j ɔ̃
inhabituel	i n a b i t ɥ ɛ l
interpelle	ɛ̃ t ɛ ʁ p ɛ l
lab	l a b
lydia	l i d j a
medias	m e d j a
natalie	n a t a l i
normalisation	n ɔ ʁ m a l i z a s j ɔ̃
originelle	ɔ ʁ i ʒ i n ɛ l
partielles	p a ʁ s j ɛ l
patrouilles	p a t ʁ u j
pearl	p i ʁ l
present	p ʁ ə z
projecteurs	p ʁ ɔ ʒ ɛ k t œ ʁ
sally	s a l i
sergueï	s ɛ ʁ ɡ ɛ j
titanic	t i t a n i k
tripoli	t ʁ i p ɔ l i
uqam	y k a m
vrac	v ʁ a k
whatsapp	w a t s a p
where	w ɛ ʁ
échappement	e ʃ a p m ɑ̃
éliminée	e l i m i n e
activation	a k t i v a s j ɔ̃
activistes	a k t i v i s t
adrénaline	a d ʁ e n a l i n
astronaute	a s t ʁ ɔ n o t
atlantic	a t l ɑ̃ t i k
bits	b i
buteurs	b y t œ ʁ
century	s ɑ̃ t y ʁ i
christina	k ʁ i s t i n a
cibler	s i b l e
civiques	s i v i k
coming	k ɔ m i ŋ
copé	k ɔ p e
dale	d a l
derriere	d ɛ ʁ j e ʁ
dun	d œ̃
dédiées	d e d j e
effectuant	e f ɛ k t ɥ ɑ̃
ethnie	ɛ t n i
firefox	f i ʁ f ɔ k s
flow	f l o
fonctionnant	f ɔ̃ k s j ɔ n ɑ̃
hold	ɔ l d
holding	ɔ l d i ŋ
honduras	ɔ̃ d y ʁ a
imprimeur	ɛ̃ p ʁ i m œ ʁ
indiana	ɛ̃ d j a n a
ingérence	ɛ̃ ʒ e ʁ ɑ̃ s
islamophobie	i s l a m ɔ f ɔ b i
jedi	ʒ ə d i
kill	k i l
lara	l a ʁ a
mass	m a s
optimale	ɔ p t i m a l
optiques	ɔ p t i k
paradise	p a ʁ a d i z
process	p ʁ ɔ s ɛ s
pulsions	p y l s j ɔ̃
rachid	ʁ a ʃ i d
sao	s a o
séminaires	s e m i n ɛ ʁ
tactile	t a k t i l
tarés	t a ʁ e
trolls	t ʁ ɔ l
una	y n a
agathe	a ɡ a t
alison	a l i z ɔ̃
archi	a ʁ ʃ i
aveyron	a v ɛ ʁ ɔ̃
award	a w a ʁ
bird	b i ʁ
birmanie	b i ʁ m a n i
biélorussie	b j e l ɔ ʁ y s i
coderre	k ɔ d ɛ ʁ
concessionnaire	k ɔ̃ s e s j ɔ n ɛ ʁ
dana	d a n a
devance	d ə v ɑ̃ s
dl	d e ɛ l
drew	d ʁ u
ever	ə v e
fascistes	f a s i s t
gaming	ɡ a m i ŋ
harley	a ʁ l ɛ
hate	a t
hopital	ɔ p i t a l
héberger	e b ɛ ʁ ʒ e
imaginais	i m a ʒ i n ɛ
kadhafi	k a d a f i
marilyn	m a ʁ i l ɛ̃
messie	m ɛ s i
mobilise	m ɔ b i l i z
nazaire	n a z ɛ ʁ
neo	n e o
nietzsche	n j ɛ t ʃ
paradigme	p a ʁ a d i ɡ m
perez	p ə ʁ e
prophètes	p ʁ ɔ f ɛ t
queens	k i n
radicalisation	ʁ a d i k a l i z a s j ɔ̃
remplissage	ʁ ɑ̃ p l i s a ʒ
robotique	ʁ ɔ b ɔ t i k
selfie	s ɛ l f i
stadium	s t a d j ɔ m
symboliques	s ɛ̃ b ɔ l i k
terminaux	t ɛ ʁ m i n o
ups	y p s
urne	y ʁ n
winston	w ɛ̃ s t ɔ̃
abe	a b
accélérateur	a k s e l e ʁ a t œ ʁ
barons	b a ʁ ɔ̃
bit	b i
charia	ʃ a ʁ j a
claviers	k l a v j e
columbia	k ɔ l œ̃ b j a
connecte	k ɔ n ɛ k t
covoiturage	k ɔ v w a t y ʁ a ʒ
drop	d ʁ ɔ p
ebola	e b ɔ l a
ein	ɛ̃
emballages	ɑ̃ b a l a ʒ
euthanasie	ø t a n a z i
fitness	f i t n ɛ s
fusionner	f y z j ɔ n e
garros	ɡ a ʁ o
harlem	a ʁ l ɛ m
impliquées	ɛ̃ p l i k e
indo	ɛ̃ d o
internaute	ɛ̃ t ɛ ʁ n o t
into	ɛ̃ t o
iraniens	i ʁ a n j ɛ̃
jc	ʒ e s e
laden	l a d ɛ n
linkedin	l ɛ̃ k d ɛ̃
mafieux	m a f j ø
majoritaires	m a ʒ ɔ ʁ i t ɛ ʁ
marquage	m a ʁ k a ʒ
modélisation	m ɔ d e l i z a s j ɔ̃
ratés	ʁ a t e
rentables	ʁ ɑ̃ t a b l
ricains	ʁ i k ɛ̃
sanders	s ɑ̃ d e
sci	s i
suv	s y v
synode	s i n ɔ d
tsunami	t s y n a m i
usager	y z a ʒ e
virgin	v i ʁ ʒ ɛ̃
wiki	w i k i
yonne	j ɔ n
zidane	z i d a n
éolienne	e ɔ l j ɛ n
étonnes	e t ɔ n
affichant	a f i ʃ ɑ̃
amber	ɑ̃ b e
ambre	ɑ̃ b ʁ
angelo	ɑ̃ ʒ ə l o
anticipé	ɑ̃ t i s i p e
anticorps	ɑ̃ t i k ɔ ʁ
apollo	a p ɔ l o
archer	a ʁ ʃ e
ardenne	a ʁ d ɛ n
artois	a ʁ t w a
attributions	a t ʁ i b y s j ɔ̃
beautiful	b o t i f y l
controversée	k ɔ̃ t ʁ ɔ v ɛ ʁ s e
crazy	k ʁ a z i
deniers	d ə n j e
dogs	d ɔ ɡ
essayais	e s ɛ j ɛ
evil	ə v i l
fed	f ɛ d
fonctionnalité	f ɔ̃ k s j ɔ n a l i t e
forever	f ɔ ʁ v e
foster	f ɔ s t e
ges	ʒ
gus	ɡ y
ibrahimovic	i b ʁ a i m ɔ v i k
inside	ɛ̃ s i d
japan	ʒ a p ɑ̃
johan	ʒ ɔ ɑ̃
june	ʒ y n
lepage	l ə p a ʒ
lisée	l i z e
lituanie	l i t ɥ a n i
mandela	m ɑ̃ d ə l a
maniere	m a n j e ʁ
montebourg	m ɔ̃ t b u ʁ
motard	m ɔ t a ʁ
nash	n a ʃ
opera	ɔ p ə ʁ a
overdose	ɔ v ɛ ʁ d o z
paralympiques	p a ʁ a l ɛ̃ p i k
plain	p l ɛ̃
prostate	p ʁ ɔ s t a t
pérennité	p e ʁ ɛ n i t e
recense	ʁ ə s ɑ̃ s
reid	ʁ ɛ d
rocky	ʁ ɔ k i
sniper	s n i p e
spin	s p ɛ̃
sponsor	s p ɔ̃ s ɔ ʁ
symphonique	s ɛ̃ f ɔ n i k
tara	t a ʁ a
technology	t ɛ k n ɔ l ɔ ʒ i
things	t i ŋ
urban	y ʁ b ɑ̃
urbanisation	y ʁ b a n i z a s j ɔ̃
uv	y v
variant	v a ʁ j ɑ̃
virginia	v i ʁ ʒ i n j a
virginité	v i ʁ ʒ i n i t e
volvo	v ɔ l v o
wikipedia	w i k i p e d j a
accueillera	a k œ j ə ʁ a
adoptent	a d ɔ p t
adp	a d e p e
artérielle	a ʁ t e ʁ j ɛ l
auschwitz	o ʃ v i t s
balkany	b a l k a n i
bolloré	b ɔ l ɔ ʁ e
carey	k a ʁ ɛ
clandestine	k l ɑ̃ d ɛ s t i n
cod	k ɔ d
concentrent	k ɔ̃ s ɑ̃ t ʁ
concrétiser	k ɔ̃ k ʁ e t i z e
confinement	k ɔ̃ f i n m ɑ̃
controverses	k ɔ̃ t ʁ ɔ v ɛ ʁ s
cortex	k ɔ ʁ t ɛ k s
côtière	k o t j ɛ ʁ
days	d ɛ
dd	d e d e
defense	d ə f ɑ̃ s
démographiques	d e m ɔ ɡ ʁ a f i k
espérais	ɛ s p e ʁ ɛ
feel	f i l
fiasco	f j a s k o
freddy	f ʁ ɛ d i
giroud	ʒ i ʁ u
greenpeace	ɡ ʁ i n p i s
guérilla	ɡ e ʁ i j a
igor	i ɡ ɔ ʁ
impérialisme	ɛ̃ p e ʁ j a l i s m
islamiques	i s l a m i k
lévis	l e v i
marxisme	m a ʁ k s i s m
philippot	f i l i p o
planifié	p l a n i f j e
player	p l ɛ j e
pneumonie	p n ø m ɔ n i
profile	p ʁ ɔ f i l
réalisez	ʁ e a l i z e
same	s a m
thrones	t ʁ ɔ n
violations	v j ɔ l a s j ɔ̃
écoule	e k u l
étendent	e t ɑ̃ d
angelina	ɑ̃ ʒ l i n a
annee	a n i
armor	a ʁ m ɔ ʁ
blablabla	b l a b l a b l a
burke	b y ʁ k
came	k a m
collabore	k ɔ l a b ɔ ʁ
coloniales	k ɔ l ɔ n j a l
conditionnement	k ɔ̃ d i s j ɔ n m ɑ̃
db	d e b e
diagramme	d j a ɡ ʁ a m
détiennent	d e t j ɛ n
ecrit	ɛ k ʁ i
elysées	e l i z e
enculés	ɑ̃ k y l e
environnements	ɑ̃ v i ʁ ɔ n m ɑ̃
extraterrestres	ɛ k s t ʁ a t ɛ ʁ ɛ s t ʁ
ft	ɛ f t e
gas	ɡ a
gaucher	ɡ o ʃ e
glucose	ɡ l y k o z
herbert	ɛ ʁ b ɛ ʁ
hero	e ʁ o
het	ɛ
ig	i ɡ
indésirables	ɛ̃ d e z i ʁ a b l
kazakhstan	k a z a k s t ɑ̃
liberty	l i b ɛ ʁ t i
lithium	l i t j ɔ m
longueuil	l ɔ̃ ɡ œ j
lévesque	l e v ɛ s k
marginal	m a ʁ ʒ i n a l
offshore	ɔ f ʃ ɔ ʁ
opérationnels	ɔ p e ʁ a s j ɔ n ɛ l
parmis	p a ʁ m i
pcq	p e s e k e
pipeline	p i p l i n
pétrolières	p e t ʁ ɔ l j ɛ ʁ
region	ʁ ə ʒ j ɔ̃
réglementations	ʁ e ɡ l ə m ɑ̃ t a s j ɔ̃
snapchat	s n a p ʃ a
step	s t ɛ p
still	s t i j
studies	s t y d i
évangélique	e v ɑ̃ ʒ e l i k
amérindiens	a m e ʁ ɛ̃ d j ɛ̃
applis	a p l i
asm	a s ɛ m
attaquants	a t a k ɑ̃
autiste	o t i s t
bikini	b i k i n i
bros	b ʁ o
carburants	k a ʁ b y ʁ ɑ̃
casey	k a z ɛ
challenger	ʃ a l ɑ̃ ʒ e
cio	s j o
cliquant	k l i k ɑ̃
cody	k ɔ d i
contaminé	k ɔ̃ t a m i n e
dar	d a ʁ
dentaires	d ɑ̃ t ɛ ʁ
dominic	d ɔ m i n i k
epoque	e p ɔ k
finiront	f i n i ʁ ɔ̃
flingue	f l ɛ̃ ɡ
fluctuations	f l y k t ɥ a s j ɔ̃
hanna	a n a
hughes	y ɡ
illustrent	i l y s t ʁ
ions	j ɔ̃
irm	i ʁ m
jun	ʒ œ̃
justifiant	ʒ y s t i f j ɑ̃
kirk	k i ʁ k
libéralisation	l i b e ʁ a l i z a s j ɔ̃
lindsay	l ɛ̃ d s ɛ
masturbation	m a s t y ʁ b a s j ɔ̃
peterson	p ə t ɛ ʁ s ɔ̃
pixels	p i k s ɛ l
recrutés	ʁ ə k ʁ y t e
rennais	ʁ ə n ɛ
revendiqué	ʁ ə v ɑ̃ d i k e
revêt	ʁ ə v ɛ
rover	ʁ ɔ v e
rémunérations	ʁ e m y n e ʁ a s j ɔ̃
révérend	ʁ e v e ʁ ɑ̃
saloperie	s a l ɔ p ʁ i
security	s ə k y ʁ i t i
shell	ʃ ɛ l
stanford	s t ɑ̃ f ɔ ʁ
sullivan	s y l i v ɑ̃
théologique	t e ɔ l ɔ ʒ i k
titré	t i t ʁ e
trevor	t ʁ ə v ɔ ʁ
under	œ̃ d e
unification	y n i f i k a s j ɔ̃
zlatan	z l a t ɑ̃
éponyme	e p ɔ n i m
étatique	e t a t i k
ak	a k
anderlecht	ɑ̃ d ɛ ʁ l ɛ k t
api	a p i
attestation	a t ɛ s t a s j ɔ̃
avoirs	a v w a ʁ
balnéaire	b a l n e ɛ ʁ
beth	b ɛ t
better	b ɛ t e
camera	k a m ə ʁ a
congolaise	k ɔ̃ ɡ ɔ l ɛ z
coïncide	k ɔ ɛ̃ s i d
dec	d ɛ k
dividende	d i v i d ɑ̃ d
dm	d e ɛ m
edmonton	ɛ d m ɔ̃ t ɔ̃
egalement	e ɡ a l m ɑ̃
empoisonnement	ɑ̃ p w a z ɔ n m ɑ̃
falls	f a l
gaspésie	ɡ a s p e z i
give	ʒ i v
habitue	a b i t y
hull	y l
hypnose	i p n o z
inaugurée	i n o ɡ y ʁ e
inexistant	i n ɛ ɡ z i s t ɑ̃
infra	ɛ̃ f ʁ a
italia	i t a l j a
key	k ɛ
maj	m a ʒ
mind	m ɛ̃
naomi	n a o m i
naval	n a v a l
papes	p a p
patch	p a t ʃ
pg	p e ʒ e
piégé	p j e ʒ e
portuaire	p ɔ ʁ t ɥ ɛ ʁ
recensés	ʁ ə s ɑ̃ s e
remportant	ʁ ɑ̃ p ɔ ʁ t ɑ̃
role	ʁ ɔ l
shadow	ʃ a d o
sodomie	s ɔ d ɔ m i
stark	s t a ʁ k
sélective	s e l ɛ k t i v
theo	t e o
thiago	t j a ɡ o
traitants	t ʁ ɛ t ɑ̃
vivian	v i v j ɑ̃
wait	w ɛ
zimbabwe	z ɛ̃ b a b w
étendard	e t ɑ̃ d a ʁ
adjudant	a d ʒ y d ɑ̃
amnesty	a m n ɛ s t i
bahamas	b a a m a
baux	b o
bosch	b ɔ ʃ
brooks	b ʁ u k
brûlures	b ʁ y l y ʁ
bureaucratie	b y ʁ o k ʁ a s i
causalité	k o z a l i t e
chad	ʃ a d
chorégraphie	ʃ ɔ ʁ e ɡ ʁ a f i
civ	s i v
comic	k ɔ m i k
comtés	k ɔ̃ t e
concurrencer	k ɔ̃ k y ʁ ɑ̃ s e
cover	k ɔ v e
danoise	d a n w a z
dealers	d i l œ ʁ
diaz	d j a
exploitées	ɛ k s p l w a t e
extreme	ɛ k s t ʁ ə m
fall	f a l
funk	f œ̃ k
gandhi	ɡ ɑ̃ d i
hilarant	i l a ʁ ɑ̃
invoque	ɛ̃ v ɔ k
jess	ʒ ɛ s
jp	ʒ e p e
kick	k i k
lars	l a ʁ
maximiser	m a k s i m i z e
mirror	m i ʁ ɔ ʁ
mondialement	m ɔ̃ d j a l m ɑ̃
nixon	n i k s ɔ̃
percy	p ɛ ʁ s i
persos	p ɛ ʁ s o
playlist	p l ɛ l i s t
revolution	ʁ ə v ɔ l y s j ɔ̃
réélection	ʁ e e l ɛ k s j ɔ̃
sabotage	s a b ɔ t a ʒ
samir	s a m i ʁ
topic	t ɔ p i k
utilisera	y t i l i z ə ʁ a
virilité	v i ʁ i l i t e
viseur	v i z œ ʁ
abbas	a b a
affiliation	a f i l j a s j ɔ̃
alba	a l b a
alcools	a l k u l
allison	a l i z ɔ̃
allongement	a l ɔ̃ ʒ m ɑ̃
aléatoires	a l e a t w a ʁ
bonnie	b ɔ n i
brother	b ʁ ɔ t e
cagnotte	k a ɲ ɔ t
card	k a ʁ
ceo	s e o
chié	ʃ j e
collégiale	k ɔ l e ʒ j a l
conjugales	k ɔ̃ ʒ y ɡ a l
consécutif	k ɔ̃ s e k y t i f
contribuant	k ɔ̃ t ʁ i b ɥ ɑ̃
cruciale	k ʁ y s j a l
djihad	d ʒ i a d
doctor	d ɔ k t ɔ ʁ
estonie	ɛ s t ɔ n i
fervent	f ɛ ʁ v
fischer	f i ʃ e
fish	f i ʃ
franchises	f ʁ ɑ̃ ʃ i z
had	a d
hégémonie	e ʒ e m ɔ n i
illinois	i l i n w a
incontournables	ɛ̃ k ɔ̃ t u ʁ n a b l
inquisition	ɛ̃ k i z i s j ɔ̃
lettonie	l ɛ t ɔ n i
ltd	ɛ l t e d e
morning	m ɔ ʁ n i ŋ
multinationale	m y l t i n a s j ɔ n a l
nasser	n a s e
orly	ɔ ʁ l i
paniquer	p a n i k e
perçues	p ɛ ʁ s y
private	p ʁ i v a t
prolétariat	p ʁ ɔ l e t a ʁ j a
random	ʁ ɑ̃ d ɔ m
rejets	ʁ ə ʒ ɛ
samba	s ɑ̃ b a
shampoing	ʃ ɑ̃ p w ɛ̃
swift	s w i f t
systems	s i s t ɛ m
talibans	t a l i b ɑ̃
tate	t a t
territoriaux	t ɛ ʁ i t ɔ ʁ j o
touré	t u ʁ e
tropez	t ʁ ɔ p e
troy	t ʁ w a
update	y p d a t
values	v a l y
vince	v ɛ̃ s
vista	v i s t a
were	w ɛ ʁ
wta	w a t a
éligible	e l i ʒ i b l
ériger	e ʁ i ʒ e
aah	a a
astrologie	a s t ʁ ɔ l ɔ ʒ i
candidates	k ɑ̃ d i d a t
circulant	s i ʁ k y l ɑ̃
cofondateur	k ɔ f ɔ̃ d a t œ ʁ
connexes	k ɔ n ɛ k s
coordinateur	k ɔ ɔ ʁ d i n a t œ ʁ
destructions	d ɛ s t ʁ y k s j ɔ̃
diamond	d j a m ɔ̃
diva	d i v a
epic	ɛ p i k
estrosi	ɛ s t ʁ o z i
excluant	ɛ k s k l y ɑ̃
ferguson	f ɛ ʁ ɡ y z ɔ̃
folio	f ɔ l j o
forbes	f ɔ ʁ b
formulaires	f ɔ ʁ m y l ɛ ʁ
fraser	f ʁ a z e
gg	ʒ e ʒ e
géométriques	ʒ e ɔ m e t ʁ i k
item	i t ɛ m
katy	k a t i
luiz	l ɥ i z
méthane	m e t a n
notices	n ɔ t i s
obstruction	ɔ p s t ʁ y k s j ɔ̃
ouen	w ɛ̃
outaouais	u t a w ɛ
perret	p ɛ ʁ ɛ
pirater	p i ʁ a t e
qaïda	k a i d a
replay	ʁ ə p l ɛ
rihanna	ʁ i a n a
russo	ʁ y s o
shoot	ʃ u t
sid	s i d
sis	s i
societe	s ɔ s j ɛ t
stories	s t ɔ ʁ i
stéréo	s t e ʁ e o
tess	t ɛ s
testicules	t ɛ s t i k y l
traoré	t ʁ a ɔ ʁ e
traumatique	t ʁ o m a t i k
uc	y k
virale	v i ʁ a l
vélodrome	v e l ɔ d ʁ ɔ m
winnipeg	w i n i p ɛ ɡ
wu	w y
électrons	e l ɛ k t ʁ ɔ̃
allégorie	a l e ɡ ɔ ʁ i
améliorant	a m e l j ɔ ʁ ɑ̃
antan	ɑ̃ t ɑ̃
balise	b a l i z
benfica	b ɛ̃ f i k a
bishop	b i ʃ ɔ p
brazzaville	b ʁ a z a v i l
castille	k a s t i j
cci	s i
chorégraphe	ʃ ɔ ʁ e ɡ ʁ a f
cockpit	k ɔ k p i
cérébrales	s e ʁ e b ʁ a l
dépouillement	d e p u j m ɑ̃
désactivé	d e z a k t i v e
eduardo	e d ɥ a ʁ d o
electro	e l ɛ k t ʁ o
exclusifs	ɛ k s k l y z i f
finn	f i n
foutage	f u t a ʒ
fucking	f y k i ŋ
gibson	ʒ i b s ɔ̃
glen	ɡ l ɛ n
halo	a l o
icônes	i k o n
imposable	ɛ̃ p o z a b l
intérimaire	ɛ̃ t e ʁ i m ɛ ʁ
irakien	i ʁ a k j ɛ̃
jihad	ʒ i a d
julio	ʒ y l j o
jump	ʒ œ̃ p
kahn	k a n
kwh	k w a ʃ
liu	l j y
neuchâtel	n ø ʃ a t ɛ l
notifications	n ɔ t i f i k a s j ɔ̃
olympia	ɔ l ɛ̃ p j a
oswald	ɔ s w a l d
pinot	p i n o
pluralité	p l y ʁ a l i t e
pogba	p ɔ ɡ b a
présumés	p ʁ e z y m e
psychose	p s i k o z
radicales	ʁ a d i k a l
reponse	ʁ ə p ɔ̃ s
ricky	ʁ i k i
sante	s ɑ̃ t
supra	s y p ʁ a
tanzanie	t ɑ̃ z a n i
them	t ɛ m
tower	t a w e
vandalisme	v ɑ̃ d a l i s m
xie	k s i
écroule	e k ʁ u l
accumulent	a k y m y l
ahmad	a m a d
albanais	a l b a n ɛ
allumage	a l y m a ʒ
annonceurs	a n ɔ̃ s œ ʁ
blogue	b l ɔ ɡ
bonn	b ɔ n
brett	b ʁ ɛ t
bâtards	b a t a ʁ
casseurs	k a s œ ʁ
cavani	k a v a n i
chanoines	ʃ a n w a n
corporations	k ɔ ʁ p ɔ ʁ a s j ɔ̃
cox	k ɔ k s
créatifs	k ʁ e a t i f
crédibles	k ʁ e d i b l
cum	k ɔ m
djihadiste	d ʒ i a d i s t
dlc	d e ɛ l s e
dotées	d ɔ t e
démocratisation	d e m ɔ k ʁ a t i z a s j ɔ̃
fernandez	f ɛ ʁ n ɑ̃ d e
foundation	f u n d a s j ɔ̃
géantes	ʒ e ɑ̃ t
hépatite	e p a t i t
identitaires	i d ɑ̃ t i t ɛ ʁ
induction	ɛ̃ d y k s j ɔ̃
invalidité	ɛ̃ v a l i d i t e
jose	ʒ o z
kenneth	k ɛ n ɛ t
magnitude	m a ɲ i t y d
maisonneuve	m ɛ z ɔ n œ v
matures	m a t y ʁ
mill	m i l
narrative	n a ʁ a t i v
ode	ɔ d
opèrent	ɔ p ɛ ʁ
ost	ɔ s t
paraguay	p a ʁ a ɡ ɛ
patriarcat	p a t ʁ i j a ʁ k a
piégée	p j e ʒ e
prestataires	p ʁ ɛ s t a t ɛ ʁ
péquiste	p e k i s t
qualifiant	k a l i f j ɑ̃
reconquête	ʁ ə k ɔ̃ k ɛ t
rfi	ɛ ʁ f i
riley	ʁ i l ɛ
rocket	ʁ ɔ k ɛ
ruby	ʁ y b i
rupert	ʁ y p ɛ ʁ
simulateur	s i m y l a t œ ʁ
slovaque	s l ɔ v a k
strike	s t ʁ i k
superstar	s y p ɛ ʁ s t a ʁ
tm	t e ɛ m
ufc	y ɛ f s e
valais	v a l ɛ
vuitton	v ɥ i t ɔ̃
yi	j i
yuan	j y ɑ̃
zac	z a k
élargit	e l a ʁ ʒ i
abusive	a b y z i v
acidité	a s i d i t e
activiste	a k t i v i s t
admin	a d m ɛ̃
algerie	a l ʒ ʁ i
aliens	a l j ɛ̃
alto	a l t o
améliorent	a m e l j ɔ ʁ
apps	a p
arrow	a ʁ o
ask	a s k
avengers	a v ɑ̃ ʒ e
bha	b a
blackberry	b l a k b ɛ ʁ i
blizzard	b l i z a ʁ
books	b u k
boutin	b u t ɛ̃
buy	b ɥ i
captures	k a p t y ʁ
connection	k ɔ n ɛ k s j ɔ̃
corrèze	k ɔ ʁ ɛ z
dee	d i
dexter	d ɛ k s t e
déforestation	d e f ɔ ʁ ɛ s t a s j ɔ̃
détecte	d e t ɛ k t
ecoles	ɛ k ɔ l
elisa	e l i z a
elliott	ɛ l j ɔ t
farmer	f a ʁ m e
flop	f l ɔ p
foiré	f w a ʁ e
gerard	ʒ ə ʁ a ʁ
génome	ʒ e n ɔ m
heavy	i v i
homicides	ɔ m i s i d
hulk	y l k
incombe	ɛ̃ k ɔ̃ b
individualisme	ɛ̃ d i v i d ɥ a l i s m
infarctus	ɛ̃ f a ʁ k t y
infecté	ɛ̃ f ɛ k t e
insuline	ɛ̃ s y l i n
intensifs	ɛ̃ t ɑ̃ s i f
inversée	ɛ̃ v ɛ ʁ s e
katie	k a t i
latex	l a t ɛ k s
lil	l i l
lives	l i v
motors	m ɔ t ɔ ʁ
mourinho	m u ʁ i n o
nigel	n i ʒ ɛ l
niçois	n i s w a
obtenant	ɔ p t ə n ɑ̃
obtiens	ɔ p t j ɛ̃
pandémie	p ɑ̃ d e m i
paranoïa	p a ʁ a n ɔ j a
pd	p e d e
pea	p i
problemes	p ʁ ɔ b l ə m
propulsé	p ʁ ɔ p y l s e
ravagé	ʁ a v a ʒ e
réédition	ʁ e e d i s j ɔ̃
sims	s ɛ̃
sochaux	s ɔ ʃ o
surpoids	s y ʁ p w a
utah	y t a
xix	k s i k s
