اس	ə s
ہجرت	ɦ ə d͡ʒ ɾ ə t̪
آور	ɑː ʋ ə ɾ
بدلے	b ə d̪ l eː
بڑھا	b ə ɽʱ ɑː
حکمرانی	ɦ ə k m ə ɾ ɑː n iː
دکھا	d̪ ə kʰ ɑː
شماری	ʃ ə m ɑː ɾ iː
صحافت	s ə ɦ ɑː f ə t̪
قبضے	q ə b z eː
منظوری	m ə n z uː ɾ iː
نامعلوم	n ɑː m ə l uː m
نیکی	n eː k iː
ور	ʋ ə ɾ
چالیس	t͡ʃ ɑː l iː s
کرلیں	k ə ɾ l ẽː
ہوجائیں	ɦ oː d͡ʒ ɑː ẽː
الطاف	ɪ l t̪ ɑː f
امتیاز	ɪ m t̪ ɪ j ɑː z
امین	ə m iː n
فراہمی	f ə ɾ ɑː ɦ ə m iː
فواد	f ə ʋ ɑː d̪
فیملی	f ɛː m l iː
قبائلی	q ə b ɑː ɪ l iː
لڑنے	l ə ɽ n eː
لگنے	l ə ɡ n eː
لیک	l eː k
ما	m ɑː
مفادات	m ʊ f ɑː d̪ ɑː t̪
منفی	m ə n f iː
مہیا	m ə ɦ j ɑː
میٹنگ	m eː ʈ ə ŋ ɡ
نواب	n ə ʋ ɑː b
ڈار	ɖ ɑː ɾ
کاروں	k ɑː ɾ õː
گاڑیوں	ɡ ɑː ɽ ɪ j õː
ہائیکورٹ	ɦ ɑː iː k oː ɾ ʈ
شفاف	ʃ ə f ɑː f
ضمنی	z ə m n iː
عدالتی	ɪ d̪ ɑː l ə t̪ iː
فاٹا	f ɑː ʈ ɑː
لگتے	l ə ɡ t̪ eː
منصوبوں	m ə n s uː b õː
وجوہات	ʋ ə d͡ʒ uː ɦ ɑː t̪
پاور	p ɑː ʋ ə ɾ
ڈالے	ɖ ɑː l eː
ڈویژن	ɖ ə ʋ eː ʒ ə n
کابینہ	k ɑː b iː n ɑ
کفر	k ə f ə ɾ
کوٹ	k oː ʈ
گوئی	ɡ oː iː
یہودیوں	j ə ɦ uː d̪ ɪ j õː
آرہا	ɑː ɾ ɦ ɑː
اٹھائے	ə ʈʰ ɑː eː
اکاؤنٹ	ɪ k ɑː ʊ n ʈ
بحالی	b ə ɦ ɑː l iː
تنظیموں	t̪ ə n z iː m õː
ثانی	s ɑː n iː
جتنے	d͡ʒ ə t̪ n eː
خطرناک	x ə t̪ ə ɾ n ɑː k
شامی	ʃ ɑː m iː
لیاقت	l ɪ j ɑː q ə t̪
پلان	p ə l ɑː n
ڈبلیو	ɖ ə b l ɪ j oː
ہيں	ɦ ĩː
اربوں	ə ɾ b õː
بجا	b ə d͡ʒ ɑː
جیتنے	d͡ʒ ɛː t̪ n eː
حامد	ɦ ɑː m ɪ d̪
حفیظ	ɦ ə f iː z
خلائی	x ə l ɑː iː
رہو	ɾ ə ɦ uː
ریلی	ɾ eː l iː
ساتھیوں	s ɑː t̪ʰ ɪ j õː
سیکریٹری	s iː k ɾ eː ʈ ɾ iː
قائدین	q ɑː ɪ d̪ iː n
لگیں	l ə ɡ ẽː
مانا	m ɑː n ɑː
ٹرین	ʈ ə ɾ iː n
پسندوں	p ə s ə n d̪ õː
ڈالی	ɖ ɑː l iː
کارکنان	k ɑː ɾ k ə n ɑː n
کال	k ɑː l
کردے	k ə ɾ d̪ eː
کروایا	k ə ɾ ʋ ɑː j ɑː
گواہی	ɡ ʊ ʋ ɑː ɦ iː
بجٹ	b ə d͡ʒ ə ʈ
بیانات	b ə j ɑː n ɑː t̪
حسب	ɦ ə s b
خریدنے	x ə ɾ iː d̪ n eː
دانوں	d̪ ɑː n õː
دھمکی	d̪ʱ ə m k iː
لگاتے	l ə ɡ ɑː t̪ eː
منافع	m ʊ n ɑː f eː
وڈ	ʋ ə ɖ
چکر	t͡ʃ ə k ə ɾ
کالعدم	k ɑː l ə d̪ ə m
کمانڈر	k ə m ɑː n ɖ ə ɾ
کیلیے	k ɛː l ɪ j eː
اسپیکر	ə s p eː k ə ɾ
اقدام	ɪ q d̪ ɑː m
اقسام	ɪ q s ɑː m
بدترین	b ə d̪ t̪ ə ɾ iː n
خدشہ	x ə d̪ ʃ ɑ
دفاعی	d̪ ə f ɑː iː
دہشتگردی	d̪ ə ɦ ɪ ʃ t̪ ə ɡ ə ɾ d̪ iː
رنز	ɾ ə n z
رک	ɾ ə k
سند	s ə n d̪
علمائے	ɪ l m ɑː eː
كے	k eː
مانتے	m ɑː n t̪ eː
متبادل	m ʊ t̪ ə b ɑː d̪ ɪ l
پے	p eː
ہوجاتی	ɦ oː d͡ʒ ɑː t̪ iː
in	ɪ n
آرہے	ɑː ɾ ɦ eː
آلات	ɑː l ɑː t̪
ایپ	iː p
بابر	b ɑː b ə ɾ
بنتے	b ə n t̪ eː
بولے	b uː l eː
تحسین	t̪ ə ɦ s iː n
جہانگیر	d͡ʒ ə ɦ ɑː ŋ ɡ iː ɾ
حبیب	ɦ ə b iː b
خاک	x ɑː k
دوا	d̪ ə ʋ ɑː
شرائط	ʃ ə ɾ ɑː ɪ t̪
صفدر	s ə f d̪ ə ɾ
صنعتی	s ə n ə t̪ iː
عقیدت	ə q iː d̪ ə t̪
لائیں	l ɑː ẽː
ماننے	m ɑː n n eː
محاذ	m ʊ ɦ ɑː z
ممبران	m ʊ m b ə ɾ ɑː n
وسیم	ʋ ə s iː m
ٹاپ	ʈ ɑː p
پسندی	p ə s ə n d̪ iː
پوچھ	p oː t͡ʃʰ
پڑھی	p ə ɽʱ iː
چاروں	t͡ʃ ɑː ɾ õː
ڈالیں	ɖ ɑː l ẽː
کپور	k ə p uː ɾ
ہیلی	ɦ ɛː l iː
آثار	ɑː s ɑː ɾ
افتتاح	ɪ f t̪ ɪ t̪ ɑː ɦ
ایام	ɪ j ɑː m
برائی	b ə ɾ ɑː iː
برسوں	b ə ɾ s õː
تنہا	t̪ ə n ɦ ɑː
خراج	x ə ɾ ɑː d͡ʒ
داروں	d̪ ɑː ɾ õː
دھرنے	d̪ʱ ə ɾ n eː
رینجرز	ɾ ɛː n d͡ʒ ə ɾ z
ستر	s ə t̪ ə ɾ
سفارتی	s ə f ɑː ɾ ə t̪ iː
فرمائیں	f ə ɾ m ɑː ẽː
متحد	m ʊ t̪ ə ɦ ə d̪
ناقابل	n ɑː q ɑː b ə l
نمائندے	n ə m ɑː ɪ n d̪ eː
پہنچی	p ə ɦ ə n t͡ʃ iː
چھوڑنے	t͡ʃʰ oː ɽ n eː
ڈیوٹی	ɖ ɪ j oː ʈ iː
کمپنیوں	k ə m p ə n ɪ j õː
کےلیے	k eː l ɪ j eː
ہال	ɦ ɑː l
اجتماعی	ɪ d͡ʒ t̪ ɪ m ɑː iː
ایکٹ	iː k ə ʈ
باطل	b ɑː t̪ ɪ l
بتائیں	b ə t̪ ɑː ẽː
بلاک	b ə l ɑː k
بھگ	bʱ ə ɡ
جائیگا	d͡ʒ ɑː iː ɡ ɑː
جلا	d͡ʒ ə l ɑː
حکومتوں	ɦ ə k uː m ə t̪ õː
خاقان	x ɑː q ɑː n
روزگار	ɾ oː z ɡ ɑː ɾ
روکا	ɾ oː k ɑː
رکھو	ɾ ə kʰ oː
سنتے	s ə n t̪ eː
عصر	ə s ə ɾ
معاون	m ʊ ɑː ʋ ə n
میجر	m eː d͡ʒ ə ɾ
نبوی	n ə b ʋ iː
پبلک	p ə b l ə k
ڈسٹرکٹ	ɖ ə s ʈ ə ɾ k ə ʈ
کوڈ	k oː ɖ
گویا	ɡ oː j ɑː
ہیرو	ɦ ɛː ɾ oː
ہیڈ	ɦ eː ɖ
اضافی	ɪ z ɑː f iː
بروز	b ə ɾ uː z
دریائے	d̪ ə ɾ j ɑː eː
سود	s uː d̪
شراکت	ʃ ə ɾ ɑː k ə t̪
صفحات	s ə f ɦ ɑː t̪
مختار	m ʊ x t̪ ɑː ɾ
مفید	m ə f iː d̪
منایا	m ə n ɑː j ɑː
منسوب	m ə n s uː b
چڑھ	t͡ʃ ə ɽʱ
ڈاکٹرز	ɖ ɑː k ʈ ə ɾ z
الا	ə l ɑː
انکا	ə ŋ k ɑː
جاسکے	d͡ʒ ɑː s k eː
دراز	d̪ ə ɾ ɑː z
رجحان	ɾ ə d͡ʒ ɦ ɑː n
سراج	s ə ɾ ɑː d͡ʒ
سکی	s ə k iː
صد	s ə d̪
طریقوں	t̪ ə ɾ iː q õː
فری	f ə ɾ iː
مراکز	m ʊ ɾ ɑː k ɪ z
نامور	n ɑː m uː ɾ
پارٹیوں	p ɑː ɾ ʈ ɪ j õː
کوششیں	k oː ʃ ʃ ẽː
کیسا	k ɛː s ɑː
اخراجات	ɪ x ɾ ɑː d͡ʒ ɑː t̪
اصلی	ə s l iː
جاننے	d͡ʒ ɑː n n eː
حمزہ	ɦ ə m z ɑ
زخمیوں	z ə x m ɪ j õː
سہولیات	s ə ɦ uː l ɪ j ɑː t̪
مارنے	m ɑː ɾ n eː
مذکورہ	m ə z k uː ɾ ɑ
ندیم	n ə d̪ iː m
نعیم	n ə iː m
نوازا	n ə ʋ ɑː z ɑː
وائٹ	ʋ ɑː ɪ ʈ
پوزیشن	p oː z eː ʃ ə n
کہو	k ə ɦ uː
on	ɔ n
آجائے	ɑː d͡ʒ ɑː eː
انتظامات	ɪ n t̪ ɪ z ɑː m ɑː t̪
ایجوکیشن	iː d͡ʒ uː k eː ʃ ə n
تعین	t̪ ə iː n
خواہشات	x ɑː ɦ ɪ ʃ ɑː t̪
دخل	d̪ ə x l
رواج	ɾ ə ʋ ɑː d͡ʒ
رہائی	ɾ ə ɦ ɑː iː
سرفراز	s ə ɾ f ə ɾ ɑː z
سہ	s ɑː
شر	ʃ ə ɾ
عدل	ə d̪ ə l
غصے	ɣ ə s eː
غلامی	ɣ ə l ɑː m iː
ماتحت	m ɑː t̪ ɪ ɦ ə t̪
مظہر	m ə z ɦ ə ɾ
معاویہ	m ʊ ɑː ʋ ɪ j ɑ
گرنے	ɡ ə ɾ n eː
ہےکہ	ɦ eː k ɑ
آمین	ɑː m iː n
افزائی	ə f z ɑː iː
باغیوں	b ɑː ɣ ɪ j õː
بتائے	b ə t̪ ɑː eː
بقول	b ə q uː l
جاکر	d͡ʒ ɑː k ə ɾ
جلال	d͡ʒ ə l ɑː l
دھوکہ	d̪ʱ uː k ɑ
رے	ɾ eː
سافٹ	s ɑː f ɪ ʈ
سرد	s ə ɾ d̪
صف	s ə f
ضروریات	z ə ɾ ʋ ə ɾ ɪ j ɑː t̪
مالیاتی	m ɑː l ɪ j ɑː t̪ iː
ٹیکساس	ʈ eː k s ɑː s
پانچویں	p ɑ̃ː t͡ʃ ʋ ẽː
چاہا	t͡ʃ ɑː ɦ ɑː
کروائی	k ə ɾ ʋ ɑː iː
کوچ	k oː t͡ʃ
کیسی	k ɛː s iː
گزرے	ɡ ʊ z ɾ eː
ہا	ɦ ɑː
ہاکی	ɦ ɑː k iː
یکساں	j ə k s ɑ̃ː
ابلاغ	ɪ b l ɑː ɣ
اعجاز	ɪ d͡ʒ ɑː z
بڑھانے	b ə ɽʱ ɑː n eː
بھرے	bʱ ə ɾ eː
بھیجنے	bʱ eː d͡ʒ n eː
جمیل	d͡ʒ ə m iː l
حفظ	ɦ ə f z
حمید	ɦ ə m iː d̪
خیز	x ɛː z
داد	d̪ ɑː d̪
سرحدی	s ə ɾ ɦ ə d̪ iː
ضرب	z ə ɾ b
قیمتوں	q ɛː m ə t̪ õː
لیگی	l eː ɡ iː
مرحلے	m ə ɾ ɦ ə l eː
میک	m eː k
ہسپتالوں	ɦ ə s p ə t̪ ɑː l õː
یہیں	j ə ɦ ẽː
استفادہ	ɪ s t̪ ɪ f ɑː d̪ ɑ
بتاتے	b ə t̪ ɑː t̪ eː
بدلنے	b ə d̪ ə l n eː
بشمول	b ə ʃ m uː l
بننا	b ə n n ɑː
بھرا	bʱ ə ɾ ɑː
تھام	t̪ʰ ɑː m
جاؤں	d͡ʒ ɑː õː
خاندانوں	x ɑː n d̪ ɑː n õː
خاندانی	x ɑː n d̪ ɑː n iː
خطوط	x ə t̪ uː t̪
راوی	ɾ ɑː ʋ iː
رفتہ	ɾ ə f t̪ ɑ
زیب	z eː b
سنائی	s ə n ɑː iː
صلاحیتوں	s ə l ɑː ɦ ɪ j ə t̪ õː
طبقات	t̪ ə b ə q ɑː t̪
لسٹ	l ə s ʈ
لمحے	l ə m ɦ eː
لڑ	l ə ɽ
نہيں	n ə ɦ ĩː
آرڈر	ɑː ɾ ɖ ə ɾ
اسلم	ə s l ə m
اصحاب	ɪ s ɦ ɑː b
اصولوں	ə s uː l õː
انا	ə n ɑː
ایٹمی	iː ʈ m iː
تجھ	t̪ ə d͡ʒʱ
شہزاد	ʃ ə ɦ z ɑː d̪
فقط	f ə q t̪
لائی	l ɑː iː
لگائیں	l ə ɡ ɑː ẽː
معین	m ə iː n
منصور	m ə n s uː ɾ
نااہل	n ɑː ɦ ɪ l
واسطے	ʋ ɑː s ɪ t̪ eː
گہری	ɡ ə ɦ ɾ iː
ہمدردی	ɦ ə m d̪ ə ɾ d̪ iː
الحسن	ə l ɦ ə s ə n
بحری	b ə ɦ ɾ iː
بحیثیت	b ə ɦ iː s ɪ j ə t̪
بلایا	b ə l ɑː j ɑː
بلندی	b ə l ə n d̪ iː
بیٹھی	b eː ʈʰ iː
تحقیقی	t̪ ə ɦ q iː q iː
تقریبات	t̪ ə q ɾ iː b ɑː t̪
تیر	t̪ ɛː ɾ
دوچار	d̪ oː t͡ʃ ɑː ɾ
دھرنا	d̪ʱ ə ɾ n ɑː
ذخیرہ	z ə x iː ɾ ɑ
زبیر	z ə b iː ɾ
سپیکر	s ə p iː k ə ɾ
لبیک	l ə b iː k
لفظوں	l ə f z õː
مرکوز	m ə ɾ k uː z
منتظر	m ʊ n t̪ ə z ə ɾ
مہینوں	m ə ɦ iː n õː
پہاڑی	p ə ɦ ɑː ɽ iː
چوتھے	t͡ʃ ɔː t̪ʰ eː
کرائی	k ə ɾ ɑː iː
ہورہے	ɦ uː ɾ ɦ eː
یکجہتی	j ə k d͡ʒ ə ɦ ə t̪ iː
اکٹھے	ə k ʈʰ eː
بنیں	b ə n ẽː
بیٹھنے	b eː ʈʰ n eː
تفتیش	t̪ ə f t̪ iː ʃ
تفصیلی	t̪ ə f s iː l iː
حتمی	ɦ ə t̪ m iː
را	ɾ ɑː
رائج	ɾ ɑː ɪ d͡ʒ
راشد	ɾ ɑː ʃ ɪ d̪
عرفان	ə ɾ f ɑː n
علوی	ə l ʋ iː
قربانیاں	q ə ɾ b ɑː n ɪ j ɑ̃ː
لائق	l ɑː ɪ q
لطیف	l ə t̪ iː f
مراحل	m ʊ ɾ ɑː ɦ ɪ l
مریضوں	m ə ɾ iː z õː
مصنوعی	m ə s n uː iː
نقوی	n ə q ʋ iː
نمائندہ	n ə m ɑː ɪ n d̪ ɑ
وائی	ʋ ɑː iː
ووٹوں	ʋ oː ʈ õː
چلائی	t͡ʃ ə l ɑː iː
چلتی	t͡ʃ ə l t̪ iː
چھین	t͡ʃʰ iː n
ڈرامہ	ɖ ə ɾ ɑː m ɑ
کرپٹ	k ə ɾ p ə ʈ
کہانیاں	k ə ɦ ɑː n ɪ j ɑ̃ː
گری	ɡ ə ɾ iː
استحصال	ɪ s t̪ ɪ ɦ s ɑː l
اسکو	ə s k oː
اضافے	ɪ z ɑː f eː
انگریزوں	ə ŋ ɡ ɾ eː z õː
اڈے	ə ɖ eː
ایجاد	iː d͡ʒ ɑː d̪
اینٹی	ĩː ʈ iː
بسر	b ə s ə ɾ
بھرتی	bʱ ə ɾ t̪ iː
بھیجے	bʱ eː d͡ʒ eː
تحریری	t̪ ə ɦ ɾ iː ɾ iː
حساس	ɦ ə s ɑː s
زمینی	z ə m iː n iː
سہی	s ə ɦ iː
شہبازشریف	ʃ ə ɦ b ɑː z ʃ ə ɾ iː f
صوفی	s uː f iː
عراقی	ɪ ɾ ɑː q iː
مری	m ə ɾ iː
نذر	n ə z ə ɾ
نشر	n ə ʃ ə ɾ
واٹر	ʋ ɑː ʈ ə ɾ
پائیں	p ɑː ẽː
پاناما	p ɑː n ɑː m ɑː
پڑھتے	p ə ɽʱ t̪ eː
کٹ	k ə ʈ
گرین	ɡ ə ɾ iː n
گمراہ	ɡ ʊ m ɾ ɑː ɦ
حمل	ɦ ə m ə l
خصوصیت	x ə s uː s ɪ j ə t̪
زد	z ə d̪
سروے	s ə ɾ ʋ eː
شمسی	ʃ ə m s iː
عن	ə n
فہمی	f ə ɦ m iː
قرضے	q ə ɾ z eː
قیدیوں	q ɛː d̪ ɪ j õː
لیکس	l eː k ə s
مشیر	m ə ʃ iː ɾ
نفسیاتی	n ə f s ɪ j ɑː t̪ iː
ورکرز	ʋ ə ɾ k ə ɾ z
وزیرستان	ʋ ə z iː ɾ ɪ s t̪ ɑː n
کالونی	k ɑː l uː n iː
کھولنے	kʰ oː l n eː
گزرنے	ɡ ʊ z ə ɾ n eː
گولیاں	ɡ oː l ɪ j ɑ̃ː
گیٹ	ɡ eː ʈ
اظہر	ə z ɦ ə ɾ
اقرار	ɪ q ɾ ɑː ɾ
انسٹی	ə n s ʈ iː
اٹھے	ə ʈʰ eː
بنوں	b ə n õː
بولتے	b uː l t̪ eː
بڑھے	b ə ɽʱ eː
تہران	t̪ ə ɦ ɾ ɑː n
ذمے	z ə m eː
راس	ɾ ɑː s
زاہد	z ɑː ɦ ɪ d̪
زبانی	z ə b ɑː n iː
ساٹھ	s ɑː ʈʰ
سرے	s ə ɾ eː
عبور	ə b uː ɾ
عصمت	ə s m ə t̪
فاؤنڈیشن	f ɑː ʊ n ɖ eː ʃ ə n
فوائد	f ə ʋ ɑː ɪ d̪
قریش	q ə ɾ iː ʃ
لوں	l õː
مرحلہ	m ə ɾ ɦ ə l ɑ
مرے	m ə ɾ eː
منتقلی	m ʊ n t̪ ə q l iː
ورزی	ʋ ə ɾ z iː
وسط	ʋ ə s t̪
ٹیمیں	ʈ ɛː m ẽː
پہاڑوں	p ə ɦ ɑː ɽ õː
پیارے	p j ɑː ɾ eː
چوتھی	t͡ʃ ɔː t̪ʰ iː
ڈبل	ɖ ə b ə l
ڈھیر	ɖʱ eː ɾ
کلک	k ə l ə k
ہوچکے	ɦ oː t͡ʃ k eː
ائیر	ə iː ɾ
ارد	ə ɾ d̪
اٹلی	ə ʈ l iː
بتانے	b ə t̪ ɑː n eː
بکر	b ə k ə ɾ
تلنگانہ	t̪ ə l ə ŋ ɡ ɑː n ɑ
خبروں	x ə b ɾ õː
دفاتر	d̪ ə f ɑː t̪ ə ɾ
فائر	f ɑː ɪ ɾ
فطری	f ə t̪ ɾ iː
فلمی	f ə l m iː
للہ	l ə l l ɑ
لمبے	l ə m b eː
لکھیں	l ə kʰ ẽː
ماننا	m ɑː n n ɑː
متعین	m ʊ t̪ ə iː n
محتاج	m oː ɦ t̪ ɑː d͡ʒ
مشاورت	m ʊ ʃ ɑː ʋ ə ɾ ə t̪
نااہلی	n ɑː ɦ ɪ l iː
نامے	n ɑː m eː
ورانہ	ʋ ə ɾ ɑː n ɑ
چلو	t͡ʃ ə l oː
کورونا	k oː ɾ oː n ɑː
گامزن	ɡ ɑː m z ə n
گرا	ɡ ə ɾ ɑː
ہوے	ɦ ə ʋ eː
برگ	b ə ɾ ɡ
درآمد	d̪ ə ɾ ɑː m ə d̪
درانی	d̪ ə ɾ ɑː n iː
رحمتہ	ɾ ə ɦ m ə t̪ ɑ
زر	z ə ɾ
زمان	z ə m ɑː n
سکریٹری	s ə k ɾ eː ʈ ɾ iː
قادیانی	q ɑː d̪ ɪ j ɑː n iː
مزے	m ə z eː
ناتھ	n ɑː t̪ʰ
نسلوں	n ə s l õː
ٹکڑے	ʈ ə k ɽ eː
پکڑا	p ə k ɽ ɑː
چلیں	t͡ʃ ə l ẽː
کلچر	k ə l t͡ʃ ə ɾ
انٹر	ə n ʈ ə ɾ
ایئرپورٹ	iː ɪ ɾ p uː ɾ ʈ
بائیکاٹ	b ɑː iː k ɑː ʈ
باشندوں	b ɑː ʃ ɪ n d̪ õː
بدقسمتی	b ə d̪ q ə s m ə t̪ iː
بھال	bʱ ɑː l
توڑنے	t̪ oː ɽ n eː
دیکھئے	d̪ eː kʰ eː
شرف	ʃ ə ɾ f
غلبہ	ɣ ə l b ɑ
قرآنی	q ə ɾ ɑː n iː
لڑکیاں	l ə ɽ k ɪ j ɑ̃ː
مانگی	m ɑː ŋ ɡ iː
نذیر	n ə z iː ɾ
نزول	n ə z uː l
نقش	n ə q ʃ
ولادت	ʋ ə l ɑː d̪ ə t̪
چارہ	t͡ʃ ɑː ɾ ɑ
کامران	k ɑː m ɾ ɑː n
کسانوں	k ə s ɑː n õː
کمپنیاں	k ə m p ə n ɪ j ɑ̃ː
گز	ɡ ʊ z
ہمہ	ɦ ə m m ɑ
الحال	ɪ l ɦ ɑː l
اڑا	ə ɽ ɑː
بائی	b ɑː iː
بدنام	b ə d̪ n ɑː m
بھلائی	bʱ ə l ɑː iː
تصنیف	t̪ ə s n iː f
دئے	d̪ ə eː
دھماکوں	d̪ʱ ə m ɑː k õː
ردعمل	ɾ ə d̪ ə m ə l
سجاد	s ə d͡ʒ ɑː d̪
سختی	s ə x t̪ iː
سرگرمیاں	s ə ɾ ɡ ə ɾ m ɪ j ɑ̃ː
عادی	ɑː d̪ iː
مانگنے	m ɑː ŋ ɡ n eː
معنوں	m ə n õː
وائس	ʋ ɑː ɪ s
ٹن	ʈ ə n
کاپٹر	k ɑː p ʈ ə ɾ
گوگل	ɡ oː ɡ ə l
is	ɪ s
احکامات	ɪ ɦ k ɑː m ɑː t̪
افکار	ə f k ɑː ɾ
اقدار	ɪ q d̪ ɑː ɾ
انگلش	ə ŋ ɡ l ɪ ʃ
ایمرجنسی	iː m ə ɾ d͡ʒ ə n s iː
باکس	b ɑː k ɪ s
بزرگوں	b ə z ə ɾ ɡ õː
بڑھنے	b ə ɽʱ n eː
تائید	t̪ ɑː iː d̪
تبدیلیاں	t̪ ə b d̪ iː l ɪ j ɑ̃ː
تناسب	t̪ ə n ɑː s ɪ b
حارث	ɦ ɑː ɾ ɪ s
ریڈ	ɾ eː ɖ
سنبھال	s ə m bʱ ɑː l
شہریت	ʃ ə ɦ ɾ ɪ j ə t̪
قبلہ	q ə b l ɑ
مغفرت	m ʊ ɣ f ə ɾ ə t̪
نظیر	n ə z iː ɾ
پاشا	p ɑː ʃ ɑː
کلیدی	k ə l iː d̪ iː
ہوم	ɦ uː m
اشتعال	ɪ ʃ t̪ ɪ ɑː l
اٹھائیں	ə ʈʰ ɑː ẽː
اکاؤنٹس	ɪ k ɑː ʊ n ʈ ə s
ایجنڈے	iː d͡ʒ ə n ɖ eː
باضابطہ	b ɑː z ɑː b ɪ t̪ ɑ
بناتا	b ə n ɑː t̪ ɑː
حجم	ɦ ə d͡ʒ ə m
صفت	s ə f t̪
عوامل	ə ʋ ɑː m ɪ l
غیرملکی	ɣ ɛː ɾ m ə l k iː
فار	f ɑː ɾ
قیدی	q ɛː d̪ iː
پڑیں	p ə ɽ ẽː
چمک	t͡ʃ ə m ə k
چھپ	t͡ʃʰ ə p
کرسکے	k ə ɾ ə s k eː
کھایا	kʰ ɑː j ɑː
ہلکی	ɦ ə l k iː
ہندوؤں	ɦ ə n d̪ uː õː
اسرار	ɪ s ɾ ɑː ɾ
اسٹار	ɪ s ʈ ɑː ɾ
انتشار	ɪ n t̪ ɪ ʃ ɑː ɾ
انجیل	ə n d͡ʒ iː l
انڈیز	ə n ɖ eː z
اونچی	ũː t͡ʃ iː
بغداد	b ə ɣ d̪ ɑː d̪
بیلٹ	b eː l ə ʈ
جائیداد	d͡ʒ ɑː iː d̪ ɑː d̪
جایا	d͡ʒ ɑː j ɑː
جہالت	d͡ʒ ə ɦ ɑː l ə t̪
خوشگوار	x oː ʃ ɡ ʋ ɑː ɾ
دھو	d̪ʱ uː
رجب	ɾ ə d͡ʒ ə b
رحمہ	ɾ ə ɦ m ɑ
طول	t̪ uː l
عادل	ɑː d̪ ɪ l
عامہ	ɑː m ɑ
فاتحہ	f ɑː t̪ ɪ ɦ ɑ
فرنٹ	f ə ɾ ə n ʈ
قدمی	q ə d̪ m iː
لڑکوں	l ə ɽ k õː
مقدمے	m ə q d̪ ə m eː
پڑتے	p ə ɽ t̪ eː
ڈان	ɖ ɑː n
کیوایم	k ɛː ʋ ɑː j ə m
گنجائش	ɡ ə n d͡ʒ ɑː ɪ ʃ
ہنر	ɦ ə n ɾ
ہوجاتے	ɦ oː d͡ʒ ɑː t̪ eː
آبائی	ɑː b ɑː iː
اسٹاک	ɪ s ʈ ɑː k
اطلاق	ɪ t̪ l ɑː q
انوار	ə n ʋ ɑː ɾ
اہلسنت	ə ɦ l ə s ə n t̪
بارگاہ	b ɑː ɾ ɡ ɑː ɦ
بتائی	b ə t̪ ɑː iː
برپا	b ə ɾ p ɑː
بناکر	b ə n ɑː k ə ɾ
بڑھتے	b ə ɽʱ t̪ eː
جانتی	d͡ʒ ɑː n t̪ iː
جذبے	d͡ʒ ə z b eː
جھوٹی	d͡ʒʱ uː ʈ iː
حالی	ɦ ɑː l iː
خلیل	x ə l iː l
دہشتگردوں	d̪ ə ɦ ɪ ʃ t̪ ə ɡ ə ɾ d̪ õː
رحمان	ɾ ə ɦ m ɑː n
ستار	s ɪ t̪ ɑː ɾ
سرچ	s ə ɾ t͡ʃ
سیدہ	s iː d̪ ɑ
صحابی	s ə ɦ ɑː b iː
صفات	s ə f ɑː t̪
عمارتوں	ə m ɑː ɾ ə t̪ õː
فکری	f ə k ɾ iː
قد	q ə d̪
مانی	m ɑː n iː
مربوط	m ə ɾ b uː t̪
مس	m ə s
مطلوب	m ə t̪ l uː b
میٹرو	m eː ʈ ɾ oː
نقصانات	n ə q s ɑː n ɑː t̪
ٹورنامنٹ	ʈ uː ɾ n ɑː m ə n ʈ
پلے	p ə l eː
پیشکش	p ɛː ʃ k ɪ ʃ
کارپوریشن	k ɑː ɾ p uː ɾ eː ʃ ə n
کھینچ	kʰ ĩː t͡ʃ
گاڑیاں	ɡ ɑː ɽ ɪ j ɑ̃ː
گہرے	ɡ ə ɦ ɾ eː
ہجری	ɦ ə d͡ʒ ɾ iː
ہٹا	ɦ ə ʈ ɑː
آنحضرت	ɑː n ɦ ə z ɾ ə t̪
اسلئے	ə s l ə j eː
بذریعہ	b ə z ɾ iː ɑ
تشویش	t̪ ə ʃ ʋ eː ʃ
تقاضا	t̪ ə q ɑː z ɑː
توازن	t̪ ə ʋ ɑː z ə n
جملے	d͡ʒ ə m l eː
خریداری	x ə ɾ iː d̪ ɑː ɾ iː
خلوص	x ə l uː s
دیکر	d̪ eː k ə ɾ
ذخائر	z ə x ɑː ɪ ɾ
رہاہے	ɾ ə ɦ ɑː ɦ eː
علامات	ɪ l ɑː m ɑː t̪
قدموں	q ə d̪ m õː
قیصر	q ɛː s ə ɾ
لاء	l ɑː
لوڈشیڈنگ	l oː ɖ ʃ eː ɖ ə ŋ ɡ
لین	l ɛː n
ماحولیاتی	m ɑː ɦ uː l ɪ j ɑː t̪ iː
ملز	m ə l z
نشین	n ə ʃ iː n
نفسیات	n ə f s ɪ j ɑː t̪
پڑنے	p ə ɽ n eː
چاپ	t͡ʃ ɑː p
چن	t͡ʃ ə n
کارنامہ	k ɑː ɾ n ɑː m ɑ
کرانا	k ə ɾ ɑː n ɑː
کرکٹر	k ə ɾ k ə ʈ ə ɾ
گہرائی	ɡ ə ɦ ɾ ɑː iː
ہری	ɦ ə ɾ iː
آپکو	ɑː p ə k oː
اصرار	ɪ s ɾ ɑː ɾ
بہانے	b ə ɦ ɑː n eː
بیورو	b eː ʋ ə ɾ oː
بیٹنگ	b eː ʈ ə ŋ ɡ
جابر	d͡ʒ ɑː b ə ɾ
