να	n a
τμήματοσ	t m i m a t o s
τοπική	t o p i c i
τράπεζεσ	t ɾ a p e z e s
χρησιμοποιούν	x ɾ i s i m o p i u n
όροσ	o ɾ o s
αποκλειστικά	a p o k l i s t i k a
αφήσει	a f i s i
βγάλει	v ɣ a l i
βραβείο	v ɾ a v i o
γνωρίζει	ɣ n o ɾ i z i
γραφεία	ɣ ɾ a f i a
δυνατά	ð i n a t a
ιατρική	i a t ɾ i c i
ιδέεσ	i ð e e s
κάποιουσ	k a p i u s
κανάλι	k a n a l i
κώστα	k o s t a
μετα	m e t a
οικογένειά	i k o ʝ e n i a
ομιλία	o m i l i a
πάρουμε	p a ɾ u m e
πραγματική	p ɾ a ɣ m a t i c i
προ	p ɾ o
πρόσφυγεσ	p ɾ o s f i ʝ e s
σειράσ	s i ɾ a s
σημαντικέσ	s i m a n d i c e s
συνέβη	s i n e v i
τόπο	t o p o
χρειαστεί	x ɾ i a s t i
χτεσ	x t e s
όπλα	o p l a
la	l a
no	n o
έρωτα	e ɾ o t a
βλέπουν	v l e p u n
βρέθηκαν	v ɾ e θ i k a n
βρουν	v ɾ u n
βόμβα	v o ɱ v a
γάλα	ɣ a l a
γλυκιά	ɣ l i c a
ιστορική	i s t o ɾ i c i
κίνημα	c i n i m a
καλύτερεσ	k a l i t e ɾ e s
καταλαβαίνεισ	k a t a l a v e n i s
κιλά	c i l a
λαού	l a u
λεπτομέρειεσ	l e p t o m e ɾ i e s
μισή	m i s i
μμε	m e
παρ	p a ɾ
περιμένουν	p e ɾ i m e n u n
προγράμματα	p ɾ o ɣ ɾ a m a t a
σχόλια	s x o ʎ a
τεστ	t e s t
υπόλοιπο	i p o l i p o
φοβάσαι	f o v a s e
χιλιόμετρα	ç i ʎ o m e t ɾ a
is	i s
άλλου	a l u
αγγλικά	a ŋ ɡ l i k a
ανέφερε	a n e f e ɾ e
αυτοκίνητα	a f t o c i n i t a
βγάζει	v ɣ a z i
δημοσιογράφοσ	ð i m o s i o ɣ ɾ a f o s
είσοδο	i s o ð o
ειδική	i ð i c i
εκδόσεισ	e k ð o s i s
εκπαίδευσησ	e k p e ð e f s i s
επίπεδα	e p i p e ð a
ηλικίασ	i l i c i a s
κανονικά	k a n o n i k a
κεντρικό	c e n d ɾ i k o
κωνσταντίνοσ	k o n s t a n d i n o s
λάβει	l a v i
μετάφραση	m e t a f ɾ a s i
νομίζεισ	n o m i z i s
ουσιαστικά	u s i a s t i k a
παλιό	p a ʎ o
πιστεύουν	p i s t e v u n
πλήρωσ	p l i ɾ o s
πολιτικών	p o l i t i k o n
πόσεσ	p o s e s
σκότωσε	s k o t o s e
συγκεκριμένη	s i ŋ ɟ e k ɾ i m e n i
συνέδριο	s i n e ð ɾ i o
σχολήσ	s x o l i s
σύζυγοσ	s i z i ɣ o s
υπεύθυνοσ	i p e f θ i n o s
υπολογιστή	i p o l o ʝ i s t i
χωρών	x o ɾ o n
όσον	o s o n
ύπαρξη	i p a ɾ k s i
all	a l
έλλειψη	e l i p s i
έτη	e t i
ήλιο	i ʎ o
αμάξι	a m a k s i
βία	v i a
βασίλησ	v a s i l i s
γιατρόσ	ʝ a t ɾ o s
γράμματα	ɣ ɾ a m a t a
γυναίκασ	ʝ i n e k a s
δίνεισ	ð i n i s
δεκαετία	ð e k a e t i a
διαδρομή	ð i̯ a ð ɾ o m i
δρ	ð ɾ
δυτικήσ	ð i t i c i s
είπαμε	i p a m e
επανάσταση	e p a n a s t a s i
εργασίεσ	e ɾ ɣ a s i e s
θύματα	θ i m a t a
κέντρου	c e n d ɾ u
κλείσει	k l i s i
κρατάει	k ɾ a t a i
παίρνεισ	p e ɾ n i s
πιθανό	p i θ a n o
προσφέρει	p ɾ o s f e ɾ i
τάξησ	t a k s i s
τεχνική	t e x n i c i
χρησιμοποιώντασ	x ɾ i s i m o p i o n d a s
όρο	o ɾ o
web	w ɛ b
άμεση	a m e s i
αδελφόσ	a ð e l f o s
αποτελείται	a p o t e l i t e
βασικό	v a s i k o
γάμοσ	ɣ a m o s
δουν	ð u n
δυνατή	ð i n a t i
εξετάσεισ	e k s e t a s i s
κόστοσ	k o s t o s
κώδικα	k o ð i k a
λειτουργίασ	l i t u ɾ ʝ i a s
μαύρη	m a v ɾ i
μεγάλου	m e ɣ a l u
μηνύματα	m i n i m a t a
νέουσ	n e u s
νόμου	n o m u
ομάδων	o m a ð o n
πιστεύει	p i s t e v i
προγράμματοσ	p ɾ o ɣ ɾ a m a t o s
προσπάθειεσ	p ɾ o s p a θ i e s
σήμα	s i m a
τηλ	t i l
χρέοσ	x ɾ e o s
έρευνεσ	e ɾ e v n e s
αγ	a ɣ
αγωνιστική	a ɣ o n i s t i c i
αγώνων	a ɣ o n o n
ανήκουν	a n i k u n
βάθοσ	v a θ o s
γύρο	ʝ i ɾ o
διεθνείσ	ð i e θ n i s
εθνικού	e θ n i k u
εταιρείεσ	e t e ɾ i e s
ικανότητα	i k a n o t i t a
καθημερινή	k a θ i m e ɾ i n i
κόμματα	k o m a t a
λουλούδια	l u l u ð ʝ a
μάθεισ	m a θ i s
ξεκινήσει	k s e c i n i s i
οικογένειεσ	i k o ʝ e n i e s
παίζουν	p e z u n
παίξει	p e k s i
παράθυρο	p a ɾ a θ i ɾ o
πεθάνει	p e θ a n i
προτάσεισ	p ɾ o t a s i s
πρώτησ	p ɾ o t i s
σύμβουλοσ	s i ɱ v u l o s
τούρκοι	t u ɾ c i
υπ	i p
φαινόμενο	f e n o m e n o
όργανα	o ɾ ɣ a n a
αντιδράσεισ	a n d i ð ɾ a s i s
γνωστόσ	ɣ n o s t o s
γράψει	ɣ ɾ a p s i
διαφορετική	ð i̯ a f o ɾ e t i c i
διεθνήσ	ð i e θ n i s
ελεύθερο	e l e f θ e ɾ o
εξαρτάται	e k s a ɾ t a t e
επέστρεψε	e p e s t ɾ e p s e
επιστρέφει	e p i s t ɾ e f i
ευρωπαϊκήσ	e v ɾ o p a i c i s
εχουν	e x u n
ζήσει	z i s i
ζούμε	z u m e
ηγεσία	i ʝ e s i a
καρκίνο	k a ɾ c i n o
μέτρο	m e t ɾ o
μπαίνει	b e n i
πελάτεσ	p e l a t e s
περιφέρειασ	p e ɾ i f e ɾ i a s
πλήθοσ	p l i θ o s
σοβαρό	s o v a ɾ o
στυλ	s t i l
τυχερόσ	t i ç e ɾ o s
όνειρα	o n i ɾ a
me	m e
tv	t e v e
άρη	a ɾ i
έρευνασ	e ɾ e v n a s
αναφέρονται	a n a f e ɾ o n d e
απόδειξη	a p o ð i k s i
απόψεισ	a p o p s i s
αρέσουν	a ɾ e s u n
αυτη	a f t i
βεβαίωσ	v e v e o s
γάμου	ɣ a m u
γεμάτο	ʝ e m a t o
διαβάστε	ð i̯ a v a s t e
είχεσ	i ç e s
επιτρέπει	e p i t ɾ e p i
επομένωσ	e p o m e n o s
ισωσ	i s o s
κέντρα	c e n d ɾ a
κακή	k a c i
κράτη	k ɾ a t i
λίμνη	l i m n i
μητέρασ	m i t e ɾ a s
μηχανή	m i x a n i
νου	n u
οικονομίασ	i k o n o m i a s
ομωσ	o m o s
προστασίασ	p ɾ o s t a s i a s
σετ	s e t
σπουδών	s p u ð o n
τσίπρασ	t͡s i p ɾ a s
φάει	f a i
χρήστοσ	x ɾ i s t o s
χώρου	x o ɾ u
ce	s e
star	s t a ɾ
έδωσαν	e ð o s a n
έτοιμοσ	e t i m o s
αθλητέσ	a θ l i t e s
αι	e
ανάγκεσ	a n a ŋ ɟ e s
αντίθεση	a n d i θ e s i
αστυνομίασ	a s t i n o m i a s
βάζει	v a z i
βιβλίου	v i v l i u
βραδιά	v ɾ a ð ʝ a
διπλό	ð i p l o
δουλειέσ	ð u ʎ e s
δράσησ	ð ɾ a s i s
επιθέσεισ	e p i θ e s i s
επόμενεσ	e p o m e n e s
κάμερα	k a m e ɾ a
κάνοντασ	k a n o n d a s
κατοίκουσ	k a t i k u s
κοινού	c i n u
κοιτάσ	c i t a s
κύκλο	c i k l o
μπάσκετ	b a s c e t
οποίασ	o p i a s
πάρετε	p a ɾ e t e
πέφτει	p e f t i
παρουσίαση	p a ɾ u s i a s i
περιγραφή	p e ɾ i ɣ ɾ a f i
πρωθυπουργού	p ɾ o θ i p u ɾ ɣ u
πρωθυπουργό	p ɾ o θ i p u ɾ ɣ o
σελ	s e l
σκοτώθηκε	s k o t o θ i c e
συναισθήματα	s i n e s θ i m a t a
τεράστιο	t e ɾ a s t i o
τουρκική	t u ɾ c i c i
τρέχει	t ɾ e ç i
υποστηρίζει	i p o s t i ɾ i z i
φασ	f a s
φεύγει	f e v ʝ i
φταίει	f t e i
χρήσησ	x ɾ i s i s
έλεγαν	e l e ɣ a n
αγίασ	a ʝ i a s
ακολούθησε	a k o l u θ i s e
ανθρώπινη	a n θ ɾ o p i n i
απάντησε	a p a n d i s e
αφήστε	a f i s t e
γιά	ʝ a
γωνία	ɣ o n i a
δουλεύει	ð u l e v i
δρόμου	ð ɾ o m u
εγκαταστάσεισ	e ŋ ɡ a t a s t a s i s
ζωέσ	z o e s
καλα	k a l a
καταφέρει	k a t a f e ɾ i
μεγαλύτερεσ	m e ɣ a l i t e ɾ e s
μπορούσα	b o ɾ u s a
μυστικά	m i s t i k a
νερά	n e ɾ a
οδήγησε	o ð i ʝ i s e
οδηγήσει	o ð i ʝ i s i
οφείλεται	o f i l e t e
πάρτε	p a ɾ t e
περισσότερουσ	p e ɾ i s o t e ɾ u s
πληροφοριών	p l i ɾ o f o ɾ ʝ o n
πολιτικόσ	p o l i t i k o s
προέρχεται	p ɾ o e ɾ ç e t e
πρωταθλήματοσ	p ɾ o t a θ l i m a t o s
συνδυασμό	s i n ð i a z m o
τσίπρα	t͡s i p ɾ a
τόποσ	t o p o s
υπουργείου	i p u ɾ ʝ i u
φεκ	f e k
χρονιάσ	x ɾ o ɲ a s
χώρουσ	x o ɾ u s
ψάχνει	p s a x n i
έγκλημα	e ŋ ɡ l i m a
έδειξε	e ð i k s e
έμαθα	e m a θ a
ένταση	e n d a s i
έτοιμη	e t i m i
ανοίγει	a n i ʝ i
αντιμετώπιση	a n d i m e t o p i s i
ασθενείσ	a s θ e n i s
γεμάτη	ʝ e m a t i
δέρμα	ð e ɾ m a
δηλώνει	ð i l o n i
είδαμε	i ð a m e
ελληνίδα	e l i n i ð a
εμφανίζονται	e ɱ f a n i z o n d e
ενδιαφέρει	e n ð i̯ a f e ɾ i
επιχειρήσεων	e p i ç i ɾ i s e o n
θεμα	θ e m a
ιδιαίτερη	i ð i e t e ɾ i
κανεισ	k a n i s
κεντρικήσ	c e n d ɾ i c i s
κοινωνικήσ	c i n o n i c i s
μακάρι	m a k a ɾ i
ματ	m a t
μεγάλων	m e ɣ a l o n
ναό	n a o
ορισμένεσ	o ɾ i z m e n e s
ουρανό	u ɾ a n o
πέρασαν	p e ɾ a s a n
πήγαν	p i ɣ a n
παιδιού	p e ð ʝ u
ποιά	p i a
πολιτών	p o l i t o n
πονάει	p o n a i
πρεμιέρα	p ɾ e m ɲ e ɾ a
προκάλεσε	p ɾ o k a l e s e
σκοπόσ	s k o p o s
σπάνια	s p a ɲ a
τήσ	t i s
υλικά	i l i k a
χειρότερα	ç i ɾ o t e ɾ a
my	m i
super	s u p e ɾ
έρθουν	e ɾ θ u n
ήξερα	i k s e ɾ a
ήρθαν	i ɾ θ a n
αγάπησ	a ɣ a p i s
αναφορέσ	a n a f o ɾ e s
βάλεισ	v a l i s
γερμανίασ	ʝ e ɾ m a n i a s
γεωργίου	ʝ e o ɾ ʝ i u
δέν	ð e n
δείξει	ð i k s i
δικαιωμάτων	ð i c e o m a t o n
δώσε	ð o s e
εκει	e c i
κείμενα	c i m e n a
κει	c i
λεωφορείο	l e o f o ɾ i o
μεγαλύτερα	m e ɣ a l i t e ɾ a
μελέτεσ	m e l e t e s
μετανάστεσ	m e t a n a s t e s
μηνών	m i n o n
ξεκίνησαν	k s e c i n i s a n
οδηγίεσ	o ð i ʝ i e s
παιδική	p e ð i c i
παναθηναϊκόσ	p a n a θ i n a i k o s
περιουσία	p e ɾ i u s i a
πληρώσει	p l i ɾ o s i
προσπαθούν	p ɾ o s p a θ u n
σενάριο	s e n a ɾ i o
στρατόσ	s t ɾ a t o s
σφαίρα	s f e ɾ a
σύγχρονη	s i ŋ x ɾ o n i
σύνδεση	s i n ð e s i
τρόπουσ	t ɾ o p u s
χρησιμοποιούνται	x ɾ i s i m o p i u n d e
air	e ɾ
άμυνασ	a m i n a s
έκλεισε	e k l i s e
ανοιχτό	a n i x t o
βάζεισ	v a z i s
βρισκόταν	v ɾ i s k o t a n
γιώργο	ʝ o ɾ ɣ o
γλώσσασ	ɣ l o s a s
δελτίο	ð e l t i o
δικέσ	ð i c e s
δικόσ	ð i k o s
ειδικό	i ð i k o
εκείνα	e c i n a
επέκταση	e p e k t a s i
επιστήμονεσ	e p i s t i m o n e s
θυμάσαι	θ i m a s e
θυμίζει	θ i m i z i
ισχύ	i s ç i
καί	c e
καλώσ	k a l o s
κατηγορίασ	k a t i ɣ o ɾ i a s
κύπροσ	c i p ɾ o s
νά	n a
νο	n o
οτιδήποτε	o t i ð i p o t e
πάθοσ	p a θ o s
περίοδοσ	p e ɾ i o ð o s
ποιεσ	p i e s
πρώτου	p ɾ o t u
σημερινό	s i m e ɾ i n o
στίχουσ	s t i x u s
στοιχείων	s t i ç i o n
τέρμα	t e ɾ m a
τίτλοσ	t i t l o s
τοίχο	t i x o
υποθέσεισ	i p o θ e s i s
υψηλή	i p s i l i
φόβο	f o v o
χα	x a
ύφοσ	i f o s
black	b l a k
gr	ɡ e ɾ
ήλιοσ	i ʎ o s
αιγαίου	e ʝ e u
απόλυτη	a p o l i t i
αυτοκινήτου	a f t o c i n i t u
γενικό	ʝ e n i k o
γνωρίζουμε	ɣ n o ɾ i z u m e
δάσοσ	ð a s o s
δεκαετίεσ	ð e k a e t i e s
διαχείριση	ð i̯ a ç i ɾ i s i
δικαιοσύνησ	ð i c e o s i n i s
εκατοντάδεσ	e k a t o n d a ð e s
ζεισ	z i s
θύμα	θ i m a
καθαρή	k a θ a ɾ i
καθαρό	k a θ a ɾ o
καθηγητή	k a θ i ʝ i t i
κοινότητασ	c i n o t i t a s
λα	l a
λογικό	l o ʝ i k o
μεσα	m e s a
μιά	m ɲ a
ομίλου	o m i l u
πληθυσμού	p l i θ i z m u
πολ	p o l
πρόσφατη	p ɾ o s f a t i
ρωσίασ	ɾ o s i a s
σημείωσε	s i m i o s e
σοβαρή	s o v a ɾ i
υπουργό	i p u ɾ ɣ o
φαίνονται	f e n o n d e
άνετα	a n e t a
έντονη	e n d o n i
ακούγεται	a k u ʝ e t e
ανατολική	a n a t o l i c i
ανδρέασ	a n ð ɾ e a s
ανοίξει	a n i k s i
ανοιχτά	a n i x t a
αποφάσεισ	a p o f a s i s
αυτα	a f t a
βάσει	v a s i
βγω	v ɣ o
διευθυντή	ð i e f θ i n d i
δικηγόροσ	ð i c i ɣ o ɾ o s
δυτική	ð i t i c i
ερτ	e ɾ t
εσωτερικών	e s o t e ɾ i k o n
ζητήσει	z i t i s i
ημερών	i m e ɾ o n
ηρακλείου	i ɾ a k l i u
θεωρεί	θ e o ɾ i
κάποιου	k a p i u
κατα	k a t a
κατασκευήσ	k a t a s c e v i s
κινήσεισ	c i n i s i s
κυκλοφορία	c i k l o f o ɾ i a
κυκλοφορίασ	c i k l o f o ɾ i a s
λαϊκή	l a i c i
μάθετε	m a θ e t e
μορφέσ	m o ɾ f e s
πάθει	p a θ i
πολλή	p o l i
ποσό	p o s o
πουν	p u n
υπηρεσιών	i p i ɾ e s i o n
υψηλήσ	i p s i l i s
φράση	f ɾ a s i
χρησιμοποίησε	x ɾ i s i m o p i i s e
χωριά	x o ɾ ʝ a
άνδρασ	a n ð ɾ a s
άρθρα	a ɾ θ ɾ a
αγοράσ	a ɣ o ɾ a s
ακολουθούν	a k o l u θ u n
ακούει	a k u i
αντώνησ	a n d o n i s
απειλή	a p i l i
απευθείασ	a p e f θ i a s
αττική	a t i c i
βάλτε	v a l t e
γερμανική	ʝ e ɾ m a n i c i
γιατρό	ʝ a t ɾ o
δώσουν	ð o s u n
εξελίξεισ	e k s e l i k s i s
επιθυμία	e p i θ i m i a
εφημερίδεσ	e f i m e ɾ i ð e s
ιερό	i e ɾ o
ιωάννησ	i o a n i s
ιωαννίνων	i o a n i n o n
κατάλληλη	k a t a l i l i
κενό	c e n o
λάρισασ	l a ɾ i s a s
λαιμό	l e m o
μένουν	m e n u n
μίασ	m i a s
μαζι	m a z i
νίκου	n i k u
ξεκινάει	k s e c i n a i
ξερω	k s e ɾ o
οποιοδήποτε	o p i o ð i p o t e
παιδεία	p e ð i a
πιάσει	p ç a s i
πολιτικοί	p o l i t i c i
ποτε	p o t e
προσφύγων	p ɾ o s f i ɣ o n
πρώτοι	p ɾ o t i
σκληρό	s k l i ɾ o
σταμάτησε	s t a m a t i s e
στοίχημα	s t i ç i m a
στρατού	s t ɾ a t u
συμμετέχει	s i m e t e ç i
τελείωσ	t e l i o s
club	k l u b
έμαθε	e m a θ e
έτοιμοι	e t i m i
ίδιοι	i ð i i
αγορέσ	a ɣ o ɾ e s
αδελφό	a ð e l f o
αναγνώριση	a n a ɣ n o ɾ i s i
ανδρών	a n ð ɾ o n
ανθρώπινο	a n θ ɾ o p i n o
ανοιχτή	a n i x t i
αξίασ	a k s i a s
αυγά	a v ɣ a
βασίζεται	v a s i z e t e
γυναικεία	ʝ i n e c i a
δημιούργησε	ð i m i u ɾ ʝ i s e
δημοτικού	ð i m o t i k u
διάβασα	ð i̯ a v a s a
διαγωνισμόσ	ð i̯ a ɣ o n i z m o s
δικιά	ð i c a
δομή	ð o m i
ζώων	z o o n
θέα	θ e a
ιδιότητεσ	i ð i o t i t e s
καινούργια	c e n u ɾ ʝ a
κυκλοφορεί	c i k l o f o ɾ i
μοντέλα	m o n d e l a
μόνον	m o n o n
νεκρούσ	n e k ɾ u s
νόμιζα	n o m i z a
οηε	o i e
ονομασία	o n o m a s i a
οργάνωσησ	o ɾ ɣ a n o s i s
οργανισμού	o ɾ ɣ a n i z m u
οργανισμόσ	o ɾ ɣ a n i z m o s
παγκοσμίωσ	p a ŋ ɡ o z m i o s
παρουσίασε	p a ɾ u s i a s e
πιστεύεισ	p i s t e v i s
πλοία	p l i a
προσέγγιση	p ɾ o s e ŋ ɟ i s i
ρυθμό	ɾ i θ m o
σκουπίδια	s k u p i ð ʝ a
σπιτιού	s p i t ç u
στείλει	s t i l i
συμβαίνουν	s i ɱ v e n u n
συμβουλέσ	s i ɱ v u l e s
συνέλευση	s i n e l e f s i
συνεργασίασ	s i n e ɾ ɣ a s i a s
συνταγή	s i n d a ʝ i
τό	t o
φάμε	f a m e
φοιτητέσ	f i t i t e s
φυσικήσ	f i s i c i s
φόρεμα	f o ɾ e m a
χει	ç i
άσχημα	a s ç i m a
έξοδο	e k s o ð o
αριστερό	a ɾ i s t e ɾ o
αστείο	a s t i o
βήματα	v i m a t a
βλέμμα	v l e m a
βρίσκει	v ɾ i s c i
γίνεισ	ʝ i n i s
γενικόσ	ʝ e n i k o s
γερμανοί	ʝ e ɾ m a n i
δεκάδεσ	ð e k a ð e s
διαβάσει	ð i̯ a v a s i
διοίκησησ	ð i i c i s i s
δώσουμε	ð o s u m e
δώστε	ð o s t e
εκπρόσωποσ	e k p ɾ o s o p o s
ελ	e l
ελληνικόσ	e l i n i k o s
εξουσίασ	e k s u s i a s
εσωτερική	e s o t e ɾ i c i
κοινωνικό	c i n o n i k o
μπορει	b o ɾ i
ναρκωτικά	n a ɾ k o t i k a
νεα	n e a
ορισμένα	o ɾ i z m e n a
παναθηναϊκό	p a n a θ i n a i k o
ποτήρι	p o t i ɾ i
προτείνει	p ɾ o t i n i
σίγουροσ	s i ɣ u ɾ o s
συμμετέχουν	s i m e t e x u n
τρώει	t ɾ o i
φέρουν	f e ɾ u n
χρέουσ	x ɾ e u s
χωριού	x o ɾ ʝ u
ψάχνεισ	p s a x n i s
it	i t
with	w i θ
έδρασ	e ð ɾ a s
έπιασε	e p ç a s e
ήθελαν	i θ e l a n
ανδρέα	a n ð ɾ e a
βασίλη	v a s i l i
βασική	v a s i c i
γειτονιά	ʝ i t o ɲ a
γιώργου	ʝ o ɾ ɣ u
γραμματέασ	ɣ ɾ a m a t e a s
γυρίσει	ʝ i ɾ i s i
δημιουργεί	ð i m i u ɾ ʝ i
διαπραγματεύσεισ	ð i̯ a p ɾ a ɣ m a t e f s i s
δικαίου	ð i c e u
εμφανίσεισ	e ɱ f a n i s i s
επαγγελματική	e p a ŋ ɟ e l m a t i c i
επόμενα	e p o m e n a
θεωρούν	θ e o ɾ u n
θυμάστε	θ i m a s t e
ιερά	i e ɾ a
κίνδυνοσ	c i n ð i n o s
καθ	k a θ
καταλάβεισ	k a t a l a v i s
κε	c e
κερδίζει	c e ɾ ð i z i
κοινωνίασ	c i n o n i a s
κρέασ	k ɾ e a s
κτλ	k t l
μεγαλύτεροσ	m e ɣ a l i t e ɾ o s
παίζεισ	p e z i s
πειραιώσ	p i ɾ e o s
περάσουν	p e ɾ a s u n
πηγαίνει	p i ʝ e n i
ποινή	p i n i
προκαλέσει	p ɾ o k a l e s i
ροζ	ɾ o z
ρόλοσ	ɾ o l o s
σκοτώνει	s k o t o n i
σκύλο	s c i l o
στήθοσ	s t i θ o s
συνεχίζεται	s i n e ç i z e t e
σχεδίου	s ç e ð i u
σύγκρουση	s i ŋ ɡ r u s i
σύζυγόσ	s i z i ɣ o s
τόσεσ	t o s e s
τύποι	t i p i
τύπουσ	t i p u s
ύψουσ	i p s u s
αδερφή	a ð e ɾ f i
αντίσταση	a n d i s t a s i
απαιτεί	a p e t i
αποκτήσει	a p o k t i s i
αρ	a ɾ
αστυνομικοί	a s t i n o m i c i
αφορούν	a f o ɾ u n
βασίλειο	v a s i l i o
βγάλω	v ɣ a l o
βγούμε	v ɣ u m e
γνωρίζετε	ɣ n o ɾ i z e t e
γράψω	ɣ ɾ a p s o
δήμουσ	ð i m u s
δεδομένου	ð e ð o m e n u
δευτερόλεπτα	ð e f t e ɾ o l e p t a
είδεσ	i ð e s
ειδών	i ð o n
ζεστό	z e s t o
ιδιαίτερο	i ð i e t e ɾ o
ιησού	i i s u
ισχυρή	i s ç i ɾ i
καταστάσεισ	k a t a s t a s i s
κυπέλλου	c i p e l u
κύριοι	c i ɾ i i
λέγοντασ	l e ɣ o n d a s
μαλάκασ	m a l a k a s
μετρό	m e t ɾ o
νίκο	n i k o
οικονομικήσ	i k o n o m i c i s
πάρτυ	p a ɾ t i
πίνακασ	p i n a k a s
ποικιλία	p i c i l i a
προπονητήσ	p ɾ o p o n i t i s
πόσοι	p o s i
σίγουρο	s i ɣ u ɾ o
σκάφοσ	s k a f o s
σκέψου	s c e p s u
συνδέεται	s i n ð e e t e
σύζυγό	s i z i ɣ o
υπουργού	i p u ɾ ɣ u
υπόλοιποι	i p o l i p i
φάω	f a o
φήμη	f i m i
φτιάξει	f t ç a k s i
χριστόσ	x ɾ i s t o s
radio	ɾ a d j o
άνοιγμα	a n i ɣ m a
έβγαλε	e v ɣ a l e
ήξερε	i k s e ɾ e
αγκαλιά	a ŋ ɡ a ʎ a
αλλάζουν	a l a z u n
αλληλεγγύησ	a l i l e ŋ ɟ i i s
αναμνήσεισ	a n a m n i s i s
αντίθετο	a n d i θ e t o
διαφορέσ	ð i̯ a f o ɾ e s
δυτικά	ð i t i k a
ελεύθεροσ	e l e f θ e ɾ o s
ερντογάν	e ɾ d o ɣ a n
ζητά	z i t a
