the	t e
vendidos	v ẽ d͡ʒ i d o s
voltaram	v o w t a ɾ ɐ̃ w̃
vêem	v e ẽ j̃
acesse	a s ɛ s e
acreditamos	a k ɾ e d͡ʒ i t ɐ m o s
amarela	a m a ɾ ɛ l a
análises	a n a l i z e s
atende	a t ẽ d e
básicos	b a z i k o s
colaboradores	k o l a b o ɾ a d o ɾ e s
confesso	k õ f ɛ s o
confirmado	k õ f i ɻ m a d u
conhecimentos	k o ɲ e s i m ẽ t o s
crescendo	k ɾ e s ẽ d o
decidiram	d e s i d͡ʒ i ɾ ɐ̃ w̃
desejos	d e z e ʒ o s
escolhe	e s k o ʎ e
expressa	e s p ɾ ɛ s a
indicam	ĩ d͡ʒ i k ɐ̃ w̃
ligando	l i ɡ ɐ̃ d o
ligou	l i ɡ o
mapas	m a p a s
merecem	m e ɾ ɛ s ẽ j̃
music	m u z i k
negativa	n e ɡ a t͡ʃ i v a
ocorreram	o k o ʁ e ɾ ɐ̃ w̃
pablo	p a b l o
passamos	p a s ɐ m o s
patrick	p a t ɾ i k e
piadas	p i a d a s
promove	p ɾ o m ɔ v e
prontos	p ɾ õ t o s
relacionada	ʁ e l a s i o n a d a
restaurantes	ʁ e s t a w ɾ ɐ̃ t e s
resulta	ʁ e z u w t a
ryan	ʁ i ɐ̃
servidores	s e ɻ v i d o ɾ i s
sofrem	s o f ɾ ẽ j̃
vantagens	v ɐ̃ t a ʒ ẽ j̃ s
vereadores	v e ɾ e a d o ɾ e s
voluntários	v o l ũ t a ɾ i o s
adicionais	a d͡ʒ i s i o n a j s
andrew	ɐ̃ d ɾ e w
caixas	k a j ʃ a s
comece	k o m ɛ s e
confio	k õ f i u
considerou	k õ s i d e ɾ o
contratos	k õ t ɾ a t o s
dimensões	d͡ʒ i m ẽ s õ j̃ s
envie	ĩ v i
exigências	e z i ʒ ẽ s i a s
falsas	f a w s a s
físicos	f i z i k o s
get	ʒ ɛ t͡ʃ
historia	i s t o ɾ i a
il	i w
imediata	i m e d͡ʒ i a t a
impede	ĩ p ɛ d e
justin	ʒ u s t͡ʃ ĩ
meados	m e a d o s
medicamentos	m e d͡ʒ i k a m ẽ t o s
participa	p a ɻ t͡ʃ i s i p ɐ
participando	p a ɻ t͡ʃ i s i p ɐ̃ d u
permitiu	p e ɻ m i t͡ʃ i w
pesada	p e z a d a
sao	s a w
sementes	s e m ẽ t e s
similares	s i m i l a ɾ e s
sobreviventes	s o b ɾ e v i v ẽ t e s
telecomunicações	t ɛ l e k o m u n i k a s õ j̃ s
teorias	t e o ɾ i a s
way	w e j
ate	a t e
campeões	k ɐ̃ p e õ j̃ s
chefes	ʃ ɛ f e s
corresponde	k o ʁ e s p õ d e
costuma	k o s t u m a
datas	d a t a s
divulgou	d͡ʒ i v u w ɡ o
elevada	e l e v a d a
entram	ĩ t ɾ ɐ̃ w̃
etapas	e t a p a s
financeiras	f i n ɐ̃ s e j ɾ a s
flash	f l ɛ ʃ
fundada	f ũ d a d a
imensa	i m ẽ s a
ligadas	l i ɡ a d a s
margens	m a ɻ ʒ ẽ j̃ s
milhas	m i ʎ a s
mudei	m u d e j
observando	o b i s e ɻ v ɐ̃ d u
old	o w d͡ʒ i
pistas	p i s t a s
pontes	p õ t e s
procuram	p ɾ o k u ɾ ɐ̃ w̃
residentes	ʁ e z i d ẽ t e s
terroristas	t e ʁ o ɾ i s t a s
tirei	t͡ʃ i ɾ e j
alcançou	a w k ɐ̃ s o
anne	ɐ n e
bonitas	b o n i t a s
básicas	b a z i k a s
colocada	k o l o k a d a
correntes	k o ʁ ẽ t e s
costumes	k o s t u m e s
criadas	k ɾ i a d a s
debates	d e b a t e s
deveríamos	d e v e ɾ i a m o s
econômicos	e k o n o m i k o s
ensinou	ĩ s i n o
enviados	ĩ v i a d o s
ganham	ɡ ɐ ɲ ɐ̃ w̃
ganharam	ɡ ɐ ɲ a ɾ ɐ̃ w̃
iniciativas	i n i s i a t͡ʃ i v a s
intenções	ĩ t ẽ s õ j̃ s
joseph	ʒ o z ɛ f
levada	l e v a d a
mecanismos	m e k a n i z m o s
partidas	p a ɻ t͡ʃ i d ɐ s
períodos	p e ɾ i o d o s
preocupações	p ɾ e o k u p a s õ j̃ s
preparada	p ɾ e p a ɾ a d a
procedimentos	p ɾ o s e d͡ʒ i m ẽ t o s
propõe	p ɾ o p õ j̃
rapper	ʁ a p e
requer	ʁ e k e
restos	ʁ ɛ s t o s
rádios	ʁ a d͡ʒ i o s
senadores	s e n a d o ɾ e s
servem	s ɛ ɻ v ẽ j̃
adequada	a d e k w a d a
aplicada	a p l i k a d a
aproveite	a p ɾ o v e j t e
aproxima	a p ɾ o k s i m a
assassinos	a s a s i n o s
barcos	b a ɻ k u s
barros	b a ʁ o s
cachorros	k a ʃ o ʁ o s
clássicos	k l a s i k o s
confirma	k õ f i ɻ m ɐ
códigos	k ɔ d͡ʒ i ɡ o s
doentes	d o ẽ t e s
dívidas	d͡ʒ i v i d a s
eleitos	e l e j t o s
enviada	ĩ v i a d a
escritórios	e s k ɾ i t ɔ ɾ i o s
específicos	e s p e s i f i k o s
eterna	e t ɛ ɻ n ɐ
freitas	f ɾ e j t a s
físicas	f i z i k a s
if	i f
iniciado	i n i s i a d o
just	ʒ u s t͡ʃ
listas	l i s t a s
may	m e j
mello	m ɛ l o
mídias	m i d͡ʒ i a s
ocasiões	o k a z i õ j̃ s
olímpicos	o l ĩ p i k o s
prédios	p ɾ ɛ d͡ʒ i o s
publicadas	p u b l i k a d a s
rachel	ʁ a ʃ ɛ w
registo	ʁ e ʒ i s t o
registrado	ʁ e ʒ i s t ɾ a d o
secreta	s e k ɾ e t a
selvagens	s e w v a ʒ ẽ j̃ s
state	i s t a t e
surgiram	s u ɻ ʒ i ɾ ɐ̃ w̃
tendem	t ẽ d ẽ j̃
tomadas	t o m a d a s
aprovou	a p ɾ o v o
assinou	a s i n o
baixas	b a j ʃ a s
blogs	b l ɔ ɡ i s
casou	k a z o
causado	k a w z a d o
construções	k õ s t ɾ u s õ j̃ s
contatos	k õ t a t o s
desenvolvida	d e z ĩ v o w v i d a
dirigido	d͡ʒ i ɾ i ʒ i d o
dorme	d ɔ ɻ m i
esperam	e s p ɛ ɾ ɐ̃ w̃
existia	e z i s t͡ʃ i a
ficarem	f i k a ɾ ẽ j̃
first	f i ɻ s t͡ʃ
identificado	i d ẽ t͡ʃ i f i k a d o
idosos	i d o z o s
jessica	ʒ e s i k a
michelle	m i ʃ ɛ l e
mostrado	m o s t ɾ a d o
observa	o b i s ɛ ɻ v ɐ
oferecendo	o f e ɾ e s ẽ d o
pedaços	p e d a s o s
perdas	p ɛ ɻ d ɐ s
poemas	p o e m a s
preparados	p ɾ e p a ɾ a d o s
resolve	ʁ e z ɔ w v e
restantes	ʁ e s t ɐ̃ t e s
restrições	ʁ e s t ɾ i s õ j̃ s
resíduos	ʁ e z i d u o s
salvou	s a w v o
segui	s e ɡ i
sir	s i
sugestões	s u ʒ e s t õ j̃ s
traduzido	t ɾ a d u z i d o
transforma	t ɾ ɐ̃ s f ɔ ɻ m ɐ
visando	v i z ɐ̃ d o
acreditava	a k ɾ e d͡ʒ i t a v a
aplicativos	a p l i k a t͡ʃ i v o s
chamas	ʃ ɐ m a s
combina	k õ b i n a
constitui	k õ s t͡ʃ i t u j
consumidores	k õ s u m i d o ɾ e s
destinado	d e s t͡ʃ i n a d o
deviam	d e v i ɐ̃ w̃
escolhi	e s k o ʎ i
especializada	e s p e s i a l i z a d a
esperanças	e s p e ɾ ɐ̃ s a s
estabelece	e s t a b e l ɛ s e
expressões	e s p ɾ e s õ j̃ s
falsos	f a w s o s
favorita	f a v o ɾ i t a
fechou	f e ʃ o
governamentais	ɡ o v e ɻ n a m ẽ t a j s
investidores	ĩ v e s t͡ʃ i d o ɾ e s
juntou	ʒ ũ t o
mencionado	m ẽ s i o n a d o
modernos	m o d ɛ ɻ n u s
oficinas	o f i s i n a s
pmdb	p e ɛ m d e b e
positivas	p o z i t͡ʃ i v a s
prevista	p ɾ e v i s t a
pudessem	p u d ɛ s ẽ j̃
queridos	k e ɾ i d o s
químicos	k i m i k o s
rebeldes	ʁ e b ɛ w d e s
recomendo	ʁ e k o m ẽ d o
relevantes	ʁ e l e v ɐ̃ t e s
sentimos	s ẽ t͡ʃ i m o s
tribunais	t ɾ i b u n a j s
urbanos	u ɻ b ɐ̃ n u s
vargas	v a ɻ ɡ ɐ s
vendendo	v ẽ d ẽ d o
vendeu	v ẽ d e w
viajando	v i a ʒ ɐ̃ d o
alvos	a w v o s
amava	a m a v a
apoia	a p ɔ j a
assassinatos	a s a s i n a t o s
bruce	b ɾ u s e
causada	k a w z a d a
completou	k õ p l e t o
considero	k õ s i d e ɾ o
crenças	k ɾ ẽ s a s
defendendo	d e f ẽ d ẽ d o
descendentes	d e s ẽ d ẽ t e s
discos	d͡ʒ i s k o s
específicas	e s p e s i f i k a s
estuda	e s t u d a
gerou	ʒ e ɾ o
gravações	ɡ ɾ a v a s õ j̃ s
impressões	ĩ p ɾ e s õ j̃ s
jay	ʒ e j
laços	l a s o s
ligue	l i ɡ e
limitada	l i m i t a d a
muçulmanos	m u s u w m ɐ n o s
nativos	n a t͡ʃ i v o s
ocidentais	o s i d ẽ t a j s
palestras	p a l ɛ s t ɾ a s
planejado	p l a n e ʒ a d o
publica	p u b l i k a
recebemos	ʁ e s e b e m o s
roubado	ʁ o b a d o
sa	s a
segurando	s e ɡ u ɾ ɐ̃ d o
temperaturas	t ẽ p e ɾ a t u ɾ a s
une	u n e
vegas	v ɛ ɡ a s
afasta	a f a s t a
anúncios	a n ũ s i o s
barbara	b a ɻ b a ɾ ɐ
book	b u k e
camadas	k a m a d a s
claudia	k l a w d͡ʒ i a
critica	k ɾ i t͡ʃ i k a
curtas	k u ɻ t ɐ s
definida	d e f i n i d a
dirigentes	d͡ʒ i ɾ i ʒ ẽ t e s
económica	e k o n ɔ m i k a
esconde	e s k õ d e
espanhóis	e s p ɐ ɲ ɔ j s
feridas	f e ɾ i d a s
gigantes	ʒ i ɡ ɐ̃ t e s
loucos	l o k o s
lucros	l u k ɾ o s
mudam	m u d ɐ̃ w̃
national	n a t͡ʃ i o n a w
pares	p a ɾ e s
pedem	p ɛ d ẽ j̃
provoca	p ɾ o v ɔ k a
registrou	ʁ e ʒ i s t ɾ o
religiões	ʁ e l i ʒ i õ j̃ s
sampaio	s ɐ̃ p a j o
suja	s u ʒ a
telemóvel	t e l e m ɔ v e w
transmitido	t ɾ ɐ̃ z m i t͡ʃ i d o
xix	ʃ i k s
acompanhe	a k õ p ɐ ɲ e
aprende	a p ɾ ẽ d e
atacou	a t a k o
aventuras	a v ẽ t u ɾ a s
bastidores	b a s t͡ʃ i d o ɾ e s
brinquedos	b ɾ ĩ k e d o s
clássica	k l a s i k a
colocados	k o l o k a d o s
comparado	k õ p a ɾ a d o
criaram	k ɾ i a ɾ ɐ̃ w̃
divulgada	d͡ʒ i v u w ɡ a d a
favoritos	f a v o ɾ i t o s
garotos	ɡ a ɾ o t o s
happy	ʁ a p i
hipóteses	i p ɔ t e z e s
inocentes	i n o s ẽ t e s
jogado	ʒ o ɡ a d o
junte	ʒ ũ t e
mediante	m e d͡ʒ i ɐ̃ t e
mexe	m ɛ k s e
miller	m i l e
missões	m i s õ j̃ s
negras	n ɛ ɡ ɾ a s
olhares	o ʎ a ɾ e s
origens	o ɾ i ʒ ẽ j̃ s
pagam	p a ɡ ɐ̃ w̃
paradas	p a ɾ a d a s
part	p a ɻ t͡ʃ
participam	p a ɻ t͡ʃ i s i p ɐ̃ w̃
perdidos	p e ɻ d͡ʒ i d u s
personalidades	p e ɻ s o n a l i d a d͡ʒ i s
privados	p ɾ i v a d o s
referido	ʁ e f e ɾ i d o
relacionamentos	ʁ e l a s i o n a m ẽ t o s
responsabilidades	ʁ e s p õ s a b i l i d a d e s
rick	ʁ i k e
team	t e ɐ̃ w̃
unesco	u n e s k o
visitou	v i z i t o
acompanhamento	a k õ p ɐ ɲ a m ẽ t o
afirmam	a f i ɻ m ɐ̃ w̃
amantes	a m ɐ̃ t e s
aparelhos	a p a ɾ e ʎ o s
apresentadas	a p ɾ e z ẽ t a d a s
armados	a ɻ m a d u s
av	a v e
avanços	a v ɐ̃ s o s
barreiras	b a ʁ e j ɾ a s
buscam	b u s k ɐ̃ w̃
criativa	k ɾ i a t͡ʃ i v a
criei	k ɾ i e j
encontrava	ĩ k õ t ɾ a v a
enormes	e n ɔ ɻ m i s
envolvida	ĩ v o w v i d a
fox	f ɔ k s
gravado	ɡ ɾ a v a d o
guerreiros	ɡ e ʁ e j ɾ o s
idiomas	i d͡ʒ i o m a s
infantis	ĩ f ɐ̃ t͡ʃ i s
integrado	ĩ t e ɡ ɾ a d o
obama	o b ɐ m a
observações	o b i s e ɻ v a s õ j̃ s
party	p a ɻ t͡ʃ i
pilotos	p i l ɔ t o s
pratos	p ɾ a t o s
procurou	p ɾ o k u ɾ o
reconhecida	ʁ e k o ɲ e s i d a
seios	s e j o s
sentidos	s ẽ t͡ʃ i d o s
things	t ĩ ɡ i s
variam	v a ɾ i ɐ̃ w̃
vence	v ẽ s e
únicas	u n i k a s
agrícolas	a ɡ ɾ i k o l a s
animada	a n i m a d a
billy	b i l i
colocaram	k o l o k a ɾ ɐ̃ w̃
demandas	d e m ɐ̃ d a s
desenvolve	d e z ĩ v ɔ w v e
enfrenta	ĩ f ɾ ẽ t a
estilos	e s t͡ʃ i l o s
exclusiva	e s k l u z i v a
executado	e z e k u t a d o
faleceu	f a l e s e w
ferimentos	f e ɾ i m ẽ t o s
ford	f ɔ ɻ d͡ʒ i
imaginei	i m a ʒ i n e j
internas	ĩ t ɛ ɻ n ɐ s
johnson	ʒ õ s õ
lewis	l e w i s
liberado	l i b e ɾ a d o
pagou	p a ɡ o
permita	p e ɻ m i t ɐ
plus	p l u j s
poderosos	p o d e ɾ o z o s
queiroz	k e j ɾ ɔ j s
reflete	ʁ e f l ɛ t e
resolvido	ʁ e z o w v i d o
sucedida	s u s e d͡ʒ i d a
surgem	s u ɻ ʒ ẽ j̃
usá	u z a
visuais	v i z u a j s
votou	v o t o
ya	j a
abençoe	a b ẽ s o e
acessos	a s ɛ s o s
amamos	a m ɐ m o s
america	a m e ɾ i k a
apresentados	a p ɾ e z ẽ t a d o s
associada	a s o s i a d a
blue	b l u e
casamentos	k a z a m ẽ t o s
constantes	k õ s t ɐ̃ t e s
continuem	k õ t͡ʃ i n u ẽ j̃
correta	k o ʁ e t a
dean	d e ɐ̃
ensaios	ĩ s a j o s
escolhidos	e s k o ʎ i d o s
essenciais	e s ẽ s i a j s
estariam	e s t a ɾ i ɐ̃ w̃
estrangeira	e s t ɾ ɐ̃ ʒ e j ɾ a
here	ɛ ɾ e
horários	o ɾ a ɾ i o s
ideais	i d e a j s
idiotas	i d͡ʒ i ɔ t a s
ip	i p e
jeff	ʒ ɛ f
jimmy	ʒ ĩ m i
julgado	ʒ u w ɡ a d o
massas	m a s a s
mudado	m u d a d o
pediram	p e d͡ʒ i ɾ ɐ̃ w̃
perigosa	p e ɾ i ɡ ɔ z a
praias	p ɾ a j a s
reconheceu	ʁ e k o ɲ e s e w
refugiados	ʁ e f u ʒ i a d o s
registrada	ʁ e ʒ i s t ɾ a d a
registrados	ʁ e ʒ i s t ɾ a d o s
retirado	ʁ e t͡ʃ i ɾ a d o
seguiram	s e ɡ i ɾ ɐ̃ w̃
sergio	s e ɻ ʒ i u
sigam	s i ɡ ɐ̃ w̃
visite	v i z i t e
acordei	a k o ɻ d e j
anunciada	a n ũ s i a d a
aproveitando	a p ɾ o v e j t ɐ̃ d o
band	b ɐ̃ d͡ʒ i
caros	k a ɾ o s
carregando	k a ʁ e ɡ ɐ̃ d o
christian	ʃ ɾ i s t͡ʃ i ɐ̃
convida	k õ v i d a
costumam	k o s t u m ɐ̃ w̃
destacando	d e s t a k ɐ̃ d o
determina	d e t e ɻ m ĩ n ɐ
doações	d o a s õ j̃ s
entradas	ĩ t ɾ a d a s
envolveu	ĩ v o w v e w
faltando	f a w t ɐ̃ d o
familia	f a m i l i a
famosas	f a m ɔ z a s
frutos	f ɾ u t o s
gordon	ɡ o ɻ d õ
gostaríamos	ɡ o s t a ɾ i a m o s
guardas	ɡ w a ɻ d ɐ s
implica	ĩ p l i k a
lançaram	l ɐ̃ s a ɾ ɐ̃ w̃
levados	l e v a d o s
malas	m a l a s
morrem	m o ʁ ẽ j̃
namorados	n a m o ɾ a d o s
never	n e v e
noticias	n o t͡ʃ i s i a s
orgulhosa	o ɻ ɡ u ʎ ɔ z ɐ
pertencem	p e ɻ t ẽ s ẽ j̃
potter	p ɔ t e
protegido	p ɾ o t e ʒ i d o
quadrados	k w a d ɾ a d o s
relativa	ʁ e l a t͡ʃ i v a
respondendo	ʁ e s p õ d ẽ d o
situado	s i t u a d o
sugeriu	s u ʒ e ɾ i w
supervisão	s u p e ɻ v i z ɐ̃ w̃
surpreende	s u ɻ p ɾ e ẽ d͡ʒ i
típica	t͡ʃ i p i k a
una	u n a
índices	ĩ d͡ʒ i s e s
andy	ɐ̃ d͡ʒ i
apareceram	a p a ɾ e s e ɾ ɐ̃ w̃
automóveis	a w t o m ɔ v e j s
autorizado	a w t o ɾ i z a d o
baseados	b a z e a d o s
boatos	b o a t o s
capítulos	k a p i t u l o s
comentando	k o m ẽ t ɐ̃ d o
conexões	k o n e k s õ j̃ s
crises	k ɾ i z e s
câmaras	k ɐ m a ɾ a s
dave	d a v e
davis	d a v i s
declarado	d e k l a ɾ a d o
descobertas	d e s k o b ɛ ɻ t ɐ s
envolvidas	ĩ v o w v i d a s
iniciada	i n i s i a d a
league	l e a ɡ e
levantou	l e v ɐ̃ t o
men	m ẽ j̃
mentes	m ẽ t e s
mostre	m ɔ s t ɾ e
negativos	n e ɡ a t͡ʃ i v o s
olímpica	o l ĩ p i k a
over	o v e
parecida	p a ɾ e s i d a
polícias	p o l i s i a s
positivos	p o z i t͡ʃ i v o s
presas	p ɾ e z a s
provocou	p ɾ o v o k o
secção	s e k s ɐ̃ w̃
sofrido	s o f ɾ i d o
tambem	t ɐ̃ b ẽ j̃
tire	t͡ʃ i ɾ e
variações	v a ɾ i a s õ j̃ s
abri	a b ɾ i
africanos	a f ɾ i k ɐ n o s
alegando	a l e ɡ ɐ̃ d o
apontam	a p õ t ɐ̃ w̃
awards	a w a ɻ d͡ʒ i s
batalhas	b a t a ʎ a s
cita	s i t a
comerciantes	k o m e ɻ s i ɐ̃ t͡ʃ i s
concordou	k õ k o ɻ d o
criaturas	k ɾ i a t u ɾ a s
desejam	d e z e ʒ ɐ̃ w̃
desistiu	d e z i s t͡ʃ i w
diários	d͡ʒ i a ɾ i o s
eleita	e l e j t a
eleitorais	e l e j t o ɾ a j s
espíritos	e s p i ɾ i t o s
expulso	e s p u w s o
hope	ɔ p e
indicada	ĩ d͡ʒ i k a d a
indicações	ĩ d͡ʒ i k a s õ j̃ s
inscritos	ĩ s k ɾ i t o s
inteligentes	ĩ t e l i ʒ ẽ t e s
jon	ʒ õ
liguei	l i ɡ e j
master	m a s t e
noel	n o ɛ w
oliver	o l i v e
produziu	p ɾ o d u z i w
realizando	ʁ e a l i z ɐ̃ d o
receitas	ʁ e s e j t a s
relata	ʁ e l a t a
respeita	ʁ e s p e j t a
revelado	ʁ e v e l a d o
seguidos	s e ɡ i d o s
yo	j o
andrea	ɐ̃ d ɾ e a
atrações	a t ɾ a s õ j̃ s
bandeiras	b ɐ̃ d e j ɾ a s
business	b u z i n ɛ s
classificados	k l a s i f i k a d o s
confirmada	k õ f i ɻ m a d ɐ
dançando	d ɐ̃ s ɐ̃ d o
defensores	d e f ẽ s o ɾ e s
denúncias	d e n ũ s i a s
desapareceu	d e z a p a ɾ e s e w
envia	ĩ v i a
estrangeiras	e s t ɾ ɐ̃ ʒ e j ɾ a s
estudando	e s t u d ɐ̃ d o
exercícios	e z e ɻ s i s i u s
grand	ɡ ɾ ɐ̃ d͡ʒ i
itunes	i t u n e s
lendas	l ẽ d a s
marcando	m a ɻ k ɐ̃ d u
medalhas	m e d a ʎ a s
ne	n e
negou	n e ɡ o
nucleares	n u k l e a ɾ e s
oferecem	o f e ɾ ɛ s ẽ j̃
oferecido	o f e ɾ e s i d o
parcerias	p a ɻ s e ɾ i ɐ s
planejando	p l a n e ʒ ɐ̃ d o
pretendo	p ɾ e t ẽ d o
prioridades	p ɾ i o ɾ i d a d e s
quantidades	k w ɐ̃ t͡ʃ i d a d e s
residências	ʁ e z i d ẽ s i a s
responda	ʁ e s p õ d a
situada	s i t u a d a
símbolos	s ĩ b o l o s
tecidos	t e s i d o s
terminei	t e ɻ m i n e j
tomaram	t o m a ɾ ɐ̃ w̃
traduções	t ɾ a d u s õ j̃ s
traços	t ɾ a s o s
visualizações	v i z u a l i z a s õ j̃ s
wi	w i
acordou	a k o ɻ d o
air	a i
atualizações	a t u a l i z a s õ j̃ s
candidata	k ɐ̃ d͡ʒ i d a t a
causados	k a w z a d o s
cinemas	s i n e m a s
claras	k l a ɾ a s
complicada	k õ p l i k a d a
confrontos	k õ f ɾ õ t o s
continuaram	k õ t͡ʃ i n u a ɾ ɐ̃ w̃
controla	k õ t ɾ ɔ l a
corridas	k o ʁ i d a s
dance	d ɐ̃ s e
descobriram	d e s k o b ɾ i ɾ ɐ̃ w̃
desenvolvendo	d e z ĩ v o w v ẽ d o
discursos	d͡ʒ i s k u ɻ s u s
discutindo	d͡ʒ i s k u t͡ʃ ĩ d o
end	ẽ d͡ʒ i
falecido	f a l e s i d o
fantástica	f ɐ̃ t a s t͡ʃ i k a
foge	f ɔ ʒ e
gerando	ʒ e ɾ ɐ̃ d o
inspirada	ĩ s p i ɾ a d a
judiciais	ʒ u d͡ʒ i s i a j s
legendas	l e ʒ ẽ d a s
minerais	m i n e ɾ a j s
montes	m õ t e s
mp	ɛ m p e
multi	m u w t͡ʃ i
office	o f i s e
orações	o ɾ a s õ j̃ s
parques	p a ɻ k i s
partindo	p a ɻ t͡ʃ ĩ d u
poderíamos	p o d e ɾ i a m o s
produções	p ɾ o d u s õ j̃ s
promovendo	p ɾ o m o v ẽ d o
provenientes	p ɾ o v e n i ẽ t e s
radicais	ʁ a d͡ʒ i k a j s
realizaram	ʁ e a l i z a ɾ ɐ̃ w̃
reduzida	ʁ e d u z i d a
road	ʁ o a d͡ʒ
robin	ʁ o b ĩ
romero	ʁ o m ɛ ɾ o
service	s e ɻ v i s i
terrenos	t e ʁ e n o s
transformando	t ɾ ɐ̃ s f o ɻ m ɐ̃ d u
usaram	u z a ɾ ɐ̃ w̃
vilas	v i l a s
williams	w i l i ɐ̃ s
agindo	a ʒ ĩ d o
agricultores	a ɡ ɾ i k u w t o ɾ e s
albert	a w b ɛ ɻ
assembléia	a s ẽ b l ɛ j a
baixe	b a j ʃ e
bares	b a ɾ e s
britânicos	b ɾ i t ɐ n i k o s
caminhões	k a m i ɲ õ j̃ s
científicos	s i ẽ t͡ʃ i f i k o s
controlada	k õ t ɾ o l a d a
controlado	k õ t ɾ o l a d o
denominado	d e n o m i n a d o
doc	d ɔ k e
dra	d ɾ a
engenheiros	ĩ ʒ e ɲ e j ɾ o s
estivessem	e s t͡ʃ i v ɛ s ẽ j̃
fundadores	f ũ d a d o ɾ e s
garantiu	ɡ a ɾ ɐ̃ t͡ʃ i w
gregos	ɡ ɾ ɛ ɡ o s
históricas	i s t ɔ ɾ i k a s
incluído	ĩ k l u i d o
indicando	ĩ d͡ʒ i k ɐ̃ d o
jerry	ʒ ɛ ʁ i
karen	k a ɾ ẽ j̃
kids	k i d͡ʒ i s
let	l ɛ t͡ʃ
limitações	l i m i t a s õ j̃ s
litros	l i t ɾ o s
maluca	m a l u k a
memorial	m e m o ɾ i a w
mestres	m ɛ s t ɾ e s
non	n õ
obrigações	o b ɾ i ɡ a s õ j̃ s
organismos	o ɻ ɡ a n i z m u s
prévia	p ɾ ɛ v i a
qualidades	k w a l i d a d e s
tratando	t ɾ a t ɐ̃ d o
villa	v i l a
wall	w ɔ w
acompanhou	a k õ p ɐ ɲ o
acrescenta	a k ɾ e s ẽ t a
acções	a k s õ j̃ s
ampliar	ɐ̃ p l i a
associadas	a s o s i a d a s
bang	b ɐ̃ ɡ e
bebendo	b e b ẽ d o
combustíveis	k õ b u s t͡ʃ i v e j s
conclusões	k õ k l u z õ j̃ s
condenados	k õ d e n a d o s
considere	k õ s i d ɛ ɾ e
convidou	k õ v i d o
coordenadas	k o o ɻ d e n a d ɐ s
corredores	k o ʁ e d o ɾ e s
demitido	d e m i t͡ʃ i d o
demonstrou	d e m õ s t ɾ o
dennis	d e n i s
departamentos	d e p a ɻ t a m ẽ t u s
destinada	d e s t͡ʃ i n a d a
diárias	d͡ʒ i a ɾ i a s
domínios	d o m i n i o s
dum	d ũ
encontrará	ĩ k õ t ɾ a ɾ a
fios	f i u s
fiscais	f i s k a j s
fornecedores	f o ɻ n e s e d o ɾ i s
fáceis	f a s e j s
gases	ɡ a z e s
gloria	ɡ l o ɾ i a
infra	ĩ f ɾ a
jo	ʒ o
lesões	l e z õ j̃ s
levá	l e v a
literária	l i t e ɾ a ɾ i a
luke	l u k e
mantida	m ɐ̃ t͡ʃ i d a
marie	m a ɾ i
medeiros	m e d e j ɾ o s
morgan	m o ɻ ɡ ɐ̃
mísseis	m i s e j s
negativas	n e ɡ a t͡ʃ i v a s
observado	o b i s e ɻ v a d u
perdem	p ɛ ɻ d ẽ j̃
pinturas	p ĩ t u ɾ a s
praças	p ɾ a s a s
primos	p ɾ i m o s
profundas	p ɾ o f ũ d a s
pára	p a ɾ a
relatou	ʁ e l a t o
representado	ʁ e p ɾ e z ẽ t a d o
resume	ʁ e z u m e
sean	s e ɐ̃
selecionados	s e l e s i o n a d o s
servido	s e ɻ v i d u
stan	i s t ɐ̃
suprema	s u p ɾ e m a
surpresas	s u ɻ p ɾ e z ɐ s
tentado	t ẽ t a d o
urbanas	u ɻ b ɐ̃ n ɐ s
vladimir	v l a d͡ʒ i m i
admite	a d͡ʒ i m i t e
adversários	a d͡ʒ i v e ɻ s a ɾ i u s
apoiado	a p o j a d o
apontou	a p õ t o
autorais	a w t o ɾ a j s
bonitos	b o n i t o s
bush	b u ʃ
cbf	s e b e ɛ f
cds	s e d e j s
chamaram	ʃ a m a ɾ ɐ̃ w̃
complexa	k õ p l ɛ k s a
conferências	k õ f e ɾ ẽ s i a s
constituem	k õ s t͡ʃ i t u ẽ j̃
cuidando	k u j d ɐ̃ d o
defeitos	d e f e j t o s
diretrizes	d͡ʒ i ɾ e t ɾ i z e s
dispostos	d͡ʒ i s p o s t o s
dêem	d e ẽ j̃
emissoras	e m i s o ɾ a s
especializado	e s p e s i a l i z a d o
estudou	e s t u d o
femininas	f e m i n i n a s
incidentes	ĩ s i d ẽ t e s
iso	i z o
jordan	ʒ o ɻ d ɐ̃
lucrativos	l u k ɾ a t͡ʃ i v o s
manifestantes	m a n i f e s t ɐ̃ t e s
melhorias	m e ʎ o ɾ i a s
mencionou	m ẽ s i o n o
monstros	m õ s t ɾ o s
morando	m o ɾ ɐ̃ d o
musica	m u z i k a
page	p a ʒ e
pareça	p a ɾ ɛ s a
perfis	p e ɻ f i s
permanecem	p e ɻ m a n ɛ s ẽ j̃
postado	p o s t a d o
preocupados	p ɾ e o k u p a d o s
pretendia	p ɾ e t ẽ d͡ʒ i a
proteínas	p ɾ o t e i n a s
reclamações	ʁ e k l a m a s õ j̃ s
requisitos	ʁ e k i z i t o s
resolvi	ʁ e z o w v i
stephen	i s t e f ẽ j̃
voice	v ɔ j s e
voltada	v o w t a d a
want	w ɐ̃ t͡ʃ
barras	b a ʁ a s
buracos	b u ɾ a k o s
