να	n a
ικανότητα	i k a n o t i t a
καθημερινή	k a θ i m e ɾ i n i
κόμματα	k o m a t a
λουλούδια	l u l u ð ʝ a
μάθεισ	m a θ i s
ξεκινήσει	k s e c i n i s i
οικογένειεσ	i k o ʝ e n i e s
παίζουν	p e z u n
παράθυρο	p a ɾ a θ i ɾ o
πεθάνει	p e θ a n i
προτάσεισ	p ɾ o t a s i s
πρώτησ	p ɾ o t i s
σύμβουλοσ	s i ɱ v u l o s
τούρκοι	t u ɾ c i
υπ	i p
φαινόμενο	f e n o m e n o
όργανα	o ɾ ɣ a n a
αντιδράσεισ	a n d i ð ɾ a s i s
γνωστόσ	ɣ n o s t o s
διαφορετική	ð i̯ a f o ɾ e t i c i
ελεύθερο	e l e f θ e ɾ o
εξαρτάται	e k s a ɾ t a t e
επέστρεψε	e p e s t ɾ e p s e
επιστρέφει	e p i s t ɾ e f i
εχουν	e x u n
ζήσει	z i s i
ζούμε	z u m e
ηγεσία	i ʝ e s i a
μπαίνει	b e n i
πελάτεσ	p e l a t e s
πλήθοσ	p l i θ o s
σοβαρό	s o v a ɾ o
τυχερόσ	t i ç e ɾ o s
όνειρα	o n i ɾ a
άρη	a ɾ i
έρευνασ	e ɾ e v n a s
αναφέρονται	a n a f e ɾ o n d e
απόδειξη	a p o ð i k s i
αρέσουν	a ɾ e s u n
αυτη	a f t i
βεβαίωσ	v e v e o s
γάμου	ɣ a m u
γεμάτο	ʝ e m a t o
επιτρέπει	e p i t ɾ e p i
επομένωσ	e p o m e n o s
ισωσ	i s o s
κέντρα	c e n d ɾ a
κακή	k a c i
κράτη	k ɾ a t i
λίμνη	l i m n i
μηχανή	m i x a n i
νου	n u
οικονομίασ	i k o n o m i a s
ομωσ	o m o s
προστασίασ	p ɾ o s t a s i a s
σετ	s e t
σπουδών	s p u ð o n
τσίπρασ	t͡s i p ɾ a s
φάει	f a i
χρήστοσ	x ɾ i s t o s
χώρου	x o ɾ u
έδωσαν	e ð o s a n
έτοιμοσ	e t i m o s
αθλητέσ	a θ l i t e s
αι	e
ανάγκεσ	a n a ŋ ɟ e s
αντίθεση	a n d i θ e s i
αστυνομίασ	a s t i n o m i a s
βάζει	v a z i
βιβλίου	v i v l i u
βραδιά	v ɾ a ð ʝ a
διπλό	ð i p l o
δουλειέσ	ð u ʎ e s
δράσησ	ð ɾ a s i s
επιθέσεισ	e p i θ e s i s
επόμενεσ	e p o m e n e s
κάμερα	k a m e ɾ a
κάνοντασ	k a n o n d a s
κατοίκουσ	k a t i k u s
κοινού	c i n u
κοιτάσ	c i t a s
κύκλο	c i k l o
μπάσκετ	b a s c e t
οποίασ	o p i a s
πάρετε	p a ɾ e t e
πέφτει	p e f t i
παρουσίαση	p a ɾ u s i a s i
πρωθυπουργού	p ɾ o θ i p u ɾ ɣ u
πρωθυπουργό	p ɾ o θ i p u ɾ ɣ o
σελ	s e l
σκοτώθηκε	s k o t o θ i c e
συναισθήματα	s i n e s θ i m a t a
τουρκική	t u ɾ c i c i
τρέχει	t ɾ e ç i
υποστηρίζει	i p o s t i ɾ i z i
φασ	f a s
φταίει	f t e i
χρήσησ	x ɾ i s i s
έλεγαν	e l e ɣ a n
αγίασ	a ʝ i a s
ακολούθησε	a k o l u θ i s e
ανθρώπινη	a n θ ɾ o p i n i
απάντησε	a p a n d i s e
αφήστε	a f i s t e
γιά	ʝ a
γωνία	ɣ o n i a
δουλεύει	ð u l e v i
δρόμου	ð ɾ o m u
εγκαταστάσεισ	e ŋ ɡ a t a s t a s i s
ζωέσ	z o e s
καλα	k a l a
καταφέρει	k a t a f e ɾ i
μεγαλύτερεσ	m e ɣ a l i t e ɾ e s
μυστικά	m i s t i k a
νερά	n e ɾ a
οδήγησε	o ð i ʝ i s e
οδηγήσει	o ð i ʝ i s i
οφείλεται	o f i l e t e
πάρτε	p a ɾ t e
πολιτικόσ	p o l i t i k o s
προέρχεται	p ɾ o e ɾ ç e t e
πρωταθλήματοσ	p ɾ o t a θ l i m a t o s
συνδυασμό	s i n ð i a z m o
τσίπρα	t͡s i p ɾ a
τόποσ	t o p o s
υπουργείου	i p u ɾ ʝ i u
φεκ	f e k
χώρουσ	x o ɾ u s
ψάχνει	p s a x n i
έγκλημα	e ŋ ɡ l i m a
έδειξε	e ð i k s e
έμαθα	e m a θ a
έτοιμη	e t i m i
ανοίγει	a n i ʝ i
αντιμετώπιση	a n d i m e t o p i s i
ασθενείσ	a s θ e n i s
γεμάτη	ʝ e m a t i
δέρμα	ð e ɾ m a
δηλώνει	ð i l o n i
είδαμε	i ð a m e
ελληνίδα	e l i n i ð a
εμφανίζονται	e ɱ f a n i z o n d e
θεμα	θ e m a
ιδιαίτερη	i ð i e t e ɾ i
κεντρικήσ	c e n d ɾ i c i s
κοινωνικήσ	c i n o n i c i s
μακάρι	m a k a ɾ i
ματ	m a t
μεγάλων	m e ɣ a l o n
ναό	n a o
ορισμένεσ	o ɾ i z m e n e s
πέρασαν	p e ɾ a s a n
παιδιού	p e ð ʝ u
πολιτών	p o l i t o n
πονάει	p o n a i
προκάλεσε	p ɾ o k a l e s e
σκοπόσ	s k o p o s
σπάνια	s p a ɲ a
τήσ	t i s
χειρότερα	ç i ɾ o t e ɾ a
έρθουν	e ɾ θ u n
αγάπησ	a ɣ a p i s
αναφορέσ	a n a f o ɾ e s
γερμανίασ	ʝ e ɾ m a n i a s
γεωργίου	ʝ e o ɾ ʝ i u
δέν	ð e n
δείξει	ð i k s i
δικαιωμάτων	ð i c e o m a t o n
δώσε	ð o s e
εκει	e c i
κείμενα	c i m e n a
λεωφορείο	l e o f o ɾ i o
μεγαλύτερα	m e ɣ a l i t e ɾ a
μελέτεσ	m e l e t e s
μετανάστεσ	m e t a n a s t e s
μηνών	m i n o n
ξεκίνησαν	k s e c i n i s a n
οδηγίεσ	o ð i ʝ i e s
παιδική	p e ð i c i
παναθηναϊκόσ	p a n a θ i n a i k o s
περιουσία	p e ɾ i u s i a
πληρώσει	p l i ɾ o s i
προσπαθούν	p ɾ o s p a θ u n
σενάριο	s e n a ɾ i o
στρατόσ	s t ɾ a t o s
σύγχρονη	s i ŋ x ɾ o n i
σύνδεση	s i n ð e s i
τρόπουσ	t ɾ o p u s
έκλεισε	e k l i s e
ανοιχτό	a n i x t o
βάζεισ	v a z i s
βρισκόταν	v ɾ i s k o t a n
γιώργο	ʝ o ɾ ɣ o
γλώσσασ	ɣ l o s a s
δελτίο	ð e l t i o
δικέσ	ð i c e s
δικόσ	ð i k o s
ειδικό	i ð i k o
εκείνα	e c i n a
επέκταση	e p e k t a s i
επιστήμονεσ	e p i s t i m o n e s
θυμάσαι	θ i m a s e
θυμίζει	θ i m i z i
ισχύ	i s ç i
καί	c e
καλώσ	k a l o s
κατηγορίασ	k a t i ɣ o ɾ i a s
κύπροσ	c i p ɾ o s
νά	n a
νο	n o
οτιδήποτε	o t i ð i p o t e
ποιεσ	p i e s
πρώτου	p ɾ o t u
σημερινό	s i m e ɾ i n o
στίχουσ	s t i x u s
στοιχείων	s t i ç i o n
τέρμα	t e ɾ m a
τίτλοσ	t i t l o s
υποθέσεισ	i p o θ e s i s
υψηλή	i p s i l i
φόβο	f o v o
χα	x a
ύφοσ	i f o s
αιγαίου	e ʝ e u
απόλυτη	a p o l i t i
αυτοκινήτου	a f t o c i n i t u
γενικό	ʝ e n i k o
γνωρίζουμε	ɣ n o ɾ i z u m e
δάσοσ	ð a s o s
δεκαετίεσ	ð e k a e t i e s
δικαιοσύνησ	ð i c e o s i n i s
εκατοντάδεσ	e k a t o n d a ð e s
ζεισ	z i s
θύμα	θ i m a
καθαρή	k a θ a ɾ i
καθαρό	k a θ a ɾ o
καθηγητή	k a θ i ʝ i t i
κοινότητασ	c i n o t i t a s
λα	l a
λογικό	l o ʝ i k o
μεσα	m e s a
μιά	m ɲ a
πληθυσμού	p l i θ i z m u
πολ	p o l
πρόσφατη	p ɾ o s f a t i
ρωσίασ	ɾ o s i a s
σημείωσε	s i m i o s e
σοβαρή	s o v a ɾ i
υπουργό	i p u ɾ ɣ o
φαίνονται	f e n o n d e
άνετα	a n e t a
έντονη	e n d o n i
ανατολική	a n a t o l i c i
ανδρέασ	a n ð ɾ e a s
ανοίξει	a n i k s i
ανοιχτά	a n i x t a
αποφάσεισ	a p o f a s i s
αυτα	a f t a
βάσει	v a s i
βγω	v ɣ o
διευθυντή	ð i e f θ i n d i
δικηγόροσ	ð i c i ɣ o ɾ o s
δυτική	ð i t i c i
ερτ	e ɾ t
ζητήσει	z i t i s i
ημερών	i m e ɾ o n
θεωρεί	θ e o ɾ i
κατα	k a t a
κατασκευήσ	k a t a s c e v i s
κινήσεισ	c i n i s i s
κυκλοφορία	c i k l o f o ɾ i a
κυκλοφορίασ	c i k l o f o ɾ i a s
μάθετε	m a θ e t e
πάθει	p a θ i
πολλή	p o l i
ποσό	p o s o
πουν	p u n
υψηλήσ	i p s i l i s
φράση	f ɾ a s i
χρησιμοποίησε	x ɾ i s i m o p i i s e
χωριά	x o ɾ ʝ a
άνδρασ	a n ð ɾ a s
άρθρα	a ɾ θ ɾ a
αγοράσ	a ɣ o ɾ a s
ακολουθούν	a k o l u θ u n
ακούει	a k u i
αντώνησ	a n d o n i s
απειλή	a p i l i
απευθείασ	a p e f θ i a s
αττική	a t i c i
βάλτε	v a l t e
γερμανική	ʝ e ɾ m a n i c i
δώσουν	ð o s u n
εξελίξεισ	e k s e l i k s i s
επιθυμία	e p i θ i m i a
ιερό	i e ɾ o
ιωάννησ	i o a n i s
κατάλληλη	k a t a l i l i
κενό	c e n o
λαιμό	l e m o
μένουν	m e n u n
μίασ	m i a s
μαζι	m a z i
νίκου	n i k u
ξεκινάει	k s e c i n a i
ξερω	k s e ɾ o
οποιοδήποτε	o p i o ð i p o t e
παιδεία	p e ð i a
πιάσει	p ç a s i
πολιτικοί	p o l i t i c i
ποτε	p o t e
προσφύγων	p ɾ o s f i ɣ o n
πρώτοι	p ɾ o t i
σκληρό	s k l i ɾ o
σταμάτησε	s t a m a t i s e
στοίχημα	s t i ç i m a
στρατού	s t ɾ a t u
συμμετέχει	s i m e t e ç i
τελείωσ	t e l i o s
έμαθε	e m a θ e
έτοιμοι	e t i m i
ίδιοι	i ð i i
αδελφό	a ð e l f o
αναγνώριση	a n a ɣ n o ɾ i s i
ανδρών	a n ð ɾ o n
ανθρώπινο	a n θ ɾ o p i n o
ανοιχτή	a n i x t i
αξίασ	a k s i a s
αυγά	a v ɣ a
βασίζεται	v a s i z e t e
γυναικεία	ʝ i n e c i a
δημιούργησε	ð i m i u ɾ ʝ i s e
δημοτικού	ð i m o t i k u
δικιά	ð i c a
δομή	ð o m i
ζώων	z o o n
θέα	θ e a
ιδιότητεσ	i ð i o t i t e s
καινούργια	c e n u ɾ ʝ a
κυκλοφορεί	c i k l o f o ɾ i
μόνον	m o n o n
νόμιζα	n o m i z a
οηε	o i e
ονομασία	o n o m a s i a
οργάνωσησ	o ɾ ɣ a n o s i s
οργανισμού	o ɾ ɣ a n i z m u
οργανισμόσ	o ɾ ɣ a n i z m o s
παγκοσμίωσ	p a ŋ ɡ o z m i o s
παρουσίασε	p a ɾ u s i a s e
πιστεύεισ	p i s t e v i s
πλοία	p l i a
προσέγγιση	p ɾ o s e ŋ ɟ i s i
ρυθμό	ɾ i θ m o
σκουπίδια	s k u p i ð ʝ a
σπιτιού	s p i t ç u
στείλει	s t i l i
συμβαίνουν	s i ɱ v e n u n
συμβουλέσ	s i ɱ v u l e s
συνέλευση	s i n e l e f s i
συνεργασίασ	s i n e ɾ ɣ a s i a s
συνταγή	s i n d a ʝ i
τό	t o
φάμε	f a m e
φοιτητέσ	f i t i t e s
φυσικήσ	f i s i c i s
χει	ç i
άσχημα	a s ç i m a
έξοδο	e k s o ð o
αριστερό	a ɾ i s t e ɾ o
αστείο	a s t i o
βήματα	v i m a t a
βλέμμα	v l e m a
γίνεισ	ʝ i n i s
γενικόσ	ʝ e n i k o s
γερμανοί	ʝ e ɾ m a n i
δεκάδεσ	ð e k a ð e s
διοίκησησ	ð i i c i s i s
δώσουμε	ð o s u m e
δώστε	ð o s t e
ελ	e l
ελληνικόσ	e l i n i k o s
εξουσίασ	e k s u s i a s
κοινωνικό	c i n o n i k o
μπορει	b o ɾ i
νεα	n e a
ορισμένα	o ɾ i z m e n a
παναθηναϊκό	p a n a θ i n a i k o
ποτήρι	p o t i ɾ i
προτείνει	p ɾ o t i n i
σίγουροσ	s i ɣ u ɾ o s
συμμετέχουν	s i m e t e x u n
τρώει	t ɾ o i
φέρουν	f e ɾ u n
χρέουσ	x ɾ e u s
χωριού	x o ɾ ʝ u
ψάχνεισ	p s a x n i s
έδρασ	e ð ɾ a s
ήθελαν	i θ e l a n
ανδρέα	a n ð ɾ e a
βασίλη	v a s i l i
βασική	v a s i c i
γιώργου	ʝ o ɾ ɣ u
γραμματέασ	ɣ ɾ a m a t e a s
γυρίσει	ʝ i ɾ i s i
δημιουργεί	ð i m i u ɾ ʝ i
διαπραγματεύσεισ	ð i̯ a p ɾ a ɣ m a t e f s i s
δικαίου	ð i c e u
εμφανίσεισ	e ɱ f a n i s i s
επαγγελματική	e p a ŋ ɟ e l m a t i c i
επόμενα	e p o m e n a
θυμάστε	θ i m a s t e
κίνδυνοσ	c i n ð i n o s
καθ	k a θ
καταλάβεισ	k a t a l a v i s
κε	c e
κοινωνίασ	c i n o n i a s
κτλ	k t l
μεγαλύτεροσ	m e ɣ a l i t e ɾ o s
παίζεισ	p e z i s
πειραιώσ	p i ɾ e o s
περάσουν	p e ɾ a s u n
πηγαίνει	p i ʝ e n i
ποινή	p i n i
προκαλέσει	p ɾ o k a l e s i
ροζ	ɾ o z
ρόλοσ	ɾ o l o s
σκοτώνει	s k o t o n i
σκύλο	s c i l o
στήθοσ	s t i θ o s
συνεχίζεται	s i n e ç i z e t e
σχεδίου	s ç e ð i u
σύγκρουση	s i ŋ ɡ r u s i
σύζυγόσ	s i z i ɣ o s
τύποι	t i p i
τύπουσ	t i p u s
ύψουσ	i p s u s
αδερφή	a ð e ɾ f i
αντίσταση	a n d i s t a s i
απαιτεί	a p e t i
αποκτήσει	a p o k t i s i
αρ	a ɾ
αστυνομικοί	a s t i n o m i c i
βασίλειο	v a s i l i o
βγάλω	v ɣ a l o
βγούμε	v ɣ u m e
γνωρίζετε	ɣ n o ɾ i z e t e
δήμουσ	ð i m u s
δεδομένου	ð e ð o m e n u
δευτερόλεπτα	ð e f t e ɾ o l e p t a
ειδών	i ð o n
ζεστό	z e s t o
ιησού	i i s u
ισχυρή	i s ç i ɾ i
καταστάσεισ	k a t a s t a s i s
κυπέλλου	c i p e l u
κύριοι	c i ɾ i i
λέγοντασ	l e ɣ o n d a s
μαλάκασ	m a l a k a s
μετρό	m e t ɾ o
νίκο	n i k o
πάρτυ	p a ɾ t i
πίνακασ	p i n a k a s
ποικιλία	p i c i l i a
πόσοι	p o s i
σίγουρο	s i ɣ u ɾ o
σκάφοσ	s k a f o s
σκέψου	s c e p s u
συνδέεται	s i n ð e e t e
σύζυγό	s i z i ɣ o
υπουργού	i p u ɾ ɣ u
υπόλοιποι	i p o l i p i
φάω	f a o
φήμη	f i m i
φτιάξει	f t ç a k s i
άνοιγμα	a n i ɣ m a
έβγαλε	e v ɣ a l e
αγκαλιά	a ŋ ɡ a ʎ a
αλλάζουν	a l a z u n
αλληλεγγύησ	a l i l e ŋ ɟ i i s
αναμνήσεισ	a n a m n i s i s
αντίθετο	a n d i θ e t o
διαφορέσ	ð i̯ a f o ɾ e s
δυτικά	ð i t i k a
ελεύθεροσ	e l e f θ e ɾ o s
ζητά	z i t a
θετική	θ e t i c i
καλύπτει	k a l i p t i
κανει	k a n i
κατερίνα	k a t e ɾ i n a
κράτησε	k ɾ a t i s e
κρατήσει	k ɾ a t i s i
μέτωπο	m e t o p o
μεν	m e n
νομίζει	n o m i z i
ντι	d i
οσο	o s o
παράγοντεσ	p a ɾ a ɣ o n d e s
περιβάλλοντοσ	p e ɾ i v a l o n d o s
πλευρέσ	p l e v ɾ e s
πρότυπο	p ɾ o t i p o
πωλήσεισ	p o l i s i s
πώληση	p o l i s i
στείλω	s t i l o
συμμετείχαν	s i m e t i x a n
σύλλογο	s i l o ɣ o
τάσεισ	t a s i s
τάφο	t a f o
τελευταίοσ	t e l e f t e o s
τυχαία	t i ç e a
υπηρεσίασ	i p i ɾ e s i a s
υποψήφιοσ	i p o p s i f i o s
χρήστεσ	x ɾ i s t e s
χρησιμοποιηθεί	x ɾ i s i m o p i i θ i
όσκαρ	o s k a ɾ
άλμπουμ	a l b u m
αγόρια	a ɣ o ɾ ʝ a
αστυνομικό	a s t i n o m i k o
γνωστά	ɣ n o s t a
διατηρεί	ð i̯ a t i ɾ i
εκλογών	e k l o ɣ o n
ερώτημα	e ɾ o t i m a
εφαρμογέσ	e f a ɾ m o ʝ e s
κάλεσε	k a l e s e
κάνατε	k a n a t e
καθένα	k a θ e n a
κινείται	c i n i t e
κοιμηθώ	c i m i θ o
μερικούσ	m e ɾ i k u s
μηχανέσ	m i x a n e s
μιχάλησ	m i x a l i s
νομού	n o m u
οικονομικό	i k o n o m i k o
παιχνιδιού	p e x n i ð ʝ u
πανεπιστήμια	p a n e p i s t i m ɲ a
πεθαίνει	p e θ e n i
πτυχίο	p t i ç i o
πόνοσ	p o n o s
συμμετοχήσ	s i m e t o ç i s
συναντήσεισ	s i n a n d i s i s
συνεπώσ	s i n e p o s
σύγκριση	s i ŋ ɡ ɾ i s i
σύζυγο	s i z i ɣ o
ταινίασ	t e n i a s
τεχνικέσ	t e x n i c e s
τιμήσ	t i m i s
τράπεζασ	t ɾ a p e z a s
φωνέσ	f o n e s
άγχοσ	a ŋ x o s
άρησ	a ɾ i s
έσοδα	e s o ð a
αδυναμία	a ð i n a m i a
ανέλαβε	a n e l a v e
απουσία	a p u s i a
ατμόσφαιρα	a t m o s f e ɾ a
βιομηχανία	v i o m i x a n i a
βρεσ	v ɾ e s
δέντρα	ð e n d ɾ a
δίσκο	ð i s k o
ζωντανή	z o n d a n i
θελω	θ e l o
κατάργηση	k a t a ɾ ʝ i s i
κινήματοσ	c i n i m a t o s
κύκλοσ	c i k l o s
μάθουμε	m a θ u m e
μάχησ	m a ç i s
μεταναστών	m e t a n a s t o n
μονή	m o n i
νομίζουν	n o m i z u n
ορίζεται	o ɾ i z e t e
σκυλιά	s c i ʎ a
στέλνει	s t e l n i
σταθμόσ	s t a θ m o s
συ	s i
τοπικήσ	t o p i c i s
τροφίμων	t ɾ o f i m o n
χάθηκε	x a θ i c e
χρειαζόμαστε	x ɾ i a z o m a s t e
χτύπησε	x t i p i s e
άγρια	a ɣ ɾ i a
έγκυοσ	e ŋ ɟ i o s
αιώνεσ	e o n e s
αλέξανδροσ	a l e k s a n ð ɾ o s
αλέξησ	a l e k s i s
ανατολικά	a n a t o l i k a
ανατροπή	a n a t ɾ o p i
αριστεράσ	a ɾ i s t e ɾ a s
αρκετό	a ɾ c e t o
βουνά	v u n a
γειά	ʝ a
δίνεται	ð i n e t e
δίνοντασ	ð i n o n d a s
δίχωσ	ð i x o s
δηλ	ð i l
δόθηκε	ð o θ i c e
εκείνεσ	e c i n e s
εκείνουσ	e c i n u s
εξοπλισμό	e k s o p l i z m o
ζωντανά	z o n d a n a
ημερολόγιο	i m e ɾ o l o ʝ i o
θάλασσασ	θ a l a s a s
ιδίωσ	i ð i o s
ικανότητεσ	i k a n o t i t e s
κήπο	c i p o
κατάληψη	k a t a l i p s i
καταφύγιο	k a t a f i ʝ i o
κόπο	k o p o
μέθοδοσ	m e θ o ð o s
μεσόγειο	m e s o ʝ i o
μηδέν	m i ð e n
παραμείνει	p a ɾ a m i n i
πετύχει	p e t i ç i
πόντουσ	p o n d u s
σαι	s e
σταύροσ	s t a v ɾ o s
συγγενείσ	s i ŋ ɟ e n i s
συναίσθημα	s i n e s θ i m a
σχετική	s ç e t i c i
σύλληψη	s i l i p s i
φώτα	f o t a
χριστού	x ɾ i s t u
ψάχνουν	p s a x n u n
όχημα	o ç i m a
άρωμα	a ɾ o m a
έκφραση	e k f ɾ a s i
αγαπάει	a ɣ a p a i
ακομα	a k o m a
αληθινή	a l i θ i n i
βίασ	v i a s
δημιουργήθηκε	ð i m i u ɾ ʝ i θ i c e
δύσκολεσ	ð i s k o l e s
επ	e p
ευθύνεσ	e f θ i n e s
θέλαμε	θ e l a m e
θέσησ	θ e s i s
καρλ	k a ɾ l
κορυφαία	k o ɾ i f e a
μικρού	m i k ɾ u
μιλάνε	m i l a n e
μιλάτε	m i l a t e
μουσικό	m u s i k o
νεαρόσ	n e a ɾ o s
νιώθει	ɲ o θ i
ουρά	u ɾ a
παναγίασ	p a n a ʝ i a s
παναθηναϊκού	p a n a θ i n a i k u
παραμονή	p a ɾ a m o n i
πολιτικούσ	p o l i t i k u s
ταξί	t a k s i
τεχνολογίασ	t e x n o l o ʝ i a s
τοπικό	t o p i k o
τούτου	t u t u
φοράσ	f o ɾ a s
φυτά	f i t a
χάσεισ	x a s i s
χρησιμοποιήσει	x ɾ i s i m o p i i s i
χτυπάει	x t i p a i
άνδρα	a n ð ɾ a
αεροπλάνο	a e ɾ o p l a n o
αναλαμβάνει	a n a l a ɱ v a n i
αποστολήσ	a p o s t o l i s
ασχολείται	a s x o l i t e
αυτιά	a f t ç a
βάσεισ	v a s i s
δεύτεροσ	ð e f t e ɾ o s
ειδικέσ	i ð i c e s
επικοινωνίασ	e p i c i n o n i a s
επρεπε	e p ɾ e p e
κανάλια	k a n a ʎ a
κρίσησ	k ɾ i s i s
κυβερνήτη	c i v e ɾ n i t i
κυρίου	c i ɾ i u
λήξη	l i k s i
μείνουν	m i n u n
μπλοκ	b l o k
μπουν	b u n
νομίζετε	n o m i z e t e
πάντων	p a n d o n
πέτρα	p e t ɾ a
παμε	p a m e
πελάτη	p e l a t i
πλήρησ	p l i ɾ i s
πλευρό	p l e v ɾ o
πολιτικού	p o l i t i k u
πολιτισμό	p o l i t i z m o
ποτά	p o t a
ρώτησε	ɾ o t i s e
σταυρό	s t a v ɾ o
συνέπειεσ	s i n e p i e s
υγρό	i ɣ ɾ o
υπόλοιπη	i p o l i p i
φοβάται	f o v a t e
φοράει	f o ɾ a i
φωτόσ	f o t o s
ψυχήσ	p s i ç i s
άγνωστο	a ɣ n o s t o
άνοδο	a n o ð o
έλεγχοσ	e l e ŋ x o s
ακτή	a k t i
αντιμετωπίσει	a n d i m e t o p i s i
αντιπολίτευσησ	a n d i p o l i t e f s i s
αντιπρόεδροσ	a n d i p ɾ o e ð ɾ o s
ασθένεια	a s θ e n i a
γίνουμε	ʝ i n u m e
γνωρίζουν	ɣ n o ɾ i z u n
δικτύου	ð i k t i u
επίσημο	e p i s i m o
επισκέπτεσ	e p i s c e p t e s
ζητήματα	z i t i m a t a
ημουν	i m u n
ηπείρου	i p i ɾ u
ισχυρό	i s ç i ɾ o
κάνα	k a n a
κατάφεραν	k a t a f e ɾ a n
κεφάλαιο	c e f a l e o
κρατών	k ɾ a t o n
μεταφοράσ	m e t a f o ɾ a s
ξεχάσει	k s e x a s i
πέρασμα	p e ɾ a z m a
