af	a f
mødtes	m ø t ə s
opdager	ɔ p d aː ɣ ə r
opført	ɔ p f œ r t
rejst	r a j s t
sal	s a l
simpelt	s e m p ə l t
turen	t uː r ə n
vestlige	v ɛ s t l i ə
voksede	v ɔ k s ə ð ə
will	v e l
benyttes	b e n ø t ə s
butikken	b u t e k ə n
chokolade	s j o k o l aː d ə
dæk	d ɛ k
eksamen	ɛ k s aː m ə n
emma	ɛ m a
endelige	ɛ n ə l iː ə
forsvinder	f ɔ r s v e n ə r
gad	ɡ a d
gennemføre	ɡ ɛ n ə m f øː r ə
herrer	h ɛ r ə r
konkurrencen	k ɔ n k u r ɛ n s ə n
kursus	k u r s u s
liga	l iː ɡ a
open	oː p ə n
produkt	p r o d o k t
præst	p r ɛ s t
russiske	r u s i s k ə
rødt	r ø t
skanderborg	s k a n ə r b ɔ r ɡ
ur	uː r
voldsomt	v ɔ l s ɔ m t
walter	v a l t ə r
west	v ɛ s t
bestemte	b e s t ɛ m t ə
billigt	b i l i t
central	s ɛ n t r aː l
drop	d r ɔ p
dræbe	d r ɛː b ə
fjerner	f j ɛ r n ə r
forhåbentlig	f ɔ r h ɔː b ə n t l i
haven	h aː v ə n
havnen	h a v n ə n
hemmelige	h ɛ m ə l i ə
kanal	k a n aː l
kurs	k u r s
larry	l a r i
ligeglad	l iː ə ɡ l a ð
løst	l ø s t
matematik	m a t e m a t i k
modellen	m o d ɛ l ə n
mødet	m øː ð ə ð
off	ɔ f
praktisk	p r a k t i s k
rummer	r o m ə r
skibe	s k iː b ə
tages	t aː ɣ ə s
tilfældet	t e l f ɛ l ə ð
værk	v ɛ r k
we	v eːˀ
benytter	b e n ø t ə r
billetter	b i l ɛ t ə r
blade	b l aː d ə
danner	d a n ə r
eksperter	ɛ k s p ɛ r t ə r
falske	f a l s k ə
fløj	f l ø j
gaver	ɡ aː v ə r
kasse	k a s ə
laura	l a v r a
lugter	l o k t ə r
megen	m a j ə n
mexico	m ɛ k s i k o
not	n ɔ t
næse	n ɛː s ə
officielle	ɔ f i s j ɛ l ə
opfattelse	ɔ p f a t ə l s ə
ovre	ɔ v r ə
regnet	r a j n ə ð
snarere	s n a r eː r ə
specielle	s p e s j ɛ l ə
straf	s t r aː f
udsatte	u d s a t ə
undervejs	o n ə r v a jˀ s
aner	aː n ə r
bestemme	b e s t ɛ m ə
danse	d a n s ə
debut	d e b u t
diskutere	d i s k u t eː r ə
farlig	f a r l i
finale	f i n aː l ə
folks	f ɔ l k s
gyldne	ɡ y l n ə
holstebro	h ɔ l s t ə b r oː
håndtere	h ɔ n t eː r ə
kanaler	k a n aː l ə r
kontakte	k ɔ n t a k t ə
nogenlunde	n oː ɡ ə n l o n ə
pakker	p a k ə r
pis	p iː s
primære	p r i m ɛː r ə
roman	r o m aː n
sejren	s a j r ə n
tørre	t œ r ə
vises	v iː s ə s
ødelægger	øː ð ə l ɛ ɡ ə r
alkohol	a l k o h ɔ l
are	aː r ə
bevare	b e v aː r ə
bundet	b o n ə ð
cykler	s y k l ə r
demokrati	d e m o k r a t iː
favorit	f a v o r i t
forlader	f ɔ r l aː d ə r
forståelse	f ɔ r s t ɔː ə l s ə
førende	f øː r ə n ə
hentet	h ɛ n t ə ð
himlen	h e m l ə n
hjemmebane	j ɛ m ə b aː n ə
håbet	h ɔː b ə ð
irak	i r a k
kommunens	k ɔ m u n ɛ n s
kunnet	k o n ə ð
nick	n e k
note	n oː t ə
nyhed	n y h eː d
nævnes	n ɛ v n ə s
opgør	ɔ p ɡ øː r
perioder	p e r i oː d ə r
stående	s t ɔː ə n ə
søgte	s ø k t ə
tilladt	t e l a t
tysklands	t y s k l a n s
behandle	b e h a n l ə
danser	d a n s ə r
enden	ɛ n ə n
figur	f i ɡ uː r
flok	f l ɔ k
forladt	f ɔ r l a t
fremtidige	f r ɛ m t iː d i ə
girl	ɡ i r l
gården	ɡ ɔ r d ə n
gældende	ɡ ɛ l ə n ə
ida	i d a
kilo	k iː l o
kortere	k ɔ r t eː r ə
maskine	m a s k iː n ə
matt	m a t
melde	m ɛ l ə
part	p a r t
patrick	p a t r e k
presse	p r ɛ s ə
robin	r o b iː n
sandhed	s a n h e ðˀ
scott	s k ɔ t
tegner	t a j n ə r
tydeligvis	t yː d ə l i v iː s
typen	t yː p ə n
aab	aː b
fase	f aː s ə
fortjent	f ɔ r t j ɛ n t
fyret	f yː r ə ð
halsen	h a l s ə n
hurtigst	h u r t i s t
håret	h ɔː r ə ð
hæren	h ɛː r ə n
koste	k ɔ s t ə
leger	l a j ə r
leveret	l ɛ v ə r ə ð
mini	m iː n i
ofre	ɔ f r ə
opstår	ɔ p s t ɔː r
præcist	p r ɛ s i s t
ray	r æ j
rækker	r ɛ k ə r
sikret	s e k r ɛ t
sygdomme	s yː d ɔ m ə
træder	t r ɛː d ə r
wayne	v æ i̯ n ə
alm	a l m
anses	a n s ə s
beskytter	b e s k ø t ə r
bestyrelse	b e s t yː r ə l s ə
blandet	b l a n ə ð
charlotte	s j a r l ɔ t ə
check	s j ɛ k
dages	d aː ɣ ə s
dyb	d yː b
forholdsvis	f ɔ r h ɔ l s v iː s
indien	e n d i ə n
løbende	l øː b ə n ə
melder	m ɛ l ə r
muslimer	m u s l iː m ə r
overflade	ɔ v ə r f l aː d ə
overtaget	ɔ v ə r t aː ɣ ə ð
risikerer	r i s i k eː r ə r
sande	s a n ə
snakkede	s n a k ə ð ə
stillede	s t e l ə ð ə
stolte	s t ɔ l t ə
studier	s t u d j ə r
svære	s v ɛː r ə
tilføjet	t e l f ø j ə ð
tillader	t e l aː d ə r
victor	v e k t ə r
årsager	ɔ r s aː ɣ ə r
afhænger	a f h ɛ n ɡ ə r
afrika	a f r i k a
aktivitet	a k t i v i t eː t
as	aː s
betjente	b e t j ɛ n t ə
bevis	b e v iːˀ s
bevæge	b e v ɛː ɡ ə
bibliotek	b i b l i o t ɛ k
brændt	b r ɛ n t
brændte	b r ɛ n t ə
derhjemme	d ɛ r j ɛ m ə
ekspert	ɛ k s p ɛ r t
eva	eː v a
feltet	f ɛ l t ə ð
formålet	f ɔ r m ɔː l ə ð
fund	f o nˀ
iran	i r aː n
kandidat	k a n d i d aː t
kandidater	k a n d i d aː t ə r
kasper	k a s p ə r
king	k e n ɡ
koncerter	k ɔ n s ɛ r t ə r
linda	l e n d a
liter	l i t ə r
lån	l ɔː n
manglede	m a n ɡ l eː ð ə
månen	m ɔː n ə n
news	n j uː s
noter	n o t ə r
nævner	n ɛ v n ə r
onde	ɔ n ə
opgaven	ɔ p ɡ aː v ə n
organisationen	ɔ r ɡ a n i s a ɕ oˀ n ə n
posten	p ɔ s t ə n
rute	r uː t ə
rykker	r ø k ə r
sam	s a m
sendes	s ɛ n ə s
snakket	s n a k ə ð
stede	s t eː ð ə
symptomer	s ø m p t oː m ə r
tja	t j a
tvivler	t v i v l ə r
ventede	v ɛ n t ə ð ə
økonomien	ø k o n o m i ə n
anvende	a n v ɛ n ə
arbejdspladser	a r b a j d s p l a s ə r
betalte	b e t a l t ə
bidrage	b i d r aː ɡ ə
bund	b o nˀ
byde	b yː ð ə
båden	b ɔː ð ə n
daglige	d a ɣ l i ə
dannelse	d a n ə l s ə
delte	d ɛ l t ə
demokratiske	d e m o k r aː t i s k ə
denmark	d eː n m a r k
division	d i v i s j oː n
drømmer	d r œ m ə r
ere	eː r ə
fa	f a
falster	f a l s t ə r
foretage	f ɔ r ə t aː ɡ ə
gade	ɡ aː d ə
game	ɡ aː m ə
græs	ɡ r ɛː s
handlede	h a n l eː ð ə
hopper	h ɔ p ə r
invitere	e n v i t eː r ə
irriterende	i r i t eː r ə n ə
kampene	k a m p ə n ə
klik	k l e k
kontrollere	k ɔ n t r ɔ l eː r ə
kunstnere	k o n s t n eː r ə
kvinderne	k v e n ə r n ə
landsholdet	l a n s h ɔ l ə ð
long	l ɔ n ɡ
medicinsk	m e d i s iː n s k
negative	n e ɡ a t iː v ə
oplæg	ɔ p l ɛ ɡ
plade	p l aː d ə
smukkeste	s m o k ə s t ə
sov	s ɔ v
spiste	s p e s t ə
sund	s o nˀ
varmen	v a r m ə n
væggen	v ɛ ɡ ə n
alice	a l iː s ə
beskrives	b e s k r iː v ə s
bryster	b r ø s t ə r
byggede	b y ɡ ə ð ə
drage	d r aː ɣ ə
forskelle	f ɔ r s k ɛ l ə
glip	ɡ l i p
global	ɡ l o b aː l
globale	ɡ l o b aː l ə
jim	j iː m
kulturelle	k u l t u r ɛ l ə
laveste	l a v ə s t ə
mands	m a n s
match	m a t s j
mærker	m ɛ r k ə r
nysgerrig	n y s ɡ ɛ r i
pakket	p a k ə t
planlægger	p l a n l ɛ ɡ ə r
polen	p oː l ə n
præsenterer	p r ɛ s ə n t eː r ə r
race	r aː s ə
ryg	r yːˀ
sektor	s ɛ k t ɔ r
sofie	s o f iː ə
spidsen	s p i s ə n
spillerne	s p e l ə r n ə
spilles	s p e l ə s
spring	s p r e n ɡ
stikke	s t e k ə
tilbyde	t e l b yː ð ə
tjekket	t j ɛ k ə ð
tyder	t yː d ə r
væsentligt	v ɛː s ə n t l i t
bakker	b a k ə r
base	b aː s ə
butik	b u t i k
delvist	d ɛ l v e s t
enormt	eː n ɔ r m t
forbrug	f ɔ r b r uːˀ
foreslår	f ɔ r ə s l ɔː r
indrømme	e n d r œ m ə
kontakter	k ɔ n t a k t ə r
motoren	m o t oː r ə n
måneden	m ɔː n ə ð ə n
nøjes	n ø j ə s
omhandler	ɔ m h a n l ə r
oprette	ɔ p r ɛ t ə
optagelse	ɔ p t aː ɣ ə l s ə
overfladen	ɔ v ə r f l aː d ə n
religiøse	r e l i ɡ j øː s ə
stakkels	s t a k ə l s
su	s uːˀ
svarende	s v aː r ə n ə
what	v a t
afholdes	a f h ɔ l ə s
boss	b ɔ s
bussen	b u s ə n
canada	k a n aː d a
farlige	f a r l iː ə
flade	f l aː d ə
forlænget	f ɔ r l ɛ ŋˀ ə ð
forstod	f ɔ r s t ɔ d
jakke	j a k ə
japan	j a p aː n
jep	j ɛ p
joachim	j o a s j iː m
klage	k l aː ɣ ə
konkrete	k ɔ n k r eː t ə
kunderne	k o n ə r n ə
lasse	l a s ə
laves	l aː v ə s
lyden	l yː ð ə n
museet	m u s eː ə ð
næsen	n ɛː s ə n
rådet	r ɔː ð ə ð
skjern	s k j ɛ r n
skærmen	s k ɛ r m ə n
smerte	s m ɛ r t ə
special	s p e s j aː l
takker	t a k ə r
tilgængelig	t e l ɡ ɛ n ɡ ə l i
trafikken	t r a f e k ə n
træet	t r ɛːˀ ə ð
undtagen	o n t aː ɣ ə n
årsagen	ɔ r s aː ɣ ə n
automatisk	a v t o m aː t i s k
betragtes	b e t r a k t ə s
blande	b l a n ə
bronze	b r ɔ n s ə
citat	s i t aː t
drevet	d r eː v ə ð
dræber	d r ɛː b ə r
ekstremt	ɛ k s t r ɛ m t
emnet	ɛ m n ə ð
flygte	f l ø k t ə
fn	f ɛ nˀ
fotograf	f o t o ɡ r aː f
fremtidens	f r ɛ m t i d ɛ n s
fødevarer	f øː ð ə v aː r ə r
gætte	ɡ ɛ t ə
hjemmet	j ɛ m ə ð
innovation	e n o v a ɕ oˀ n
klubbens	k l o b ə n s
klædt	k l ɛ t
kræft	k r ɛ f t
mac	m a k
moms	m ɔ m s
myrdet	m y r d ə ð
norske	n ɔ r s k ə
omgivelser	ɔ m ɡ iː v ə l s ə r
omtale	ɔ m t aː l ə
overtage	ɔ v ə r t aː ɡ ə
piller	p e l ə r
reddet	r ɛ ðˀ ə ð
rio	r iː o
sejle	s a j l ə
sjæl	s j ɛː l
sluttede	s l u t ə ð ə
styrer	s t yː r ə r
syddanmark	s y d a n m a r k
takt	t a k t
texas	t ɛ k s a s
tidlige	t i d l i ə
trump	t r o m p
tusinde	t u s e n ə
who	v oːˀ
afgøre	a f ɡ øː r ə
afvist	a f v e s t
alvorlige	a l v ɔ r l iː ə
begreb	b e ɡ r eː b
besøgt	b e s ø k t
bidrager	b i d r aː ɣ ə r
bjarne	b j a r n ə
bjergene	b j ɛ r ɣ ə n ə
bruce	b r uː s ə
brænde	b r ɛ n ə
børns	b œ r n s
down	d ɔ w n
fantasi	f a n t a s iː
femte	f ɛ m t ə
forbud	f ɔ r b u d
forholde	f ɔ r h ɔ l ə
fremgang	f r ɛ m ɡ a n ɡ
golf	ɡ ɔ l f
hemmeligt	h ɛ m ə l i t
hjulpet	j u l p ə ð
hjørnet	j œ r n ə ð
informationer	e n f ɔ r m a ɕ oˀ n ə r
kommentarer	k ɔ m ə n t aː r ə r
kommissionen	k ɔ m i s j oː n ə n
mega	m eː ɡ a
modstander	m o ð s t a n ə r
nato	n aː t o
negativ	n e ɡ a t iː v
pernille	p ɛ r n i l ə
pilot	p i l oː t
play	p l æ j
ressourcer	r ɛ s u r s ə r
slot	s l ɔ t
spar	s p aːˀ r
sødt	s ø t
sønner	s œ n ə r
tilgang	t e l ɡ a n ɡ
tivoli	t i v o l iː
udnytte	u d n ø t ə
undtagelse	o n t aː ɣ ə l s ə
ankommer	a n k ɔ m ə r
arbejdskraft	a r b a j d s k r a f t
bang	b a n ɡ
beholde	b e h ɔ l ə
bestående	b e s t ɔː ə n ə
dollars	d ɔ l a r s
døre	d øː r ə
elektronisk	e l ɛ k t r oː n i s k
erstatte	ɛ r s t a t ə
folkeskolen	f ɔ l k ə s k oː l ə n
indrettet	e n d r ɛ t ə t
katte	k a t ə
klæder	k l ɛː d ə r
krone	k r oː n ə
køkken	k ø k ə n
maskinen	m a s k iː n ə n
maskiner	m a s k iː n ə r
nedsat	n e d s a t
opførsel	ɔ p f œ r s ə l
orange	o r a n ɡ ə
peger	p a j ə r
sandsynligt	s a n s yː n l i t
siddende	s i d ə n ə
skadet	s k aː d ə ð
skarp	s k a r p
skylder	s k y l ə r
slutte	s l u t ə
sofaen	s o f aː ə n
steen	s t eː ə n
storm	s t ɔ r m
sydlige	s y d l i ə
vort	v ɔ r t
væsen	v ɛː s ə n
ændres	ɛ n d r ə s
accepterer	a k s ɛ p t eː r ə r
afslører	a f s l øː r ə r
alarm	a l a r m
amok	a m ɔ k
angiver	a n ɡ iː v ə r
angribe	a n ɡ r iː b ə
angst	a n ɡ s t
aviser	a v iː s ə r
demokratisk	d e m o k r aː t i s k
dernæst	d ɛ r n ɛ s t
format	f ɔ r m aː t
had	h a ð
kanon	k a n oː n
kvarter	k v a r t ə r
kysten	k ø s t ə n
ledelsen	l eː ð ə l s ə n
modstandere	m o ð s t a n d eː r ə
mændene	m ɛ n ə n ə
naturlig	n a t uː r l i
passagerer	p a s a ɡ eː r ə r
potter	p ɔ t ə r
poulsen	p u l s ə n
producerer	p r o d j u s eː r ə r
reklame	r e k l aː m ə
retter	r ɛ t ə r
situationer	s i t u a ɕ oˀ n ə r
skønhed	s k ø n h e ðˀ
tegnet	t a j n ə ð
testet	t ɛ s t ə ð
valby	v a l b yː
vejer	v a j ə r
ventet	v ɛ n t ə ð
afgang	a f ɡ a n ɡ
afgjort	a f ɡ j ɔ r t
anbefaler	a n b e f aː l ə r
arter	a r t ə r
assistent	a s i s t ɛ n t
bestille	b e s t e l ə
budskab	b u d s k aː b
byggeri	b y ɡ ə r iː
dahl	d a l
dark	d a r k
dukkede	d o k ə ð ə
fester	f ɛ s t ə r
fjender	f j ɛ n ə r
holm	h ɔ l m
identificere	i d ɛ n t i f i s eː r ə
kanten	k a n t ə n
kommunale	k ɔ m u n aː l ə
kommunes	k ɔ m uː n ə s
landbruget	l a n b r uː ə ð
lægges	l ɛ ɡ ə s
løser	l øː s ə r
myndighederne	m ø n d i h eː d ə r n ə
måden	m ɔː ð ə n
pop	p ɔ p
pressen	p r ɛ s ə n
reklamer	r e k l aː m ə r
royal	r o j aː l
seksuelle	s ɛ k s u ɛ l ə
skift	s k e f t
skyder	s k yː d ə r
stige	s t iː ə
stikker	s t e k ə r
svag	s v aːˀ ɣ
taske	t a s k ə
udtaget	u d t aː ɣ ə ð
vagt	v a k t
venskab	v ɛ n s k aː b
voldsom	v ɔ l s ɔ m
værktøj	v ɛ r k t ø j
alan	a l aː n
carlos	k a r l oː s
debatten	d e b a t ə n
etniske	ɛ t n i s k ə
ford	f ɔ rˀ d
forekommer	f ɔ r ə k ɔ m ə r
forfatteren	f ɔ r f a t eː r ə n
formanden	f ɔ r m a n ə n
girls	ɡ i r l s
halve	h a l v ə
herren	h ɛ r ə n
hobro	h oː b r o
idiot	i d i oː t
konflikt	k ɔ n f l e k t
konkret	k ɔ n k r ɛ t
kontrollen	k ɔ n t r ɔ l ə n
kriminelle	k r i m i n ɛ l ə
lego	l eː ɡ o
liggende	l e ɡ ə n ə
menes	m eː n ə s
menneskets	m ɛ n ə s k ɛ t s
oliver	o l iː v ə r
plante	p l a n t ə
poster	p ɔ s t ə r
præmie	p r ɛ m i ə
ringede	r e n ɡ ə ð ə
river	r iː v ə r
sårede	s ɔː r ə ð ə
taastrup	t aː s t r u p
takke	t a k ə
trykker	t r ø k ə r
turister	t u r i s t ə r
vært	v ɛ r t
afgørelse	a f ɡ øː r ə l s ə
benjamin	b ɛ n j a m iː n
brudt	b r u t
farten	f a r t ə n
gader	ɡ aː d ə r
indvandrere	e n v a n d r eː r ə
johannes	j o h a n ə s
kongens	k ɔ n ɡ ə n s
lillebror	l e l ə b r oː r
linjer	l e n j ə r
loftet	l ɔ f t ə ð
lovet	l ɔ v ə ð
meg	m a jˀ
mordet	m o r d ə ð
mærket	m ɛ r k ə ð
rask	r a s k
rygter	r ø k t ə r
serier	s e r i ə r
skinner	s k e n ə r
speciale	s p e s j aː l ə
svage	s v aː ɡ ə
tilgængelige	t e l ɡ ɛ n ɡ ə l i ə
vinden	v e n ə n
anbefales	a n b e f aː l ə s
bagud	b a ɡ u d
beholder	b e h ɔ l ə r
bemærk	b e m ɛ r k
bemærket	b e m ɛ r k ə ð
boston	b o s t ɔ n
bøsse	b ø s ə
donald	d o n a lˀ
droppe	d r ɔ p ə
faktorer	f a k t oː r ə r
fejler	f a j l ə r
fornemmelse	f ɔ r n ɛ m ə l s ə
forventes	f ɔ r v ɛ n t ə s
gennemsnit	ɡ ɛ n ə m s n i t
greb	ɡ r eːˀ b
gæt	ɡ ɛ t
huller	h u l ə r
hvile	v iː l ə
indirekte	e n d i r ɛ k t ə
ku	k uːˀ
kvindelig	k v e n ə l i
kvinders	k v e n ə r s
mobile	m o b iː l ə
mulighederne	m uː l i h eː d ə r n ə
omegn	o m a j n
opfordrer	ɔ p f ɔ r d r ə r
pointen	p o e n t ə n
praktiske	p r a k t i s k ə
produktet	p r o d o k t eː t
præstation	p r ɛ s t a ɕ oˀ n
råber	r ɔː b ə r
samarbejder	s a m a r b a j d ə r
skjulte	s k j u l t ə
skrives	s k r iː v ə s
sm	s ɛ mˀ
spanske	s p a n s k ə
sygdommen	s yː d ɔ m ə n
ta	t a
truet	t r uː ə ð
trup	t r u p
vegas	v eː ɡ a s
von	v ɔ n
ærgerligt	ɛ r ɣ ə r l i t
affære	a f ɛː r ə
bestod	b e s t oː d
bloggen	b l ɔ ɡ ə n
com	k ɔ m
dollar	d ɔ l a r
effekten	ɛ f ɛ k t ə n
enorme	eː n ɔ r m ə
familiens	f a m i l j ɛ n s
flygtede	f l ø k t ə ð ə
fræk	f r ɛ k
guder	ɡ u d ə r
herhjemme	h ɛ r j ɛ m ə
indbyggere	e n b ø ɡ ə r ə
industri	e n d u s t r iː
jon	j ɔ n
knæ	k n ɛː
nikolaj	n i k o l a j
næ	n ɛː
nødvendig	n ø ð v ɛ n d i
nøglen	n ø j l ə n
opskrift	ɔ p s k r e f t
risikoen	r i s i k oː ə n
romantisk	r o m a n t i s k
slik	s l e k
tallene	t a l ə n ə
trådte	t r ɔ t ə
træffe	t r ɛ f ə
trækkes	t r ɛ k ə s
tønder	t œ n ə r
ukraine	u k r a iː n ə
unikke	u n e k ə
vinkel	v e n k ə l
wild	v i lˀ
yngste	ø n ɡ s t ə
au	a v
bekræfter	b e k r ɛ f t ə r
beslutte	b e s l u t ə
beslutter	b e s l u t ə r
chat	s j a t
deles	d eː l ə s
drab	d r aː b
fingrene	f e n ɡ r eː n ə
forstås	f ɔ r s t ɔː s
fort	f ɔ r t
frivilligt	f r i v i l i t
garanteret	ɡ a r a n t eː r ə t
generelle	ɡ e n ə r ɛ l ə
gi	ɡ iː
griner	ɡ r iː n ə r
holdene	h ɔ l ə n ə
idéer	i d eː ə r
indsatsen	e n s a t s ə n
integration	e n t e ɡ r a ɕ oˀ n
jeppe	j ɛ p ə
klager	k l aː ɣ ə r
mikkelsen	m e k ə l s ə n
ms	ɛ m ɛ s
mørkt	m œ r k t
nice	n iː s ə
nicolai	n i k o l a j
opstod	ɔ p s t ɔ d
passede	p a s ə ð ə
planlagte	p l a n l a ɡ t ə
platform	p l a t f ɔ r m
pointe	p o e n t ə
repræsentanter	r ɛ p r ɛ s ə n t a n t ə r
samtaler	s a m t aː l ə r
santa	s a n t a
skåret	s k ɔː r ə ð
smerter	s m ɛ r t ə r
stemte	s t ɛ m t ə
sure	s uː r ə
tyrkiske	t y r k i s k ə
tyskerne	t y s k ə r n ə
årgang	ɔ r ɡ a n ɡ
øger	øː j ə r
bjerget	b j ɛ r ɣ ə ð
bla	b l a
boys	b ø j s
bredere	b r e d eː r ə
danny	d a n i
dansker	d a n s k ə r
dybe	d yː b ə
ejendomme	a j ə n d ɔ m ə
fascinerende	f a s i n eː r ə n ə
finn	f e n
flyvende	f l yː v ə n ə
forbliver	f ɔ r b l iː v ə r
forrige	f ɔ r iː ə
fremskridt	f r ɛ m s k r i t
fås	f ɔː s
gavn	ɡ a vˀ n
genstande	ɡ ɛ n s t a n ə
glem	ɡ l ɛ mˀ
idømt	i d œ m t
inger	e n ɡ ə r
kasser	k a s ə r
kendskab	k ɛ n s k aː b
konen	k oː n ə n
kontrakten	k ɔ n t r a k t ə n
kriminalitet	k r i m i n a l i t eː t
now	n ɔ w
opgive	ɔ p ɡ iː v ə
pink	p e n k
power	p ɔ w ə r
re	r eːˀ
retur	r e t uː r
singler	s e n ɡ l ə r
skærer	s k ɛː r ə r
tennis	t ɛ n i s
thomsen	t ɔ m s ə n
tilbudt	t e l b u t
truer	t r uː ə r
turde	t u r d ə
tynd	t ø n
vesten	v ɛ s t ə n
videnskabelige	v iː ð ə n s k aː b ə l i ə
vine	v iː n ə
værket	v ɛ r k ə ð
wilson	v i l s ɔ n
afsløret	a f s l øː r ə ð
arsenal	a r s ə n aː l
benzin	b ɛ n s iː n
betydelig	b e t yː d ə l i
blæser	b l ɛː s ə r
civile	s i v iː l ə
dick	d e k
dommeren	d ɔ m ə r ə n
ex	ɛ k s
faderen	f a d eː r ə n
fandeme	f a n ə m ə
fi	f iːˀ
fitness	f i t n ɛ s
forblive	f ɔ r b l iː v ə
forslaget	f ɔ r s l aː ɣ ə ð
hanne	h a n ə
industrien	e n d u s t r iː ə n
infrastruktur	e n f r a s t r u k t uː r
isen	iː s ə n
jason	j a s oː n
jern	j ɛ r n
jobs	j ɔ p s
korrekte	k ɔ r ɛ k t ə
kreative	k r e a t iː v ə
kørekort	k øː r ə k ɔ r t
kørende	k øː r ə n ə
landsbyen	l a n s b yː ə n
las	l aː s
lokaler	l o k aː l ə r
mellemøsten	m ɛ l ə m ø s t ə n
mestre	m ɛ s t r ə
mængden	m ɛ n ɡ d ə n
omgivet	ɔ m ɡ iː v ə ð
pose	p oː s ə
rykke	r ø k ə
saa	s aː
sankt	s a n k t
seriøs	s e r i øː s
server	s ɛ r v ə r
sikrede	s e k r eː ð ə
simple	s e m p l ə
stockholm	s t ɔ k h ɔ l m
storbritannien	s t ɔ r b r i t a n i ə n
sværd	s v ɛ rˀ d
tillige	t e l i ə
tung	t o n ɡ
udtale	u d t aː l ə
afsløre	a f s l øː r ə
aktuelle	a k t u ɛ l ə
albert	a l b ɛ r t
alexander	a l ɛ k s a n ə r
amerikanere	a m e r i k a n eː r ə
angel	a n ɡ ə l
apps	a p s
begrænse	b e ɡ r ɛ n s ə
christina	k r i s t iː n a
forberede	f ɔ r b eː r ə ð ə
forholdene	f ɔ r h ɔ l ə n ə
formel	f ɔ r m ɛ lˀ
fænomen	f ɛ n oː m ə n
gætter	ɡ ɛ t ə r
inklusive	e n k l u s iː v ə
kapacitet	k a p a s i t eː t
kate	k aː t ə
kemi	k e m iː
klasser	k l a s ə r
konflikter	k ɔ n f l e k t ə r
lejren	l a j r ə n
lisa	l iː s a
medaljer	m e d a l j ə r
nina	n iː n a
satser	s a t s ə r
sexy	s ɛ k s yː
sjældne	s j ɛ l n ə
skiftede	s k e f t ə ð ə
slaget	s l aː ɣ ə ð
stoffet	s t ɔ f ə ð
trusler	t r u s l ə r
voksende	v ɔ k s ə n ə
afslutte	a f s l u t ə
andrew	a n d r ɛ v
antyder	a n t yː d ə r
bandet	b a n ə ð
dumme	d o m ə
dyrere	d y r eː r ə
eje	a j ə
hævet	h ɛː v ə ð
inviterer	e n v i t eː r ə r
jysk	j y s k
kraftige	k r a f t i ə
krydser	k r y s ə r
makeup	m a k ø p
master	m a s t ə r
meldte	m ɛ l t ə
menneskelig	m ɛ n ə s k ə l i
michelle	m i s j ɛ l ə
ministre	m i n i s t r ə
party	p a r t yː
privatliv	p r i v a t l iː v
præsidenten	p r ɛ s i d ɛ n t ə n
præsten	p r ɛ s t ə n
rapporter	r a p ɔ r t ə r
ringen	r e n ɡ ə n
rosa	r oː s a
ross	r ɔ s
rykket	r ø k ə ð
sammenhænge	s a m ə n h ɛ n ɡ ə
sammensat	s a m ə n s a t
samtalen	s a m t aː l ə n
sans	s a n s
seje	s a j ə
skylden	s k y l ə n
steget	s t a j ə ð
studere	s t u d eː r ə
sunde	s o n ə
svenskerne	s v ɛ n s k ə r n ə
tina	t iː n a
trykke	t r ø k ə
vækker	v ɛ k ə r
ankomst	a n k ɔ m s t
anser	a n s ə r
arkitektur	a r k i t ɛ k t uː r
betjent	b e t j ɛ n t
bh	b eː h oːˀ
bio	b iː o
bløde	b l øː ð ə
casper	k a s p ə r
come	k oː m ə
dam	d a m
des	d eː s
dominerende	d o m i n eː r ə n ə
enorm	eː n ɔ r m
fonden	f ɔ n ə n
hitler	h i t l ə r
håbede	h ɔː b ə ð ə
indtægter	e n t ɛ ɡ t ə r
japanske	j a p aː n s k ə
jersey	j ɛ r s i
livs	l i vˀ s
nøjagtig	n ø j a ɡ t i
ovnen	ɔ v n ə n
rapporten	r a p ɔ r t ə n
ribe	r iː b ə
sangen	s a n ɡ ə n
sports	s p ɔ r t s
støttet	s t ø t ə ð
support	s u p ɔ r t
svagt	s v a k t
truede	t r uː ə ð ə
tyndt	t ø n t
udtaler	u d t aː l ə r
uges	uː ə s
æren	ɛː r ə n
afdøde	a f d øː ð ə
bi	b iː
birgitte	b i r ɡ i t ə
blandede	b l a n ə ð ə
boks	b ɔ k s
brystet	b r ø s t ə ð
cirkus	s i r k u s
classic	k l a s i k
drik	d r e k
efterlader	ɛ f d ɐ l aː d ə r
fox	f ɔ k s
fusion	f u s j oː n
happy	h a p i
hart	h a r t
hellerup	h ɛ l ə r u p
howard	h o w a r
kram	k r a m
lander	l a n ə r
mærkelig	m ɛ r k ə l i
nutidens	n u t i d ɛ n s
pisse	p i s ə
rester	r ɛ s t ə r
ringet	r e n ɡ ə ð
rollen	r ɔ l ə n
roller	r ɔ l ə r
russerne	r u s ə r n ə
samles	s a m l ə s
selvstændige	s ɛ l s t ɛ n d i ə
simpel	s e m p ə l
stadigt	s t a d e k t
stærkeste	s t ɛ r k ə s t ə
tids	t i s
tjente	t j ɛ n t ə
tropper	t r ɔ p ə r
udnytter	u d n ø t ə r
ulykker	u l ø k ə r
varierer	v a r i eː r ə r
vaske	v a s k ə
