ovat	o ʋ ɑ t
ollen	o lː e n
sekuntia	s e k u n t i ɑ
soitti	s o i̯ tː i
syistä	s y i̯ s t æˣ
säännöt	s æː nː ø t
tason	t ɑ s o n
vaikutti	ʋ ɑ i̯ k u tː i
vanhaa	ʋ ɑ n h ɑː
yleistä	y l e i̯ s t æˣ
ajat	ɑ j ɑ t
kaikessa	k ɑ i̯ k e sː ɑ
kädet	k æ d e t
mediassa	m e d i ɑ sː ɑ
mukaansa	m u k ɑː n s ɑ
mukanaan	m u k ɑ n ɑː n
musiikin	m u s iː k i n
otettiin	o t e tː iː n
pienempi	p i e̯ n e m p i
pk	p eː k oː
pyritään	p y r i t æː n
samana	s ɑ m ɑ n ɑ
ääntä	æː n t æ
henkeä	h e ŋ k e æ
jatkoi	j ɑ t k o i̯
kaverit	k ɑ ʋ e r i t
keskustassa	k e s k u s t ɑ sː ɑ
kirjoittanut	k i r j o i̯ tː ɑ n u t
maksetaan	m ɑ k s e t ɑː n
menin	m e n i n
muusta	m uː s t ɑ
naisille	n ɑ i̯ s i lː eˣ
osui	o s u i̯
pisteet	p i s t eː t
pääsin	p æː s i n
päätöksiä	p æː t ø k s i æˣ
rahan	r ɑ h ɑ n
sanan	s ɑ n ɑ n
siirtyi	s iː r t y i̯
suunniteltu	s uː nː i t e l t u
tajusin	t ɑ j u s i n
tapahtumia	t ɑ p ɑ h t u m i ɑ
tarinan	t ɑ r i n ɑ n
tarvinnut	t ɑ r ʋ i nː u t
tietävät	t i e̯ t æ ʋ æ t
tulleet	t u lː eː t
tunnu	t u nː u
tuntee	t u n t eː
tytön	t y t ø n
tämäkin	t æ m æ k i n
uransa	u r ɑ n s ɑ
verkossa	ʋ e r k o sː ɑ
väkeä	ʋ æ k e æ
afrikan	ɑ f r i k ɑ n
elämäni	e l æ m æ n i
hae	h ɑ eˣ
hallituksessa	h ɑ lː i t u k s e sː ɑ
hiukset	h i u̯ k s e t
hävisi	h æ ʋ i s i
joidenkin	j o i̯ d e ŋ k i n
jokaisella	j o k ɑ i̯ s e lː ɑˣ
jäsenet	j æ s e n e t
kirjat	k i r j ɑ t
kulttuurin	k u l tː uː r i n
käytännön	k æ y̯ t æ nː ø n
liikkuu	l iː kː uː
mahtuu	m ɑ h t uː
ni	n i
oven	o ʋ e n
politiikan	p o l i t iː k ɑ n
savon	s ɑ ʋ o n
sivuilla	s i ʋ u i̯ lː ɑˣ
tajua	t ɑ j u ɑˣ
tavataan	t ɑ ʋ ɑ t ɑː n
tilanteeseen	t i l ɑ n t eː s eː n
tunnen	t u nː e n
vaatteet	ʋ ɑː tː eː t
vaikuta	ʋ ɑ i̯ k u t ɑˣ
asiakkaat	ɑ s i ɑ kː ɑː t
enemmänkin	e n e mː æ ŋ k i n
hoitoon	h o i̯ t oː n
joutunut	j o u̯ t u n u t
kahdella	k ɑ h d e lː ɑˣ
kirjaa	k i r j ɑː
kisojen	k i s o j e n
kouluun	k o u̯ l uː n
kunnat	k u nː ɑ t
kuolee	k u o̯ l eː
kysyi	k y s y i̯
laitetaan	l ɑ i̯ t eˣ t ɑː n
millaista	m i lː ɑ i̯ s t ɑˣ
muuttui	m uː tː u i̯
netistä	n e t i s t æˣ
olisit	o l i s i t
pitkät	p i t k æ t
pitäis	p i t æ i̯ s
pitääkö	p i t æː k ø
poliisit	p o l iː s i t
puhui	p u h u i̯
puolelta	p u o̯ l e l t ɑ
ratkaisuja	r ɑ t k ɑ i̯ s u j ɑ
saamaan	s ɑː m ɑː n
sanovat	s ɑ n o ʋ ɑ t
tasolle	t ɑ s o lː eˣ
tyttöjen	t y tː ø j e n
työstä	t y ø̯ s t æˣ
valitaan	ʋ ɑ l i t ɑː n
yrittänyt	y r i tː æ n y t
arvoista	ɑ r ʋ o i̯ s t ɑˣ
ensimmäisellä	e n s i mː æ i̯ s e lː æˣ
erilaiset	e r i l ɑ i̯ s e t
heinäkuussa	h e i̯ n æ k uː sː ɑ
hyvässä	h y ʋ æ sː æ
keskustelun	k e s k u s t e l u n
maailmalla	m ɑː i l m ɑ lː ɑ
mahdollisuudet	m ɑ h d o lː i s uː d e t
mahdollisuutta	m ɑ h d o lː i s uː tː ɑ
nuoren	n u o̯ r e n
näki	n æ k i
näyttäisi	n æ y̯ tː æ i̯ s i
ohjelmaa	o h j e l m ɑː
oikeaa	o i̯ k eˣ ɑːˣ
oikeaan	o i̯ k eˣ ɑː n
osta	o s t ɑ
ottamatta	o tː ɑ m ɑ tː ɑ
puhunut	p u h u n u t
putosi	p u t o s i
pyrkii	p y r k iː
pääsevät	p æː s e ʋ æ t
red	r e d
seudun	s e u̯ d u n
sulle	s u lː eˣ
suomelle	s u o̯ m e lː eˣ
tapahtumat	t ɑ p ɑ h t u m ɑ t
tutkijat	t u t k i j ɑ t
työntekijät	t y ø̯ n t e k i j æ t
vaimonsa	ʋ ɑ i̯ m o n s ɑ
van	ʋ ɑ n
veroja	ʋ e r o j ɑ
all	ɑ lː
antavat	ɑ n t ɑ ʋ ɑ t
englanniksi	e ŋ l ɑ nː i k s i
espanjan	e s p ɑ n j ɑ n
haetaan	h ɑ e t ɑː n
harry	h ɑ rː y
helpompi	h e l p o m p i
henkilöt	h e ŋ k i l ø t
jalat	j ɑ l ɑ t
jokerit	j o k e r i t
katsomassa	k ɑ t s o m ɑ sː ɑ
kaupunkiin	k ɑ u̯ p u ŋ k iː n
kaverin	k ɑ ʋ e r i n
kommentoi	k o mː e n t o i̯
kuulin	k uː l i n
kysyy	k y s yː
käyn	k æ y̯ n
lakia	l ɑ k i ɑ
love	l o ʋ eˣ
maksoi	m ɑ k s o i̯
marraskuussa	m ɑ rː ɑ s k uː sː ɑ
nokian	n o k i ɑ n
osassa	o s ɑ sː ɑ
palvelun	p ɑ l ʋ e l u n
peliin	p e l iː n
perussuomalaisten	p e r u s s u o̯ m ɑ l ɑ i̯ s t e n
pään	p æː n
sarjaa	s ɑ r j ɑː
tammikuussa	t ɑ mː i k uː sː ɑ
tapahtuman	t ɑ p ɑ h t u m ɑ n
tekijät	t e k i j æ t
tiedetään	t i e̯ d eˣ t æː n
todellisuudessa	t o d e lː i s uː d e sː ɑ
tulin	t u l i n
työntekijöiden	t y ø̯ n t e k i j ø i̯ d e n
uhkaa	u h k ɑːˣ
vaativat	ʋ ɑː t i ʋ ɑ t
vastaavat	ʋ ɑ s t ɑː ʋ ɑ t
ajattelee	ɑ j ɑ tː e l eː
elokuvat	e l o k u ʋ ɑ t
istuu	i s t uː
italian	i t ɑ l i ɑ n
joulukuussa	j o u̯ l u k uː sː ɑ
joutuvat	j o u̯ t u ʋ ɑ t
kirjassa	k i r j ɑ sː ɑ
kädessä	k æ d e sː æ
miehelle	m i e̯ h e lː eˣ
monella	m o n e lː ɑˣ
nähtiin	n æ h t iː n
ottaen	o tː ɑ e n
saako	s ɑː k o
seurassa	s e u̯ r ɑ sː ɑ
sinäkin	s i n æ k i n
vaatteita	ʋ ɑː tː e i̯ t ɑ
viikonlopun	ʋ iː k o n l o p u n
vikaa	ʋ i k ɑː
voisiko	ʋ o i̯ s i k o
voittoon	ʋ o i̯ tː oː n
antamaan	ɑ n t ɑ m ɑː n
arvoa	ɑ r ʋ o ɑˣ
asemaa	ɑ s e m ɑː
asioihin	ɑ s i o i̯ h i n
enpä	e n p æ
esitti	e s i tː i
kokemuksia	k o k eˣ m u k s i ɑ
kärpät	k æ r p æ t
liigassa	l iː ɡ ɑ sː ɑ
maailmaan	m ɑː i l m ɑː n
miettinyt	m i e̯ tː i n y t
monien	m o n i e n
nimet	n i m e t
nykyistä	n y k y i̯ s t æˣ
osallistui	o s ɑ lː i s t u i̯
poliittisen	p o l iː tː i s e n
päätin	p æː t i n
sivut	s i ʋ u t
super	s u p e r
syyskuuta	s yː s k uː t ɑ
tiistaina	t iː s t ɑ i̯ n ɑ
toukokuussa	t o u̯ k o k uː sː ɑ
tulen	t u l e n
tällaisen	t æ lː ɑ i̯ s e n
uran	u r ɑ n
uudella	uː d e lː ɑˣ
vaalien	ʋ ɑː l i e n
vaasan	ʋ ɑː s ɑ n
voimaa	ʋ o i̯ m ɑː
yhteistyössä	y h t e i̯ s t y ø̯ sː æ
äitinsä	æ i̯ t i n s æ
ääniä	æː n i æˣ
eläinten	e l æ i̯ n t e n
ennenkin	e nː e ŋ k i n
erilaista	e r i l ɑ i̯ s t ɑˣ
etsi	e t s i
jutut	j u t u t
kasvua	k ɑ s ʋ u ɑˣ
kaupassa	k ɑ u̯ p ɑ sː ɑ
kertomaan	k e r t o m ɑː n
kieltä	k i e̯ l t æ
kiinassa	k iː n ɑ sː ɑ
kisat	k i s ɑ t
kuukaudessa	k uː k ɑ u̯ d e sː ɑ
käytän	k æ y̯ t æ n
lainaa	l ɑ i̯ n ɑː
liikkeen	l iː kː eː n
luonnon	l u o̯ nː o n
luvan	l u ʋ ɑ n
löydät	l ø y̯ d æ t
markkinoille	m ɑ r kː i n o i̯ lː eˣ
neuvostoliiton	n e u̯ ʋ o s t o l iː t o n
noista	n o i̯ s t ɑˣ
onpa	o n p ɑ
opiskelijat	o p i s k e l i j ɑ t
paikat	p ɑ i̯ k ɑ t
palkkaa	p ɑ l kː ɑːˣ
pelataan	p e l ɑ t ɑː n
pääsen	p æː s e n
real	r e ɑ l
tavaraa	t ɑ ʋ ɑ r ɑː
tottakai	t o tː ɑ k ɑ i̯
työhön	t y ø̯ h ø n
työssä	t y ø̯ sː æ
unta	u n t ɑ
vaalit	ʋ ɑː l i t
vaikkei	ʋ ɑ i̯ kː e i̯
alueelta	ɑ l u eː l t ɑ
asiakkaan	ɑ s i ɑ kː ɑː n
autoja	ɑ u̯ t o j ɑ
entisen	e n t i s e n
haluatko	h ɑ l u ɑ t k o
hinnan	h i nː ɑ n
huonoja	h u o̯ n o j ɑ
jutussa	j u t u sː ɑ
kolmanneksi	k o l m ɑ nː e k s i
kuopion	k u o̯ p i o n
laitoin	l ɑ i̯ t o i̯ n
lokakuuta	l o k ɑ k uː t ɑ
luvulta	l u ʋ u l t ɑ
lääkärin	l æː k æ r i n
maaliskuussa	m ɑː l i s k uː sː ɑ
marraskuuta	m ɑ rː ɑ s k uː t ɑ
mielelläni	m i e̯ l e lː æ n i
muuhun	m uː h u n
niinkuin	n iː ŋ k u i̯ n
osti	o s t i
pelaamaan	p e l ɑː m ɑː n
samoja	s ɑ m o j ɑ
selvisi	s e l ʋ i s i
sopivat	s o p i ʋ ɑ t
tapana	t ɑ p ɑ n ɑ
tarvitsisi	t ɑ r ʋ i t s i s i
tehtyä	t e h t y æˣ
tuleeko	t u l eː k o
vuodeksi	ʋ u o̯ d e k s i
yliopistossa	y l i o p i s t o sː ɑ
ajoin	ɑ j o i̯ n
autoon	ɑ u̯ t oː n
haastattelussa	h ɑː s t ɑ tː e l u sː ɑ
helpompaa	h e l p o m p ɑː
isoa	i s o ɑˣ
isompi	i s o m p i
järjestelmän	j æ r j e s t e l m æ n
kansalaisten	k ɑ n s ɑ l ɑ i̯ s t e n
kanssaan	k ɑ n sː ɑː n
kunniaksi	k u nː i ɑ k s i
kutsuu	k u t s uː
kuulunut	k uː l u n u t
listan	l i s t ɑ n
lukuisia	l u k u i̯ s i ɑ
lukuun	l u k uː n
markkinoilla	m ɑ r kː i n o i̯ lː ɑˣ
mieti	m i e̯ t i
moneen	m o n eː n
odottamaan	o d o tː ɑ m ɑː n
palkinnon	p ɑ l k i nː o n
putin	p u t i n
sairaalassa	s ɑ i̯ r ɑː l ɑ sː ɑ
suurimmat	s uː r i mː ɑ t
tapauksissa	t ɑ p ɑ u k s i sː ɑ
tarvitsevat	t ɑ r ʋ i t s e ʋ ɑ t
toimimaan	t o i̯ m i m ɑː n
vaikutuksia	ʋ ɑ i̯ k u t u k s i ɑ
viedään	ʋ i e̯ d æː n
yksikään	y k s i k æː n
yritä	y r i t æˣ
ajaksi	ɑ j ɑ k s i
aseman	ɑ s e m ɑ n
asukkaat	ɑ s u kː ɑː t
dollarin	d o lː ɑ r i n
eurooppaan	e u̯ r oː pː ɑː n
hetkeksi	h e t k e k s i
jokaiselle	j o k ɑ i̯ s e lː eˣ
kaikkeen	k ɑ i̯ kː eː n
koostuu	k oː s t uː
käyttäen	k æ y̯ tː æ e n
lapsena	l ɑ p s e n ɑ
lukion	l u k i o n
lähdetään	l æ h d eˣ t æː n
mallin	m ɑ lː i n
martin	m ɑ r t i n
menetti	m e n e tː i
monessa	m o n e sː ɑ
nuorille	n u o̯ r i lː eˣ
ohjeet	o h j eː t
omiin	o m iː n
opiskelijoiden	o p i s k e l i j o i̯ d e n
palvelua	p ɑ l ʋ e l u ɑˣ
pienellä	p i e̯ n e lː æˣ
pystynyt	p y s t y n y t
päivät	p æ i̯ ʋ æ t
sanoisin	s ɑ n o i̯ s i n
ssä	sː æ
trumpin	t r u m p i n
turkin	t u r k i n
useat	u s e ɑ t
vaikutukset	ʋ ɑ i̯ k u t u k s e t
arvot	ɑ r ʋ o t
asiakkaita	ɑ s i ɑ kː ɑ i̯ t ɑ
eduskunnassa	e d u s k u nː ɑ sː ɑ
ehti	e h t i
elävät	e l æ ʋ æ t
hankkeen	h ɑ ŋ kː eː n
ilmestyi	i l m e s t y i̯
israelin	i s r ɑ e l i n
jalkapallon	j ɑ l k ɑ p ɑ lː o n
japanin	j ɑ p ɑ n i n
johan	j o h ɑ n
katsoin	k ɑ t s o i̯ n
kehityksen	k e h i t y k s e n
keinoja	k e i̯ n o j ɑ
kodin	k o d i n
kolmeen	k o l m eː n
kustannukset	k u s t ɑ nː u k s e t
kyseisen	k y s e i̯ s e n
kysymykseen	k y s y m y k s eː n
käsittelee	k æ s i tː e l eː
laitan	l ɑ i̯ t ɑ n
loistavaa	l o i̯ s t ɑ ʋ ɑː
lähi	l æ h i
lähtevät	l æ h t eˣ ʋ æ t
maaliin	m ɑː l iː n
maistuu	m ɑ i̯ s t uː
matkaan	m ɑ t k ɑː n
miettii	m i e̯ tː iː
miettimään	m i e̯ tː i m æː n
millaisia	m i lː ɑ i̯ s i ɑ
muutokset	m uː t o k s e t
odotetaan	o d o t e t ɑː n
one	o n eˣ
pitkiä	p i t k i æˣ
pohjanmaan	p o h j ɑ n m ɑː n
pystyi	p y s t y i̯
pyörii	p y ø̯ r iː
päätteeksi	p æː tː eː k s i
päättänyt	p æː tː æ n y t
rakkautta	r ɑ kː ɑ u tː ɑ
ruotsiin	r u o̯ t s iː n
toimeen	t o i̯ m eː n
toimivan	t o i̯ m i ʋ ɑ n
toisiinsa	t o i̯ s iː n s ɑ
tuen	t u e n
unionin	u n i o n i n
varmaa	ʋ ɑ r m ɑː
venäläiset	ʋ e n æ l æ i̯ s e t
ystävät	y s t æ ʋ æ t
alkua	ɑ l k u ɑˣ
annan	ɑ nː ɑ n
arvioi	ɑ r ʋ i o i̯
ettet	e tː e t
iski	i s k i
kentällä	k e n t æ lː æˣ
menoa	m e n o ɑˣ
muutoksen	m uː t o k s e n
olipa	o l i p ɑ
osannut	o s ɑ nː u t
pelaajan	p e l ɑː j ɑ n
pidettiin	p i d e tː iː n
prosentin	p r o s e n t i n
päästään	p æː s t æː n
rakennuksen	r ɑ k e nː u k s e n
ranskassa	r ɑ n s k ɑ sː ɑ
sairaalaan	s ɑ i̯ r ɑː l ɑː n
seurasi	s e u̯ r ɑ s i
sotaa	s o t ɑːˣ
tapahtumaan	t ɑ p ɑ h t u m ɑː n
todettu	t o d e tː u
tonnia	t o nː i ɑ
tunnissa	t u nː i sː ɑ
tuotteet	t u o̯ tː eː t
tutkimusta	t u t k i m u s t ɑ
työpaikkoja	t y ø̯ p ɑ i̯ kː o j ɑ
ukrainan	u k r ɑ i̯ n ɑ n
vaati	ʋ ɑː t i
valoa	ʋ ɑ l o ɑˣ
vastaavaa	ʋ ɑ s t ɑː ʋ ɑː
vastauksia	ʋ ɑ s t ɑ u k s i ɑ
veti	ʋ e t i
ympäristön	y m p æ r i s t ø n
york	j o r k
yrittävät	y r i tː æ ʋ æ t
aamuna	ɑː m u n ɑ
alkoholin	ɑ l k o h o l i n
aluetta	ɑ l u e tː ɑ
cupin	k u p i n
etsimään	e t s i m æː n
frank	f r ɑ ŋ k
julkaistiin	j u l k ɑ i̯ s t iː n
kasvun	k ɑ s ʋ u n
kaupunkia	k ɑ u̯ p u ŋ k i ɑ
kerää	k e r æː
kiloa	k i l o ɑˣ
kokee	k o k eː
koske	k o s k eˣ
kovia	k o ʋ i ɑ
lunta	l u n t ɑ
nosti	n o s t i
ongelmaa	o ŋː e l m ɑː
oppii	o pː iː
paremman	p ɑ r e mː ɑ n
pisteen	p i s t eː n
puhumaan	p u h u m ɑː n
puhuvat	p u h u ʋ ɑ t
rakennetaan	r ɑ k e nː eˣ t ɑː n
sopivan	s o p i ʋ ɑ n
st	e s t
tossa	t o sː ɑ
tuollaista	t u o̯ lː ɑ i̯ s t ɑˣ
turhan	t u r h ɑ n
työntekijän	t y ø̯ n t e k i j æ n
uudenmaan	uː d e n m ɑː n
vaaditaan	ʋ ɑː d i t ɑː n
velkaa	ʋ e l k ɑː
ajatellut	ɑ j ɑ t e lː u t
britanniassa	b r i t ɑ nː i ɑ sː ɑ
een	eː n
ehtii	e h t iː
el	e l
energian	e n e r ɡ i ɑ n
helmikuussa	h e l m i k uː sː ɑ
huhtikuussa	h u h t i k uː sː ɑ
huonoa	h u o̯ n o ɑˣ
järjestön	j æ r j e s t ø n
jättänyt	j æ tː æ n y t
kokeile	k o k e i̯ l eˣ
kreikan	k r e i̯ k ɑ n
loppui	l o pː u i̯
lyhyen	l y h y e n
menivät	m e n i ʋ æ t
merkitsee	m e r k i t s eː
monelle	m o n e lː eˣ
not	n o t
oikeuteen	o i̯ k e u̯ t eː n
ovet	o ʋ e t
saataisiin	s ɑː t ɑ i̯ s iː n
sanoen	s ɑ n o e n
sattui	s ɑ tː u i̯
sosiaalisen	s o s i ɑː l i s e n
suomella	s u o̯ m e lː ɑˣ
tapahdu	t ɑ p ɑ h d u
tarkoitetaan	t ɑ r k o i̯ t eˣ t ɑː n
tekstiä	t e k s t i æˣ
tulot	t u l o t
valot	ʋ ɑ l o t
venäjälle	ʋ e n æ j æ lː eˣ
vuotiaan	ʋ u o̯ t i ɑː n
väkivaltaa	ʋ æ k i ʋ ɑ l t ɑːˣ
afrikassa	ɑ f r i k ɑ sː ɑ
ajalta	ɑ j ɑ l t ɑ
android	ɑ n d r o i̯ d
auringon	ɑ u̯ r i ŋː o n
esityksen	e s i t y k s e n
herää	h e r æː
hoitoa	h o i̯ t o ɑˣ
hämeen	h æ m eː n
il	i l
jan	j ɑ n
jatkossakin	j ɑ t k o s s ɑ k i n
kertaan	k e r t ɑː n
kysymyksiin	k y s y m y k s iː n
kärsii	k æ r s iː
käyvät	k æ y̯ ʋ æ t
laatua	l ɑː t u ɑˣ
lajin	l ɑ j i n
maailmasta	m ɑː i l m ɑ s t ɑ
mark	m ɑ r k
materiaalia	m ɑ t e r i ɑː l i ɑ
miss	m i sː
näkynyt	n æ k y n y t
onkohan	o ŋ k o h ɑ n
parempaan	p ɑ r e m p ɑː n
perustettu	p e r u s t e tː u
pitkää	p i t k æːˣ
poliisia	p o l iː s i ɑ
sadan	s ɑ d ɑ n
seuraavaa	s e u̯ r ɑː ʋ ɑː
sua	s u ɑˣ
suomalaisille	s u o̯ m ɑ l ɑ i̯ s i lː eˣ
sääntöjä	s æː n t ø j æ
tapahtumassa	t ɑ p ɑ h t u m ɑ sː ɑ
työntekijöitä	t y ø̯ n t e k i j ø i̯ t æ
työskentelee	t y ø̯ s k e n t e l eː
vanhojen	ʋ ɑ n h o j e n
videot	ʋ i d e o t
vinkkejä	ʋ i ŋ kː e j æ
ymmärtänyt	y mː æ r t æ n y t
aasian	ɑː s i ɑ n
ajattelen	ɑ j ɑ tː e l e n
carl	k ɑ r l
ehdi	e h d i
elokuvassa	e l o k u ʋ ɑ sː ɑ
jaettu	j ɑ e tː u
johtajan	j o h t ɑ j ɑ n
jäivät	j æ i̯ ʋ æ t
kengät	k e ŋː æ t
kuulee	k uː l eː
linjan	l i n j ɑ n
lopun	l o p u n
löytyvät	l ø y̯ t y ʋ æ t
opin	o p i n
or	o r
outoa	o u̯ t o ɑˣ
pisteitä	p i s t e i̯ t æˣ
rajat	r ɑ j ɑ t
ryhmään	r y h m æː n
saadakseen	s ɑː d ɑ k s eː n
selväksi	s e l ʋ æ k s i
sipilän	s i p i l æ n
suostu	s u o̯ s t u
talven	t ɑ l ʋ e n
tarinoita	t ɑ r i n o i̯ t ɑ
teollisuuden	t e o lː i s uː d e n
toisena	t o i̯ s e n ɑ
toivoo	t o i̯ ʋ oː
tuotannon	t u o̯ t ɑ nː o n
tuotteiden	t u o̯ tː e i̯ d e n
tutkimuksessa	t u t k i m u k s e sː ɑ
tyttöjä	t y tː ø j æ
työpaikan	t y ø̯ p ɑ i̯ k ɑ n
uusiin	uː s iː n
vaihtelee	ʋ ɑ i̯ h t eˣ l eː
vaikuttanut	ʋ ɑ i̯ k u tː ɑ n u t
vaimon	ʋ ɑ i̯ m o n
valitsi	ʋ ɑ l i t s i
veikkaan	ʋ e i̯ kː ɑː n
virtaa	ʋ i r t ɑːˣ
voitu	ʋ o i̯ t u
väkivallan	ʋ æ k i ʋ ɑ lː ɑ n
yleisön	y l e i̯ s ø n
yrityksille	y r i t y k s i lː eˣ
aseita	ɑ s e i̯ t ɑ
ben	b e n
ehkäpä	e h k æ p æ
esitetty	e s i t e tː y
etenee	e t e n eː
etkä	e t k æ
hienoja	h i e̯ n o j ɑ
homman	h o mː ɑ n
jakson	j ɑ k s o n
kaikenlaista	k ɑ i̯ k e n l ɑ i̯ s t ɑˣ
kappaleen	k ɑ pː ɑ l eː n
katsoi	k ɑ t s o i̯
katson	k ɑ t s o n
kolmessa	k o l m e sː ɑ
korean	k o r e ɑ n
kuun	k uː n
käytettiin	k æ y̯ t e tː iː n
käyty	k æ y̯ t y
lahdessa	l ɑ h d e sː ɑ
lataa	l ɑ t ɑːˣ
lontoon	l o n t oː n
lontoossa	l o n t oː sː ɑ
luokkaa	l u o̯ kː ɑːˣ
maksavat	m ɑ k s ɑ ʋ ɑ t
menisi	m e n i s i
merkkejä	m e r kː e j æ
olit	o l i t
pallon	p ɑ lː o n
puolivälissä	p u o̯ l i ʋ æ l i sː æ
päivään	p æ i̯ ʋ æː n
sta	s t ɑ
taidan	t ɑ i̯ d ɑ n
tainnut	t ɑ i̯ nː u t
terveydenhuollon	t e r ʋ e y̯ d e n h u o̯ lː o n
tilan	t i l ɑ n
tilanteissa	t i l ɑ n t e i̯ sː ɑ
todisteita	t o d i s t e i̯ t ɑ
toivotaan	t o i̯ ʋ o t ɑː n
tukholman	t u k h o l m ɑ n
tulemaan	t u l e m ɑː n
uudelle	uː d e lː eˣ
uusiksi	uː s i k s i
videoita	ʋ i d eˣ o i̯ t ɑ
viranomaisten	ʋ i r ɑ n o m ɑ i̯ s t e n
yhdistyksen	y h d i s t y k s e n
aineita	ɑ i̯ n e i̯ t ɑ
ajattele	ɑ j ɑ tː e l eˣ
alueita	ɑ l u e i̯ t ɑ
arvostan	ɑ r ʋ o s t ɑ n
edustajat	e d u s t ɑ j ɑ t
elokuun	e l o k uː n
hallinnon	h ɑ lː i nː o n
ihmisillä	i h m i s i lː æ
ilmestyy	i l m e s t yː
iloa	i l o ɑˣ
jokaisessa	j o k ɑ i̯ s e sː ɑ
kasvavat	k ɑ s ʋ ɑ ʋ ɑ t
kentälle	k e n t æ lː eˣ
keskusteluun	k e s k u s t e l uː n
kierroksella	k i e̯ rː o k s e lː ɑˣ
kierroksen	k i e̯ rː o k s e n
kohteeksi	k o h t eː k s i
luvut	l u ʋ u t
maaseudun	m ɑː s e u̯ d u n
miehistä	m i e̯ h i s t æˣ
myynnissä	m yː nː i sː æ
myyntiin	m yː n t iː n
naapurin	n ɑː p u r i n
osaltaan	o s ɑ l t ɑː n
perseestä	p e r s eː s t æˣ
pidempään	p i d e m p æː n
poikansa	p o i̯ k ɑ n s ɑ
politiikkaa	p o l i t iː kː ɑːˣ
porin	p o r i n
puolin	p u o̯ l i n
sellaiset	s e lː ɑ i̯ s e t
sopivaa	s o p i ʋ ɑː
syyskuun	s yː s k uː n
taiteen	t ɑ i̯ t eː n
tapasi	t ɑ p ɑ s i
tarvitset	t ɑ r ʋ i t s e t
ton	t o n
tuttuja	t u tː u j ɑ
uskonut	u s k o n u t
vaihtoehtoa	ʋ ɑ i̯ h t o e h t o ɑˣ
valitsee	ʋ ɑ l i t s eː
vastaamaan	ʋ ɑ s t ɑː m ɑː n
vuotiaiden	ʋ u o̯ t i ɑ i̯ d e n
yorkissa	j o r k i sː ɑ
amerikassa	ɑ m e r i k ɑ sː ɑ
asun	ɑ s u n
avasi	ɑ ʋ ɑ s i
best	b e s t
helpommin	h e l p o mː i n
herätti	h e r æ tː i
hintaa	h i n t ɑːˣ
hoidetaan	h o i̯ d eˣ t ɑː n
hotellin	h o t e lː i n
hyvinvoinnin	h y ʋ i n ʋ o i̯ nː i n
hätää	h æ t æːˣ
ilmassa	i l m ɑ sː ɑ
jääkiekon	j æː k i e̯ k o n
kilpailussa	k i l p ɑ i̯ l u sː ɑ
kohteena	k o h t eː n ɑ
lapselle	l ɑ p s e lː eˣ
miehille	m i e̯ h i lː eˣ
mielestään	m i e̯ l e s t æː n
mikäs	m i k æ s
molempia	m o l e m p i ɑ
muilta	m u i̯ l t ɑ
ohjaa	o h j ɑː
olevani	o l e ʋ ɑ n i
olihan	o l i h ɑ n
ollutkaan	o lː u t k ɑː n
osat	o s ɑ t
pankin	p ɑ ŋ k i n
persut	p e r s u t
pienten	p i e̯ n t e n
puolueiden	p u o̯ l u e i̯ d e n
putinin	p u t i n i n
päätyi	p æː t y i̯
rakkauden	r ɑ kː ɑ u̯ d e n
sanomien	s ɑ n o m i e̯ n
senttiä	s e n tː i æˣ
sukupolven	s u k u p o l ʋ e n
taloon	t ɑ l oː n
tarjosi	t ɑ r j o s i
tarvi	t ɑ r ʋ i
tiesi	t i e̯ s i
tiesin	t i e̯ s i n
toiminnassa	t o i̯ m i nː ɑ sː ɑ
toimittajat	t o i̯ m i tː ɑ j ɑ t
tuotteen	t u o̯ tː eː n
tyypin	t yː p i n
vaikutuksen	ʋ ɑ i̯ k u t u k s e n
viimeisenä	ʋ iː m e i̯ s e n æ
von	ʋ o n
ylä	y l æ
yorkin	j o r k i n
annettiin	ɑ nː e tː iː n
asiakkaiden	ɑ s i ɑ kː ɑ i̯ d e n
asioissa	ɑ s i o i̯ sː ɑ
epäilen	e p æ i̯ l e n
erikoista	e r i k o i̯ s t ɑˣ
helvettiä	h e l ʋ e tː i æˣ
iskee	i s k eː
joensuun	j o e n s uː n
joitain	j o i̯ t ɑ i̯ n
jokaista	j o k ɑ i̯ s t ɑˣ
kelan	k e l ɑ n
keräsi	k e r æ s i
kovan	k o ʋ ɑ n
laskettu	l ɑ s k e tː u
liikenteessä	l iː k e n t eː sː æ
lisätään	l i s æ t æː n
mahdolliset	m ɑ h d o lː i s e t
maista	m ɑ i̯ s t ɑˣ
meinaa	m e i̯ n ɑː
miljoonia	m i l j oː n i ɑ
muodostuu	m u o̯ d o s t uː
muuttuvat	m uː tː u ʋ ɑ t
niinhän	n iː n h æ n
näkyvät	n æ k y ʋ æ t
näyttämään	n æ y̯ tː æ m æː n
oikeita	o i̯ k e i̯ t ɑ
olenko	o l e ŋ k o
olisikin	o l i s i k i n
ottavat	o tː ɑ ʋ ɑ t
parhaaksi	p ɑ r h ɑː k s i
pelaajia	p e l ɑː j i ɑ
pelistä	p e l i s t æˣ
pohjoismaiden	p o h j o i̯ s m ɑ i̯ d e n
puolueet	p u o̯ l u eː t
rauhan	r ɑ u̯ h ɑ n
