bil	b íː l
območjih	ɔ b m óː t͡ʃ j i x
odkril	ɔ t k r íː l
opreme	ɔ p r èː m ɛ
ostaja	ɔ s t áː j a
padel	p àː d ə ʋ
podobna	p ɔ d óː b n a
relativno	r ɛ l a t íː ʋ n ɔ
rojstni	r ɔ̀ː j s t n i
same	s àː m ɛ
sredstva	s r èː t s t ʋ a
tujini	t u j ìː n i
vedel	ʋ èː d ə ʋ
vidim	ʋ ìː d i m
vodila	ʋ ɔ d ìː l a
želela	ʒ ɛ l éː l a
celic	t͡s èː l i t͡s
celice	t͡s ɛ l ìː t͡s ɛ
dogodkov	d ɔ ɡ óː t k ɔ ʋ
hotela	x ɔ t éː l a
imata	i m áː t a
lige	l ìː ɡ ɛ
mesecih	m ɛ s èː t͡s i x
naprave	n a p r àː ʋ ɛ
naravne	n a r áː ʋ n ɛ
naziv	n a z íː ʋ
njihovega	n j i x ɔ ʋ éː ɡ a
pojavijo	p ɔ j àː ʋ i j ɔ
pojavljajo	p ɔ j a ʋ l j áː j ɔ
postavil	p ɔ s t a ʋ íː l
prof	p r óː f
slabe	s l àː b ɛ
sreče	s r èː t͡ʃ ɛ
tujih	t ùː j i x
uporabili	u p ɔ r a b ìː l i
vsaki	ʋ s àː k i
zavod	z a ʋ óː t
zvezo	z ʋ èː z ɔ
delovno	d ɛ l ɔ́ː ʋ n ɔ
domače	d ɔ m àː t͡ʃ ɛ
lesa	l èː s a
naslovu	n a s l ɔ́ː ʋ u
nekoga	n ɛ k óː ɡ a
nemogoče	n ɛ m ɔ ɡ óː t͡ʃ ɛ
nevarnosti	n ɛ ʋ àː r n ɔ s t i
obravnava	ɔ b r a ʋ n áː ʋ a
odkrili	ɔ t k r ìː l i
opremo	ɔ p r èː m ɔ
osvojil	ɔ s ʋ ɔ j ìː l
partner	p àː r t n ɛ r
postalo	p ɔ s t àː l ɔ
povedati	p ɔ ʋ èː d a t i
poveča	p ɔ ʋ èː t͡ʃ a
razlikujejo	r a z l i k u j ɛ́ː j ɔ
republiki	r ɛ p u b l ìː k i
sestavljajo	s ɛ s t a ʋ l j áː j ɔ
tradicionalno	t r a d i t͡s i ɔ n áː l n ɔ
višino	ʋ i ʃ ìː n ɔ
zapisal	z a p i s áː l
črni	t͡ʃ ə̀ r n i
ameriškega	a m ɛ r ìː ʃ k ɛ ɡ a
današnji	d a n áː ʃ n j i
dobe	d ɔ̀ː b ɛ
določa	d ɔ l óː t͡ʃ a
konča	k óː n t͡ʃ a
motnje	m óː t n j ɛ
notranjosti	n ɔ t r a n j óː s t i
parka	p áː r k a
področjih	p ɔ d r óː t͡ʃ j i x
pokazal	p ɔ k a z áː l
popoldne	p ɔ p ɔ́ː ʋ d n ɛ
posameznika	p ɔ s a m éː z n i k a
posebna	p ɔ s éː b n a
priložnosti	p r i l óː ʒ n ɔ s t i
regiji	r ɛ ɡ íː j i
reke	r èː k ɛ
sklada	s k l àː d a
spoznal	s p ɔ z n áː l
tremi	t r èː m i
upravljanje	u p r a ʋ l j áː n j ɛ
višina	ʋ i ʃ ìː n a
zanjo	z áː n j ɔ
beli	b èː l i
dali	d àː l i
filmov	f íː l m ɔ ʋ
gori	ɡ òː r i
gospodarsko	ɡ ɔ s p ɔ d áː r s k ɔ
meji	m ɛ̀ː j i
nalogo	n a l óː ɡ ɔ
našla	n áː ʃ l a
politični	p ɔ l ìː t i t͡ʃ n i
poškodbe	p ɔ ʃ k óː d b ɛ
pr	p ə́ r
predmetov	p r ɛ d m éː t ɔ ʋ
prevoz	p r ɛ ʋ óː s
pripada	p r i p áː d a
priznanja	p r i z n áː n j a
raka	r àː k a
rdeči	ə r d èː t͡ʃ i
serije	s ɛ r íː j ɛ
sistemi	s i s t èː m i
sledila	s l ɛ d ìː l a
sobi	s òː b i
stanovanje	s t a n ɔ ʋ áː n j ɛ
str	s t ə́ r
učinki	u t͡ʃ íː n k i
znamenitosti	z n a m ɛ n i t óː s t i
čudovito	t͡ʃ u d ɔ ʋ ìː t ɔ
dala	d àː l a
delavci	d ɛ l áː ʋ t͡s i
državnih	d ə r ʒ áː ʋ n i x
gredo	ɡ r èː d ɔ
igrala	i ɡ r áː l a
internet	i n t ɛ r n éː t
izključno	i s k l j ùː t͡ʃ n ɔ
koncert	k ɔ n t͡s éː r t
kratko	k r áː t k ɔ
lokalni	l ɔ k áː l n i
motorja	m ɔ t óː r j a
močna	m óː t͡ʃ n a
nagrad	n a ɡ r á t
najvišje	n á j ʋ ìː ʃ j ɛ
nastane	n a s t áː n ɛ
našem	n àː ʃ ə m
objavil	ɔ b j a ʋ íː l
parku	p áː r k u
pravil	p r a ʋ íː l
predstavil	p r ɛ t s t a ʋ íː l
predstavniki	p r ɛ t s t áː ʋ n i k i
prehod	p r ɛ x óː t
rdeča	ə r d èː t͡ʃ a
skriva	s k r ìː ʋ a
sodeluje	s ɔ d ɛ l úː j ɛ
svobode	s ʋ ɔ b óː d ɛ
tehnologijo	t ɛ x n ɔ l ɔ ɡ íː j ɔ
uprave	u p r àː ʋ ɛ
vidijo	ʋ ìː d i j ɔ
vplivajo	ʋ p l i ʋ áː j ɔ
yorku	j óː r k u
začasno	z a t͡ʃ áː s n ɔ
zdravnika	z d r áː ʋ n i k a
cesto	t͡s èː s t ɔ
jima	j ìː m a
mestnega	m ɛ s t n éː ɡ a
morem	m óː r ə m
naredimo	n a r ɛ d ìː m ɔ
nasvet	n a s ʋ éː t
odprto	ɔ t p ə́ r t ɔ
omogočajo	ɔ m ɔ ɡ ɔ t͡ʃ áː j ɔ
partnerja	p a r t n éː r j a
podrobnosti	p ɔ d r ɔ b n óː s t i
politike	p ɔ l ìː t i k ɛ
položaja	p ɔ l ɔ ʒ áː j a
posamezne	p ɔ s a m éː z n ɛ
povprečno	p ɔ ʋ p r èː t͡ʃ n ɔ
pravni	p r áː ʋ n i
prenos	p r ɛ n óː s
pripravil	p r i p r a ʋ íː l
rečem	r èː t͡ʃ ə m
srcu	s ə̀ r t͡s u
temo	t ɛ̀ː m ɔ
ugotovili	u ɡ ɔ t ɔ ʋ ìː l i
uprava	u p r áː ʋ a
ustvaril	u s t ʋ a r íː l
van	ʋ áː n
viri	ʋ ìː r i
visokih	ʋ i s óː k i x
vodstvo	ʋ óː t s t ʋ ɔ
vzhodu	ʋ z x óː d u
znane	z n àː n ɛ
živela	ʒ i ʋ éː l a
dolge	d ɔ̀ː ʋ ɡ ɛ
drugje	d r ùː ɡ j ɛ
evropo	ɛ ʋ r óː p ɔ
goriva	ɡ ɔ r ìː ʋ a
igri	ìː ɡ r i
izbrani	i z b r àː n i
izdaja	i z d áː j a
manjka	m áː n k a
mejo	m ɛ̀ː j ɔ
najpomembnejše	n á j p ɔ m èː m b n ɛ j ʃ ɛ
nastal	n a s t áː l
navaja	n a ʋ áː j a
odkar	ɔ̀ː t k a r
povzročajo	p ɔ ʋ z r ɔ t͡ʃ áː j ɔ
pridobil	p r i d ɔ b íː l
različica	r a z l ìː t͡ʃ i t͡s a
taki	t àː k i
trga	t ə̀ r ɡ a
varnosti	ʋ àː r n ɔ s t i
zamenjal	z a m ɛ n j áː l
šteje	ʃ t ɛ̀ː j ɛ
bolečine	b ɔ l èː t͡ʃ i n ɛ
delovne	d ɛ l ɔ́ː ʋ n ɛ
dobesedno	d ɔ b ɛ s éː d n ɔ
dobijo	d ɔ b íː j ɔ
določen	d ɔ l óː t͡ʃ ə n
element	ɛ l ɛ m éː n t
fantje	f áː n t j ɛ
filmu	f íː l m u
glavi	ɡ l àː ʋ i
hrani	x r àː n i
kosti	k òː s t i
lastne	l áː s t n ɛ
majhnih	m áː j x n i x
nadaljeval	n a d a l j ɛ ʋ áː l
naslova	n a s l ɔ́ː ʋ a
nemškega	n ɛ̀ː m ʃ k ɛ ɡ a
opravila	ɔ p r a ʋ ìː l a
polovico	p ɔ l ɔ ʋ ìː t͡s ɔ
položaju	p ɔ l ɔ ʒ áː j u
povezava	p ɔ ʋ ɛ z áː ʋ a
predstavnik	p r ɛ t s t áː ʋ n i k
storiti	s t ɔ r ìː t i
tale	t àː l ɛ
težavah	t ɛ ʒ áː ʋ a x
zmanjša	z m áː n ʃ a
časih	t͡ʃ àː s i x
črne	t͡ʃ ə̀ r n ɛ
avtorji	àː ʋ t ɔ r j i
carl	t͡s áː r l
celotne	t͡s ɛ l óː t n ɛ
določena	d ɔ l ɔ t͡ʃ éː n a
domu	d ɔ m úː
ed	éː t
glave	ɡ l àː ʋ ɛ
igrah	ìː ɡ r a x
koncept	k ɔ n t͡s éː p t
lokalne	l ɔ k áː l n ɛ
lokalno	l ɔ k áː l n ɔ
minutah	m i n ùː t a x
nalog	n a l óː k
navadi	n a ʋ àː d i
nesreči	n ɛ s r èː t͡ʃ i
oddelka	ɔ d d éː l k a
osnovnih	ɔ s n ɔ́ː ʋ n i x
poskus	p ɔ s k úː s
potrebovali	p ɔ t r ɛ b ɔ ʋ àː l i
raziskovalci	r a z i s k ɔ ʋ áː l t͡s i
ribe	r ìː b ɛ
sobo	s ɔ b óː
splošni	s p l óː ʃ n i
spoznali	s p ɔ z n àː l i
tednov	t ɛ̀ː d n ɔ ʋ
varstvo	ʋ áː r s t ʋ ɔ
zagotavlja	z a ɡ ɔ t áː ʋ l j a
črna	t͡ʃ ə̀ r n a
številnimi	ʃ t ɛ ʋ íː l n i m i
ameriki	a m ɛ r ìː k i
celoten	t͡s ɛ l óː t ə n
deloval	d ɛ l ɔ ʋ áː l
doline	d ɔ l ìː n ɛ
dosežke	d ɔ s éː ʃ k ɛ
duha	d ùː x a
generacije	ɡ ɛ n ɛ r àː t͡s i j ɛ
izvira	i z ʋ ìː r a
krajih	k r àː j i x
ljubljano	l j u b l j àː n ɔ
male	m àː l ɛ
moralo	m ɔ r àː l ɔ
nastopa	n a s t óː p a
nekatera	n ɛ k a t éː r a
nemške	n èː m ʃ k ɛ
odnose	ɔ d n óː s ɛ
odprl	ɔ t p ə́ r l
opazili	ɔ p a z ìː l i
opravili	ɔ p r a ʋ ìː l i
pogodbe	p ɔ ɡ óː d b ɛ
pojavlja	p ɔ j áː ʋ l j a
pomenilo	p ɔ m ɛ n ìː l ɔ
portal	p ɔ r t áː l
različno	r a z l ìː t͡ʃ n ɔ
rodila	r ɔ d ìː l a
sestavni	s ɛ s t áː ʋ n i
slednji	s l èː d n j i
sprejeli	s p r ɛ j èː l i
težavo	t ɛ ʒ àː ʋ ɔ
uspe	ùː s p ɛ
vašim	ʋ àː ʃ i m
vstopil	ʋ s t ɔ p íː l
zanje	z áː n j ɛ
boji	b òː j i
branje	b r àː n j ɛ
dnk	d ə́ n k
elemente	ɛ l ɛ m éː n t ɛ
gospodarske	ɡ ɔ s p ɔ d áː r s k ɛ
igrali	i ɡ r àː l i
javnost	j àː ʋ n ɔ s t
jezera	j ɛ z éː r a
klubu	k l ùː b u
količino	k ɔ l i t͡ʃ ìː n ɔ
končni	k óː n t͡ʃ n i
kožo	k óː ʒ ɔ
letoma	l ɛ t óː m a
lokalnih	l ɔ k áː l n i x
marsikaj	m a r s i k áː j
odgovoren	ɔ d ɡ ɔ ʋ óː r ə n
pomagala	p ɔ m a ɡ áː l a
postaje	p ɔ s t áː j ɛ
potrdil	p ɔ t ə r d íː l
pravega	p r a ʋ éː ɡ a
smemo	s m èː m ɔ
sodelovala	s ɔ d ɛ l ɔ ʋ áː l a
sodelovali	s ɔ d ɛ l ɔ ʋ àː l i
spominja	s p ɔ m íː n j a
sposobnost	s p ɔ s óː b n ɔ s t
spreminja	s p r ɛ m íː n j a
sredstvo	s r èː t s t ʋ ɔ
telefonu	t ɛ l ɛ f óː n u
volje	ʋ óː l j ɛ
vonj	ʋ óː n
you	j óː u
zgornji	z ɡ óː r n j i
četudi	t͡ʃ ɛ t ùː d i
čustva	t͡ʃ úː s t ʋ a
celotna	t͡s ɛ l óː t n a
dobite	d ɔ b ìː t ɛ
funkcij	f ùː n k t͡s i j
funkcija	f ùː n k t͡s i j a
izgubila	i z ɡ u b ìː l a
listi	l ìː s t i
mase	m àː s ɛ
mednarodna	m ɛ d n a r óː d n a
moža	m óː ʒ a
nacionalni	n a t͡s i ɔ n áː l n i
napada	n a p áː d a
nimate	n i m àː t ɛ
obseg	ɔ p s éː k
oddelku	ɔ d d éː l k u
odziv	ɔ d͡z íː ʋ
postopoma	p ɔ s t ɔ p óː m a
primeri	p r i m èː r i
služi	s l ùː ʒ i
sodi	s òː d i
stavb	s t áː ʋ p
sčasoma	s t͡ʃ a s óː m a
teku	t ɛ̀ː k u
točko	t óː t͡ʃ k ɔ
umre	ùː m r ɛ
zabave	z a b àː ʋ ɛ
zadnjo	z áː d n j ɔ
zapis	z a p íː s
zdravil	z d r a ʋ íː l
desetih	d ɛ s èː t i x
deželi	d ɛ ʒ èː l i
for	f ɔ́ r
hoteli	x ɔ t èː l i
izgubili	i z ɡ u b ìː l i
javne	j àː ʋ n ɛ
kisline	k i s l ìː n ɛ
mizo	m ìː z ɔ
napisala	n a p i s áː l a
oddaja	ɔ d d áː j a
okna	óː k n a
opravi	ɔ p r àː ʋ i
osebna	ɔ s éː b n a
otoku	ɔ t óː k u
pas	p áː s
pobudo	p ɔ b ùː d ɔ
podobni	p ɔ d óː b n i
pohod	p ɔ x óː t
poslali	p ɔ s l àː l i
povezanih	p ɔ ʋ ɛ z àː n i x
površino	p ɔ ʋ ə́ r ʃ i n ɔ
predstavo	p r ɛ t s t áː ʋ ɔ
pristop	p r i s t óː p
procesu	p r ɔ t͡s éː s u
rekla	r èː k l a
soboto	s ɔ b óː t ɔ
stal	s t áː l
strahu	s t r àː x u
svetovna	s ʋ ɛ t ɔ́ː ʋ n a
tal	t áː l
vina	ʋ ìː n a
vsebine	ʋ s ɛ b ìː n ɛ
vzorec	ʋ z óː r ə t͡s
zakonu	z a k óː n u
združenja	z d r ùː ʒ ɛ n j a
človeško	t͡ʃ l ɔ ʋ éː ʃ k ɔ
športna	ʃ p ɔ̀ː r t n a
številna	ʃ t ɛ ʋ íː l n a
delali	d ɛ l àː l i
domačih	d ɔ m àː t͡ʃ i x
doseči	d ɔ s èː t͡ʃ i
drevesa	d r ɛ ʋ éː s a
istočasno	i s t ɔ t͡ʃ áː s n ɔ
izgubi	i z ɡ ùː b i
izkušnje	i s k úː ʃ n j ɛ
kože	k óː ʒ ɛ
ligi	l ìː ɡ i
medicine	m ɛ d i t͡s ìː n ɛ
ministrstvo	m i n i s t ə́ r s t ʋ ɔ
nasprotno	n a s p r óː t n ɔ
neka	n èː k a
nemška	n èː m ʃ k a
njegovim	n j ɛ ɡ ɔ ʋ ìː m
obali	ɔ b àː l i
območij	ɔ b m òː t͡ʃ i j
oddaje	ɔ d d áː j ɛ
podjetij	p ɔ d j èː t i j
povezavi	p ɔ ʋ èː z a ʋ i
pozimi	p ɔ z ìː m i
premagal	p r ɛ m a ɡ áː l
probleme	p r ɔ b l èː m ɛ
proizvodnje	p r ɔ i z ʋ óː d n j ɛ
razne	r àː z n ɛ
reki	r èː k i
rojstva	r ɔ̀ː j s t ʋ a
rusiji	r ùː s i j i
sedmih	s èː d m i x
slaba	s l àː b a
slog	s l óː k
stane	s t àː n ɛ
udeležil	u d ɛ l ɛ ʒ íː l
ustvarja	u s t ʋ áː r j a
učinkovito	u t͡ʃ i n k ɔ ʋ ìː t ɔ
vojski	ʋ óː j s k i
vozilo	ʋ ɔ z ìː l ɔ
vplivom	ʋ p l ìː ʋ ɔ m
združenje	z d r ùː ʒ ɛ n j ɛ
znaša	z n áː ʃ a
člankov	t͡ʃ l áː n k ɔ ʋ
barvo	b àː r ʋ ɔ
bolečino	b ɔ l èː t͡ʃ i n ɔ
celotni	t͡s ɛ l óː t n i
cevi	t͡s èː ʋ i
družbeno	d r ùː ʒ b ɛ n ɔ
dvorani	d ʋ ɔ r àː n i
ekipi	ɛ k ìː p i
enake	ɛ n àː k ɛ
fazi	f àː z i
gradivo	ɡ r a d ìː ʋ ɔ
gremo	ɡ r èː m ɔ
izgube	i z ɡ ùː b ɛ
izrazito	i z r a z ìː t ɔ
izvora	i z ʋ óː r a
kulturnih	k u l t úː r n i x
ljubljanske	l j u b l j áː n s k ɛ
nagrada	n a ɡ r áː d a
nama	n àː m a
nastale	n a s t áː l ɛ
nižje	n ìː ʒ j ɛ
notranjost	n ɔ t r a n j óː s t
oznako	ɔ z n àː k ɔ
parlamenta	p a r l a m éː n t a
podobe	p ɔ d òː b ɛ
prednosti	p r ɛ d n óː s t i
prihodu	p r i x óː d u
prometa	p r ɔ m éː t a
redkih	r èː t k i x
sliki	s l ìː k i
spadajo	s p a d áː j ɔ
sprehod	s p r ɛ x óː t
strokovnih	s t r ɔ k ɔ́ː ʋ n i x
tekem	t ɛ̀ː k ə m
tuji	t ùː j i
zahodni	z a x óː d n i
zaposleni	z a p ɔ s l èː n i
anna	áː n n a
deloma	d ɛ l óː m a
dolgi	d ɔ̀ː ʋ ɡ i
dolino	d ɔ l ìː n ɔ
državna	d ə r ʒ áː ʋ n a
izdaje	i z d áː j ɛ
javnega	j àː ʋ n ɛ ɡ a
kakorkoli	k a k ɔ r k óː l i
major	m áː j ɔ r
mednarodnem	m ɛ d n a r óː d n ə m
mike	m ìː k ɛ
muzeju	m u z ɛ̀ː j u
naredite	n a r ɛ d ìː t ɛ
načelnik	n a t͡ʃ éː l n i k
nizko	n ìː s k ɔ
novim	n ɔ ʋ íː m
obiskal	ɔ b i s k áː l
odločili	ɔ d l ɔ t͡ʃ ìː l i
policije	p ɔ l ìː t͡s i j ɛ
ponuja	p ɔ n ùː j a
rabi	r àː b i
rahlo	r àː x l ɔ
raste	r àː s t ɛ
razvili	r a z ʋ ìː l i
skrb	s k ə́ r p
sodelovanja	s ɔ d ɛ l ɔ ʋ áː n j a
splošne	s p l óː ʃ n ɛ
spremenila	s p r ɛ m ɛ n ìː l a
strokovno	s t r ɔ k ɔ́ː ʋ n ɔ
svetlobo	s ʋ ɛ t l óː b ɔ
ton	t óː n
vidite	ʋ ìː d i t ɛ
zahodu	z a x óː d u
zgodovinsko	z ɡ ɔ d ɔ ʋ íː n s k ɔ
zraku	z r àː k u
drugemu	d r ùː ɡ ɛ m u
industriji	i n d ùː s t r i j i
izbrala	i z b r áː l a
izjavo	i z j àː ʋ ɔ
mlade	m l àː d ɛ
mogla	m óː ɡ l a
nacionalne	n a t͡s i ɔ n áː l n ɛ
najboljšega	n á j b ɔ l ʃ éː ɡ a
napadli	n a p áː d l i
nemčije	n èː m t͡ʃ i j ɛ
opisuje	ɔ p i s ùː j ɛ
osnova	ɔ s n ɔ́ː ʋ a
poznajo	p ɔ z n áː j ɔ
prodaja	p r ɔ d áː j a
razume	r a z ùː m ɛ
scott	s t͡s óː t
sporočil	s p ɔ r ɔ t͡ʃ íː l
storitev	s t ɔ r ìː t ə ʋ
strokovne	s t r ɔ k ɔ́ː ʋ n ɛ
svobodo	s ʋ ɔ b óː d ɔ
ureditev	u r ɛ d ìː t ə ʋ
vzeli	ʋ z èː l i
znaki	z n àː k i
človeške	t͡ʃ l ɔ ʋ éː ʃ k ɛ
bill	b íː l
dodal	d ɔ d áː l
duše	d ùː ʃ ɛ
festivalu	f ɛ s t i ʋ áː l u
gradnja	ɡ r áː d n j a
hčerka	x t͡ʃ éː r k a
industrije	i n d ùː s t r i j ɛ
izdajo	i z d áː j ɔ
karte	k àː r t ɛ
kartico	k a r t ìː t͡s ɔ
ministrstva	m i n i s t ə́ r s t ʋ a
organizacij	ɔ r ɡ a n i z àː t͡s i j
plača	p l àː t͡ʃ a
poroko	p ɔ r óː k ɔ
potekajo	p ɔ t ɛ k áː j ɔ
pravilo	p r a ʋ ìː l ɔ
predmeti	p r ɛ d m èː t i
pripraviti	p r i p r àː ʋ i t i
smith	s m íː t x
telefona	t ɛ l ɛ f óː n a
tesno	t ɛ̀ː s n ɔ
ustvarjanje	u s t ʋ áː r j a n j ɛ
učinke	u t͡ʃ íː n k ɛ
vanj	ʋ áː n
vidika	ʋ ìː d i k a
vrniti	ʋ ə̀ r n i t i
vzhodni	ʋ z x óː d n i
zgodovinskih	z ɡ ɔ d ɔ ʋ íː n s k i x
športu	ʃ p ɔ̀ː r t u
dokumente	d ɔ k u m éː n t ɛ
drugačna	d r u ɡ àː t͡ʃ n a
dušo	d ùː ʃ ɔ
finančno	f i n áː n t͡ʃ n ɔ
gospodarski	ɡ ɔ s p ɔ d áː r s k i
igralca	i ɡ r áː l t͡s a
izbral	i z b r áː l
kombinaciji	k ɔ m b i n àː t͡s i j i
ljudske	l j úː t s k ɛ
manjšo	m áː n ʃ ɔ
mestom	m ɛ s t óː m
mlada	m l àː d a
nastopil	n a s t ɔ p íː l
nenehno	n ɛ n éː x n ɔ
obnovo	ɔ b n ɔ́ː ʋ ɔ
pokal	p ɔ k áː l
politik	p ɔ l ìː t i k
poskrbeti	p ɔ s k ə r b èː t i
prične	p r ìː t͡ʃ n ɛ
prodal	p r ɔ d áː l
razlaga	r a z l áː ɡ a
sestre	s èː s t r ɛ
sodelavci	s ɔ d ɛ l áː ʋ t͡s i
sonca	s óː n t͡s a
spomladi	s p ɔ m l àː d i
sredini	s r ɛ d ìː n i
uničil	u n i t͡ʃ íː l
uporabljamo	u p ɔ r a b l j àː m ɔ
uradnih	u r áː d n i x
učenje	u t͡ʃ éː n j ɛ
učinkovitost	u t͡ʃ i n k ɔ ʋ ìː t ɔ s t
zaupanje	z a u p áː n j ɛ
športnih	ʃ p ɔ̀ː r t n i x
štirimi	ʃ t ìː r i m i
alan	a l áː n
današnje	d a n áː ʃ n j ɛ
dogodke	d ɔ ɡ óː t k ɛ
drugod	d r u ɡ óː t
gradiva	ɡ r a d ìː ʋ a
imenujejo	i m ɛ n u j ɛ́ː j ɔ
naroda	n a r óː d a
odloči	ɔ d l óː t͡ʃ i
operacija	ɔ p ɛ r àː t͡s i j a
paket	p a k éː t
pilot	p i l óː t
podpira	p ɔ t p ìː r a
podpisal	p ɔ t p i s áː l
postanejo	p ɔ s t a n ɛ́ː j ɔ
postavi	p ɔ s t àː ʋ i
pozitivno	p ɔ z i t íː ʋ n ɔ
preveri	p r ɛ ʋ èː r i
problemov	p r ɔ b l èː m ɔ ʋ
slovenščini	s l ɔ ʋ èː n ʃ t͡ʃ i n i
spodnjem	s p ɔ̀ː d n j ɛ m
standard	s t a n d áː r t
tekmovalci	t ɛ k m ɔ ʋ áː l t͡s i
tekmovanju	t ɛ k m ɔ ʋ áː n j u
ubil	u b íː l
ugotovil	u ɡ ɔ t ɔ ʋ íː l
ugotoviti	u ɡ ɔ t ɔ ʋ ìː t i
ukazal	u k a z áː l
učil	u t͡ʃ íː l
zgrajena	z ɡ r a j éː n a
čudovit	t͡ʃ u d ɔ ʋ íː t
številom	ʃ t ɛ ʋ ìː l ɔ m
živimo	ʒ i ʋ ìː m ɔ
analiza	a n a l ìː z a
chris	x r íː s
darila	d a r ìː l a
določil	d ɔ l ɔ t͡ʃ íː l
duhovnik	d u x ɔ́ː ʋ n i k
izobraževanja	i z ɔ b r a ʒ ɛ ʋ áː n j a
kitajske	k i t áː j s k ɛ
linije	l ìː n i j ɛ
medicinske	m ɛ d i t͡s íː n s k ɛ
močnejši	m óː t͡ʃ n ɛ j ʃ i
napačno	n a p àː t͡ʃ n ɔ
nastanejo	n a s t a n ɛ́ː j ɔ
nesreče	n ɛ s r èː t͡ʃ ɛ
oddaji	ɔ d d áː j i
odpravi	ɔ t p r àː ʋ i
okužbe	ɔ k ùː ʒ b ɛ
plin	p l íː n
plošča	p l óː ʃ t͡ʃ a
ploščo	p l óː ʃ t͡ʃ ɔ
pozabite	p ɔ z a b ìː t ɛ
razumem	r a z ùː m ə m
reče	r èː t͡ʃ ɛ
sliši	s l ìː ʃ i
sodobna	s ɔ d óː b n a
steve	s t ɛ̀ː ʋ ɛ
strokovni	s t r ɔ k ɔ́ː ʋ n i
tekmah	t ɛ̀ː k m a x
udobno	u d óː b n ɔ
ukrepi	u k r èː p i
uporabljal	u p ɔ r a b l j áː l
urada	u r áː d a
večine	ʋ ɛ t͡ʃ ìː n ɛ
zahteval	z a x t ɛ ʋ áː l
zgradili	z ɡ r a d ìː l i
časi	t͡ʃ àː s i
članice	t͡ʃ l àː n i t͡s ɛ
željo	ʒ ɛ̀ː l j ɔ
dragi	d r àː ɡ i
dvoma	d ʋ óː m a
edward	ɛ d ʋ áː r t
festivala	f ɛ s t i ʋ áː l a
glasov	ɡ l àː s ɔ ʋ
gorici	ɡ ɔ r ìː t͡s i
gozdov	ɡ ɔ̀ː z d ɔ ʋ
imenovan	i m ɛ n ɔ ʋ áː n
is	i s
jedro	j èː d r ɔ
ljudeh	l j ùː d ɛ x
ministrstvu	m i n i s t ə́ r s t ʋ u
močne	m óː t͡ʃ n ɛ
navodila	n a ʋ ɔ d ìː l a
nemških	n èː m ʃ k i x
njima	n j ìː m a
online	ɔ n l ìː n ɛ
pade	p àː d ɛ
parizu	p a r ìː z u
pisanje	p i s áː n j ɛ
pobegnil	p ɔ b ɛ ɡ n ìː l
pokazale	p ɔ k a z áː l ɛ
preverite	p r ɛ ʋ ɛ r ìː t ɛ
prisotnosti	p r i s óː t n ɔ s t i
pričakuje	p r i t͡ʃ a k úː j ɛ
produkt	p r ɔ d úː k t
prostori	p r ɔ s t óː r i
prvotno	p ə r ʋ óː t n ɔ
razmerja	r a z m éː r j a
rezultatov	r ɛ z u l t áː t ɔ ʋ
sezona	s ɛ z óː n a
sledijo	s l ɛ d íː j ɔ
smejo	s m ɛ̀ː j ɔ
splošna	s p l óː ʃ n a
spremenili	s p r ɛ m ɛ n ìː l i
st	s t
strokovnjaki	s t r ɔ k ɔ ʋ n j àː k i
takšni	t áː k ʃ n i
umetniško	u m éː t n i ʃ k ɔ
vodilni	ʋ ɔ d íː l n i
voznik	ʋ óː z n i k
vožnjo	ʋ óː ʒ n j ɔ
vsebino	ʋ s ɛ b ìː n ɔ
zaprt	z a p ə́ r t
zlahka	z l áː x k a
čudno	t͡ʃ ùː d n ɔ
avstrije	àː ʋ s t r i j ɛ
bob	b óː p
božje	b óː ʒ j ɛ
delamo	d ɛ l àː m ɔ
doslej	d ɔ s l ɛ́ː j
doživela	d ɔ ʒ i ʋ éː l a
generalni	ɡ ɛ n ɛ r áː l n i
gornja	ɡ óː r n j a
govora	ɡ ɔ ʋ óː r a
govorili	ɡ ɔ ʋ ɔ r ìː l i
hitrostjo	x i t r óː s t j ɔ
iste	ìː s t ɛ
italije	i t àː l i j ɛ
izbrana	i z b r áː n a
izvajajo	i z ʋ a j áː j ɔ
kakovosti	k a k ɔ ʋ óː s t i
kazni	k áː z n i
mostu	m óː s t u
moti	m òː t i
nadaljevala	n a d a l j ɛ ʋ áː l a
najdejo	n á j d ɛ́ː j ɔ
naselja	n a s éː l j a
načela	n a t͡ʃ éː l a
načine	n a t͡ʃ ìː n ɛ
nosijo	n ɔ s íː j ɔ
odhod	ɔ d x óː t
odpeljali	ɔ t p ɛ l j àː l i
ostalimi	ɔ s t a l ìː m i
padla	p áː d l a
poglejte	p ɔ ɡ l ɛ́ː j t ɛ
pop	p ɔ́ p
poskusite	p ɔ s k ùː s i t ɛ
poskuša	p ɔ s k úː ʃ a
pripravila	p r i p r a ʋ ìː l a
programov	p r ɔ ɡ r àː m ɔ ʋ
prostore	p r ɔ s t óː r ɛ
rock	r óː t͡s k
samostojni	s a m ɔ s t óː j n i
silo	s ìː l ɔ
spremenilo	s p r ɛ m ɛ n ìː l ɔ
stanovanja	s t a n ɔ ʋ áː n j a
stopnji	s t óː p n j i
streho	s t r èː x ɔ
takole	t a k óː l ɛ
ugotovila	u ɡ ɔ t ɔ ʋ ìː l a
um	ùː m
up	úː p
ustanovitve	u s t a n ɔ ʋ íː t ʋ ɛ
