seg	s æ ɪ̯
lyset	l yː s ə
morgenen	m ɔ r ɡ ə n n̩
nært	n æ ʈ
organisert	ɔ r ɡ a n ɪ s eː ʁ t
rik	r iː k
skremmende	s k r ɛ mː ə n d ə
tilfeldig	t ɪ l f ɛ l d ɪ
tilstand	t ɪ l s t ɑ n
trygge	² t r ʏ ɡː ə
uvanlig	ʉː ʋ ɑː n l ɪ
analyse	a n a l yː s ə
bedrift	b ə d r ɪ f t
bevisst	b ə ʋ ɪ s t
dobbelt	d ɔ bː ə l t
driter	d r iː t ə r
enorme	eː n ɔ r m ə
fikse	f ɪ k s ə
flyplassen	f l yː p l a sː n̩
hunder	h ʉ n d ə r
håndtere	h ɔ n t ə r ə
initiativ	ɪ n ɪ t ɪ a t iː ʋ
jakt	j a k t
ledende	l eː d ə n d ə
motsatt	m uː t s a t
settes	s ɛ tː ə s
sikt	s ɪ k t
skjønte	² ʃ øː n t ə
stikke	² s t ɪ kː ə
tolv	t ɔ l ʋ
trodd	t r ɔ dː
tåler	t oː l ə r
virkelige	ʋ ɪ r k ə l ɪ ə
aksjer	a k ʃ ə r
blomster	b l ɔ m s t ə r
fordeler	f ɔ ɾ d eː l ə r
kristen	k r ɪ s t n̩
skru	s k r ʉː
smaker	s m ɑː k ə r
tradisjon	t r a d ɪ ʃ uː n
trond	t r u n
vurdering	ʋ ʉ ɖ eː r ɪ ŋ
besøke	b ə s øː k ə
byene	b yː ə n ə
drit	d r iː t
em	ɛ m
enheter	eː n h eː t ə r
eventyr	eː ʋ ə n t yː r
gifte	² j ɪ f t ə
hedmark	h eː d m ɑ r k
hjalp	j ɑ l p
karriere	k a r ɪ eː r ə
marie	m ɑː r j ə
nære	n æː r ə
produkt	p r u d ʉ k t
tekster	t ɛ k s t ə r
utmerket	ʉː t m æ r k ə
beskrevet	b ə s k r eː ʋ ə
flyr	f l yː r
forklaring	f ɔ r k l ɑː r ɪ ŋ
gis	j iː s
henter	h ɛ n t ə r
historiske	h ɪ s t uː r ɪ s k ə
jack	j a k
kjempet	ç ɛ m p ə
likhet	l iː k h eː t
løfte	l œ f t ə
møttes	m œ tː ə s
orker	ɔ r k ə r
presse	p r ɛ sː ə
spilles	s p ɪ lː ə s
stoler	s t uː l ə r
stående	s t oː ə n d ə
trakk	t r a k
vises	ʋ iː s ə s
bygges	b ʏ ɡː ə s
fysiske	f yː s ɪ s k ə
gammelt	ɡ a mː ə l t
grunnlaget	ɡ r ʉ n l ɑː ɡ ə
high	h iː
jonas	j uː n ɑ s
kontor	k u n t u r
opprettholde	ɔ p r ɛ t h ɔ l d ə
selges	s ɛ l ɡ ə s
sidene	s iː d ə n ə
skuffet	s k ʉ fː ə
stilte	² s t ɪ l t ə
bane	b ɑː n ə
dama	d ɑː m ɑ
garantert	ɡ a r a n t eː ʁ t
historier	h ɪ s t uː r ɪ ə r
kim	ç iː m
kors	k ɔ ʂ
lengst	l ɛ ŋ s t
mennene	m ɛ nː ə n ə
nest	n eː s t
oppfører	ɔ p f øː r ə r
oscar	ɔ s k ɑː r
park	p ɑ r k
pro	p r uː
reist	r æ ɪ s t
ringte	r ɪ ŋ t ə
senter	s ɛ n t ə r
ses	s eː s
skapte	s k a p t ə
skudd	s k ʉ dː
svak	s ʋ ɑː k
tenner	t ɛ nː ə r
tvers	t ʋ æ ʂ
tøff	t œ f
våkne	ʋ oː k n ə
asker	ɑ s k ə r
begrep	b ə ɡ r eː p
brenne	b r ɛ nː ə
britiske	b r iː t ɪ s k ə
brutt	b r ʉ t
brøt	b r øː t
deltar	d ɛ l t ɑː r
diskusjonen	d ɪ s k ʉ ʃ uː n n̩
forberedt	f ɔ r b ə r ɛ t
from	f r ʊ m
grande	ɡ r ɑ n d ə
hemmelig	h ɛ mː ə l ɪ
hensikt	h ɛ n s ɪ k t
himmelen	h ɪ mː ə l n̩
holdes	h ɔ l d ə s
hoppe	h ɔ pː ə
innovasjon	ɪ nː ʊ ʋ a ʃ uː n
kjemper	ç ɛ m p ə r
last	l ɑ s t
mannlige	m a nː l ɪ ə
meldinger	m ɛ l d ɪ ŋ ə r
munnen	m ʉ nː n̩
polen	p uː l n̩
psykiske	p s yː k ɪ s k ə
takker	t a kː ə r
totale	t u t ɑː l ə
venstresiden	ʋ ɛ n s t r ɛ s iː d n̩
aktører	a k t øː r ə r
bestille	b ə s t ɪ lː ə
bill	b ɪ l
bla	b l ɑː
bodd	b ɔ dː
enorm	eː n ɔ r m
feire	f æ ɪ r ə
fordelt	f ɔ ɾ d ɛ l t
gjennomsnittlig	j ɛ nː ɔ m s n ɪ t l ɪ
gjester	j ɛ s t ə r
gule	² ɡ ʉː l ə
institutt	ɪ n s t ɪ t ʉ t
intet	ɪ n t ə
jones	j uː n ə s
kona	k uː n a
link	l ɪ ŋ k
mil	m iː l
militære	m ɪ l ɪ t æː r ə
moss	m ɔ sː
oh	uː
oppi	ɔ pː ɪ
peker	p eː k ə r
perfekte	p æ r f ɛ k t ə
premier	p r ɛ m ɪ ə r
sendes	s ɛ n d ə s
skriv	s k r iː ʋ
tviler	t ʋ iː l ə r
appen	ɑ pː n̩
avgjøre	ɑː ʋ j øː r ə
betalte	b ə t ɑː l t ə
blåser	b l oː s ə r
brenner	b r ɛ nː ə r
buskerud	b ʉ s k ə r ʉː
chris	k r iː s
eldste	ɛ l s t ə
enhet	eː n h eː t
evner	ɛ ʋ n ə r
fylt	f ʏ l t
hat	h ɑː t
ii	iː
innvandrere	ɪ nː ʋ a n d r eː r ə
kompis	k u m p iː s
komplisert	k u m p l ɪ s eː ʁ t
magen	m ɑː ɡ n̩
meningen	m eː n ɪ ŋ n̩
metode	m ɛ t uː d ə
metoder	m ɛ t uː d ə r
offisielle	ɔ f ɪ s ɪ ɛ lː ə
prinsippet	p r ɪ n s ɪ pː ə
risikoen	r iː s ɪ k uː n̩
rydde	r y d e
skog	s k uː ɡ
stoff	s t ɔ f
street	s t r eː ə
vennen	ʋ ɛ nː n̩
alderen	ɑ l d ə r n̩
anbefales	a n b ə f ɑː l ə s
bred	b r eː
faste	f a s t ə
fns	f ɛ n s
folkene	f ɔ l k ə n ə
lederen	l eː d ə r n̩
leiligheten	l æ ɪ l ɪ h eː t n̩
luften	l ʉ f t n̩
mottar	m u tː a r
mørkt	m œ r k t
nyere	n yː ə r ə
offer	ɔ fː ə r
plast	p l ɑ s t
pressen	p r ɛ sː n̩
reaksjon	r e a k ʃ uː n
seieren	s æ ɪ ə r n̩
seksuell	s ɛ k s ʉ ɛ l
singel	s ɪ ŋ ə l
stillingen	s t ɪ lː ɪ ŋ n̩
synger	s ʏ ŋ ə r
total	t u t ɑː l
tøft	t œ f t
versjonen	ʋ ɛ r ʃ uː n n̩
bandet	b a n d ə
berlin	b æ ɾ l iː n
etnisk	ɛ t n ɪ s k
falsk	f a l s k
feks	f ɛ k s
filmene	f ɪ l m ə n ə
gal	ɡ ɑː l
gaten	ɡ ɑː t n̩
gradvis	ɡ r ɑː d ʋ iː s
grønt	ɡ r øː n t
hot	h uː t
irak	iː r ɑ k
konkret	k ɔ ŋ k r ə
kontoret	k u n t uː r ə
korea	k uː r ə a
larvik	l ɑ r ʋ iː k
meldt	m ɛ l t
mester	m ɛ s t ə r
oppførsel	ɔ p f œ ʂ ə l
rasisme	r a s ɪ s m ə
samler	s a m l ə r
senga	s ɛ ŋ a
sluppet	ʂ l ʉ pː ə
so	s uː
titt	t ɪ tː
utgitt	ʉː t j ɪ t
vits	ʋ ɪ t s
will	v ɪ l
brasil	b r a s iː l
brun	b r ʉː n
engasjert	e n ɡ a ʃ eː ʁ t
forsker	f ɔ ʂ k ə r
funn	f ʉ n
inntekter	ɪ nː t ɛ k t ə r
jorda	j uː r a
kari	k ɑː r ɪ
kreves	k r eː ʋ ə s
kristian	k r ɪ s t j ɑː n
kritiske	k r iː t ɪ s k ə
lol	l uː l
medfører	m eː d f øː r ə r
naken	n ɑː k n̩
satser	s a t s ə r
skiftet	ʃ ɪ f t ə
sulten	s ʉ l t n̩
systematisk	s ʏ s t ə m ɑː t ɪ s k
trives	t r iː ʋ ə s
universitet	ʉ n ɪ ʋ ɛ ʁ s ɪ t eː t
årsaker	oː ɾ s ɑː k ə r
ass	a sː
bedriften	b ə d r ɪ f t n̩
bensin	b ɛ n s iː n
des	d eː s
drama	d r ɑː m ɑ
eøs	eː s
forstand	f ɔ ʂ t ɑ n
fortjent	f ɔ r ç ɛ n t
foten	f uː t n̩
heldige	h ɛ l d ɪ ə
hester	h ɛ s t ə r
identitet	ɪ d ɛ n t ɪ t eː t
il	iː l
innser	ɪ n s ə r
irriterende	ɪ r ɪ t eː r ə n d ə
liverpool	l iː ʋ ə r p uː l
meldte	m ɛ l t ə
oftere	ɔ f t ə r ə
overhodet	oː ʋ ə r h uː d ə
siktet	s ɪ k t ə
sittende	s ɪ tː ə n d ə
skrives	s k r iː ʋ ə s
stasjonen	s t a ʃ uː n n̩
stemt	s t ɛ m t
stoffer	s t ɔ fː ə r
sunt	s ʉ n t
svenskene	s ʋ ɛ n s k ə n ə
verst	ʋ æ ʂ t
akseptere	a k s ɛ p t eː r ə
broren	b r uː r n̩
budsjett	b ʉ d ʃ ɛ t
bunnen	b ʉ nː n̩
fa	f ɑː
forhindre	f ɔ r h ɪ n d r ə
fot	f uː t
if	iː f
innsikt	ɪ n s ɪ k t
inntekt	ɪ nː t ɛ k t
kundene	k ʉ n d ə n ə
liggende	l ɪ ɡː ə n d ə
los	l uː s
negativt	n e ɡ a t iː ʋ t
prat	p r ɑː t
roma	r uː m a
selvstendig	s ɛ l s t ɛ n d ɪ
spissen	s p ɪ sː n̩
såret	s oː ɾ ə
taler	t ɑː l ə r
tilfellet	t ɪ l f ɛ lː ə
tyskerne	t ʏ s k ə ɳ ə
utgifter	ʉː t j ɪ f t ə r
vitne	² ʋ ɪ t n ə
aktuelle	a k t ʉ ɛ lː ə
band	b ɑ n
donald	d uː n ɑ l
endres	ɛ n d r ə s
folka	f ɔ l k ɑ
forhånd	f ɔ r h ɔ n
funksjon	f ʉ ŋ k ʃ uː n
hastighet	h a s t ɪ h eː t
hilsen	h ɪ l s n̩
idioter	ɪ d ɪ uː t ə r
innføre	ɪ nː f øː r ə
kamera	k a m eː r a
kjipt	ç ɪ p t
klærne	k l æː ɳ ə
kysten	ç ʏ s t n̩
mac	m ɑ k
mike	² m iː k ə
ofre	ɔ f ɾ ə
oppføre	ɔ p f øː r ə
populær	p u p ʉ l æː r
rammer	r a mː ə r
sjeldent	ʃ ɛ l d ɛ n t
sover	s oː ʋ ə r
suger	s ʉː ɡ ə r
tilsynelatende	t ɪ l s yː n ə l ɑː t ə n d ə
troen	t r uː n̩
tørre	t œ rː ə
vinneren	ʋ ɪ nː ə r n̩
aker	ɑː k ə r
barnevernet	b ɑː ɳ ə ʋ æ ɳ ə
bob	b uː b
bånd	b ɔ n
dikt	d ɪ k t
faktorer	f a k t uː r ə r
femte	f ɛ m t ə
gjenta	j ɛ n t ɑ
kjekt	ç ɛ k t
kutt	k ʉ tː
master	m a s t ə r
onkel	ɔ ŋ k ə l
op	uː p
out	æ ʉ̯ t
ruter	r ʉː t ə r
sørger	s œ r ɡ ə r
ulv	ʉ l ʋ
vinnere	ʋ ɪ nː ə r ə
ah	ɑː
arter	ɑ ʁ t ə r
barne	b ɑː ɳ ə
bilene	b iː l ə n ə
endel	ɛ n d ə l
fins	f ɪ n s
flagg	f l ɑ ɡ
forbundet	f ɔ r b ʉ n d ə
forholde	f ɔ r h ɔ l d ə
gulvet	ɡ ʉ l ʋ ə
he	h eː
hendelsen	h ɛ n d ə l s n̩
jammen	j a mː n̩
kortet	k u ʈ ə
kristin	k r ɪ s t iː n
krysset	k r ʏ sː ə
lider	l iː d ə r
lovet	l oː ʋ ə
nilsen	n ɪ l s n̩
os	uː s
pleide	p l æ ɪ̯ d ə
rettferdig	r ɛ t f æ ɖ ɪ
slappe	ʂ l ɑ pː ə
stjele	² ʃ eː l ə
storm	s t ɔ r m
sykler	s yː k l ə r
søppel	s œ pː ə l
trynet	t r yː n ə
tørr	t œ rː
uheldig	ʉː h ɛ l d ɪ
vokst	ʋ ɔ k s t
vålerenga	ʋ oː l ə r ɛ ŋ a
aktiviteter	a k t ɪ ʋ ɪ t eː t ə r
back	b a k
begrense	b ə ɡ r ɛ n s ə
betaling	b ə t ɑː l ɪ ŋ
beviser	b ə ʋ iː s ə r
blind	b l ɪ n
day	d æ ɪ̯
digitale	d ɪ ɡ ɪ t ɑː l ə
drapet	d r ɑː p ə
flat	f l ɑː t
gyldig	j ʏ l d ɪ
hell	h ɛ l
individuelle	ɪ n d ɪ ʋ ɪ d ʉ ɛ lː ə
infrastruktur	ɪ n f r a s t r ʉ k t ʉː r
institusjoner	ɪ n s t ɪ t ʉ ʃ uː n ə r
invitert	ɪ n ʋ ɪ t eː ʁ t
kast	k a s t
knust	k n ʉ s t
møt	m øː t
nils	n ɪ l s
passende	p a sː ə n d ə
siv	s iː ʋ
sliten	ʂ l iː t n̩
spenning	s p ɛ nː ɪ ŋ
spent	s p ɛ n t
trent	t ɾ ɛ n t
utsikt	ʉː t s ɪ k t
aktuelt	a k t ʉː ə l t
alta	ɑ l t ɑ
bytter	b ʏ tː ə r
dei	d æ ɪ̯
dna	d n ɑː
ed	eː
einar	æ ɪ n ɑ r
gjaldt	j a l t
gjeldende	j ɛ l d ə n d ə
hav	h ɑː ʋ
hemmelige	h ɛ mː ə l ɪ ə
hopper	h ɔ pː ə r
kinesiske	ç ɪ n eː s ɪ s k ə
kravene	k r ɑː ʋ ə n ə
kull	k ʉ l
kø	k øː
nederland	n eː d ə ɾ l ɑ n
scott	s k ɔ tː
sparer	s p ɑː r ə r
tjente	ç ɛ n t ə
badet	b ɑː d ə
beskyttet	b ə ʃ ʏ tː ə
bevare	b ɛ ʋ ɑː r ə
enormt	eː n ɔ r m t
grense	ɡ r ɛ n s ə
gruppene	ɡ r ʉ pː ə n ə
grønnsaker	ɡ r œ n s ɑː k ə r
iphone	iː p h uː n ə
lee	l eː
nådd	n ɔ dː
rar	r ɑː r
rare	r ɑː r ə
rør	r øː r
sov	s oː ʋ
stater	s t ɑː t ə r
statsråd	s t a t s r oː
stoffet	s t ɔ fː ə
tilsvarer	t ɪ l s ʋ ɑː r ə r
avtaler	ɑː ʋ t ɑː l ə r
betydningen	b ə t yː d n ɪ ŋ n̩
bonus	b uː n ʉ s
damene	d ɑː m ə n ə
firma	f ɪ r m ɑ
forholdene	f ɔ r h ɔ l d ə n ə
giske	² j ɪ s k ə
hende	h ɛ n d ə
hordaland	h u r d a l a n
idet	iː d ə
jøss	j œ sː
konflikt	k u n f l i k t
kos	k uː s
mengden	m ɛ ŋ d n̩
oppgaven	ɔ p ɡ ɑː ʋ n̩
samvittighet	s a m ʋ ɪ tː ɪ h eː t
skritt	s k r ɪ tː
slette	ʂ l ɛ tː ə
stakk	s t a k
stygge	² s t ʏ ɡː ə
søtt	s œ tː
teamet	t iː m ə
texas	t ɛ k s ɑ s
utenlandsk	ʉː t n̩ l ɑ n s k
utvalget	ʉː t ʋ ɑ l ɡ ə
velg	ʋ æ ɽ j
arrangement	a r a ŋ ə m a ŋ
avgjør	ɑː ʋ j øː r
bestilt	b ə s t ɪ l t
bloggen	b l ɔ ɡː n̩
eiere	æ ɪ ə r ə
ekteskapet	ɛ k t ə s k ɑː p ə
eva	eː ʋ ɑ
fjern	f j æː ɳ
formålet	f ɔ r m oː l ə
forskningen	f ɔ ʂ k n ɪ ŋ n̩
følelsene	f øː l ə l s ə n ə
hensikten	h ɛ n s ɪ k t n̩
isen	iː s n̩
jakten	j a k t n̩
julie	j ʉː l j ə
later	l ɑː t ə r
linjer	l ɪ n j ə r
mangfold	m ɑ ŋ f ɔ l
mobbing	m ɔ bː ɪ ŋ
nyte	² n yː t ə
pakker	p a kː ə r
skyter	ʃ yː t ə r
snitt	s n ɪ tː
star	s t ɑː r
temperatur	t ɛ m p ə r a t ʉː r
tilhørende	t ɪ l h øː r ə n d ə
top	t uː p
truer	t r ʉː ə r
ukene	ʉː k ə n ə
villa	ʋ ɪ lː ɑ
asylsøkere	a s yː l s øː k ə r ə
basis	b ɑː s ɪ s
bransjen	b r ɑ n ʃ n̩
drøyt	d r œ ʏ̯ t
forlater	f ɔ ɾ l ɑː t ə r
girl	j iː ɭ
golf	ɡ ɔ l f
gråte	ɡ r oː t ə
innvandring	ɪ nː ʋ ɑ n d r ɪ ŋ
joe	j uː ə
karrieren	k a r ɪ eː r n̩
kartet	k a ʁ t ə
kjell	ç ɛ l
kor	k uː r
lek	l eː k
løftet	l œ f t ə
motoren	m u t uː r n̩
nedenfor	n eː d n̩ f ɔ r
slaget	ʂ l ɑː ɡ ə
støy	s t œ ʏ̯
tung	t ʊ ŋː
besøker	b ə s øː k ə r
bi	b iː
boksen	b u k s n̩
bunn	b ʉ n
dekk	d ɛ kː
forventninger	f ɔ r ʋ ɛ n t n ɪ ŋ ə r
gruppa	ɡ r ʉ pː a
hu	h ʉː
huden	h ʉː d n̩
interessen	ɪ n t ə r ɛ sː n̩
investeringer	ɪ n ʋ ɛ s t eː r ɪ ŋ ə r
kravet	k r ɑː ʋ ə
lengden	l ɛ ŋ d n̩
livets	l iː ʋ ə t s
låter	l oː t ə r
løser	l øː s ə r
mediene	m eː d ɪ ə n ə
museum	m ʉ s eː ʉ m
parter	p a ʁ t ə r
plager	p l ɑː ɡ ə r
prinsipper	p r ɪ n s ɪ pː ə r
regelen	r eː ɡ ə l n̩
sesonger	s ɛ s ɔ ŋ ə r
stygt	s t ʏ k t
veit	ʋ æ ɪ̯ t
avgifter	ɑː ʋ j ɪ f t ə r
begått	b ə ɡ ɔ t
bråk	b r oː k
drives	d r iː ʋ ə s
ellen	ɛ lː n̩
inviterer	ɪ n ʋ ɪ t eː r ə r
ivar	iː ʋ ɑ r
kapital	k a p ɪ t ɑː l
krevende	k r eː v ə n d ə
kulturen	k ʉ l t ʉː r n̩
liter	l iː t ə r
normale	n ɔ r m ɑː l ə
nyeste	n yː ə s t ə
opprette	ɔ p r ɛ tː ə
overskudd	oː ʋ ə ʂ k ʉ d
pene	p eː n ə
planene	p l ɑː n ə n ə
runder	r ʉ n d ə r
shit	ʃ iː t
sjel	ʃ eː l
smith	s m iː t
styrt	s t y ʈ
utsette	ʉː t s ɛ tː ə
vedtak	ʋ eː t ɑː k
vilt	ʋ ɪ l t
ansett	ɑ n s ɛ t
beregnet	b ə r æ ɪ̯ n ə
beskytter	b ə ʃ ʏ tː ə r
borgere	b ɔ r ɡ ə r ə
båter	b oː t ə r
eide	æ ɪ̯ d ə
festen	f ɛ s t n̩
grensene	ɡ r ɛ n s ə n ə
haug	h æ ʉ̯
hoppet	h ɔ pː ə
hånda	h ɔ n d ɑ
kar	k ɑː r
koble	k uː b l ə
kulturer	k ʉ l t ʉː r ə r
li	l iː
lidelser	l iː d ə l s ə r
linken	l ɪ ŋ k n̩
praktiske	p r a k t ɪ s k ə
rikeste	r iː k ə s t ə
sammenhenger	s a mː ə n h ɛ ŋ ə r
sky	ʃ yː
tilhengere	t ɪ l h ɛ ŋ ə r ə
tilpasset	t ɪ l p a sː ə
trøbbel	t r œ bː ə l
tvert	t ʋ æ ʈ
utstyret	ʉː t s t yː r ə
virksomheten	ʋ ɪ r k s ɔ m h eː t n̩
øve	øː ʋ ə
anerkjent	ɑː n ə r ç ɛ n t
angst	ɑ ŋ s t
barnehager	b ɑː ɳ ə h ɑː ɡ ə r
brent	b r ɛ n t
bud	b ʉː
dels	d ɛ l s
dets	d ɛ t s
elsket	ɛ l s k ə
ferdige	f æ ɖ ɪ ə
fløy	f l œ ʏ̯
gleden	ɡ l eː d n̩
hæ	h eː
invitere	ɪ n ʋ ɪ t eː r ə
ironisk	ɪ r uː n ɪ s k
kriger	k r iː ɡ ə r
meldingen	m ɛ l d ɪ ŋ n̩
metoden	m ɛ t uː d n̩
militær	m ɪ l ɪ t æː r
minister	m ɪ n ɪ s t ə r
overbevist	oː ʋ ə r b ɛ ʋ ɪ s t
overført	oː ʋ ə r f øː ʁ t
peiling	p æ ɪ l ɪ ŋ
pål	p oː l
rakk	r a kː
rettighetene	r ɛ tː ɪ h eː t ə n ə
seriøs	s ɛ r ɪ øː s
skolene	s k uː l ə n ə
spar	s p ɑː r
sporet	s p uː r ə
stadium	s t ɑː d ɪ ʉ m
stål	s t oː l
tøffe	t œ fː ə
utgaven	ʉː t ɡ ɑː ʋ n̩
ali	ɑː l ɪ
ansette	ɑ n s ɛ tː ə
dags	d a k s
diskusjoner	d ɪ s k ʉ ʃ uː n ə r
forblir	f ɔ r b l iː r
format	f ɔ r m ɑː t
gjelde	j ɛ l d ə
gråter	ɡ r oː t ə r
led	l eː
midtøsten	m i d t œ s t n̩
mo	m uː
motstander	m uː t s t a n d ə r
månen	m oː n n̩
nestleder	n ɛ s t l eː d ə r
retningslinjer	r ɛ t n ɪ ŋ s l ɪ n j ə r
rio	r iː u
sekund	s ə k ʉ n
snur	s n ʉː r
spøk	s p øː k
strand	s t r ɑ n
tilpasse	t ɪ l p a sː ə
tradisjoner	t r a d ɪ ʃ uː n ə r
trær	t r æː r
vanvittig	ʋ ɑː n ʋ ɪ tː ɪ
øvelse	øː ʋ ə l s ə
bekymre	b ə ç ʏ m r ə
eh	eː
feilen	f æ ɪ l n̩
finale	f ɪ n ɑː l ə
finansiere	f ɪ n a ŋ s ɪ ə r ə
folks	f ɔ l k s
greide	ɡ r æ ɪ̯ d ə
hytta	h ʏ tː ɑ
innslag	ɪ n s l ɑː ɡ
johnsen	j uː n s n̩
lands	l ɑ n s
lappen	l ɑ pː n̩
lidelse	l iː d ə l s ə
lofoten	l u f u t n̩
lord	l uː r
magisk	m ɑː ɡ ɪ s k
menneskelige	m ɛ nː s k ə l ɪ ə
mistenker	m ɪ s t ɛ ŋ k ə r
nice	n iː s
nyter	n yː t ə r
opplegg	u p l e ɡ
patrick	p ɑ t r ɪ k
raser	r ɑː s ə r
revet	r eː ʋ ə
sam	s a m
samisk	s ɑː m ɪ s k
statsministeren	s t a t s m ɪ n ɪ s t ə r n̩
stemmene	s t ɛ mː ə n ə
stenger	s t ɛ ŋ ə r
synet	s yː n ə
turer	t ʉː r ə r
vesten	ʋ ɛ s t n̩
administrasjon	a d m ɪ n ɪ s t r a ʃ uː n
aksepterer	a k s ɛ p t eː r ə r
arv	ɑ r ʋ
avhenger	ɑː ʋ h ɛ ŋ ə r
avvist	ɑː ʋ ɪ s t
blogger	b l ɔ ɡː ə r
broen	b r uː n̩
dobbel	d ɔ bː ə l
eieren	æ ɪ ə r n̩
ekstrem	ɛ k s t r ɛ m
evnen	ɛ ʋ n̩ː
faktiske	f a k t ɪ s k ə
fugler	f ʉ ɡ l ə r
harstad	h a ʁ s t a
hatet	h ɑː t ə
individer	ɪ n d ɪ ʋ iː d ə r
innføring	ɪ nː f øː r ɪ ŋ
just	j ʉ s t
kjennskap	ç ɛ n s k ɑː p
koblet	k u b l ə
kunstnere	k ʉ n s t n eː r ə
kvalifisert	k ʋ a l ɪ f ɪ s eː ʁ t
langrenn	l ɑ ŋ r ɛ n
langsiktig	l ɑ ŋ s ɪ k t ɪ
lenker	l ɛ ŋ k ə r
minus	m iː n ʉ s
mistanke	m ɪ s t ɑ ŋ k ə
omvendt	ɔ m ʋ ɛ n t
open	uː p n̩
organ	ɔ r ɡ ɑː n
problematisk	p r ʊ b l ə m ɑː t ɪ s k
retter	r ɛ tː ə r
tendens	t ɛ n d ɛ n s
tennene	t ɛ nː ə n ə
tilnærmet	t ɪ l n æ r m ə
timene	t iː m ə n ə
tinder	t ɪ n d ə r
tunnelen	t ʉ n ə l n̩
us	ʉː s
utstilling	ʉː t s t ɪ lː ɪ ŋ
vestlig	ʋ ɛ s t l ɪ
virkelighet	ʋ ɪ r k ə l ɪ h eː t
ang	ɑ ŋː
avholdt	ɑː ʋ h ɔ l t
baker	b ɑː k ə r
blande	b l ɑ n d ə
dokumentert	d ʊ k ʉ m ɛ n t eː ʁ t
fler	f l eː r
flyplass	f l yː p l a s
forsinket	f ɔ ʂ ɪ ŋ k ə
fox	f ɔ k s
gjentar	j ɛ n t ɑː r
hindrer	h ɪ n d r ə r
johnson	j uː n s uː n
krysser	k r ʏ sː ə r
lister	l ɪ s t ə r
opprør	u p r øː r
poster	p ɔ s t ə r
regulert	r ə ɡ ʉ l eː ʁ t
sammenhengen	s a mː ə n h ɛ ŋ n̩
skjøt	ʃ øː t
stanset	s t a n s ə
studiene	s t ʉː d ɪ ə n ə
svakt	s ʋ ɑ k t
tante	t æ n t ə
tilsier	t ɪ l s ɪ ə r
urettferdig	ʉː r ɛ t f æ ɖ ɪ
vennskap	ʋ ɛ n s k ɑː p
akseptert	a k s ɛ p t eː ʁ t
angår	ɑ ŋ oː r
arrangementer	a r a ŋ ə m a ŋ ə r
arthur	ɑ ʁ t h ʉː r
britisk	b r iː t ɪ s k
budsjettet	b ʉ d ʃ ɛ tː ə
bundet	b ʉ n d ə
fester	f ɛ s t ə r
filmet	f ɪ l m ə
filosofi	f i l u s u f iː
flagget	f l ɑ ɡː ə
fylker	f ʏ l k ə r
globalt	ɡ l uː b ɑ l t
hud	h ʉː
humør	h ʉ m øː r
ida	iː d ɑ
innimellom	ɪ nː ɪ m ɛ lː ɔ m
innsyn	ɪ n s yː n
katastrofe	k a t a s t r uː f ə
kler	k l æː r
landbruk	l ɑ n b r ʉː k
legene	l eː ɡ ə n ə
lyn	l yː n
maks	m a k s
massevis	m a sː ə ʋ iː s
myndighet	m ʏ n d ɪ h eː t
oppfordret	ɔ p f ɔ r d r ə
planet	p l ɑː n ə
prins	p r ɪ n s
rapportere	r a p ɔ ʁ t eː r ə
redder	r ɛ dː ə r
river	r iː ʋ ə r
skapet	s k ɑː p ə
stilles	s t ɪ lː ə s
sum	s ʉ m
svekket	s ʋ ɛ kː ə
sørover	s øː r oː ʋ ə r
typiske	t yː p ɪ s k ə
åra	oː ɾ ɑ
ørene	øː ɾ ə n ə
behold	b ə h ɔ l
bestående	b ə s t oː ə n d ə
bit	b iː t
bladet	b l ɑː d ə
bot	b uː t
brevet	b r eː ʋ ə
brune	b r ʉː n ə
don	d uː n
framfor	f r a m f ɔ r
funksjonen	f ʉ ŋ k ʃ uː n n̩
førerkort	f øː r e r k u ʈ
gale	ɡ ɑː l ə
greiene	ɡ r æ ɪ ə n ə
hendelse	h ɛ n d ə l s ə
hengt	h ɛ ŋ t
karakterer	k a r a k t eː r ə r
kongens	k ɔ ŋ ɛ n s
kutter	k ʉ tː ə r
kvinnelig	k ʋ ɪ nː ə l ɪ
lat	l ɑː t
løses	l øː s ə s
nasjoner	n a ʃ uː n ə r
pakken	p a kː n̩
regelmessig	r eː ɡ ə l m ɛ sː ɪ
retninger	r ɛ t n ɪ ŋ ə r
setningen	s ɛ t n ɪ ŋ n̩
sir	s iː r
skriftlig	s k r ɪ f t l ɪ
stemmerett	s t ɛ mː ə r ɛ t
stiger	s t iː ɡ ə r
tilbakemelding	t ɪ l b ɑː k ə m ɛ l d ɪ ŋ
tilbringe	t ɪ l b r ɪ ŋ ə
tragisk	t r ɑː ɡ ɪ s k
uttalt	ʉː t t ɑː l t
åpnes	oː p n eː s
beholder	b ə h ɔ l d ə r
club	k l ʉː b
driften	d r ɪ f t n̩
feirer	f æ ɪ r ə r
gult	ɡ ʉ l t
katten	k a tː n̩
kontoen	k u n t uː n̩
kunsten	k ʉ n s t n̩
kvalm	k ʋ ɑ l m
lisa	l iː s ɑ
løfter	l œ f t ə r
mektige	m ɛ k t ɪ ə
menneskeheten	m ɛ nː s k ə h eː t n̩
nesen	n eː s n̩
offeret	ɔ fː ə r ə
oppriktig	u p r i k t i
