ها	h ɒː
حرارت	h æ ɾ ɒː ɾ æ t
خاندان	x ɒː n d ɒː n
ختم	x æ t æ m
خنک	x æ n k
درحال	d æ ɾ h ɒː l
دوازده	d æ v ɒː z d e̞
ردیف	ɾ æ d iː f
ساری	s ɒː ɾ iː
شراب	ʃ o ɾ ɒː b
صداش	s e̞ d ɒː ʃ
عرفان	æ ɾ f ɒː n
مرتب	m æ ɾ t æ b
مطلق	m æ t l æ ɢ
مهارت	m æ h ɒː ɾ æ t
مهمان	m æ h m ɒː n
مکانیک	m æ k ɒː n iː k
واضح	v ɒː z e̞ h
وحشتناک	v æ h e̞ ʃ t æ n ɒː k
کوروش	k uː ɾ uː ʃ
آبادان	ɒː b ɒː d ɒː n
انتهای	æ n t e̞ iː
بدنه	b e̞ d æ n e̞
بوجود	b uː d͡ʒ uː d
تولدت	t uː l æ d æ t
حدیث	h æ d iː s
شصت	ʃ o s t
شکم	ʃ e̞ k æ m
شیرینی	ʃ iː ɾ iː n iː
طلوع	t æ l uː ʔ
عزیزان	æ z iː z ɒː n
عسل	æ s æ l
فرماندار	f æ ɾ m ɒː n d ɒː ɾ
قوم	ɢ æ v æ m
معنا	m æ ʔ n ɒː
مقطع	m æ ɢ t e̞ ʔ
مکتب	m æ k t æ b
میر	m iː ɾ
هامون	h ɒː m uː n
هماهنگ	h æ m ɒː h æ n g
همدیگه	h æ m d iː g e̞
يكي	j e̞ k iː
چاره	t͡ʃ ɒː ɾ e̞
کارایی	k ɒː ɾ ɒː j iː
کارل	k ɒː ɾ e̞ l
کمترین	k æ m t æ ɾ iː n
باستان	b ɒː s t ɒː n
باشین	b ɒː ʃ iː n
باورم	b ɒː v æ ɾ æ m
بتونه	b e̞ t uː n e̞
بخوای	b e̞ x ɒː j
بیاین	b iː j ɒː j æ n
تان	t ɒː n
تزریق	t æ z ɾ iː ɢ
جانی	d͡ʒ ɒː n iː
حکایت	h e̞ k ɒː j æ t
دارا	d ɒː ɾ ɒː
دبی	d æ b iː
دلیلی	d æ l iː l iː
فراتر	f æ ɾ ɒː t æ ɾ
لاک	l ɒː k
لپ	l æ p
میانگین	m iː ɒː n g iː n
میزنه	m iː z æ n e̞
ناصر	n ɒː s e̞ ɾ
همسایه	h æ m s ɒː j e̞
ژانر	ʒ ɒː n e̞ ɾ
کوتاهی	k uː t ɒː h iː
گردش	g æ ɾ d æ ʃ
آرایش	ɒː ɾ ɒː j e̞ ʃ
اهالی	æ h ɒː l iː
بشین	b e̞ ʃ iː n
بهرام	b e̞ h æ ɾ ɒː m
تاپ	t ɒː p
تب	t æ b
تجدید	t æ d͡ʒ d iː d
تحقق	t æ h ɢ æ ɢ
جانبی	d͡ʒ ɒː n b iː
جم	d͡ʒ æ m
جین	d͡ʒ iː n
دستان	d æ s t ɒː n
زاویه	z ɒː v iː j e̞
غمگین	ɢ æ m g iː n
قد	ɢ æ d
قربان	ɢ æ ɾ b ɒː n
محبت	m æ h b æ t
معین	m æ ʔ iː n
منع	m æ n ʔ
میرزا	m iː ɾ e̞ z ɒː
ناز	n ɒː z
نمیتونه	n e̞ m iː t uː n e̞
هفتاد	h o f t ɒː d
واحدهای	v ɒː h e̞ d e̞ iː
پایداری	p ɒː j d ɒː ɾ iː
پیکر	p e̞ j k æ ɾ
گر	g æ ɾ
یازدهم	j ɒː z d æ h æ m
افتادن	o f t ɒː d æ n
باحاله	b ɒː h ɒː l e̞
بلا	b e̞ l ɒː
تار	t ɒː ɾ
تونی	t uː n iː
تویی	t uː j iː
تیکه	t iː k e̞
خوان	x ɒː n
دانشنامه	d ɒː n e̞ ʃ e̞ n ɒː m e̞
داوری	d ɒː v æ ɾ iː
راک	ɾ ɒː k
رویداد	ɾ æ v iː d ɒː d
سم	s æ m
سوء	s uː ʔ
سوئد	s uː ʔ æ d
صالح	s ɒː l e̞ h
فرمول	f æ ɾ m uː l
فروشنده	f o ɾ uː ʃ æ n d e̞
فریدون	f æ ɾ iː d æ v æ n
له	l e̞
ماندن	m ɒː n d æ n
مبنای	m æ b n ɒː j
محوطه	m æ h uː t e̞
مولانا	m uː l ɒː n ɒː
ميشه	m iː ʃ e̞
میرسه	m iː ɾ æ s e̞
میزبان	m iː z o b ɒː n
نابودی	n ɒː b uː d iː
نداشتن	n æ d ɒː ʃ t æ n
پاس	p ɒː s
پاشو	p ɒː ʃ o
پیانو	p e̞ j ɒː n o
پیوسته	p e̞ j v æ s t e̞
چیزا	t͡ʃ iː z ɒː
چیزایی	t͡ʃ iː z ɒː j iː
کثافت	k e̞ s ɒː f t
گو	g uː
انگیز	æ n g iː z
تأیید	t æ ʔ j iː d
تسنیم	t æ s n iː m
راستش	ɾ ɒː s t e̞ ʃ
زبون	z o b uː n
سطحی	s e̞ t æ h iː
سواری	s æ v ɒː ɾ iː
صادقی	s ɒː d æ ɢ iː
فریاد	f æ ɾ j ɒː d
فلزی	f æ l z iː
مجاز	m æ d͡ʒ ɒː z
مواقع	m æ v ɒː ɢ e̞ ʔ
موش	m uː ʃ
نشدن	n æ ʃ o d æ n
همایون	h æ m ɒː j o n
چادر	t͡ʃ ɒː d æ ɾ
کوچیک	k uː t͡ʃ iː k
آزمایشگاه	ɒː z m ɒː j e̞ ʃ g ɒː h
بابک	b ɒː b e̞ k
بازه	b ɒː z e̞
تحلیلی	t æ h l iː l iː
تخته	t æ x t e̞
تعطیل	t æ ʔ t iː l
تعطیلات	t æ ʔ t iː l ɒː t
تقلید	t æ ɢ l iː d
تقویم	t æ ɢ v iː m
تیپ	t iː p
خلاص	x æ l ɒː s
دان	d ɒː n
درونی	d e̞ ɾ æ v æ n iː
رانندگان	ɾ ɒː n æ n d e̞ g ɒː n
روسی	ɾ uː s iː
سان	s ɒː n
سحر	s æ h ɾ
شغلی	ʃ o ɢ l iː
عذاب	æ z ɒː b
مردن	m o ɾ d æ n
معبد	m æ ʔ b æ d
مقصر	m æ ɢ s æ ɾ
میدن	m iː d æ n
هرمزگان	h æ ɾ m æ z g ɒː n
هک	h e̞ k
هیجان	h iː d͡ʒ ɒː n
واسش	v ɒː s e̞ ʃ
پايان	p ɒː j ɒː n
چاق	t͡ʃ ɒː ɢ
کبیر	k æ b iː ɾ
کمتری	k æ m t æ ɾ iː
گیتار	g iː t ɒː ɾ
ایوان	iː v ɒː n
برگرد	b æ ɾ g æ ɾ æ d
بستن	b æ s t æ n
جوش	d͡ʒ uː ʃ
حامد	h ɒː m æ d
داستانی	d ɒː s t ɒː n iː
رپ	ɾ æ p
سالی	s ɒː l iː
سلسله	s æ l s æ l e̞
عصبانی	æ s b ɒː n iː
عفونت	æ f uː n æ t
فر	f æ ɾ
لوازم	l æ v ɒː z æ m
مس	m æ s
مفاهیم	m æ f ɒː h iː m
میهن	m iː h æ n
نتونستم	n æ t uː n e̞ s t æ m
نمای	n æ m ɒː j
هو	h o
کارنامه	k ɒː ɾ n ɒː m e̞
کتابی	k e̞ t ɒː b iː
اب	æ b
بابل	b ɒː b e̞ l
برتری	b æ ɾ t æ ɾ iː
برگرده	b æ ɾ g æ ɾ d e̞
تئوری	t æ ʔ v æ ɾ iː
تخلیه	t æ x l iː j e̞
توده	t uː d e̞
تیمی	t iː m iː
حوالی	h æ v ɒː l iː
خم	x æ m
خواجه	x ɒː d͡ʒ e̞
خوبم	x o b æ m
داغون	d ɒː ɢ o n
درسی	d æ ɾ s iː
راضی	ɾ ɒː z iː
زشت	z e̞ ʃ t
سازمانی	s ɒː z m ɒː n iː
سالگرد	s ɒː l e̞ g æ ɾ æ d
سکته	s e̞ k t e̞
سیگار	s iː g ɒː ɾ
شاخ	ʃ ɒː x
شاگردان	ʃ ɒː g æ ɾ d ɒː n
شجاعت	ʃ e̞ d͡ʒ ɒː ʔ æ t
شلوغ	ʃ o l uː ɢ
فرقه	f æ ɾ ɢ e̞
فهم	f æ h m
قائل	ɢ ɒː ʔ e̞ l
كردم	k æ ɾ d æ m
لاس	l ɒː s
لحظات	l æ h z ɒː t
مالک	m ɒː l e̞ k
مسافران	m æ s ɒː f ɾ ɒː n
مهمون	m æ h m uː n
میدیم	m iː d iː m
نویس	n e̞ v iː s
چوبی	t͡ʃ uː b iː
چکار	t͡ʃ e̞ k ɒː ɾ
گمان	g o m ɒː n
گنده	g æ n d e̞
یخچال	j æ x t͡ʃ ɒː l
یکبار	j e̞ k b ɒː ɾ
یکسان	j e̞ k s ɒː n
آسان	ɒː s ɒː n
آگهی	ɒː g æ h iː
امروزی	æ m ɾ uː z iː
بازاریابی	b ɒː z ɒː ɾ j ɒː b iː
بشری	b e̞ ʃ o ɾ iː
تاريخ	t ɒː ɾ iː x
تاریخچه	t ɒː ɾ iː x t͡ʃ e̞
تقصیر	t æ ɢ s iː ɾ
جاسوسی	d͡ʒ ɒː s uː s iː
جسم	d͡ʒ o s æ m
حروف	h o ɾ uː f
حسابی	h e̞ s ɒː b iː
خاله	x ɒː l e̞
خاکی	x ɒː k iː
خداحافظی	x æ d ɒː h ɒː f z iː
خر	x æ ɾ
خلبان	x æ l b ɒː n
خواد	x ɒː d
خوام	x ɒː m
خوراکی	x o ɾ ɒː k iː
دندان	d æ n d ɒː n
دونالد	d uː n ɒː l æ d
دیوانه	d iː v ɒː n e̞
رهایی	ɾ æ h ɒː j iː
ریخته	ɾ iː x t e̞
سنگی	s æ n g iː
شفاف	ʃ o f ɒː f
شوروی	ʃ uː ɾ æ v iː
طرفدار	t æ ɾ f æ d ɒː ɾ
قربانیان	ɢ æ ɾ b ɒː n j ɒː n
مدام	m æ d ɒː m
معده	m æ ʔ d e̞
معیار	m æ ʔ j ɒː ɾ
ميان	m æ j ɒː n
هممون	h æ m m uː n
پرستار	p æ ɾ æ s t ɒː ɾ
کاپیتان	k ɒː p iː t ɒː n
آخ	ɒː x
اونور	o n æ v æ ɾ
ايجاد	iː d͡ʒ ɒː d
بخوام	b e̞ x ɒː m
بیارم	b iː j ɒː ɾ æ m
تاریک	t ɒː ɾ iː k
ترم	t æ ɾ æ m
تیره	t iː ɾ e̞
حالیکه	h ɒː l iː k e̞
دائم	d ɒː ʔ æ m
داور	d ɒː v æ ɾ
درب	d æ ɾ b
ساختمانی	s ɒː x t æ m ɒː n iː
شنیده	ʃ e̞ n iː d e̞
شی	ʃ iː
فالو	f ɒː l uː
مالکیت	m ɒː l e̞ k iː t
متفاوتی	m æ t æ f ɒː v æ t iː
محاصره	m æ h ɒː s e̞ ɾ e̞
محتوا	m æ h t æ v ɒː
مزاحم	m æ z ɒː h æ m
معلمان	m æ ʔ l æ m ɒː n
مکانی	m æ k ɒː n iː
مکه	m æ k e̞
میدونه	m iː d uː n e̞
نظرسنجی	n æ z æ ɾ s æ n d͡ʒ iː
نعمت	n æ ʔ æ m æ t
پسران	p æ s o ɾ ɒː n
پیچ	p iː t͡ʃ
گرفتار	g e̞ ɾ e̞ f t ɒː ɾ
آسانسور	ɒː s ɒː n s uː ɾ
آنا	ɒː n ɒː
احکام	e̞ h k ɒː m
انکار	æ n k ɒː ɾ
باهام	b ɒː h ɒː m
بایرن	b ɒː j æ ɾ æ n
تحصیلات	t æ h s iː l ɒː t
ترویج	t æ ɾ v iː d͡ʒ
تعویض	t æ ʔ v iː z
جیمز	d͡ʒ iː m æ z
حرکتی	h æ ɾ k æ t iː
دادستان	d ɒː d e̞ s t ɒː n
دانه	d ɒː n e̞
درخشان	d e̞ ɾ æ x ʃ ɒː n
دوستام	d uː s t ɒː m
روشنایی	ɾ uː ʃ e̞ n ɒː j iː
شنیدن	ʃ e̞ n iː d æ n
مان	m ɒː n
مخلوط	m æ x l uː t
مراجع	m æ ɾ ɒː d͡ʒ e̞ ʔ
مقدم	m æ ɢ d æ m
موافقم	m æ v ɒː f æ ɢ æ m
میخوایم	m iː x ɒː j æ m
نادر	n ɒː d æ ɾ
نون	n æ v æ n
ون	v æ n
پارچه	p ɒː ɾ t͡ʃ e̞
پوشیده	p uː ʃ iː d e̞
کجایی	k e̞ d͡ʒ ɒː j iː
گزارشی	g o z ɒː ɾ e̞ ʃ iː
it	iː t
آلن	ɒː l æ n
ادوارد	æ d æ v ɒː ɾ æ d
امواج	æ m v ɒː d͡ʒ
ایلام	iː l ɒː m
باطل	b ɒː t e̞ l
بنیان	b e̞ n æ j ɒː n
تخصص	t æ x s æ s
تعامل	t æ ʔ ɒː m e̞ l
تفکیک	t æ f k iː k
توهین	t uː h iː n
جعفری	d͡ʒ æ ʔ f æ ɾ iː
حرکات	h æ ɾ k ɒː t
حریم	h æ ɾ iː m
حساسیت	h e̞ s ɒː s iː t
حسی	h æ s iː
خالص	x ɒː l e̞ s
درگاه	d æ ɾ g ɒː h
زندگیم	z æ n d æ g iː m
سرهنگ	s æ ɾ h æ n g
سلطنت	s æ l t æ n t
سوئیس	s uː ʔ iː s
شمشیر	ʃ o m ʃ iː ɾ
صبحانه	s æ b h ɒː n e̞
طیف	t iː f
علامه	æ l ɒː m e̞
فاجعه	f ɒː d͡ʒ e̞ ʔ e̞
فراری	f æ ɾ ɒː ɾ iː
قند	ɢ æ n d
مارس	m ɒː ɾ e̞ s
مجاهدین	m æ d͡ʒ ɒː h æ d iː n
مصدق	m æ s d æ ɢ
معادله	m æ ʔ ɒː d e̞ l e̞
مهار	m æ h ɒː ɾ
مکانیکی	m æ k ɒː n iː k iː
میتونیم	m iː t uː n iː m
میخوان	m iː x ɒː n
نگفته	n æ g o f t e̞
هل	h e̞ l
وحید	v æ h iː d
ویرایش	v iː ɾ ɒː j e̞ ʃ
کارمند	k ɒː ɾ m æ n d
کردین	k æ ɾ d iː n
یازده	j ɒː z d e̞
is	iː s
افسر	æ f s o ɾ
بذاره	b e̞ z ɒː ɾ e̞
برابری	b æ ɾ ɒː b æ ɾ iː
برادرش	b æ ɾ ɒː d e̞ ɾ e̞ ʃ
تجربی	t æ d͡ʒ ɾ æ b iː
خاصیت	x ɒː s iː t
خودتان	x o d t ɒː n
دامن	d ɒː m æ n
دیدنی	d iː d æ n iː
رام	ɾ ɒː m
زنجیره	z æ n d͡ʒ iː ɾ e̞
سرده	s o ɾ d e̞
سرگرم	s æ ɾ g æ ɾ æ m
سواد	s æ v ɒː d
سوری	s uː ɾ iː
سونی	s uː n iː
سیتی	s iː t iː
فرماندهی	f æ ɾ m ɒː n d æ h iː
فيلم	f iː l æ m
قاب	ɢ ɒː b
قانع	ɢ ɒː n e̞ ʔ
مامور	m ɒː m uː ɾ
معذرت	m æ ʔ z æ ɾ æ t
منظم	m æ n z æ m
هستین	h æ s t iː n
پیک	p e̞ j k
کام	k ɒː m
کولر	k uː l æ ɾ
کیسه	k iː s e̞
گرافیک	g e̞ ɾ ɒː f iː k
گردیده	g æ ɾ d iː d e̞
آدمی	ɒː d æ m iː
آنرا	ɒː n æ ɾ ɒː
افت	o f t
بارش	b ɒː ɾ e̞ ʃ
باستانی	b ɒː s t ɒː n iː
بام	b ɒː m
بحرین	b e̞ h æ ɾ iː n
بخونم	b e̞ x o n æ m
بدل	b e̞ d æ l
بگذره	b e̞ g o z æ ɾ e̞
تابع	t ɒː b e̞ ʔ
تحول	t æ h v æ l
تخفیف	t æ x f iː f
تفنگ	t æ f æ n g
جسمی	d͡ʒ o s æ m iː
خوانندگان	x ɒː n æ n d e̞ g ɒː n
دستمال	d æ s t æ m ɒː l
رونق	ɾ uː n æ ɢ
زنه	z æ n e̞
سازه	s ɒː z e̞
سروش	s o ɾ uː ʃ
سنجش	s æ n d͡ʒ e̞ ʃ
سیمای	s iː m ɒː j
طلای	t æ l ɒː j
غار	ɢ ɒː ɾ
قبلش	ɢ æ b l e̞ ʃ
لایو	l ɒː j o
مأمور	m æ ʔ m uː ɾ
مایل	m ɒː j e̞ l
مجهز	m æ d͡ʒ æ h z
مشکی	m o ʃ k iː
منتخب	m æ n t æ x æ b
نادیده	n ɒː d iː d e̞
پیشنهادی	p iː ʃ e̞ n æ h ɒː d iː
پیوستن	p e̞ j v æ s t æ n
چنين	t͡ʃ e̞ n iː n
کافیه	k ɒː f j e̞
کوچکی	k uː t͡ʃ e̞ k iː
کیلومتری	k iː l uː m æ t æ ɾ iː
آرتور	ɒː ɾ t uː ɾ
آشغال	ɒː ʃ o ɢ ɒː l
آماری	ɒː m ɒː ɾ iː
ایی	iː j iː
بادی	b ɒː d iː
بالاست	b ɒː l ɒː s t
بیگانه	b iː g ɒː n e̞
تعهد	t æ ʔ h æ d
تنگه	t æ n g e̞
توليد	t uː l iː d
تومانی	t uː m ɒː n iː
تیراندازی	t iː ɾ ɒː n d ɒː z iː
جانشین	d͡ʒ ɒː n e̞ ʃ iː n
جنسیت	d͡ʒ æ n s iː t
حامی	h ɒː m iː
دعای	d æ ʔ ɒː j
دن	d æ n
رقیب	ɾ æ ɢ iː b
روشی	ɾ uː ʃ iː
سوخته	s uː x t e̞
عمرم	æ m o ɾ æ m
فراخوان	f æ ɾ ɒː x ɒː n
لیسانس	l iː s ɒː n e̞ s
مادری	m ɒː d æ ɾ iː
مادرید	m ɒː d æ ɾ iː d
ماموریت	m ɒː m uː ɾ iː t
ملا	m æ l ɒː
نمایشی	n æ m ɒː j e̞ ʃ iː
نياز	n æ j ɒː z
همکار	h æ m k ɒː ɾ
پولدار	p uː l æ d ɒː ɾ
چشمه	t͡ʃ e̞ ʃ m e̞
کاظم	k ɒː z æ m
کتک	k e̞ t e̞ k
اندک	æ n d æ k
ایراد	iː ɾ ɒː d
ایستاده	iː s t ɒː d e̞
بازي	b ɒː z iː
برادرم	b æ ɾ ɒː d æ ɾ æ m
بررسي	b e̞ ɾ æ ɾ s iː
تعقیب	t æ ʔ ɢ iː b
تهرانی	t æ h ɾ ɒː n iː
توام	t æ v ɒː m
تکون	t e̞ k uː n
خصوصا	x o s uː s ɒː
خونی	x o n iː
داروی	d ɒː ɾ æ v iː
داماد	d ɒː m ɒː d
درختان	d e̞ ɾ æ x t ɒː n
دهنت	d æ h æ n t
راجب	ɾ ɒː d͡ʒ æ b
روت	ɾ uː t
روحیه	ɾ uː h iː j e̞
روزا	ɾ uː z ɒː
زنانه	z æ n ɒː n e̞
سام	s ɒː m
سرگرمی	s æ ɾ g æ ɾ m iː
شریک	ʃ o ɾ iː k
ضریب	z æ ɾ iː b
عبارتند	æ b ɒː ɾ t æ n d
عیسی	iː s iː
قرض	ɢ æ ɾ z
لیوان	l iː v ɒː n
مساحت	m æ s ɒː h æ t
مونیخ	m uː n iː x
میزبانی	m iː z o b ɒː n iː
نرفته	n æ ɾ o f t e̞
نگرفته	n æ g e̞ ɾ e̞ f t e̞
هميشه	h æ m iː ʃ e̞
همچنين	h æ m t͡ʃ e̞ n iː n
کمدی	k æ m d iː
کوین	k uː j æ n
گذار	g o z ɒː ɾ
یادآوری	j ɒː d ɒː v æ ɾ iː
آسمون	ɒː s o m uː n
آغوش	ɒː ɢ uː ʃ
امضای	æ m z ɒː j
بانوی	b ɒː n æ v iː
بدنی	b e̞ d æ n iː
بزرگداشت	b e̞ z æ ɾ g o d ɒː ʃ t
بلیط	b e̞ l iː t
تقلب	t æ ɢ l æ b
تمدید	t æ m d iː d
حالش	h ɒː l e̞ ʃ
دانشمند	d ɒː n e̞ ʃ o m æ n d
درستش	d e̞ ɾ e̞ s t e̞ ʃ
دوستانه	d uː s t ɒː n e̞
رابط	ɾ ɒː b e̞ t
راستی	ɾ ɒː s t iː
ساحلی	s ɒː h e̞ l iː
سایز	s ɒː j e̞ z
سوابق	s æ v ɒː b e̞ ɢ
طالب	t ɒː l e̞ b
فشرده	f e̞ ʃ o ɾ d e̞
ماهیت	m ɒː h iː t
مربوطه	m æ ɾ b uː t e̞
مرتکب	m æ ɾ t e̞ k æ b
میتوان	m iː t æ v ɒː n
میگیره	m iː g iː ɾ e̞
نامیده	n ɒː m iː d e̞
نجف	n æ d͡ʒ o f
نوه	n æ v e̞
همیشگی	h æ m iː ʃ e̞ g iː
کمکی	k æ m k iː
کهکشان	k e̞ h k e̞ ʃ ɒː n
اشکالی	æ ʃ k ɒː l iː
امیدوار	æ m iː d æ v ɒː ɾ
باهوش	b ɒː h uː ʃ
ببینه	b e̞ b iː n e̞
بلوک	b e̞ l uː k
حرام	h æ ɾ ɒː m
حلال	h æ l ɒː l
حواسم	h æ v ɒː s æ m
حکمت	h e̞ k æ m æ t
خريد	x æ ɾ iː d
خلیفه	x æ l iː f e̞
دغدغه	d æ ɢ d æ ɢ e̞
روده	ɾ uː d e̞
ستایش	s e̞ t ɒː j e̞ ʃ
سس	s o s
سنندج	s æ n æ n d æ d͡ʒ
شوک	ʃ uː k
عذر	æ z æ ɾ
عنصر	æ n s æ ɾ
عیب	e̞ j b
لیلا	l iː l ɒː
مصالح	m æ s ɒː l e̞ h
میشیم	m iː ʃ iː m
نوک	n uː k
هنگ	h æ n g
ورزشکاران	v æ ɾ z e̞ ʃ k ɒː ɾ ɒː n
پنجمین	p e̞ n d͡ʒ æ m iː n
پویا	p uː j ɒː
چرخه	t͡ʃ æ ɾ x e̞
چنگ	t͡ʃ æ n g
گرمی	g æ ɾ m iː
یکپارچه	j e̞ k p ɒː ɾ t͡ʃ e̞
آرزوی	ɒː ɾ z æ v iː
آقایان	ɒː ɢ ɒː j ɒː n
اوباما	o b ɒː m ɒː
باتری	b ɒː t o ɾ iː
بهینه	b e̞ h iː n e̞
تصرف	t æ s ɾ æ f
تلقی	t æ l ɢ iː
جات	d͡ʒ ɒː t
جت	d͡ʒ æ t
جسد	d͡ʒ o s æ d
دانسته	d ɒː n e̞ s t e̞
دنده	d æ n d e̞
ربات	ɾ o b ɒː t
رحمت	ɾ æ h m æ t
سربازی	s æ ɾ b ɒː z iː
سمی	s æ m iː
سیل	s iː l
شانه	ʃ ɒː n e̞
شوهرش	ʃ uː h e̞ ɾ e̞ ʃ
شکن	ʃ e̞ k æ n
طب	t æ b
علیزاده	æ l iː z ɒː d e̞
فاسد	f ɒː s æ d
فروخته	f o ɾ uː x t e̞
لاله	l ɒː l e̞
ماندگار	m ɒː n d e̞ g ɒː ɾ
مسلم	m æ s æ l æ m
مسی	m æ s iː
مشروطه	m æ ʃ o ɾ uː t e̞
مشکوک	m o ʃ k uː k
ممد	m æ m æ d
مهره	m æ h ɾ e̞
موضوعی	m o z uː ʔ iː
میکشه	m iː k e̞ ʃ e̞
نفری	n æ f æ ɾ iː
نوشیدنی	n uː ʃ iː d æ n iː
نیازهای	n æ j ɒː z e̞ iː
هروقت	h æ ɾ uː ɢ æ t
وسعت	v æ s ʔ æ t
پیاز	p æ j ɒː z
پیراهن	p iː ɾ ɒː h æ n
کارمندان	k ɒː ɾ m æ n d ɒː n
کارگری	k ɒː ɾ g æ ɾ iː
کمپین	k æ m p iː n
گارد	g ɒː ɾ æ d
گازی	g ɒː z iː
اهدا	æ h d ɒː
اولا	o l ɒː
بوک	b uː k
بگن	b e̞ g æ n
تفریحی	t æ f ɾ iː h iː
توست	t uː s t
حسابداری	h e̞ s ɒː b e̞ d ɒː ɾ iː
دیوید	d iː v iː d
رفتاری	ɾ o f t ɒː ɾ iː
سانسور	s ɒː n s uː ɾ
سرکار	s æ ɾ k ɒː ɾ
سلیقه	s æ l iː ɢ e̞
شواهد	ʃ æ v ɒː h æ d
صداقت	s e̞ d ɒː ɢ æ t
فان	f ɒː n
فایده	f ɒː j æ d e̞
قشنگی	ɢ e̞ ʃ æ n g iː
لهجه	l æ h d͡ʒ e̞
مداوم	m æ d ɒː v æ m
مرزهای	m æ ɾ z e̞ iː
منظورش	m æ n z uː ɾ e̞ ʃ
میتونید	m iː t uː n iː d
هشتاد	h e̞ ʃ t ɒː d
هه	h e̞
پمپ	p æ m p
پودر	p uː d æ ɾ
کالیفرنیا	k ɒː l iː f æ ɾ n æ j ɒː
گله	g o l e̞
آبادی	ɒː b ɒː d iː
آزادي	ɒː z ɒː d iː
آپدیت	ɒː p æ d iː t
ایفا	iː f ɒː
باریک	b ɒː ɾ iː k
بتونی	b e̞ t uː n iː
برداشتن	b æ ɾ d ɒː ʃ t æ n
برون	b e̞ ɾ æ v æ n
برگشته	b æ ɾ g æ ʃ t e̞
برگه	b æ ɾ g e̞
تاب	t ɒː b
جوک	d͡ʒ uː k
جیمی	d͡ʒ iː m iː
حموم	h æ m uː m
دراین	d æ ɾ ɒː j æ n
دوبار	d uː b ɒː ɾ
دوسش	d uː s e̞ ʃ
ران	ɾ ɒː n
ریزش	ɾ iː z e̞ ʃ
سامان	s ɒː m ɒː n
سلیمانی	s æ l iː m ɒː n iː
سپاهان	s e̞ p ɒː h ɒː n
شریعتی	ʃ o ɾ iː ʔ æ t iː
شعله	ʃ e̞ ʔ l e̞
شکستن	ʃ e̞ k æ s t æ n
طناب	t æ n ɒː b
ظلم	z æ l æ m
غلبه	ɢ æ l b e̞
غير	ɢ e̞ j ɾ
فیفا	f iː f ɒː
لبه	l æ b e̞
لشکر	l e̞ ʃ k æ ɾ
مایک	m ɒː j e̞ k
مجتبی	m æ d͡ʒ t æ b iː
ملي	m æ l iː
منصور	m æ n s uː ɾ
منظورت	m æ n z uː ɾ æ t
مهرداد	m æ h æ ɾ d ɒː d
پاداش	p ɒː d ɒː ʃ
پرویز	p æ ɾ v iː z
چاقو	t͡ʃ ɒː ɢ o
کارگاه	k ɒː ɾ g ɒː h
کهنه	k e̞ h n e̞
کیست	k iː s t
گرگان	g æ ɾ g ɒː n
گفتار	g o f t ɒː ɾ
گیم	g iː m
ادیان	æ d j ɒː n
اسیر	æ s iː ɾ
الگوریتم	ɒː l g uː ɾ iː t æ m
اولی	o l iː
ایر	iː ɾ
بارداری	b ɒː ɾ d ɒː ɾ iː
بدونی	b e̞ d uː n iː
بروجرد	b e̞ ɾ uː d͡ʒ æ ɾ æ d
برپا	b e̞ ɾ æ p ɒː
تحمیل	t æ h m iː l
تقاضای	t æ ɢ ɒː z ɒː j
حرفت	h e̞ ɾ o f t
خواه	x ɒː h
خواهشا	x ɒː h e̞ ʃ ɒː
خوراک	x o ɾ ɒː k
درواقع	d e̞ ɾ æ v ɒː ɢ e̞ ʔ
دما	d æ m ɒː
ذرات	z æ ɾ ɒː t
روایات	ɾ æ v ɒː j ɒː t
سلیمان	s æ l iː m ɒː n
شرايط	ʃ o ɾ ɒː j e̞ t
طاقت	t ɒː ɢ æ t
قبال	ɢ æ b ɒː l
مایه	m ɒː j e̞
مدینه	m æ d iː n e̞
مراد	m æ ɾ ɒː d
مساوی	m æ s ɒː v iː
مسیحی	m æ s iː h iː
معظم	m æ ʔ z æ m
منفجر	m æ n f æ d͡ʒ æ ɾ
مهاباد	m æ h ɒː b ɒː d
مواضع	m æ v ɒː z e̞ ʔ
میمونه	m iː m uː n e̞
ناشناس	n ɒː ʃ e̞ n ɒː s
ندیده	n æ d iː d e̞
هان	h ɒː n
وقتي	v æ ɢ t iː
پارسی	p ɒː ɾ s iː
پوسته	p uː s t e̞
پوند	p uː n æ d
پیشینه	p iː ʃ iː n e̞
گنج	g o n d͡ʒ
گیرنده	g iː ɾ æ n d e̞
آبشار	ɒː b e̞ ʃ ɒː ɾ
آلت	ɒː l æ t
آیات	ɒː j ɒː t
بازارهای	b ɒː z ɒː ɾ e̞ iː
بیس	b iː s
تعلیق	t æ ʔ l iː ɢ
تنفس	t æ n f æ s
حبیب	h æ b iː b
حواست	h æ v ɒː s t
خواستن	x ɒː s t æ n
داوران	d ɒː v æ ɾ ɒː n
دوام	d æ v ɒː m
رفتارهای	ɾ o f t ɒː ɾ e̞ iː
زنجیر	z æ n d͡ʒ iː ɾ
سبزی	s æ b z iː
سوگند	s uː g æ n d
سیگنال	s iː g o n ɒː l
شفافیت	ʃ o f ɒː f iː t
شکاف	ʃ e̞ k ɒː f
عجله	æ d͡ʒ l e̞
عزیزی	æ z iː z iː
علوی	æ l æ v iː
عمه	æ m e̞
