the	t eː
florida	f l oː r i d aː
fysiek	f i z i k
gemeenschappelijke	ɣ ə m eː n s x ɑ p ə l ə k ə
gepakt	ɣ ə p ɑ k t
gestoken	ɣ ə s t oː k ə
interim	ɪ n t ə r ɪ m
kogels	k oː ɣ ə l s
lezers	l eː z ə r s
luistert	l œ y̯ s t ə r t
prof	p r ɔ f
snapt	s n ɑ p t
syrische	s iː r i s ə
tekeningen	t eː k ə n ɪ ŋ ə
vaardigheden	v aː r d ə x ɦ eː d ə
versterkt	v ə r s t ɛ r k t
carl	k ɑ r l
dave	d aː v ə
gezichten	ɣ ə z ɪ x t ə
israëlische	ɪ s r aː eː l i s ə
lukte	l ʏ k t ə
meldingen	m ɛ l d ɪ ŋ ə
metalen	m eː t aː l ə
samsung	s ɑ m s ʏ ŋ
uitgeschakeld	œ y̯ t x ə s x aː k ə l t
universiteiten	y n i v ɛ r z i t ɛ i̯ t ə
verliet	v ə r l i t
voortgezet	v oː r t x ə z ɛ t
zachte	z ɑ x t ə
beach	b iː x
bepaalt	b ə p aː l t
beperkingen	b ə p ɛ r k ɪ ŋ ə
bewegingen	b ə ʋ eː ɣ ɪ ŋ ə
bewerkt	b ə ʋ ɛ r k t
burgerlijke	b ʏ r ɣ ə r l ə k ə
drankje	d r ɑ ŋ k j ə
enthousiaste	ɛ n t ɦ ɑ u̯ z i ɑ s t ə
experts	ɛ k s p ɛ r t s
goedkoper	ɣ u t k oː p ə r
hekel	ɦ eː k ə l
il	ɪ l
knappe	k n ɑ p ə
lichamen	l ɪ x aː m ə
match	m ɑ t ʃ
mo	m oː
nachten	n ɑ x t ə
plaatse	p l aː t s ə
schilderijen	s x ɪ l d ə r ɛ i̯ ə
sophie	s ɔ f i
specifiek	s p eː s i f i k
steunt	s t øː n t
terroristen	t ɛ r oː r ɪ s t ə
tieners	t i n ə r s
verkrijgen	v ə r k r ɛ i̯ ɣ ə
vrolijke	v r oː l ə k ə
wenst	ʋ ɛ n s t
alan	aː l ɑ n
auteurs	oː t øː r s
bekendste	b ə k ɛ n t s t ə
face	f eː s
factoren	f ɑ k t oː r ə
first	f ɪ r s t
gevierd	ɣ ə v iː r t
gewenst	ɣ ə ʋ ɛ n s t
gewijzigd	ɣ ə ʋ ɛ i̯ z ə x t
girls	ɣ ɪ r l s
iii	iː i
nodige	n oː d ə ɣ ə
oprichting	ɔ p r ɪ x t ɪ ŋ
rick	r ɪ k
sessie	s ɛ s i
situaties	s i t y aː s i s
stadje	s t ɑ t j ə
taylor	t eː l ɔ r
trokken	t r ɔ k ə
uitgelegd	œ y̯ t x ə l ɛ x t
verleend	v ə r l eː n t
verspreiding	v ə r s p r ɛ i̯ d ɪ ŋ
victor	v ɪ k t ɔ r
vliegtuigen	v l i x t œ y̯ ɣ ə
wereldwijde	ʋ eː r ə l t ʋ ɛ i̯ d ə
zwakke	z ʋ ɑ k ə
afgerond	ɑ f x ə r ɔ n t
apps	ɑ p s
eist	ɛ i̯ s t
emma	ɛ m aː
gebruikelijke	ɣ ə b r œ y̯ k ə l ə k ə
gecreëerd	ɣ ə k r eː eː r t
gemeentelijke	ɣ ə m eː n t ə l ə k ə
gevangene	ɣ ə v ɑ ŋ ə n ə
hieraan	ɦ iː r aː n
iemands	i m ɑ n t s
industriële	ɪ n d ʏ s t r i eː l ə
jackson	j ɑ k s ɔ n
johnson	j oː n s ɔ n
keert	k eː r t
leverde	l eː v ə r d ə
liefste	l i f s t ə
muzikanten	m y z i k ɑ n t ə
neergeschoten	n eː r ɣ ə s x oː t ə
opzoeken	ɔ p z u k ə
overeenstemming	oː v ə r eː n s t ɛ m ɪ ŋ
permanente	p ɛ r m aː n ɛ n t ə
plekje	p l ɛ k j ə
populariteit	p oː p y l aː r i t ɛ i̯ t
ron	r ɔ n
stevig	s t eː v ə x
style	s t i l ə
tag	t ɑ x
talenten	t aː l ɛ n t ə
trouwde	t r ɑ u̯ d ə
uiterste	œ y̯ t ə r s t ə
verplaatst	v ə r p l aː t s t
verwijzing	v ə r ʋ ɛ i̯ z ɪ ŋ
zusters	z ʏ s t ə r s
august	ɑ u̯ ɣ ʏ s t
beschikt	b ə s x ɪ k t
brown	b r ɑ u̯ n
durft	d ʏ r f t
eigenaren	ɛ i̯ ɣ ə n aː r ə
fashion	f ɑ ʃ ɔ n
fonds	f ɔ n t s
foundation	f ɑ u̯ n d aː ʃ ɔ n
gemaakte	ɣ ə m aː k t ə
gemakkelijker	ɣ ə m ɑ k ə l ə k ə r
gerechten	ɣ ə r ɛ x t ə
hoofdstuk	ɦ oː f t s t ʏ k
instructies	ɪ n s t r ʏ k s i s
ipad	i p ɑ t
kaartjes	k aː r t j ə s
maximale	m ɑ k s i m aː l ə
merkt	m ɛ r k t
microsoft	m i k r oː s ɔ f t
onderhandelingen	ɔ n d ə r ɦ ɑ n d ə l ɪ ŋ ə
ongelofelijk	ɔ ŋ ɣ ə l oː f ə l ə k
overdreven	oː v ə r d r eː v ə
pogingen	p oː ɣ ɪ ŋ ə
publicaties	p y b l i k aː s i s
respectievelijk	r ɛ s p ɛ k s i v ə l ə k
run	r ʏ n
santa	s ɑ n t aː
sp	ɛ s p eː
startte	s t ɑ r t ə
uitmaakt	œ y̯ t m aː k t
usa	y z aː
vaders	v aː d ə r s
vertrouwde	v ə r t r ɑ u̯ d ə
vice	v i s
vierkante	v iː r k ɑ n t ə
werkende	ʋ ɛ r k ə n d ə
afgeleid	ɑ f x ə l ɛ i̯ t
afgewezen	ɑ f x ə ʋ eː z ə
awards	aː ʋ ɑ r t s
beloofde	b ə l oː f d ə
beïnvloed	b ə ɪ n v l u t
boekje	b u k j ə
champions	ʃ ɑ m p i ɔ n s
eventuele	eː v ə n t y eː l ə
geruchten	ɣ ə r ʏ x t ə
groeide	ɣ r u i̯ d ə
halverwege	ɦ ɑ l v ə r ʋ eː ɣ ə
hits	ɦ ɪ t s
how	ɦ oː
ideale	i d eː aː l ə
just	j ʏ s t
koste	k ɔ s t ə
mobile	m oː b i l ə
motoren	m oː t oː r ə
overheden	oː v ə r ɦ eː d ə
overnemen	oː v ə r n eː m ə
philips	f i l ɪ p s
probeerden	p r oː b eː r d ə
slaven	s l aː v ə
slechtste	s l ɛ x t s t ə
verpest	v ə r p ɛ s t
voornaamste	v oː r n aː m s t ə
williams	ʋ ɪ l i ɑ m s
woonden	ʋ oː n d ə
afgenomen	ɑ f x ə n oː m ə
bevonden	b ə v ɔ n d ə
consumenten	k ɔ n z y m ɛ n t ə
dorpje	d ɔ r p j ə
gevechten	ɣ ə v ɛ x t ə
gordon	ɣ ɔ r d ɔ n
indeling	ɪ n d ə l ɪ ŋ
isis	i z ɪ s
mishandeling	m ɪ s ɦ ɑ n d ə l ɪ ŋ
opdrachten	ɔ p d r ɑ x t ə
oprecht	ɔ p r ɛ x t
opties	ɔ p s i s
praktische	p r ɑ k t i s ə
profiteren	p r oː f i t eː r ə
toegekend	t u ɣ ə k ɛ n t
toeristische	t u r ɪ s t i s ə
toonde	t oː n d ə
uitgaven	œ y̯ t x aː v ə
vergelijkbare	v ə r ɣ ə l ə k b aː r ə
vermiste	v ə r m ɪ s t ə
vertegenwoordigd	v ə r t eː ɣ ə n ʋ oː r d ə x t
viert	v iː r t
about	aː b ɑ u̯ t
behaald	b ə ɦ aː l t
bevrijd	b ə v r ɛ i̯ t
bezittingen	b ə z ɪ t ɪ ŋ ə
bovenste	b oː v ə n s t ə
broeders	b r u d ə r s
centre	s ɛ n t r ə
exclusieve	ɛ k s k l y z i v ə
food	f oː t
geroepen	ɣ ə r u p ə
han	ɦ ɑ n
hersteld	ɦ ɛ r s t ɛ l t
hoeveelheden	ɦ u v eː l ɦ eː d ə
investeringen	ɪ n v ɛ s t ə r ɪ ŋ ə
jay	j eː
jimmy	j ɪ m i
licentie	l i s ɛ n s i
magische	m aː ɣ i s ə
manchester	m ɑ n ʃ ɛ s t ə r
migranten	m i ɣ r ɑ n t ə
münchen	m ʏ n ʃ ə
norman	n ɔ r m ɑ n
now	n oː
ondersteund	ɔ n d ə r s t øː n t
ontwikkelt	ɔ n t ʋ ɪ k ə l t
plaatjes	p l aː t j ə s
ruime	r œ y̯ m ə
schouders	s x ɑ u̯ d ə r s
sea	s eː aː
sluiting	s l œ y̯ t ɪ ŋ
spannende	s p ɑ n ə n d ə
versies	v ɛ r z i s
volgden	v ɔ l x d ə
voorgaande	v oː r ɣ aː n d ə
vrijgelaten	v r ɛ i̯ ɣ ə l aː t ə
wall	ʋ ɑ l
zusje	z ʏ ʃ ə
arbeiders	ɑ r b ɛ i̯ d ə r s
begreep	b ə ɣ r eː p
bevestigt	b ə v ɛ s t ə x t
book	b oː k
clinton	k l ɪ n t ɔ n
complexe	k ɔ m p l ɛ k s ə
davis	d aː v ɪ s
express	ɛ k s p r ɛ s
gelanceerd	ɣ ə l ɑ n s eː r t
generaties	ɣ eː n ə r aː s i s
kostte	k ɔ s t ə
nelson	n ɛ l s ɔ n
old	ɔ l t
omgekomen	ɔ m ɣ ə k oː m ə
opgegeven	ɔ p x ə ɣ eː v ə
optredens	ɔ p t r eː d ə n s
overeenkomsten	oː v ə r eː n k ɔ m s t ə
overgedragen	oː v ə r ɣ ə d r aː ɣ ə
plaatsgevonden	p l aː t s x ə v ɔ n d ə
professional	p r oː f ɛ ʃ oː n ɑ l
stedelijke	s t eː d ə l ə k ə
stuks	s t ʏ k s
tal	t ɑ l
verkozen	v ə r k oː z ə
vertrouw	v ə r t r ɑ u̯
vleugels	v l øː ɣ ə l s
waardevolle	ʋ aː r d ə v ɔ l ə
werkelijke	ʋ ɛ r k ə l ə k ə
bekendgemaakt	b ə k ɛ n t x ə m aː k t
belastingen	b ə l ɑ s t ɪ ŋ ə
billy	b ɪ l i
broertje	b r u r t j ə
daders	d aː d ə r s
doelstellingen	d u l s t ɛ l ɪ ŋ ə
erkende	ɛ r k ɛ n d ə
europe	øː r oː p ə
fm	ɛ f ɛ m
gedreven	ɣ ə d r eː v ə
gestegen	ɣ ə s t eː ɣ ə
getest	ɣ ə t ɛ s t
haagse	ɦ aː x s ə
latere	l aː t ə r ə
musea	m y z eː aː
nabijgelegen	n aː b ɛ i̯ ɣ ə l eː ɣ ə
nationaliteit	n aː t ʃ oː n aː l i t ɛ i̯ t
opmerkelijk	ɔ p m ɛ r k ə l ə k
plots	p l ɔ t s
processen	p r oː s ɛ s ə
speelden	s p eː l d ə
sterft	s t ɛ r f t
stijgt	s t ɛ i̯ x t
vasthouden	v ɑ s t ɦ ɑ u̯ d ə
vergroot	v ə r ɣ r oː t
verlengd	v ə r l ɛ ŋ t
vervanging	v ə r v ɑ ŋ ɪ ŋ
voorop	v oː r ɔ p
webshop	ʋ ɛ p ʃ ɔ p
who	ʋ oː
act	ɑ k t
afgezet	ɑ f x ə z ɛ t
andy	ɑ n d i
bestuurders	b ə s t yː r d ə r s
dieper	d i p ə r
donald	d oː n ɑ l t
erotische	eː r oː t i s ə
gepraat	ɣ ə p r aː t
herinner	ɦ ɛ r ɪ n ə r
instrumenten	ɪ n s t r y m ɛ n t ə
jordan	j ɔ r d ɑ n
liga	l i ɣ aː
luidt	l œ y̯ t
oftewel	ɔ f t ə ʋ ɛ l
onderling	ɔ n d ə r l ɪ ŋ
ronald	r oː n ɑ l t
seizoenen	s ɛ i̯ z u n ə
shirts	ʃ ɪ r t s
straling	s t r aː l ɪ ŋ
uitdagingen	œ y̯ d aː ɣ ɪ ŋ ə
verdiende	v ə r d i n d ə
vormde	v ɔ r m d ə
action	ɑ k ʃ ɔ n
amanda	aː m ɑ n d aː
angeles	ɑ ŋ ə l ɛ s
cameron	k aː m ə r ɔ n
dance	d ɑ n s
departement	d eː p ɑ r t ə m ɛ n t
diende	d i n d ə
exemplaren	ɛ k s ə m p l aː r ə
geboden	ɣ ə b oː d ə
geluiden	ɣ ə l œ y̯ d ə
hoofdkantoor	ɦ oː f t k ɑ n t oː r
institute	ɪ n s t i t y t ə
klappen	k l ɑ p ə
literaire	l i t ə r ɛː r ə
lost	l ɔ s t
nina	n i n aː
olympisch	oː l ɪ m p i s
omlaag	ɔ m l aː x
opleveren	ɔ p l eː v ə r ə
organiseerde	ɔ r ɣ aː n i z eː r d ə
overgebracht	oː v ə r ɣ ə b r ɑ x t
paris	p aː r ɪ s
platen	p l aː t ə
tanks	t ɑ ŋ k s
tassen	t ɑ s ə
toegenomen	t u ɣ ə n oː m ə
verplichte	v ə r p l ɪ x t ə
videoclip	v i d eː oː k l ɪ p
voorbereidingen	v oː r b ə r ɛ i̯ d ɪ ŋ ə
vrouwtje	v r ɑ u̯ t j ə
wél	ʋ eː l
belde	b ɛ l d ə
beschermde	b ə s x ɛ r m d ə
beschuldigd	b ə s x ʏ l d ə x t
bevond	b ə v ɔ n t
bommen	b ɔ m ə
cbs	s eː b eː ɛ s
criminele	k r i m i n eː l ə
doelpunten	d u l p ʏ n t ə
earth	eː ɑ r t
eddie	ɛ d i
gebruikten	ɣ ə b r œ y̯ k t ə
gewapende	ɣ ə ʋ aː p ə n d ə
gigantische	ɣ i ɣ ɑ n t i s ə
grappen	ɣ r ɑ p ə
herkomst	ɦ ɛ r k ɔ m s t
identificeren	i d ɛ n t i f i s eː r ə
journal	j uː r n ɑ l
liberale	l i b ə r aː l ə
nathan	n aː t ɦ ɑ n
omliggende	ɔ m l ɪ ɣ ə n d ə
opgehaald	ɔ p x ə ɦ aː l t
plaatsvindt	p l aː t s f ɪ n t
richtte	r ɪ x t ə
smalle	s m ɑ l ə
stevige	s t eː v ə ɣ ə
therapie	t eː r aː p i
veiliger	v ɛ i̯ l ə ɣ ə r
vertegenwoordigers	v ə r t eː ɣ ə n ʋ oː r d ə ɣ ə r s
vieze	v i z ə
weigert	ʋ ɛ i̯ ɣ ə r t
bekijkt	b ə k ɛ i̯ k t
beloften	b ə l ɔ f t ə
bijeenkomsten	b ɛ i̯ eː n k ɔ m s t ə
britten	b r ɪ t ə
egyptische	eː ɣ ɪ p t i s ə
frisse	f r ɪ s ə
gelukkige	ɣ ə l ʏ k ə ɣ ə
if	ɪ f
individueel	ɪ n d i v i d y eː l
instagram	ɪ n s t aː ɣ r ɑ m
kijker	k ɛ i̯ k ə r
kondigde	k ɔ n d ə x d ə
langere	l ɑ ŋ ə r ə
luc	l y k
mb	ɛ m b eː
mc	ɛ m s eː
oostelijke	oː s t ə l ə k ə
raakten	r aː k t ə
regeling	r eː ɣ ə l ɪ ŋ
rijtje	r ɛ i̯ t j ə
store	s t oː r ə
stukjes	s t ʏ k j ə s
trump	t r ʏ m p
ultieme	ʏ l t i m ə
vermelding	v ə r m ɛ l d ɪ ŋ
vriendelijke	v r i n d ə l ə k ə
weinige	ʋ ɛ i̯ n ə ɣ ə
zonnige	z ɔ n ə ɣ ə
allereerste	ɑ l ə r eː r s t ə
argumenten	ɑ r ɣ y m ɛ n t ə
avenue	aː v ə n y
bedenk	b ə d ɛ ŋ k
beweert	b ə ʋ eː r t
blote	b l oː t ə
can	k ɑ n
carter	k ɑ r t ə r
familieleden	f aː m i l i l eː d ə
gebleken	ɣ ə b l eː k ə
geblokkeerd	ɣ ə b l ɔ k eː r t
geconfronteerd	ɣ ə k ɔ n f r ɔ n t eː r t
gepaard	ɣ ə p aː r t
guy	ɣ œ y̯
hollywood	ɦ ɔ l i ʋ oː t
jeetje	j eː t j ə
koreaanse	k oː r eː aː n s ə
lelijke	l eː l ə k ə
markten	m ɑ r k t ə
moeilijkheden	m u i̯ l ə k ɦ eː d ə
nadien	n aː d i n
nagedacht	n aː ɣ ə d ɑ x t
ned	n ɛ t
network	n ɛ t ʋ ɔ r k
offline	ɔ f l i n ə
omringd	ɔ m r ɪ ŋ t
only	ɔ n l i
opgelegd	ɔ p x ə l ɛ x t
prioriteit	p r i oː r i t ɛ i̯ t
reageerde	r eː aː ɣ eː r d ə
regionaal	r eː ɣ i oː n aː l
ryan	r i ɑ n
sigaretten	s i ɣ aː r ɛ t ə
socialistische	s oː s i aː l ɪ s t i s ə
stomme	s t ɔ m ə
strenge	s t r ɛ ŋ ə
tickets	t ɪ k ə t s
treft	t r ɛ f t
uitziet	œ y̯ t s i t
verdien	v ə r d i n
vervolgd	v ə r v ɔ l x t
verzonnen	v ə r z ɔ n ə
voorlopige	v oː r l oː p ə ɣ ə
vriendjes	v r i n t j ə s
zeldzame	z ɛ l t s aː m ə
zussen	z ʏ s ə
barry	b ɑ r i
bay	b eː
belooft	b ə l oː f t
beschikbare	b ə s x ɪ k b aː r ə
bewakers	b ə ʋ aː k ə r s
classic	k l ɑ s ɪ k
communistische	k ɔ m y n ɪ s t i s ə
filipijnse	f i l i p ɛ i̯ n s ə
force	f ɔ r s
gedraaid	ɣ ə d r aː i̯ t
geplande	ɣ ə p l ɑ n d ə
gesteund	ɣ ə s t øː n t
herken	ɦ ɛ r k ə
heuvels	ɦ øː v ə l s
howard	ɦ oː ʋ ɑ r t
interpretatie	ɪ n t ə r p r eː t aː s i
jongeman	j ɔ ŋ ə m ɑ n
jubileum	j y b i l eː ʏ m
kantoren	k ɑ n t oː r ə
leraren	l eː r aː r ə
omwille	ɔ m ʋ ɪ l ə
ontwerper	ɔ n t ʋ ɛ r p ə r
phil	f ɪ l
primaire	p r i m ɛː r ə
principes	p r ɪ n s i p ɛ s
robinson	r oː b ɪ n s ɔ n
romantische	r oː m ɑ n t i s ə
sparta	s p ɑ r t aː
staande	s t aː n d ə
sterkste	s t ɛ r k s t ə
studeerde	s t y d eː r d ə
toepassingen	t u p ɑ s ɪ ŋ ə
trouwe	t r ɑ u̯ ə
uiteen	œ y̯ t eː n
uitstoot	œ y̯ t s t oː t
verhoogd	v ə r ɦ oː x t
verzocht	v ə r z ɔ x t
wortels	ʋ ɔ r t ə l s
anonieme	aː n oː n i m ə
betrapt	b ə t r ɑ p t
bijbehorende	b ɛ i̯ b ə ɦ oː r ə n d ə
bijgewerkt	b ɛ i̯ ɣ ə ʋ ɛ r k t
clark	k l ɑ r k
etnische	ɛ t n i s ə
faculteit	f aː k ʏ l t ɛ i̯ t
feestdagen	f eː s d aː ɣ ə
firma	f ɪ r m aː
fransen	f r ɑ n s ə
geboekt	ɣ ə b u k t
gemengd	ɣ ə m ɛ ŋ t
idioten	i d i oː t ə
indianen	ɪ n d i aː n ə
indienen	ɪ n d i n ə
kleinste	k l ɛ i̯ n s t ə
koppen	k ɔ p ə
liefje	l i f j ə
matt	m ɑ t
miami	m i aː m i
minute	m i n y t ə
nagels	n aː ɣ ə l s
noten	n oː t ə
onverwachte	ɔ n v ə r ʋ ɑ x t ə
pijnlijke	p ɛ i̯ n l ə k ə
prince	p r ɪ n s
rechte	r ɛ x t ə
ross	r ɔ s
spontaan	s p ɔ n t aː n
spraken	s p r aː k ə
stelletje	s t ɛ l ə t j ə
stranden	s t r ɑ n d ə
symptomen	s ɪ m p t oː m ə
talrijke	t ɑ l r ɛ i̯ k ə
toegelaten	t u ɣ ə l aː t ə
trending	t r ɛ n d ɪ ŋ
uurtje	yː r t j ə
verbeterd	v ə r b eː t ə r t
verward	v ə r ʋ ɑ r t
vruchten	v r ʏ x t ə
wijzigen	ʋ ɛ i̯ z ə ɣ ə
women	ʋ oː m ə
young	j ɑ u̯ ŋ
écht	eː x t
anderlecht	ɑ n d ə r l ɛ x t
belast	b ə l ɑ s t
bevalt	b ə v ɑ l t
bijv	b ɛ i̯ v
conflicten	k ɔ n f l ɪ k t ə
diana	d i aː n aː
entertainment	ɛ n t ə r t eː n m ɛ n t
geaccepteerd	ɣ ə ɑ k s ɛ p t eː r t
gedrukt	ɣ ə d r ʏ k t
gespannen	ɣ ə s p ɑ n ə
gewijd	ɣ ə ʋ ɛ i̯ t
hoofdkwartier	ɦ oː f t k ʋ ɑ r t iː r
jobs	j ɔ p s
keerde	k eː r d ə
kenteken	k ɛ n t eː k ə
lancering	l ɑ n s eː r ɪ ŋ
merkte	m ɛ r k t ə
nature	n aː t yː r ə
north	n ɔ r t
ontsnapt	ɔ n t s n ɑ p t
opgehangen	ɔ p x ə ɦ ɑ ŋ ə
organen	ɔ r ɣ aː n ə
overleefd	oː v ə r l eː f t
portretten	p ɔ r t r ɛ t ə
redacteur	r eː d ɑ k t øː r
romeinse	r oː m ɛ i̯ n s ə
sky	s k i
sony	s oː n i
sovjet	s ɔ v j ɛ t
spelletje	s p ɛ l ə t j ə
uitgestorven	œ y̯ t x ə s t ɔ r v ə
varkens	v ɑ r k ə n s
verzamelde	v ə r z aː m ə l d ə
vonnis	v ɔ n ɪ s
vv	v eː v eː
beschreef	b ə s x r eː f
dc	d eː s eː
digital	d i ɣ i t ɑ l
draaide	d r aː i̯ d ə
fotos	f oː t ɔ s
freelance	f r eː l ɑ n s ə
huishoudens	ɦ œ y̯ s ɦ ɑ u̯ d ə n s
insecten	ɪ n s ɛ k t ə
julie	j y l i
justin	j ʏ s t ɪ n
klassen	k l ɑ s ə
korter	k ɔ r t ə r
kunstwerken	k ʏ n s t ʋ ɛ r k ə
margaret	m ɑ r ɣ aː r ɛ t
mbo	ɛ m b oː
mislukte	m ɪ s l ʏ k t ə
moordenaars	m oː r d ə n aː r s
next	n ɛ k s t
omgezet	ɔ m ɣ ə z ɛ t
omstreden	ɔ m s t r eː d ə
onzekerheid	ɔ n z eː k ə r ɦ ɛ i̯ t
operaties	oː p ə r aː s i s
rechters	r ɛ x t ə r s
relevante	r eː l ə v ɑ n t ə
stapt	s t ɑ p t
topic	t oː p ɪ k
verantwoording	v ə r ɑ n t ʋ oː r d ɪ ŋ
vervoeren	v ə r v u r ə
academy	aː k aː d eː m i
afgeschaft	ɑ f x ə s x ɑ f t
afgevaardigden	ɑ f x ə v aː r d ə x d ə
concerten	k ɔ n s ɛ r t ə
culturen	k ʏ l t yː r ə
deelnemende	d eː l n eː m ə n d ə
ds	d eː ɛ s
duurder	d yː r d ə r
dylan	d i l ɑ n
edition	eː d i ʃ ɔ n
frequentie	f r eː k ʋ ɛ n s i
full	f ʏ l
geschilderd	ɣ ə s x ɪ l d ə r t
gesloopt	ɣ ə s l oː p t
grieken	ɣ r i k ə
jerry	j ɛ r i
jongetje	j ɔ ŋ ə t j ə
kong	k ɔ ŋ
lesbische	l ɛ s b i s ə
levenslang	l eː v ə n s l ɑ ŋ
machtige	m ɑ x t ə ɣ ə
meningen	m eː n ɪ ŋ ə
nicole	n i k oː l ə
presentator	p r eː z ɛ n t aː t ɔ r
produceert	p r oː d y s eː r t
regelgeving	r eː ɣ ə l ɣ eː v ɪ ŋ
song	s ɔ ŋ
soortgelijke	s oː r t x ə l ə k ə
stemde	s t ɛ m d ə
symbolen	s ɪ m b oː l ə
toeschouwers	t u s x ɑ u̯ ə r s
verstopt	v ə r s t ɔ p t
verwachte	v ə r ʋ ɑ x t ə
verwachtte	v ə r ʋ ɑ x t ə
verzorgt	v ə r z ɔ r x t
victoria	v ɪ k t oː r i aː
virtuele	v ɪ r t y eː l ə
voeden	v u d ə
von	v ɔ n
ziekten	z i k t ə
aanzienlijke	aː n z i n l ə k ə
accounts	ɑ k ɑ u̯ n t s
beseft	b ə s ɛ f t
cross	k r ɔ s
disney	d ɪ s n i
em	ɛ m
exacte	ɛ k s ɑ k t ə
gekost	ɣ ə k ɔ s t
gemengde	ɣ ə m ɛ ŋ d ə
getallen	ɣ ə t ɑ l ə
gevestigde	ɣ ə v ɛ s t ə x d ə
gewonde	ɣ ə ʋ ɔ n d ə
geïnstalleerd	ɣ ə ɪ n s t ɑ l eː r t
grondig	ɣ r ɔ n d ə x
inspanningen	ɪ n s p ɑ n ɪ ŋ ə
jessica	j ɛ s i k aː
kilometers	k i l oː m eː t ə r s
kwetsbare	k ʋ ɛ t s b aː r ə
liefhebbers	l i f ɦ ɛ b ə r s
morgan	m ɔ r ɣ ɑ n
noemden	n u m d ə
omgaat	ɔ m ɣ aː t
ondersteunt	ɔ n d ə r s t øː n t
opvattingen	ɔ p f ɑ t ɪ ŋ ə
renault	r ə n ɑ u̯ l t
stabiliteit	s t aː b i l i t ɛ i̯ t
stapte	s t ɑ p t ə
tevoorschijn	t ə v oː r s x ɛ i̯ n
tommy	t ɔ m i
twijfels	t ʋ ɛ i̯ f ə l s
uitgesloten	œ y̯ t x ə s l oː t ə
uitgesteld	œ y̯ t x ə s t ɛ l t
uitoefenen	œ y̯ t u f ə n ə
verbouwing	v ə r b ɑ u̯ ɪ ŋ
wars	ʋ ɑ r s
watch	ʋ ɑ t ʃ
wijzigingen	ʋ ɛ i̯ z ə ɣ ɪ ŋ ə
belastingdienst	b ə l ɑ s t ɪ ŋ d i n s t
bestemd	b ə s t ɛ m t
bezienswaardigheden	b ə z i n s ʋ aː r d ə x ɦ eː d ə
friese	f r i z ə
geheimen	ɣ ə ɦ ɛ i̯ m ə
global	ɣ l oː b ɑ l
groepje	ɣ r u p j ə
harris	ɦ ɑ r ɪ s
human	ɦ y m ɑ n
indische	ɪ n d i s ə
inheemse	ɪ n ɦ eː m s ə
jane	j aː n ə
koloniale	k oː l oː n i aː l ə
leerkrachten	l eː r k r ɑ x t ə
legaal	l eː ɣ aː l
meldde	m ɛ l d ə
nos	n ɔ s
onderlinge	ɔ n d ə r l ɪ ŋ ə
onderste	ɔ n d ə r s t ə
opleidingen	ɔ p l ɛ i̯ d ɪ ŋ ə
owen	oː ʋ ə
plaatsvond	p l aː t s f ɔ n t
respecteren	r ɛ s p ɛ k t eː r ə
rondlopen	r ɔ n t l oː p ə
slaagde	s l aː x d ə
toestaan	t u s t aː n
vegas	v eː ɣ ɑ s
vluchtte	v l ʏ x t ə
volhouden	v ɔ l ɦ ɑ u̯ d ə
vorming	v ɔ r m ɪ ŋ
bd	b eː d eː
behoeften	b ə ɦ u f t ə
controleer	k ɔ n t r oː l eː r
doeleinden	d u l ɛ i̯ n d ə
ers	ɛ r s
feestelijke	f eː s t ə l ə k ə
felle	f ɛ l ə
festivals	f ɛ s t i v ɑ l s
francis	f r ɑ n s ɪ s
geaardheid	ɣ ə aː r t ɦ ɛ i̯ t
gereageerd	ɣ ə r eː aː ɣ eː r t
gerichte	ɣ ə r ɪ x t ə
gestraft	ɣ ə s t r ɑ f t
golden	ɣ ɔ l d ə
groots	ɣ r oː t s
grootschalige	ɣ r oː t s x aː l ə ɣ ə
lichamelijke	l ɪ x aː m ə l ə k ə
onderaan	ɔ n d ə r aː n
ondertekend	ɔ n d ə r t eː k ə n t
onthuld	ɔ n t ɦ ʏ l t
ontkent	ɔ n t k ɛ n t
opnamen	ɔ p n aː m ə
opslag	ɔ p s l ɑ x
platte	p l ɑ t ə
pleit	p l ɛ i̯ t
posities	p oː z i s i s
potter	p ɔ t ə r
pp	p eː p eː
river	r i v ə r
technieken	t ɛ x n i k ə
tekens	t eː k ə n s
tijdschriften	t ɛ i̯ t s x r ɪ f t ə
tradities	t r aː d i s i s
uitrusting	œ y̯ t r ʏ s t ɪ ŋ
vacature	v aː k aː t yː r ə
verbindt	v ə r b ɪ n t
verhuisd	v ə r ɦ œ y̯ s t
vernieuwd	v ə r n i u̯ t
veronica	v ə r oː n i k aː
veroorzaakte	v ə r oː r z aː k t ə
vormden	v ɔ r m d ə
wonderen	ʋ ɔ n d ə r ə
zó	z oː
acteurs	ɑ k t øː r s
annie	ɑ n i
anton	ɑ n t ɔ n
asielzoekers	aː z i l z u k ə r s
behaalde	b ə ɦ aː l d ə
engelstalige	ɛ ŋ ə l s t aː l ə ɣ ə
erdogan	ɛ r d oː ɣ ɑ n
françois	f r ɑ n s w aː
gegarandeerd	ɣ ə ɣ aː r ɑ n d eː r t
gegroeid	ɣ ə ɣ r u i̯ t
geliefd	ɣ ə l i f t
gelovigen	ɣ ə l oː v ə ɣ ə
gevochten	ɣ ə v ɔ x t ə
