að	aː ð
fjölskyldan	f j œ l s c ɪ l t a n
hermenn	h ɛ r m ɛ nː
háskólans	h a uː s k o uː l a n s
hærri	h a i rː ɪ
hóp	h o uː p
jónsdóttir	j o u n s t o u h t ɪ r
leikið	l e iː c ɪ ð
mátt	m a u h t
mæli	m a iː l ɪ
möguleika	m œː ɣ ʏ l e iː k a
nam	n aː m
oftar	ɔ f t a r
peninga	pʰ ɛː n i ŋ k a
settu	s ɛ h t ʏ
úrslit	u r̥ s t l ɪː t
austan	ø y s t a n
felur	f ɛː l ʏ r
leiðinni	l e iː ð ɪ nː ɪ
lofti	l ɔ f t ɪ
meir	m e iː r
mátti	m a u h t ɪ
reglulega	r ɛ k l ʏ l ɛː ɣ a
sko	s k ɔː
skömmu	s k œ mː ʏ
stundu	s t ʏ n t ʏ
svæðum	s v a iː ð ʏ m
unnu	ʏ nː ʏ
aftan	a f t a n
aðgang	a ð k a u ŋ k
aðila	aː ð ɪ l a
borgara	p ɔ r k a r a
dóttur	t o u h t ʏ r
gang	k a u ŋ k
heitið	h e iː t ɪ ð
hundruð	h ʏ n t r ʏː ð
hvarf	kʰ v a r v
háð	h a uː ð
keypt	cʰ e i f t
ljósi	l j o uː s ɪ
merkingu	m ɛ r̥ c i ŋ k ʏ
notaður	n ɔː t a ð ʏ r
reyndist	r e i n t ɪ s t
sam	s aː m
starfar	s t a r v a r
starfsmenn	s t a r v s m ɛ nː
sveitarfélög	s v e iː t a r f j ɛː l œː ɣ
tekst	tʰ ɛ x s t
vestan	v ɛ s t a n
veturinn	v ɛː t ʏ r ɪ nː
ákveðin	a uː kʰ v ɛː ð ɪ n
árangri	a uː r a u ŋ k r ɪ
áratug	a uː r a tʰ ʏː ɣ
íslenskir	i s t l ɛ n s c ɪ r
edward	ɛː t v a r t
efnið	ɛ p n ɪ ð
evrópusambandsins	ɛ v r o uː p ʏ s a m p a n t s ɪ n s
fjallað	f j a t l a ð
fært	f a i r̥ t
fætur	f a iː t ʏ r
loknu	l ɔ h k n ʏ
lögðu	l œ ɣ ð ʏ
lönd	l œ n t
mundu	m ʏ n t ʏ
mögulegt	m œː ɣ ʏ l ɛ x t
nokkurra	n ɔ h k ʏ rː a
skemmtilegt	s c ɛ m̥ t ɪ l ɛ x t
skoðanir	s k ɔː ð a n ɪ r
skuli	s k ʏː l ɪ
svarar	s v aː r a r
van	v aː n
þýðingu	θ iː ð i ŋ k ʏ
adam	aː t a m
al	aː l
breytingum	p r e iː t i ŋ k ʏ m
full	f ʏ t l
förum	f œː r ʏ m
gamli	k a m l ɪ
gríðarlega	k r iː ð a r l ɛː ɣ a
gátu	k a uː t ʏ
gögn	k œ k n
leiknum	l e i h k n ʏ m
líður	l iː ð ʏ r
miðju	m ɪ ð j ʏ
mínútu	m iː n uː t ʏ
settar	s ɛ h t a r
slíkar	s t l iː k a r
styrk	s t ɪ r̥ k
tengd	tʰ e i ŋ t
vísar	v iː s a r
ýmsa	i m s a
allri	a t l r ɪ
alþjóðlega	a l θ j o u ð l ɛː ɣ a
borgar	p ɔ r k a r
chris	kʰ r ɪː s
efst	ɛ f s t
eignir	e i k n ɪ r
fagna	f a k n a
fjarlægð	f j a r l a i ɣ ð
fjóra	f j o uː r a
frakklandi	f r a h k l a n t ɪ
fundi	f ʏ n t ɪ
fundum	f ʏ n t ʏ m
fylgdu	f ɪ l t ʏ
fékkst	f j ɛ h k s t
hærra	h a i rː a
johnson	j ɔ n s ɔː n
krefst	kʰ r ɛ f s t
lögreglan	l œ ɣ r ɛ k l a n
lýsti	l i s t ɪ
mörkum	m œ r̥ k ʏ m
niðurstöðu	n ɪː ð ʏ r s t œː ð ʏ
nánar	n a uː n a r
náðu	n a uː ð ʏ
taki	tʰ aː c ɪ
tilbúin	tʰ ɪ l p uː ɪ n
umsjón	ʏ m s j o uː n
virtist	v ɪ r̥ t ɪ s t
áhugavert	a uː h ʏː ɣ a v ɛ r̥ t
ákveðnum	a uː kʰ v ɛ ð n ʏ m
ýmsir	i m s ɪ r
þriðju	θ r ɪ ð j ʏ
þáttum	θ a u h t ʏ m
afríku	a v r iː k ʏ
annast	a nː a s t
byggist	p ɪ cː ɪ s t
dóttir	t o u h t ɪ r
egill	e iː j ɪ t l
forystu	f ɔː r ɪ s t ʏ
fylgdi	f ɪ l t ɪ
fyrirtækja	f ɪː r ɪ r tʰ a iː c a
gefst	c ɛ f s t
gildir	c ɪ l t ɪ r
gísli	c i s t l ɪ
hitti	h ɪ h t ɪ
hlýtur	l̥ iː t ʏ r
jörðinni	j œ r ð ɪ nː ɪ
leikjum	l e iː c ʏ m
leitar	l e iː t a r
liðsins	l ɪ ð s ɪ n s
mike	m ɪː c ɛ
orðum	ɔ r ð ʏ m
rannsaka	r a nː s aː k a
ríkis	r iː c ɪ s
sagðist	s a ɣ ð ɪ s t
skiptið	s c ɪ f t ɪ ð
staðnum	s t a ð n ʏ m
stórar	s t o uː r a r
sögunnar	s œː ɣ ʏ nː a r
akureyrar	aː k ʏ r e iː r a r
aðilar	aː ð ɪ l a r
ben	p ɛː n
eyjum	e iː j ʏ m
framkvæmdir	f r a m kʰ v a i m t ɪ r
heitt	h e i h t
hlutir	l̥ ʏː t ɪ r
horft	h ɔ r̥ t
inga	i ŋ k a
kirkjunni	cʰ ɪ r̥ c ʏ nː ɪ
lært	l a i r̥ t
reynslu	r e i n s t l ʏ
ríkisstjórnin	r iː c ɪ s s t j o u r t n ɪ n
samþykkti	s a m θ ɪ x t ɪ
sjálft	s j a u l̥ t
skulum	s k ʏː l ʏ m
stíl	s t iː l
svipað	s v ɪː p a ð
sögðu	s œ ɣ ð ʏ
tilfinningar	tʰ ɪ l f ɪ nː i ŋ k a r
varðar	v a r ð a r
vissu	v ɪ sː ʏ
viðskipti	v ɪ ð s c ɪ f t ɪ
áætlað	a uː a i h t l aː ð
þingi	θ i ɲ c ɪ
almenn	a l m ɛ nː
almenningi	a l m ɛ nː i ɲ c ɪ
auðvelt	ø y ð v ɛ l̥ t
birti	p ɪ r̥ t ɪ
breytast	p r e iː tʰ a s t
breytist	p r e iː t ɪ s t
bílnum	p i l n ʏ m
býður	p iː ð ʏ r
efnum	ɛ p n ʏ m
einhverjar	e i n kʰ v ɛ r j a r
endanum	ɛ n t a n ʏ m
evrópska	ɛ v r o u p s k a
felst	f ɛ l s t
guðs	k v ʏ ð s
góðan	k o uː ð a n
haldnir	h a l t n ɪ r
hópa	h o uː p a
kallaði	kʰ a t l a ð ɪ
lífs	l i f s
mikilvægur	m ɪː c ɪ l v a iː ɣ ʏ r
neinu	n e iː n ʏ
neinum	n e iː n ʏ m
nógu	n o uː ʏ
nöfn	n œ p n
opnar	ɔ h p n a r
rannsókna	r a nː s o u h k n a
ræður	r a iː ð ʏ r
sanna	s a nː a
skildi	s c ɪ l t ɪ
snýr	s t n iː r
steve	s t ɛː v ɛ
stuðla	s t ʏ ð l a
stuðningi	s t ʏ ð n i ɲ c ɪ
tekist	tʰ ɛː c ɪ s t
vikið	v ɪː c ɪ ð
víðar	v iː ð a r
vörur	v œː r ʏ r
bandaríska	p a n t a r i s k a
barst	p a r̥ s t
birt	p ɪ r̥ t
burtu	p ʏ r̥ t ʏ
endar	ɛ n t a r
framtíð	f r a m tʰ iː ð
frænda	f r a i n t a
fást	f a u s t
greinum	k r e iː n ʏ m
grunni	k r ʏ nː ɪ
hússins	h u sː ɪ n s
it	ɪː t
kallaður	kʰ a t l a ð ʏ r
komust	kʰ ɔː m ʏ s t
kynnti	cʰ ɪ n̥ t ɪ
mikils	m ɪː c ɪ l s
náms	n a u m s
plötu	pʰ l œː t ʏ
réttum	r j ɛ h t ʏ m
sigurðardóttir	s ɪː ɣ ʏ r ð a r t o u h t ɪ r
skilið	s c ɪː l ɪ ð
stjórnin	s t j o u r t n ɪ n
sögunni	s œː ɣ ʏ nː ɪ
tek	tʰ ɛː k
veitti	v e i h t ɪ
virðast	v ɪ r ð a s t
walter	v a l̥ t ɛ r
ytri	ɪː t r ɪ
bardaga	p a r t aː ɣ a
efnis	ɛ p n ɪ s
fáir	f a uː ɪ r
hljómsveitin	l̥ j o u m s v e iː t ɪ n
keflavík	cʰ ɛ p l a v iː k
lögreglu	l œ ɣ r ɛ k l ʏ
mannsins	m a nː s ɪ n s
miðjan	m ɪ ð j a n
notum	n ɔː t ʏ m
ráðast	r a uː ð a s t
ríkjum	r iː c ʏ m
sir	s ɪː r
stofnanir	s t ɔ p n a n ɪ r
svarta	s v a r̥ t a
teknar	tʰ ɛ h k n a r
tilraunir	tʰ ɪ l r ø yː n ɪ r
tónleika	tʰ o u n l e iː k a
ung	u ŋ k
vestfjörðum	v ɛ s t f j œ r ð ʏ m
vestmannaeyja	v ɛ s t m a nː a e iː j a
vísað	v iː s aː ð
ástæðan	a uː s t a iː ð a n
þessarar	θ ɛ sː a r a r
þróast	θ r o uː a s t
bekk	p ɛ h k
breska	p r ɛ s k a
einstaka	e i n s t aː k a
frændi	f r a i n t ɪ
hart	h a r̥ t
hliðar	l̥ ɪː ð a r
höfundar	h œː v ʏ n t a r
kennara	cʰ ɛ nː a r a
kölluð	kʰ œ t l ʏ ð
liðs	l ɪ ð s
lægri	l a i ɣ r ɪ
línu	l iː n ʏ
menningar	m ɛ nː i ŋ k a r
milljarða	m ɪ l j a r ð a
mætir	m a iː t ɪ r
mínir	m iː n ɪ r
opinber	ɔː p ɪ n p ɛː r
pabbi	pʰ a pː ɪ
skilningi	s c ɪ l n i ɲ c ɪ
stuðnings	s t ʏ ð n i ŋ k s
stærra	s t a i rː a
sótti	s o u h t ɪ
sömuleiðis	s œː m ʏ l e iː ð ɪ s
sýnd	s i n t
tagi	tʰ a iː j ɪ
texti	tʰ ɛ k s t ɪ
tony	tʰ ɔː n ɪ
verka	v ɛ r̥ k a
viðbótar	v ɪ ð p o uː t a r
alan	aː l a n
berst	p ɛ r̥ s t
bjarnason	p j a r t n a s ɔː n
boltann	p ɔ l̥ tʰ a nː
city	s ɪː t ɪ
deildarinnar	t e i l t a r ɪ nː a r
eiginleika	e iː j ɪ n l e iː k a
englandi	e i ŋ k l a n t ɪ
esb	ɛ s p
evrópusambandið	ɛ v r o uː p ʏ s a m p a n t ɪ ð
forðast	f ɔ r ð a s t
fínt	f i n̥ t
konungi	kʰ ɔː n u ɲ c ɪ
kynnt	cʰ ɪ n̥ t
líkist	l iː c ɪ s t
markað	m a r̥ k a ð
munt	m ʏ n̥ t
nefnist	n ɛ p n ɪ s t
reyni	r e iː n ɪ
selt	s ɛ l̥ t
st	s t
sáu	s a uː ʏ
tilfellum	tʰ ɪ l f ɛ t l ʏ m
veitir	v e iː t ɪ r
verra	v ɛ rː a
ákveður	a uː kʰ v ɛː ð ʏ r
ánægju	a uː n a iː j ʏ
beggja	p ɛ cː a
dagurinn	t aː ɣ ʏ r ɪ nː
fæddur	f a i tː ʏ r
gætir	c a iː t ɪ r
hafnað	h a p n a ð
kalt	kʰ a l̥ t
kunni	kʰ ʏ nː ɪ
kynntist	cʰ ɪ n̥ t ɪ s t
metrar	m ɛː t r a r
nemenda	n ɛː m ɛ n t a
opinberum	ɔː p ɪ n p ɛː r ʏ m
rekið	r ɛː c ɪ ð
ræðu	r a iː ð ʏ
ríkinu	r iː c ɪ n ʏ
saint	s a i n̥ t
skiptist	s c ɪ f t ɪ s t
skipuð	s c ɪː p ʏ ð
spurningu	s p ʏ r t n i ŋ k ʏ
staðan	s t aː ð a n
stjórnarskrá	s t j o u r t n a r s k r a uː
stjórnvalda	s t j o u r t n v a l t a
stöðugt	s t œː ð ʏ x t
sérstökum	s j ɛ r̥ s t œː k ʏ m
tali	tʰ aː l ɪ
tilheyrir	tʰ ɪː l h e iː r ɪ r
tíðina	tʰ iː ð ɪ n a
upplýsingum	ʏ h p l iː s i ŋ k ʏ m
almennum	a l m ɛ nː ʏ m
bent	p ɛ n̥ t
brott	p r ɔ h t
bróður	p r o uː ð ʏ r
bændur	p a i n t ʏ r
bókum	p o uː k ʏ m
datt	t a h t
em	ɛː m
flytur	f l ɪː t ʏ r
fundist	f ʏ n t ɪ s t
fót	f o uː t
gáfu	k a uː v ʏ
heimasíðu	h e iː m a s iː ð ʏ
heimsækja	h e i m s a iː c a
hlutfall	l̥ ʏː t f a t l
hugmyndum	h ʏ ɣ m ɪ n t ʏ m
hálf	h a u l v
húsavík	h uː s a v iː k
litlar	l ɪ h t l a r
létu	l j ɛː t ʏ
löngum	l ø y ŋ k ʏ m
mac	m aː k
magni	m a k n ɪ
mundi	m ʏ n t ɪ
no	n ɔː
reglum	r ɛ k l ʏ m
russell	r ʏ sː ɛ t l
samanstendur	s aː m a n s t ɛ n t ʏ r
skilur	s c ɪː l ʏ r
slíkum	s t l iː k ʏ m
stefnir	s t ɛ p n ɪ r
sýningar	s iː n i ŋ k a r
velkomin	v ɛ l kʰ ɔː m ɪ n
ýmissa	iː m ɪ sː a
þinni	θ ɪ nː ɪ
augun	ø yː ɣ ʏ n
bóndi	p o u n t ɪ
ed	ɛː t
fengi	f e i ɲ c ɪ
fjallaði	f j a t l a ð ɪ
friðrik	f r ɪ ð r ɪː k
fólkið	f o u l̥ c ɪ ð
grundvelli	k r ʏ n t v ɛ t l ɪ
hreyfingu	r̥ e iː v i ŋ k ʏ
hugmyndin	h ʏ ɣ m ɪ n t ɪ n
jane	j aː n ɛ
merkir	m ɛ r̥ c ɪ r
myndirnar	m ɪ n t ɪ r t n a r
mættu	m a i h t ʏ
mömmu	m œ mː ʏ
netinu	n ɛː t ɪ n ʏ
set	s ɛː t
sjálfir	s j a u l v ɪ r
skipulag	s c ɪː p ʏ l aː ɣ
skrifar	s k r ɪː v a r
spurt	s p ʏ r̥ t
stelpur	s t ɛ l̥ p ʏ r
sundur	s ʏ n t ʏ r
talsins	tʰ a l s ɪ n s
tímabilið	tʰ iː m a p ɪː l ɪ ð
valin	v aː l ɪ n
þingið	θ i ɲ c ɪ ð
þvert	θ v ɛ r̥ t
afleiðingar	a v l e iː ð i ŋ k a r
atkvæða	aː t kʰ v a iː ð a
aukið	ø yː c ɪ ð
borgina	p ɔ r c ɪ n a
dagsins	t a x s ɪ n s
drap	t r aː p
fresti	f r ɛ s t ɪ
frumkvæði	f r ʏ m kʰ v a iː ð ɪ
gamalt	k aː m a l̥ t
gestir	c ɛ s t ɪ r
góðu	k o uː ð ʏ
hring	r̥ i ŋ k
hæsta	h a i s t a
ka	kʰ aː
kevin	cʰ ɛː v ɪ n
kíkja	cʰ iː c a
losa	l ɔː s a
neinn	n e i t n
nýrra	n i rː a
opnað	ɔ h p n a ð
or	ɔː r
pakka	pʰ a h k a
senn	s ɛ nː
smám	s m a uː m
snýst	s t n i s t
spáni	s p a uː n ɪ
staðir	s t aː ð ɪ r
stjórnmálamenn	s t j o u r t n m a uː l a m ɛ nː
sveitarfélaga	s v e iː t a r f j ɛː l aː ɣ a
söguna	s œː ɣ ʏ n a
veru	v ɛː r ʏ
viðurkenningu	v ɪː ð ʏ r cʰ ɛ nː i ŋ k ʏ
árabil	a uː r a p ɪː l
áratugum	a uː r a tʰ ʏː ɣ ʏ m
íbúum	iː p uː ʏ m
íslenskrar	i s t l ɛ n s k r aː r
annaðhvort	a nː a ð kʰ v ɔ r̥ t
aðal	aː ð a l
blaðið	p l aː ð ɪ ð
borgin	p ɔ r c ɪ n
breytti	p r e i h t ɪ
farnir	f a r t n ɪ r
fæðingu	f a iː ð i ŋ k ʏ
fólksins	f o u l̥ k s ɪ n s
gráðu	k r a uː ð ʏ
hentar	h ɛ n̥ t a r
hreinsa	r̥ e i n s a
leikir	l e iː c ɪ r
lent	l ɛ n̥ t
mælt	m a i l̥ t
mögulega	m œː ɣ ʏ l ɛː ɣ a
sameiningu	s aː m e iː n i ŋ k ʏ
sjónum	s j o uː n ʏ m
skýrslu	s c i r̥ s t l ʏ
slæmt	s t l a i m̥ t
smátt	s m a u h t
spilar	s p ɪː l a r
staðsetningu	s t a ð s ɛ h t n i ŋ k ʏ
sterk	s t ɛ r̥ k
síðasti	s iː ð a s t ɪ
töldu	tʰ œ l t ʏ
unnin	ʏ nː ɪ n
verri	v ɛ rː ɪ
vina	v ɪː n a
vinnuna	v ɪ nː ʏ n a
ásgeir	a uː s c e iː r
ólafs	o uː l a f s
ólíkt	o uː l i x t
úrslitum	u r̥ s t l ɪː t ʏ m
þétt	θ j ɛ h t
dró	t r o uː
falli	f a t l ɪ
fulla	f ʏ t l a
fyrirtækjum	f ɪː r ɪ r tʰ a iː c ʏ m
hlutina	l̥ ʏː t ɪ n a
klukkutíma	kʰ l ʏ h k ʏ tʰ iː m a
leggjum	l ɛ cː ʏ m
lærði	l a i r ð ɪ
noregs	n ɔː r ɛ k s
rússlandi	r u sː l a n t ɪ
safnað	s a p n a ð
sameiginlegt	s aː m e iː j ɪ n l ɛ x t
seldi	s ɛ l t ɪ
steingrímur	s t e i n k r iː m ʏ r
stofnuð	s t ɔ p n ʏ ð
stundir	s t ʏ n t ɪ r
sást	s a u s t
sátu	s a uː t ʏ
viðskiptum	v ɪ ð s c ɪ f t ʏ m
óháð	o uː h a uː ð
algjör	a l c œː r
bandaríkjamenn	p a n t a r iː c a m ɛ nː
björnsson	p j œ r t n s s ɔː n
fimmta	f ɪ m̥ t a
fisk	f ɪ s k
fjölbreytt	f j œ l p r e i h t
færir	f a iː r ɪ r
gary	k aː r ɪ
giftast	c ɪ f t a s t
góðar	k o uː ð a r
góðum	k o uː ð ʏ m
hlakka	l̥ a h k a
jörðu	j œ r ð ʏ
knattspyrnu	kʰ n a h t s p ɪ r t n ʏ
markmiði	m a r̥ k m ɪː ð ɪ
mikillar	m ɪː c ɪ t l a r
misst	m ɪ s t
nauðsynlegt	n ø y ð s ɪ n l ɛ x t
næsti	n a i s t ɪ
ráðið	r a uː ð ɪ ð
skildu	s c ɪ l t ʏ
skólum	s k o uː l ʏ m
stelpurnar	s t ɛ l̥ p ʏ r t n a r
svæðisins	s v a iː ð ɪ s ɪ n s
túlkun	tʰ u l̥ k ʏ n
vinnunni	v ɪ nː ʏ nː ɪ
ágætt	a uː c a i h t
barninu	p a r t n ɪː n ʏ
byggingar	p ɪ cː i ŋ k a r
don	t ɔː n
dönsku	t œ n s k ʏ
gilda	c ɪ l t a
gömlum	k œ m l ʏ m
hæst	h a i s t
jim	j ɪː m
kafla	kʰ a p l a
kost	kʰ ɔ s t
kynlíf	cʰ ɪ n l iː v
listamenn	l ɪ s t a m ɛ nː
liða	l ɪː ð a
losna	l ɔ s t n a
látum	l a uː t ʏ m
lögunum	l œː ɣ ʏ n ʏ m
morgunblaðinu	m ɔ r k ʏ n p l aː ð ɪ n ʏ
morgunblaðið	m ɔ r k ʏ n p l aː ð ɪ ð
opið	ɔː p ɪ ð
oss	ɔ sː
samskiptum	s a m s c ɪ f t ʏ m
send	s ɛ n t
sendu	s ɛ n t ʏ
skilgreina	s c ɪ l k r e iː n a
skipum	s c ɪː p ʏ m
séum	s j ɛː ʏ m
sóttu	s o u h t ʏ
tvennt	tʰ v ɛ n̥ t
táknar	tʰ a u h k n a r
vegi	v e iː j ɪ
vettvangi	v ɛ h t v a u ɲ c ɪ
völd	v œ l t
ævintýri	a iː v ɪ n tʰ iː r ɪ
þingsins	θ i ŋ k s ɪ n s
akranesi	aː k r a n ɛː s ɪ
all	a t l
alþjóðlegum	a l θ j o u ð l ɛː ɣ ʏ m
atli	a h t l ɪ
aðdraganda	a ð t r aː ɣ a n t a
aðferðum	a ð f ɛ r ð ʏ m
carlos	kʰ a r l ɔː s
daglegu	t a ɣ l ɛː ɣ ʏ
dan	t aː n
dreift	t r e i f t
eyju	e iː j ʏ
flokk	f l ɔ h k
framundan	f r aː m ʏ n t a n
francisco	f r a n s ɪ s k ɔ
fyrirbæri	f ɪː r ɪ r p a iː r ɪ
félög	f j ɛː l œː ɣ
guðmundsdóttir	k v ʏ ð m ʏ n t s t o u h t ɪ r
guðni	k v ʏ ð n ɪ
helgason	h ɛ l k a s ɔː n
hinnar	h ɪ nː a r
háskólanum	h a uː s k o uː l a n ʏ m
hæfileika	h a iː v ɪ l e iː k a
king	cʰ i ŋ k
kosningum	kʰ ɔ s t n i ŋ k ʏ m
kröfur	kʰ r œː v ʏ r
mínútum	m iː n uː t ʏ m
peningum	pʰ ɛː n i ŋ k ʏ m
pálsson	pʰ a u l s s ɔː n
setjast	s ɛː t j a s t
skapi	s k aː p ɪ
skipi	s c ɪː p ɪ
sló	s t l o uː
sneri	s t n ɛː r ɪ
sýndu	s i n t ʏ
tungu	tʰ u ŋ k ʏ
tímar	tʰ iː m a r
tónleikum	tʰ o u n l e iː k ʏ m
uns	ʏ n s
utanríkisráðherra	ʏː t a n r iː c ɪ s r a uː ð h ɛ rː a
viðtali	v ɪ ð tʰ aː l ɪ
árnason	a u r t n a s ɔː n
þekki	θ ɛ h c ɪ
þjóðir	θ j o uː ð ɪ r
þroska	θ r ɔ s k a
aðstöðu	a ð s t œː ð ʏ
bannað	p a nː a ð
bárust	p a uː r ʏ s t
bókarinnar	p o uː k a r ɪ nː a r
dettur	t ɛ h t ʏ r
eitthvert	e i h t kʰ v ɛ r̥ t
eldra	ɛ l t r a
fjarri	f j a rː ɪ
fjölmiðlum	f j œ l m ɪ ð l ʏ m
flokkar	f l ɔ h k a r
garð	k a r ð
grindavík	k r ɪ n t a v iː k
heilsu	h e i l s ʏ
hjónin	ç o uː n ɪ n
karlar	kʰ a r t l a r
krakkarnir	kʰ r a h k a r t n ɪ r
leyst	l e i s t
lifað	l ɪː v a ð
listi	l ɪ s t ɪ
míns	m i n s
raunverulega	r ø y n v ɛː r ʏ l ɛː ɣ a
samfélaginu	s a m f j ɛː l a j ɪː n ʏ
skalt	s k a l̥ t
slíku	s t l iː k ʏ
sterkari	s t ɛ r̥ k a r ɪ
svart	s v a r̥ t
síðu	s iː ð ʏ
varlega	v a r l ɛː ɣ a
ástæðum	a uː s t a iː ð ʏ m
íslendingum	i s t l ɛ n t i ŋ k ʏ m
afleiðingum	a v l e iː ð i ŋ k ʏ m
aukin	ø yː c ɪ n
dýra	t iː r a
engir	e i ɲ c ɪ r
finn	f ɪ nː
fjölskyldunni	f j œ l s c ɪ l t ʏ nː ɪ
fullri	f ʏ t l r ɪ
horfir	h ɔ r v ɪ r
hálfu	h a u l v ʏ
höldum	h œ l t ʏ m
id	ɪː t
karlmenn	kʰ a r t l m ɛ nː
létt	l j ɛ h t
marcus	m a r̥ k ʏ s
microsoft	m ɪː k r ɔ s ɔ f t
minningar	m ɪ nː i ŋ k a r
mætt	m a i h t
nokkurs	n ɔ h k ʏ r̥ s
nútíma	n uː tʰ iː m a
red	r ɛː t
reist	r e i s t
samfylkingarinnar	s a m f ɪ l̥ c i ŋ k a r ɪ nː a r
settir	s ɛ h t ɪ r
sjást	s j a u s t
skotið	s k ɔː t ɪ ð
skyndilega	s c ɪ n t ɪ l ɛː ɣ a
snúast	s t n uː a s t
stolt	s t ɔ l̥ t
sviðum	s v ɪː ð ʏ m
viðfangsefni	v ɪ ð f a u ŋ k s ɛ p n ɪ
aðstoðar	a ð s t ɔː ð a r
big	p ɪː ɣ
byggðar	p ɪ ɣ ð a r
börnunum	p œ r t n ʏ n ʏ m
des	t ɛː s
drápu	t r a uː p ʏ
eyjunni	e iː j ʏ nː ɪ
eytt	e i h t
fyrirmynd	f ɪː r ɪ r m ɪ n t
heyrir	h e iː r ɪ r
hreinu	r̥ e iː n ʏ
hámarki	h a uː m a r̥ c ɪ
jóni	j o uː n ɪ
kennir	cʰ ɛ nː ɪ r
kyns	cʰ ɪ n s
leyfir	l e iː v ɪ r
loftið	l ɔ f t ɪ ð
maríu	m aː r i j ʏ
morgni	m ɔ r k n ɪ
náttúru	n a u h t uː r ʏ
ráðist	r a uː ð ɪ s t
samfélagi	s a m f j ɛː l aː j ɪ
selfoss	s ɛ l f ɔ sː
sjálfri	s j a u l v r ɪ
skipað	s c ɪː p a ð
skjöl	s c œː l
slíka	s t l iː k a
stigum	s t ɪː ɣ ʏ m
styttri	s t ɪ h t r ɪ
susan	s ʏː s a n
sólin	s o uː l ɪ n
tekjur	tʰ ɛː c ʏ r
verðlaunin	v ɛ r ð l ø yː n ɪ n
vi	v ɪː
white	v ɪː t ɛ
þyrfti	θ ɪ r̥ t ɪ
alex	aː l ɛ k s
auknum	ø y h k n ʏ m
barist	p aː r ɪ s t
berast	p ɛː r a s t
breta	p r ɛː t a
brotið	p r ɔː t ɪ ð
endanlega	ɛ n t a n l ɛː ɣ a
fjölmiðla	f j œ l m ɪ ð l a
fylgist	f ɪ l c ɪ s t
fædd	f a i tː
færri	f a i rː ɪ
færð	f a i r ð
greitt	k r e i h t
group	k r ø yː p
hittast	h ɪ h t a s t
howard	h ɔː v a r t
hí	ç iː
húsa	h uː s a
krists	kʰ r ɪ s t s
læt	l a iː t
lýkur	l iː k ʏ r
myrtur	m ɪ r̥ t ʏ r
neina	n e iː n a
opin	ɔː p ɪ n
ríkir	r iː c ɪ r
ríkjandi	r iː c a n t ɪ
stjórnmálum	s t j o u r t n m a uː l ʏ m
stofnaður	s t ɔ p n a ð ʏ r
street	s t r ɛː t
sumt	s ʏ m̥ t
tilheyra	tʰ ɪː l h e iː r a
tveim	tʰ v e iː m
varir	v aː r ɪ r
vart	v a r̥ t
varði	v a r ð ɪ
veiðar	v e iː ð a r
vísindamenn	v iː s ɪ n t a m ɛ nː
áfengi	a uː f e i ɲ c ɪ
þínu	θ iː n ʏ
þórir	θ o uː r ɪ r
alfarið	a l v a r ɪː ð
alþjóðlegu	a l θ j o u ð l ɛː ɣ ʏ
borist	p ɔː r ɪ s t
boði	p ɔː ð ɪ
breytir	p r e iː t ɪ r
bíla	p iː l a
búum	p uː ʏ m
deyr	t e iː r
einhverjir	e i n kʰ v ɛ r j ɪ r
eiríkur	e iː r iː k ʏ r
flokknum	f l ɔ h k n ʏ m
fundu	f ʏ n t ʏ
heimildum	h e iː m ɪ l t ʏ m
heyrði	h e i r ð ɪ
hollandi	h ɔ t l a n t ɪ
kannast	kʰ a nː a s t
kvöldi	kʰ v œ l t ɪ
kvöldin	kʰ v œ l t ɪ n
lækni	l a i h k n ɪ
meðlimir	m ɛ ð l ɪː m ɪ r
myndarinnar	m ɪ n t a r ɪ nː a r
möguleiki	m œː ɣ ʏ l e iː c ɪ
ræktun	r a i x t ʏ n
sjávar	s j a uː v a r
snorri	s t n ɔ rː ɪ
síðunni	s iː ð ʏ nː ɪ
times	tʰ ɪː m ɛː s
tölu	tʰ œː l ʏ
vekur	v ɛː k ʏ r
vélar	v j ɛː l a r
þjóða	θ j o uː ð a
ba	p aː
bræður	p r a iː ð ʏ r
deildar	t e i l t a r
efast	ɛː v a s t
einna	e i t n a
elstu	ɛ l s t ʏ
fjölmörgum	f j œ l m œ r k ʏ m
fluttu	f l ʏ h t ʏ
foreldrum	f ɔː r ɛ l t r ʏ m
framar	f r aː m a r
framleitt	f r a m l e i h t
gætum	c a iː t ʏ m
hafnarfjarðar	h a p n a r f j a r ð a r
hannað	h a nː a ð
hópar	h o uː p a r
kostnað	kʰ ɔ s t n a ð
ksí	kʰ s iː
le	l ɛː
listanum	l ɪ s t a n ʏ m
litli	l ɪ h t l ɪ
liðum	l ɪː ð ʏ m
mennta	m ɛ n̥ t a
nein	n e iː n
prófi	pʰ r o uː v ɪ
reikna	r e i h k n a
sambandsins	s a m p a n t s ɪ n s
sjái	s j a uː ɪ
sonar	s ɔː n a r
stundað	s t ʏ n t a ð
svokallaða	s v ɔː k a t l aː ð a
svör	s v œː r
syngur	s i ŋ k ʏ r
sætið	s a iː t ɪ ð
sýningu	s iː n i ŋ k ʏ
this	tʰ ɪː s
verndar	v ɛ r n t a r
vinnslu	v ɪ n s t l ʏ
