finns	f ɪ n s
konflikter	k ɔ n f l 'ɪ k t ɛ r
konton	k ɔ n t 'uː n
lönen	²l 'øː n ɛ n
mattan	²m 'a t a n
nacken	²n 'a k ɛ n
obehagligt	²'uː b ɛ h ɑː ɡ l ɪ k t
paret	p a r 'eː t
ray	r ɛ j
rösterna	²r 'œ s t ɛ n a
teorin	t ɛ ʊ r 'iː n
upptäcker	²'ɵ p t ɛ k ɛ r
brottslingar	²b r 'ɔ t s l ɪ ŋ a r
coop	k uː p
finare	²f 'iː n a r ɛ
kvällens	k v ɛ l 'ɛ n s
ledarskap	²l 'eː d a ɕ k ɑː p
lord	l uː d
lyckliga	²l 'ʏ k l ɪ ɡ a
mött	m œ t
over	'oː v ɛ r
pool	p uː l
räknade	²r 'ɛː k n a d ɛ
tillgängliga	²t 'ɪ l j ɛ ŋ l ɪ ɡ a
tätt	t ɛ t
uppgiften	²'ɵ p j ɪ f t ɛ n
väckte	²v 'ɛ k t ɛ
vännen	²v 'ɛ n ɛ n
arbetsgivaren	²'a r b eː t s j iː v a r ɛ n
backen	²b 'a k ɛ n
beräknas	b ɛ r 'ɛː k n a s
berör	b ɛ r 'øː r
dick	d ɪ k
falskt	f a l s k t
fucking	²f 'ɵ k ɪ ŋ
förblir	f œ r b l 'iː r
gym	j ʏ m
gömmer	j 'œ m ɛ r
holland	²h 'ɔ l a n d
individuella	ɪ n d ɪ v ɪ d ɵ 'ɛ l a
kategorin	k a t ɛ ɡ ʊ r 'iː n
kungliga	²k 'ɵ ŋ l ɪ ɡ a
landskrona	²l 'a n d s k r uː n a
marknadsföring	²m 'a r k n a d s f øː r ɪ ŋ
medlemskap	²m 'eː d l ɛ m s k ɑː p
migranter	m ɪ ɡ r 'a n t ɛ r
myndigheten	²m 'ʏ n d ɪ ɡ h eː t ɛ n
namnen	²n 'a m n ɛ n
slutändan	²s l 'ʉː t ɛ n d a n
undviker	²'ɵ n d v iː k ɛ r
utbildade	²'ʉː t b ɪ l d a d ɛ
viktigast	²v 'ɪ k t ɪ ɡ a s t
allierade	a l ɪ 'eː r a d ɛ
baksidan	²b 'ɑː k s iː d a n
beslutade	b ɛ s l 'ʉː t a d ɛ
bildas	²b 'ɪ l d a s
drick	d r ɪ k
gulligt	²ɡ 'ɵ l ɪ k t
högra	²h 'øː ɡ r a
janne	²j 'a n ɛ
kanten	²k 'a n t ɛ n
ledaren	²l 'eː d a r ɛ n
principer	p r ɪ n s 'iː p ɛ r
rio	r 'iː ʊ
tävlingar	²t 'ɛː v l ɪ ŋ a r
underligt	²'ɵ n d ɛ l ɪ k t
återvänder	²'oː t ɛ r v ɛ n d ɛ r
benet	b ɛ n 'eː t
boy	b ɔ j
demokratiskt	d ɛ m ʊ k r 'ɑː t ɪ s k t
främlingar	²f r 'ɛ m l ɪ ŋ a r
förluster	f œ l 'ɵ s t ɛ r
förs	f œ ɕ
godkänd	²ɡ 'uː d ɕ ɛ n d
handlat	²h 'a n d l ɑː t
herren	²h 'ɛ r ɛ n
jäkligt	²j 'ɛː k l ɪ k t
kränkt	k r ɛ ŋ k t
magiskt	m 'ɑː ɡ ɪ s k t
nationellt	n a t ɧ ʊ n 'ɛ l t
orsaker	²'uː ɕ ɑː k ɛ r
presenteras	p r ɛ s ɛ n t 'eː r a s
räddade	²r 'ɛ d a d ɛ
släktingar	²s l 'ɛ k t ɪ ŋ a r
tillgångar	²t 'ɪ l ɡ ɔ ŋ a r
uppskattas	²'ɵ p s k a t a s
uttrycker	²'ʉː t r ʏ k ɛ r
åklagaren	²'oː k l ɑː ɡ a r ɛ n
akademiska	a k a d 'eː m ɪ s k a
båtar	²b 'oː t a r
here	²h 'eː r ɛ
hållbart	²h 'ɔ l b ɑː t
lådan	²l 'oː d a n
månen	²m 'oː n ɛ n
mördade	²m 'øː d a d ɛ
najs	n a j s
omgången	²'ɔ m ɡ ɔ ŋ ɛ n
oroliga	²'uː r uː l ɪ ɡ a
roller	r 'ɔ l ɛ r
snackade	²s n 'a k a d ɛ
strumpor	²s t r 'ɵ m p ʊ r
ställas	²s t 'ɛ l a s
svea	²s v 'eː a
tränade	²t r 'ɛː n a d ɛ
utvecklats	²'ʉː t v ɛ k l a t s
vardagen	²v 'ɑː d ɑː ɡ ɛ n
vinnaren	²v 'ɪ n a r ɛ n
öppnas	²'œ p n a s
avdelningen	²'ɑː v d eː l n ɪ ŋ ɛ n
betydelsen	b ɛ t 'yː d ɛ l s ɛ n
fastnade	²f 'a s t n a d ɛ
fickan	²f 'ɪ k a n
flottan	²f l 'ɔ t a n
forskningen	²f 'ɔ ɕ k n ɪ ŋ ɛ n
förväntade	f œ r v 'ɛ n t a d ɛ
förvånande	f œ r v 'oː n a n d ɛ
grannen	²ɡ r 'a n ɛ n
gångs	ɡ ɔ ŋ s
hittas	²h 'ɪ t a s
jobben	²j 'ɔ b ɛ n
kliver	k l 'iː v ɛ r
kvällar	²k v 'ɛ l a r
maken	²m 'ɑː k ɛ n
mona	²m 'uː n a
rasistiskt	r a s 'ɪ s t ɪ s k t
rekommenderas	r ɛ k ɔ m ɛ n d 'eː r a s
skrivna	²s k r 'iː v n a
tillhörde	²t 'ɪ l h øː d ɛ
torde	²t 'uː d ɛ
traditionellt	t r a d ɪ ɧ ʊ n 'ɛ l t
utbildad	²'ʉː t b ɪ l d a d
utmaningar	²'ʉː t m ɑː n ɪ ŋ a r
vanligare	²v 'ɑː n l ɪ ɡ a r ɛ
wild	v ɪ l d
äckliga	²'ɛ k l ɪ ɡ a
överraskad	²'øː v ɛ r a s k a d
avgifter	²'ɑː v j ɪ f t ɛ r
avstängd	²'ɑː v s t ɛ ŋ d
berättelsen	b ɛ r 'ɛ t ɛ l s ɛ n
eftermiddagen	²'ɛ f t ɛ r m ɪ d ɑː ɡ ɛ n
ford	f uː d
hjältar	²j 'ɛ l t a r
kanalen	k a n 'ɑː l ɛ n
kollektivtrafik	²k ɔ l ɛ k t 'iː v t r a f iː k
malin	m a l 'iː n
plånboken	²p l 'oː n b uː k ɛ n
presidenten	p r ɛ s ɪ d 'ɛ n t ɛ n
pressen	²p r 'ɛ s ɛ n
shirt	ɧ ɪ t
starkaste	²s t 'a r k a s t ɛ
storleken	²s t 'uː l eː k ɛ n
synen	²s 'yː n ɛ n
torra	²t 'ɔ r a
utgifter	²'ʉː t j ɪ f t ɛ r
ansågs	²'a n s oː ɡ s
branden	²b r 'a n d ɛ n
byggd	b ʏ ɡ d
flyttas	²f l 'ʏ t a s
jennifer	j ɛ n ɪ f 'eː r
lyckligt	²l 'ʏ k l ɪ k t
långsiktigt	²l 'ɔ ŋ s ɪ k t ɪ k t
löften	²l 'œ f t ɛ n
rörde	²r 'øː d ɛ
sandra	²s 'a n d r a
sjuksköterskor	²ɧ 'ʉː k ɧ øː t ɛ ɕ k uː r
skallen	²s k 'a l ɛ n
upphör	²'ɵ p h øː r
badrummet	²b 'ɑː d r ɵ m ɛ t
bedriver	b ɛ d r 'iː v ɛ r
brian	b r ɪ 'ɑː n
hölls	h œ l s
jordan	²j 'uː d a n
källan	²ɕ 'ɛ l a n
now	n ɔ ʊ
programledare	²p r ʊ ɡ r 'a m l eː d a r ɛ
putin	p ɵ t 'iː n
satsningar	²s 'a t s n ɪ ŋ a r
spontant	s p ɔ n t 'a n t
straffas	²s t r 'a f a s
styrkor	²s t 'ʏ r k ʊ r
stängd	s t ɛ ŋ d
svensken	²s v 'ɛ n s k ɛ n
trafikverket	²t r a f 'iː k v a r k ɛ t
upprörda	²'ɵ p r øː d a
vasa	²v 'ɑː s a
ärliga	²'ɛː l ɪ ɡ a
årliga	²'oː l ɪ ɡ a
baseras	b a s 'eː r a s
decennier	d ɛ s 'ɛ n ɪ ɛ r
engagerad	a ŋ ɡ a ɧ 'eː r a d
fake	²f 'ɑː k ɛ
förekommande	²f 'øː r ɛ k ɔ m a n d ɛ
förutsätter	²f 'øː r ʉː t s ɛ t ɛ r
gubbar	²ɡ 'ɵ b a r
hotet	h ʊ t 'eː t
jämna	²j 'ɛ m n a
karriären	k a r ɪ 'ɛː r ɛ n
kraftiga	²k r 'a f t ɪ ɡ a
listor	²l 'ɪ s t ʊ r
nakna	²n 'ɑː k n a
närma	²n 'ɛ r m a
omgivningen	²'ɔ m j iː v n ɪ ŋ ɛ n
onödiga	²'uː n øː d ɪ ɡ a
placeras	p l a s 'eː r a s
resulterade	r ɛ s ɵ l t 'eː r a d ɛ
sammanhanget	²s 'a m a n h a ŋ ɛ t
skylten	²ɧ 'ʏ l t ɛ n
vänstra	²v 'ɛ n s t r a
våningen	²v 'oː n ɪ ŋ ɛ n
behövdes	b ɛ h 'øː v d ɛ s
feministiska	f ɛ m ɪ n 'ɪ s t ɪ s k a
godmorgon	²ɡ 'uː d m ɔ r ɡ ɔ n
hatten	²h 'a t ɛ n
industrin	ɪ n d ɵ s t r 'iː n
kontraktet	k ɔ n t r a k t 'eː t
ljust	j ɵ s t
misslyckats	²m 'ɪ s l ʏ k a t s
möttes	²m 'œ t ɛ s
referenser	r ɛ f ɛ r 'ɛ n s ɛ r
sannolikhet	²s 'a n ʊ l iː k h eː t
sittande	²s 'ɪ t a n d ɛ
spåren	²s p 'oː r ɛ n
sträckan	²s t r 'ɛ k a n
sunt	s ɵ n t
sänkt	s ɛ ŋ k t
tröjan	²t r 'œ j a n
tummen	²t 'ɵ m ɛ n
viljan	²v 'ɪ l j a n
arbetstid	²'a r b eː t s t iː d
bristen	²b r 'ɪ s t ɛ n
cigg	s ɪ ɡ
elden	²'ɛ l d ɛ n
flaggan	²f l 'a ɡ a n
flaskor	²f l 'a s k ʊ r
hemligt	²h 'ɛ m l ɪ k t
inställd	²'ɪ n s t ɛ l d
kommunister	k ɔ m ɵ n 'ɪ s t ɛ r
kunderna	²k 'ɵ n d ɛ n a
lukten	²l 'ɵ k t ɛ n
märkliga	²m 'ɛ r k l ɪ ɡ a
mäter	m 'ɛː t ɛ r
nackdelar	²n 'a k d eː l a r
omgångar	²'ɔ m ɡ ɔ ŋ a r
orsakade	²'uː ɕ ɑː k a d ɛ
påväg	²p 'oː v ɛː ɡ
statligt	²s t 'ɑː t l ɪ k t
temat	t ɛ m 'ɑː t
vidriga	²v 'iː d r ɪ ɡ a
vänd	v ɛ n d
agnes	a ŋ n 'eː s
arbetslösheten	²'a r b eː t s l øː s h eː t ɛ n
brinnande	²b r 'ɪ n a n d ɛ
brydde	²b r 'ʏ d ɛ
döljer	d 'œ l j ɛ r
end	ɛ n d
grundskolan	²ɡ r 'ɵ n d s k uː l a n
kyrkor	²ɕ 'ʏ r k ʊ r
landstinget	²l 'a n d s t ɪ ŋ ɛ t
minuters	m ɪ n ɵ t 'ɛ ɕ
patetiskt	p a t 'eː t ɪ s k t
positioner	p ʊ s ɪ ɧ 'uː n ɛ r
rimliga	²r 'ɪ m l ɪ ɡ a
stoppas	²s t 'ɔ p a s
strömmen	²s t r 'œ m ɛ n
trollhättan	²t r 'ɔ l h ɛ t a n
tänkas	²t 'ɛ ŋ k a s
uppgifterna	²'ɵ p j ɪ f t ɛ n a
varmare	²v 'a r m a r ɛ
dating	²d 'ɑː t ɪ ŋ
drinkar	²d r 'ɪ ŋ k a r
flaskan	²f l 'a s k a n
gode	²ɡ 'uː d ɛ
huddinge	²h 'ɵ d ɪ ŋ ɛ
huvudstaden	²h 'ʉː v ɵ d s t ɑː d ɛ n
höjden	²h 'œ j d ɛ n
instruktioner	ɪ n s t r ɵ k ɧ 'uː n ɛ r
inträffade	²'ɪ n t r ɛ f a d ɛ
jisses	j 'ɪ s ɛ s
krossade	²k r 'ɔ s a d ɛ
känsliga	²ɕ 'ɛ n s l ɪ ɡ a
lämnas	²l 'ɛ m n a s
mänskligt	²m 'ɛ n s k l ɪ k t
palme	²p 'a l m ɛ
pelle	²p 'ɛ l ɛ
ringen	²r 'ɪ ŋ ɛ n
siffran	²s 'ɪ f r a n
skaffade	²s k 'a f a d ɛ
skickades	²ɧ 'ɪ k a d ɛ s
sparade	²s p 'ɑː r a d ɛ
stjäl	ɧ ɛː l
stolar	²s t 'uː l a r
stycket	²s t 'ʏ k ɛ t
tryckte	²t r 'ʏ k t ɛ
upplevelser	²'ɵ p l eː v ɛ l s ɛ r
ursäkter	²'ʉː ɕ ɛ k t ɛ r
återvände	²'oː t ɛ r v ɛ n d ɛ
överdrivet	²'øː v ɛ d r iː v ɛ t
antas	²'a n t a s
behandlade	b ɛ h 'a n d l a d ɛ
blåa	²b l 'oː a
boys	b ɔ j s
fastigheter	²f 'a s t ɪ ɡ h eː t ɛ r
framsidan	²f r 'a m s iː d a n
fördelen	f œ d 'eː l ɛ n
förflutna	f œ r f l 'ʉː t n a
förklaringen	f œ r k l 'ɑː r ɪ ŋ ɛ n
förlorad	f œ l 'uː r a d
huvudsakliga	²h 'ʉː v ɵ d s ɑː k l ɪ ɡ a
häcken	²h 'ɛ k ɛ n
ian	ɪ 'ɑː n
järnvägen	²j 'ɛː n v ɛː ɡ ɛ n
kritiskt	k r 'iː t ɪ s k t
misstänkte	²m 'ɪ s t ɛ ŋ k t ɛ
nämnas	²n 'ɛ m n a s
olyckan	²'uː l ʏ k a n
publicerad	p ɵ b l ɪ s 'eː r a d
pågått	²p 'oː ɡ ɔ t
påstod	²p 'oː s t uː d
rider	r 'iː d ɛ r
snyggare	²s n 'ʏ ɡ a r ɛ
spegeln	²s p 'eː ɡ ɛ l n
syftade	²s 'ʏ f t a d ɛ
sysselsättning	²s 'ʏ s ɛ l s ɛ t n ɪ ŋ
tackade	²t 'a k a d ɛ
taggad	²t 'a ɡ a d
trappan	²t r 'a p a n
utlandet	²'ʉː t l a n d ɛ t
verksamheter	²v 'ɛ r k s a m h eː t ɛ r
deltagit	²d 'eː l t ɑː ɡ ɪ t
friskt	f r ɪ s k t
genomfördes	²j 'eː n ɔ m f øː d ɛ s
godare	²ɡ 'uː d a r ɛ
institutioner	ɪ n s t ɪ t ɵ ɧ 'uː n ɛ r
kejsaren	²ɕ 'ɛ j s a r ɛ n
källaren	²ɕ 'ɛ l a r ɛ n
lake	²l 'ɑː k ɛ
läppar	²l 'ɛ p a r
meningar	²m 'eː n ɪ ŋ a r
obama	²'uː b ɑː m a
osäkra	²'uː s ɛː k r a
presenterade	p r ɛ s ɛ n t 'eː r a d ɛ
schemat	ɧ ɛ m 'ɑː t
surt	s ɵ t
sången	²s 'ɔ ŋ ɛ n
undvik	²'ɵ n d v iː k
utvisas	²'ʉː t v iː s a s
västerbottens	²v 'ɛ s t ɛ r b ɔ t ɛ n s
yrken	²'ʏ r k ɛ n
ändrats	²'ɛ n d r a t s
aspekter	a s p 'ɛ k t ɛ r
bert	b ɛ t
cigaretter	s ɪ ɡ a r 'ɛ t ɛ r
festivalen	f ɛ s t ɪ v 'ɑː l ɛ n
förhållandet	f œ r h 'ɔ l a n d ɛ t
jane	²j 'ɑː n ɛ
katarina	k a t a r 'iː n a
motala	²m 'uː t ɑː l a
närmre	²n 'ɛ r m r ɛ
publicerat	p ɵ b l ɪ s ɛ r 'ɑː t
påsen	²p 'oː s ɛ n
påven	²p 'oː v ɛ n
santa	²s 'a n t a
slås	s l oː s
strukturer	s t r ɵ k t 'ʉː r ɛ r
täckt	t ɛ k t
undersöker	²'ɵ n d ɛ ɕ øː k ɛ r
uppfyller	²'ɵ p f ʏ l ɛ r
uppgick	²'ɵ p j ɪ k
utställningen	²'ʉː t s t ɛ l n ɪ ŋ ɛ n
värdegrund	²v 'ɛː d ɛ ɡ r ɵ n d
vågen	²v 'oː ɡ ɛ n
wall	v a l
anmält	²'a n m ɛ l t
befintliga	b ɛ f 'ɪ n t l ɪ ɡ a
beläget	b ɛ l 'ɛː ɡ ɛ t
bertil	b a t 'iː l
fienden	²f 'iː ɛ n d ɛ n
frivilliga	²f r 'iː v ɪ l ɪ ɡ a
förbjuder	f œ r b j 'ʉː d ɛ r
förintelsen	f œ r 'ɪ n t ɛ l s ɛ n
glider	ɡ l 'iː d ɛ r
insatt	²'ɪ n s a t
jason	j a s 'uː n
kopplingen	²k 'ɔ p l ɪ ŋ ɛ n
kungsbacka	²k 'ɵ ŋ s b a k a
påståenden	²p 'oː s t oː ɛ n d ɛ n
stängda	²s t 'ɛ ŋ d a
svårigheter	²s v 'oː r ɪ ɡ h eː t ɛ r
trovärdighet	²t r 'uː v ɛː d ɪ ɡ h eː t
utredningar	²'ʉː t r eː d n ɪ ŋ a r
utsidan	²'ʉː t s iː d a n
våldtagen	²v 'ɔ l d t ɑː ɡ ɛ n
våras	²v 'oː r a s
översättningar	²'øː v ɛ ɕ ɛ t n ɪ ŋ a r
anläggningen	²'a n l ɛ ɡ n ɪ ŋ ɛ n
begärt	b ɛ j 'ɛː t
clark	k l a r k
dagbladet	²d 'ɑː ɡ b l ɑː d ɛ t
diego	d ɪ 'eː ɡ ʊ
diskuterade	d ɪ s k ɵ t 'eː r a d ɛ
enskilt	²'eː n ɧ ɪ l t
fisken	²f 'ɪ s k ɛ n
framstår	²f r 'a m s t oː r
förhandlingar	f œ r h 'a n d l ɪ ŋ a r
inspirerad	ɪ n s p ɪ r 'eː r a d
kopplingar	²k 'ɔ p l ɪ ŋ a r
kurt	k ɵ t
läxor	²l 'ɛ k s ʊ r
närliggande	²n 'ɛː l ɪ ɡ a n d ɛ
presentation	p r ɛ s ɛ n t a ɧ 'uː n
publiceras	p ɵ b l ɪ s 'eː r a s
ross	r ɔ s
sanden	²s 'a n d ɛ n
snabbaste	²s n 'a b a s t ɛ
systrar	²s 'ʏ s t r a r
tidens	t ɪ d 'ɛ n s
tillfälliga	²t 'ɪ l f ɛ l ɪ ɡ a
tillgängligt	²t 'ɪ l j ɛ ŋ l ɪ k t
tillverkas	²t 'ɪ l v a r k a s
tveksamt	²t v 'eː k s a m t
uppfattas	²'ɵ p f a t a s
väntas	²v 'ɛ n t a s
avståndet	²'ɑː v s t ɔ n d ɛ t
bygget	²b 'ʏ ɡ ɛ t
doften	²d 'ɔ f t ɛ n
dröjer	d r 'œ j ɛ r
klippt	k l ɪ p t
kommunistiska	k ɔ m ɵ n 'ɪ s t ɪ s k a
korten	²k 'ɔ t ɛ n
kraften	²k r 'a f t ɛ n
kämpade	²ɕ 'ɛ m p a d ɛ
liberaler	l ɪ b ɛ r 'ɑː l ɛ r
listar	²l 'ɪ s t a r
låser	l 'oː s ɛ r
menat	m ɛ n 'ɑː t
mördad	²m 'øː d a d
plockat	p l ɔ k 'ɑː t
räntan	²r 'ɛ n t a n
slutsatsen	²s l 'ʉː t s a t s ɛ n
smakade	²s m 'ɑː k a d ɛ
sony	s ʊ n 'yː
spetsen	²s p 'ɛ t s ɛ n
sporten	²s p 'ɔ t ɛ n
stormen	²s t 'ɔ r m ɛ n
sänk	s ɛ ŋ k
tjänade	²ɕ 'ɛː n a d ɛ
tuttar	²t 'ɵ t a r
undervisningen	²'ɵ n d ɛ r v iː s n ɪ ŋ ɛ n
övervakning	²'øː v ɛ r v ɑː k n ɪ ŋ
adrian	a d r ɪ 'ɑː n
anmälningar	²'a n m ɛː l n ɪ ŋ a r
ansikten	²'a n s ɪ k t ɛ n
bloggar	²b l 'ɔ ɡ a r
börsen	²b 'œ ɕ ɛ n
call	k a l
dagliga	²d 'ɑː ɡ l ɪ ɡ a
dödligt	²d 'øː d l ɪ k t
flitigt	²f l 'iː t ɪ k t
förstörde	f œ ɕ t 'øː d ɛ
genomför	²j 'eː n ɔ m f øː r
gold	ɡ ɔ l d
huden	²h 'ʉː d ɛ n
inledde	²'ɪ n l ɛ d ɛ
kvarstår	²k v 'ɑː ɕ t oː r
laddade	²l 'a d a d ɛ
leken	²l 'eː k ɛ n
ljusare	²j 'ʉː s a r ɛ
lånade	²l 'oː n a d ɛ
okänt	²'uː ɕ ɛ n t
otroliga	²'uː t r uː l ɪ ɡ a
ovanliga	²'uː v ɑː n l ɪ ɡ a
palestina	p a l ɛ s t 'iː n a
passerade	p a s 'eː r a d ɛ
professionella	p r ʊ f ɛ ɧ ʊ n 'ɛ l a
skyddade	²ɧ 'ʏ d a d ɛ
smutsiga	²s m 'ɵ t s ɪ ɡ a
ständiga	²s t 'ɛ n d ɪ ɡ a
tagna	²t 'a ŋ n a
uppvuxen	²'ɵ p v ɵ k s ɛ n
utbudet	²'ʉː t b ʉː d ɛ t
utspelar	²'ʉː t s p eː l a r
uttryckt	²'ʉː t r ʏ k t
villiga	²v 'ɪ l ɪ ɡ a
yttrandefriheten	²'ʏ t r a n d ɛ f r iː h eː t ɛ n
ändringar	²'ɛ n d r ɪ ŋ a r
ölen	²'øː l ɛ n
batman	²b 'ɑː t m a n
dark	d a r k
gamle	²ɡ 'a m l ɛ
hantering	h a n t 'eː r ɪ ŋ
liverpool	²l 'iː v ɛ r p uː l
livrädd	²l 'iː v r ɛ d
lyckan	²l 'ʏ k a n
lådor	²l 'oː d ʊ r
miljöer	m ɪ l j 'øː ɛ r
motståndet	²m 'uː t s t ɔ n d ɛ t
nyfikenhet	²n 'yː f iː k ɛ n h eː t
nödvändiga	²n 'øː d v ɛ n d ɪ ɡ a
parallellt	p a r a l 'ɛ l t
presenterades	p r ɛ s ɛ n t 'eː r a d ɛ s
rasistisk	r a s 'ɪ s t ɪ s k
skogar	²s k 'uː ɡ a r
striden	²s t r 'iː d ɛ n
tillbringade	²t 'ɪ l b r ɪ ŋ a d ɛ
tryggare	²t r 'ʏ ɡ a r ɛ
veckors	²v 'ɛ k ɔ ɕ
vetenskapligt	²v 'eː t ɛ n s k ɑː p l ɪ k t
våningar	²v 'oː n ɪ ŋ a r
älskat	²'ɛ l s k ɑː t
önskat	²'œ n s k ɑː t
övertygade	²'øː v ɛ t yː ɡ a d ɛ
anlände	²'a n l ɛ n d ɛ
arbetsdag	²'a r b eː t s d ɑː ɡ
goa	²ɡ 'uː a
godaste	²ɡ 'uː d a s t ɛ
golden	²ɡ 'ɔ l d ɛ n
hope	²h 'uː p ɛ
individuellt	ɪ n d ɪ v ɪ d ɵ 'ɛ l t
klassrummet	²k l 'a s r ɵ m ɛ t
kriterier	k r ɪ t 'eː r ɪ ɛ r
likheter	²l 'iː k h eː t ɛ r
malta	²m 'a l t a
marina	m a r 'iː n a
räkningar	²r 'ɛː k n ɪ ŋ a r
råda	²r 'oː d a
sala	²s 'ɑː l a
svåraste	²s v 'oː r a s t ɛ
utrikesminister	²'ʉː t r iː k ɛ s m ɪ n ɪ s t ɛ r
valen	²v 'ɑː l ɛ n
vardagsrummet	²v 'ɑː d ɑː ɡ s r ɵ m ɛ t
vettiga	²v 'ɛ t ɪ ɡ a
vincent	v ɪ n s 'ɛ n t
väggar	²v 'ɛ ɡ a r
överlägset	²'øː v ɛ l ɛː ɡ s ɛ t
överväger	²'øː v ɛ r v ɛː ɡ ɛ r
bergström	²b 'ɛ r j s t r œ m
centern	s ɛ n t 'ɛː n
dave	²d 'ɑː v ɛ
formellt	f ɔ r m 'ɛ l t
föreställningen	²f 'øː r ɛ s t ɛ l n ɪ ŋ ɛ n
försäljningen	f œ ɕ 'ɛ l j n ɪ ŋ ɛ n
hudfärg	²h 'ʉː d f a r j
klassas	²k l 'a s a s
lagstiftningen	²l 'ɑː ɡ s t ɪ f t n ɪ ŋ ɛ n
menyn	m ɛ n 'yː n
meters	m 'eː t ɛ ɕ
migration	m ɪ ɡ r a ɧ 'uː n
nye	²n 'yː ɛ
plattan	²p l 'a t a n
receptet	r ɛ s ɛ p t 'eː t
självklara	²ɧ 'ɛ l v k l ɑː r a
självständigt	²ɧ 'ɛ l v s t ɛ n d ɪ k t
skottland	²s k 'ɔ t l a n d
skuggan	²s k 'ɵ ɡ a n
soft	s ɔ f t
syrran	²s 'ʏ r a n
sömnen	²s 'œ m n ɛ n
tillverkad	²t 'ɪ l v a r k a d
tvåan	²t v 'oː a n
uppskattat	²'ɵ p s k a t a t
utsatts	²'ʉː t s a t s
vetenskapen	²v 'eː t ɛ n s k ɑː p ɛ n
behandlingen	b ɛ h 'a n d l ɪ ŋ ɛ n
dansade	²d 'a n s a d ɛ
firade	²f 'iː r a d ɛ
förbjudna	f œ r b j 'ʉː d n a
förlusten	f œ l 'ɵ s t ɛ n
förvirrande	f œ r v 'ɪ r a n d ɛ
genomförde	²j 'eː n ɔ m f øː d ɛ
im	ɪ m
int	ɪ n t
kastas	²k 'a s t a s
kong	k ɔ ŋ
korkat	k ɔ r k 'ɑː t
lost	l ɔ s t
micke	²m 'ɪ k ɛ
mysiga	²m 'yː s ɪ ɡ a
produceras	p r ʊ d ɵ s 'eː r a s
trådar	²t r 'oː d a r
trångt	t r ɔ ŋ t
vetlanda	²v 'eː t l a n d a
värdefulla	²v 'ɛː d ɛ f ɵ l a
änden	²'ɛ n d ɛ n
arbetsplatsen	²'a r b eː t s p l a t s ɛ n
avses	²'ɑː v s eː s
avslutas	²'ɑː v s l ʉː t a s
britterna	²b r 'ɪ t ɛ n a
bull	b ɵ l
casino	k a s 'iː n ʊ
definieras	d ɛ f ɪ n ɪ 'eː r a s
fastigheten	²f 'a s t ɪ ɡ h eː t ɛ n
finansiering	f ɪ n a n s ɪ 'eː r ɪ ŋ
förklaras	f œ r k l 'ɑː r a s
förorten	f œ r 'oː t ɛ n
glädjen	²ɡ l 'ɛː d j ɛ n
helen	²h 'eː l ɛ n
hissen	²h 'ɪ s ɛ n
inhemska	²'ɪ n h ɛ m s k a
kandidater	k a n d ɪ d 'ɑː t ɛ r
kloka	²k l 'uː k a
kunskapen	²k 'ɵ n s k ɑː p ɛ n
kyrkogården	²ɕ 'ʏ r k ʊ ɡ oː d ɛ n
kärnkraft	²ɕ 'ɛː n k r a f t
lill	l ɪ l
lindström	²l 'ɪ n d s t r œ m
läpparna	²l 'ɛ p a n a
lönar	²l 'øː n a r
mörkare	²m 'œ r k a r ɛ
planerad	p l a n 'eː r a d
producerat	p r ʊ d ɵ s ɛ r 'ɑː t
protester	p r ʊ t 'ɛ s t ɛ r
relaterade	r ɛ l a t 'eː r a d ɛ
rolf	r ɔ l f
rosengård	²r 'uː s ɛ n ɡ oː d
samsung	²s 'a m s ɵ ŋ
stiftelsen	²s t 'ɪ f t ɛ l s ɛ n
styrkan	²s t 'ʏ r k a n
störd	s t øː d
tingsrätten	²t 'ɪ ŋ s r ɛ t ɛ n
trelleborg	²t r 'ɛ l ɛ b ɔ r j
tröttnat	²t r 'œ t n a t
utförs	²'ʉː t f œ ɕ
utreder	²'ʉː t r eː d ɛ r
utvalda	²'ʉː t v a l d a
utvecklare	²'ʉː t v ɛ k l a r ɛ
välmående	²v 'ɛː l m oː ɛ n d ɛ
yrket	²'ʏ r k ɛ t
anteckningar	²'a n t ɛ k n ɪ ŋ a r
avgiften	²'ɑː v j ɪ f t ɛ n
avslut	²'ɑː v s l ʉː t
beväpnade	b ɛ v 'ɛː p n a d ɛ
bränder	b r 'ɛ n d ɛ r
dummaste	²d 'ɵ m a s t ɛ
ep	eː p
feminismen	f ɛ m ɪ n 'ɪ s m ɛ n
finansieras	f ɪ n a n s ɪ 'eː r a s
folkmord	²f 'ɔ l k m uː d
fängelset	²f 'ɛ ŋ ɛ l s ɛ t
föreläsare	²f 'øː r ɛ l ɛː s a r ɛ
hörlurar	²h 'øː l ʉː r a r
inspelningen	²'ɪ n s p eː l n ɪ ŋ ɛ n
kryper	k r 'yː p ɛ r
lillasyster	²l 'ɪ l a s ʏ s t ɛ r
medeltida	²m 'eː d ɛ l t iː d a
medeltiden	²m 'eː d ɛ l t iː d ɛ n
motsatta	²m 'uː t s a t a
omöjliga	²'uː m œ j l ɪ ɡ a
påsar	²p 'oː s a r
riktlinjer	²r 'ɪ k t l ɪ n j ɛ r
sjöar	²ɧ 'øː a r
slussen	²s l 'ɵ s ɛ n
stämde	²s t 'ɛ m d ɛ
