to	t ɔ
úlohy	uː l ɔ ɦ i
účasti	uː t͡ʃ a s c i
adresu	a d r e s u
doprava	d ɔ p r a v a
dopredu	d ɔ p r e d u
dostanete	d ɔ s t a ɲ e c e
druhým	d r u ɦ iː m
hlavnou	ɦ l a v n ɔ v
navzájom	n a v z aː j ɔ m
nebudete	ɲ e b u ɟ e c e
obaja	ɔ b a j a
obchodu	ɔ p x ɔ d u
politiky	p ɔ ʎ i c i k i
prostredí	p r ɔ s t r e ɟ iː
príležitosti	p r iː ʎ e ʒ i t ɔ s c i
služieb	s l u ʒ ɪ̯ e p
systémov	s i s t eː m ɔ v
udržať	u d r̩ ʒ a c
vojnu	v ɔ j n u
výšky	v iː ʃ k i
všetkými	f ʃ e t k iː m i
zvieratá	z v ɪ̯ e r a t aː
záznam	z aː z n a m
štáty	ʃ t aː t i
bystrici	b i s t r i t͡s i
dalo	d a l ɔ
histórii	ɦ i s t ɔː r i i
mark	m a r k
neustále	ɲ e u s t aː ʎ e
podmienok	p ɔ d m ɪ̯ e n ɔ k
pozostáva	p ɔ z ɔ s t aː v a
rovno	r ɔ v n ɔ
slova	s l ɔ v a
súčasnej	s uː t͡ʃ a s ɲ e j
touto	t ɔ u̯ t ɔ
vidím	v i ɟ iː m
úlohou	uː l ɔ ɦ ɔ v
účely	uː t͡ʃ e l i
študentov	ʃ t u ɟ e n t ɔ v
žil	ʒ i l
budúcnosť	b u d uː t͡s n ɔ s c
dosiahnuť	d ɔ s ɪ̯ a ɦ n u c
koho	k ɔ ɦ ɔ
kontrolu	k ɔ n t r ɔ l u
momentálne	m ɔ m e n t aː l ɲ e
našla	n a ʃ l a
nemôžem	ɲ e m u̯ ɔ ʒ e m
neviete	ɲ e v ɪ̯ e c e
obcí	ɔ p t͡s iː
pritom	p r i t ɔ m
rýchlosti	r iː x l ɔ s c i
show	ʃ ɔ v
stanice	s t a ɲ i t͡s e
strašne	s t r a ʃ ɲ e
techniky	c e x ɲ i k i
veľkou	v e ʎ k ɔ v
vstup	f s t u p
založená	z a l ɔ ʒ e n aː
zariadení	z a r ɪ̯ a ɟ e ɲ iː
zasa	z a s a
zbrane	z b r a ɲ e
zhruba	z ɦ r u b a
akurát	a k u r aː t
horšie	ɦ ɔ r ʃ ɪ̯ e
metódy	m e t ɔː d i
najväčším	n a j v æ t͡ʃː iː m
nemecku	ɲ e m e t͡s k u
nitre	ɲ i t r e
odkiaľ	ɔ t k ɪ̯ a ʎ
osobnosti	ɔ s ɔ b n ɔ s c i
otázok	ɔ t aː z ɔ k
pohybu	p ɔ ɦ i b u
pokračuje	p ɔ k r a t͡ʃ u j e
porovnaní	p ɔ r ɔ v n a ɲ iː
postele	p ɔ s c e ʎ e
pozície	p ɔ z iː t͡s ɪ̯ e
pôvodného	p u̯ ɔ v ɔ d n eː ɦ ɔ
stave	s t a v e
stretnutí	s t r e t n u c iː
svätého	s v æ t eː ɦ ɔ
trvalo	t r̩ v a l ɔ
tvorbu	t v ɔ r b u
určený	u r t͡ʃ e n iː
venuje	v e n u j e
vodou	v ɔ d ɔ v
york	j ɔ r k
zaplatiť	z a p l a c i c
značka	z n a t͡ʃ k a
zostal	z ɔ s t a l
boja	b ɔ j a
eú	e uː
fotografie	f ɔ t ɔ ɡ r a f i̯ ɛ
hmotnosti	ɦ m ɔ t n ɔ s c i
iii	i i i
isto	i s t ɔ
ked	k e t
komisie	k ɔ m i s ɪ̯ e
krátko	k r aː t k ɔ
let	ʎ e t
látok	l aː t ɔ k
mení	m e ɲ iː
myslí	m i s ʎ iː
myšlienky	m i ʃ ʎ ɪ̯ e n k i
najväčších	n a j v æ t͡ʃː iː x
odtiaľ	ɔ t c ɪ̯ a ʎ
požiadať	p ɔ ʒ ɪ̯ a d a c
pripravené	p r i p r a v e n eː
sila	s i l a
skončení	s k ɔ n t͡ʃ e ɲ iː
snažil	s n a ʒ i l
správny	s p r aː v n i
sídlom	s iː d l ɔ m
tlaku	t l a k u
tretej	t r e c e j
vlastným	v l a s t n iː m
vozidiel	v ɔ z i ɟ ɪ̯ e l
vysoko	v i s ɔ k ɔ
vzdialenosti	v z ɟ ɪ̯ a ʎ e n ɔ s c i
vznik	v z ɲ i k
zboru	z b ɔ r u
závislosti	z aː v i s l ɔ s c i
armáda	a r m aː d a
automaticky	a u t ɔ m a c i t͡s k i
doba	d ɔ b a
dát	d aː t
dáta	d aː t a
filmov	f i l m ɔ v
forma	f ɔ r m a
hlavná	ɦ l a v n aː
hodnotu	ɦ ɔ d n ɔ t u
hral	ɦ r a l
kole	k ɔ ʎ e
kontakt	k ɔ n t a k t
kusov	k u s ɔ v
listy	ʎ i s t i
mnohí	m n ɔ ɦ iː
modelu	m ɔ ɟ e l u
nechal	ɲ e x a l
nedávno	ɲ e d aː v n ɔ
nemáme	ɲ e m aː m e
objekt	ɔ b j e k t
ostatní	ɔ s t a t ɲ iː
plocha	p l ɔ x a
pomoci	p ɔ m ɔ t͡s i
rozhodla	r ɔ z ɦ ɔ d l a
sk	s k
slobody	s l ɔ b ɔ d i
slovákov	s l ɔ v aː k ɔ v
starého	s t a r eː ɦ ɔ
stretli	s t r e t ʎ i
trvá	t r̩ v aː
tvrdí	t v r̩ ɟ iː
up	u p
výkonom	v iː k ɔ n ɔ m
zahraničí	z a ɦ r a ɲ i t͡ʃ iː
základ	z aː k l a t
zákonom	z aː k ɔ n ɔ m
dôvodom	d u̯ ɔ v ɔ d ɔ m
iste	i s c e
izbe	i z b e
každoročne	k a ʒ d ɔ r ɔ t͡ʃ ɲ e
leží	ʎ e ʒ iː
majetok	m a j e t ɔ k
medzinárodných	m e d͡z i n aː r ɔ d n iː x
milujem	m i l u j e m
mladých	m l a d iː x
narodil	n a r ɔ ɟ i l
nápad	n aː p a t
okolia	ɔ k ɔ ʎ ɪ̯ a
osobné	ɔ s ɔ b n eː
potrebujeme	p ɔ t r e b u j e m e
pôvodu	p u̯ ɔ v ɔ d u
rozhodli	r ɔ z ɦ ɔ d ʎ i
sociálne	s ɔ t͡s i aː l ɲ e
systéme	s i s t eː m e
tentokrát	c e n t ɔ k r aː t
tesne	c e s ɲ e
vytvorenie	v i t v ɔ r e ɲ ɪ̯ e
zadarmo	z a d a r m ɔ
zodpovednosť	z ɔ t p ɔ v e d n ɔ s c
akcie	a k t͡s ɪ̯ e
banská	b a n s k aː
celková	t͡s e l k ɔ v aː
chvíli	x v iː ʎ i
dokázal	d ɔ k aː z a l
dokázali	d ɔ k aː z a ʎ i
fungovať	f u n ɡ ɔ v a c
inde	i n ɟ e
končí	k ɔ n t͡ʃ iː
krista	k r i s t a
matky	m a t k i
miestnych	m ɪ̯ e s t n i x
oblastí	ɔ b l a s c iː
obsahujú	ɔ p s a ɦ u j uː
pochopiť	p ɔ x ɔ p i c
poslednú	p ɔ s ʎ e d n uː
povedané	p ɔ v e d a n eː
prišlo	p r i ʃ l ɔ
robert	r ɔ b e r t
rôznymi	r u̯ ɔ z n i m i
samotný	s a m ɔ t n iː
správe	s p r aː v e
starých	s t a r iː x
starších	s t a r ʃ iː x
stretol	s t r e t ɔ l
test	c e s t
títo	c iː t ɔ
umiestnené	u m ɪ̯ e s t ɲ e n eː
urobili	u r ɔ b i ʎ i
vašim	v a ʃ i m
vnútra	v n uː t r a
vzťahov	f s c a ɦ ɔ v
výšku	v iː ʃ k u
známych	z n aː m i x
zostáva	z ɔ s t aː v a
zozname	z ɔ z n a m e
údajov	uː d a j ɔ v
chrániť	x r aː ɲ i c
dovtedy	d ɔ v c e d i
európska	e u r ɔː p s k a
fajn	f a j n
kostola	k ɔ s t ɔ l a
kultúrne	k u l t uː r ɲ e
liek	ʎ ɪ̯ e k
medzinárodné	m e d͡z i n aː r ɔ d n eː
miestom	m ɪ̯ e s t ɔ m
minúty	m i n uː t i
množstva	m n ɔ ʃ s t v a
našim	n a ʃ i m
našou	n a ʃ ɔ v
nemohol	ɲ e m ɔ ɦ ɔ l
osobný	ɔ s ɔ b n iː
označenie	ɔ z n a t͡ʃ e ɲ ɪ̯ e
plánu	p l aː n u
ponúka	p ɔ n uː k a
postavenie	p ɔ s t a v e ɲ ɪ̯ e
povie	p ɔ v ɪ̯ e
procesu	p r ɔ t͡s e s u
steny	s c e n i
stupňa	s t u p ɲ a
tými	t iː m i
týmito	t iː m i t ɔ
veciach	v e t͡s ɪ̯ a x
výboru	v iː b ɔ r u
web	v e p
zbaviť	z b a v i c
zistili	z i s c i ʎ i
základom	z aː k l a d ɔ m
zápasy	z aː p a s i
úžasné	uː ʒ a s n eː
čiernej	t͡ʃ ɪ̯ e r ɲ e j
budov	b u d ɔ v
hornej	ɦ ɔ r ɲ e j
inej	i ɲ e j
iní	i ɲ iː
kapitán	k a p i t aː n
koncert	k ɔ n t͡s e r t
malého	m a l eː ɦ ɔ
medzinárodného	m e d͡z i n aː r ɔ d n eː ɦ ɔ
mestom	m e s t ɔ m
minimálne	m i ɲ i m aː l ɲ e
nemocnice	ɲ e m ɔ t͡s ɲ i t͡s e
nesmie	ɲ e s m ɪ̯ e
netreba	ɲ e t r e b a
niekomu	ɲ ɪ̯ e k ɔ m u
niet	ɲ ɪ̯ e t
národná	n aː r ɔ d n aː
obchode	ɔ p x ɔ ɟ e
opustil	ɔ p u s c i l
otvorené	ɔ t v ɔ r e n eː
pokojne	p ɔ k ɔ j ɲ e
prechádza	p r e x aː d͡z a
prehľad	p r e ɦ ʎ a t
problémom	p r ɔ b l eː m ɔ m
republike	r e p u b ʎ i k e
sezónu	s e z ɔː n u
starej	s t a r e j
strede	s t r e ɟ e
stupeň	s t u p e ɲ
tvare	t v a r e
tvoje	t v ɔ j e
vedela	v e ɟ e l a
vozidlá	v ɔ z i d l aː
výlet	v iː ʎ e t
výrobe	v iː r ɔ b e
znie	z ɲ ɪ̯ e
bezpečné	b e s p e t͡ʃ n eː
filmy	f i l m i
henry	ɦ e n r i
izbu	i z b u
kolo	k ɔ l ɔ
mozgu	m ɔ z ɡ u
naposledy	n a p ɔ s ʎ e d i
narodenia	n a r ɔ ɟ e ɲ ɪ̯ a
nasledujúce	n a s ʎ e d u j uː t͡s e
nejaká	ɲ e j a k aː
nevedia	ɲ e v e ɟ ɪ̯ a
námestí	n aː m e s c iː
objavil	ɔ b j a v i l
plus	p l u s
pomer	p ɔ m e r
portál	p ɔ r t aː l
poslanci	p ɔ s l a n t͡s i
prospech	p r ɔ s p e x
pôsobil	p u̯ ɔ s ɔ b i l
regiónu	r e ɡ i ɔː n u
riadne	r ɪ̯ a d ɲ e
slnka	s l̩ n k a
spravidla	s p r a v i d l a
staršie	s t a r ʃ ɪ̯ e
takých	t a k iː x
teší	c e ʃ iː
tvaru	t v a r u
tvári	t v aː r i
videla	v i ɟ e l a
vlastnej	v l a s t ɲ e j
vojaci	v ɔ j a t͡s i
vráti	v r aː c i
vyrába	v i r aː b a
výstavby	v iː s t a v b i
zaujíma	z a u j iː m a
združenie	z d r u ʒ e ɲ ɪ̯ e
zodpovedá	z ɔ t p ɔ v e d aː
zvierat	z v ɪ̯ e r a t
úrovne	uː r ɔ v ɲ e
účastníci	uː t͡ʃ a s t ɲ iː t͡s i
článkov	t͡ʃ l aː n k ɔ v
štátneho	ʃ t aː t ɲ e ɦ ɔ
budove	b u d ɔ v e
chýbať	x iː b a c
en	e n
hoteli	ɦ ɔ c e ʎ i
mgr	m ɡ r̩
min	m i n
modely	m ɔ ɟ e l i
nádherné	n aː d ɦ e r n eː
obchodné	ɔ p x ɔ d n eː
obrany	ɔ b r a n i
oddelenie	ɔ dː e ʎ e ɲ ɪ̯ e
orgánov	ɔ r ɡ aː n ɔ v
podniku	p ɔ d ɲ i k u
popis	p ɔ p i s
poslancov	p ɔ s l a n t͡s ɔ v
prahe	p r a ɦ e
prichádzajú	p r i x aː d͡z a j uː
právnik	p r aː v ɲ i k
skúsenosti	s k uː s e n ɔ s c i
snažiť	s n a ʒ i c
sociálnych	s ɔ t͡s i aː l n i x
textu	c e k s t u
uprostred	u p r ɔ s t r e t
vode	v ɔ ɟ e
zdrojom	z d r ɔ j ɔ m
zomrela	z ɔ m r e l a
údajne	uː d a j ɲ e
čisté	t͡ʃ i s t eː
ľudské	ʎ u t͡s k eː
športové	ʃ p ɔ r t ɔ v eː
autá	a u̯ t aː
bežne	b e ʒ ɲ e
boji	b ɔ j i
divákov	ɟ i v aː k ɔ v
historické	ɦ i s t ɔ r i t͡s k eː
hviezdy	ɦ v ɪ̯ e z d i
jediným	j e ɟ i n iː m
joe	j ɔ e
man	m a n
mike	m i k e
milióna	m i ʎ i ɔː n a
neznamená	ɲ e z n a m e n aː
nikoho	ɲ i k ɔ ɦ ɔ
náklady	n aː k l a d i
objavili	ɔ b j a v i ʎ i
obvykle	ɔ b v i k ʎ e
odpovede	ɔ t p ɔ v e ɟ e
podobný	p ɔ d ɔ b n iː
pomáha	p ɔ m aː ɦ a
pozná	p ɔ z n aː
priestory	p r ɪ̯ e s t ɔ r i
rozsahu	r ɔ sː a ɦ u
skladá	s k l a d aː
stredisko	s t r e ɟ i s k ɔ
technickej	c e x ɲ i t͡s k e j
tohoto	t ɔ ɦ ɔ t ɔ
typov	t i p ɔ v
vedenia	v e ɟ e ɲ ɪ̯ a
vojakov	v ɔ j a k ɔ v
vysokú	v i s ɔ k uː
využívajú	v i u ʒ iː v a j uː
vzdelanie	v z ɟ e l a ɲ ɪ̯ e
väčšine	v æ t͡ʃː i ɲ e
časťou	t͡ʃ a s c ɔ v
autora	a u̯ t ɔ r a
bytu	b i t u
divadla	ɟ i v a d l a
dohody	d ɔ ɦ ɔ d i
dostanú	d ɔ s t a n uː
drží	d r̩ ʒ iː
filme	f i l m e
formou	f ɔ r m ɔ v
hmoty	ɦ m ɔ t i
hodinky	ɦ ɔ ɟ i n k i
konštrukcie	k ɔ n ʃ t r u k t͡s ɪ̯ e
letných	ʎ e t n iː x
lodi	l ɔ ɟ i
lokalita	l ɔ k a ʎ i t a
nesie	ɲ e s ɪ̯ e
nájdete	n aː j ɟ e c e
palube	p a l u b e
podmienkach	p ɔ d m ɪ̯ e n k a x
polovice	p ɔ l ɔ v i t͡s e
poruchy	p ɔ r u x i
poschodí	p ɔ s x ɔ ɟ iː
postavený	p ɔ s t a v e n iː
priebeh	p r ɪ̯ e b e x
prijať	p r i j a c
rozhovor	r ɔ z ɦ ɔ v ɔ r
rozvoja	r ɔ z v ɔ j a
skvelá	s k v e l aː
snažím	s n a ʒ iː m
straty	s t r a t i
strávil	s t r aː v i l
stál	s t aː l
trocha	t r ɔ x a
určená	u r t͡ʃ e n aː
zmení	z m e ɲ iː
značky	z n a t͡ʃ k i
útoku	uː t ɔ k u
amerike	a m e r i k e
black	b l a t͡s k
celkový	t͡s e l k ɔ v iː
charles	x a r ʎ e s
ducha	d u x a
južnej	j u ʒ ɲ e j
krátke	k r aː t k e
kyseliny	k i s e ʎ i n i
linky	ʎ i n k i
materiálov	m a c e r i aː l ɔ v
mestského	m e s t͡s k eː ɦ ɔ
múzea	m uː z e a
nejakej	ɲ e j a k e j
návštevu	n aː v ʃ c e v u
obyvateľstva	ɔ b i v a c e ʎ s t v a
občanov	ɔ p t͡ʃ a n ɔ v
planéty	p l a n eː t i
play	p l a j
podporuje	p ɔ t p ɔ r u j e
pohľadu	p ɔ ɦ ʎ a d u
poznáme	p ɔ z n aː m e
počtom	p ɔ t͡ʃ t ɔ m
priatelia	p r ɪ̯ a c e ʎ ɪ̯ a
priateľom	p r ɪ̯ a c e ʎ ɔ m
pridať	p r i d a c
ročníku	r ɔ t͡ʃ ɲ iː k u
se	s e
správnu	s p r aː v n u
takým	t a k iː m
trest	t r e s t
tvorba	t v ɔ r b a
verzii	v e r z i i
veľkom	v e ʎ k ɔ m
vhodné	v ɦ ɔ d n eː
vlastných	v l a s t n iː x
vnútorné	v n uː t ɔ r n eː
vozidla	v ɔ z i d l a
vrstvy	v r̩ s t v i
vyriešiť	v i r ɪ̯ e ʃ i c
vytvoril	v i t v ɔ r i l
vytvárajú	v i t v aː r a j uː
využiť	v i u ʒ i c
zmenu	z m e n u
zväzu	z v æ z u
zápasov	z aː p a s ɔ v
častiach	t͡ʃ a s c ɪ̯ a x
životného	ʒ i v ɔ t n eː ɦ ɔ
all	a lː
dopravu	d ɔ p r a v u
dostatočne	d ɔ s t a t ɔ t͡ʃ ɲ e
dám	d aː m
harry	ɦ a rː i
hd	ɦ d
interiér	i n t e r i eː r
jednotka	j e d n ɔ t k a
komu	k ɔ m u
nevedela	ɲ e v e ɟ e l a
návrhu	n aː v r̩ ɦ u
objektov	ɔ b j e k t ɔ v
objektu	ɔ b j e k t u
obrazu	ɔ b r a z u
obrovské	ɔ b r ɔ v s k eː
obsahu	ɔ p s a ɦ u
ocenenie	ɔ t͡s e ɲ e ɲ ɪ̯ e
podarí	p ɔ d a r iː
podpora	p ɔ t p ɔ r a
polovicu	p ɔ l ɔ v i t͡s u
pomohli	p ɔ m ɔ ɦ ʎ i
použitím	p ɔ u ʒ i c iː m
poznáte	p ɔ z n aː c e
požiadavky	p ɔ ʒ ɪ̯ a d a v k i
prajem	p r a j e m
profesionálny	p r ɔ f e s i ɔ n aː l n i
prostriedky	p r ɔ s t r ɪ̯ e t k i
režimu	r e ʒ i m u
ročne	r ɔ t͡ʃ ɲ e
samostatné	s a m ɔ s t a t n eː
silné	s i l n eː
skúste	s k uː s c e
spôsobuje	s p u̯ ɔ s ɔ b u j e
street	s t r e e t
svetového	s v e t ɔ v eː ɦ ɔ
turnaja	t u r n a j a
uviedol	u v ɪ̯ e d ɔ l
vedúci	v e d uː t͡s i
vidí	v i ɟ iː
významné	v iː z n a m n eː
zaoberá	z a ɔ b e r aː
zvýšenie	z v iː ʃ e ɲ ɪ̯ e
úseku	uː s e k u
čele	t͡ʃ e ʎ e
ľudských	ʎ u t͡s k iː x
štáte	ʃ t aː c e
celkovej	t͡s e l k ɔ v e j
cítim	t͡s iː c i m
dajú	d a j uː
hlboko	ɦ ɫ̩ b ɔ k ɔ
hrali	ɦ r a ʎ i
jedine	j e ɟ i ɲ e
karty	k a r t i
lokalite	l ɔ k a ʎ i c e
miestnej	m ɪ̯ e s t ɲ e j
naraz	n a r a s
nepodarilo	ɲ e p ɔ d a r i l ɔ
nevedel	ɲ e v e ɟ e l
nájdeme	n aː j ɟ e m e
objem	ɔ b j e m
obrovský	ɔ b r ɔ v s k iː
pohode	p ɔ ɦ ɔ ɟ e
pohybuje	p ɔ ɦ i b u j e
počte	p ɔ t͡ʃ c e
poďakovať	p ɔ ɟ a k ɔ v a c
pošlite	p ɔ ʃ ʎ i c e
priateľmi	p r ɪ̯ a c e ʎ m i
prírode	p r iː r ɔ ɟ e
prítomnosť	p r iː t ɔ m n ɔ s c
rastie	r a s c ɪ̯ e
rieky	r ɪ̯ e k i
skončilo	s k ɔ n t͡ʃ i l ɔ
skutočné	s k u t ɔ t͡ʃ n eː
snažíme	s n a ʒ iː m e
sociálnej	s ɔ t͡s i aː l ɲ e j
svetových	s v e t ɔ v iː x
séria	s eː r i a
ukázal	u k aː z a l
vieš	v ɪ̯ e ʃ
vydal	v i d a l
vyplýva	v i p l iː v a
vzhľad	v z ɦ ʎ a t
zabezpečuje	z a b e s p e t͡ʃ u j e
zvláštne	z v l aː ʃ t ɲ e
závisí	z aː v i s iː
čosi	t͡ʃ ɔ s i
ďalšieho	ɟ a l ʃ ɪ̯ e ɦ ɔ
školstva	ʃ k ɔ l s t v a
žiline	ʒ i ʎ i ɲ e
byte	b i c e
el	e l
funkcií	f u n k t͡s i iː
jednak	j e d n a k
jednotiek	j e d n ɔ c ɪ̯ e k
knižnice	k ɲ i ʒ ɲ i t͡s e
lokality	l ɔ k a ʎ i t i
manželstvo	m a n ʒ e l s t v ɔ
menších	m e n ʃ iː x
miestne	m ɪ̯ e s t ɲ e
najvyššie	n a j v i ʃː ɪ̯ e
nechcel	ɲ e x t͡s e l
nuž	n u ʃ
obavy	ɔ b a v i
odbor	ɔ d b ɔ r
omnoho	ɔ m n ɔ ɦ ɔ
plne	p l̩ ɲ e
politických	p ɔ ʎ i c i t͡s k iː x
použil	p ɔ u ʒ i l
povedali	p ɔ v e d a ʎ i
profil	p r ɔ f i l
programy	p r ɔ ɡ r a m i
prostriedkov	p r ɔ s t r ɪ̯ e t k ɔ v
prvou	p r̩ v ɔ v
príbehy	p r iː b e ɦ i
prípravy	p r iː p r a v i
pôsobenia	p u̯ ɔ s ɔ b e ɲ ɪ̯ a
reakcie	r e a k t͡s ɪ̯ e
riadenie	r ɪ̯ a ɟ e ɲ ɪ̯ e
robili	r ɔ b i ʎ i
situácii	s i t u aː t͡s i i
skvele	s k v e ʎ e
spoločností	s p ɔ l ɔ t͡ʃ n ɔ s c iː
spolupráca	s p ɔ l u p r aː t͡s a
stovky	s t ɔ v k i
tebe	c e b e
udalostí	u d a l ɔ s c iː
vesmíru	v e s m iː r u
vidíme	v i ɟ iː m e
voľný	v ɔ ʎ n iː
vytvorené	v i t v ɔ r e n eː
vznikli	v z ɲ i k ʎ i
založené	z a l ɔ ʒ e n eː
zbraní	z b r a ɲ iː
zmene	z m e ɲ e
zoznamu	z ɔ z n a m u
zväčša	z v æ t͡ʃː a
účelom	uː t͡ʃ e l ɔ m
ďalšou	ɟ a l ʃ ɔ v
bratia	b r a c ɪ̯ a
da	d a
literatúry	ʎ i c e r a t uː r i
louis	l ɔ v i s
mestá	m e s t aː
myslíte	m i s ʎ iː c e
najlepšia	n a j ʎ e p ʃ ɪ̯ a
najväčšou	n a j v æ t͡ʃː ɔ v
nevieme	ɲ e v ɪ̯ e m e
nr	n r̩
nájdu	n aː j d u
orgány	ɔ r ɡ aː n i
partner	p a r t ɲ e r
plány	p l aː n i
polovica	p ɔ l ɔ v i t͡s a
post	p ɔ s t
pracovala	p r a t͡s ɔ v a l a
príkladom	p r iː k l a d ɔ m
príčinou	p r iː t͡ʃ i n ɔ v
sestry	s e s t r i
skutočný	s k u t ɔ t͡ʃ n iː
snažili	s n a ʒ i ʎ i
spracovanie	s p r a t͡s ɔ v a ɲ ɪ̯ e
st	s t
stavbu	s t a v b u
tatier	t a c ɪ̯ e r
teplo	c e p l ɔ
voľne	v ɔ ʎ ɲ e
výstavbu	v iː s t a v b u
zložky	z l ɔ ʃ k i
štúdie	ʃ t uː ɟ ɪ̯ e
akej	a k e j
chris	x r i s
danej	d a ɲ e j
darí	d a r iː
dlhú	d l̩ ɦ uː
dosiahol	d ɔ s ɪ̯ a ɦ ɔ l
fi	f i
finančné	f i n a n t͡ʃ n eː
historických	ɦ i s t ɔ r i t͡s k iː x
kapely	k a p e l i
ks	k s
lietadla	ʎ ɪ̯ e t a d l a
love	l ɔ v e
moderné	m ɔ ɟ e r n eː
nejakého	ɲ e j a k eː ɦ ɔ
nemecka	ɲ e m e t͡s k a
nemôžeme	ɲ e m u̯ ɔ ʒ e m e
nieje	ɲ ɪ̯ e j e
nikde	ɲ i ɡ ɟ e
nádej	n aː ɟ e j
odbore	ɔ d b ɔ r e
oh	ɔ x
one	ɔ ɲ e
ostatnými	ɔ s t a t n iː m i
pacientov	p a t͡s ɪ̯ e n t ɔ v
pocity	p ɔ t͡s i t i
posledného	p ɔ s ʎ e d n eː ɦ ɔ
potrebujem	p ɔ t r e b u j e m
prenos	p r e n ɔ s
prešove	p r e ʃ ɔ v e
priemyslu	p r ɪ̯ e m i s l u
príbehu	p r iː b e ɦ u
rodinou	r ɔ ɟ i n ɔ v
santa	s a n t a
slobodu	s l ɔ b ɔ d u
starať	s t a r a c
starosti	s t a r ɔ s c i
stavieb	s t a v ɪ̯ e p
súboru	s uː b ɔ r u
takého	t a k eː ɦ ɔ
technika	c e x ɲ i k a
uk	u k
uvidíme	u v i ɟ iː m e
uvidíte	u v i ɟ iː c e
verejné	v e r e j n eː
veriť	v e r i c
viery	v ɪ̯ e r i
vyhlásil	v i ɦ l aː s i l
väčšia	v æ t͡ʃː ɪ̯ a
väčšiu	v æ t͡ʃː ɪ̯ u
všetkom	f ʃ e t k ɔ m
združenia	z d r u ʒ e ɲ ɪ̯ a
červené	t͡ʃ e r v e n eː
štátnych	ʃ t aː t n i x
štátoch	ʃ t aː t ɔ x
štýlu	ʃ t iː l u
životom	ʒ i v ɔ t ɔ m
amerických	a m e r i t͡s k iː x
apple	a p ʎ e
armády	a r m aː d i
co	t͡s ɔ
dosahuje	d ɔ s a ɦ u j e
dĺžku	d l̩ː ʃ k u
ed	e t
koná	k ɔ n aː
live	ʎ i v e
metóda	m e t ɔː d a
milióny	m i ʎ i ɔː n i
minútu	m i n uː t u
mnohými	m n ɔ ɦ iː m i
mobil	m ɔ b i l
myslel	m i s ʎ e l
nemohli	ɲ e m ɔ ɦ ʎ i
nástrojov	n aː s t r ɔ j ɔ v
oddelenia	ɔ dː e ʎ e ɲ ɪ̯ a
off	ɔ fː
ohľadu	ɔ ɦ ʎ a d u
orgán	ɔ r ɡ aː n
ovládať	ɔ v l aː d a c
pavla	p a v l a
pomáhať	p ɔ m aː ɦ a c
poslať	p ɔ s l a c
poslednom	p ɔ s ʎ e d n ɔ m
použitý	p ɔ u ʒ i t iː
používanie	p ɔ u ʒ iː v a ɲ ɪ̯ e
poviem	p ɔ v ɪ̯ e m
predaj	p r e d a j
predmetov	p r e d m e t ɔ v
prešli	p r e ʃ ʎ i
pripomína	p r i p ɔ m iː n a
prvok	p r̩ v ɔ k
riadenia	r ɪ̯ a ɟ e ɲ ɪ̯ a
rýchle	r iː x ʎ e
rýchlosťou	r iː x l ɔ s c ɔ v
stanici	s t a ɲ i t͡s i
stanicu	s t a ɲ i t͡s u
steve	s c e v e
stopy	s t ɔ p i
súlade	s uː l a ɟ e
texty	c e k s t i
tony	t ɔ n i
tretie	t r e c ɪ̯ e
témy	t eː m i
ukončení	u k ɔ n t͡ʃ e ɲ iː
urobí	u r ɔ b iː
van	v a n
venovať	v e n ɔ v a c
verejnej	v e r e j ɲ e j
verejnosť	v e r e j n ɔ s c
vlastného	v l a s t n eː ɦ ɔ
vybavené	v i b a v e n eː
vysvetliť	v i s v e t ʎ i c
vyzerajú	v i z e r a j uː
väčšej	v æ t͡ʃː e j
zamestnancov	z a m e s t n a n t͡s ɔ v
zákony	z aː k ɔ n i
úsmev	uː s m e v
účinnosť	uː t͡ʃ i nː ɔ s c
čr	t͡ʃ r̩
ďalšej	ɟ a l ʃ e j
anglicky	a n ɡ ʎ i t͡s k i
chvíle	x v iː ʎ e
dizajn	ɟ i z a j n
dĺžke	d l̩ː ʃ k e
dĺžky	d l̩ː ʃ k i
francúzsku	f r a n t͡s uː s k u
hory	ɦ ɔ r i
hotela	ɦ ɔ c e l a
hľadáte	ɦ ʎ a d aː c e
jackson	j a t͡s k s ɔ n
kola	k ɔ l a
komory	k ɔ m ɔ r i
konal	k ɔ n a l
kuchyni	k u x i ɲ i
kvality	k v a ʎ i t i
los	l ɔ s
mary	m a r i
medzinárodná	m e d͡z i n aː r ɔ d n aː
mil	m i l
mimochodom	m i m ɔ x ɔ d ɔ m
moment	m ɔ m e n t
najlepším	n a j ʎ e p ʃ iː m
našťastie	n a ʃ c a s c ɪ̯ e
nutné	n u t n eː
návrat	n aː v r a t
občianske	ɔ p t͡ʃ ɪ̯ a n s k e
ochorenia	ɔ x ɔ r e ɲ ɪ̯ a
ok	ɔ k
osobu	ɔ s ɔ b u
plynu	p l i n u
polohy	p ɔ l ɔ ɦ i
polície	p ɔ ʎ iː t͡s ɪ̯ e
použitia	p ɔ u ʒ i c ɪ̯ a
rast	r a s t
rozsah	r ɔ sː a x
samostatne	s a m ɔ s t a t ɲ e
severnej	s e v e r ɲ e j
slovenskú	s l ɔ v e n s k uː
smrťou	s m r̩ c ɔ v
tepla	c e p l a
