אבל	a v a l
המקרה	h i m k a ʁ a
הקפה	h i k f a
הרצל	h i ʁ t͡s e l
השינוי	h i ʃ i n u j
זהה	z a h a
חלה	χ a l a
חסרת	χ a s a ʁ a t
להתייחס	l e h i t j a χ e s
לואיס	l o i s
לימים	l i m i m
למחרת	l i m χ a ʁ e t
לשנת	l i ʃ n e t
מהירה	m e h i ʁ a
נוסע	n o s a
ניסיתי	n i s i t i
פגישה	p a ɡ i ʃ a
פיטר	p i t e ʁ
רחבה	ʁ a χ a v a
שלפני	ʃ i l p a n i
ששת	ʃ a ʃ a t
תפקידו	t a f k i d u
אליכם	a l i χ e m
אמורים	a m u ʁ i m
ביוני	b i j o n i
בריטניה	b ʁ i t a n j a
גוש	ɡ o ʃ
דירות	d i ʁ u t
האמונה	h e e m o n a
היקר	h i k e ʁ
המשימה	h i m ʃ i m a
הספינה	h i s p i n a
העלה	e e l a
הצלחתי	h i t͡s l a χ t i
השאלות	h i ʃ a l u t
ומעלה	v i m a l a
חייה	χ i j a
לבנה	l a v a n a
לרב	l a ʁ a v
מכירות	m e χ i ʁ u t
משא	m a ʃ a
נהנה	n a h a n a
נוגע	n o ɡ a
נועד	n o a d
נכנסים	n i χ n a s i m
סמים	s a m i m
עדין	a d i n
עיתון	i t o n
עלולה	a l u l a
צורת	t͡s o ʁ e t
שימו	ʃ i m u
for	f o r
אפל	a f a l
בד	b a d
בתולדות	b e t u l d u t
דמויות	d m u j u t
דפוס	d a f u s
האמיתית	h e e m i t i t
הגרמני	h i ɡ ʁ a m a n i
הכרה	h i χ ʁ a
המתים	h i m t i m
העיתון	h e i t o n
הפסקה	h i f s a k a
הציע	h i t͡s i a
הקדושה	h i k d u ʃ a
הרביעי	h i ʁ b i a j
הרוב	h a ʁ u v
השראה	h i ʃ ʁ a
התנאים	h i t n a i m
ידועה	j a d u a
כב	k a v
לכו	l a χ u
לנהוג	l i n h u ɡ
מדהימה	m a d h i m a
מחשבות	m a χ ʃ a v u t
ממשיכים	m a m ʃ i χ i m
מנהלת	m i n h a l e t
מקצועית	m a k t͡s u i t
משך	m a ʃ a χ
נכנסת	n i χ n e s e t
נציג	n a t͡s i ɡ
נתנה	n i t n a
עזוב	a z u v
פרטית	p a ʁ t i t
פשוטה	p ʃ u t a
שמר	ʃ a m a ʁ
שרוצה	ʃ ʁ u t͡s a
אחרונות	a χ ʁ o n u t
ארגוני	a ʁ ɡ o n i
בינואר	b i n u a ʁ
בכירים	b e χ i ʁ i m
בלה	b a l a
בקיצור	b e k i t͡s o ʁ
גורמת	ɡ o ʁ m e t
דובר	d o v a ʁ
דיני	d i n i
הדתי	h i d t i
הערכה	e e ʁ χ a
הפלסטינים	h i f l a s t i n i m
הציונית	h i t͡s j o n i t
הקיר	h i k i ʁ
התקציב	h i t k a t͡s i v
יוצאי	j o t͡s a j
יפים	j a f i m
מהירות	m e h i ʁ u t
מנצח	m i n t͡s a χ
מקרי	m a k ʁ i
עצמנו	a t͡s m a n u
פגע	p a ɡ a
רוני	ʁ o n i
רחבי	ʁ a χ a v i
שאלת	ʃ e e l e t
שהרי	ʃ a h a ʁ i
שילוב	ʃ i l u v
אושר	o ʃ e ʁ
אחרונה	a χ ʁ o n a
האח	h e a χ
הטענה	h i t a n a
הכאב	h i χ a v
המערבית	h i m a ʁ b i t
המקומי	h i m k o m i
העיקר	h e i k e ʁ
יוצרים	j o t͡s a ʁ i m
כמי	k a m i
לדיון	l a d j o n
לילד	l i l e d
לשלטון	l i ʃ l a t o n
לשתף	l i ʃ t e f
מקסים	m a k s i m
מרגישים	m a ʁ ɡ i ʃ i m
מרשים	m a ʁ ʃ i m
מתח	m a t a χ
סקר	s a k a ʁ
עוז	o z
עצוב	a t͡s u v
ער	a ʁ
פרטיים	p a ʁ t a j i m
רמה	ʁ a m a
שיט	ʃ i t
אוניברסיטת	o n i b ʁ a s i t e t
אמריקאי	a m ʁ i k a j
באוגוסט	b e u ɡ o s t
בל	b a l
בסיפור	b e s i f o ʁ
בשורה	b e ʃ u ʁ a
בתחומי	b i t χ u m i
הגליל	h i ɡ l i l
הטיסה	h i t i s a
הכספים	h i χ s a f i m
הנגב	h i n ɡ e v
השתמש	h i ʃ t a m e ʃ
התחילה	h i t χ i l a
חומרים	χ o m a ʁ i m
חיינו	χ a j a n u
טעים	t a i m
יראו	j a ʁ a u
ישירה	j e ʃ i ʁ a
להוביל	l e h o v i l
להופיע	l e h o f i a
להעמיד	l e h a m i d
להרים	l a h a ʁ i m
להתקיים	l e h i t k a j i m
למים	l a m i m
מדד	m a d a d
מחלוקת	m a χ l u k a t
מחלות	m a χ l u t
מלווה	m a l v a
מרץ	m a ʁ a t͡s
סיטי	s i t i
עבירות	a v i ʁ u t
פלא	p a l a
פתוחה	p a t u χ a
קווי	k a v i
שופטים	ʃ o f t i m
תקף	t a k a f
אמיר	a m i ʁ
אתו	a t u
באיזור	b e i z u ʁ
בארגון	b e a ʁ ɡ o n
ביתר	b i t e ʁ
בניסיון	b e n i s j o n
בשירות	b e ʃ i ʁ u t
האמריקני	h e e m ʁ i k a n i
המפתח	h i m p a t e a χ
המקומות	h i m k o m u t
הערך	e e ʁ e χ
הצליחה	h i t͡s l i χ a
השדה	h i ʃ d a
ואכן	v e a χ a n
ובה	v a
ילך	j a l a χ
כול	k o l
להבחין	l e h a v χ i n
לומד	l o m e d
לטובה	l a t u v a
לסבול	l i s b u l
לקוחות	l a k u χ u t
מומחה	m o m χ a
מחבר	m a χ b a ʁ
סגנון	s a ɡ n o n
סטודנטים	s t u d a n t i m
עמודים	a m u d i m
צופה	t͡s o f a
ציוני	t͡s i j o n i
קבל	k a v a l
קחו	k a χ u
קרי	k a ʁ i
רוברט	ʁ o v a ʁ a t
שונאת	ʃ o n a t
תגיע	t a ɡ i a
תדע	t a d a
תימן	t i m e n
תלויה	t a l u j a
תמשיך	t a m ʃ i χ
און	o n
בדיחה	b e d i χ a
ברגל	b a ʁ ɡ e l
גדעון	ɡ a d a o n
דלתות	d a l t u t
הגן	h a ɡ a n
ההודעה	h e h u d a a
המלון	h i m l o n
המערב	h i m a ʁ e v
המשותף	h i m ʃ u t e f
הספרות	h i s p a ʁ u t
העמים	e e m i m
העשרים	e e ʃ a ʁ i m
הרשימה	h i ʁ ʃ i m a
הרשת	h i ʁ ʃ e t
השמאל	h i ʃ m a e l
התהליך	h i t h a l i χ
התחתון	h i t χ a t o n
חוקרים	χ o k a ʁ i m
חלוקת	χ a l u k a t
חתם	χ a t a m
ידועים	j a d u i m
יתרון	j i t ʁ o n
כרטיסים	k a ʁ t i s i m
לוודא	l a v a d a
לונדון	l o n d o n
לכנסת	l i χ n e s e t
למסור	l i m s o ʁ
למשהו	l i m ʃ a h u
מימי	m i m i
מרטין	m a ʁ t i n
משלו	m a ʃ l u
מתו	m a t u
סרטי	s a ʁ t i
עבירה	a v i ʁ a
עמית	a m i t
עצמאי	a t͡s m a j
קסם	k a s a m
קשורה	k a ʃ u ʁ a
שירותים	ʃ i ʁ u t i m
אזורי	a z u ʁ i
אחורה	a χ u ʁ a
דוחה	d o χ a
האמנות	h e e m a n u t
האשה	h e e ʃ a
היחידי	h i χ i d i
הירח	h i ʁ e a χ
המחלה	h i m χ a l a
המסך	h i m s e χ
המצרי	h i m t͡s a ʁ i
המראה	h i m ʁ a
הנהלת	h i n h e l e t
הנקודה	h i n k u d a
הקרובים	h i k ʁ o v i m
השחקן	h i ʃ χ a k a n
השעון	h i ʃ o n
חברתיים	χ a v ʁ a t a j i m
חדרים	χ a d a ʁ i m
לדברים	l i d b a ʁ i m
להצביע	l e h i t͡s b i a
להקשיב	l e h a k ʃ i v
לרוץ	l a ʁ u t͡s
מלמד	m a l m a d
מנה	m a n a
מרחב	m a ʁ χ a v
מרחק	m a ʁ χ a k
נובע	n o v a
נוכח	n o χ a χ
נכנסו	n i χ n a s u
ענה	a n a
צופים	t͡s o f i m
קמה	k a m a
תחומי	t a χ u m i
de	d e
אהוד	a h u d
אומץ	o m e t͡s
אלבום	a l b u m
בודדים	b o d e d i m
בונה	b o n a
בימינו	b i m i n u
בענייני	b a a n j a n i
בשימוש	b e ʃ i m u ʃ
גוגל	ɡ o ɡ e l
הגז	h i ɡ e z
המכון	h i m k o n
המפעל	h i m p a a l
הנסיעה	h i n s i a
הקבלה	h i k b e l a
הקרובה	h i k ʁ o v a
התברר	h i t b a ʁ e ʁ
חמורה	χ a m u ʁ a
טו	t o
לאחרים	l e a χ a ʁ i m
להתעלם	l e h i t a l e m
לקחתי	l i k χ a t i
לשרת	l i ʃ ʁ e t
מבפנים	m i v p a n i m
מגניב	m a ɡ n i v
מחפשת	m a χ p e ʃ e t
מטען	m a t a n
מכר	m a χ a ʁ
משפחתי	m i ʃ p a χ t i
נאה	n a a
סוכר	s o χ a ʁ
סופי	s o f i
עונת	o n e t
עמדו	a m d u
עמדות	a m d u t
עצמן	a t͡s m a n
קידום	k i d u m
קפטן	k a f t a n
שלט	ʃ a l a t
תחזור	t a χ z u ʁ
תינוקות	t i n u k u t
תני	t a n i
it	i t
אותיות	o t j u t
אנושי	a n u ʃ i
אפשרויות	a f ʃ a ʁ u j u t
בטחון	b a t a χ o n
בכיתה	b e χ i t a
בתנאים	b i t n a i m
דאגה	d a a ɡ a
האנרגיה	h e e n ʁ e ɡ j a
הדרכים	h i d ʁ a χ i m
המפורסם	h i m p o ʁ s e m
הנסיך	h i n s i χ
הצורה	h i t͡s u ʁ a
השליטה	h i ʃ l i t a
זיהוי	z i h u j
טור	t o ʁ
כביכול	k a v i χ u l
לחזק	l a χ z a k
לכלא	l i χ l a
מגע	m a ɡ a
מועמד	m o a m e d
מור	m o ʁ
מידת	m i d e t
מייד	m a j a d
מינה	m i n a
מלחמות	m a l χ a m u t
משמר	m i ʃ m e ʁ
נחמן	n a χ m a n
סבל	s a v a l
סימנים	s i m a n i m
עמה	a m a
ערכי	a ʁ k i
עשינו	a ʃ i n u
פטור	p a t u ʁ
פנימי	p n i m i
קוריאה	k o ʁ i a
ראשו	ʁ e ʃ u
שבר	ʃ a v a ʁ
שמירה	ʃ m i ʁ a
אבני	a v a n i
אגיד	a ɡ i d
אפריל	a f ʁ i l
אצלך	a t͡s l a χ
באב	b a a v
בוכה	b u χ a
ביקשו	b i k ʃ u
במיטה	b e m i t a
בעיתון	b a i t o n
בתחרות	b i t χ a ʁ u t
בתשובה	b i t ʃ u v a
דנה	d a n a
הוקם	h o k e m
הלשון	h i l ʃ o n
המשיח	h i m ʃ i a χ
הנביא	h i n b i
הנקרא	h i n k a ʁ a
הסרטים	h i s ʁ a t i m
העסקה	e e s k a
השתנה	h i ʃ t a n a
חופשית	χ o f ʃ i t
כרך	k a ʁ a χ
להבדיל	l e h a v d i l
להסיר	l e h a s i ʁ
ליצירת	l i t͡s i ʁ e t
לסוף	l a s u f
נוהגים	n o h a ɡ i m
נופל	n o f e l
נזכר	n i z k a ʁ
נרחב	n i ʁ χ a v
סופית	s o f i t
סימני	s i m a n i
סיפורי	s i p u ʁ i
עמוקה	a m u k a
עצמאית	a t͡s m a i t
פנו	p a n u
פרסם	p a ʁ s a m
רם	ʁ a m
שותה	ʃ o t a
שים	ʃ i m
שרים	ʃ a ʁ i m
ששם	ʃ a ʃ a m
תושב	t o ʃ e v
by	b i
is	i s
אישיים	i ʃ a j i m
אסון	a s o n
ארגונים	a ʁ ɡ o n i m
ארוכים	a ʁ u χ i m
בדקה	b a d a k a
בולט	b o l a t
ביל	b i l
בכ	b a χ
ברשימה	b a ʁ ʃ i m a
גילו	ɡ i l u
הודיעה	h o d i a
הכשרה	h i χ ʃ a ʁ a
המספרים	h i m s p a ʁ i m
הסיכוי	h i s i k u j
הפתיחה	h i f t i χ a
וחלק	v a χ l a k
חזקים	χ a z a k i m
חפץ	χ a f a t͡s
טענות	t a a n u t
ידידי	j a d i d i
כלא	k a l a
כץ	k a t͡s
להודיע	l e h u d i a
לעין	l a i n
מחצית	m a χ t͡s i t
ממשיכה	m a m ʃ i χ a
נדרש	n i d ʁ e ʃ
נפגש	n i f ɡ e ʃ
נשלח	n i ʃ l a χ
עברתי	a v ʁ a t i
עדים	a d i m
עלולים	a l u l i m
קוק	k o k
קרים	k a ʁ i m
רמז	ʁ a m a z
שבי	ʃ a v i
שומעת	ʃ o m a t
שליח	ʃ a l i a χ
שמגיע	ʃ i m ɡ i a
שעת	ʃ a a t
תפקידים	t a f k i d i m
אינך	i n e χ
אמות	a m u t
בישיבה	b i ʃ i v a
ברשות	b a ʁ ʃ u t
דולרים	d o l a ʁ i m
דרכה	d a ʁ χ a
הדמות	h i d m u t
החלון	h a χ l o n
הטבעי	h i t b a i
היקף	h i k e f
הלחץ	h i l χ e t͡s
הממוצע	h i m m u t͡s a
הניתוח	h i n i t u a χ
הפסד	h i f s e d
הצבאית	h i t͡s b a i t
הקיסר	h i k i s e ʁ
הקשורים	h i k ʃ o ʁ i m
התוצאות	h i t u t͡s a u t
ויצא	v i t͡s a
ומכאן	v i m k a n
יורה	j o ʁ a
כבודו	k a v u d u
כיסוי	k i s u j
כלכלה	k a l a χ l a
להקל	l a h a k e l
לטעון	l i t o n
לעת	l a a t
לקבלת	l i k b e l e t
לשר	l a ʃ a ʁ
לתל	l a t a l
מזהה	m i z h a
מיקי	m i k i
מלאים	m a l a j i m
נרצח	n i ʁ t͡s a χ
עקרונות	a k ʁ o n u t
שאינן	ʃ a i n a n
שיפור	ʃ i p u ʁ
תראי	t a ʁ a j
בינלאומי	b i n l a u m i
ברוח	b a ʁ u a χ
גנרל	ɡ a n ʁ a l
גרים	ɡ a ʁ i m
האנושית	h e e n u ʃ i t
הבעל	h i v a l
הברזל	h i v ʁ a z e l
הגמר	h i ɡ m e ʁ
הופכים	h o f χ i m
הכיר	h i χ i ʁ
המדרש	h i m d a ʁ e ʃ
המשותפת	h i m ʃ u t e f e t
הסכים	h i s k i m
הפליטים	h i f l i t i m
הצעירה	h i t͡s i ʁ a
הרשמי	h i ʁ ʃ e m i
השפעת	h i ʃ p a a t
התעשייה	h i t a ʃ i j a
ואילך	v e i l e χ
וי	v i
חזה	χ a z a
טרי	t a ʁ i
ירצה	j a ʁ a t͡s a
כיכר	k i k e ʁ
לאחת	l e a χ a t
לבעלי	l i v a l i
להסתיר	l e h i s t i ʁ
ליהנות	l i h a n u t
מימין	m i m i n
מעניינת	m a a n j a n t
משרה	m i ʃ ʁ a
נח	n a χ
עיתונאי	i t o n a j
ענקית	a n k i t
פנימית	p n i m i t
פרופיל	p ʁ o f i l
ראייה	ʁ a i j a
שנשאר	ʃ i n ʃ a ʁ
תגובות	t a ɡ u v u t
אלך	a l a χ
אמנון	a m n o n
ארז	a ʁ a z
באולם	b a u l a m
בוחרים	b o χ a ʁ i m
ביניהן	b i n j a n
דואר	d o a ʁ
דל	d a l
הבטחון	h i v t a χ o n
הבר	h a v a ʁ
הדואר	h i d u a ʁ
הלכת	h i l χ e t
המחוזי	h i m χ u z i
המפקד	h i m p e k e d
המתנה	h i m t a n a
הנמצא	h i n m a t͡s a
הפיתוח	h i f i t u a χ
הצפוני	h i t͡s p o n i
הרג	h a ʁ a ɡ
הרפואה	h i ʁ p u a
השרים	h i ʃ ʁ i m
התובע	h i t u b a
התחרות	h i t χ a ʁ u t
התחת	h i t χ e t
וטוב	v a t u v
זרה	z a ʁ a
חזון	χ a z o n
טורקיה	t o ʁ k j a
טיול	t i j u l
יושבת	j o ʃ e v e t
יפות	j a f u t
לאי	l a i
לגן	l a ɡ a n
למדו	l a m d u
לצערי	l i t͡s a ʁ i
לשאלה	l i ʃ a l a
מודל	m o d e l
מוטב	m o t e v
מילא	m i l a
נמנע	n i m n a
נפצע	n i f t͡s a
פיקוח	p i k u a χ
קדוש	k a d u ʃ
ראשוני	ʁ e ʃ o n i
רמי	ʁ a m i
שיוכל	ʃ i j u χ e l
שמיר	ʃ a m i ʁ
תומך	t o m e χ
my	m i
אליפות	a l i f u t
אלעזר	a l a z a ʁ
אפשרית	a f ʃ a ʁ i t
אשראי	a ʃ ʁ a j
בחלל	b a χ l a l
בינו	b i n u
בינוני	b i n o n i
דורון	d o ʁ o n
האפשר	h e e f ʃ e ʁ
הבריטים	h i v ʁ i t i m
הגרמנית	h i ɡ ʁ a m a n i t
החקלאות	h i χ k a l a u t
היחידים	h i χ i d i m
הכנסייה	h i χ n a s i j a
הכתיבה	h i χ t i v a
המשפחות	h i m ʃ p a χ u t
הסכמה	h i s k e m a
הקלטות	h i k l a t u t
השכונה	h i ʃ k o n a
התיקון	h i t i k o n
חומרי	χ o m a ʁ i
חוקית	χ o k i t
חושש	χ o ʃ e ʃ
חידוש	χ i d u ʃ
חלילה	χ a l i l a
חמודה	χ a m u d a
כשיש	k a ʃ i ʃ
להר	l a h a ʁ
לזכר	l i z k e ʁ
לחגוג	l a χ ɡ u ɡ
לכלל	l i χ l e l
לקרב	l a k ʁ a v
לשפר	l i ʃ p e ʁ
מוזמנים	m u z m a n i m
מספקת	m i s p e k e t
מקצועיים	m a k t͡s u a j i m
משמע	m i ʃ m a
משפטית	m i ʃ p a t i t
ניתנה	n i t a n a
סכין	s a χ i n
פינה	p i n a
שהדבר	ʃ a h a d b a ʁ
שכך	ʃ a χ a χ
שלל	ʃ a l a l
שקשה	ʃ a k ʃ a
אורחים	o ʁ a χ i m
בשטחים	b i ʃ t a χ i m
בתמונה	b i t m u n a
גדי	ɡ a d i
גרמה	ɡ a ʁ m a
דון	d o n
האבן	h e e v e n
האישית	h e i ʃ i t
הבגדים	h i v ɡ a d i m
הגברת	h i ɡ b e ʁ e t
החרדי	h e χ ʁ e d i
היער	h i a ʁ
המלאה	h i m l a
המסע	h i m s a
העניינים	e e n j a n i m
הצלחת	h i t͡s l a χ e t
הרוסית	h a ʁ u s i t
השכל	h i ʃ k e l
חובת	χ o v e t
חוות	χ a v a t
יעיל	j a i l
ירדו	j a ʁ d u
כבן	k a v a n
לאה	l a a
להגדיל	l e h i ɡ d i l
להתגבר	l e h i t ɡ a v e ʁ
לחשוף	l a χ ʃ u f
לחתום	l a χ t u m
לשתי	l i ʃ t i
מזו	m a z u
מתחילת	m i t χ i l e t
נמסר	n i m s a ʁ
נעימה	n e i m a
עוסקים	o s k i m
עילית	i l i t
עצה	a t͡s a
רובין	ʁ o v i n
רוצח	ʁ o t͡s a χ
שיצאו	ʃ i t͡s a u
תפיסת	t f i s e t
one	o n e
אובמה	o v a m a
אשכנזי	a ʃ χ a n z i
בוחר	b o χ a ʁ
בידו	b i d u
ברכב	b a ʁ χ a v
בתחומים	b i t χ u m i m
דוגמא	d o ɡ m a
דרמה	d a ʁ m a
הגשם	h i ɡ ʃ e m
המבחן	h i m b a χ a n
המכונית	h i m k o n i t
המקומיות	h i m k o m j u t
המקורית	h i m k o ʁ i t
המקרא	h i m k a ʁ a
המשיכה	h i m ʃ i χ a
הנזק	h i n z e k
הסיפורים	h i s i p o ʁ i m
הסתיים	h i s t a j i m
השקט	h i ʃ k e t
התפילה	h i t p i l a
ויום	v i j u m
זול	z o l
חולון	χ o l o n
חור	χ o ʁ
חיילי	χ a j a l i
חמישים	χ a m i ʃ i m
חשבונות	χ a ʃ b o n u t
טילים	t i l i m
ידיעה	j a d i a
יקבלו	j a k b a l u
להטיל	l e h a t i l
להתחתן	l e h i t χ a t e n
לייב	l a j a v
לשקר	l i ʃ k e ʁ
מאידך	m e i d e χ
מחלת	m a χ l a t
מייל	m a j a l
מיליוני	m i l j o n i
מלכי	m a l χ i
מרן	m a ʁ a n
משלמים	m i ʃ l a m i m
משתנים	m i ʃ t a n i m
נורה	n o ʁ a
נקראת	n i k ʁ a t
סר	s a ʁ
עדויות	a d u j u t
עודד	o d e d
קהילות	k a h i l u t
קהילת	k a h i l e t
קלים	k a l i m
תהיי	t a h a j
תוהה	t o h a
תפסיק	t a f s i k
אדמות	a d a m u t
אחריי	a χ ʁ a j
אלכס	a l χ a s
בגדר	b a ɡ d a ʁ
בליל	b a l i l
ברדיו	b a ʁ a d j u
בריאה	b ʁ i a
ברלין	b a ʁ l i n
ברשימת	b a ʁ ʃ i m e t
גור	ɡ o ʁ
הארצי	h e e ʁ a t͡s i
הגרעין	h i ɡ ʁ a i n
הדלק	h i d l e k
הימין	h i m i n
הלכות	h i l χ u t
הניסיון	h i n i s j o n
הספיק	h i s p i k
העבירה	e e v i ʁ a
הצדק	h i t͡s d e k
השינויים	h i ʃ i n u j i m
השמות	h i ʃ m u t
השמים	h i ʃ m i m
השתמשו	h i ʃ t a m ʃ u
התחנה	h i t χ a n a
התלמוד	h i t l a m u d
ומספר	v i m s p e ʁ
חברתיות	χ a v ʁ a t j u t
כשאת	k a ʃ a t
כשזה	k a ʃ a z a
לזרוק	l i z ʁ o k
ליותר	l i j u t e ʁ
מדיני	m a d i n i
מחברי	m a χ b a ʁ i
מחשבים	m a χ ʃ a v i m
מייק	m a j a k
מיץ	m i t͡s
משלוח	m i ʃ l u a χ
נוטה	n o t a
נכנסה	n i χ n a s a
נסגר	n i s ɡ a ʁ
נע	n a
סוכן	s o χ a n
עלות	a l u t
פעלו	p a a l u
פרשנות	p a ʁ ʃ a n u t
קולה	k o l a
קטעים	k a t a i m
שדות	ʃ a d u t
תלך	t a l a χ
תקיפה	t k i f a
אדומים	a d u m i m
אמיתיים	a m i t a j i m
ארבעת	a ʁ b a a t
בגד	b a ɡ a d
ברי	b a ʁ i
גורדון	ɡ o ʁ d o n
דוגמת	d o ɡ e m e t
דיוק	d i j u k
דינו	d i n u
הבשר	h i v ʃ e ʁ
הגדרה	h i ɡ d a ʁ a
הזהות	h i z h u t
הסיכון	h i s i χ o n
העיקריים	h e i k ʁ a j i m
העיתונות	h e i t o n u t
הפגישה	h i f ɡ i ʃ a
הצבע	h i t͡s b a
הצטרף	h i t͡s t a ʁ e f
הקבוע	h i k b u a
הרביעית	h i ʁ b i i t
הרגיש	h i ʁ ɡ i ʃ
הרחבה	h i ʁ χ a v a
התביעה	h i t b i a
התמיכה	h i t m i χ a
וקשה	v a k ʃ a
חבורה	χ a v u ʁ a
חלקה	χ a l a k a
חנוך	χ a n u χ
יישוב	j i ʃ u v
כראש	k a ʁ a ʃ
להיפגש	l e h i p e ɡ e ʃ
לחברות	l a χ b a ʁ u t
מסמכים	m a s m a χ i m
מקל	m a k a l
נהיגה	n e h i ɡ a
נחת	n a χ a t
ניסוי	n i s u j
ניצב	n i t͡s e v
נפלאה	n i f l a
סימון	s i m o n
עניינים	a n j a n i m
עצי	a t͡s i
ערי	a ʁ i
פליטים	p l i t i m
צעדים	t͡s a a d i m
קומה	k o m a
ריכוז	ʁ i χ u z
שמענו	ʃ i m a n u
תשכח	t i ʃ k e a χ
תשמע	t i ʃ m a
אחמד	a χ m a d
אפ	a f
בביצוע	b e v i t͡s u a
דודי	d o d i
ההון	h a h o n
הידיעה	h i d i a
הכתב	h i χ t e v
המטה	h i m t a
הממונה	h i m m o n a
המסר	h i m s e ʁ
הערה	e e ʁ a
הפתעה	h i f t a a
הקלה	h i k l a
חוויה	χ a v j a
חולי	χ o l i
חוש	χ o ʃ
חיצוני	χ i t͡s o n i
יצירות	j e t͡s i ʁ u t
להתערב	l e h i t a ʁ e v
ליה	l i j a
ליין	l a j a n
לקו	l a k o
לשרוד	l i ʃ ʁ u d
לתנועה	l i t n u a
מוצר	m o t͡s a ʁ
מלמעלה	m a l m a l a
מפת	m a f a t
ניצול	n i t͡s u l
נשארת	n i ʃ a ʁ e t
סקוט	s k u t
סתום	s a t u m
עוצמה	o t͡s m a
עיבוד	i b u d
פוטר	p o t e ʁ
פיזית	p i z i t
פרידמן	p ʁ i d m a n
רמון	ʁ a m o n
שבעת	ʃ a v a a t
שרוב	ʃ a ʁ u v
אחריהם	a χ ʁ i j a m
בטן	b a t a n
בשיטת	b e ʃ i t e t
גרסה	ɡ a ʁ s a
דחה	d a χ a
דרש	d a ʁ a ʃ
הבטיח	h i v t i a χ
הכבד	h i χ v e d
הנפט	h i n p e t
הקשרים	h i k ʃ a ʁ i m
הרגיל	h i ʁ ɡ i l
הרדיו	h a ʁ d j u
השטחים	h i ʃ t a χ i m
חודשי	χ o d e ʃ i
חשוד	χ a ʃ u d
כו	k o
לחוף	l a χ u f
לטיול	l i t j u l
למסע	l i m s a
לשאר	l i ʃ a ʁ
מחלקה	m a χ l a k a
מעיד	m e i d
מריה	m a ʁ j a
מרכזית	m a ʁ k a z i t
נולדה	n o l a d a
נישואין	n i ʃ u i n
נכשל	n i χ ʃ e l
סיפרה	s i p ʁ a
סנט	s a n a t
ענין	a n i n
קושי	k o ʃ i
קריירה	k ʁ a j a ʁ a
רומא	ʁ o m a
רן	ʁ a n
שיחת	ʃ i χ e t
שמירת	ʃ m i ʁ e t
תנסה	t a n s a
אביך	a v i χ
אזי	a z i
אחותו	a χ u t u
אמצעים	a m t͡s a i m
אנושית	a n u ʃ i t
ארד	a ʁ a d
ארתור	a ʁ t u ʁ
בגמר	b a ɡ m a ʁ
בהיר	b e h i ʁ
ביער	b i a ʁ
ביקר	b i k e ʁ
במילה	b e m i l a
בנושאי	b e n u ʃ a j
בקנה	b a k a n a
ברצח	b a ʁ t͡s a χ
בשידור	b e ʃ i d u ʁ
בשיטה	b e ʃ i t a
גיליתי	ɡ i l i t i
האבות	h e e v u t
הגידול	h i ɡ i d u l
הזדמנויות	h i z d e m a n u j u t
הזמנה	h i z m a n a
הכלי	h i χ l i
המצרים	h i m t͡s a ʁ i m
הצער	h i t͡s a ʁ
הקדושים	h i k d u ʃ i m
הקריאה	h i k ʁ i a
השירותים	h i ʃ i ʁ u t i m
ויכוח	v i χ u a χ
חשיפה	χ a ʃ i f a
חשמלי	χ a ʃ m a l i
טוני	t o n i
טעויות	t a u j u t
טענו	t a a n u
יכלה	j a χ l a
יצאנו	j a t͡s a n u
יצטרך	j i t͡s t a ʁ a χ
לארגן	l e a ʁ ɡ a n
לזכויות	l i z k o j u t
לנגן	l i n ɡ a n
מהרה	m a a ʁ a
מילר	m i l e ʁ
מתגלה	m i t ɡ a l a
מתקיים	m i t k a j i m
נוצרים	n o t͡s a ʁ i m
נתחיל	n i t χ i l
עבורי	a v u ʁ i
עוצר	o t͡s a ʁ
עצמות	a t͡s m u t
פלילי	p l i l i
פס	p a s
צפונה	t͡s a f o n a
קונים	k o n i m
