deus	d ew s
being	b e ĩ ɡ
border	b o ʁ d e ɹ
bundão	b ũ d ɐ̃w̃
compartilhamos	k õ p ɐ ɹ t ʃ i ʎ ɐ̃ m u s
crowley	k ɾ ow l e i
defense	d e f ẽ s i
deletar	d e l e t ɐ ɹ
deli	d e l i
door	d o o ɹ
elfos	ɛw f u s
fb	f b
hashtags	ɐ ʃ t ɐ ɡ s
islands	i s l ɐ̃ d ʒ s
legends	l e ʒ ẽ d ʒ s
lindamente	l ĩ d ɐ m ẽ t ʃ i
msm	m z m
multimédia	m u w t ʃ ĩ m ɛ d ʒ i ɐ
october	o k t o b e ɹ
odiei	o d ʒ i ej
omã	o m ɐ̃
planeado	p l ɐ n e ɐ d u
rapido	ʁ ɐ p i d u
sounds	s ow n d ʒ s
tolkien	t ow k i ẽ
unicórnio	ũ n i k ɔ ʁ n i u
utc	u t ʃ k
zombie	z õ b i
actualização	ɐ k t u ɐ l i z ɐ s ɐ̃w̃
algures	ɐw ɡ u ɾ i s
backup	b ɐ k k u p
banners	b ɐ̃ n e ɹ s
bring	b ɾ ĩ ɡ
connor	k õ n o ɹ
create	k ɾ e ɐ t ʃ i
deixarei	d ej ʃ ɐ ɾ ej
escutem	e s k u t ẽj̃
fallen	f ɐw l ẽ
fodam	f o d ɐ̃w̃
fofinho	f o f ĩ ɲ u
found	f ow n d ʒ
hackear	ɐ k k e ɐ ɹ
ias	i ɐ s
incomodada	ĩ k o m o d ɐ d ɐ
jogabilidade	ʒ o ɡ ɐ b i l i d ɐ d ʒ i
lovato	l o v ɐ t u
military	m i l i t ɐ ɹ i
mx	m k s
november	n o v ẽ b e ɹ
playlist	p l ɐ i l i s t ʃ
preparações	p ɾ e p ɐ ɾ ɐ s õj̃ s
quilombolas	k j l õ b o l ɐ s
shield	ʃ i ew d ʒ
soo	s o u
stp	s t ʃ p
supergirl	s u p e ʁ ʒ i ɹ w
users	u z e ɹ s
wedding	w e d ʒ d ʒ ĩ ɡ
wwe	w w i
acta	ɐ k t ɐ
actuar	ɐ k t u ɐ ɹ
afecta	ɐ f e k t ɐ
anatomy	ɐ n ɐ t õ i
aquí	ɐ k i
arquitecto	ɐ ɹ k j t e k t u
assassínio	ɐ s ɐ s i n i u
baixei	b ɐj ʃ ej
balance	b ɐ l ɐ̃ s i
cases	k ɐ z i s
crónicas	k ɾ ɔ n i k ɐ s
dd	d ʒ d ʒ
devon	d e v õ
eminem	e m ĩ n ẽj̃
ensinei	ẽ s ĩ n ej
estrias	e s t ɾ i ɐ s
gaby	ɡ ɐ b i
groups	ɡ ɾ ow p s
historial	i s t o ɾ i ɐw
jess	ʒ e s
laboral	l ɐ b o ɾ ɐw
localizações	l o k ɐ l i z ɐ s õj̃ s
makes	m ɐ k i s
msc	m s k
ngc	n ɡ k
patch	p ɐ t ʃ ʃ
paypal	p ɐ i p ɐw
phoebe	f o e b i
piroca	p i ɾ o k ɐ
povoação	p o v o ɐ s ɐ̃w̃
terramoto	t e ʁ ɐ m o t u
truck	t ɾ u k k
vampira	v ɐ̃ p i ɾ ɐ
versículo	v e ɹ s i k u l u
vitimas	v i t ʃ ĩ m ɐ s
airport	ɐj ɹ p o ɹ t ʃ
aj	ɐ ʒ
alferes	ɐw f e ɾ i s
brt	b ɹ t ʃ
build	b uj w d ʒ
cn	k n
confidencialidade	k õ f i d ẽ s i ɐ l i d ɐ d ʒ i
congelador	k õ ʒ e l ɐ d o ɹ
consegues	k õ s e ɡ i s
csiro	k s i ɾ u
else	ɛw s i
event	e v ẽ t ʃ
gossip	ɡ o s i p
gu	ɡ u
inspecção	ĩ s p e k s ɐ̃w̃
internauta	ĩ t e ʁ n ɐw t ɐ
joanesburgo	ʒ o ɐ n e z b u ʁ ɡ u
kk	k k
kms	k m s
mamar	m ɐ m ɐ ɹ
mn	m n
myspace	m i s p ɐ s i
nom	n õ
nude	n u d ʒ i
odin	o d ʒ ĩ
pays	p ɐ i s
planear	p l ɐ n e ɐ ɹ
presentemente	p ɾ e z ẽ t e m ẽ t ʃ i
promo	p ɾ õ m u
proprio	p ɾ o p ɾ i u
shakira	ʃ ɐ k i ɾ ɐ
ultimos	u w t ʃ ĩ m u s
wo	w u
adicionados	ɐ d ʒ i s i o n ɐ d u s
afectar	ɐ f e k t ɐ ɹ
bolt	b ow t ʃ
bugs	b u ɡ s
calculo	k ɐw k u l u
coríntios	k o ɾ ĩ t ʃ i u s
delivery	d e l i v e ɹ i
demasiadas	d e m ɐ z i ɐ d ɐ s
dev	d e v
digas	d ʒ i ɡ ɐ s
eileen	ej l e ẽ
extensivamente	e s t ẽ s i v ɐ m ẽ t ʃ i
fenómenos	f e n ɔ m e n u s
fodida	f o d ʒ i d ɐ
fossemos	f o s ẽ m u s
kanye	k ɐ̃ j i
nenhumas	n e ɲ ũ m ɐ s
neném	n e n ẽj̃
partilham	p ɐ ɹ t ʃ i ʎ ɐ̃w̃
pcp	p k p
perdoo	p e ʁ d o u
puzzle	p u z z l i
rama	ʁ ɐ̃ m ɐ
ronaldinho	ʁ o n ɐw d ʒ ĩ ɲ u
root	ʁ o o t ʃ
sininho	s ĩ n ĩ ɲ u
stacey	s t ɐ s e i
thorne	t o ʁ n i
troll	t ɾ ow w
tutoriais	t u t o ɾ i ɐj s
vao	v ɐw
vens	v ẽ s
vo	v u
wheeler	w e e l e ɹ
wife	w i f i
adivinhem	ɐ d ʒ i v ĩ ɲ ẽj̃
alí	ɐ l i
amasse	ɐ m ɐ s i
anã	ɐ n ɐ̃
bombar	b õ b ɐ ɹ
bones	b õ n i s
caraíbas	k ɐ ɾ ɐ i b ɐ s
cheryl	ʃ e ɹ iw
congress	k õ ɡ ɾ e s
conseqüentemente	k õ s e k w ẽ t e m ẽ t ʃ i
csa	k s ɐ
does	d o i s
ebola	e b o l ɐ
esquecerei	e s k e s e ɾ ej
flex	f l e k s
gaja	ɡ ɐ ʒ ɐ
gamer	ɡ ɐ m e ɹ
lactose	l ɐ k t o z i
luthor	l u t o ɹ
mat	m ɐ t ʃ
networking	n e t ʃ w o ɹ k ĩ ɡ
networks	n e t ʃ w o ɹ k s
oo	o u
pages	p ɐ ʒ i s
pegadinha	p e ɡ ɐ d ʒ ĩ ɲ ɐ
plc	p w k
proud	p ɾ ow d ʒ
quote	k o t ʃ i
range	ʁ ɐ̃ ʒ i
removendo	ʁ e m o v ẽ d u
sensu	s ẽ s u
sor	s o ɹ
stiles	s t ʃ i l i s
sénior	s ɛ n i o ɹ
tweetou	t ʃ w e e t ow
while	w i l i
agregador	ɐ ɡ ɾ e ɡ ɐ d o ɹ
amorzinho	ɐ m o ʁ z ĩ ɲ u
avec	ɐ v e k
blogueiras	b l o ɡ ej ɾ ɐ s
camiões	k ɐ m i õj̃ s
comentarios	k o m ẽ t ɐ ɾ i u s
darren	d ɐ ʁ ẽ
dash	d ɐ ʃ
dás	d ɐ s
feels	f e ew s
frodo	f ɾ o d u
fury	f u ɹ i
lanço	l ɐ̃ s u
lda	w d ɐ
libertad	l i b e ɹ t ɐ d ʒ
lugo	l u ɡ u
machuquei	m ɐ ʃ u k ej
mandy	m ɐ̃ d ʒ i
mariah	m ɐ ɾ i ɐ
mer	m e ɹ
merkel	m e ɹ k ɛw
nemo	n ẽ m u
periodo	p e ɾ i o d u
primer	p ɾ ĩ m e ɹ
proximo	p ɾ o ʃ ĩ m u
resiliência	ʁ e z i l i ẽ s i ɐ
since	s ĩ s i
solutions	s o l u t ʃ i õ s
toffoli	t o f f o l i
tpm	t ʃ p m
acrônimo	ɐ k ɾ o n ĩ m u
ashton	ɐ ʃ t õ
avisem	ɐ v i z ẽj̃
bato	b ɐ t u
bea	b e ɐ
because	b e k ɐw z i
broadcast	b ɾ o ɐ d ʒ k ɐ s t ʃ
caleb	k ɐ l e b
cis	s i j s
devias	d e v i ɐ s
effect	e f f e k t ʃ
elegíveis	e l e ʒ i v ej s
eléctrico	e l ɛ k t ɾ i k u
engine	ẽ ʒ ĩ n i
evo	e v u
feitiços	f ej t ʃ i s u s
flip	f l i p
gta	ɡ t ɐ
hermione	e ʁ m i õ n i
impossivel	ĩ p o s i v ɛw
int	ĩ t ʃ
karate	k ɐ ɾ ɐ t ʃ i
liberte	l i b e ɹ t ʃ i
muay	m u ɐ i
odeie	o d ej i
paises	p ɐj z i s
pixel	p i ʃ ɛw
portugues	p o ɹ t u ɡ i s
process	p ɾ o s e s
reportou	ʁ e p o ɹ t ow
results	ʁ e z u w t ʃ s
revenge	ʁ e v ẽ ʒ i
shah	ʃ ɐ
should	ʃ ow w d ʒ
slade	s l ɐ d ʒ i
trap	t ɾ ɐ p
trolls	t ɾ ow w s
tuitando	t uj t ɐ̃ d u
webcam	w e b k ɐ̃w̃
yankees	j ɐ̃ k e i s
adoptar	ɐ d o p t ɐ ɹ
alvalade	ɐw v ɐ l ɐ d ʒ i
arde	ɐ ʁ d ʒ i
biocombustíveis	b i o k õ b u s t ʃ i v ej s
cent	s ẽ t ʃ
cheirinho	ʃ ej ɾ ĩ ɲ u
comentario	k o m ẽ t ɐ ɾ i u
conhecermos	k o ɲ e s e ʁ m u s
csi	k s i
deveras	d e v e ɾ ɐ s
dios	d ʒ i u s
direction	d ʒ i ɾ e k t ʃ i õ
disseste	d ʒ i s e s t ʃ i
doha	d o ɐ
enganei	ẽ ɡ ɐ n ej
eugénio	ew ʒ ɛ n i u
government	ɡ o v e ʁ n m ẽ t ʃ
gracias	ɡ ɾ ɐ s i ɐ s
gratis	ɡ ɾ ɐ t ʃ i j s
hara	ɐ ɾ ɐ
inapropriado	ĩ n ɐ p ɾ o p ɾ i ɐ d u
jasmine	ʒ ɐ z m ĩ n i
korea	k o ɾ e ɐ
lewandowski	l ew ɐ̃ d ow s k i
lucero	l u s e ɾ u
mianmar	m i ɐ̃ m ɐ ɹ
otimo	o t ʃ ĩ m u
permissões	p e ʁ m i s õj̃ s
pilot	p i l o t ʃ
pls	p w s
redacção	ʁ e d ɐ k s ɐ̃w̃
respire	ʁ e s p i ɾ i
samu	s ɐ m u
sequencia	s e k ẽ s i ɐ
socioambiental	s o s i o ɐ̃ b i ẽ t ɐw
soundcloud	s ow n d ʒ k l ow d ʒ
timberlake	t ʃ ĩ b e ɹ l ɐ k i
topics	t o p i k s
transito	t ɾ ɐ̃ z i t u
vorazes	v o ɾ ɐ z i s
waiting	w ɐj t ʃ ĩ ɡ
www	w w
youtuber	j ow t u b e ɹ
abby	ɐ b b i
active	ɐ k t ʃ i v i
anónimo	ɐ n ɔ n ĩ m u
asian	ɐ z i ɐ̃
assente	ɐ s ẽ t ʃ i
ativada	ɐ t ʃ i v ɐ d ɐ
blogosfera	b l o ɡ o s f e ɾ ɐ
bow	b ow
bónus	b ɔ n u s
cluster	k l u s t e ɹ
comment	k õ m ẽ t ʃ
concelhos	k õ s e ʎ u s
contate	k õ t ɐ t ʃ i
cusco	k u s k u
delhi	d e ʎ i
esto	e s t u
falecidos	f ɐ l e s i d u s
female	f e m ɐ l i
focadas	f o k ɐ d ɐ s
gateway	ɡ ɐ t ew ɐ i
hobbit	o b b i t ʃ
jojo	ʒ o ʒ u
katrina	k ɐ t ɾ ĩ n ɐ
kun	k ũ
lectivo	l e k t ʃ i v u
mbl	m b w
moscow	m o s k ow
mónica	m ɔ n i k ɐ
nations	n ɐ t ʃ i õ s
oferendas	o f e ɾ ẽ d ɐ s
osama	ɔ z ɐ̃ m ɐ
pendrive	p ẽ d ɾ i v i
poco	p o k u
podcasts	p o d ʒ k ɐ s t ʃ s
reflectir	ʁ e f l e k t ʃ i ɹ
sasuke	s ɐ z u k i
sign	s i ɡ n
soy	s o i
support	s u p p o ɹ t ʃ
talibã	t ɐ l i b ɐ̃
tiveres	t ʃ i v e ɾ i s
translation	t ɾ ɐ̃ s l ɐ t ʃ i õ
ty	t ʃ i
used	u z e d ʒ
veneração	v e n e ɾ ɐ s ɐ̃w̃
vibrador	v i b ɾ ɐ d o ɹ
winner	w ĩ n e ɹ
arrume	ɐ ʁ ũ m i
beijing	b ej ʒ ĩ ɡ
benedict	b e n e d ʒ i k t ʃ
bluetooth	b l u e t o o t ʃ
bottom	b o t ʃ t õ
camião	k ɐ m i ɐ̃w̃
casaria	k ɐ z ɐ ɾ i ɐ
chronicles	ʃ ɾ o n i k l i s
cleo	k l e u
coelhinho	k o e ʎ ĩ ɲ u
compartilho	k õ p ɐ ɹ t ʃ i ʎ u
cory	k o ɹ i
córtex	k ɔ ɹ t e k s
deluxe	d e l u k s i
descubram	d e s k u b ɾ ɐ̃w̃
done	d õ n i
durona	d u ɾ õ n ɐ
défice	d ɛ f i s i
estavas	e s t ɐ v ɐ s
famous	f ɐ m ow s
fisica	f i z i k ɐ
frontier	f ɾ õ t ʃ i e ɹ
gmail	ɡ m ɐj w
gnu	ɡ n u
hastings	ɐ s t ʃ ĩ ɡ s
hidden	i d ʒ d ẽ
hidrográficas	i d ɾ o ɡ ɾ ɐ f i k ɐ s
informamos	ĩ f o ʁ m ɐ̃ m u s
kick	k i k k
leitte	l ej t ʃ t ʃ i
libre	l i b ɾ i
lucifer	l u s i f e ɹ
melinda	m e l ĩ d ɐ
meo	m e u
movement	m o v e m ẽ t ʃ
multiplayer	m u w t ʃ i p l ɐj e ɹ
paige	p ɐj ʒ i
pequenina	p e k e n ĩ n ɐ
postam	p o s t ɐ̃w̃
problems	p ɾ o b l ẽ s
provê	p ɾ o v e
pts	p t ʃ s
push	p u ʃ
reacções	ʁ e ɐ k s õj̃ s
regista	ʁ e ʒ i s t ɐ
selfie	s ew f i
shiva	ʃ i v ɐ
shock	ʃ o k k
talita	t ɐ l i t ɐ
twice	t ʃ w i s i
within	w i t ĩ
acalme	ɐ k ɐw m i
antioquia	ɐ̃ t ʃ i o k j ɐ
apuramento	ɐ p u ɾ ɐ m ẽ t u
aspeto	ɐ s p e t u
betão	b e t ɐ̃w̃
bombardeamento	b õ b ɐ ʁ d e ɐ m ẽ t u
calem	k ɐ l ẽj̃
canso	k ɐ̃ s u
castelão	k ɐ s t e l ɐ̃w̃
coldplay	k ow d ʒ p l ɐ i
colmeia	k ow m ej ɐ
dao	d ɐw
efectuado	e f e k t u ɐ d u
ensinada	ẽ s ĩ n ɐ d ɐ
español	e s p ɐ ɲ ɔ w
fate	f ɐ t ʃ i
focal	f o k ɐw
gemma	ʒ ẽ m ɐ
habitável	ɐ b i t ɐ v ew
hasta	ɐ s t ɐ
hear	e ɐ ɹ
ingles	ĩ ɡ l i s
insectos	ĩ s e k t u s
january	ʒ ɐ n u ɐ ɹ i
judá	ʒ u d ɐ
lai	l ɐj
matosinhos	m ɐ t o z ĩ ɲ u s
menti	m ẽ t ʃ i
nano	n ɐ̃ n u
neural	n ew ɾ ɐw
ordenando	o ʁ d e n ɐ̃ d u
peguem	p e ɡ ẽj̃
plays	p l ɐ i s
practice	p ɾ ɐ k t ʃ i s i
propensas	p ɾ o p ẽ s ɐ s
rowling	ʁ ow l ĩ ɡ
sac	s ɐ k
sakura	s ɐ k u ɾ ɐ
sirius	s i ɾ iw s
snake	s n ɐ k i
sparrow	s p ɐ ʁ ow
thought	t ow ɡ t ʃ
trial	t ɾ i ɐw
vettel	v e t ʃ t ɛw
viciante	v i s i ɐ̃ t ʃ i
voldemort	v ow d e m o ɹ t ʃ
alargada	ɐ l ɐ ʁ ɡ ɐ d ɐ
alargado	ɐ l ɐ ʁ ɡ ɐ d u
aprontando	ɐ p ɾ õ t ɐ̃ d u
auditivo	ɐw d ʒ i t ʃ i v u
boleia	b o l ej ɐ
bu	b u
buena	b u ẽ n ɐ
cadastre	k ɐ d ɐ s t ɾ i
cass	k ɐ s
cirílico	s i ɾ i l i k u
conectam	k o n e k t ɐ̃w̃
eike	ej k i
experiencia	e s p e ɾ i ẽ s i ɐ
falares	f ɐ l ɐ ɾ i s
faças	f ɐ s ɐ s
gabe	ɡ ɐ b i
gaming	ɡ ɐ m ĩ ɡ
gee	ʒ e i
houveram	ow v e ɾ ɐ̃w̃
inspector	ĩ s p e k t o ɹ
lambda	l ɐ̃ b d ɐ
lis	l i j s
maite	m ɐj t ʃ i
opportunity	o p p o ɹ t ũ n i t ʃ i
patty	p ɐ t ʃ t ʃ i
planejo	p l ɐ n e ʒ u
plugin	p l u ʒ ĩ
postaram	p o s t ɐ ɾ ɐ̃w̃
propria	p ɾ o p ɾ i ɐ
psl	p s w
rdc	ʁ d ʒ k
thinking	t ĩ k ĩ ɡ
title	t ʃ i t l i
tiveste	t ʃ i v e s t ʃ i
torrent	t o ʁ ẽ t ʃ
trending	t ɾ ẽ d ʒ ĩ ɡ
zip	z i p
aaa	ɐ ɐ ɐ
amarante	ɐ m ɐ ɾ ɐ̃ t ʃ i
andaluzia	ɐ̃ d ɐ l u z i ɐ
ans	ɐ̃ s
ative	ɐ t ʃ i v i
boot	b o o t ʃ
cerimónias	s e ɾ ĩ m ɔ n i ɐ s
cities	s i t ʃ i i s
cnj	k n ʒ
conecte	k o n e k t ʃ i
credito	k ɾ e d ʒ i t u
crush	k ɾ u ʃ
cullen	k u w l ẽ
debut	d e b u t ʃ
dezasseis	d e z ɐ s ej s
dong	d õ ɡ
dw	d ʒ w
eléctricos	e l ɛ k t ɾ i k u s
existo	e z i s t u
fans	f ɐ̃ s
ferrou	f e ʁ ow
flickr	f l i k k ɹ
focou	f o k ow
humidade	ũ m i d ɐ d ʒ i
identifiquei	i d ẽ t ʃ i f i k ej
incrivel	ĩ k ɾ i v ɛw
islam	i s l ɐ̃w̃
landing	l ɐ̃ d ʒ ĩ ɡ
mayra	m ɐ i ɾ ɐ
milhoes	m i ʎ o i s
milénio	m i l ɛ n i u
minta	m ĩ t ɐ
nuevo	n u e v u
pegas	p e ɡ ɐ s
pharrell	f ɐ ʁ ew w
politécnico	p o l i t ɛ k n i k u
setas	s e t ɐ s
survivor	s u ʁ v i v o ɹ
vih	v i
wire	w i ɾ i
yin	j ĩ
aceites	ɐ s ej t ʃ i s
agregando	ɐ ɡ ɾ e ɡ ɐ̃ d u
albufeira	ɐw b u f ej ɾ ɐ
aniversario	ɐ n i v e ɹ s ɐ ɾ i u
aprox	ɐ p ɾ o k s
bolton	b ow t õ
came	k ɐ̃ m i
cne	k n i
cocó	k o k ɔ
confiado	k õ f i ɐ d u
culpe	k u w p i
davy	d ɐ v i
desejei	d e z e ʒ ej
domino	d o m ĩ n u
espectacular	e s p e k t ɐ k u l ɐ ɹ
esqueças	e s k e s ɐ s
estavamos	e s t ɐ v ɐ̃ m u s
fail	f ɐj w
false	f ɐw s i
fores	f o ɾ i s
geleia	ʒ e l ej ɐ
grite	ɡ ɾ i t ʃ i
guião	ɡ j ɐ̃w̃
haley	ɐ l e i
hamster	ɐ̃ s t e ɹ
hindi	ĩ d ʒ i
jenner	ʒ ẽ n e ɹ
machucam	m ɐ ʃ u k ɐ̃w̃
mamães	m ɐ m ɐ̃j̃ s
marijuana	m ɐ ɾ i ʒ u ɐ̃ n ɐ
millie	m iw l i
minutes	m ĩ n u t ʃ i s
olive	o l i v i
redetv	ʁ e d e t ʃ v
rule	ʁ u l i
scene	s s ẽ n i
segurei	s e ɡ u ɾ ej
suv	s u v
unity	ũ n i t ʃ i
zach	z ɐ ʃ
zoando	z o ɐ̃ d u
óptimo	ɔ p t ʃ ĩ m u
alexa	ɐ l e k s ɐ
andressa	ɐ̃ d ɾ e s ɐ
andrey	ɐ̃ d ɾ e i
apertei	ɐ p e ɹ t ej
arc	ɐ ɹ k
avaria	ɐ v ɐ ɾ i ɐ
bf	b f
biomas	b i õ m ɐ s
biosfera	b i o s f e ɾ ɐ
blogues	b l o ɡ i s
charts	ʃ ɐ ɹ t ʃ s
cookies	k o o k i i s
dio	d ʒ i u
divergente	d ʒ i v e ʁ ʒ ẽ t ʃ i
dolares	d o l ɐ ɾ i s
dragons	d ɾ ɐ ɡ õ s
dst	d ʒ s t ʃ
eduarda	e d u ɐ ʁ d ɐ
egg	e ɡ ɡ
error	e ʁ o ɹ
führer	f w ɾ e ɹ
gajas	ɡ ɐ ʒ ɐ s
iot	i o t ʃ
joker	ʒ o k e ɹ
jugoslávia	ʒ u ɡ o s l ɐ v i ɐ
jure	ʒ u ɾ i
lutem	l u t ẽj̃
marsh	m ɐ ɹ ʃ
mereces	m e ɾ e s i s
minsk	m ĩ s k
nicky	n i k k i
nueva	n u e v ɐ
oq	o k
orçamental	o ɹ s ɐ m ẽ t ɐw
paranoia	p ɐ ɾ ɐ n oj ɐ
patriarcado	p ɐ t ɾ i ɐ ɹ k ɐ d u
phelps	f ew p s
pilates	p i l ɐ t ʃ i s
primariamente	p ɾ ĩ m ɐ ɾ i ɐ m ẽ t ʃ i
protocol	p ɾ o t o k ɔ w
proxima	p ɾ o ʃ ĩ m ɐ
quântico	k w ɐ̃ t ʃ i k u
rastreio	ʁ ɐ s t ɾ ej u
roteador	ʁ o t e ɐ d o ɹ
sia	s i ɐ
sniper	s n i p e ɹ
subimos	s u b ĩ m u s
sup	s u p
tuíte	t u i t ʃ i
tú	t u
vevo	v e v u
application	ɐ p p l i k ɐ t ʃ i õ
architecture	ɐ ɹ ʃ i t e k t u ɾ i
aw	ɐw
baja	b ɐ ʒ ɐ
bts	b t ʃ s
camden	k ɐ̃ d ẽ
cassie	k ɐ s i
catequese	k ɐ t e k e z i
certificada	s e ɹ t ʃ i f i k ɐ d ɐ
cimo	s ĩ m u
clinica	k l ĩ n i k ɐ
colónias	k o l ɔ n i ɐ s
dhabi	d ɐ b i
dojo	d o ʒ u
día	d i ɐ
erin	e ɾ ĩ
evolution	e v o l u t ʃ i õ
extracção	e s t ɾ ɐ k s ɐ̃w̃
fieis	f i ej s
gemendo	ʒ e m ẽ d u
hazel	ɐ z ɛw
homofóbica	o m o f ɔ b i k ɐ
insira	ĩ s i ɾ ɐ
insurgentes	ĩ s u ʁ ʒ ẽ t ʃ i s
jace	ʒ ɐ s i
jarvis	ʒ ɐ ʁ v i j s
jude	ʒ u d ʒ i
juliet	ʒ u l i e t ʃ
knock	k n o k k
lavo	l ɐ v u
libertem	l i b e ɹ t ẽj̃
lukas	l u k ɐ s
maddie	m ɐ d ʒ d ʒ i
meghan	m e ɡ ɐ̃
message	m e s ɐ ʒ i
mta	m t ɐ
orando	o ɾ ɐ̃ d u
ore	o ɾ i
others	o t e ɹ s
path	p ɐ t ʃ
politicas	p o l i t ʃ i k ɐ s
portimão	p o ɹ t ʃ ĩ m ɐ̃w̃
preocupes	p ɾ e o k u p i s
promise	p ɾ o m i z i
pás	p ɐ s
reconheci	ʁ e k o ɲ e s i
reflecte	ʁ e f l e k t ʃ i
reparem	ʁ e p ɐ ɾ ẽj̃
reportado	ʁ e p o ɹ t ɐ d u
sanford	s ɐ̃ f o ʁ d ʒ
shift	ʃ i f t ʃ
siege	s i e ʒ i
sinónimo	s ĩ n ɔ n ĩ m u
supernatural	s u p e ʁ n ɐ t u ɾ ɐw
tp	t ʃ p
transfer	t ɾ ɐ̃ s f e ɹ
valdivia	v ɐw d ʒ i v i ɐ
vlog	v l o ɡ
amarei	ɐ m ɐ ɾ ej
among	ɐ m õ ɡ
archives	ɐ ɹ ʃ i v i s
brenner	b ɾ ẽ n e ɹ
bro	b ɾ u
bullet	b u w l e t ʃ
bullock	b u w l o k k
capturando	k ɐ p t u ɾ ɐ̃ d u
castel	k ɐ s t ɛw
catalina	k ɐ t ɐ l ĩ n ɐ
certificações	s e ɹ t ʃ i f i k ɐ s õj̃ s
connect	k õ n e k t ʃ
counter	k ow n t e ɹ
cãozinho	k ɐ̃w̃ z ĩ ɲ u
destiny	d e s t ʃ ĩ i
disponibilizando	d ʒ i s p o n i b i l i z ɐ̃ d u
draco	d ɾ ɐ k u
entendesse	ẽ t ẽ d e s i
españa	e s p ɐ ɲ ɐ
function	f ũ k t ʃ i õ
hahahaha	ɐ ɐ ɐ ɐ
hartford	ɐ ɹ t ʃ f o ʁ d ʒ
hilary	i l ɐ ɹ i
hollow	ow l ow
importancia	ĩ p o ɹ t ɐ̃ s i ɐ
laico	l ɐj k u
lesionado	l e z i o n ɐ d u
less	l e s
maldivas	m ɐw d ʒ i v ɐ s
mamilos	m ɐ m i l u s
maximo	m ɐ ʃ ĩ m u
merdinha	m e ʁ d ʒ ĩ ɲ ɐ
nojentos	n o ʒ ẽ t u s
osh	o ʃ
prendas	p ɾ ẽ d ɐ s
pueblo	p u e b l u
rolezinho	ʁ o l e z ĩ ɲ u
sansão	s ɐ̃ s ɐ̃w̃
shaun	ʃ ɐ ũ
similarmente	s ĩ m i l ɐ ʁ m ẽ t ʃ i
smoke	s m o k i
someone	s o m e õ n i
those	t o z i
threatened	t ɾ e ɐ t e n e d ʒ
vives	v i v i s
ye	j i
academic	ɐ k ɐ d e m i k
account	ɐ k k ow n t ʃ
adicionadas	ɐ d ʒ i s i o n ɐ d ɐ s
anónima	ɐ n ɔ n ĩ m ɐ
arquitectos	ɐ ɹ k j t e k t u s
blank	b l ɐ̃ k
bunny	b ũ n i
cagando	k ɐ ɡ ɐ̃ d u
chart	ʃ ɐ ɹ t ʃ
continuemos	k õ t ʃ ĩ n u ẽ m u s
coronavírus	k o ɾ o n ɐ v i ɾ u s
coça	k o s ɐ
curdistão	k u ʁ d ʒ i s t ɐ̃w̃
datena	d ɐ t ẽ n ɐ
divirtam	d ʒ i v i ɹ t ɐ̃w̃
elmer	ew m e ɹ
encarregue	ẽ k ɐ ʁ e ɡ i
enjoada	ẽ ʒ o ɐ d ɐ
exo	e z u
expatriados	e s p ɐ t ɾ i ɐ d u s
february	f e b ɾ u ɐ ɹ i
fofinha	f o f ĩ ɲ ɐ
hrs	ɹ s
infinity	ĩ f ĩ n i t ʃ i
insular	ĩ s u l ɐ ɹ
intro	ĩ t ɾ u
irs	i ɹ s
juárez	ʒ u ɐ ɾ e s
lembras	l ẽ b ɾ ɐ s
linguistas	l ĩ ɡ j s t ɐ s
loures	l ow ɾ i s
macedónia	m ɐ s e d ɔ n i ɐ
metadados	m e t ɐ d ɐ d u s
mj	m ʒ
mob	m o b
montevideo	m õ t e v i d e u
oeiras	o ej ɾ ɐ s
perspetiva	p e ɹ s p e t ʃ i v ɐ
peyton	p e i t õ
planejei	p l ɐ n e ʒ ej
pod	p o d ʒ
possuí	p o s u i
rd	ʁ d ʒ
recreativa	ʁ e k ɾ e ɐ t ʃ i v ɐ
referencia	ʁ e f e ɾ ẽ s i ɐ
ronny	ʁ õ n i
sawyer	s ɐw j e ɹ
sequeira	s e k ej ɾ ɐ
shots	ʃ o t ʃ s
sucre	s u k ɾ i
tajiquistão	t ɐ ʒ i k j s t ɐ̃w̃
th	t ʃ
trees	t ɾ e i s
tuita	t uj t ɐ
tunes	t ũ n i s
ul	u w
viragem	v i ɾ ɐ ʒ ẽj̃
vodafone	v o d ɐ f õ n i
address	ɐ d ʒ d ɾ e s
agraciado	ɐ ɡ ɾ ɐ s i ɐ d u
amara	ɐ m ɐ ɾ ɐ
angry	ɐ̃ ɡ ɹ i
autónomas	ɐw t ɔ n o m ɐ s
climático	k l ĩ m ɐ t ʃ i k u
comentadores	k o m ẽ t ɐ d o ɾ i s
comércios	k o m ɛ ɹ s i u s
cplp	k p w p
curtiu	k u ɹ t ʃ iw
daughter	d ɐw ɡ t e ɹ
demand	d e m ɐ̃ d ʒ
disponibilizam	d ʒ i s p o n i b i l i z ɐ̃w̃
dynamite	d ʒ i n ɐ m i t ʃ i
dês	d e s
efectuada	e f e k t u ɐ d ɐ
estadio	e s t ɐ d ʒ i u
exmo	e z m u
fairy	f ɐj ɹ i
feet	f e e t ʃ
fer	f e ɹ
fies	f i i s
flood	f l o o d ʒ
gif	ʒ i f
grimes	ɡ ɾ ĩ m i s
icon	i k õ
iec	i e k
