abad	a b a d
sentul	s ə n t o l
senyap	s ə ɲ a p
senyum	s ə ɲ o m
seorang	s ə o r a ŋ
sepak	s e p a k
sepana	s ə p a n a
sepang	s ə p a ŋ
sepanyol	s ə p a ɲ o l
sepat	s ə p a t
sepatu	s ə p a t u
sepeda	s ə p e d ə
sependa	s ə p e n d a
seperti	s ə p ə r t i
sepertinya	s ə p ə r t i ɲ a
sepoi	s ə p o j
septendesilion	s e p t e n d e s i l i o n
septilion	s ɛ p t i l i o n
sepua	s ə p u a
sepucuk	s ə p u t͡ʃ o k
sepui	s ə̆ p u j
sepuluh	s ə p u l o h
sepupu	s ə p u p u
seragam	s ə r a ɡ a m
serah	s ə r a h
serak	s e r a k
seram	s ə r a m
serampang	s ə r a m p a ŋ
serang	s ə r a ŋ
serangan	s ə r a ŋ a n
serangga	s ə r a ŋ ɡ a
serani	s ə r a n i
serap	s ə r a p
seratus	s ə r a t o s
serba	s ə r b a
serban	s ə b a n
serbia	s ə r b i a
serdadu	s ə r d a d u
serdak	s ə r d a k
seremban	s ə r ə m b a n
serentak	s ə r ə n t a k
seri	s ə r i
seribu	s ə r i b u
serikat	s ə r i k a t
seringat	s ə r i ŋ a t
serius	s e r i u s
seroja	s ə r o d͡ʒ a
serong	s e r o ŋ
seronok	s ə r o n o k
serpih	s ə r p e h
serta	s ə r t a
seruling	s ə r u l i ŋ
sesal	s ə s a l
sesalan	s ə s a l a n
sesali	s ə s a l i
sesalkan	s ə s a l k a n
sesat	s ə s a t
sesawang	s ə s a w a ŋ
sesiapa	s ə s i a p a
sesumpah	s ə s u m p a h
setapak	s ə t a p a k
setelah	s ə t ə l a h
setem	s ə t e m
seteng	s ə t ə ŋ
setengah	s ə t ə ŋ a h
seterika	s ə t ə r i k a
seteru	s ə t ə r u
setia	s ə t i a
setiap	s ə t i a p
setiausaha	s ə t i a u s a h a
setrilion	s ə t r i l i o n
setuju	s t u d͡ʒ u
sewa	s e w a
sgt	s a ŋ a t
shar	ʃ a
shuben	ʃ u b ə n
si	s i
sial	s i a l
siam	s i a m
siang	s i a ŋ
siap	s i a p
siapa	s i a p a
siasat	s i a s a t
sib	e s a j b i
siber	s a i̯ b ə r
siborgium	s i b ɔ r ɡ i o m
sifat	s i f a t
sikit	s i k e t
siku	s i k u
silap	s i l a p
silat	s i l a t
silikon	s i l i k ɔ n
silinder	s i l i n d ɘ r
siling	s i l i ŋ
simbah	s i m b a h
simbahan	s i m b a h a n
simen	s i m e n
simpang	s i m p a ŋ
simptom	s i m p t o m
sinar	s i n a
sindir	s i n d e
sindrom	s i n d r o m
sinekologi	s i n e k o l o ɡ i
singapura	s i ŋ a p u r a
singgah	s i ŋ ɡ a h
singgung	s i ŋ ɡ o ŋ
singkat	s i ŋ k a t
singkek	s i ŋ k e k
singki	s i ŋ k i
singkir	s i ŋ k e
sini	s i n i
sinisisme	s i n i s i s m a
sinisme	s i n i s m a
siput	s i p o t
siram	s i r a m
siri	s i r i
siring	s i r i ŋ
sisa	s i s a
sisi	s i s i
sisian	s i s i a n
sisih	s i s i h
sisik	s i s e k
siswa	s i s w a
siti	s i t i
siuman	s i u m a n
sjk	e s d͡ʒ e k e
sk	e s k e
skandal	s k a n d a l
skmm	e s k e e m e m
skrin	s k r i n
skru	s k r u
skuter	s k u t ə
slogan	s l o ɡ a n
slovenia	s l o v e n i a
smk	e s e m k e
snek	s n e k
soalan	s o a l a n
sodok	s o d o k
sohor	s o h o
sok	s o k
sokong	s o k o ŋ
solat	s o l ä t
solusi	s o l u s i
songket	s o ŋ k e t
sorang	s o r a ŋ
sore	s o r e
sorg	s o r a ŋ
sos	s o s
sosial	s o s i a l
sotong	s o t o ŋ
soya	s o j a
spa	e s p i e
spad	s p a d
spesies	s p e s i s
spm	e s p i e m
spr	e s p i a r
sprm	e s p i a r ʔ e m
stadium	s t a d i u m
staf	s t a f
stanum	s t a n o m
statik	s t a t i k
steng	s t ə ŋ
stesen	s t e s e n
stesyen	s t e ʃ ə n
stik	s t i k
str	e s t i a r
strategi	s t r a t e d͡ʒ i
struktur	s t r u k t u
suami	s u a m i
suara	s u a r a
suari	s u a r i
suatu	s w a t u
subang	s u b a ŋ
subuh	s u b o h
suda	s u d a
sudah	s u d a h
sudahlah	s u d a h l a h
sudu	s u d u
sudut	s u d u t
suhaimi	s u h a i m i
suhakam	s u h a k a m
suhu	s u h u
suka	s u k a
sukarela	s u k a r e l a
sukat	s u k a t
suku	s u k u
sukun	s u k o n
sulam	s u l a m
sulfur	s u l f u r
suluh	s u l u h
suluk	s u l u k
sulung	s u l o ŋ
sulur	s u l o ɾ
suma	s u m a
sumbat	s u m b a t
sumber	s u m b ə
sumpah	s u m p a h
sumpit	s u m p e t
sunat	s u n a t
sungai	s u ŋ a j
sungguh	s u ŋ ɡ u h
supaya	s u p a j a
superlatif	s u p ə l ə t i f
superman	s u p ə m e n
surah	s u r a h
surat	s u r a t
suratan	s u r a t a n
surati	s u r a t i
suratkan	s u r a t k a n
suri	s u r i
suria	s u r i a
suruh	s u r u h
suruhan	s u r u h a n
suruhanjaya	s u r u h a n d͡ʒ a j a
surup	s u r ʊ p
survei	s u r v e
suryani	s u r i a n i
susila	s u s i l a
suspek	s a s p e k
susu	s u s u
susun	s u s u n
susyi	s u ʃ i
sut	s u t
sutera	s u t ə r a
swafoto	s w a f o t o
swasta	s u a s t a
swastakan	s u a s t a k a n
syaaban	ʃ a a b a n
syagar	ʃ a ɡ a
syah	ʃ a h
syahid	ʃ a h e d
syahmat	ʃ a h m a t
syahwat	ʃ a h u a t
syajarat	ʃ a d͡ʒ a r a t
syakar	ʃ a k a
syamsi	ʃ a m s i
syamsu	ʃ a m s u
syawal	ʃ a w a l
syinkansen	ʃ i n k a n s e n
syor	ʃ o r
syria	s i r i a
syukur	ʃ u k o
syurga	ʃ u r ɡ a
să	s ə
taasub	t a a s u b
tabib	t a b e b
tabik	t a b e k
tabika	t a b i k a
tabir	t a b i r
tabuh	t a b o h
tabur	t a b o
tacod	t a t͡ʃ o d
tadah	t a d a h
tadi	t a d i
tadika	t a d i k a
tah	t a h
tahan	t a h a n
tahana	t a h a n a
tahang	t a h a ŋ
tahi	t a h i
tahil	t a h e l
tahu	t a h u
tahunan	t a h o n a n
taik	t ä j i ʔ
taip	t a i p
tajak	t a d͡ʒ a k
tajam	t a d͡ʒ a m
taji	t a d͡ʒ i
tak	t a k
takar	t a k a r
takbir	t a k b e
takda	t a k d a
takkan	t a k k a n
takleh	t a k l e h
taknak	t a k n a k
takoyaki	t a k o j a k i
takpa	t a k p a
takraw	t a k̚ r a u̯
taksa	t a k s a
taksi	t a k s i
taksir	t a k s e
takut	t a k o t
takwa	t a ʔ w a
takyah	t a k j a h
talas	t a l a s
tali	t a l i
talian	t a l i a n
tamadun	t a m a d o n
tamak	t a m a k
tamar	t a m a r
tambah	t a m b a h
tamban	t a m b a n
tambun	t a m b u n
tampak	t a m p a k
tampal	t a m p a l
tampan	t a m p a n
tampar	t a m p a
tampi	t a m p i
tampuk	t a m p o k
tanah	t a n a h
tanak	t a n a k
tanam	t a n a m
tanaman	t a n a m a n
tanda	t a n d a
tandas	t a n d a s
tandatangan	t a n d a t a ŋ a n
tandu	t a n d u
tanduk	t a n d o k
tangan	t a ŋ a n
tangga	t a ŋ ɡ a
tanggal	t a ŋ ɡ a l
tangguk	t a ŋ ɡ o k
tanggung	t a ŋ ɡ u ŋ
tanggungjawab	t a ŋ ɡ o ŋ d͡ʒ a w a b
tangis	t a ŋ e s
tangkap	t a ŋ k a p
tangki	t a ŋ k i
tangkis	t a ŋ k i s
tanglung	t a ŋ l o ŋ
tani	t a n i
tanih	t a n i h
tanjak	t a n d͡ʒ a k
tanjung	t a n d͡ʒ o ŋ
tanpa	t a n p a
tanya	t a ɲ a
tapai	t a p a i
tapak	t a p a ʔ
tapau	t a p a w
tapi	t a p i
tarah	t a r a h
tarawih	t a r a w e h
tardigrada	t a r d i ɡ r a d a
tari	t a r i
tarian	t a r i a n
tarif	t a r e f
tarik	t a r e k
tarikan	t a r e k a n
tarikh	t a r e h
taruh	t a r o h
taruk	t a r o k
tarum	t a r u m
tasik	t a s e k
tatabahasa	t a t a b a h a s a
tatacara	t a t a t͡ʃ a r a
tatah	t a t a h
tatakelola	t a t a k ə l o l a
tatal	t a t a l
tatasusila	t a t a s u s i l a
tau	t a u
taubat	t a u b a t
taufik	t a u f ɪ q
tauhu	t a w h u
tauke	t a w k e
taukua	t a w k u a
tauyu	t a w j u
tawa	t a w a
tawan	t a w a n
tawar	t a w a r
tawarikh	t a w a r e h
tawau	t a w a w
teater	t i ə t ə
tebah	t ə b a h
tebal	t ə b a l
tebang	t ə b a ŋ
tebas	t ə b a s
tebu	t ə b u
tebuan	t ə b u a n
tebuk	t ə b o k
tebus	t ə b u s
tegah	t ə ɡ a h
tegak	t ə ɡ a k
tegas	t ə ɡ a s
teguk	t ə ɡ o k
tegur	t ə ɡ o
teh	t e h
teja	t e d͡ʒ a
tek	t e k
teka	t ə k a
tekak	t ə k a ʔ
tekan	t ə k a n
tekcik	t e k t͡ʃ i k
teknik	t e k n i k
teknokrasi	t e n o k r a s i
teknokrat	t e k n o k r a t
teknokratik	t e k n o k r a t i k
teknologi	t e k n o l o d͡ʒ i
teko	t e k o
tekshar	t e k ʃ a
teksi	t e k s i
telah	t ə l a h
telan	t ə l a n
telanjang	t ə l a n d͡ʒ a ŋ
telatah	t ə l a t a h
teledu	t ə l ə d u
telefon	t e l e f o n
telerang	t ə l e r a ŋ
televisi	t e l e v i s i
televisyen	t e l e v i ʃ ə n
telinga	t ə l i ŋ a
telu	t ə l u
teluk	t ə l o k
telunjuk	t ə l u n d͡ʒ o k
telur	t ə l o
telurium	t e l u r i o m
teman	t ə m a n
tembadau	t ə m b a d a u̯
tembak	t e m b a ʔ
tembakau	t ə m b a k a w
tembikai	t ə m b i k a i̯
tembok	t e m b o k
tembuni	t ə m b u n i
tembus	t ə m b o s
temerloh	t ə m ə r l o h
tempat	t ə m p a t
tempayan	t ə m p a j a n
tempe	t e m p e
tempeh	t e m p e h
tempeleng	t ə m p ə l e ŋ
tempias	m i a ŋ
tempoh	t e m p o h
tempuling	t ə m p u l i ŋ
temu	t ə m u
tenang	t ə n a ŋ
tenar	t ə n a r
tendang	t ə n d a ŋ
tengadah	t ə ŋ a d a h
tengah	t ə ŋ a h
tengar	t ə ŋ a
tengari	t ə ŋ a r i
tenggala	t ə ŋ ɡ a l a
tenggara	t ə ŋ ɡ a r a
tenggelam	t ə ŋ ɡ ə l a m
tenggiling	t ə ŋ ɡ i l e ŋ
tenggiri	t ə ŋ ɡ i r i
tengkolok	t ə ŋ k ɔ l ɔ k̚
tengkorak	t ə ŋ k o r a k
tengkujuh	t ə ŋ k u d͡ʒ ʊ h
tengkuk	t ə ŋ k o k
tengok	t e ŋ o k
tentang	t ə n t a ŋ
tentera	t ə n t ə r a
tentu	t ə n t u
tenun	t ə n o n
tenung	t ə n u ŋ
tepat	t ə p a t
tepi	t ə p i
tepung	t ə p o ŋ
tera	t e r a
terabadi	t ə r a b a d i
teraju	t ə r a d͡ʒ u
terang	t ə r a ŋ
terangkum	t ə r a ŋ k o m
teras	t ə r a s
terasa	t ə r a s a
teratai	t ə r a t a j
teratak	t ə r ä t ä ʔ
terbaik	t ə b a e k
terbalik	t ə b a l e k
terbang	t ə b a ŋ
terbatas	t ə b a t a s
terbentang	t ə r b ə n t a ŋ
terbit	t ə b e t
tercatuk	t ə r t͡ʃ a t u k
terduduk	t ə d u d o k
terengganu	t ə r ə ŋ ɡ a n u
tergelincir	t ə r ɡ ə l i n t͡ʃ e r
terhad	t ə r h a d
terhadap	t ə r h a d a p
teri	t ə r i
teringat	t ə r i ŋ a t
teripang	t ə r i p a ŋ
teritip	t ə r i t e p
terjawab	t ə d͡ʒ a w a b
terjemah	t ə r d͡ʒ ə m a h
terjemahan	t ə r d͡ʒ ə m a h a n
terkam	t ə r k a m
terkantuk	t ə k a n t o k
terkata	t ə k a t ə
terkejut	t ə k ə d͡ʒ o t
terkenal	t ə k ə n a l
terlalu	t ə r l a l u
terlepas	t ə r l ə p a s
terletak	t ə r l ə t a k
terlompat	t ə l o m p a t
termasuk	t ə m a s o k
ternyata	t ə r ɲ a t a
teroka	t ə r o k a
terokai	t ə r o k a i
teropong	t ə r o p o ŋ
terowong	t ə r o w o ŋ
terpa	t ə p ə
terpekak	t ə p ə k a k
terpencil	t ə p ə n t͡ʃ e l
terperdaya	t ə p ə d a j a
tersaji	t ə r s a d͡ʒ i
tersandung	t ə r s a n d u ŋ
tersentak	t ə r s ə n t a k
tersurat	t ə r s u r a t
tertampan	t ə r t a m p a n
tertawa	t ə r t a w a
tertendang	t ə r t ə n d a ŋ
tertentu	t ə r t ə n t u
tertuduh	t ə r t u d o h
tertumpu	t ə r t u m p u
teruja	t ə r u d͡ʒ a
teruna	t ə r u n a
terung	t ə r o ŋ
terurai	t ə r u r a j
terus	t ə r o s
terusan	t ə r u s a n
tesis	t e s i s
tetak	t ə t a k
tetap	t ə t a p
tetapi	t ə t a p i
tetas	t ə t a s
tetiba	t ə t i b a
tetikus	t ə t i k o s
tiak	t i a k
tian	t i a n
tiang	t i a ŋ
tiba	t i b a
tidak	t i d a ʔ
tiduk	t i d u k
tidur	t i d o
tiga	t i ɡ a
tige	t i ɡ ə
tikam	t i k a m
tikar	t i k a r
tikus	t i k u s
tima	t i m a
timba	t i m b a
timbak	t i m b a ʔ
timbang	t i m b a ŋ
timbau	t i m b a u̯
timbel	t i m b ə l
timbul	t i m b u l
timor	t i m o
timpuh	t i m p o h
timun	t i m u n
timur	t i m o
tindakan	t i n d a k a n
tindas	t i n d a s
tindih	t i n d e h
tinggal	t i ŋ ɡ a l
tinggi	t i ŋ ɡ i
tinggung	t i ŋ ɡ o ŋ
tingkal	t i ŋ k a l
tingkap	t i ŋ k a p
tingkat	t i ŋ k a t
tinjau	t i n d͡ʒ a w
tionghoa	t i o ŋ h u a
tipu	t i p u
tirai	t i r a j
tiram	t i r a m
tiris	t i r i s
titah	t i t a h
titi	t i t i
titik	t i t e k
tiung	t i u ŋ
tiup	t i u p
tldb	t i ə l d i b i
tldm	t i e l d i e m
tnb	t i e n b i
tohor	t o h o r
tokek	t o k e k
toko	t o k o
tol	t o l
tolak	t o l a k
tolong	t o l o ŋ
toman	t o m a n
tombak	t o m b a k
tomyam	t o m j a m
tonggeng	t o ŋ ɡ e ŋ
tongkat	t o ŋ k a t
tongong	t o ŋ o ŋ
tonton	t o n t o n
tontonan	t o n t o n a n
topeng	t o p e ŋ
topi	t o p i
toreh	t o r e h
toye	t o j e
toyu	t o j u
trak	t r a k
transformasi	t r a n s f o r m a s i
transformasikan	t r a n s f o r m a s i k a n
tredesilion	t r e d ɛ s i l i o n
tren	t r e n
trend	t r e n
tri	t ə r i
trilion	t r i l i o n
tu	t u
tua	t u a
tuah	t u a h
tuai	t u a i̯
tuala	t u a l a
tuan	t u a n
tuas	t u a s
tuba	t u b a
tuberkulosis	t u b ə r k u l o s i s
tubin	t u b e n
tubir	t u b i r
tubuh	t u b u h
tudm	t i j u d i e m
tuds	t u t s
tuduh	t u d u h
tudung	t u d o ŋ
tugu	t u ɡ u
tuha	t u h a
tuhan	t u h a n
tuhut	t u h o t
tuil	t u i l
tuju	t u d͡ʒ u
tujuan	t u d͡ʒ u a n
tujuh	t u d͡ʒ o h
tuk	t o k
tukang	t u k a ŋ
tukil	t u k i l
tukun	t u k u n
tul	t u l
tulang	t u l a ŋ
tular	t u l a
tulat	t u l a t
tuli	t u l i
tulis	t u l e s
tuma	t u m a
tumbang	t u m b a ŋ
tumbuh	t u m b o h
tumbuhan	t u m b o h a n
tumbuk	t u m b u ʔ
tumit	t u m i t
tumpah	t u m p a h
tumpang	t u m p a ŋ
tumpu	t u m p u
tumpul	t u m p u l
tuna	t u n a
tunai	t u n a j
tunda	t u n d a
tungau	t u ŋ a u̯
tunggal	t u ŋ ɡ a l
tunjuk	t u n d͡ʒ o k
tunjung	t u n d͡ʒ u ŋ
tunu	t u n u
tupai	t u p a j
turki	t u r k i
turun	t u r u n
turus	t u r o s
turut	t u r u t
tutup	t u t u p
uap	u a p
ubah	u b a h
uban	u b a n
ubat	u b a t
ubi	u b i
ubin	u b i n
ucap	u t͡ʃ a p
uda	u d a
udang	u d a ŋ
udara	u d a r a
udarakasa	u d a r a k a s a
udi	u d i
ufti	u f t i
uja	u d͡ʒ a
ujan	u d͡ʒ a n
uji	u d͡ʒ i
ujian	u d͡ʒ i a n
ujung	u d͡ʒ o ŋ
ukm	j u k e e m
ukraine	j u k r e j n
ukulele	u k u l e l e
ukur	u k o
ulam	u l a m
ulang	u l a ŋ
ular	u l a
ulas	u l a s
ulat	u l a t
ulit	u l i t
ultrabunyi	u l t r a b u ɲ i
ultrakonservatif	u l t r a k ɔ n s ə r v a t i f
ulun	u l u n
umak	u m a k
umbi	u m b i
umbut	u m b u t
ummah	u m m a h
umno	a m n o
umrah	u m r a h
ums	j u e m e s
undesilion	u n d ɛ s i l i o n
undi	u n d i
undian	u n d i a n
undur	u n d o
ungka	u ŋ k a
ungkit	u ŋ k i t
ungu	u ŋ u
universitas	u n i v ə r s i t a s
unta	u n t a
untuk	u n t o k
untung	u n t o ŋ
unvigintilion	u n f i ɡ i n t i l i o n
uolls	j u o l s
upacara	u p a t͡ʃ a r a
upah	u p a h
upas	u p a s
upih	u p i h
upnm	j u p i e n e m
upsr	j u p i e s a r
urat	u r a t
urin	u r i n
uruguay	j u r u ɡ u e j
urus	u r o s
urut	u r u t
usah	u s a h
usia	u s i a
usik	u s e k
usir	u s e
ustazah	u s t a z a h
usul	u s u l
usung	u s o ŋ
usus	u s o s
utak	u t a ʔ
utama	u t a m a
utan	u t a n
utar	j u t a
utara	u t a r a
utarid	u t a r e d
uterus	u t ə r u s
utm	j u t i e m
utus	u t o s
utusan	u t u s a n
uum	j u j u e m
uvula	u v u l a
vanila	v a n i l a
venis	v e n i s
video	v i d e o
videofon	v i d e o f o n
videografi	v i d e o ɡ r a f i
videokan	v i d e o k a n
vigintilion	f i ɡ i n t i l i o n
virus	v a j r ə s
voivoda	v o j v o d a
vokal	v o k a l
voltan	v o l t a n
waduh	w a d o h
wahid	w a h i d
wai	w a i
waizuri	w a i z u r i
wajah	w a d͡ʒ a h
wajib	w a d͡ʒ e b
waktu	w a k t u
walao	w a l a w
walaupun	w ä l ä u p ʊ n
walimana	w a l i m a n a
walmana	w a l m a n a
wanara	w a n a r a
wang	w a ŋ
wangi	w a ŋ i
wangian	w a ŋ i a n
wangkang	w a ŋ k a ŋ
wangsa	w a ŋ s a
wanita	a
wap	u a p
waras	w a r a s
warga	w a r ɡ a
warganegara	w a r ɡ a n ə ɡ a r a
waris	w a r e s
warisan	w a r i s a n
warkah	w a k a h
warna	w a n ə
warta	w a r t a
warung	w a r o ŋ
watpa	w a t p a
wau	w a u̯
wawasan	w a w a s a n
wayang	w a j a ŋ
wayu	w a j u
wazir	w a z e
welirang	w e l i r a ŋ
weskot	w e s k o t
wibu	w i b u
wikang	w i k a ŋ
wilayah	w i l a j a h
wilmana	w i l m a n a
wira	w i r a
wisel	w i s e l
wisma	w i s m a
wizurai	w i z u r a j
woksyop	w o k ʃ o p
wolanda	w o l a n d a
worawari	w o r a w a r i
xenofobia	x e n o f o b i a
xilofon	z i l o f o n
yah	j a h
yak	j a k
yaman	j a m a n
yamtuan	j a m t u a n
yatim	j a t i m
yaum	j a w m
yayi	j a j i
yerusalem	j e r u s a l e m
yogurt	j o ɡ u t
ysuku	w a j s u k u
ytjt	w a j t i d͡ʒ e t i
yu	j u
yunan	j u n a n
yunani	j u n a n i
yuran	j u r a n
yuyu	j u j u
zabah	z a b a h
zabaniah	z a b a n i a h
zabedah	z a b e d a h
zabib	z a b i b
zadah	z a d a h
zaitun	z a i t o n
zakar	z a k a r
zaleha	z a l e h a
zalim	z a l i m
zaman	z a m a n
zamin	z a m i n
zamindar	z a m i n d a r
zan	z a n
zanggi	z a ŋ ɡ i
zaujah	z a ʊ d͡ʒ a h
zawiat	z a w i a t
zed	z e d
zilofon	z i l o f o n
zirafah	z i r a f a h
zodiak	z o d i a ʔ
zohrin	z u h r i n
zon	z o n
zoo	z u
zooekologi	z u e k o l o ɡ i
zubaidah	z u b a i d a h
zuhal	z u h a l
zuhrah	z u h r a h
zuriat	z u r i a t
