अ	ɐ
अपत्यता	ɐ p ɐ t̪ j ɐ t̪ ɑː
अपदेश	ɐ p ɐ d ɐ j ɕ ɐ
अपद्रव्य	ɐ p ɐ d ɾ ɐ ʋ j ɐ
अपनह्यति	ɐ p ɐ n ɐ ɦ j ɐ t i
अपभ्रंश	ɐ p ɐ bʱ ɾ ɐ̃ ɕ ɐ
अपर	ɐ p ɐ ɾ ɐ
अपरा	ɐ p ɐ ɾ ɑː
अपराधिनी	ɐ p ɐ ɾ ɑː dʱ i n iː
अपराधिन्	ɐ p ɐ ɾ ɑː dʱ i n
अपराधी	ɐ p ɐ ɾ ɑː dʱ iː
अपरिग्रह	ɐ p ɐ ɾ i ɡ ɾ ɐ ɦ ɐ
अपरिमाण	ɐ p ɐ ɾ i m ɑː ɳ ɐ
अपर्याप्त	ɐ p ɐ ɾ j ɑː p t̪ ɐ
अपर्युषित	ɐ p ɐ ɾ j u ʂ i t ɐ
अपशब्द	ɐ p ɐ ɕ ɐ b d ɐ
अपसर्जन	ɐ p ɐ s ɐ ɾ d͡ʑ ɐ n ɐ
अपस्	ɐ p ɐ s̪
अपस्मार	ɐ p ɐ s̪ m ɑː ɾ ɐ
अपहृ	ɐ p ɐ ɦ r̩
अपात्	ɐ p ɑː t̪
अपान	ɐ p ɑː n ɐ
अपाय	ɐ p ɑː j ɐ
अपि	ɐ p i
अपितु	ɐ p i t u
अपिनह्यति	ɐ p i n ɐ ɦ j ɐ t i
अपुत्र	ɐ p u t̪ ɾ ɐ
अपूप	ɐ p uː p ɐ
अपेय	ɐ p eː j ɐ
अपेयः	ɐ p eː j ɐ h
अपोहति	ɐ p oː ɦ ɐ t̪ i
अप्	ɐ p
अप्त्य	ɐ p t i j ɐ́
अप्नस्	ɐ p n̪ ɐ s̪
अप्नस्वत्	ɐ p n̪ ɐ s̪ ʋ ɐ t̪
अप्रचेतस्	ɐ p ɾ ɐ t͡ɕ eː t̪ ɐ s̪
अप्रति	ɐ p ɾ ɐ t í
अप्रतिम	ɐ p ɾ ɐ t i m ɐ
अप्रमाद	ɐ p ɾ ɐ m ɑː d ɐ
अप्रसाद	ɐ p ɾ ɐ s̪ ɑː d̪ ɐ
अप्राक्	ɐ p ɾ ɑː k
अप्राक्षीत्	ɐ p ɾ ɑː k ʂ iː t̪
अप्वा	ɐ p u ʋ ɑ́ː
अप्सरसस्	ɐ p s ɐ ɾ ɐ́ s ɐ s
अप्सरस्	ɐ p s ɐ ɾ ɐ́ s
अप्सरास्	ɐ p s ɐ ɾ ɑ́ː s
अप्सस्	ɐ p s̪ ɐ s̪
अफल	ɐ pʰ ɐ l ɐ́
अबद्ध	ɐ b ɐ d dʱ ɐ
अबला	ɐ b ɐ l̪ ɑː
अबुद्ध	ɐ b u d̪ d̪ʱ ɐ
अबुध्न	ɐ b u dʱ n ɐ́
अब्ज	ɐ b d͡ʑ ɐ
अब्जित्	ɐ b d͡ʑ i t̪
अब्द	ɐ b d ɐ
अब्धि	ɐ b dʱ i
अब्रवीत्	ɐ b ɾ ɐ ʋ iː t̪
अभक्त	ɐ bʱ ɐ k t̪ ɐ
अभद्र	ɐ bʱ ɐ d̪ ɾ ɐ
अभय	ɐ bʱ ɐ j ɐ
अभयारण्य	ɐ bʱ ɐ j ɑː ɾ ɐ ɳ j ɐ
अभवत्	ɐ bʱ ɐ ʋ ɐ t̪
अभाक्षीत्	ɐ bʱ ɑː k ʂ iː t̪
अभार्षीत्	ɐ bʱ ɑː ɾ ʂ iː t̪
अभाव	ɐ bʱ ɑː ʋ ɐ
अभि	ɐ bʱ i
अभिजित्	ɐ bʱ i d͡ʑ i t
अभिज्ञा	ɐ bʱ i d͡ʑ ɲ ɑː
अभिज्ञान	ɐ bʱ i d͡ʑ ɲ ɑː n ɐ
अभितस्	ɐ bʱ i t̪ ɐ s̪
अभिधर्म	ɐ bʱ i dʱ ɐ ɾ m ɐ
अभिधानी	ɐ bʱ i dʱ ɑ́ː n iː
अभिनय	ɐ bʱ i n ɐ j ɐ
अभिनव	ɐ bʱ i n ɐ́ ʋ ɐ
अभिनवगुप्त	ɐ bʱ i n ɐ ʋ ɐ ɡ u p t ɐ
अभिप्राय	ɐ bʱ i p ɾ ɑː j ɐ
अभिमन्	ɐ bʱ i m ɐ n̪
अभिमन्यु	ɐ bʱ i m ɐ n̪ j u
अभियन्ता	ɐ bʱ i j ɐ n̪ t̪ ɑː
अभियन्तृ	ɐ bʱ i j ɐ n̪ t̪ r̩
अभिरुचि	ɐ bʱ i ɾ u t͡ɕ i
अभिवृष्ट	ɐ bʱ i ʋ r̩ ʂ ʈ ɐ
अभिषचते	ɐ bʱ i ʂ ɐ t͡ɕ ɐ t ɐ j
अभिषेक	ɐ bʱ i ʂ eː k ɐ
अभिष्टि	ɐ bʱ i ʂ ʈ i
अभिष्टिद्युम्न	ɐ bʱ i ʂ ʈ i d j u m n ɐ́
अभीशु	ɐ bʱ iː ɕ u
अभूत्	ɐ bʱ uː t̪
अभेत्	ɐ bʱ eː t̪
अभोक्	ɐ bʱ oː k
अभ्यङ्ग	ɐ bʱ j ɐ ŋ ɡ ɐ
अभ्यलंकृत	ɐ bʱ j ɐ l ɐ ŋ k r̩ t ɐ
अभ्यस्	ɐ bʱ j ɐ s
अभ्यास	ɐ bʱ j ɑː s ɐ
अभ्युदय	ɐ bʱ j u d̪ ɐ j ɐ
अभ्र	ɐ bʱ ɾ ɐ
अभ्रि	ɐ bʱ ɾ i
अमत	ɐ m ɐ t̪ ɐ
अमनत्	ɐ m ɐ n ɐ t
अमनस्	ɐ m ɐ n̪ ɐ s̪
अमर	ɐ m ɐ ɾ ɐ
अमरा	ɐ m ɐ ɾ ɑː
अमरावती	ɐ m ɐ ɾ ɑː ʋ ɐ t̪ iː
अमल	ɐ m ɐ l̪ ɐ
अमवत्	ɐ m ɐ ʋ ɐ t̪
अमा	ɐ m ɑː
अमात्य	ɐ m ɑː t̪ j ɐ
अमानित्व	ɐ m ɑː n̪ i t̪ ʋ ɐ
अमावस्या	ɐ m ɑː ʋ ɐ s̪ j ɑː
अमावास्या	ɐ m ɑː ʋ ɑː s̪ j ɑː
अमित	ɐ m i t ɐ́
अमिताभ	ɐ m i t̪ ɑː bʱ ɐ
अमिताभस्य	ɐ m i t̪ ɑː bʱ ɐ s̪ j ɐ
अमित्र	ɐ m i t̪ ɾ ɐ
अमृत	ɐ m r̩ t̪ ɐ
अमृता	ɐ m r̩ t̪ ɑː
अमेध्य	ɐ m eː d̪ʱ j ɐ
अमोक्	ɐ m oː k
अमौक्	ɐ m ɑ w k
अम्	ɐ m
अम्नस्	ɐ m n ɐ́ s
अम्ब	ɐ m b ɐ
अम्बर	ɐ m b ɐ ɾ ɐ
अम्बा	ɐ m b ɑː
अम्बि	ɐ m b i
अम्बिकापति	ɐ m b i k ɑː p ɐ t i
अम्बी	ɐ m b iː
अम्बु	ɐ m b u
अम्भस्	ɐ m bʱ ɐ s̪
अम्ल	ɐ m l ɐ
अय	ɐ j ɐ
अयजत्	ɐ j ɐ d͡ʑ ɐ t
अयन	ɐ j ɐ n̪ ɐ
अयनान्त	ɐ j ɐ n̪ ɑː n̪ t̪ ɐ
अयम्	ɐ j ɐ m
अयस्	ɐ j ɐ s̪
अयस्कार	ɐ j ɐ s̪ k ɑː ɾ ɐ
अयाक्षीत्	ɐ j ɑː k ʂ iː t̪
अयासीत्	ɐ j ɑː s̪ iː t̪
अयि	ɐ j i
अयुत	ɐ j u t̪ ɐ
अयुध्य	ɐ j u dʱ j ɐ́
अयोक्	ɐ j oː k
अयोग्य	ɐ j oː ɡ j ɐ
अयोग्यता	ɐ j oː ɡ j ɐ t̪ ɑː
अयोध्य	ɐ j oː d̪ʱ j ɐ
अयोध्या	ɐ j oː d̪ʱ j ɑː
अरंहीत्	ɐ ɾ ɐ̃ ɦ iː t̪
अरघट्ट	ɐ ɾ ɐ ɡʱ ɐ ʈ ʈ ɐ
अरण	ɐ ɾ ɐ ɳ ɐ
अरणि	ɐ ɾ ɐ ɳ i
अरण्य	ɐ ɾ ɐ ɳ j ɐ
अरण्यात्	ɐ ɾ ɐ ɳ j ɑː t̪
अरत्नि	ɐ ɾ ɐ t n í
अरमति	ɐ ɾ ɐ m ɐ t̪ i
अरविन्द	ɐ ɾ ɐ ʋ i n̪ d̪ ɐ
अरस	ɐ ɾ ɐ s ɐ́
अरि	ɐ ɾ i
अरिचत्	ɐ ɾ i t͡ɕ ɐ t̪
अरित्र	ɐ ɾ i t̪ ɾ ɐ
अरिष्ट	ɐ ɾ i ʂ ʈ ɐ
अरुक्षत्	ɐ ɾ u k ʂ ɐ t̪
अरुचि	ɐ ɾ u t͡ɕ i
अरुण	ɐ ɾ u ɳ ɐ
अरुणिमन्	ɐ ɾ u ɳ i m ɐ n
अरुन्धती	ɐ ɾ u n dʱ ɐ t iː
अरुष	ɐ ɾ u ʂ ɐ
अरुहत्	ɐ ɾ u ɦ ɐ t̪
अरेचि	ɐ ɾ eː t͡ɕ i
अरोग	ɐ ɾ oː ɡ ɐ
अरोत्	ɐ ɾ oː t̪
अरोधत्	ɐ ɾ oː d̪ʱ ɐ t̪
अरौत्सीत्	ɐ ɾ ɑ w t̪ s̪ iː t̪
अर्क	ɐ ɾ k ɐ
अर्घ	ɐ ɾ ɡʱ ɐ
अर्चति	ɐ ɾ t͡ɕ ɐ t̪ i
अर्चन	ɐ ɾ t͡ɕ ɐ n̪ ɐ
अर्चा	ɐ ɾ t͡ɕ ɑː
अर्चि	ɐ ɾ t͡ɕ i
अर्चित	ɐ ɾ t͡ɕ i t ɐ
अर्चिस्	ɐ ɾ t͡ɕ i s̪
अर्च्	ɐ ɾ t͡ɕ
अर्जन	ɐ ɾ d͡ʑ ɐ n ɐ
अर्जनम्	ɐ ɾ d͡ʑ ɐ n̪ ɐ m
अर्जनस्य	ɐ ɾ d͡ʑ ɐ n̪ ɐ s̪ j ɐ
अर्जनाय	ɐ ɾ d͡ʑ ɐ n̪ ɑː j ɐ
अर्जनेन	ɐ ɾ d͡ʑ ɐ n̪ eː n̪ ɐ
अर्जित	ɐ ɾ d͡ʑ i t ɐ
अर्जुन	ɐ ɾ d͡ʑ u n̪ ɐ
अर्ज्	ɐ ɾ d͡ʑ
अर्ण	ɐ ɾ ɳ ɐ
अर्णव	ɐ ɾ ɳ ɐ ʋ ɐ
अर्थ	ɐ ɾ t̪ʰ ɐ
अर्थतस्	ɐ ɾ tʰ ɐ t ɐ s
अर्थम्	ɐ ɾ t̪ʰ ɐ m
अर्थवाद	ɐ ɾ t̪ʰ ɐ ʋ ɑː d̪ ɐ
अर्थशास्त्र	ɐ ɾ t̪ʰ ɐ ɕ ɑː s̪ t̪ ɾ ɐ
अर्थशास्त्रक	ɐ ɾ t̪ʰ ɐ ɕ ɑː s̪ t̪ ɾ ɐ k ɐ
अर्थात्	ɐ ɾ tʰ ɑː t
अर्थालंकार	ɐ ɾ tʰ ɑː l ɐ ŋ k ɑː ɾ ɐ
अर्थ्	ɐ ɾ tʰ
अर्ध	ɐ ɾ d̪ʱ ɐ
अर्धक	ɐ ɾ dʱ ɐ k ɐ
अर्धचतुर्थ	ɐ ɾ dʱ ɐ t͡ɕ ɐ t u ɾ tʰ ɐ
अर्धतृतीय	ɐ ɾ dʱ ɐ t r̩ t iː j ɐ
अर्धपथ	ɐ ɾ d̪ʱ ɐ p ɐ t̪ʰ ɐ
अर्धपथे	ɐ ɾ dʱ ɐ́ p ɐ tʰ ɐ j
अर्धमास	ɐ ɾ dʱ ɐ m ɑː s ɐ́
अर्पण	ɐ ɾ p ɐ ɳ ɐ
अर्पयति	ɐ ɾ p ɐ j ɐ t̪ i
अर्पित	ɐ ɾ p i t ɐ
अर्बुद	ɐ ɾ b u d ɐ
अर्भ	ɐ ɾ bʱ ɐ
अर्भग	ɐ ɾ bʱ ɐ ɡ ɐ
अर्म	ɐ ɾ m ɐ
अर्मक	ɐ ɾ m ɐ k ɐ
अर्य	ɐ ɾ j ɐ
अर्यमन्	ɐ ɾ j ɐ m ɐ n̪
अर्यमा	ɐ ɾ j ɐ m ɑː
अर्यम्य	ɐ ɾ j ɐ m j ɐ
अर्वत्	ɐ ɾ ʋ ɐ t̪
अर्श	ɐ ɾ ɕ ɐ
अर्शस्	ɐ ɾ ɕ ɐ s̪
अर्हति	ɐ ɾ ɦ ɐ t̪ i
अर्हत्	ɐ ɾ ɦ ɐ t̪
अर्हित	ɐ ɾ ɦ i t ɐ
अर्ह्	ɐ ɾ ɦ
अल	ɐ l ɐ
अलंकरण	ɐ l ɐ ŋ k ɐ ɾ ɐ ɳ ɐ
अलंकार	ɐ l ɐ ŋ k ɑː ɾ ɐ́
अलंकृ	ɐ l ɐ ŋ k r̩
अलंकृत	ɐ l ɐ ŋ k r̩ t ɐ
अलकनन्दा	ɐ l̪ ɐ k ɐ n̪ ɐ n̪ d̪ ɑː
अलकेश्वर	ɐ l ɐ k ɐ j ɕ ʋ ɐ ɾ ɐ
अलग्न	ɐ l̪ ɐ ɡ n̪ ɐ
अलङ्करण	ɐ l ɐ ŋ k ɐ ɾ ɐ ɳ ɐ
अलङ्कार	ɐ l ɐ ŋ k ɑː ɾ ɐ́
अलम्	ɐ l̪ ɐ m
अलर्क	ɐ l ɐ ɾ k ɐ
अलस	ɐ l ɐ s ɐ́
अलाबु	ɐ l ɑ́ː b u
अलाबुक	ɐ l ɑː b u k ɐ
अलाबुका	ɐ l ɑː b u k ɑː
अलाबू	ɐ l ɑː b uː
अलि	ɐ l i
अलिन्	ɐ l i n
अल्प	ɐ l p ɐ
अल्पप्राण	ɐ l̪ p ɐ p ɾ ɑː ɳ ɐ
अल्लाह	ɐ l̪ l̪ ɑː ɦ ɐ
अल्लाहः	ɐ l̪ l̪ ɑː ɦ ɐ h
अव	ɐ ʋ ɐ
अवकर्षति	ɐ ʋ ɐ k ɐ ɾ ʂ ɐ t i
अवकाश	ɐ ʋ ɐ k ɑː ɕ ɐ
अवकूल्	ɐ ʋ ɐ k uː l
अवगच्छति	ɐ ʋ ɐ ɡ ɐ t t͡ɕʰ ɐ t i
अवगाण	ɐ ʋ ɐ ɡ ɑː ɳ ɐ
अवग्रह	ɐ ʋ ɐ ɡ ɾ ɐ ɦ ɐ
अवतार	ɐ ʋ ɐ t̪ ɑː ɾ ɐ
अवति	ɐ ʋ ɐ t̪ i
अवधारण	ɐ ʋ ɐ dʱ ɑː ɾ ɐ ɳ ɐ
अवन्ति	ɐ ʋ ɐ n t i
अवमूर्धक	ɐ ʋ ɐ m uː ɾ d̪ʱ ɐ k ɐ
अवयव	ɐ ʋ ɐ j ɐ ʋ ɐ
अवयु	ɐ ʋ ɐ j u
अवर	ɐ ʋ ɐ ɾ ɐ
अवरिफ्	ɐ ʋ ɐ ɾ i pʰ
अवर्	ɐ ʋ ɐ ɾ
अवर्क्	ɐ ʋ ɐ ɾ k
अवर्त्	ɐ ʋ ɐ ɾ t̪
अवलम्ब	ɐ ʋ ɐ l ɐ m b ɐ
अववृणक्ति	ɐ ʋ ɐ ʋ r̩ ɳ ɐ k t i
अवश्य	ɐ ʋ ɐ ɕ j ɐ
अवश्यम्	ɐ ʋ ɐ ɕ j ɐ m
अवश्या	ɐ ʋ ɐ ɕ j ɑː
अवसर	ɐ ʋ ɐ s̪ ɐ ɾ ɐ
अवसर्पिणी	ɐ ʋ ɐ s̪ ɐ ɾ p i ɳ iː
अवसान	ɐ ʋ ɐ s ɑ́ː n ɐ
अवस्	ɐ ʋ ɐ s̪
अवस्था	ɐ ʋ ɐ s tʰ ɑː
अवस्रावयति	ɐ ʋ ɐ s ɾ ɑː ʋ ɐ j ɐ t i
अवाक्षीत्	ɐ ʋ ɑː k ʂ iː t̪
अवाङ्मनसगोचर	ɐ ʋ ɑː ŋ m ɐ n ɐ s ɐ ɡ ɐ w t͡ɕ ɐ ɾ ɐ
अवाञ्च्	ɐ ʋ ɑː ɲ t͡ɕ
अवात्सीत्	ɐ ʋ ɑː t̪ s̪ iː t̪
अवार्क्षीत्	ɐ ʋ ɑː ɾ k ʂ iː t̪
अवास्तु	ɐ ʋ ɑː s t ú
अवि	ɐ ʋ i
अविक	ɐ ʋ i k ɐ
अविकल	ɐ ʋ i k ɐ l ɐ
अवित्ति	ɐ ʋ i t̪ t̪ i
अविदत्	ɐ ʋ i d̪ ɐ t̪
अविद्या	ɐ ʋ i d̪ j ɑː
अविद्वस्	ɐ ʋ i d̪ ʋ ɐ s̪
अविनाश	ɐ ʋ i n ɑː ɕ ɐ
अवीचि	ɐ ʋ iː t͡ɕ i
अवेक्षते	ɐ ʋ eː k ʂ ɐ t̪ eː
अवेदीत्	ɐ ʋ eː d̪ iː t̪
अवैदिक	ɐ ʋ ɑ j d̪ i k ɐ
अवोचत्	ɐ ʋ oː t͡ɕ ɐ t̪
अव्	ɐ ʋ
अशकत्	ɐ ɕ ɐ k ɐ t̪
अशक्ति	ɐ ɕ ɐ k t i
अशनि	ɐ ɕ ɐ n̪ i
अशिर	ɐ ɕ i ɾ ɐ
अशीति	ɐ ɕ iː t í
अशुद्ध	ɐ ɕ u d̪ d̪ʱ ɐ
अशैक्ष	ɐ ɕ ɑ j k ʂ ɐ
अशैक्षमार्ग	ɐ ɕ ɑ j k ʂ ɐ m ɑː ɾ ɡ ɐ
अशोक	ɐ ɕ oː k ɐ
अश्	ɐ ɕ
अश्मक	ɐ ɕ m ɐ k ɐ
अश्मन्	ɐ ɕ m ɐ n̪
अश्यास्त	ɐ ɕ j ɑː s t ɐ
अश्रि	ɐ ɕ ɾ i
अश्रीर	ɐ ɕ ɾ iː ɾ ɐ
अश्रु	ɐ ɕ ɾ u
अश्रुमुख	ɐ ɕ ɾ u m u kʰ ɐ
अश्रेत्	ɐ ɕ ɾ eː t̪
अश्रोत्	ɐ ɕ ɾ oː t̪
अश्रौषीत्	ɐ ɕ ɾ ɑ w ʂ iː t̪
अश्व	ɐ ɕ ʋ ɐ
अश्वगन्ध	ɐ ɕ ʋ ɐ ɡ ɐ n dʱ ɐ
अश्वत्थ	ɐ ɕ ʋ ɐ t tʰ ɐ́
अश्वत्थामन्	ɐ ɕ ʋ ɐ t̪ t̪ʰ ɑː m ɐ n̪
अश्वपति	ɐ ɕ ʋ ɐ p ɐ t̪ i
अश्वमेध	ɐ ɕ ʋ ɐ m eː d̪ʱ ɐ
अश्वम्	ɐ ɕ ʋ ɐ m
अश्वश्चन्द्र	ɐ ɕ ʋ ɐ ɕ t͡ɕ ɐ n d ɾ ɐ
अश्वस्	ɐ ɕ ʋ ɐ s
अश्वा	ɐ ɕ ʋ ɑː
अश्वान्	ɐ ɕ ʋ ɑː n
अश्वास्	ɐ ɕ ʋ ɑː s
अश्विनी	ɐ ɕ ʋ i n̪ iː
अश्विन्	ɐ ɕ ʋ i n̪
अश्वौ	ɐ ɕ ʋ ɑ w
अषाढ	ɐ ʂ ɑː ɖʱ ɐ
अषाळ्ह	ɐ ʂ ɑː ɭ̆ʱ ɐ
अष्ट	ɐ ʂ ʈ ɐ
अष्टक	ɐ ʂ ʈ ɐ k ɐ
अष्टम	ɐ ʂ ʈ ɐ m ɐ
अष्टाचत्वारिंशत्	ɐ ʂ ʈ ɑː t͡ɕ ɐ t̪ ʋ ɑː ɾ ĩ ɕ ɐ t̪
अष्टात्रिंशत्	ɐ ʂ ʈ ɑː t̪ ɾ ĩ ɕ ɐ t̪
अष्टादश	ɐ ʂ ʈ ɑː d ɐ ɕ ɐ́
अष्टाध्यायी	ɐ ʂ ʈ ɑː dʱ j ɑː j iː
अष्टाविंशति	ɐ ʂ ʈ ɑː ʋ ĩ ɕ ɐ t̪ i
अष्टौ	ɐ ʂ ʈ ɑ w
अष्ट्रा	ɐ ʂ ʈ ɾ ɑː
अष्ठीवत्	ɐ ʂ ʈʰ iː ʋ ɐ t̪
असंकॢप्त	ɐ s ɐ ŋ k l̩ p t ɐ
असंख्येय	ɐ s ɐ ŋ kʰ j ɐ j j ɐ
असंतुष्ट	ɐ s ɐ n t u ʂ ʈ ɐ
असत्	ɐ s̪ ɐ t̪
असत्य	ɐ s ɐ t j ɐ́
असदत्	ɐ s̪ ɐ d̪ ɐ t̪
असनिष्यत	ɐ s ɐ n i ʂ j ɐ t ɐ
असनिष्यत्	ɐ s ɐ n i ʂ j ɐ t
असनीत्	ɐ s ɐ n iː t
असनोत्	ɐ s ɐ n ɐ w t
असरत्	ɐ s̪ ɐ ɾ ɐ t̪
असहाय	ɐ s̪ ɐ ɦ ɑː j ɐ
असाधारण	ɐ s ɑ́ː dʱ ɑː ɾ ɐ ɳ ɐ
असानीत्	ɐ s ɑː n iː t
असार	ɐ s ɑː ɾ ɐ
असि	ɐ s í
असिक्नी	ɐ s i k n íː
असित	ɐ s̪ i t̪ ɐ
असिद्धि	ɐ s̪ i d̪ d̪ʱ i
असिन्व	ɐ s i n ʋ ɐ́
असिर	ɐ s i ɾ ɐ
असु	ɐ s̪ u
असुर	ɐ s̪ u ɾ ɐ
असृक्	ɐ s̪ r̩ k
असृज्	ɐ s̪ r̩ d͡ʑ
असौ	ɐ s ɑ́ː w
अस्	ɐ s
अस्त	ɐ s t ɐ
अस्ति	ɐ s̪ t̪ i
अस्तित्व	ɐ s̪ t̪ i t̪ ʋ ɐ
अस्तु	ɐ s t u
अस्तृ	ɐ s̪ t̪ r̩
अस्त्र	ɐ s t ɾ ɐ
अस्थन्	ɐ s tʰ ɐ́ n
अस्थाघ	ɐ s̪ t̪ʰ ɑː ɡʱ ɐ
अस्थात्	ɐ s̪ t̪ʰ ɑː t̪
अस्थि	ɐ s̪ t̪ʰ i
अस्थिभङ्ग	ɐ s tʰ i bʱ ɐ ŋ ɡ ɐ
अस्थिर	ɐ s tʰ i ɾ ɐ
अस्पृश्यता	ɐ s̪ p r̩ ɕ j ɐ t̪ ɑː
अस्म	ɐ s m ɐ́
अस्मत्	ɐ s m ɐ́ t
अस्मद्	ɐ s m ɐ d
अस्मभ्यम्	ɐ s m ɐ́ bʱ j ɐ m
अस्माक	ɐ s m ɑ́ː k ɐ
अस्माकम्	ɐ s m ɑ́ː k ɐ m
अस्मात्	ɐ s m ɑ́ː t
अस्मान्	ɐ s m ɑ́ː n
अस्माभिः	ɐ s m ɑ́ː bʱ i h
अस्मासु	ɐ s m ɑ́ː s u
अस्मि	ɐ s̪ m i
अस्मिन्	ɐ s m í n
अस्मे	ɐ s m ɐ́ j
अस्मै	ɐ s m ɑ́ː j
अस्य	ɐ s j ɐ́
अस्यति	ɐ s̪ j ɐ t̪ i
अस्याः	ɐ s j ɑ́ː h
अस्याम्	ɐ s j ɑ́ː m
अस्यै	ɐ s j ɑ́ː j
अस्र	ɐ s ɾ ɐ́
अस्राक्षीत्	ɐ s̪ ɾ ɑː k ʂ iː t̪
अस्वरत्	ɐ s ʋ ɐ ɾ ɐ t
अस्वरिष्यत्	ɐ s ʋ ɐ ɾ i ʂ j ɐ t
अस्वर्ष्यत्	ɐ s ʋ ɐ ɾ ʂ j ɐ t
अस्वारीत्	ɐ s̪ ʋ ɑː ɾ iː t̪
अस्वार्	ɐ s̪ ʋ ɑː ɾ
अस्वार्षीत्	ɐ s ʋ ɑː ɾ ʂ iː t
अस्वास्थ्य	ɐ s̪ ʋ ɑː s̪ t̪ʰ j ɐ
अस्वीकार	ɐ s ʋ iː k ɑː ɾ ɐ
अह	ɐ ɦ ɐ
अहं	ɐ ɦ ɐ m
अहंकार	ɐ ɦ ɐ ŋ k ɑː ɾ ɐ
अहंकारिणी	ɐ ɦ ɐ ŋ k ɑː ɾ i ɳ iː
अहंकारिन्	ɐ ɦ ɐ ŋ k ɑː ɾ i n
अहन्	ɐ ɦ ɐ n̪
अहन्न्	ɐ ɦ ɐ n̪ n̪
अहम्	ɐ ɦ ɐ m
अहरहर्	ɐ ɦ ɐ ɾ ɐ ɦ ɐ ɾ
अहर्	ɐ ɦ ɐ ɾ
अहर्गण	ɐ ɦ ɐ ɾ ɡ ɐ ɳ ɐ
अहर्निश	ɐ ɦ ɐ ɾ n i ɕ ɐ
अहार्षीत्	ɐ ɦ ɑː ɾ ʂ iː t̪
अहासीत्	ɐ ɦ ɑː s̪ iː t̪
अहि	ɐ ɦ i
अहिंसा	ɐ ɦ ĩ s̪ ɑː
अहिफेन	ɐ ɦ i pʰ eː n̪ ɐ
अहिभृत्	ɐ ɦ i bʱ r̩ t
अहिम्	ɐ ɦ i m
अही	ɐ ɦ iː
अहेत्	ɐ ɦ eː t̪
अहो	ɐ ɦ oː
अह्	ɐ ɦ
आ	ɑː
आकर	ɑː k ɐ ɾ ɐ
आकर्षण	ɑː k ɐ ɾ ʂ ɐ ɳ ɐ
आकलन	ɑː k ɐ l ɐ n ɐ
आकाङ्क्षते	ɑː k ɑː ŋ k ʂ ɐ t ɐ j
आकाङ्क्षा	ɑː k ɑː ŋ k ʂ ɑː
आकाङ्क्षिन्	ɑː k ɑː ŋ k ʂ i n
आकार	ɑː k ɑː ɾ ɐ
आकाश	ɑː k ɑː ɕ ɐ
आकाशगर्भ	ɑː k ɑː ɕ ɐ ɡ ɐ ɾ bʱ ɐ
आकाशधातु	ɑː k ɑː ɕ ɐ dʱ ɑ́ː t u
आकाशवाणी	ɑː k ɑː ɕ ɐ ʋ ɑː ɳ iː
आकाशेश	ɑː k ɑː ɕ eː ɕ ɐ
आकुल	ɑː k u l̪ ɐ
आकृत	ɑː k r̩ t ɐ
आकृति	ɑː k r̩ t̪ i
आकृष्	ɑː k r̩ ʂ
आकॄ	ɑː k r̩ː
आक्रमण	ɑː k ɾ ɐ m ɐ ɳ ɐ
आक्षेति	ɑː k ʂ eː t̪ i
आखण्डल	ɑː kʰ ɐ ɳ ɖ ɐ l ɐ
आखु	ɑː kʰ u
आखेट	ɑː kʰ eː ʈ ɐ
आखेटक	ɑː kʰ eː ʈ ɐ k ɐ
आख्या	ɑː kʰ j ɑː
आख्यात	ɑː kʰ j ɑː t ɐ
आख्याति	ɑː kʰ j ɑː t i
आख्यातृ	ɑː kʰ j ɑː t r̩
आख्यान	ɑː kʰ j ɑː n̪ ɐ
आगच्छ	ɑː ɡ ɐ t t͡ɕʰ ɐ
आगच्छति	ɑː ɡ ɐ t t͡ɕʰ ɐ t i
आगत	ɑː ɡ ɐ t̪ ɐ
आगम	ɑː ɡ ɐ m ɐ
आगम्	ɑː ɡ ɐ m
आगर	ɑː ɡ ɐ ɾ ɐ
आगस्	ɑː ɡ ɐ s̪
आगा	ɑː ɡ ɑː
आगामिन्	ɑː ɡ ɑː m i n
आगार	ɑː ɡ ɑː ɾ ɐ
आग्नेय	ɑː ɡ n ɐ j j ɐ́
आङ्ग्ल	ɑː ŋ ɡ l ɐ
आङ्ग्लभाषा	ɑː ŋ ɡ l ɐ bʱ ɑː ʂ ɑː
आचरति	ɑː t͡ɕ ɐ ɾ ɐ t i
आचार	ɑː t͡ɕ ɑː ɾ ɐ
आचार्य	ɑː t͡ɕ ɑː ɾ j ɐ
आचार्यदेव	ɑː t͡ɕ ɑː ɾ j ɐ d ɐ j ʋ ɐ
आचार्यदेवः	ɑː t͡ɕ ɑː ɾ j ɐ d ɐ j ʋ ɐ h
आचार्यदेवो	ɑː t͡ɕ ɑː ɾ j ɐ d ɐ j ʋ ɐ w
आज	ɑː d͡ʑ ɐ
आजानुबाहु	ɑː d͡ʑ ɑː n̪ u b ɑː ɦ u
आजानेय	ɑː d͡ʑ ɑː n ɐ j j ɐ
आजि	ɑː d͡ʑ i
आजीत्	ɑː d͡ʑ iː t
आज्ञा	ɑː d͡ʑ ɲ ɑː
आज्ञाकारिन्	ɑː d͡ʑ ɲ ɑː k ɑː ɾ i n
आञ्चीत्	ɑː ɲ t͡ɕ iː t
