ͷ	t͡s
αἴσθησις	e s θ i s i s
αἴσιμα	e s i m a
αἴσιμον	e s i m o n
αἴσιμος	e s i m o s
αἴσυλα	e s i l a
αἴσυλος	e s i l o s
αἴσχεα	e s ç e a
αἴσχει	e s ç i
αἴσχεσι	e s ç e s i
αἴσχεσιν	e s ç e s i n
αἴσχη	e s ç i
αἴσχιον	e s ç i o n
αἴσχους	e s x u s
αἴσωπος	e s o p o s
αἴσῃ	e s i
αἴτημα	e t i m a
αἴτησις	e t i s i s
αἴτια	e t i a
αἴτιαι	e t i e
αἴτιε	e t i e
αἴτιοι	e t i i
αἴτιον	e t i o n
αἴτιος	e t i o s
αἴτνη	e t n i
αἴῃ	e i
αἵ	e
αἵδε	e ð e
αἵμασι	e m a s i
αἵμασιν	e m a s i n
αἵματα	e m a t a
αἵματε	e m a t e
αἵματι	e m a t i
αἵματος	e m a t o s
αἵμων	e m o n
αἵρεσι	e r e s i
αἵρεσιν	e r e s i n
αἵρεσις	e r e s i s
αἵτινες	e t i n e s
αἶα	e a
αἶαν	e a n
αἶγα	e ɣ a
αἶγας	e ɣ a s
αἶγε	e ʝ e
αἶγες	e ʝ e s
αἶθος	e θ o s
αἶθοψ	e θ o p s
αἶθρος	e θ r o s
αἶκλον	e k l o n
αἶνος	e n o s
αἶπυ	e p i
αἶρα	e r a
αἶσα	e s a
αἶσαν	e s a n
αἶσχος	e s x o s
αἶψ'	e p s
αἶψα	e p s a
αἷμ'	e m
αἷμα	e m a
αἷμος	e m o s
αἷν	e n
αἷς	e s
αἷσπερ	e s p e r
αἷστισι	e s t i s i
αἷστισιν	e s t i s i n
αἷϊν	e i n
αὐγάς	a u̯ ɡ ǎː s
αὐγέας	a u̯ ɡ é aː s
αὐγή	a u̯ ɡ ɛ̌ː
αὐγείας	a u̯ ɡ ěː aː s
αὐγειαί	a u̯ ɡ eː ǎ i̯
αὐγουστῖνος	a v ɣ u s t i n o s
αὐγῇ	a u̯ ɡ ɛ̂ː i̯
αὐδάομαι	a u̯ d á o m a i̯
αὐδάς	a u̯ d ǎː s
αὐδάω	a u̯ d á ɔː
αὐδή	a u̯ d ɛ̌ː
αὐδήεις	a u̯ d ɛ̌ː eː s
αὐδήεσσα	a u̯ d ɛ̌ː e s s a
αὐδήν	a u̯ d ɛ̌ː n
αὐδήσαντος	a u̯ d ɛ̌ː s a n t o s
αὐδήσας	a u̯ d ɛ̌ː s aː s
αὐδήσασκε	a u̯ d ɛ̌ː s a s k e
αὐδήσασκεν	a u̯ d ɛ̌ː s a s k e n
αὐδήσασχ'	a u̯ d ɛ̌ː s a s kʰ
αὐδήσομαι	a u̯ d ɛ̌ː s o m a i̯
αὐδήσω	a u̯ d ɛ̌ː s ɔː
αὐδηθήσομαι	a u̯ d ɛː tʰ ɛ̌ː s o m a i̯
αὐδηθείς	a u̯ d ɛː tʰ ěː s
αὐδυναῖος	a u̯ d y n â i̯ o s
αὐδώμενος	a u̯ d ɔ̌ː m e n o s
αὐδᾶν	a u̯ d âː n
αὐδᾶσθαι	a u̯ d âː s tʰ a i̯
αὐδᾷ	a u̯ d âː i̯
αὐδῶ	a u̯ d ɔ̂ː
αὐδῶμαι	a u̯ d ɔ̂ː m a i̯
αὐδῶν	a u̯ d ɔ̂ː n
αὐεντῖνον	a u̯ e n t îː n o n
αὐετές	a u̯ e t é s
αὐετέσι	a u̯ e t é s i
αὐετέσιν	a u̯ e t é s i n
αὐετής	a u̯ e t ɛ̌ː s
αὐετεῖ	a u̯ e t êː
αὐετεῖς	a u̯ e t êː s
αὐετοῖν	a u̯ e t ô i̯ n
αὐετοῦς	a u̯ e t ûː s
αὐετῆ	a u̯ e t ɛ̂ː
αὐετῶν	a u̯ e t ɔ̂ː n
αὐθέντης	a f θ e n d i s
αὐθαίρετος	a f θ e r e t o s
αὐθεντικός	a f θ e n d i k o s
αὐλέ	a u̯ l é
αὐλέω	a u̯ l é ɔː
αὐλή	a u̯ l ɛ̌ː
αὐλήν	a u̯ l ɛ̌ː n
αὐλίς	a u̯ l í s
αὐλαία	a u̯ l ǎ i̯ aː
αὐλεῖν	a u̯ l êː n
αὐλητά	a u̯ l ɛː t á
αὐλητάς	a u̯ l ɛː t ǎː s
αὐλητήν	a u̯ l ɛː t ɛ̌ː n
αὐλητής	a u̯ l ɛː t ɛ̌ː s
αὐληταί	a u̯ l ɛː t ǎ i̯
αὐληταῖν	a u̯ l ɛː t â i̯ n
αὐληταῖς	a u̯ l ɛː t â i̯ s
αὐλητοῦ	a u̯ l ɛː t ûː
αὐλητρίς	a u̯ l ɛː t r í s
αὐλητῇ	a u̯ l ɛː t ɛ̂ː i̯
αὐλητῶν	a u̯ l ɛː t ɔ̂ː n
αὐλικός	a u̯ l i k ó s
αὐλοί	a u̯ l ǒ i̯
αὐλοθήκη	a u̯ l o tʰ ɛ̌ː k ɛː
αὐλούς	a u̯ l ǔː s
αὐλοῖν	a u̯ l ô i̯ n
αὐλοῖς	a u̯ l ô i̯ s
αὐλοῦ	a u̯ l ûː
αὐλωπίας	a u̯ l ɔː p í aː s
αὐλόν	a u̯ l ó n
αὐλός	a u̯ l ó s
αὐλώ	a u̯ l ɔ̌ː
αὐλῆς	a u̯ l ɛ̂ː s
αὐλῇ	a u̯ l ɛ̂ː i̯
αὐλῳδός	a u̯ l ɔː i̯ d ó s
αὐλῶν	a u̯ l ɔ̂ː n
αὐλῷ	a u̯ l ɔ̂ː i̯
αὐξάνω	a f k s a n o
αὐξηθῆναι	a f k s i θ i n e
αὐρήλιος	a u̯ r ɛ̌ː l i o s
αὐρηλιανός	a v r i l i a n o s
αὐσονία	a f s o n i a
αὐστηρός	a f s t i r o s
αὐτά	a f t a
αὐτάρ	a f t a r
αὐτάρκεια	a f t a r c i a
αὐτάρκειαν	a f t a r c i a n
αὐτάρκη	a f t a r c i
αὐτάρκης	a f t a r c i s
αὐτάς	a f t a s
αὐτάων	a f t a o n
αὐτέ	a f t e
αὐτέαιν	a f t e e n
αὐτέην	a f t e i n
αὐτέης	a f t e i s
αὐτέοιν	a f t e i n
αὐτέοις	a f t e i s
αὐτέοισι	a f t e i s i
αὐτέοισιν	a f t e i s i n
αὐτέου	a f t e u
αὐτέους	a f t e u s
αὐτέων	a f t e o n
αὐτέῃ	a f t e i
αὐτέῃσι	a f t e i s i
αὐτέῃσιν	a f t e i s i n
αὐτέῳ	a f t e o
αὐτή	a f t i
αὐτήν	a f t i n
αὐτίκ'	a f t i k
αὐτίκα	a f t i k a
αὐταί	a f t e
αὐταρκείας	a f t a r c i a s
αὐταρκείᾳ	a f t a r c i a
αὐταρχία	a f t a r ç i a
αὐταῖν	a f t e n
αὐταῖς	a f t e s
αὐταῖϊν	a f t e i n
αὐτεπάγγελτος	a f t e p a ɲ ɟ e l t o s
αὐτερέται	a f t e r e t e
αὐτερέτης	a f t e r e t i s
αὐτοί	a f t i
αὐτοδίδακτος	a f t o ð i ð a k t o s
αὐτοεπιθυμία	a f t o e p i θ i m i a
αὐτοκέφαλος	a f t o c e f a l o s
αὐτοκράτειρα	a f t o k r a t i r a
αὐτοκράτειραι	a f t o k r a t i r e
αὐτοκράτειραν	a f t o k r a t i r a n
αὐτοκράτωρ	a f t o k r a t o r
αὐτοκρατής	a f t o k r a t i s
αὐτοκρατία	a f t o k r a t i a
αὐτοκρατείρα	a f t o k r a t i r a
αὐτοκρατείραιν	a f t o k r a t i r e n
αὐτοκρατείραις	a f t o k r a t i r e s
αὐτοκρατείρας	a f t o k r a t i r a s
αὐτοκρατείρᾳ	a f t o k r a t i r a
αὐτοκρατειρῶν	a f t o k r a t i r o n
αὐτολύκοιο	a f t o l i c i o
αὐτολύκου	a f t o l i k u
αὐτομέδοντα	a f t o m e ð o n d a
αὐτομέδων	a f t o m e ð o n
αὐτονομία	a f t o n o m i a
αὐτονόη	a f t o n o i
αὐτονόμοις	a f t o n o m i s
αὐτονόμου	a f t o n o m u
αὐτονόμους	a f t o n o m u s
αὐτονόμων	a f t o n o m o n
αὐτονόμως	a f t o n o m o s
αὐτονόμῳ	a f t o n o m o
αὐτοπαγής	a f t o p a ʝ i s
αὐτοπαθής	a f t o p a θ i s
αὐτοσοφία	a f t o s o f i a
αὐτοσχεδόν	a f t o s ç e ð o n
αὐτοφραδάτης	a f t o f r a ð a t i s
αὐτοψία	a f t o p s i a
αὐτούς	a f t u s
αὐτοῖν	a f t i n
αὐτοῖο	a f t i o
αὐτοῖς	a f t i s
αὐτοῖσι	a f t i s i
αὐτοῖσιν	a f t i s i n
αὐτοῖϊν	a f t i i n
αὐτοῦ	a f t u
αὐτό	a f t o
αὐτόγραφον	a f t o ɣ r a f o n
αὐτόγραφος	a f t o ɣ r a f o s
αὐτόθ'	a f t o θ
αὐτόθεν	a f t o θ e n
αὐτόθι	a f t o θ i
αὐτόλυκος	a f t o l i k o s
αὐτόματον	a f t o m a t o n
αὐτόματος	a f t o m a t o s
αὐτόμολος	a f t o m o l o s
αὐτόν	a f t o n
αὐτόνομοι	a f t o n o m i
αὐτόνομον	a f t o n o m o n
αὐτόνομος	a f t o n o m o s
αὐτόο	a f t o o
αὐτός	a f t o s
αὐτόσε	a f t o s e
αὐτότατος	a f t o t a t o s
αὐτότερος	a f t o t e r o s
αὐτόχθων	a f t o x θ o n
αὐτώ	a f t o
αὐτῆς	a f t i s
αὐτῇ	a f t i
αὐτῇς	a f t i s
αὐτῇσι	a f t i s i
αὐτῇσιν	a f t i s i n
αὐτῇϊν	a f t i i n
αὐτῶν	a f t o n
αὐτῷ	a f t o
αὐχέν'	a f ç e n
αὐχένα	a f ç e n a
αὐχήν	a f ç i n
αὐχμηρός	a f x m i r o s
αὐχμοί	a f x m i
αὐχμός	a f x m o s
αὑτά	a f t a
αὑτάς	a f t a s
αὑτή	a f t i
αὑτήν	a f t i n
αὑταῖς	a f t e s
αὑτούς	a f t u s
αὑτοῖν	a f t i n
αὑτοῖς	a f t i s
αὑτοῖσι	a f t i s i
αὑτοῖσιν	a f t i s i n
αὑτοῦ	a f t u
αὑτό	a f t o
αὑτόν	a f t o n
αὑτός	a f t o s
αὑτῆς	a f t i s
αὑτῇ	a f t i
αὑτῶν	a f t o n
αὑτῷ	a f t o
αὔγη	a v ʝ i
αὔγουρ	a v ɣ u r
αὔγουστος	a v ɣ u s t o s
αὔδα	a v ð a
αὔλιον	a v l i o n
αὔλιος	a v l i o s
αὔξειν	a f k s i n
αὔξησιν	a f k s i s i n
αὔξησις	a f k s i s i s
αὔξιμος	a f k s i m o s
αὔξουμον	a f k s u m o n
αὔξω	a f k s o
αὔρα	a v r a
αὔριον	a v r i o n
αὔσονες	a f s o n e s
αὔσπιξ	a f s p i k s
αὔτως	a f t o s
αὔω	a v o
αὔως	a v o s
αὕτη	a f t i
αὕω	a v o
αὖ	a v
αὖε	a v e
αὖθ'	a f θ
αὖθι	a f θ i
αὖλαξ	a v l a k s
αὖλις	a v l i s
αὖλος	a v l o s
αὖος	a v o s
αὖτ'	a f t
αὖτε	a f t e
αὖτις	a f t i s
αὗται	a f t e
βάαλ	b a a l
βάβαξ	b a b a k s
βάδην	b a d e̝ n
βάδισμα	b a d i z m a
βάζειν	b a z i n
βάζεις	b a z i s
βάζω	b a z o
βάθεα	b a tʰ e a
βάθει	b a tʰ i
βάθεσι	b a tʰ e s i
βάθεσιν	b a tʰ e s i n
βάθη	b a tʰ e̝
βάθος	b a tʰ o s
βάθρον	b a tʰ r o n
βάκηλος	b a k e̝ l o s
βάκις	b a k i s
βάκκαρις	b a k k a r i s
βάκτρα	b a k t r a
βάκτριος	b a k t r i o s
βάκτρον	b a k t r o n
βάκχε	b a k kʰ e
βάκχειος	b a k kʰ i o s
βάκχον	b a k kʰ o n
βάκχος	b a k kʰ o s
βάκχου	b a k kʰ u
βάκχῳ	b a k kʰ o
βάλ'	b a l
βάλαγρος	b a l a ɡ r o s
βάλανος	b a l a n o s
βάλαρις	b a l a r i s
βάλατε	b a l a t e
βάλβουρα	b a l b u r a
βάλε	b a l e
βάλεν	b a l e n
βάλετ'	b a l e t
βάλετε	b a l e t e
βάλετο	b a l e t o
βάλλα	b a l l a
βάλλε	b a l l e
βάλλει	b a l l i
βάλλεις	b a l l i s
βάλλεο	b a l l e o
βάλλεσι	b a l l e s i
βάλλεσιν	b a l l e s i n
βάλλεται	b a l l e t ɛ
βάλλετε	b a l l e t e
βάλλετο	b a l l e t o
βάλλεων	b a l l e o n
βάλλεως	b a l l e o s
βάλλι	b a l l i
βάλλιθα	b a l l i tʰ a
βάλλιθας	b a l l i tʰ a s
βάλλιθε	b a l l i tʰ e
βάλλιθες	b a l l i tʰ e s
βάλλιθι	b a l l i tʰ i
βάλλιθος	b a l l i tʰ o s
βάλλιν	b a l l i n
βάλλις	b a l l i s
βάλλισι	b a l l i s i
βάλλισιν	b a l l i s i n
βάλλομαι	b a l l o m ɛ
βάλλον	b a l l o n
βάλλω	b a l l o
βάλλων	b a l l o n
βάλοι	b a l y
βάλον	b a l o n
βάλσαμον	b a l s a m o n
βάλω	b a l o
βάλῃ	b a l e̝
βάμβαξ	b a m b a k s
βάμεν	b a m e n
βάν	b a n
βάναυσος	b a n a ʍ s o s
βάντες	b a n t e s
βάπτισμα	v a p t i z m a
βάπτω	b a p t o
βάραγγε	v a r a ɲ ɟ e
βάραγγοι	v a r a ɲ ɟ i
βάραγγον	v a r a ŋ ɡ o n
βάραγγος	v a r a ŋ ɡ o s
βάραθρον	b a r a tʰ r o n
βάρακος	b a r a k o s
βάρβαξ	b a r b a k s
βάρβαροι	b a r b a r y
βάρβαρον	b a r b a r o n
βάρβαρος	b a r b a r o s
βάρβιτον	b a r b i t o n
βάρβιτος	b a r b i t o s
βάρδυλις	b a r d y l i s
βάρει	b a r i
βάρεσι	b a r e s i
βάρημα	b a r e̝ m a
βάρκη	b a r k e̝
βάρος	b a r o s
βάρρων	b a r r o n
βάς	b a s
βάσαν	b a s a n
βάσανος	b a s a n o s
βάσει	b a s i
βάσεις	b a s i s
βάσεσι	b a s e s i
βάσεσιν	b a s e s i n
βάσεων	b a s e o n
βάσεως	b a s e o s
βάσι	b a s i
βάσιν	b a s i n
βάσις	b a s i s
βάσκ'	b a s k
βάσκανος	b a s k a n o s
βάσκε	b a s k e
βάσκω	b a s k o
βάσταγμα	b a s t a ɡ m a
βάταλος	b a t a l o s
βάτε	b a t e
βάτην	b a t e̝ n
βάτναι	b a t n ɛ
βάτον	b a t o n
βάτος	b a t o s
βάτραχοι	b a t r a kʰ y
βάτραχος	b a t r a kʰ o s
βάττος	b a t t o s
βέβαια	b e b ɛ a
βέβαιαι	b e b ɛ ɛ
βέβαιοι	b e b ɛ y
βέβαιον	b e b ɛ o n
βέβαιος	b e b ɛ o s
βέβηκα	b e b e̝ k a
βέβηλος	b e b e̝ l o s
βέβληκα	b e b l e̝ k a
βέβληται	b e b l e̝ t ɛ
βέκος	b e k o s
βέλβινα	b e l b i n a
βέλγης	b e l ɡ e̝ s
βέλε'	b e l e
βέλεα	b e l e a
βέλει	b e l i
βέλεκκος	b e l e k k o s
βέλεμνον	b e l e m n o n
βέλεσι	b e l e s i
βέλεσιν	b e l e s i n
βέλος	b e l o s
βέλτερον	b e l t e r o n
βέλτερος	b e l t e r o s
βέλτιον	b e l t i o n
βέλτιστα	b e l t i s t a
βέλτισται	b e l t i s t ɛ
βέλτιστε	b e l t i s t e
βέλτιστοι	b e l t i s t y
βέλτιστον	b e l t i s t o n
βέλτιστος	b e l t i s t o s
βέμβινα	b e m b i n a
βέμβιξ	b e m b i k s
βένθεσσιν	b e n tʰ e s s i n
βένθος	b e n tʰ o s
βέργα	b e r ɡ a
βέργαι	b e r ɡ ɛ
βέρεδος	b e r e d o s
βέροια	b e r y a
βέροιαν	b e r y a n
βέρρης	b e r r e̝ s
βήμεν	b e̝ m e n
βήμεναι	b e̝ m e n ɛ
βήξ	b e̝ k s
βήρηξ	b e̝ r e̝ k s
βήρυλλος	b e̝ r y l l o s
βήσεις	b e̝ s i s
βήσεσθαι	b e̝ s e s tʰ ɛ
βήσεται	b e̝ s e t ɛ
βήσετο	b e̝ s e t o
βήσομαι	b e̝ s o m ɛ
βήσομεν	b e̝ s o m e n
βήσονται	b e̝ s o n t ɛ
βήσσαλον	v i s a l o n
βήσσω	b e̝ s s o
βήσσῃς	b e̝ s s e̝ s
βήσω	b e̝ s o
βήσῃ	b e̝ s e̝
βήτην	b e̝ t e̝ n
βήττω	b e̝ t t o
βήφυρος	b e̝ pʰ y r o s
βήχιον	b e̝ kʰ i o n
βήϊοι	v i i i
βία	b i a
βίαι	b i ɛ
βίαια	b i ɛ a
βίαιαι	b i ɛ ɛ
βίαιε	b i ɛ e
βίαιν	b i ɛ n
βίαιοι	b i ɛ y
βίαιον	b i ɛ o n
βίαιος	b i ɛ o s
βίαις	b i ɛ s
βίαιϊν	b i ɛ i n
βίαν	b i a n
βίας	b i a s
βίβλος	b i b l o s
βίε	b i e
βίεννος	b i e n n o s
βίη	b i e̝
βίην	b i e̝ n
βίης	b i e̝ s
βίηφι	b i e̝ pʰ i
βίηφιν	b i e̝ pʰ i n
βίκτωρ	b i k t o r
βίλλος	b i l l o s
βίοι	b i y
βίοιν	b i y n
βίοις	b i y s
βίον	b i o n
βίος	b i o s
βίοτον	b i o t o n
βίοτος	b i o t o s
βίου	b i u
βίους	b i u s
βίρρη	b i r r e̝
βίρρος	v i r o s
βίσβη	b i z b e̝
βίστων	b i s t o n
βίω	b i o
βίων	b i o n
βίᾳ	b i a
βίῃ	b i e̝
βίῃϊν	b i e̝ i n
βίῳ	b i o
βαΐαι	b a i ɛ
βαίβιος	b ǎ i̯ b i o s
βαίη	b ǎ i̯ ɛː
βαίημεν	b ǎ i̯ ɛː m e n
βαίην	b ǎ i̯ ɛː n
βαίης	b ǎ i̯ ɛː s
βαίητε	b ǎ i̯ ɛː t e
βαίνει	b ǎ i̯ n eː
βαίνειν	b ǎ i̯ n eː n
βαίνεις	b ǎ i̯ n eː s
βαίνεσθαι	b ǎ i̯ n e s tʰ a i̯
βαίνεσθε	b ǎ i̯ n e s tʰ e
βαίνεται	b ǎ i̯ n e t a i̯
βαίνετε	b ǎ i̯ n e t e
βαίνετον	b ǎ i̯ n e t o n
βαίνηται	b ǎ i̯ n ɛː t a i̯
βαίνοι	b ǎ i̯ n o i̯
βαίνοιεν	b ǎ i̯ n o i̯ e n
βαίνοιμεν	b ǎ i̯ n o i̯ m e n
βαίνοιμι	b ǎ i̯ n o i̯ m i
βαίνοις	b ǎ i̯ n o i̯ s
βαίνοιτε	b ǎ i̯ n o i̯ t e
βαίνομαι	b ǎ i̯ n o m a i̯
βαίνομεν	b ǎ i̯ n o m e n
βαίνοντα	b ǎ i̯ n o n t a
βαίνονται	b ǎ i̯ n o n t a i̯
βαίνοντας	b ǎ i̯ n o n t a s
βαίνοντε	b ǎ i̯ n o n t e
βαίνοντες	b ǎ i̯ n o n t e s
βαίνοντι	b ǎ i̯ n o n t i
βαίνοντος	b ǎ i̯ n o n t o s
βαίνουσα	b ǎ i̯ n uː s a
βαίνουσαι	b ǎ i̯ n uː s a i̯
βαίνουσαν	b ǎ i̯ n uː s a n
βαίνουσι	b ǎ i̯ n uː s i
βαίνουσιν	b ǎ i̯ n uː s i n
βαίνω	b ǎ i̯ n ɔː
βαίνωμεν	b ǎ i̯ n ɔː m e n
βαίνων	b ǎ i̯ n ɔː n
βαίνωνται	b ǎ i̯ n ɔː n t a i̯
βαίνωσι	b ǎ i̯ n ɔː s i
βαίνωσιν	b ǎ i̯ n ɔː s i n
βαίνῃ	b ǎ i̯ n ɛː i̯
βαίνῃς	b ǎ i̯ n ɛː i̯ s
βαίτη	b ǎ i̯ t ɛː
βαίτυλος	b ǎ i̯ t yː l o s
βαβαΐ	b a b a i
βαβαί	b a b ǎ i̯
βαβαῖ	b a b â i̯
βαβυλωνία	b a b y l o n i a
βαβυλών	b a b y l o n
βαβυλώνιος	b a b y l o n i o s
βαβυλῶνα	b a b y l o n a
βαβυλῶνι	b a b y l o n i
βαβυλῶνος	b a b y l o n o s
βαγαδάτης	b a ɡ a d a t e̝ s
βαγαῖος	b a ɡ â i̯ o s
βαγγέλιο	v a ɲ ɟ e l i o
βαγγέλιον	v a ɲ ɟ e l i o n
βαγδάδ	v a ɣ ð a ð
βαγράδας	b a ɡ r a d a s
βαγώας	b a ɡ o a s
βαδίζω	b a d i z o
βαθέα	b a tʰ e a
βαθέε	b a tʰ e e
βαθέοιν	b a tʰ e y n
βαθέος	b a tʰ e o s
βαθέσι	b a tʰ e s i
βαθέσιν	b a tʰ e s i n
βαθέων	b a tʰ e o n
βαθεία	b a tʰ i a
βαθείαιν	b a tʰ i ɛ n
βαθείαις	b a tʰ i ɛ s
βαθείας	b a tʰ i a s
βαθείης	b a tʰ i e̝ s
βαθείᾳ	b a tʰ i a
βαθειῶν	b a tʰ eː ɔ̂ː n
βαθεῖ	b a tʰ i
βαθεῖα	b a tʰ i a
βαθεῖαι	b a tʰ i ɛ
βαθεῖαν	b a tʰ i a n
βαθεῖς	b a tʰ i s
βαθμέ	b a tʰ m e
βαθμίς	b a tʰ m i s
βαθμοί	b a tʰ m y
βαθμούς	b a tʰ m u s
βαθμός	b a tʰ m o s
βαθοῖν	b a tʰ y n
βαθυδίνης	b a tʰ y d i n e̝ s
βαθυκλῆς	b a tʰ y k l e̝ s
βαθυνίας	b a tʰ y n i a s
βαθυπόλεμος	b a tʰ y p o l e m o s
βαθυρρόου	b a tʰ y r r o u
βαθύ	b a tʰ y
βαθύβουλος	b a tʰ y b u l o s
βαθύδενδρος	b a tʰ y d e n d r o s
βαθύκολπος	b a tʰ y k o l p o s
βαθύν	b a tʰ y n
βαθύνω	b a tʰ y n o
βαθύρροος	b a tʰ y r r o o s
βαθύς	b a tʰ y s
βαθύσχοινος	b a tʰ y s kʰ y n o s
βαθύτερα	b a tʰ y t e r a
βαθύτερος	b a tʰ y t e r o s
βαθῶν	b a tʰ o n
βαινέσθων	b a i̯ n é s tʰ ɔː n
βαινέτω	b a i̯ n é t ɔː
βαινοίσθην	b a i̯ n ǒ i̯ s tʰ ɛː n
βαινομένη	b a i̯ n o m é n ɛː
βαινουσῶν	b a i̯ n uː s ɔ̂ː n
βαινούσα	b a i̯ n ǔː s aː
βαινούσαιν	b a i̯ n ǔː s a i̯ n
βαινούσαις	b a i̯ n ǔː s a i̯ s
βαινούσας	b a i̯ n ǔː s aː s
βαινούσης	b a i̯ n ǔː s ɛː s
βαινούσῃ	b a i̯ n ǔː s ɛː i̯
βαινόμενον	b a i̯ n ó m e n o n
βαινόμενος	b a i̯ n ó m e n o s
βαινόντοιν	b a i̯ n ó n t o i̯ n
βαινόντων	b a i̯ n ó n t ɔː n
βαιός	b a i̯ ó s
βακτήριον	b a k t e̝ r i o n
βακτηρία	b a k t e̝ r i a
βακτηρίαι	b a k t e̝ r i ɛ
βακτηρίαιν	b a k t e̝ r i ɛ n
βακτηρίαις	b a k t e̝ r i ɛ s
βακτηρίαν	b a k t e̝ r i a n
βακτηρίας	b a k t e̝ r i a s
βακτηρίᾳ	b a k t e̝ r i a
βακτηριῶν	b a k t e̝ r i o n
βακτρία	b a k t r i a
βακτριανή	b a k t r i a n e̝
βακτριανός	b a k t r i a n o s
βακχεία	b a k kʰ i a
βακχιάδαι	b a k kʰ i a d ɛ
βακχυλίδης	b a k kʰ y l i d e̝ s
βαλάνινος	b a l a n i n o s
βαλάντιον	b a l a n t i o n
βαλέειν	b a l e i n
βαλανάγρα	b a l a n a ɡ r a
βαλανέαι	b a l a n e ɛ
βαλανειοφύλαξ	b a l a n eː o pʰ ý l a k s
βαλανεύς	b a l a n e ʍ s
βαλανεῖον	b a l a n i o n
βαλανηφάγος	b a l a n e̝ pʰ a ɡ o s
βαλαύστιον	b a l a ʍ s t i o n
βαλαύστρινος	b a l a ʍ s t r i n o s
βαλβίς	b a l b i s
βαλδίμερ	v a l ð i m e r
βαλιός	b a l i o s
βαλλά	v a l a
βαλλάντιον	b a l l a n t i o n
βαλλέοιν	b a l l e y n
βαλλήν	b a l l e̝ n
βαλλίζω	b a l l i z o
βαλλίθοιν	b a l l i tʰ y n
βαλλίθων	b a l l i tʰ o n
βαλλίον	b a l l i o n
βαλλίστρα	b a l l i s t r a
βαλλίστρας	b a l l i s t r a s
βαλλομένων	b a l l o m e n o n
βαλλωτή	b a l l o t e̝
βαλλόμενος	b a l l o m e n o s
βαλσαμίνη	b a l s a m i n e̝
βαλτάσαρ	b a l t a s a r
βαλόντες	b a l o n t e s
βαλών	b a l o n
βαμβάκινος	b a m b a k i n o s
βαμβάκιον	v a m b a c i o n
βαμβαίνω	b a m b ǎ i̯ n ɔː
βαπτίζω	b a p t i z o
βαπτισμός	b a p t i z m o s
βαπτισμῶν	b a p t i z m o n
βαπτιστήριον	b a p t i s t e̝ r i o n
βαπτιστής	b a p t i s t e̝ s
βαράγγοις	v a r a ɲ ɟ i s
βαράγγου	v a r a ŋ ɡ u
βαράγγους	v a r a ŋ ɡ u s
βαράγγων	v a r a ŋ ɡ o n
βαράγγῳ	v a r a ŋ ɡ o
βαράκ	b a r a k
βαρέα	b a r e a
βαρέαι	b a r e ɛ
βαρέαιν	b a r e ɛ n
βαρέαν	b a r e a n
βαρέας	b a r e a s
βαρέε	b a r e e
βαρέες	b a r e e s
βαρέεσσι	b a r e e s s i
βαρέεσσιν	b a r e e s s i n
βαρέη	b a r e e̝
βαρέην	b a r e e̝ n
βαρέης	b a r e e̝ s
βαρέοιν	b a r e y n
βαρέοιϊν	b a r e y i n
βαρέος	b a r e o s
βαρέσι	b a r e s i
βαρέσιν	b a r e s i n
βαρέων	b a r e o n
βαρέϊ	b a r e i
βαρέῃ	b a r e e̝
βαρέῃσι	b a r e e̝ s i
βαρέῃσιν	b a r e e̝ s i n
βαραββᾶς	v a r a v a s
βαρακίνη	b a r a k i n e̝
βαρβάροις	b a r b a r y s
βαρβάρου	b a r b a r u
βαρβάρους	b a r b a r u s
βαρβάρων	b a r b a r o n
βαρβάρῳ	b a r b a r o
βαρβαλισσός	b a r b a l i s s o s
βαρβαλισός	b a r b a l i s o s
βαρβαρικόν	b a r b a r i k o n
βαρβαρικός	b a r b a r i k o s
βαρβαρικῷ	b a r b a r i k o
βαργύλια	b a r ɡ y l i a
βαρεέων	b a r e e o n
βαρεία	b a r i a
βαρείαιν	b a r i ɛ n
βαρείαις	b a r i ɛ s
βαρείαιϊν	b a r i ɛ i n
βαρείας	b a r i a s
βαρείη	b a r i e̝
βαρείην	b a r i e̝ n
βαρείης	b a r i e̝ s
βαρείᾳ	b a r i a
βαρείῃ	b a r i e̝
βαρείῃς	b a r i e̝ s
βαρείῃσι	b a r i e̝ s i
βαρείῃσιν	b a r i e̝ s i n
βαρειάων	b a r eː ǎː ɔː n
βαρειέων	b a r eː é ɔː n
βαρειῶν	b a r eː ɔ̂ː n
βαρεῖ	b a r i
