achab	aː k a b
myddenerd	m i d ə n ɛ̝ː r d
mydge	m i d ʒ
mydsomer	m i d s u m ə r
mydwinter	m i d w i n t ə r
mygge	m i d ʒ
myggerne	m i d r ə m
myght	m a u̯ x t
myghty	m a u x t iː
myldew	m i l d ɛ u̯
myle	m iː l
mylne	m i l
mylnere	m i l n ə r
mylneston	m i l n s t ɔ̝ː n
mynisterie	m i n i s t r iː
mynt	m i n t
mynte	m i n t
mynten	m i n t ə n
mynter	m i n t ə r
mynute	m i n i t
mynystren	m i n i s t r ə n
mynystrynge	m i n i s t r i n ɡ
myren	m iː r ə n
myrie	m eː r iː
myriely	m eː r i l iː
myrien	m i r i ə n
myrienesse	m eː r i n ɛ s
myrthe	m i r x θ
myrthen	m i r θ ə n
mysansweren	m i s a n d s w ɛ̞ː r ə n
myschef	m i s t͡ʃ eː f
myscheven	m i s t͡ʃ eː v ə n
myschevous	m i s t͡ʃ eː v u s
myschevously	m i s t͡ʃ eː v u s l iː
myscreaunce	m i s k r ɛː a n s
myscreaunt	m i s k r ɛː a n t
myself	m i s ɛ l f
mysleden	m i s l ɛ̝ː d ə n
myst	m i s t
mysteren	m i s t ə r ə n
mysterie	m i s t ə r iː
mysty	m i s t iː
mystynesse	m i s t iː n ɛ s
mysword	m i s w oː r d
myteyne	m i t i n
mytre	m i t ə r
myxen	m i k s ə n
nacioun	n aː s i uː n
naddre	n a d r ə
nai	n æ i̯
nake	n aː k
naked	n aː k i d
nakedhed	n aː k i d h ɛː d
nakednesse	n aː k i d n ɛ s
naken	n a k ə n
nakenen	n a k n ə n
nakenynge	n aː k n i n ɡ
nakidly	n aː k i d l iː
name	n aː m
nap	n a p
nape	n aː p
naperie	n aː p r iː
naperoun	a p r u n
napkyn	n a p k i n
nappen	n a p ə n
nappynge	n a p i n ɡ
napyn	n a p ə n
narde	n a r d
narowly	n a r w ə l i t͡ʃ
narwe	n a r i u̯
narwen	n a r i u̯ ə n
narwenesse	n a r w ə n ɛ s
nasturcium	n a r s t u s i u m
natheles	n aː ð l ɛ̝ː s
natural	n a t i u̯ r a l
nature	n aː t i u̯ r
nauger	a u̯ ɡ ə r
nave	n a f
navele	n a v ə l
nayl	n æ i̯ l
nayled	n æ i̯ l i d
naylen	n æ i̯ l ə n
nayler	n æ i̯ l ə r
naylynge	n æ i̯ l i n ɡ
ne	n ə
nece	n eː s
neces	n eː s ə s
neden	n eː d ə n
nedle	n eː d l ə
nedlere	n eː d l ə r
neep	n eː p
neiþer	n æ i̯ ð ə r
nekke	n ɛ k
nere	n eː r
nerve	n ɛ r f
nervous	n ɛ r v u s
nese	n ɛ s
nesethirl	n ɛː z ə θ i r l
nest	n i s t
nestryl	n ɛ s t r i l
net	n ɛ t
netle	n ɛ t l ə
neve	n ɛ̞ː f
nevere	n ɛ v r ə
nevew	n ɛ v i u̯
newe	n i u̯
newte	n ɛ u̯ t
nexte	n eː s t
neyen	n æ i̯ ə n
neygh	n eː x
neyghebour	n iː b u r
nihterne	n i x t ə r n
nik	n i k
nimphe	n i m f
nith	n iː θ
nithful	n iː θ f u l
no	n ɑː
nobleye	n ɔː b l eː
node	n ɔː d
nol	n ɔ l
nombre	n u m b r ə
nombren	n u m b r ə n
nombrynge	n u m b r i n ɡ
nonne	n u n
nonnerie	n u n r iː
norice	n u r i s
noricerie	n u r i s r iː
norischaunt	n u r i ʃ a n t
norischen	n u r i s ə n
norischer	n u r i ʃ ə r
norisshement	n u r i ʃ m ɛ n t
norisshyng	n u r i s i n ɡ
nornen	n oː r n ə n
north	n ɔ r θ
northerne	n ɔ r ð ə r n
norture	n u r i t i u̯ r
norturely	n u r t i u̯ r l iː
norturen	n u r t i u̯ r ə n
nose	n oː s
nosethirl	n ɔː z ə θ i r l
nostrille	n ɔ s t r i l
not	n a t
note	n oː t
nothyng	n ɔː θ i n ɡ
nou	n uː
nought	n a u̯ x t
noumper	n u m p eː r
noun	n uː n
nouther	n a u̯ ð ə r
noy	n iː
noyaunce	n u i̯ a n s
noyen	n iː ə n
noyous	n u i̯ u s
noysaunce	n i u̯ s a u̯ n s
noyse	n ɔ i̯ z
noysen	n ɔ i̯ z ə n
noysom	n u i̯ s u m
nutte	n u t
nyce	n iː s
nycely	n iː s l i t͡ʃ
nyfte	n i f t
nyght	n i x t
nyghten	n i x t ə n
nyghtertale	n i x t ə r t aː l
nyghtgale	n i x t ə ɡ aː l
nyghtly	n i x t l iː
nyghtmare	n i x t m aː r
nyghtyngale	n i x t i n ɡ aː l
nyn	n e i̯ n
nyntene	n iː n t eː n
nyntenthe	n iː n t eː n ð
nyntethe	n iː n t eː ð
nynthe	n i ə ð
nyntithe	n iː n t i ð
nynty	n eː n t iː
nythe	n i ə ð
nyȝtschade	n i x t ʃ aː d
o	a
oblacioun	ɔ b l aː s i uː n
obligacioun	ɔ b l i ɡ aː s i uː n
obligatorie	ɔ b l i ɡ a t ɔː r iː
obligen	ɔ b l iː d͡ʒ ə n
oblivion	ɔ b l i v i u n
oblivious	ɔ b l i v i u s
obumbren	a b u m b r ə n
occean	ɔ k s j a n
odde	ɔ d
oddely	ɔ d l iː
oddenesse	ɔ d n ɛ s
odour	ɔ d uː r
ofcast	ɔ f k a s t
ofcastyng	ɔ f k a s t i n ɡ
ofdreden	ɔ f d r eː d ə n
office	ɔ f i s
officen	ɔ f i s ə n
officer	ɔ f i s eː r
official	ɔ f i s i a l
ofholden	u p h ɔː l d ə n
ofputtinge	ɔ f p u t i n ɡ
ofte	ɔ f t
often	ɔ f t ə n
ok	aː k
oken	aː k ə n
old	aː l d
olfent	ɔ l v ə n d
olyve	ɔ l i f
omissioun	ɔ m i s j u n
omitten	ɔ m i t ə n
on	ɔ n
onde	a n d
onden	ɔ n d ə n
ondynge	ɔ n d i n ɡ
onerous	ɔ n ɛ r u s
ones	ɔ n s
oneyed	ɔ n e i̯ ə d
onfold	aː n f aː l d
onfrend	u n f r eː n d
only	aː n l iː
onnesse	aː n n ɛ s
onyoun	u i̯ n j u n
opposicioun	ɔ p ɔ z i s j uː n
or	oː r
oracle	ɔː r aː k ə l
oratorie	ɔ r a t ɔː r iː
oratour	ɔ r a t u r
ordel	ɔ r d aː l
ordure	ɔ r d i u̯ r
ore	aː r
oreles	ɔ̝ː r l ɛ̝ː s
oren	ɑː r ə n
orenge	ɔ r a n d͡ʒ
orf	ɔ r f
orfray	ɔ r f r iː
organic	ɔ r ɡ a n iː k
original	ɔ r i d͡ʒ i n a l
originali	ɔ r i d͡ʒ i n a l iː
origyne	ɔ r i d ʒ i n
orisonte	ɔ r i z u n
orped	ɔ r p ə d
orpedliche	ɔ r p ɛ d l iː
orpyment	ɔ r p i m ɛ n t
orte	ɔ r t
orthodoxe	ɔ r t ɔ d ɔ k s
ortographie	ɔ r t ɔ ɡ r a f iː
osel	oː z l ə
ospray	ɔ s p r æ i̯
ote	aː t
otemele	aː t m ɛ̞ː l
oten	aː t ə n
oter	ɔ t ə r
oth	ɔː θ
other	oː ð ə r
ought	a u̯ x t
oughten	u x t ə n
oule	uː l
ounce	u n s
oure	u r
oures	uː r i s
oute	uː t
outfous	uː t f uː s
outlawe	uː t l a u̯
outlawen	uː t l a u̯ ə n
outlawerie	uː t l a r iː
outlondisch	uː t l ɔ n d i ʃ
outward	uː t w a r d
outwardes	uː t w a r d ə s
outwardly	uː t w a r d l iː
oven	oː v ə n
over	ɔ v ə r
overchaufen	ɔ̞ː v ə r t ʃ a u̯ f ə n
overfeble	ɔ̞ː v ə r f eː b l ə
overflowen	ɔ v ə r f l ɔ u̯ ə n
overriden	ɔ v ə r r iː d ə n
overschadwen	ɔ̞ː v ə r ʃ a d i u̯ ə n
ovet	ɔː v ɛ t
owen	ɔ u̯ ə n
oxe	ɔ k s
oxeherde	ɔ k s a r d
oximel	ɔ k s i m ɛ l
oxtonge	ɔ k s t u n ɡ
oyle	u i̯ l
oyler	u i̯ l ə r
oynement	u i̯ n m ɛ n t
oystre	ɔ i̯ s t r ə
pacche	p a t͡ʃ
pacience	p aː s i ɛ n s
pacient	p aː s i ɛ n t
pacquet	p a k i t
pagent	p a d͡ʒ a n
paire	p æ i̯ r
pak	p a k
pakken	p a k ə n
pakkere	p a k ə r
pakkynge	p a k i n ɡ
palate	p a l a t
paleys	p a l i s
pallioun	p a l i uː n
palme	p a l m
palmer	p a l m ə r
palude	p a l uː d
pane	p a n
panel	p a n ə l
panetrie	p a n t r iː
panne	p a n
panten	p a n t ə n
panter	p a n t eː r
pantere	p a n t eː r
panterere	p a n t l ə r
panyer	p a n eː r
pap	p a p
paper	p a p eː r
papirus	p a p iː r u s
pappen	p a p ə n
parable	p a r a b ə l
paraf	p a r a f
parage	p a r aː d͡ʒ
paramour	p a r a m u r
parchemyn	p a r t͡ʃ i m i n
parde	p a r d eː
parformen	p a r f u r m ə n
parisshe	p a r i s
parisshen	p a r i s i ə n
parisshoner	p a r i ʃ ə n ə r
parlement	p a r l i a m ɛ n t
parlen	p a r l ə n
parlour	p a r l u r
parten	p a r t ə n
partrich	p a r t r i t͡ʃ
parvys	p a r v i s
passen	p a s ə n
passional	p a s i oː n aː l
passionat	p a s i oː n aː t
passioun	p a s i uː n
passyf	p a s i f
pastroun	p a s t r u n
patene	p a t æ i̯ n
patent	p a t ɛ n t
pateren	p a t ə r ə n
path	p a θ
pathen	p a θ ə n
pathynge	p a θ i n ɡ
patronage	p a t r u n a d͡ʒ
patronesse	p a t r u n ɛ s
patroun	p aː t r oː n
patyn	p a t i n
patyner	p a t i n eː r
patynmaker	p a t i n m aː k ə r
paunce	p a n s
paunche	p a n t͡ʃ
pauncher	p a n t͡ʃ ə r
pautener	p a u̯ t n ə r
pawe	p a u̯
pax	p a k s
paxbrede	p a k s b r ɛ d
payen	p aː ə n
payenie	p æ i̯ n iː
payle	p æ i̯ l
paynym	p æ i̯ n i m
pece	p ɛː s
peche	p ɛː t͡ʃ
pees	p ɛ s
pegge	p ɛ ɡ
pek	p eː k
pele	p ɛ l
pelen	p ɛː l ə n
pellican	p ɛ l i k a n
pen	p ɛ n
pencioun	p ɛ n s i uː n
penne	p ɛ n
pennen	p ɛ n ə n
penner	p ɛ n a r
peny	p a n iː
penywort	p ɛ n iː w u r t
peper	p i p ə r
peperquerne	p ɛ p ə r k w eː r n
peple	p eː p l ə
per	p eː r
perceyven	p ɛ r s æ i̯ v ə n
perche	p ɛ r t͡ʃ
percher	p ɛ r t͡ʃ ə r
perchyn	p ɛ r t ʃ ə n
pere	p eː r
perer	p ɛ r ə r
peril	p a r ə l
perilous	p a r i l uː s
perilously	p a r i l u s iː
peritorie	p ɛ r i t aː r iː
perle	p ɛ r l
perled	p ɛ r l i d
perles	p eː r l ɛ s
perre	p ɛ r eː
pers	p ɛ r s
persely	p ɛ r s i l iː
perseveraunce	p ɛ r s ɛ v ə r a n s
pese	p eː z
pesecod	p ɛ s k ɔ d
pestel	p ɛ s t ə l
pety	p ɛ t eː
peutre	p ɛ u̯ t r ə
pewe	p i u̯
pewen	p ɛ u̯ l ə n
philosophie	f i l ɔ z ɔ f iː
philosophre	f i l ɔ s ɔ f r ə
pibel	p eː b ə l
pichfork	p i k ə̩ f ɔ r k
piete	p iː ə t eː
pigge	p i ɡ
pigment	p i ɡ m ɛ n t
piken	p i k ə n
piker	p i k ə r
pikerel	p i k ə ɹ ɛ l
pikyng	p i k i n ɡ
pilche	p i l t͡ʃ
pilwe	p i l
pipe	p iː p
pipen	p iː p ə n
piper	p iː p ə r
pirie	p i r iː
pisse	p i s
pissemyre	p i s m iː r
pissen	p i s ə n
pissere	p i s ə r
pite	p i t eː
pith	p eː θ
place	p l a s
placebo	p l a s eː b oː
placen	p l aː s ə n
plage	p l aː ɡ
planteyne	p l a n t æ i̯ n
plater	p l a t ə r
playce	p l æ i̯ s
playing	p l æ i̯ i n ɡ
ple	p l æ i̯
pleiful	p l æ i̯ f u l
plente	p l ɛ n t eː
plesaunte	p l ɛ z a n t
plesen	p l ɛː z ə n
pleye	p l æ i̯
pleyen	p l æ i̯ ə n
pleyer	p l æ i̯ ə r
plicchen	p l i t͡ʃ ə n
plomme	p l u m
plough	p l oː x
plover	p l u v eː r
plukken	p l u k ə n
plumtre	p l u m t r eː
plunket	p l u n k ɛ t
plurelle	p l i u̯ r aː l
po	p a u̯
pocioun	p ɔ s j uː n
podynge	p u d i n ɡ
poete	p ɔ i̯ eː t
poke	p ɔː k
poken	p ɔː k ə n
pol	p oː l
pole	p ɔ l
poleyn	p u l i n
polk	p u l k
polle	p ɔ l
pollucioun	p ɔ l i u̯ s i uː n
polluten	p ɔ l i u̯ t ə n
pome	p oː m
pomel	p u m ɛ l
pope	p ɔː p
popedome	p ɔː p d oː m
popehode	p ɔː p h ɔː d
poperiche	p ɔː p r iː t͡ʃ
popet	p oː p ɛ t
populer	p ɔ p i u̯ l ə r
popy	p a p iː
porcioun	p ɔ r s i uː n
pork	p ɔ r k
porpeys	p ɔ r p i s
porter	p ɔ r t eː r
posicioun	p ɔ z i s j u n
pot	p ɔ t
potable	p ɔ t aː b ə l
potacion	p ɔ t aː s j uː n
potage	p ɔ t aː d͡ʒ
potager	n
potell	p ɔ t ə l
poteller	p ɔ t l ə r
potent	p ɔː t ɛ n t
potentat	p ɔː t ɛ n t aː t
potestat	p ɔː t ɛ s t aː t
potful	p ɔ t f u l
poudre	p uː d r ə
poudren	p uː d r ə n
pouke	p u k
pound	p u n d
pounen	p uː n ə n
pouse	p u s
pouste	p uː s t eː
pouten	p uː t ə n
povre	p oː r
power	p uː r
pown	p a u̯ n
poynaunt	p u i̯ n a n t
poynen	p u i̯ n ə n
poynt	p u i̯ n t
poysoun	p i u̯ z u n
praten	p r aː t ə n
prechynge	p r ɛː t͡ʃ i n ɡ
preposicioun	p r ɛː p ɔ z i s j u n
preserven	p r eː s ɛ r v ə n
prest	p r eː s t
presthode	p r eː s t h ɔː d
prestly	p r eː s t l iː
previsioun	p r ɛː v i z j u n
prisner	p r i z n ə r
prisoner	p r i z u n eː r
prisoun	p r i z u n
pro	p r ɔː
probacioun	p r ɔ b aː s i uː n
probleme	p r ɔ b l eː m
proceden	p r ɔ s eː d ə n
procucie	p r ɔ k i u̯ s iː
procuracie	p r ɔ k i u̯ r a s iː
procuracioun	p r ɔ k i u̯ r aː s i uː n
procuratour	p r ɔ k i u̯ r a t uː r
procurement	p r ɔ k i u̯ r m ɛ n t
procuren	p r ɔ k i u̯ r ə n
procurour	p r ɔ k i u̯ r u r
procutour	p r ɔ k i u̯ t uː r
pronouncen	p r ɔː n uː n s ə n
pronunciacioun	p r ɔː n u n s i aː s i uː n
prophecie	p r ɔ f ə s iː
prophecien	p r ɔ f ə s iː ə n
prophete	p r ɔ f eː t
prophetesse	p r ɔ f ɛ t i s
propinquite	p r ɔ p i n k w i t eː
proposicioun	p r ɔ p ɔ z i s j uː n
prosperite	p r ɔ s p ɛ r i t eː
proud	p r uː d
provisioun	p r ɔ v i z j u n
provynce	p r ɔ v i n s
prune	p r i u̯ n
pryde	p r eː d
pryden	p r iː d ə n
pulet	p u l t
pullayle	p u l i l
pulle	p u l
pullen	p u l ə n
pulpit	p u l p i t
puls	p u l s
pulter	p u l t eː r
pultes	p u l t i s
pultrie	p u l t r iː
pure	p i u̯ r
purgacioun	p u r ɡ aː s i uː n
purgatorie	p u r ɡ ə t ɔː r iː
purgen	p u r d͡ʒ ə n
purgynge	p u r d͡ʒ i n ɡ
purpel	p u r p u l
purpoynt	p a r p i n
purs	p u r s
pursuyte	p u r s i u̥ t
pursyf	p u r s i f
pycchen	p i t͡ʃ ə n
pye	p iː
pygeoun	p i d͡ʒ u n
pyke	p i k
pykeharneys	p i k h a r n æ i̯ s
pyle	p iː l
pynden	p eː n d
pyne	p iː n
pynen	p iː n ə n
pynetre	p iː n t r eː
pynote	p i n n u t
pyntel	p i n t ə l
pyssepotte	p i s p ɔ t
pyssynge	p i s i n ɡ
quaken	k w aː k ə n
qualm	k w a l m
quantite	k w a n t i t eː
quappen	k w a p ə n
quarter	k w a r t eː r
quaschen	k w a s ə n
quaven	k w aː v ə n
quaveren	k w aː v r ə n
quayer	k w eː r
quayle	k w æ i̯ l
quaylen	k w æ i̯ l ə n
quelen	k w ɛ̞ː l ə n
quellen	k w ɛ l ə n
quellere	k w ɛ l ə r
queme	k w eː m
quemen	k w eː m ə n
quenchen	k w ɛ n t͡ʃ ə n
quene	k w eː n
quer	k w eː r
querne	k w eː r n
quest	k w ɛ s t
questen	k w ɛ s t ə n
questioun	k w ɛ s t i uː n
questor	k w ɛ s t u r
quethen	k w ɛ̞ː ð ə n
queynte	k w æ i̯ n t
queynten	k w æ i̯ n t ə n
queyntise	k u i̯ n t i z
queyntisen	k u i̯ n t i z ə n
quibibe	k i u̯ b i u̯ b
quidite	k w i d i t eː
quilte	k w i l t
quiste	k w i s t
quiver	k w i v ə r
quyk	k w eː k
quykly	k w i k l iː
quyknesse	k w i k n ɛ s
quyksond	k w i k s a n d
quyl	k w eː l
quynce	k w i n s
quyrre	k w a r eː
quysshyn	k u ʃ i n
quytaunce	k w i t a n s
raby	r a b iː
rache	r a t ʃ
rad	r a d
radiche	r a d i k
ragge	r a ɡ
ragged	r a ɡ i d
raggy	r a ɡ iː
rak	r a k
raken	r aː k ə n
rakente	r a k ə n t
raketeye	r a k t e i̯
ram	r a m
ramese	r a m p s
ramson	r a m p s ə n
rancour	r a n k u r
randoun	r a n d u n
ransaken	r a n s a k ə n
rappen	r a p ə n
rare	r aː r
rarefien	r a r ɛ f iː ə n
ratelen	r a t ə l ə n
rathe	r a ð
rathere	r a ð ə r
ratoner	r a t u n eː r
ratoun	r a t u n
ratte	r a t
raunsonen	r a n s u m ə n
raunsoner	r a n s u m ə r
raunsonynge	r a n s u m i n ɡ
raunsoun	r a n s u m
rawe	r a u̯
raymen	r æ i̯ m ə n
raysyn	r æ i̯ z i n
real	r iː a l
rebel	r ɛ b ə l
rebellen	r i b ɛ l ə n
rebellioun	r ɛ b ɛ l i u n
rebellious	r ɛ b ɛ l i u s
rebelloure	r ɛ b ɛ l u r
rebellyng	r ɛ b ɛ l i n ɡ
rebelnesse	r ɛ b ɛ l n ɛ s
rebelte	r ɛ b ɛ l t eː
receden	r ɛ s eː d ə n
receptacle	r ɛ s ɛ p t aː k l ə
receptour	r ɛ s ɛ p t u r
recet	r ɛ s ɛ t
recetten	r ɛ s ɛ t ə n
recettour	r ɛ s æ i̯ t u r
receyt	r ɛː s æ i̯ t
receyvable	r ɛː s æ i̯ v aː b ə l
receyven	r ɛː s æ i̯ v ə n
receyvour	r ɛː s æ i̯ v u r
recomaunden	r ɛ k u m a n d ə n
recommendacioun	r ɛ k u m ɛ n d aː s i uː n
recommenden	r ɛ k u m ɛ n d ə n
recoveraunce	r ɛ k u v r a n s
recovere	r ɛ k u v ə r
recoveree	r ɛ k u v ə r eː
recoveren	r ɛ k u v r ə n
recoverer	r ɛ k u v r eː r
recoveryng	r ɛ k u v r i n ɡ
recreaunt	r ɛ k r ɛː a n t
recreyen	r ɛː k r æ i̯ ə n
red	r eː d
redden	r ɛ d ə n
rede	r ɛ̝ː d
redel	r eː d ə l
redels	r eː d ə l s
redemen	r ɛ d eː m ə n
redempcioun	r ɛ d ɛ m p s j u n
redemptoure	r ɛ d ɛ m p t u r
reden	r eː d ə n
redere	r ɛ̝ː d ə r
redresse	r ɛ d r ɛ s
redressen	r ɛ d r ɛ s ə n
redressynge	r ɛ d r ɛ s i n ɡ
reformacioun	r ɛː f ɔ r m aː s i uː n
reformen	r ɛː f u r m ə n
refuge	r ɛ f i u̯ d͡ʒ
refute	r ɛ f i u̯ t
regioun	r eː d͡ʒ i uː n
reif	r ɛː f
reiser	r æ i̯ z ə r
reke	r ɛː k
relenten	r ɛ l ɛ n t ə n
relicte	r ɛ l i k t
relik	r ɛ l i k
rem	r ɛ̝ː m
reme	r ɛː m
remen	r eː m ə n
remorden	r ɛ m ɔː r d ə n
remors	r ɛ m ɔ r s
renden	r ɛ n d ə n
repere	r ɛː p ə r
request	r ɛ k w ɛ s t
requiem	r ɛ k w i ɛ m
rerde	r eː r d
rere	r eː r
rerebrace	r ɛː r b r aː s
reredos	r ɛː r d ɔ s
reremous	r eː m uː s
reren	r eː r ə n
rerer	r eː r ə r
rereward	r ɛː r w a r d
rerynge	r eː r i n ɡ
resisten	r ɛ s i s t ə n
resistence	r ɛ s i s t ɛ n s
resistyng	r ɛ s i s t i n ɡ
resolucioun	r ɛ s ɔ l i u̯ s i uː n
resolven	r ɛː s ɔ l v ə n
resoun	r ɛː s uː n
reste	r ɛ s t
resyn	r ɛ z i n
retenue	r ɛ t i n i u̯
reth	r eː ð
rethnes	r eː ð n ɛ s
returnen	r ɛ t u r n ə n
reuful	r i u̯ f u l
reule	r eː ɣ ə l
reuler	r i u̯ l ə r
reulily	r i u̯ l ə l iː
reuþe	r i u̯ ð
reuþeles	r i u̯ θ l ɛ s
reuþful	r i u̯ θ f u l
reve	r eː v
revel	r ɛ v ɛ l
revelacioun	r ɛ v ɛ l aː s i uː n
revelen	r ɛ v ɛ l ə n
revelour	r ɛ v ə l u r
revelynge	r ɛ v ɛ l i n ɡ
reven	r ɛ̝ː v ə n
revere	r ɛ̝ː v ə r
revewe	r ɛ v i u̯
revynge	r ɛ̝ː v i n ɡ
rewayn	r a u̯ æ i̯ n
rewe	r a u̯
rewen	r i u̯ ə n
rewly	r i u̯ l i t ʃ
rewme	r ɛ u̯ m
rewthfully	r i u̯ θ f u l iː
reyn	r eː n
reynbowe	r æ i̯ n b ɔ u̯
reynder	r æ i̯ n d eː r
reyny	r æ i̯ n iː
reys	r æ i̯ s
reysen	r æ i̯ z ə n
reysynge	r æ i̯ z i n ɡ
ricchen	r i t͡ʃ ə n
riche	r i t͡ʃ
richedom	r i t͡ʃ d a m
richely	r i t͡ʃ lː
richen	r i t͡ʃ ə n
richenesse	r i t͡ʃ n ɛ s
richesse	r i t͡ʃ ɛ s
ridden	r i d ə n
riden	r iː d ə n
ridership	r iː d ə r ʃ i p
right	r i x t
rind	r i n d
riot	r iː a t
rioten	r iː a t ə n
riotour	r iː u t u r
riotous	r iː u t u s
risen	r iː z ə n
rispen	r i s p ə n
risshe	r i ʃ
rixen	r i k s ə n
ro	r aː
robben	r ɔ b ə n
robberie	r ɔ b r iː
robbour	r ɔ b u r
robbynge	r ɔ b i n ɡ
robe	r ɔ b
roben	r ɔ b ə n
robous	r u b i s
rodde	r ɔ d
rode	r oː d
rof	r oː f
rofen	r oː f ə n
roget	r u d ʒ ɛ t
roialme	r ɔ i̯ a l m
rokke	r ɔ k
ron	r ɔː n
ronage	r u n aː d͡ʒ
roobukke	r ɑː b u k
rop	r oː p
ropen	r oː p ə n
roper	r ɔː p ə r
rose	r ɔː z
rosee	r ɔ z eː
rosen	r oː z ə n
roste	r oː s t
rosten	r ɔː s t ə n
roster	r ɔː s t ə r
rostynge	r ɔː s t i n ɡ
rot	r ɔ t
rote	r oː t
rotednesse	r ɔ t ə d n ɛ s
roten	r oː t ə n
rotennesse	r ɔ t ə n n ɛ s
rother	r i ð ə r
rotnesse	r ɔ t n ɛ s
rotynge	r oː t i n ɡ
rotyngnesse	r ɔ t i n ɡ n ɛ s
roughe	r u x
roum	r uː m
round	r uː n d
roune	r uː n
rounen	r uː n ə n
rousen	r uː s ə n
rowen	r ɔ u̯ ə n
royal	r ɔ i̯ a l
royalte	r ɔ i̯ a l t eː
rubarbe	r i u̯ b a r b
rubben	r u b ə n
rubbynge	r u b i n ɡ
rubriche	r i u̯ b r i k
ruby	r i u̯ b eː
rudden	r u d ə n
ruden	r u d ə n
rudnen	r u d n ə n
rue	r i u̯
ruse	r i u̯ z
rusen	r i u̯ z ə n
rust	r u s t
rusten	r u s t ə n
rusty	r u s t iː
ruyne	r i u̯ i n
ruynous	r i u̯ i n u s
ryal	r iː a l
ryder	r iː d ə r
rydyng	r iː d i n ɡ
rye	r iː
rymthe	r i m θ
ryng	r i n ɡ
ryngbon	r i n ɡ b ɔː n
ryngen	r i n ɡ ə n
rys	r iː s
ryver	r eː v eː r
sachel	s a t ʃ ɛ l
sacre	s aː k r eː
sad	s a d
sadel	s a d ə l
sadelen	s a d l ə n
sadelere	s a d l ə r
saden	s a d ə n
sadly	s a d l iː
sadnesse	s a d n ɛ s
saffron	s a f r uː n
sage	s aː d ʒ
saillen	s æ i̯ l ə n
sak	s a k
salade	s a l a d
salm	s a l m
salow	s a l i u̯
salt	s a l t
salten	s a l t ə n
salthous	s a l t h uː s
salvatour	s a l v a t u r
salve	s a l f
salven	s a l v ə n
samoun	s a m u n
sandal	s a n d a l
sanguinarie	s a n ɡ w i n aː r iː
sanguine	s a n ɡ i n
sanguinolent	s a n ɡ w i n ɔ l ɛ n t
sanguisuge	s a n ɡ w i s i u̯ d ʒ
sap	s a p
saphir	s a f i r
sapience	s aː p i ɛ n s
saplyng	s a p l i n ɡ
sapour	s aː p u r
sappy	s a p iː
sarse	s a r s
sarsen	s a r s ə n
sauce	s a u̯ s
saucen	s a u̯ s ə n
saucer	s a u̯ s ə r
saucerie	s a u̯ s ə r iː
sauf	s a f
sauge	s a u̯ d͡ʒ
saule	s a u̯ l eː
sauled	s a u̯ l i d
saumple	s a m p ə l
saundres	s a u̯ n d r ɛ s
saunz	s a n
sauter	s a u̯ t eː r
sauterie	s a u̯ t r iː
savable	s aː v a b ə l
savacioun	s a l v aː s i uː n
savage	s a u̯ v aː d ʒ
savagyne	s a v a d͡ʒ iː n
savegard	s a u̯ f ɡ a r d
savely	s a u̯ f l iː
savement	s a u̯ v i m ɛ n t
saven	s a u̯ v ə n
savenape	s a n a p
savenes	s a u̯ f n ɛ s
saveour	s aː v eː uː r
savete	s a u̯ f t eː
savyne	s a v i n
savynge	s a u̯ v i n ɡ
sawcistre	s a u̯ s i s t ə r
sawe	s a u̯
sawsiche	s a u̯ s i d͡ʒ
sax	s a k s
scalden	s k a l d ə n
scale	s k aː l
scalle	s k a l
scaloun	s k a l j u n
scanden	s k a n d ə n
scars	s k a r s
scarsite	s k aː r s i t eː
scarsly	s k a r s l iː
scarsnesse	r s n
scarth	s k a r θ
schade	ʃ a d
schaden	ʃ aː d ə n
schadwe	ʃ a d i u̯
schadwen	ʃ a d i u̯ ə n
schadwy	ʃ a d i u̯ iː
schaft	ʃ a f t
schak	ʃ a k
schakel	ʃ a k ə l
schakelen	ʃ a k l ə n
schaken	ʃ a k ə n
schakere	ʃ a k ə r
schakynge	ʃ a k i n ɡ
schalen	ʃ aː l ə n
schalk	ʃ a l k
schamel	ʃ a m b ə l
schanke	ʃ a n k
schapen	ʃ aː p ə n
schaply	ʃ a p l i t ʃ
schapynge	ʃ aː p i n ɡ
scharn	ʃ a r n
schat	ʃ a t
schave	ʃ aː v
schaven	ʃ aː v ə n
schaver	ʃ aː v ə r
schavynge	ʃ aː v i n ɡ
sche	ʃ eː
sched	ʃ ɔː d
scheden	ʃ ɛː d ə n
scheder	ʃ ɛː d ə r
schedynge	ʃ ɛ d i n ɡ
scheef	ʃ ɛ̝ː f
scheld	ʃ eː l d
schelfe	ʃ ɛ l f
scheltroun	ʃ i l t r u m
schep	ʃ eː p
schepherde	ʃ eː p eː r d
scherd	ʃ a r d
schere	ʃ ɛː r
schereman	ʃ ɛ r m a n
scheren	ʃ ɛ̞ː r ə n
scherer	ʃ ɛː r ə r
scherling	ʃ ɛː r l i n ɡ
scherynge	ʃ ɛː r i n ɡ
schete	ʃ eː t
scheten	ʃ eː t ə n
schethe	ʃ ɛː ð
schethere	ʃ ɛ ð ə r
schiften	ʃ i f t ə n
schilder	ʃ eː l d ə r
schildyng	ʃ eː l d i n ɡ
schilling	ʃ i l i n ɡ
schimeringe	ʃ i m r i n ɡ
