a	ɐ
acerca	ɐ s e ɹ k ɐ
acerola	ɐ s e ɾ o l ɐ
acerta	ɐ s e ɹ t ɐ
acertada	ɐ s e ɹ t ɐ d ɐ
acertadamente	ɐ s e ɹ t ɐ d ɐ m ẽ t ʃ i
acertadas	ɐ s e ɹ t ɐ d ɐ s
acertado	ɐ s e ɹ t ɐ d u
acertados	ɐ s e ɹ t ɐ d u s
acertam	ɐ s e ɹ t ɐ̃w̃
acertamos	ɐ s e ɹ t ɐ̃ m u s
acertando	ɐ s e ɹ t ɐ̃ d u
acertar	ɐ s e ɹ t ɐ ɹ
acertaram	ɐ s e ɹ t ɐ ɾ ɐ̃w̃
acertarem	ɐ s e ɹ t ɐ ɾ ẽj̃
acertasse	ɐ s e ɹ t ɐ s i
acertava	ɐ s e ɹ t ɐ v ɐ
acerte	ɐ s e ɹ t ʃ i
acertei	ɐ s e ɹ t ej
acerto	ɐ s e ɹ t u
acertos	ɐ s e ɹ t u s
acertou	ɐ s e ɹ t ow
acervo	ɐ s e ʁ v u
acervos	ɐ s e ʁ v u s
aces	ɐ s i s
acesa	ɐ s e z ɐ
acesas	ɐ s e z ɐ s
acesita	ɐ s e z i t ɐ
aceso	ɐ s e z u
acesos	ɐ s e z u s
acessa	ɐ s e s ɐ
acessar	ɐ s e s ɐ ɹ
acesso	ɐ s e s u
acessos	ɐ s e s u s
acessíveis	ɐ s e s i v ej s
acessível	ɐ s e s i v ew
acessórias	ɐ s e s ɔ ɾ i ɐ s
acessório	ɐ s e s ɔ ɾ i u
acessórios	ɐ s e s ɔ ɾ i u s
acetato	ɐ s e t ɐ t u
acetona	ɐ s e t õ n ɐ
acha	ɐ ʃ ɐ
achada	ɐ ʃ ɐ d ɐ
achadas	ɐ ʃ ɐ d ɐ s
achado	ɐ ʃ ɐ d u
achados	ɐ ʃ ɐ d u s
acham	ɐ ʃ ɐ̃w̃
achamos	ɐ ʃ ɐ̃ m u s
achando	ɐ ʃ ɐ̃ d u
achar	ɐ ʃ ɐ ɹ
acharam	ɐ ʃ ɐ ɾ ɐ̃w̃
acharem	ɐ ʃ ɐ ɾ ẽj̃
acharia	ɐ ʃ ɐ ɾ i ɐ
achará	ɐ ʃ ɐ ɾ ɐ
achasse	ɐ ʃ ɐ s i
achatado	ɐ ʃ ɐ t ɐ d u
achatados	ɐ ʃ ɐ t ɐ d u s
achatamento	ɐ ʃ ɐ t ɐ m ẽ t u
achatar	ɐ ʃ ɐ t ɐ ɹ
achava	ɐ ʃ ɐ v ɐ
achavam	ɐ ʃ ɐ v ɐ̃w̃
ache	ɐ ʃ i
achei	ɐ ʃ ej
achem	ɐ ʃ ẽj̃
achille	ɐ ʃ iw l i
achiropita	ɐ ʃ i ɾ o p i t ɐ
acho	ɐ ʃ u
achocolatado	ɐ ʃ o k o l ɐ t ɐ d u
achocolatados	ɐ ʃ o k o l ɐ t ɐ d u s
achou	ɐ ʃ ow
achá	ɐ ʃ ɐ
achávamos	ɐ ʃ ɐ v ɐ m u s
achôa	ɐ ʃ o ɐ
aci	ɐ s i
acid	ɐ s i d ʒ
acidentada	ɐ s i d ẽ t ɐ d ɐ
acidentado	ɐ s i d ẽ t ɐ d u
acidentados	ɐ s i d ẽ t ɐ d u s
acidentais	ɐ s i d ẽ t ɐj s
acidental	ɐ s i d ẽ t ɐw
acidentalmente	ɐ s i d ẽ t ɐw m ẽ t ʃ i
acidente	ɐ s i d ẽ t ʃ i
acidentes	ɐ s i d ẽ t ʃ i s
acidentou	ɐ s i d ẽ t ow
acidez	ɐ s i d ej s
acima	ɐ s ĩ m ɐ
acinte	ɐ s ĩ t ʃ i
acioli	ɐ s i o l i
aciona	ɐ s i õ n ɐ
acionada	ɐ s i o n ɐ d ɐ
acionadas	ɐ s i o n ɐ d ɐ s
acionado	ɐ s i o n ɐ d u
acionador	ɐ s i õ n ɐ d o ɹ
acionadores	ɐ s i õ n ɐ d o ɾ i s
acionados	ɐ s i o n ɐ d u s
acionam	ɐ s i õ n ɐ̃w̃
acionamento	ɐ s i o n ɐ m ẽ t u
acionando	ɐ s i o n ɐ̃ d u
acionar	ɐ s i o n ɐ ɹ
acionaram	ɐ s i o n ɐ ɾ ɐ̃w̃
acione	ɐ s i õ n i
acionista	ɐ s i o n i s t ɐ
acionistas	ɐ s i o n i s t ɐ s
acionou	ɐ s i õ n ow
acioná	ɐ s i o n ɐ
acionária	ɐ s i o n ɐ ɾ i ɐ
acionárias	ɐ s i o n ɐ ɾ i ɐ s
acionário	ɐ s i o n ɐ ɾ i u
acirra	ɐ s i ʁ ɐ
acirrada	ɐ s i ʁ ɐ d ɐ
acirradas	ɐ s i ʁ ɐ d ɐ s
acirrado	ɐ s i ʁ ɐ d u
acirram	ɐ s i ʁ ɐ̃w̃
acirramento	ɐ s i ʁ ɐ m ẽ t u
acirrar	ɐ s i ʁ ɐ ɹ
acirrou	ɐ s i ʁ ow
ackel	ɐ k k ɛw
aclamada	ɐ k l ɐ m ɐ d ɐ
aclamado	ɐ k l ɐ m ɐ d u
aclamação	ɐ k l ɐ m ɐ s ɐ̃w̃
aclimatação	ɐ k l ĩ m ɐ t ɐ s ɐ̃w̃
aclimação	ɐ k l ĩ m ɐ s ɐ̃w̃
aclive	ɐ k l i v i
acm	ɐ k m
acne	ɐ k n i
acnur	ɐ k n u ɹ
acobertar	ɐ k o b e ɹ t ɐ ɹ
acogny	ɐ k o ɡ n i
acolchoado	ɐ k ow ʃ o ɐ d u
acolhe	ɐ k o ʎ i
acolhedor	ɐ k o ʎ e d o ɹ
acolhedora	ɐ k o ʎ e d o ɾ ɐ
acolhem	ɐ k o ʎ ẽj̃
acolher	ɐ k o ʎ e ɹ
acolheu	ɐ k o ʎ ew
acolhida	ɐ k o ʎ i d ɐ
acolhidas	ɐ k o ʎ i d ɐ s
acolhido	ɐ k o ʎ i d u
acolhidos	ɐ k o ʎ i d u s
acolhimento	ɐ k o ʎ ĩ m ẽ t u
acolá	ɐ k o l ɐ
acomete	ɐ k o m e t ʃ i
acometeu	ɐ k o m e t ew
acometido	ɐ k o m e t ʃ i d u
acomoda	ɐ k õ m o d ɐ
acomodada	ɐ k o m o d ɐ d ɐ
acomodadas	ɐ k o m o d ɐ d ɐ s
acomodado	ɐ k o m o d ɐ d u
acomodados	ɐ k o m o d ɐ d u s
acomodam	ɐ k õ m o d ɐ̃w̃
acomodamento	ɐ k o m o d ɐ m ẽ t u
acomodando	ɐ k o m o d ɐ̃ d u
acomodar	ɐ k o m o d ɐ ɹ
acomodaram	ɐ k o m o d ɐ ɾ ɐ̃w̃
acomodação	ɐ k o m o d ɐ s ɐ̃w̃
acomodações	ɐ k o m o d ɐ s õj̃ s
acomode	ɐ k õ m o d ʒ i
acomodou	ɐ k õ m o d ow
acompanha	ɐ k õ p ɐ̃ ɲ ɐ
acompanhada	ɐ k õ p ɐ ɲ ɐ d ɐ
acompanhadas	ɐ k õ p ɐ ɲ ɐ d ɐ s
acompanhado	ɐ k õ p ɐ ɲ ɐ d u
acompanhados	ɐ k õ p ɐ ɲ ɐ d u s
acompanham	ɐ k õ p ɐ̃ ɲ ɐ̃w̃
acompanhamento	ɐ k õ p ɐ ɲ ɐ m ẽ t u
acompanhamentos	ɐ k õ p ɐ ɲ ɐ m ẽ t u s
acompanhamos	ɐ k õ p ɐ ɲ ɐ̃ m u s
acompanhando	ɐ k õ p ɐ ɲ ɐ̃ d u
acompanhante	ɐ k õ p ɐ ɲ ɐ̃ t ʃ i
acompanhantes	ɐ k õ p ɐ ɲ ɐ̃ t ʃ i s
acompanhar	ɐ k õ p ɐ ɲ ɐ ɹ
acompanharam	ɐ k õ p ɐ ɲ ɐ ɾ ɐ̃w̃
acompanharem	ɐ k õ p ɐ ɲ ɐ ɾ ẽj̃
acompanharia	ɐ k õ p ɐ ɲ ɐ ɾ i ɐ
acompanhará	ɐ k õ p ɐ ɲ ɐ ɾ ɐ
acompanharão	ɐ k õ p ɐ ɲ ɐ ɾ ɐ̃w̃
acompanhasse	ɐ k õ p ɐ ɲ ɐ s i
acompanhava	ɐ k õ p ɐ ɲ ɐ v ɐ
acompanhavam	ɐ k õ p ɐ ɲ ɐ v ɐ̃w̃
acompanhe	ɐ k õ p ɐ̃ ɲ i
acompanhei	ɐ k õ p ɐ ɲ ej
acompanhem	ɐ k õ p ɐ̃ ɲ ẽj̃
acompanho	ɐ k õ p ɐ̃ ɲ u
acompanhou	ɐ k õ p ɐ ɲ ow
acompanhá	ɐ k õ p ɐ ɲ ɐ
aconchegante	ɐ k õ ʃ e ɡ ɐ̃ t ʃ i
aconchegantes	ɐ k õ ʃ e ɡ ɐ̃ t ʃ i s
aconchegar	ɐ k õ ʃ e ɡ ɐ ɹ
aconchego	ɐ k õ ʃ e ɡ u
acondicionados	ɐ k õ d ʒ i s i o n ɐ d u s
acondicionamento	ɐ k õ d ʒ i s i o n ɐ m ẽ t u
acondicionar	ɐ k õ d ʒ i s i o n ɐ ɹ
acondroplasia	ɐ k õ d ɾ o p l ɐ z i ɐ
aconselha	ɐ k õ s e ʎ ɐ
aconselhada	ɐ k õ s e ʎ ɐ d ɐ
aconselhado	ɐ k õ s e ʎ ɐ d u
aconselhados	ɐ k õ s e ʎ ɐ d u s
aconselham	ɐ k õ s e ʎ ɐ̃w̃
aconselhamento	ɐ k õ s e ʎ ɐ m ẽ t u
aconselhando	ɐ k õ s e ʎ ɐ̃ d u
aconselhar	ɐ k õ s e ʎ ɐ ɹ
aconselharam	ɐ k õ s e ʎ ɐ ɾ ɐ̃w̃
aconselho	ɐ k õ s e ʎ u
aconselhou	ɐ k õ s e ʎ ow
aconselhável	ɐ k õ s e ʎ ɐ v ew
acontece	ɐ k õ t e s i
acontecem	ɐ k õ t e s ẽj̃
acontecendo	ɐ k õ t e s ẽ d u
acontecer	ɐ k õ t e s e ɹ
acontecera	ɐ k õ t e s e ɾ ɐ
aconteceram	ɐ k õ t e s e ɾ ɐ̃w̃
acontecerem	ɐ k õ t e s e ɾ ẽj̃
aconteceria	ɐ k õ t e s e ɾ i ɐ
aconteceriam	ɐ k õ t e s e ɾ i ɐ̃w̃
acontecerá	ɐ k õ t e s e ɾ ɐ
acontecerão	ɐ k õ t e s e ɾ ɐ̃w̃
acontecesse	ɐ k õ t e s e s i
acontecessem	ɐ k õ t e s e s ẽj̃
aconteceu	ɐ k õ t e s ew
acontecia	ɐ k õ t e s i ɐ
aconteciam	ɐ k õ t e s i ɐ̃w̃
acontecido	ɐ k õ t e s i d u
acontecimento	ɐ k õ t e s ĩ m ẽ t u
acontecimentos	ɐ k õ t e s ĩ m ẽ t u s
aconteça	ɐ k õ t e s ɐ
aconteçam	ɐ k õ t e s ɐ̃w̃
acoplada	ɐ k o p l ɐ d ɐ
acoplado	ɐ k o p l ɐ d u
acoplados	ɐ k o p l ɐ d u s
acoplar	ɐ k o p l ɐ ɹ
acorda	ɐ k o ʁ d ɐ
acordada	ɐ k o ʁ d ɐ d ɐ
acordado	ɐ k o ʁ d ɐ d u
acordados	ɐ k o ʁ d ɐ d u s
acordam	ɐ k o ʁ d ɐ̃w̃
acordando	ɐ k o ʁ d ɐ̃ d u
acordar	ɐ k o ʁ d ɐ ɹ
acordaram	ɐ k o ʁ d ɐ ɾ ɐ̃w̃
acordava	ɐ k o ʁ d ɐ v ɐ
acorde	ɐ k o ʁ d ʒ i
acordei	ɐ k o ʁ d ej
acordeon	ɐ k o ʁ d e õ
acordes	ɐ k o ʁ d ʒ i s
acordo	ɐ k o ʁ d u
acordos	ɐ k o ʁ d u s
acordou	ɐ k o ʁ d ow
acorrentado	ɐ k o ʁ ẽ t ɐ d u
acorrentados	ɐ k o ʁ ẽ t ɐ d u s
acossado	ɐ k o s ɐ d u
acosta	ɐ k o s t ɐ
acostamento	ɐ k o s t ɐ m ẽ t u
acostamentos	ɐ k o s t ɐ m ẽ t u s
acostuma	ɐ k o s t ũ m ɐ
acostumada	ɐ k o s t ũ m ɐ d ɐ
acostumadas	ɐ k o s t ũ m ɐ d ɐ s
acostumado	ɐ k o s t ũ m ɐ d u
acostumados	ɐ k o s t ũ m ɐ d u s
acostumamos	ɐ k o s t ũ m ɐ̃ m u s
acostumando	ɐ k o s t ũ m ɐ̃ d u
acostumar	ɐ k o s t ũ m ɐ ɹ
acostumaram	ɐ k o s t ũ m ɐ ɾ ɐ̃w̃
acostumei	ɐ k o s t ũ m ej
acostumou	ɐ k o s t ũ m ow
acqua	ɐ k k w ɐ
acquati	ɐ k k w ɐ t ʃ i
acre	ɐ k ɾ i
acredita	ɐ k ɾ e d ʒ i t ɐ
acreditado	ɐ k ɾ e d ʒ i t ɐ d u
acreditam	ɐ k ɾ e d ʒ i t ɐ̃w̃
acreditamos	ɐ k ɾ e d ʒ i t ɐ̃ m u s
acreditando	ɐ k ɾ e d ʒ i t ɐ̃ d u
acreditar	ɐ k ɾ e d ʒ i t ɐ ɹ
acreditaram	ɐ k ɾ e d ʒ i t ɐ ɾ ɐ̃w̃
acreditarem	ɐ k ɾ e d ʒ i t ɐ ɾ ẽj̃
acreditaria	ɐ k ɾ e d ʒ i t ɐ ɾ i ɐ
acreditasse	ɐ k ɾ e d ʒ i t ɐ s i
acreditava	ɐ k ɾ e d ʒ i t ɐ v ɐ
acreditavam	ɐ k ɾ e d ʒ i t ɐ v ɐ̃w̃
acredite	ɐ k ɾ e d ʒ i t ʃ i
acreditei	ɐ k ɾ e d ʒ i t ej
acreditem	ɐ k ɾ e d ʒ i t ẽj̃
acredito	ɐ k ɾ e d ʒ i t u
acreditou	ɐ k ɾ e d ʒ i t ow
acrefi	ɐ k ɾ e f i
acres	ɐ k ɾ i s
acresce	ɐ k ɾ e s i
acrescenta	ɐ k ɾ e s ẽ t ɐ
acrescentada	ɐ k ɾ e s ẽ t ɐ d ɐ
acrescentadas	ɐ k ɾ e s ẽ t ɐ d ɐ s
acrescentado	ɐ k ɾ e s ẽ t ɐ d u
acrescentados	ɐ k ɾ e s ẽ t ɐ d u s
acrescentam	ɐ k ɾ e s ẽ t ɐ̃w̃
acrescentando	ɐ k ɾ e s ẽ t ɐ̃ d u
acrescentar	ɐ k ɾ e s ẽ t ɐ ɹ
acrescentaram	ɐ k ɾ e s ẽ t ɐ ɾ ɐ̃w̃
acrescentaria	ɐ k ɾ e s ẽ t ɐ ɾ i ɐ
acrescentava	ɐ k ɾ e s ẽ t ɐ v ɐ
acrescente	ɐ k ɾ e s ẽ t ʃ i
acrescento	ɐ k ɾ e s ẽ t u
acrescentou	ɐ k ɾ e s ẽ t ow
acrescida	ɐ k ɾ e s i d ɐ
acrescidas	ɐ k ɾ e s i d ɐ s
acrescido	ɐ k ɾ e s i d u
acrescidos	ɐ k ɾ e s i d u s
acrobacia	ɐ k ɾ o b ɐ s i ɐ
acrobacias	ɐ k ɾ o b ɐ s i ɐ s
acrobat	ɐ k ɾ o b ɐ t ʃ
acrobata	ɐ k ɾ o b ɐ t ɐ
acrobatas	ɐ k ɾ o b ɐ t ɐ s
acrobático	ɐ k ɾ o b ɐ t ʃ i k u
across	ɐ k ɾ o s
acréscimo	ɐ k ɾ ɛ s ĩ m u
acréscimos	ɐ k ɾ ɛ s ĩ m u s
acrílica	ɐ k ɾ i l i k ɐ
acrílicas	ɐ k ɾ i l i k ɐ s
acrílico	ɐ k ɾ i l i k u
acrópole	ɐ k ɾ ɔ p o l i
acs	ɐ k s
acsp	ɐ k s p
act	ɐ k t ʃ
action	ɐ k t ʃ i õ
actionlaser	ɐ k t ʃ i õ l ɐ z e ɹ
actors	ɐ k t o ɹ s
acuada	ɐ k u ɐ d ɐ
acuado	ɐ k u ɐ d u
acuados	ɐ k u ɐ d u s
acuda	ɐ k u d ɐ
acudir	ɐ k u d ʒ i ɹ
acuidade	ɐ k uj d ɐ d ʒ i
acumula	ɐ k ũ m u l ɐ
acumulada	ɐ k ũ m u l ɐ d ɐ
acumuladas	ɐ k ũ m u l ɐ d ɐ s
acumulado	ɐ k ũ m u l ɐ d u
acumulados	ɐ k ũ m u l ɐ d u s
acumulam	ɐ k ũ m u l ɐ̃w̃
acumulando	ɐ k ũ m u l ɐ̃ d u
acumular	ɐ k ũ m u l ɐ ɹ
acumularam	ɐ k ũ m u l ɐ ɾ ɐ̃w̃
acumulava	ɐ k ũ m u l ɐ v ɐ
acumulavam	ɐ k ũ m u l ɐ v ɐ̃w̃
acumulação	ɐ k ũ m u l ɐ s ɐ̃w̃
acumulações	ɐ k ũ m u l ɐ s õj̃ s
acumulou	ɐ k ũ m u l ow
acupuntura	ɐ k u p ũ t u ɾ ɐ
acurada	ɐ k u ɾ ɐ d ɐ
acusa	ɐ k u z ɐ
acusada	ɐ k u z ɐ d ɐ
acusadas	ɐ k u z ɐ d ɐ s
acusado	ɐ k u z ɐ d u
acusador	ɐ k u z ɐ d o ɹ
acusadores	ɐ k u z ɐ d o ɾ i s
acusados	ɐ k u z ɐ d u s
acusam	ɐ k u z ɐ̃w̃
acusando	ɐ k u z ɐ̃ d u
acusar	ɐ k u z ɐ ɹ
acusaram	ɐ k u z ɐ ɾ ɐ̃w̃
acusatória	ɐ k u z ɐ t ɔ ɾ i ɐ
acusava	ɐ k u z ɐ v ɐ
acusavam	ɐ k u z ɐ v ɐ̃w̃
acusação	ɐ k u z ɐ s ɐ̃w̃
acusações	ɐ k u z ɐ s õj̃ s
acuse	ɐ k u z i
acusou	ɐ k u z ow
acusá	ɐ k u z ɐ
acácias	ɐ k ɐ s i ɐ s
acácio	ɐ k ɐ s i u
acéfalo	ɐ s ɛ f ɐ l u
acém	ɐ s ẽj̃
acórdão	ɐ k ɔ ʁ d ɐ̃w̃
acórdãos	ɐ k ɔ ʁ d ɐ̃w̃ s
acúmulo	ɐ k u m u l u
acústica	ɐ k u s t ʃ i k ɐ
acústicas	ɐ k u s t ʃ i k ɐ s
acústico	ɐ k u s t ʃ i k u
acústicos	ɐ k u s t ʃ i k u s
ad	ɐ d ʒ
ada	ɐ d ɐ
adail	ɐ d ɐj w
adair	ɐ d ɐj ɹ
adalberto	ɐ d ɐw b e ɹ t u
adalgisa	ɐ d ɐw ʒ i z ɐ
adam	ɐ d ɐ̃w̃
adamantina	ɐ d ɐ m ɐ̃ t ʃ ĩ n ɐ
adami	ɐ d ɐ m i
adams	ɐ d ɐ̃ s
adapta	ɐ d ɐ p t ɐ
adaptabilidade	ɐ d ɐ p t ɐ b i l i d ɐ d ʒ i
adaptada	ɐ d ɐ p t ɐ d ɐ
adaptadas	ɐ d ɐ p t ɐ d ɐ s
adaptado	ɐ d ɐ p t ɐ d u
adaptador	ɐ d ɐ p t ɐ d o ɹ
adaptados	ɐ d ɐ p t ɐ d u s
adaptam	ɐ d ɐ p t ɐ̃w̃
adaptando	ɐ d ɐ p t ɐ̃ d u
adaptar	ɐ d ɐ p t ɐ ɹ
adaptaram	ɐ d ɐ p t ɐ ɾ ɐ̃w̃
adaptarem	ɐ d ɐ p t ɐ ɾ ẽj̃
adaptação	ɐ d ɐ p t ɐ s ɐ̃w̃
adaptações	ɐ d ɐ p t ɐ s õj̃ s
adapte	ɐ d ɐ p t ʃ i
adaptem	ɐ d ɐ p t ẽj̃
adaptou	ɐ d ɐ p t ow
adaptá	ɐ d ɐ p t ɐ
adaptável	ɐ d ɐ p t ɐ v ew
adauto	ɐ d ɐw t u
adaílton	ɐ d ɐ iw t õ
addams	ɐ d ʒ d ɐ̃ s
adega	ɐ d e ɡ ɐ
adegas	ɐ d e ɡ ɐ s
adelaide	ɐ d e l ɐj d ʒ i
adelar	ɐ d e l ɐ ɹ
adele	ɐ d e l i
adelina	ɐ d e l ĩ n ɐ
adelino	ɐ d e l ĩ n u
adelmar	ɐ d ew m ɐ ɹ
adelson	ɐ d ew s õ
ademais	ɐ d e m ɐj s
ademar	ɐ d e m ɐ ɹ
ademerval	ɐ d e m e ʁ v ɐw
ademir	ɐ d e m i ɹ
aden	ɐ d ẽ
adenauer	ɐ d e n ɐw e ɹ
adendo	ɐ d ẽ d u
adensadas	ɐ d ẽ s ɐ d ɐ s
adensado	ɐ d ẽ s ɐ d u
adensamento	ɐ d ẽ s ɐ m ẽ t u
adentro	ɐ d ẽ t ɾ u
adepta	ɐ d e p t ɐ
adeptas	ɐ d e p t ɐ s
adepto	ɐ d e p t u
adeptos	ɐ d e p t u s
adequa	ɐ d e k w ɐ
adequada	ɐ d e k w ɐ d ɐ
adequadamente	ɐ d e k w ɐ d ɐ m ẽ t ʃ i
adequadas	ɐ d e k w ɐ d ɐ s
adequado	ɐ d e k w ɐ d u
adequados	ɐ d e k w ɐ d u s
adequando	ɐ d e k w ɐ̃ d u
adequar	ɐ d e k w ɐ ɹ
adequarem	ɐ d e k w ɐ ɾ ẽj̃
adequação	ɐ d e k w ɐ s ɐ̃w̃
adequá	ɐ d e k u ɐ
aderbal	ɐ d e ʁ b ɐw
adere	ɐ d e ɾ i
aderem	ɐ d e ɾ ẽj̃
aderente	ɐ d e ɾ ẽ t ʃ i
adereço	ɐ d e ɾ e s u
adereços	ɐ d e ɾ e s u s
aderi	ɐ d e ɾ i
aderido	ɐ d e ɾ i d u
aderindo	ɐ d e ɾ ĩ d u
aderir	ɐ d e ɾ i ɹ
aderiram	ɐ d e ɾ i ɾ ɐ̃w̃
aderirem	ɐ d e ɾ i ɾ ẽj̃
aderiu	ɐ d e ɾ iw
aderência	ɐ d e ɾ ẽ s i ɐ
ades	ɐ d ʒ i s
adesismo	ɐ d e z i z m u
adesiva	ɐ d e z i v ɐ
adesivo	ɐ d e z i v u
adesivos	ɐ d e z i v u s
adestramento	ɐ d e s t ɾ ɐ m ẽ t u
adesão	ɐ d e z ɐ̃w̃
adesões	ɐ d e z õj̃ s
adeus	ɐ d ew s
adeval	ɐ d e v ɐw
adhemar	ɐ d e m ɐ ɹ
adia	ɐ d ʒ i ɐ
adiada	ɐ d ʒ i ɐ d ɐ
adiadas	ɐ d ʒ i ɐ d ɐ s
adiado	ɐ d ʒ i ɐ d u
adiados	ɐ d ʒ i ɐ d u s
adiam	ɐ d ʒ i ɐ̃w̃
adiamento	ɐ d ʒ i ɐ m ẽ t u
adiamentos	ɐ d ʒ i ɐ m ẽ t u s
adiando	ɐ d ʒ i ɐ̃ d u
adianta	ɐ d ʒ i ɐ̃ t ɐ
adiantada	ɐ d ʒ i ɐ̃ t ɐ d ɐ
adiantadas	ɐ d ʒ i ɐ̃ t ɐ d ɐ s
adiantado	ɐ d ʒ i ɐ̃ t ɐ d u
adiantados	ɐ d ʒ i ɐ̃ t ɐ d u s
adiantam	ɐ d ʒ i ɐ̃ t ɐ̃w̃
adiantamento	ɐ d ʒ i ɐ̃ t ɐ m ẽ t u
adiantamentos	ɐ d ʒ i ɐ̃ t ɐ m ẽ t u s
adiantando	ɐ d ʒ i ɐ̃ t ɐ̃ d u
adiantar	ɐ d ʒ i ɐ̃ t ɐ ɹ
adiantaram	ɐ d ʒ i ɐ̃ t ɐ ɾ ɐ̃w̃
adiantaria	ɐ d ʒ i ɐ̃ t ɐ ɾ i ɐ
adiantará	ɐ d ʒ i ɐ̃ t ɐ ɾ ɐ
adiantava	ɐ d ʒ i ɐ̃ t ɐ v ɐ
adiante	ɐ d ʒ i ɐ̃ t ʃ i
adiantou	ɐ d ʒ i ɐ̃ t ow
adiar	ɐ d ʒ i ɐ ɹ
adiaram	ɐ d ʒ i ɐ ɾ ɐ̃w̃
adib	ɐ d ʒ i b
adiciona	ɐ d ʒ i s i õ n ɐ
adicionada	ɐ d ʒ i s i o n ɐ d ɐ
adicionado	ɐ d ʒ i s i o n ɐ d u
adicionais	ɐ d ʒ i s i o n ɐj s
adicional	ɐ d ʒ i s i o n ɐw
adicionalmente	ɐ d ʒ i s i o n ɐw m ẽ t ʃ i
adicionando	ɐ d ʒ i s i o n ɐ̃ d u
adicionar	ɐ d ʒ i s i o n ɐ ɹ
adicione	ɐ d ʒ i s i õ n i
adidas	ɐ d ʒ i d ɐ s
adido	ɐ d ʒ i d u
adie	ɐ d ʒ i
adil	ɐ d ʒ iw
adilson	ɐ d ʒ iw s õ
adios	ɐ d ʒ i u s
adiou	ɐ d ʒ i ow
aditamento	ɐ d ʒ i t ɐ m ẽ t u
aditamentos	ɐ d ʒ i t ɐ m ẽ t u s
aditivados	ɐ d ʒ i t ʃ i v ɐ d u s
aditivo	ɐ d ʒ i t ʃ i v u
aditivos	ɐ d ʒ i t ʃ i v u s
adivinha	ɐ d ʒ i v ĩ ɲ ɐ
adivinhar	ɐ d ʒ i v ĩ ɲ ɐ ɹ
adivinhação	ɐ d ʒ i v ĩ ɲ ɐ s ɐ̃w̃
adivinhe	ɐ d ʒ i v ĩ ɲ i
adivinho	ɐ d ʒ i v ĩ ɲ u
adição	ɐ d ʒ i s ɐ̃w̃
adjacentes	ɐ d ʒ ʒ ɐ s ẽ t ʃ i s
adjacências	ɐ d ʒ ʒ ɐ s ẽ s i ɐ s
adjani	ɐ d ʒ ʒ ɐ n i
adjetivo	ɐ d ʒ ʒ e t ʃ i v u
adjetivos	ɐ d ʒ ʒ e t ʃ i v u s
adjunta	ɐ d ʒ ʒ ũ t ɐ
adjunto	ɐ d ʒ ʒ ũ t u
adjuntos	ɐ d ʒ ʒ ũ t u s
adler	ɐ d l e ɹ
adma	ɐ d ʒ m ɐ
admilson	ɐ d ʒ m iw s õ
administra	ɐ d ʒ m ĩ n i s t ɾ ɐ
administrada	ɐ d ʒ m ĩ n i s t ɾ ɐ d ɐ
administradas	ɐ d ʒ m ĩ n i s t ɾ ɐ d ɐ s
administrado	ɐ d ʒ m ĩ n i s t ɾ ɐ d u
administrador	ɐ d ʒ m ĩ n i s t ɾ ɐ d o ɹ
administradora	ɐ d ʒ m ĩ n i s t ɾ ɐ d o ɾ ɐ
administradoras	ɐ d ʒ m ĩ n i s t ɾ ɐ d o ɾ ɐ s
administradores	ɐ d ʒ m ĩ n i s t ɾ ɐ d o ɾ i s
administrados	ɐ d ʒ m ĩ n i s t ɾ ɐ d u s
administram	ɐ d ʒ m ĩ n i s t ɾ ɐ̃w̃
administrando	ɐ d ʒ m ĩ n i s t ɾ ɐ̃ d u
administrar	ɐ d ʒ m ĩ n i s t ɾ ɐ ɹ
administrará	ɐ d ʒ m ĩ n i s t ɾ ɐ ɾ ɐ
administration	ɐ d ʒ m ĩ n i s t ɾ ɐ t ʃ i õ
administrativa	ɐ d ʒ m ĩ n i s t ɾ ɐ t ʃ i v ɐ
administrativamente	ɐ d ʒ m ĩ n i s t ɾ ɐ t ʃ i v ɐ m ẽ t ʃ i
administrativas	ɐ d ʒ m ĩ n i s t ɾ ɐ t ʃ i v ɐ s
administrativo	ɐ d ʒ m ĩ n i s t ɾ ɐ t ʃ i v u
administrativos	ɐ d ʒ m ĩ n i s t ɾ ɐ t ʃ i v u s
administrava	ɐ d ʒ m ĩ n i s t ɾ ɐ v ɐ
administração	ɐ d ʒ m ĩ n i s t ɾ ɐ s ɐ̃w̃
administrações	ɐ d ʒ m ĩ n i s t ɾ ɐ s õj̃ s
administre	ɐ d ʒ m ĩ n i s t ɾ i
administrou	ɐ d ʒ m ĩ n i s t ɾ ow
administrá	ɐ d ʒ m ĩ n i s t ɾ ɐ
administrável	ɐ d ʒ m ĩ n i s t ɾ ɐ v ew
admira	ɐ d ʒ m i ɾ ɐ
admirada	ɐ d ʒ m i ɾ ɐ d ɐ
admiradas	ɐ d ʒ m i ɾ ɐ d ɐ s
admirado	ɐ d ʒ m i ɾ ɐ d u
admirador	ɐ d ʒ m i ɾ ɐ d o ɹ
admiradores	ɐ d ʒ m i ɾ ɐ d o ɾ i s
admirados	ɐ d ʒ m i ɾ ɐ d u s
admiram	ɐ d ʒ m i ɾ ɐ̃w̃
admirando	ɐ d ʒ m i ɾ ɐ̃ d u
