't	t
sielen	z i ə̯ l ə n
sinn	z i n
siwen	z iː v e n
siwent	z iː v ə n t
siwwenzéngt	z i v ə n t͡s e ŋ t
soen	z oː e n
sollen	z o l ə n
sonneg	z o n ə ɕ
soss	z o s
sou	z u
soueren	z ə ʊ̯ ə ʀ ə n
souwisou	z ə ʊ̯ v i z ə ʊ̯
spaassen	ʃ p aː s ə n
spadséieren	ʃ p ɑ d͡z ɜ ɪ̯ ə ʀ ə n
spezifesch	ʃ p æ t͡s iː f ə ʃ
spieren	ʃ p iː r e n
spillen	ʃ p i l ə n
spionéieren	ʃ p i o n ɜ ɪ̯ ə ʀ ə n
spläissen	ʃ p l æː ɪ s ə n
sprang	ʃ p ʀ ɑ ŋ
sprangen	ʃ p r a ŋ e n
sprangt	ʃ p ʀ ɑ ŋ t
spreeden	ʃ p ʀ eː d ə n
spreeën	ʃ p ʀ eː ə n
spriechen	ʃ p ʀ i e̯ χ e n
sproochlech	ʃ p ʀ oː χ l e χ
spréngs	ʃ p ʀ e ŋ s
spréngt	ʃ p ʀ e ŋ t
sprëtzen	ʃ p ʀ ə t͡s ə n
spueren	ʃ p uː r e n
spuert	ʃ p uː r t
späizen	ʃ p æː ɪ̯ t͡s ə n
spären	ʃ p eː ʀ e n
spëtzen	ʃ p ə t͡s ə n
staark	ʃ t aː r k
stamen	ʃ t aː m ə n
steiwen	ʃ t ɑ ɪ v ə n
stellen	ʃ t æ l ə n
stengeg	ʃ t æ ŋ ə ɕ
stengen	ʃ t æ ŋ ə n
stiechen	ʃ t i ə ɕ ə n
stiermesch	ʃ t iː ə̯ m ə ʃ
stierwen	ʃ t i e̯ v e n
stoen	ʃ t oː e n
stomm	ʃ t o m
stoppen	ʃ t o p ə n
stoussen	ʃ t e u̯ s e n
strecken	ʃ t ʀ æ k ə n
streeën	ʃ t r eː e n
streiden	ʃ t ʀ ɑ ɪ̯ d ə n
striewen	ʃ t ʀ i ə̯ v ə n
strofen	ʃ t ʀ oː f e n
sträichen	ʃ t r æ i̯ χ e n
sträifen	ʃ t ʀ æː ɪ̯ f ə n
strécken	ʃ t ʀ e k ə n
stänneg	ʃ t æ n e χ
stättesch	ʃ t æ t e ʃ
stécken	ʃ t e k e n
stëll	ʃ t ə l
stëllen	ʃ t ə l ə n
stëmmen	ʃ t ə m ə n
suergen	z u e̯ ʁ e n
sächlech	z æ χ l e χ
säin	z æː ɪ̯ n
säit	z æː ɪ̯ t
sécher	z e χ e r
séien	z ɜ ɪ̯ ə n
séier	z e i̯ e r
séileg	z ɜ ɪ l ə ɕ
séiss	z e i̯ s
séissen	z ɜ ɪ̯ s e n
sëffeg	z ə f ə ɕ
sëndegen	z e n d e ʁ e n
sëtzen	z ə t s ə n
taaschten	t aː ʃ t ə n
tommelen	t o m ə l ə n
toufen	t ə ʊ̯ f e n
trauen	t ʀ a u̯ e n
trauereg	t r a u̯ r e χ
traueren	t ʀ ɑ ʊ̯ ə ʀ ə n
treffen	t ʀ æ f ə n
trennen	t ʀ æ n ə n
trieden	t ʀ i ə̯ d ə n
triet	t ʀ i ə t
tréischten	t ʀ ɜ ɪ̯ ʃ t ə n
trëllen	t ʀ ə l ə n
trëppelen	t ʀ ə p ə l ə n
trëts	t ʀ ə t s
turquoise	t y r k v aː s
tuten	t uː t ə n
téinen	t e i̯ n e n
tëschen	t ə ʃ ə n
tëschent	t ə ʃ ə n t
tëscht	t e ʃ t
ubauen	u b ɑ ʊ̯ ə n
uechten	u ə̯ χ t e n
uechtzéngt	u ə̯ ɕ t͡s e ŋ t
ufillen	u f i l ə n
ufänken	u f æ ŋ k ə n
uklicken	u k l i k ə n
ukommen	u k o m ə n
uleeën	u l eː ə n
umaachen	u m aː χ ə n
un	u n
uneneen	u n ə n eː n
unerkennen	u n ɐ k æ n ə n
unhuelen	u n h u ə l ə n
uruffen	u ʀ u f ə n
uschléissen	u ʃ l ɜ ɪ̯ s ə n
uspriechen	u ʃ p ʀ i ə̯ χ e n
verbannen	f e ʀ b ɑ n e n
verbidden	f ɐ b i d ə n
verbréngen	f ɐ b ʀ e ŋ ə n
verbéissen	f ɐ b ɜ ɪ̯ s ə n
verdeedegen	f ɐ d eː d e ʁ e n
verdeelen	f ɐ d eː l ə n
verdroen	f ɐ d ʀ oː ə n
verdéngen	f ɐ d e ŋ ə n
vereelzt	f ɐ ʔ eː l t͡s t
vereenegen	f e r eː n e ʁ e n
vereinfachen	f ɐ ʔ ɑ ɪ̯ n f ɑ χ ə n
verfollegen	f ɐ f o l ə ʑ ə n
verfälschen	f ɐ f æ l ʃ ə n
verfälscht	f ɐ f æ l ʃ t
vergiess	f ɐ ɡ i ə s
vergiessen	f ɐ ɡ i ə s ə n
vergiesst	f ɐ ɡ i ə s t
verginn	f ɐ ɡ i n
vergläichen	f ɐ ɡ l æː ɪ̯ χ e n
vergréisseren	f ɐ ɡ ʀ ɜ ɪ̯ s ə ʀ ə n
vergëss	f ɐ ɡ ə s
vergësst	f ɐ ɡ ə s t
verherrlechen	f ə h ɛ ʁ l ə ɕ ə n
verkafen	f ɐ k aː f ə n
verletzen	f ɐ l æ t͡s ə n
verlounen	f ɐ l ə ʊ̯ n ə n
verluer	f e r l uː r
verléieren	f e r l e i̯ r e n
verléiwen	f ɐ l ɜ ɪ̯ v ə n
vermengt	f ɐ m æ ŋ t
vermëschen	f ɐ m ə ʃ ə n
vermëssen	f ɐ m ə s ə n
verschidden	f ɐ ʃ i d ə n
verschléissen	f ɐ ʃ l ɜ ɪ̯ s ə n
verschwieren	f ɐ ʃ w i ə̯ ʀ ə n
versetzen	f ɐ z æ t s ə n
versteeën	f ɐ ʃ t eː ə n
verstoen	f e ʀ ʃ t oː e n
verstoppen	f ɐ ʃ t o p ə n
vertrieden	f ɐ t ʀ i ə d ə n
veruechten	f ɐ u ə̯ χ t e n
verwonnen	f ɐ v o n ə n
verzeien	f ɐ t͡s ɑ ɪ̯ ə n
verzweiwelen	f ɐ t͡s w ɑ ɪ̯ v ə l ə n
veräisen	f ɐ æː ɪ̯ z ə n
veränneren	f ɐ æ n ə ʀ ə n
vexéieren	v æ k s ɜ ɪ̯ ə ʀ ə n
viischt	f iː ʃ t
vill	f i l
villmols	f i l m oː l s
vir	f iː ʀ
virdrun	f iː ə̯ d ʀ u n
virsiichteg	f iː ə̯ z iː ɕ t ə ɕ
virstellen	f iː ə̯ ʃ t æ l ə n
virun	f i ʀ u n
vläicht	f l æ i̯ χ t
voll	f o l
vreckt	f ʀ æ k t
vrun	f ʀ u n
vun	f u n
véiereckeg	f e i̯ r æ k e χ
véiert	f ɜ ɪ̯ ɐ t
véierzeg	f ɜ i̯ ɐ t͡s ə ɕ
véierzéng	f ɜ ɪ̯ ɐ t͡s e ŋ
véierzéngt	f ɜ ɪ̯ ɐ t͡s e ŋ t
waachen	v aː χ ə n
waarden	v aː r d e n
waarm	v aː r m
wackelen	v ɑ k ə l ə n
wanderen	v ɑ n d ə ʀ ə n
war	v aː r
wat	v aː t
weechen	v eː ɕ ə n
weeden	v eː d ə n
weeder	v eː d e r
weiblech	v ɑ ɪ̯ b l ə ɕ
weider	v ɑ ɪ̯ d ɐ
weien	v a i̯ e n
weisen	v ɑ ɪ̯ z ə n
weit	v a i̯ t
weltbekannt	v æ l d b ə k ɑ n t
wennen	v æ n ə n
werfen	v æ r f e n
wetten	v æ t ə n
wichteg	v i χ t e χ
wielen	v i ə l ə n
wiem	v i ə̯ m
wien	v i ə̯ n
wierdegen	v iː ʀ d e ʁ e n
wieren	v i ə ʀ ə n
wiesselen	v i ə̯ s ə l ə n
wiewen	v i ə̯ v ə n
wiiss	v iː s
wiisst	v iː s t
woen	v oː e n
wond	v o n t
wonneren	v o n ə ʀ ə n
wosst	v o s t
wossten	v o s t ə n
wou	v e u̯
wouer	v e u̯ e r
wousst	v ə ʊ̯ s t
woussten	v ə ʊ̯ s t ə n
wuesst	v u ə s t
wullen	v u l ə n
wunnen	v u n ə n
wäerten	v eː r t e n
wäiss	v æ i̯ s
wäissen	v æː ɪ s ə n
wäit	v æ i̯ t
wäschen	v æ ʃ ə n
wässeren	v æ s ə ʀ ə n
wéckelen	v e k ə l ə n
wéien	v e i̯ e n
wéineg	v ɜ ɪ̯ n ə ɕ
wéini	v e i̯ n i
wéinst	v ɜ ɪ̯ n s t
wéint	v ɜ ɪ n t
wéisst	v ɜ ɪ̯ s t
wéissten	v ɜ ɪ̯ s t ə n
wénken	v e ŋ k ə n
wënnen	v ə n ə n
wënschen	v ə n ʃ ə n
wëschen	v ə ʃ ə n
wëssentlech	v ə s ə n t l ə ɕ
wësst	v ə s t
zaart	t s aː r t
zabbeleg	t͡s ɑ b ə l ə ɕ
zabbelen	t͡s ɑ b ə l ə n
zanter	t s ɑ n t ɐ
zauberen	t s a u̯ b e r e n
ze	t s e
zecken	t s æ k e n
zeechnen	t s eː χ n e n
zeideg	t s a i̯ d e χ
zersetzen	t͡s ɐ z æ t s ə n
zeréck	t s e r e k
zerécksetzen	t s ə ʀ e k z æ t s ə n
zesummen	t͡s e z u m e n
zevill	t͡s ə f i l
zidderen	t͡s i d ə ʁ ə n
zielen	t͡s i ə l ə n
zieren	t͡s i ə ʀ ə n
ziichten	t s iː ɕ t ə n
zilen	t s iː l e n
zillen	t s i l e n
zitt	t͡s i t
zitts	t͡s i t s
zolidd	t͡s o l i t
zou	t s e u̯
zoudroen	t͡s ə ʊ̯ d ʀ oː ə n
zouen	t s ə ʊ ə n
zoufälleg	t͡s ə ʊ̯ f æ l ə ɕ
zoumaachen	t͡s ə ʊ̯ m aː χ ə n
zousetzen	t͡s ə ʊ z æ t s ə n
zouspriechen	t͡s ə ʊ̯ ʃ p ʀ i ə̯ χ e n
zoustänneg	t͡s ə ʊ̯ ʃ t æ n ə ɕ
zousätzlech	t͡s ə ʊ̯ z æ t͡s l ə ɕ
zu	t͡s u
zugläich	t͡s u ɡ l æː ɪ̯ ɕ
zwangsrekrutéieren	t͡s w ɑ ŋ s ʀ ə k ʀ u t ɜ ɪ̯ ə ʀ ə n
zwanzeg	t͡s w ɑ n t͡s ə ɕ
zwanzegst	t͡s w ɑ n t͡s ə ɕ s t
zwee	t s v eː
zweeeeëg	t s v eː eː e χ
zweemol	t͡s w eː m oː l
zweet	t͡s w eː t
zweiwelen	t s v a i̯ v e l e n
zwieleft	t͡s w i ə̯ l ə f t
zwitscher	t͡s w i t͡ʃ ɐ
zwitscheren	t͡s w i t͡ʃ ə ʀ ə n
zwitschers	t͡s w i t͡ʃ ɐ s
zwitschert	t͡s w i t͡ʃ ɐ t
zwéngen	t͡s w e ŋ ə n
zwëschen	t͡s w ə ʃ ə n
zwëschent	t͡s w ə ʃ ə n t
zwëscht	t͡s w ə ʃ t
zäertlech	t͡s ɛː ə̯ t l ə ɕ
zéi	t s e i̯
zéien	t͡s ɜ ɪ̯ ə n
zéit	t͡s ɜ ɪ̯ t
zéng	t s e ŋ
zéngt	t͡s e ŋ t
zënter	t s ə n t ɐ
äbt	æ p t
äerd	eː r t
äerdbier	eː r t b iː r
äerm	eː r m
äerz	eː ʀ t s
äerzbëschof	eː ʀ t s b e ʃ o f
äis	æ i̯ s
äisbier	æ i̯ s b iː ʀ
äisbierg	æ i̯ s b i e̯ χ
äisch	æ i̯ ʃ
äishockey	æ i̯ s h o k i
äisvull	æ i̯ s f u l
äiszäit	æ i̯ s t s æ i̯ t
ännerung	æ n e ʀ u ŋ
äntwert	æ n t v e ʀ t
äppel	æ p ə l
äppeljus	æ p e l ʒ y
äppeltaart	æ p e l t aː t
äppeltäsch	æ p e l t æ ʃ
äppelviz	æ p e l f iː t s
äquator	æ k v aː t o ʀ
äsch	æ ʃ
äschepuddel	æ ʃ e p u d e l
äschermëttwoch	æ ʃ e ʀ m e t v o χ
äscht	æ ʃ t
äss	æ s
é	e
ë	ə
ëffnung	e f n u ŋ
ëmdréiung	e m d ʀ e i̯ u ŋ
ëmgang	e m ɡ a ŋ
ëmgangssprooch	e m ɡ a ŋ s ʃ p ʀ oː χ
ëmwelt	e m v æ l t
ënn	e n
ënnerdaach	e n e ʀ d aː χ
ënnergang	e n e ʀ ɡ a ŋ
ënnerläif	e n e ʀ l æ i̯ f
ënnerscheed	e n e ʀ ʃ eː t
ënnerwäsch	e n e ʀ v æ ʃ
äddi	æ d i
äiseg	æ i̯ z e χ
äiskal	æ i̯ s k aː l
änneren	æ n e ʀ e n
äntweren	æ n t v e ʀ e n
äusseren	o i̯ s e r e n
äusserlech	o i̯ s e r l e χ
ëffentlech	e f e n t l e χ
ëm	e m
ëmdoen	e m d o e n
ëmdréien	e m d ʀ e i̯ e n
ëmgangssproochlech	e m ɡ a ŋ s ʃ p ʀ oː χ l e χ
ëmleeën	e m l e e n
ëmsetzen	e m z æ t s e n
ëmänneren	e m æ n e ʀ e n
ënnen	e n e n
ënner	e n e ʀ
ënnerbréngen	e n e r b r e ŋ e n
ënnerleeën	e n e ʀ l e e n
ënnerleien	e n e ʀ l a i̯ e n
ënnersträichen	e n e r ʃ t r æ i̯ χ e n
ëss	e s
ësst	e s t
ëstlech	e s t l e χ
