-al	a l
adoptianismus	ʔ a d o p t͡s ɪ a n ɪ z m u s
adoptianizmus	a d o p t ɪ a n ɪ z m u s
adoptovat	a d o p t o v a t
adoptovati	a d o p t o v a c ɪ
adorovat	a d o r o v a t
adrenalin	a d r ɛ n a l iː n
adrenalinoví	a d r ɛ n a l ɪ n o v iː
adrenalinový	a d r ɛ n a l ɪ n o v iː
adres	a d r ɛ s
adresa	a d r ɛ s a
adresami	a d r ɛ s a m ɪ
adrese	a d r ɛ s ɛ
adresnost	a d r ɛ s n o s t
adreso	a d r ɛ s o
adresou	a d r ɛ s ou̯
adresovat	a d r ɛ s o v a t
adresovatelnost	a d r ɛ s o v a t ɛ l n o s t
adresovatelný	ʔ a d r ɛ s o v a t ɛ l n iː
adresu	a d r ɛ s u
adresy	a d r ɛ s ɪ
adresách	a d r ɛ s aː x
adresám	a d r ɛ s aː m
adresát	ʔ a d r ɛ s aː t
adresátce	a d r ɛ s aː t t͡s ɛ
adresátek	a d r ɛ s aː t ɛ k
adresátem	ʔ a d r ɛ s aː t ɛ m
adresátka	a d r ɛ s aː t k a
adresátkami	a d r ɛ s aː t k a m ɪ
adresátko	a d r ɛ s aː t k o
adresátkou	a d r ɛ s aː t k ou̯
adresátku	a d r ɛ s aː t k u
adresátky	a d r ɛ s aː t k ɪ
adresátkách	a d r ɛ s aː t k aː x
adresátkám	a d r ɛ s aː t k aː m
adresátův	a d r ɛ s aː t uː f
adrian	a d r ɪ a n
adrián	a d r ɪ aː n
adriánův	a d r ɪ j aː n uː f
adršpašský	a d r ʃ p a ʃ s k iː
adultismus	a d u l t ɪ z m u s
advekce	a d v ɛ k t͡s ɛ
advent	a d v ɛ n t
adventismus	a d v ɛ n t ɪ z m u s
adventizmus	a d v ɛ n t ɪ z m u s
adventní	a d v ɛ n t ɲ iː
adverbium	ʔ a d v ɛ r b ɪ j u m
adverbiální	a d v ɛ r b ɪ j aː l ɲ iː
advokát	a d v o k aː t
advokátka	a d v o k aː t k a
advokátní	a d v o k aː t ɲ iː
advokátu	a d v o k aː t u
advokátův	a d v o k aː t uː f
adygejština	a d ɪ ɡ ɛ j ʃ c ɪ n a
aerobický	a ɛ r o b ɪ t͡s k iː
aerobik	a ɛ r o b ɪ k
aerobní	a ɛ r o b ɲ iː
aerodynamika	a ɛ r o d ɪ n a m ɪ k a
aeroembolismus	a ɛ r o ɛ m b o l ɪ z m u s
aeroembolizmus	a ɛ r o ɛ m b o l ɪ z m u s
aerofobní	a ɛ r o f o b ɲ iː
aerolinie	a ɛ r o l ɪ n ɪ j ɛ
aerolinka	a ɛ r o l ɪ n k a
aerolinky	ʔ a ɛ r o l ɪ n k ɪ
aeroplán	a ɛ r o p l aː n
aerosol	a ɛ r o s o l
aerostatika	a ɛ r o s t a t ɪ k a
aerotropismus	a ɛ r o t r o p ɪ z m u s
aerotropizmus	a ɛ r o t r o p ɪ z m u s
afektivní	a f ɛ k t ɪ v ɲ iː
afektní	a f ɛ k t ɲ iː
aferentní	a f ɛ r ɛ n t ɲ iː
afghánce	a f ɡ aː n t͡s ɛ
afghánec	a f ɡ aː n ɛ t͡s
afghánistán	a f ɡ aː n ɪ s t aː n
afghánka	a f ɡ aː n k a
afghánský	a f ɡ ɦ aː n s k iː
afinerie	a f ɪ n ɛ r ɪ j ɛ
afinita	a f ɪ n ɪ t a
aforismus	a f o r ɪ z m u s
aforizmus	a f o r ɪ z m u s
africe	a f r ɪ t͡s ɛ
africky	a f r ɪ t͡s k ɪ
africký	a f r ɪ t͡s k iː
afrických	a f r ɪ t͡s k iː x
afrika	ʔ a f r ɪ k a
afrikanista	a f r ɪ k a n ɪ s t a
afrikanistika	a f r ɪ k a n ɪ s t ɪ k a
afrikán	a f r ɪ k aː n
afrikánec	a f r ɪ k aː n ɛ t͡s
afrikánsky	a f r ɪ k aː n s k ɪ
afrikánština	a f r ɪ k aː n ʃ c ɪ n a
afrikáta	a f r ɪ k aː t a
afričan	a f r ɪ t͡ʃ a n
afričanka	a f r ɪ t͡ʃ a n k a
afričanův	a f r ɪ t͡ʃ a n uː f
afroamerický	a f r o a m ɛ r ɪ t͡s k iː
afroameričan	a f r o a m ɛ r ɪ t͡ʃ a n
afroameričanka	a f r o a m ɛ r ɪ t͡ʃ a n k a
afrodita	a f r o d ɪ t a
afrodité	a f r o ɟ ɪ t ɛː
afrodiziakální	ʔ a f r o d ɪ z ɪ j a k aː l ɲ iː
aft	a f t
afta	a f t a
aféra	a f ɛː r a
aféry	a f ɛː r ɪ
agama	a ɡ a m a
agamemnón	a ɡ a m ɛ m n oː n
agend	a ɡ ɛ n t
agenda	a ɡ ɛ n d a
agent	a ɡ ɛ n t
agentur	a ɡ ɛ n t u r
agentura	a ɡ ɛ n t u r a
agenturami	a ɡ ɛ n t u r a m ɪ
agenturní	a ɡ ɛ n t u r ɲ iː
agenturo	a ɡ ɛ n t u r o
agenturou	a ɡ ɛ n t u r ou̯
agenturu	a ɡ ɛ n t u r u
agentury	a ɡ ɛ n t u r ɪ
agenturách	a ɡ ɛ n t u r aː x
agenturám	a ɡ ɛ n t u r aː m
agentuře	a ɡ ɛ n t u r̝ ɛ
agentův	a ɡ ɛ n t uː f
ageotropismus	a ɡ ɛ o t r o p ɪ z m u s
ageotropizmus	a ɡ ɛ o t r o p ɪ z m u s
agiliťák	a ɡ ɪ l ɪ c aː k
agilní	a ɡ ɪ l ɲ iː
agitace	ʔ a ɡ ɪ t a t͡s ɛ
aglomerace	ʔ a ɡ l o m ɛ r a t͡s ɛ
agnosticismus	a ɡ n o s c ɪ t s ɪ s m u s
agnosticizmus	a ɡ n o s c ɪ t s ɪ z m u s
agnostický	a ɡ n o s t ɪ t͡s k iː
agnostik	a ɡ n o s c ɪ k
agnostička	a ɡ n o s t ɪ t͡ʃ k a
agogika	a ɡ o ɡ ɪ k a
agonie	a ɡ o n ɪ j ɛ
agora	a ɡ o r a
agramatismus	a ɡ r a m a t ɪ z m u s
agramatizmus	a ɡ r a m a t ɪ z m u s
agregace	ʔ a ɡ r ɛ ɡ a t͡s ɛ
agrese	a ɡ r ɛ s ɛ
agresivní	a ɡ r ɛ s ɪ v ɲ iː
agresivním	a ɡ r ɛ s ɪ v ɲ iː m
agresivnější	a ɡ r ɛ s ɪ v ɲ ɛ j ʃ iː
agresor	a ɡ r ɛ s o r
agresívní	a ɡ r ɛ s iː v ɲ iː
agroklimatologický	a ɡ r o k l ɪ m a t o l o ɡ ɪ t͡s k iː
agroklimatologie	a ɡ r o k l ɪ m a t o l o ɡ ɪ j ɛ
agrotextilie	a ɡ r o t ɛ k s t iː l ɪ j ɛ
agrárnice	a ɡ r aː r ɲ ɪ t s ɛ
agrární	a ɡ r aː r ɲ iː
agrárník	a ɡ r aː r ɲ iː k
agáta	a ɡ aː t a
agáve	a ɡ aː v ɛ
agávoví	a ɡ aː v o v iː
agávový	a ɡ aː v o v iː
ah	a x
aha	a ɦ a
ahaggar	a ɦ a ɡ a r
ahistorismus	a ɦ ɪ s t o r ɪ z m u s
ahistorizmus	a ɦ ɪ s t o r ɪ z m u s
ahoj	a ɦ o j
ahojky	a ɦ o j k ɪ
ahá	a ɦ aː
aids	a j t͡s
aigis	a j ɡ ɪ s
aigína	a ɪ ɡ iː n a
airbag	ɛ r b ɛ k
airsofťák	ɛː r s o f c aː k
aj	ɛ ɪ d͡ʒ ɛ ɪ
ajbiškový	a j b ɪ ʃ k o v iː
ajfr	ʔ a j f r
aji	a j ɪ
ajmarština	ʔ a j m a r ʃ c ɪ n a
ajnclík	a j n t͡s l iː k
ajnclíček	ʔ a ɪ n t͡s l iː t͡ʃ ɛ k
ajncvaj	a j n t͡s v a j
ajnfachový	ʔ a j n f a x o v iː
ajran	a j r a n
ajznboňák	a j z n b o ɲ aː k
ajznboňákův	a j z n b o ɲ aː k uː f
ajťák	a j c aː k
ajťákův	a j c aː k uː f
akademické	a k a d ɛ m ɪ t͡s k ɛː
akademický	a k a d ɛ m ɪ t͡s k iː
akademie	a k a d ɛ m ɪ j ɛ
akademikův	a k a d ɛ m ɪ k uː f
akademismus	a k a d ɛ m ɪ z m u s
akademizmus	a k a d ɛ m ɪ z m u s
akademička	a k a d ɛ m ɪ t͡ʃ k a
akanština	a k a n ʃ c ɪ n a
akara	a k a r a
akarka	a k a r k a
akce	a k t͡s ɛ
akcelerometr	a k t͡ʃ ɛ l ɛ r o m ɛ t r
akcelerovat	ʔ a k t͡s ɛ l ɛ r o v a t
akcentovat	a k t s ɛ n t o v a t
akceptovat	a k t͡s ɛ p t o v a t
akci	a k t͡s ɪ
akcidence	ʔ a k t͡s ɪ d ɛ n t͡s ɛ
akcie	a k t͡s ɪ j ɛ
akciovka	a k t͡s ɪ j o f k a
akcioví	a k t͡s ɪ j o v iː
akciový	a k t͡s ɪ j o v iː
akcizák	a k t͡s ɪ z aː k
akcička	a k t͡s ɪ t͡ʃ k a
akcí	a k t͡s iː
akcízák	a k t͡s iː z aː k
akkadština	a k a t ʃ c ɪ n a
akméismus	a k m ɛː ɪ z m u s
akméizmus	a k m ɛː ɪ z m u s
akné	ʔ a k n ɛː
akomodace	a k o m o d a t͡s ɛ
akontace	a k o n t a t͡s ɛ
akord	a k o r t
akorát	a k o r aː t
akr	a k r
akribie	a k r iː b ɪ j ɛ
akrobata	a k r o b a t a
akromegalie	a k r o m ɛ ɡ a l ɪ j ɛ
akronym	a k r o n ɪ m
akronymech	a k r o n ɪ m ɛ x
akronymem	a k r o n ɪ m ɛ m
akronymu	a k r o n ɪ m u
akronymum	a k r o n ɪ m u m
akronymy	a k r o n ɪ m ɪ
akronymům	a k r o n ɪ m uː m
akropole	a k r o p o l ɛ
akrostich	a k r o s t ɪ x
aksamit	a k s a m ɪ t
akt	a k t
aktinium	a k t iː n ɪ j u m
aktinoid	a k t ɪ n o j t
aktivismus	a k c ɪ v ɪ z m u s
aktivistka	a k t ɪ v ɪ s t k a
aktivisté	ʔ a k t ɪ v ɪ s t ɛː
aktivistů	ʔ a k t ɪ v ɪ s t uː
aktivita	a k t ɪ v ɪ t a
aktivity	a k t ɪ v ɪ t ɪ
aktivitám	a k t ɪ v ɪ t aː m
aktivizmus	a k c ɪ v ɪ z m u s
aktivní	ʔ a k t ɪ v ɲ iː
aktivně	a k t ɪ v ɲ ɛ a k t iː v ɲ ɛ
aktivovaný	a k t ɪ v o v a n iː
aktivovat	a k t ɪ v o v a t
aktivovati	a k t ɪ v o v a c ɪ
aktivován	a k t ɪ v o v aː n
aktivovány	a k t ɪ v o v aː n ɪ
aktivují	a k t ɪ v u j iː
aktovečka	a k t o v ɛ t͡ʃ k a
aktovka	a k t o f k a
aktualismus	a k t u a l ɪ z m u s
aktualizmus	a k t u a l ɪ z m u s
aktualizovaný	a k t u a l ɪ z o v a n iː
aktuální	a k t u aː l ɲ iː
aktuálně	a k t u aː l ɲ ɛ
akumulace	ʔ a k u m u l a t͡s ɛ
akumulátor	a k u m u l aː t o r
akumulátoroví	a k u m u l aː t o r o v iː
akumulátorový	a k u m u l aː t o r o v iː
akupunktura	a k u p u n k t u r a
akuratesní	a k u r a t ɛ s ɲ iː
akustika	a k u s t ɪ k a
akutní	a k u t ɲ iː
akuzativ	a k u z a t ɪ f
akušroubovák	a k u ʃ r o u b o v aː k
akvabela	a k v a b ɛ l a
akvadukt	a k v a d u k t
akvamarín	a k v a m a r iː n
akvamarínový	a k v a m a r iː n o v iː
akvapark	a k v a p a r k
akvarel	a k v a r ɛ l
akvinský	ʔ a k v ɪ n s k iː
akvisice	a k v ɪ z ɪ t͡s ɛ
akvitánie	a k v ɪ t aː ɲ ɪ ɛ
akvitánský	a k v ɪ t aː n s k iː
akvizice	a k v ɪ z ɪ t͡s ɛ
akvárium	a k v aː r ɪ j u m
akácie	a k aː t͡s ɪ j ɛ
akán	a k aː n
akánci	a k aː n t͡s ɪ
akánec	a k aː n ɛ t͡s
akáni	a k aː ɲ ɪ
akánka	a k aː n k a
akánsky	a k aː n s k ɪ
akánčanka	a k aː n t͡ʃ a n k a
akánština	a k aː n ʃ c ɪ n a
akát	a k aː t a ɡ aː t
akátový	a k aː t o v iː
akční	a k t͡ʃ ɲ iː
akčňák	a k t͡ʃ ɲ aː k
ala	a l a
alabama	a l a b a m a
alabastr	a l a b a s t r
alabastroví	a l a b a s t r o v iː
alabastrový	a l a b a s t r o v iː
alamánie	a l a m aː n ɪ j ɛ
alanův	a l a n uː f
alarm	a l a r m
alaš	a l a ʃ
alb	a l p
alba	a l b a
albatros	a l b a t r o s
albedo	a l b ɛ d o
albert	a l b ɛ r t
alberta	a l b ɛ r t a
albertovi	a l b ɛ r t o v ɪ
albertově	a l b ɛ r t o v j ɛ
albertův	a l b ɛ r t uː f
albinismus	a l b ɪ n ɪ z m u s
albinizmus	a l b ɪ n ɪ z m u s
albrechtice	a l b r ɛ x c ɪ t͡s ɛ
albrechtický	a l b r ɛ x c ɪ t s k iː
albrechtičanky	ʔ a l b r ɛ x c ɪ t͡ʃ a n k ɪ
albrechtičský	a l b r ɛ x c ɪ t͡ʃ s k iː
albrechtův	a l b r ɛ x t uː f
albrightová	ʔ oː l b r a j t o v aː
album	a l b u m
albumin	ʔ a l b u m ɪ n
albuminurie	a l b u m ɪ n u r ɪ j ɛ
albánec	ʔ a l b aː n ɛ t͡s
albánie	a l b aː n ɪ j ɛ
albánka	ʔ a l b aː n k a
albánsky	a l b aː n s k ɪ
albánský	a l b aː n s k iː
albánština	a l b aː n ʃ c ɪ n a
albín	a l b iː n
albínka	a l b iː n k a
albínský	a l b iː n s k iː
albínův	a l b iː n uː f
alchymie	a l x ɪ m ɪ j ɛ
alchymista	a l x ɪ m ɪ s t a
alchymistický	a l x ɪ m ɪ s t ɪ t͡s k iː
aldehyd	a l d ɛ ɦ ɪ t
aldosteronismus	a l d o s t ɛ r o n ɪ z m u s
aldosteronizmus	a l d o s t ɛ r o n ɪ z m u s
aldrovandka	a l d r o v a n t k a
ale	ɛ ɪ l
alef	a l ɛ f
alegorický	a l ɛ ɡ o r ɪ t͡s k iː
alej	a l ɛ j
alejoví	a l ɛ j o v iː
alejový	a l ɛ j o v iː
alela	a l ɛ l a
alelismus	a l ɛ l ɪ z m u s
alelizmus	a l ɛ l ɪ z m u s
alemánie	a l ɛ m aː n ɪ j ɛ
alemánii	a l ɛ m aː n ɪ j ɪ
alemánií	a l ɛ m aː n ɪ j iː
alena	a l ɛ n a
alence	ʔ a l ɛ n t͡s ɛ
alenka	a l ɛ n k a
alenku	ʔ a l ɛ n k u
alergen	a l ɛ r ɡ ɛ n
alergická	a l ɛ r ɡ ɪ t͡s k aː
alergický	a l ɛ r ɡ ɪ t͡s k iː
alergie	a l ɛ r ɡ ɪ j ɛ
alergii	a l ɛ r ɡ ɪ j ɪ
alespoň	ʔ a l ɛ s p o ɲ
aleuty	a l eu̯ t ɪ
alexandr	a l ɛ k s a n d r
alexandra	a l ɛ k s a n d r a
alexandrie	ʔ a l ɛ k s a n d r ɪ j ɛ
alexandrijský	a l ɛ k s a n d r ɪ j s k iː
alexandrinismus	a l ɛ k s a n d r ɪ n ɪ z m u s
alexandrinizmus	a l ɛ k s a n d r ɪ n ɪ z m u s
alexandrův	a l ɛ k s a n d r uː f
alexie	a l ɛ k s ɪ j ɛ
aleš	a l ɛ ʃ
alešův	a l ɛ ʃ uː f
alfa	a l f a
alfabet	a l f a b ɛ t
alfabeta	a l f a b ɛ t a
alfonsův	a l f o n z uː f
alfrédův	a l f r ɛː d uː f
algebra	a l ɡ ɛ b r a
algologie	a l ɡ o l o ɡ ɪ j ɛ
algoritmus	a l ɡ o r ɪ t m u s
alhambra	a l ɦ a m b r a
alhidáda	a l ɦ ɪ d aː d a
alibi	a l ɪ b ɪ
alibismus	a l ɪ b ɪ z m u s
alibisticky	ʔ a l ɪ b ɪ s t ɪ t͡s k ɪ
alibizmus	a l ɪ b ɪ z m u s
alicante	a l ɪ k a n t ɛ
alice	a l ɪ t s ɛ
alienace	a l ɪ j ɛ n a t͡s ɛ
aligátor	a l ɪ ɡ aː t o r
aligátoří	a l ɪ ɡ aː t o r̝ iː
alimenty	a l ɪ m ɛ n t ɪ
alimentární	a l ɪ m ɛ n t aː r ɲ iː
aljaška	a l j a ʃ k a
aljašský	a l j a ʃ s k iː
alka	ʔ a l k a
alkalofyt	a l k a l o f ɪ t
alko	ʔ a l k o
alkohol	a l k o ɦ o l
alkoholem	a l k o ɦ o l ɛ m
alkoholický	a l k o ɦ o l ɪ t͡s k iː
alkoholik	a l k o ɦ o l ɪ k
alkoholikův	a l k o ɦ o l ɪ k uː f
alkoholismus	a l k o ɦ o l ɪ z m u s
alkoholizmus	a l k o ɦ o l ɪ z m u s
alkoholička	a l k o ɦ o l ɪ t͡ʃ k a
alkoholu	a l k o ɦ o l u
alkovna	ʔ a l k o v n a
alku	a l k u
alkyl	a l k ɪ l
allegro	a l ɛ ɡ r o
alláh	a l aː x
alláhův	a l aː ɦ uː f
alma-ata	a l m a a t a
almanach	a l m a n a x
almanachoví	a l m a n a x o v iː
almanachový	a l m a n a x o v iː
almara	a l m a r a
almaroví	a l m a r o v iː
almarový	a l m a r o v iː
almaty	a l m a t ɪ
almužna	a l m u ʒ n a
almužnička	a l m u ʒ ɲ ɪ t͡ʃ k a
almužník	a l m u ʒ ɲ iː k
almárka	a l m aː r k a
alogismus	a l o ɡ ɪ z m u s
alogizmus	a l o ɡ ɪ z m u s
alois	a l o j s
aloisie	a l o ɪ s ɪ ɛ
aloisův	a l o ɪ z uː f
alojzovský	a l o j z o f s k iː
alokovat	a l o k o v a t
alokuje	a l o k u j ɛ
alooví	a l o o v iː
aloový	a l o o v iː
alotropismus	a l o t r o p ɪ z m u s
alotropizmus	a l o t r o p ɪ z m u s
alou	a l ou̯
alpaka	a l p a k a
alpakoví	a l p a k o v iː
alpakový	a l p a k o v iː
alpinismus	a l p ɪ n ɪ z m u s
alpinista	ʔ a l p ɪ n ɪ s t a
alpinizmus	a l p ɪ n ɪ z m u s
alpinka	a l p ɪ n k a
alpinský	a l p ɪ n s k iː
alpský	a l p s k iː
alpy	a l p ɪ
alpínka	a l p iː n k a
alsasanka	a l s a s a n k a
alsaska	a l s a s k a
alsasko	a l s a s k o
alsasky	a l s a s k ɪ
alsaská	a l s a s k aː
alsaský	a l s a s k iː
alt	a l t
altaj	a l t a j
altajský	a l t a j s k iː
alternativ	a l t ɛ r n a t ɪ f
alternativní	a l t ɛ r n a t iː v ɲ iː
alternativu	ʔ a l t ɛ r n a t ɪ v u
alternativě	a l t ɛ r n a t ɪ v j ɛ
alternátor	a l t ɛ r n aː t o r
alternátoroví	a l t ɛ r n aː t o r o v iː
alternátorový	a l t ɛ r n aː t o r o v iː
altner	a l t n ɛ r
altnera	a l t n ɛ r a
altnerovi	ʔ a l t n ɛ r o v ɪ
altnerův	a l t n ɛ r uː f
altocumulus	ʔ a l t o k u m u l u s
altruismus	a l t r u j ɪ z m u s
altruista	a l t r u ɪ s t a
altruistka	a l t r u ɪ s t k a
altruistku	a l t r u ɪ s t k u
altruizmus	a l t r u j ɪ z m u s
altán	a l t aː n
aluminioví	a l u m ɪ n ɪ j o v iː
aluminiový	a l u m ɪ n ɪ j o v iː
alumogel	a l u m o ɡ ɛ l
alumínioví	a l u m iː n ɪ j o v iː
alumíniový	a l u m iː n ɪ j o v iː
aluviální	a l u v ɪ j aː l ɲ iː
alveolopalatála	ʔ a l v ɛ o l o p a l a t aː l a
alveolára	ʔ a l v ɛ o l aː r a
alšovský	a l ʃ o f s k iː
alžběta	a l ʒ b j ɛ t a
alžbětinka	a l ʒ b j ɛ c ɪ n k a
alžír	a l ʒ iː r
alžírsko	a l ʒ iː r s k o
alžírský	a l ʒ iː r s k iː
alžířan	a l ʒ iː r̝ a n
alžířanka	a l ʒ iː r̝ a n k a
alžířanův	a l ʒ iː r̝ a n uː f
amadeus	a m aː d eu̯ s
amalgám	a m a l ɡ aː m
amalgáme	a m a l ɡ aː m ɛ
amalgámový	a m a l ɡ aː m o v iː
amant	ʔ a m a n t
amarouny	a m a r ou̯ n ɪ
amatér	ʔ a m a t ɛː r
amatérismus	a m a t ɛː r ɪ z m u s
amatérizmus	a m a t ɛː r ɪ z m u s
amatérské	a m a t ɛː r s k ɛː
amatérský	a m a t ɛː r s k iː
amatérským	a m a t ɛː r s k iː m
amatérův	a m a t ɛː r uː f
amazonka	a m a z o n k a
amazonský	a m a z o n s k iː
ambasador	ʔ a m b a s a d o r
ambasadorem	a m b a s a d o r ɛ m
ambasádě	a m b a s aː ɟ ɛ
ambažúra	ʔ a m b a ʒ uː r a
ambice	a m b ɪ t͡s ɛ
ambiciózní	a m b ɪ t͡s ɪ oː z ɲ iː
ambicím	a m b ɪ t͡s iː m
ambigram	a m b ɪ ɡ r a m
ambit	a m b ɪ t
amblyopický	ʔ a m b l ɪ j o p ɪ t͡s k iː
ambo	a m b o
ambona	a m b o n a
ambra	a m b r a
ambroví	a m b r o v iː
ambrový	a m b r o v iː
ambrožův	a m b r o ʒ uː f
ambulance	ʔ a m b u l a n t͡s ɛ
amen	a m ɛ n aː m ɛ n
amensalismus	a m ɛ n z a l ɪ z m u s
amenzalizmus	a m ɛ n z a l ɪ z m u s
americium	a m ɛ r iː t͡s ɪ j u m
americkém	a m ɛ r ɪ t͡s k ɛː m
americký	a m ɛ r ɪ t͡s k iː
americkým	a m ɛ r ɪ t͡s k iː m
amerika	a m ɛ r ɪ k a
amerikanismus	a m ɛ r ɪ k a n ɪ z m u s
amerikanizmus	a m ɛ r ɪ k a n ɪ z m u s
ameriku	ʔ a m ɛ r ɪ k u
amerikánka	a m ɛ r ɪ k aː n k a
američan	a m ɛ r ɪ t͡ʃ a n
američanka	a m ɛ r ɪ t͡ʃ a n k a
američanovi	a m ɛ r ɪ t͡ʃ a n o v ɪ
američtí	a m ɛ r ɪ t͡ʃ c iː
ametyst	a m ɛ t ɪ s t
ametystový	a m ɛ t ɪ s t o v iː
amfibolit	a m f ɪ b o l ɪ t
amfiteátr	ʔ a m f ɪ t ɛ aː t r
amfora	a m f o r a
amharština	ʔ a m ɦ a r ʃ c ɪ n a
aminokyselina	a m ɪ n o k ɪ s ɛ l ɪ n a
ammán	a m aː n
ammánský	a m aː n s k iː
amnestie	a m n ɛ s t ɪ j ɛ
amnestii	a m n ɛ s t ɪ j ɪ
amnestovat	a m n ɛ s t o v a t
amnestovati	a m n ɛ s t o v a c ɪ
amnézie	ʔ a m n ɛː z ɪ j ɛ
amok	a m o k
amoleta	a m o l ɛ t a
amoniak	a m o n ɪ j a k
amoniakoví	a m o n ɪ j a k o v iː
amoniakový	a m o n ɪ j a k o v iː
amoralismus	a m o r a l ɪ z m u s
amoralizmus	a m o r a l ɪ z m u s
amorfismus	a m o r f ɪ z m u s
amorfizmus	a m o r f ɪ z m u s
amorfní	a m o r f ɲ iː
amortizace	a m o r c ɪ z a t s ɛ
amorální	a m o r aː l ɲ iː
amos	a m o s
amosův	a m o s uː f
amplituda	a m p l ɪ t u d a
amplitudě	a m p l ɪ t u ɟ ɛ
amplión	a m p l ɪ oː n
ampule	a m p u l ɛ
amputace	a m p u t a t s ɛ
amputovaný	a m p u t o v a n iː
amputovat	a m p u t o v a t
amputovati	a m p u t o v a c ɪ
ampér	a m p ɛː r
ampérhodina	ʔ a m p ɛː r ɦ o ɟ ɪ n a
ampérmetr	a m p ɛː r m ɛ t r
ampéroví	a m p ɛː r o v iː
ampérový	a m p ɛː r o v iː
amsterdam	a m s t ɛ r d a m
amsterodam	a m s t ɛ r o d a m
amtsták	ʔ a m t͡s t aː k
amu	a m u
amudarja	a m u d a r j a
amulet	a m u l ɛ t
amur	a m u r
amurský	a m u r s k iː
amygdala	a m ɪ ɡ d a l a
amálie	a m aː l ɪ j ɛ
améba	a m ɛː b a
amélie	a m ɛː l ɪ ɛ
an	a n
ana	a n a
anabaptismus	a n a b a p t ɪ z m u s
anabaptizmus	a n a b a p t ɪ z m u s
anabaze	a n a b a z ɛ
anabolismus	a n a b o l ɪ z m u s
anabolizmus	a n a b o l ɪ z m u s
anabáze	a n a b aː z ɛ
anachronismus	a n a x r o n ɪ z m u s
anachronizmus	a n a x r o n ɪ z m u s
anacionalismus	a n a t s ɪ o n a l ɪ z m u s
anacionalizmus	a n a t s ɪ o n a l ɪ z m u s
anadromní	a n a d r o m ɲ iː
anaerobní	a n a ɛ r o b ɲ iː
anafylaktický	a n a f ɪ l a k t ɪ t͡s k iː
anaglyf	a n a ɡ l ɪ f
anagram	a n a ɡ r a m
anakolut	a n a k o l u t
anakonda	ʔ a n a k o n d a
analfabetismus	a n a l f a b ɛ t ɪ z m u s
analfabetizmus	a n a l f a b ɛ t ɪ z m u s
analgetický	a n a l ɡ ɛ t ɪ t͡s k iː
analgetikum	a n a l ɡ ɛ t ɪ k u m
analogie	ʔ a n a l o ɡ ɪ j ɛ
analysa	a n a l iː z a
analyse	a n a l iː z ɛ
analytický	ʔ a n a l ɪ t ɪ t͡s k iː
analytismus	a n a l ɪ t ɪ z m u s
analytizmus	a n a l ɪ t ɪ z m u s
analyzovat	a n a l ɪ z o v a t
analyzovati	a n a l ɪ z o v a c ɪ
analyzují	a n a l ɪ z u j iː
analýza	a n a l iː z a
ananas	a n a n a s
ananasovník	a n a n a s o v ɲ iː k
ananasovou	a n a n a s o v ou̯
ananasová	a n a n a s o v aː
ananasové	a n a n a s o v ɛː
ananasového	a n a n a s o v ɛː ɦ o
ananasovém	a n a n a s o v ɛː m
ananasovému	a n a n a s o v ɛː m u
ananasoví	a n a n a s o v iː
ananasový	a n a n a s o v iː
ananasových	a n a n a s o v iː x
ananasovým	a n a n a s o v iː m
ananasovými	a n a n a s o v iː m ɪ
ananym	a n a n ɪ m
anarchie	a n a r x ɪ j ɛ
anarchismus	a n a r x ɪ z m u s
anarchista	a n a r x ɪ s t a
anarchistický	a n a r x ɪ s c ɪ t s k iː
anarchistka	a n a r x ɪ s t k a
anarchizmus	a n a r x ɪ z m u s
anarchokomunismus	a n a r x o k o m u n ɪ z m u s
anarchokomunizmus	a n a r x o k o m u n ɪ z m u s
anarchosyndikalismus	a n a r x o s ɪ n d ɪ k a l ɪ z m u s
anarchosyndikalizmus	a n a r x o s ɪ n d ɪ k a l ɪ z m u s
anastázie	a n a s t aː z ɪ ɛ
anatolie	a n a t o l ɪ j ɛ
anatolský	a n a t o l s k iː
anatolák	a n a t o l aː k
anatom	a n a t o m
anatomický	a n a t o m ɪ t͡s k iː
anatomie	a n a t o m ɪ j ɛ
anatomy	a n a t o m ɪ
and	a n t
andalusanka	a n d a l u s a n k a
andalusie	a n d a l uː z ɪ j ɛ
andalusit	a n d a l u s ɪ t
andante	a n d a n t ɛ
andezit	a n d ɛ z ɪ t
andezitový	a n d ɛ z ɪ t o v iː
andohaniandranomena	ʔ a n d o ɦ a n ɪ j a n d r a n o m ɛ n a
andorra	a n d o r a
andorrský	a n d o r s k iː
andořan	a n d o r̝ a n
andořanka	a n d o r̝ a n k a
andragogika	a n d r a ɡ o ɡ ɪ k a
andrej	a n d r ɛ j
andrejův	a n d r ɛ j uː f
androfil	a n d r o f ɪ l
androfilie	a n d r o f iː l ɪ ɛ
androfilní	a n d r o f ɪ l ɲ iː
androgenní	a n d r o ɡ ɛ ɲ iː
androgynní	a n d r o ɡ ɪ ɲ iː
android	a n d r o ɪ t
androidní	a n d r o j d ɲ iː
andromeda	a n d r o m ɛ d a
andré	a n d r ɛː
andský	a n t͡s k iː a n t s k iː
andulák	a n d u l aː k
andy	a n d ɪ
andílek	a n ɟ iː l ɛ k
anděl	a n ɟ ɛ l
andělika	a n ɟ ɛ l ɪ k a
andělikový	a n ɟ ɛ l ɪ k o v iː
andělin	a n ɟ ɛ l ɪ n
