на	n a
поданням	p ɔ d a n nʲ a m
рангу	r a ŋ ɡ u
руси	r ʊ s i
трасі	t r a s i
ходила	x ɔ d i l a
first	f ɪ ɾ s t
гордон	ɡ ɔ r d ɔ n
дідько	d i d ɪ k ɔ
засадах	z a s a d a x
заходити	z a x ɔ d i tʲ i
змістом	z m i s t ɔ m
кидати	k i d a tʲ i
марок	m a r ɔ k
мінімальна	m i n i m a lʲ n a
одними	ɔ d n i m i
одною	ɔ d n ɔ j u
трамваї	t r a m v a j
фразу	f r a z u
щит	ɕ i t
язик	j a z i k
якi	j a k i
name	n ɑː m ɛ
say	s ɑː j
xv	xʷ
абзац	a b z a t͡sʰ
альянс	a ɮʲ j a n s
гриби	ɡ r i b i
джорджа	d͡ʒ ɔ r d͡ʒ a
дим	d i m
згодні	z ɡ ɔ d n i
марно	m a r n o
москвою	m ɔ s k v ɔ j u
нагляд	n a ɡ ɮʲ a d
народила	n a r ɔ d i l a
нік	n i k
особливу	ɔ s ɔ b l i v u
поставок	p ɔ s t a v ɔ k
приходу	p r i x ɔ d u
тримання	t r i m a n nʲ a
фотограф	f ɔ t ɔ ɡ r a f
цирку	t͡sʰ i r k u
made	m ɑː d ɛ
were	w ɛ ɾ ɛ
боги	b ɔ ɡ i
заново	z a n ɔ v ɔ
мапа	m a p a
масу	m a s u
нагода	n a ɣ ɔ d a
паркан	p a r k a n
прикраси	p r i k r a s i
радником	r a d n i k ɔ m
розкрадання	r ɔ z k r a d a n nʲ a
press	p ɾ ɛ s
аудит	a ʊ d i t
боки	b ɔ k i
доходить	d ɔ x ɔ d i tʲ
еге	j ɛ ɡ ɛ
зара	z a r a
заснований	z a s n ɔ v a n iː
набору	n a b ɔ r u
нарада	n a r a d a
палити	p a ɮ i tʲ i
порада	p ɔ r a d a
пошту	p ɔ ɕ t u
правому	p r a v ɔ m u
продали	p r ɔ d a l i
розробили	r ɔ z r ɔ b i l i
рухи	r ʊ x i
сорт	s ɔ r t
фаза	f a z a
файлів	f ɛː l i v
help	h ɛ l p
ад	a d
банда	b a n d a
додали	d ɔ d a l i
дом	d ɔ m
дрогобич	d r ɔ ɡ ɔ b i t͡ʃ
ел	j ɛ l
законних	z a k ɔ n n i x
кризу	k r i z u
монтаж	m ɔ n t a ʒ
названо	n a z v a n o
показано	p ɔ k a z a n o
понятно	p ɔ nʲ a t n o
празі	p r a z i
римі	r i m i
ритм	r i t m
ростов	r ɔ s t ɔ v
хабар	x a b a r
цитати	t͡sʰ i t a tʲ i
art	ɑ ɾ t
даю	d a j u
дошка	d ɔ ʃ k a
красива	k r a s i v a
неділі	n ɛ d i l i
певен	p ɛ v ɛ n
подала	p ɔ d a l a
подано	p ɔ d a n o
пригод	p r i ɡ ɔ d
підняли	p i d nʲ a l i
підозрюють	p i d ɔ z rʲ u j u tʲ
розказати	r ɔ z k a z a tʲ i
са	s a
сном	s n ɔ m
спроб	s p r ɔ b
сразу	s r a z u
хабара	x a b a r a
этой	e t ɔ j
язика	j a z i k a
last	l ɑ s t
берлін	b ɛ r l i n
бокс	b ɔ k s
джейн	d͡ʒ ɛ j n
жопа	ʒ ɔ p a
мазепа	m a z ɛ p a
носом	n ɔ s ɔ m
образів	ɔ b r a z i v
оо	oː
отримано	ɔ t r i m a n o
пили	p i l i
письмо	p i s ɪ m ɔ
потрапляють	p ɔ t r a p ɮʲ a j u tʲ
прощання	p r ɔ ɕ t͡ɕ a n nʲ a
раза	r a z a
страва	s t r a v a
яника	j a n i k a
яроша	j a r ɔ ɕ a
ясна	j a s n a
best	b ɛ s t
базою	b a z ɔ j u
балансу	b a ɮ a n s u
банди	b a n d i
додано	d ɔ d a n o
зарплат	z a r p ɮ a t
ззаду	z z a d u
змінами	z m i n a m i
зіркою	z i r k ɔ j u
зірку	z i r k u
ки	k i
котрих	k ɔ t r i x
крики	k r i k i
мамо	m a m ɔ
масою	m a s ɔ j u
межу	m ɛ ʒ u
напишіть	n a p i ɕ i tʲ
нафта	n a f t a
орди	ɔ r d i
побили	p ɔ b i l i
прокат	p r ɔ k a t
раю	r a j u
риги	r i ɡ i
риму	r i m u
спала	s p a ɮ a
становили	s t a n ɔ v i l i
хаос	x aː s
ходом	x ɔ d ɔ m
щур	ɕ ʊ r
бомби	b ɔ m b i
грала	ɡ r a ɮ a
грант	ɡ r a n t
дощі	d ɔ ɕ t͡ɕ i
драма	d r a m a
жахлива	ʒ a x ɮ i v a
заг	z a ɡ
зробиш	z r ɔ b i ɕ
коридор	k ɔ r i d ɔ r
космосу	k ɔ s m ɔ s u
крик	k r i k
кримом	k r i m ɔ m
машиною	m a ɕ i n ɔ j u
мирні	m i r n i
нім	n i m
поразка	p ɔ r a z k a
провал	p r ɔ v a l
пік	p i k
щита	ɕ i t a
жопу	ʒ ɔ p u
заявляють	z a j a v ɮʲ a j u tʲ
зросли	z r ɔ s l i
кирило	k i r i l o
книгою	k n i ɡ ɔ j u
лиха	l i x a
лихо	l i x ɔ
марс	m a r s
мем	m ɛ m
пану	p a n u
прим	p r i m
страв	s t r a v
цитата	t͡sʰ i t a t a
want	w ɑ n t
дано	d a n o
диски	d i s k i
долини	d ɔ l i n i
долині	d ɔ l i n i
жанр	ʒ a n r̩
запасу	z a p a s u
засади	z a s a d i
майном	m ɛː n ɔ m
мая	m a j a
мей	m ɛ j
надходить	n a d x ɔ d i tʲ
пак	p a k
позовом	p ɔ z ɔ v ɔ m
порад	p ɔ r a d
радника	r a d n i k a
римського	r i m s ɪ k ɔ ɡ ɔ
сем	s ɛ m
симптоми	s i m p t ɔ m i
спам	s p a m
ставок	s t a v ɔ k
сфер	s f ɛ r
франциско	f r a n t͡sʰ i s k ɔ
хо	x ɔ
денег	d ɛ n ɛ ɡ
джин	d͡ʒ i n
джонс	d͡ʒ ɔ n s
договором	d ɔ ɡ ɔ v ɔ r ɔ m
запрошую	z a p r ɔ ɕ u j u
збіг	z b i ɡ
звик	z ʋ i k
зернових	z ɛ r n ɔ v i x
коди	k ɔ d i
нагадаю	n a ɣ a d a j u
нагадую	n a ɣ a d u j u
небес	n ɛ b ɛ s
олігарх	ɔ l i ɡ a r x
пил	p i l
пиши	p i ɕ i
поганим	p ɔ ɡ a n i m
покажу	p ɔ k a ʒ u
помста	p ɔ m s t a
пристрою	p r i s t r ɔ j u
промови	p r ɔ m ɔ v i
протоколів	p r ɔ t ɔ k ɔ l i v
підозрою	p i d ɔ z r ɔ j u
рогу	r ɔ ɡ u
розпаду	r ɔ z p a d u
срака	s r a k a
табори	t a b ɔ r i
томос	t ɔ m ɔ s
этим	e tʰ i m
яскравих	j a s k r a vʲ i x
bad	b ɑː d
intel	ɪ n t ɛ l
iз	i z
анти	a n tʰ i
апаратів	a p a r a tʲ i v
боком	b ɔ k ɔ m
гнізда	ɡ n i z d a
данилюк	d a n i ɮʲ u k
дзвонить	d͡z ʋ ɔ n i tʲ
зламати	z ɮ a m a tʲ i
канадський	k a n a d sʲ k iː
кит	k i t
коштом	k ɔ ɕ t ɔ m
малим	m a l i m
мур	m ʊ r
міни	m i n i
оф	ɔ f
риб	r i b
торгових	t ɔ r ɡ ɔ v i x
тривало	t r i v a l o
шрифт	ʃ r i f t
алан	a ɮ a n
газів	ɡ a z i v
данила	d a n i ɮ a
додавання	d ɔ d a v a n nʲ a
додають	d ɔ d a j u tʲ
заходом	z a x ɔ d ɔ m
збирання	z b i r a n nʲ a
звести	z ʋ ɛ s t i
казок	k a z ɔ k
кн	k ə n
командиром	k ɔ m a n d i r ɔ m
кривому	k r i v ɔ m u
наши	n a ɕ i
оборонних	ɔ b ɔ r ɔ n n i x
оос	oː s
пен	p ɛ n
раша	r a ɕ a
рда	r d a
романом	r ɔ m a n ɔ m
саша	s a ɕ a
цінних	t͡sʰ i n n i x
got	ɡ o t
ас	a s
гостя	ɡ ɔ s tʲ a
дешево	d ɛ ɕ ɛ v ɔ
діви	d i v i
епоха	j ɛ p ɔ x a
залишить	z a l i ɕ i tʲ
зимових	z i m ɔ v i x
знаками	z n a k a m i
знаходити	z n a x ɔ d i tʲ i
кино	k i n o
кличка	k l i t͡ʃ k a
народну	n a r ɔ d n ʊ
нацбанку	n a t͡sʰ b a ŋ k u
певним	p ɛ v n i m
поразку	p ɔ r a z k u
поста	p ɔ s t a
прилад	p r i ɮ a d
сиру	s i r u
ставши	s t a w ɕ i
фондом	f ɔ n d ɔ m
франц	f r a n t͡sʰ
back	b ɑ k
bank	b ɑ ŋ k
альянсу	a ɮʲ j a n s u
бруд	b r ʊ d
граю	ɡ r a j u
гуртом	ɡ ʊ r t ɔ m
диви	d i v i
дозу	d ɔ z u
залози	z a ɮ ɔ z i
змови	z m ɔ v i
йосип	j ɔ s i p
морозиво	m ɔ r ɔ z i v ɔ
набрала	n a b r a ɮ a
небом	n ɛ b ɔ m
погодилися	p ɔ ɡ ɔ d i l i s j a
показником	p ɔ k a z n i k ɔ m
полів	p ɔ l i v
пощастить	p ɔ ɕ t͡ɕ a s tʲ i tʲ
пригода	p r i ɡ ɔ d a
програла	p r ɔ ɡ r a l a
раси	r a s i
самоті	s a m ɔ tʲ i
сині	s i n i
стаж	s t a ʒ
труб	t r ʊ b
цінні	t͡sʰ i n n i
эта	e t a
take	t ɑː k ɛ
безвізу	b ɛ z ʋ i z u
безпечно	b ɛ z p ɛ t͡ʃ n o
бей	b ɛ j
гарною	ɡ a r n ɔ j u
диван	d i v a n
жаба	ʒ a b a
загроз	z a ɡ r ɔ z
здесь	z d ɛ s ɪ
кароль	k a r ɔ lʲ
марку	m a r k u
мод	m ɔ d
народа	n a r ɔ d a
парою	p a r ɔ j u
пацан	p a t͡sʰ a n
плакала	p ɮ a k a ɮ a
пори	p ɔ r i
підставою	p i d s t a v ɔ j u
розриву	r ɔ z r i v u
самою	s a m ɔ j u
спалах	s p a ɮ a x
спать	s p a tʲ
уапц	u a p t͡sʰ
хоп	x ɔ p
эту	e t u
into	ɪ n t o
web	w ɛ b
бе	b ɛ
гасла	ɡ a s ɮ a
допиту	d ɔ p i t u
дракона	d r a k ɔ n a
згодою	z ɡ ɔ d ɔ j u
зміною	z m i n ɔ j u
командири	k ɔ m a n d i r i
копи	k ɔ p i
крадуть	k r a d u tʲ
міфи	m i f i
органам	ɔ r ɡ a n a m
питали	p i t a l i
понимаю	p ɔ n i m a j u
радять	r a dʲ a tʲ
розбили	r ɔ z b i l i
стрибок	s t r i b ɔ k
тарифу	t a r i f u
фан	f a n
французи	f r a n t͡sʰ u z i
her	h ɛ ɾ
битву	b i t v u
гес	ɡ ɛ s
готовим	ɡ ɔ t ɔ v i m
десерт	d ɛ s ɛ r t
збили	z b i l i
миром	m i r ɔ m
нах	n a x
описано	ɔ p i s a n o
подих	p ɔ d i x
подібну	p ɔ d i b n u
пропали	p r ɔ p a l i
підходу	p i d x ɔ d u
транзит	t r a n z i t
хана	x a n a
цех	t͡sʰ ɛ x
instagram	ɪ n s t ɑː ɡ ɾ ɑː m
text	t ɛ x t
бандит	b a n d i t
бразилія	b r a z i l i j a
важку	v a ʒ k u
ден	d ɛ n
джиммі	d͡ʒ i m m i
знижку	z n i ʒ k u
казку	k a z k u
командами	k ɔ m a n d a m i
кори	k ɔ r i
кран	k r a n
лю	ɫʲ u
мадам	m a d a m
нинішня	n i n i ɕ nʲ a
пароль	p a r ɔ lʲ
питають	p i t a j u tʲ
сидиш	s i d i ɕ
сот	s ɔ t
тонни	t ɔ n n i
трав	t r a v
хору	x ɔ r u
ядра	j a d r a
then	ð ɛ n
адама	a d a m a
адрес	a d rʲ ɛ s
гараж	ɡ a r a ʒ
док	d ɔ k
донькою	d ɔ nʲ k ɔ j u
жанру	ʒ a n r u
жодним	ʒ ɔ d n i m
забере	z a bʲ ɛ rʲ ɛ
замаху	z a m a x u
заряд	z a rʲ a d
карате	k a r a tʲ ɛ
кияни	k i j a n i
копати	k ɔ p a tʲ i
меду	m ɛ d u
надасть	n a d a s tʲ
нормі	n ɔ r m i
образити	ɔ b r a z i tʲ i
обраних	ɔ b r a n i x
першість	p ɛ r ɕ i s tʲ
порозі	p ɔ r ɔ z i
проводом	p r ɔ v ɔ d ɔ m
серп	s ɛ r p
фонди	f ɔ n d i
ять	j a tʲ
end	ɛ n d
park	p ɑ ɾ k
well	w ɛ l
бала	b a ɮ a
боль	b ɔ lʲ
дракон	d r a k ɔ n
крил	k r i l
падають	p a d a j u tʲ
параду	p a r a d u
показу	p ɔ k a z u
помню	p ɔ m nʲ u
править	p r a vʲ i tʲ
пса	p s a
розпад	r ɔ z p a d
сарказм	s a r k a z m
сиськи	s i s ɪ k i
скрипка	s k r i p k a
старанно	s t a r a n n o
team	t ɛ ɑː m
where	w ɛ ɾ ɛ
азаров	a z a r ɔ v
ану	a n u
баби	b a b i
ганс	ɡ a n s
гель	ɡ ɛ l ɪ
гине	ɡ i n ɛ
джонні	d͡ʒ ɔ n n i
доказом	d ɔ k a z ɔ m
залишок	z a l i ɕ ɔ k
зоопарку	z oː p a r k u
каналах	k a n a ɮ a x
кнопка	k n ɔ p k a
крапка	k r a p k a
маяк	m a j a k
назар	n a z a r
нормою	n ɔ r m ɔ j u
образом	ɔ b r a z ɔ m
однако	ɔ d n a k ɔ
поганих	p ɔ ɡ a n i x
прапорами	p r a p ɔ r a m i
прикрас	p r i k r a s
природним	p r i r ɔ d n i m
приходили	p r i x ɔ d i l i
піски	p i s k i
сходить	s x ɔ d i tʲ
тарифами	t a r i f a m i
фабрику	f a b r i k u
хода	x ɔ d a
батьку	b a tʲ k u
граф	ɡ r a f
дане	d a nʲ ɛ
зразком	z r a z k ɔ m
козака	k ɔ z a k a
копів	k ɔ p i v
ман	m a n
називаю	n a z i v a j u
настя	n a s tʲ a
пацани	p a t͡sʰ a n i
педро	p ɛ d r ɔ
пограти	p ɔ ɡ r a tʲ i
раб	r a b
такая	t a k a j a
траву	t r a v u
хмара	x m a r a
internet	ɪ n t ɛ ɾ n ɛ t
left	l ɛ f t
дика	d i k a
дочкою	d ɔ t͡ʃ k ɔ j u
ем	j ɛ m
запросто	z a p r ɔ s t ɔ
змінилось	z m i n i l ɔ s ɪ
знака	z n a k a
карма	k a r m a
митних	m i t n i x
надра	n a d r a
надя	n a dʲ a
напр	n a p r
новость	n ɔ v ɔ s tʲ
пап	p a p
посли	p ɔ s l i
призер	p r i z ɛ r
родич	r ɔ d i t͡ʃ
языке	j a z i kʲ ɛ
center	d͡ʒ ɛ n t ɛ ɾ
грам	ɡ r a m
дрова	d r ɔ v a
ето	j ɛ t ɔ
зайве	z ɛː vʲ ɛ
запахом	z a p a x ɔ m
заробітку	z a r ɔ b i t k u
зібрано	z i b r a n o
комп	k ɔ m p
меча	m ɛ t͡ʃ ɑ
мити	m i t i
мордору	m ɔ r d ɔ r u
нагоду	n a ɣ ɔ d u
пас	p a s
показало	p ɔ k a z a l ɔ
поштова	p ɔ ɕ t ɔ v a
припускаю	p r i p u s k a j u
продала	p r ɔ d a l a
сферу	s f ɛ r u
link	l ɪ ŋ k
old	o l d
page	p ɑː ɡ ɛ
ахаха	a x a x a
базар	b a z a r
білою	b i l ɔ j u
грип	ɡ r i p
дo	d oː
диму	d i m u
ери	j ɛ r i
зазнала	z a z n a ɮ a
корисним	k ɔ r i s n i m
марса	m a r s a
масова	m a s ɔ v a
мирним	m i r n i m
морду	m ɔ r d u
носили	n ɔ s i l i
панель	p a nʲ ɛ lʲ
показниками	p ɔ k a z n i k a m i
промову	p r ɔ m ɔ v u
піт	p i t
раса	r a s a
розкажу	r ɔ z k a ʒ u
смузі	s m ʊ z i
тамара	t a m a r a
тобi	t ɔ b i
тони	t ɔ n i
тра	t r a
форт	f ɔ r t
хаосу	x aː s u
da	d ɑː
game	ɡ ɑː m ɛ
баран	b a r a n
близькому	b l i z ɪ k ɔ m u
гнап	ɡ n a p
горами	ɡ ɔ r a m i
дану	d a n u
дат	d a t
домашньому	d ɔ m a ɕ nʲ ɔ m u
жизни	ʒ i z n i
зарано	z a r a n o
злом	z ɫ ɔ m
зоною	z ɔ n ɔ j u
катю	k a tʲ u
лис	l i s
мостом	m ɔ s t ɔ m
міранда	m i r a n d a
напала	n a p a ɮ a
напрямком	n a p rʲ a m k ɔ m
наради	n a r a d i
офшори	ɔ f ʃ ɔ r i
поглядами	p ɔ ɡ ɮʲ a d a m i
показово	p ɔ k a z ɔ v ɔ
почніть	p ɔ t͡ɕ n i tʲ
самом	s a m ɔ m
сиром	s i r ɔ m
тост	t ɔ s t
цілими	t͡sʰ i l i m i
чаша	t͡ɕ a ɕ a
ширше	ɕ i r ɕ ɛ
benz	b ɛ n z
games	ɡ ɑː m ɛ s
азарова	a z a r ɔ v a
андре	a n d rʲ ɛ
барбара	b a r b a r a
додам	d ɔ d a m
домом	d ɔ m ɔ m
засновано	z a s n ɔ v a n o
захисних	z a x i s n i x
заходять	z a x ɔ dʲ a tʲ
збірку	z b i r k u
здобич	z d ɔ b i t͡ʃ
зимою	z i m ɔ j u
каное	k a n ɔ j ɛ
комфорту	k ɔ m f ɔ r t u
кора	k ɔ r a
красою	k r a s ɔ j u
кроку	k r ɔ k u
могил	m ɔ ɡ i l
нараду	n a r a d u
нахер	n a xʲ ɛ r
образі	ɔ b r a z i
пору	p ɔ r u
прат	p r a t
прикордонних	p r i k ɔ r d ɔ n n i x
роз	r ɔ z
розробок	r ɔ z r ɔ b ɔ k
росс	r ɔ s
симон	s i m ɔ n
фахом	f a x ɔ m
форд	f ɔ r d
яник	j a n i k
ma	m ɑː
make	m ɑː k ɛ
next	n ɛ x t
place	p l ɑː d͡ʒ ɛ
аня	a nʲ a
дахом	d a x ɔ m
дози	d ɔ z i
игры	i ɡ r i
королів	k ɔ r ɔ l i v
оптом	ɔ p t ɔ m
попиту	p ɔ p i t u
пораду	p ɔ r a d u
поробиш	p ɔ r ɔ b i ɕ
правопису	p r a v ɔ p i s u
продано	p r ɔ d a n o
продаю	p r ɔ d a j u
просту	p r ɔ s t u
пси	p s i
роб	r ɔ b
роса	r ɔ s a
смугу	s m ʊ ɣ ʊ
траса	t r a s a
тримаю	t r i m a j u
фасаду	f a s a d u
sa	s ɑː
боса	b ɔ s a
гоголь	ɡ ɔ ɡ ɔ lʲ
доброму	d ɔ b r ɔ m u
доп	d ɔ p
дорогих	d ɔ r ɔ ɡ i x
запаху	z a p a x u
згори	z ɡ ɔ r i
знижка	z n i ʒ k a
копа	k ɔ p a
малою	m a l ɔ j u
мине	m i n ɛ
нада	n a d a
огидно	ɔ ɡ i d n o
пиздить	p i z d i tʲ
поговорили	p ɔ ɡ ɔ v ɔ r i l i
поляк	p ɔ lʲ a k
піп	p i p
піст	p i s t
радить	r a d i tʲ
раком	r a k ɔ m
розкол	r ɔ z k ɔ l
цифру	t͡sʰ i f r u
must	m ʊ s t
volvo	v o l v o
амку	a m k u
бах	b a x
гранат	ɡ r a n a t
забирай	z a b i r ɛː
забирають	z a b i r a j u tʲ
займе	z ɛː mʲ ɛ
зеніт	z ɛ n i t
зоопарк	z oː p a r k
катя	k a tʲ a
конрад	k ɔ n r a d
марафон	m a r a f ɔ n
масаж	m a s a ʒ
мухи	m ʊ x i
орбіту	ɔ r b i t u
отримую	ɔ t r i m u j u
писання	p i s a n nʲ a
покрови	p ɔ k r ɔ v i
попали	p ɔ p a l i
прокату	p r ɔ k a t u
промова	p r ɔ m ɔ v a
райради	r ɛː r a d i
сади	s a d i
салют	s a ɮʲ u t
снігом	s n i ɡ ɔ m
таборах	t a b ɔ r a x
татом	t a t ɔ m
торгова	t ɔ r ɡ ɔ v a
тризуб	t r i z u b
фарбою	f a r b ɔ j u
хазяїн	x a z j a j ə n
ходиш	x ɔ d i ɕ
голи	ɡ ɔ l i
дама	d a m a
допис	d ɔ p i s
жаху	ʒ a x u
законам	z a k ɔ n a m
збиток	z b i t ɔ k
имеет	i m ɛ j ɛ t
кокс	k ɔ k s
мандат	m a n d a t
народною	n a r ɔ d n ɔ j u
охороняти	ɔ x ɔ r ɔ nʲ a tʲ i
пику	p i k u
попова	p ɔ p ɔ v a
правою	p r a v ɔ j u
проон	p r oː n
ух	ʊ x
фанат	f a n a t
ягоди	j a ɡ ɔ d i
яскравим	j a s k r a vʲ i m
java	ʒ ɑː v ɑː
джоном	d͡ʒ ɔ n ɔ m
договорами	d ɔ ɡ ɔ v ɔ r a m i
діри	d i r i
живою	ʒ i v ɔ j u
замком	z a m k ɔ m
запорука	z a p ɔ r u k a
кам	k a m
коливань	k ɔ l i v a nʲ
мок	m ɔ k
набрання	n a b r a n nʲ a
назвіть	n a z vʲ i tʲ
нива	n i v a
нижню	n i ʒ nʲ u
обирали	ɔ b i r a l i
проби	p r ɔ b i
піди	p i d i
розгортання	r ɔ z ɡ ɔ r t a n nʲ a
сел	s ɛ l
ток	t ɔ k
транзиту	t r a n z i t u
чаес	t͡ɕ a j ɛ s
al	ɑ l
men	m ɛ n
анонс	a n ɔ n s
африку	a f r i k u
жиру	ʒ i r u
задньому	z a d nʲ ɔ m u
ин	i n
йосиф	j ɔ s i f
каси	k a s i
кидають	k i d a j u tʲ
коми	k ɔ m i
копалин	k ɔ p a l i n
корм	k ɔ r m
косово	k ɔ s ɔ v ɔ
купою	k u p ɔ j u
липа	l i p a
мадонна	m a d ɔ n n a
место	m ɛ s t ɔ
морган	m ɔ r ɡ a n
нумо	n ʊ m ɔ
опади	ɔ p a d i
панорама	p a n ɔ r a m a
призму	p r i z m u
садити	s a d i tʲ i
сколько	s k ɔ lʲ k ɔ
софт	s ɔ f t
тор	t ɔ r
тролів	t r ɔ l i v
der	d ɛ ɾ
dj	d͡ʒ
done	d oː n ɛ
land	l ɑ n d
mitsubishi	m i t s u b i ʃ i
ok	o k
гроза	ɡ r ɔ z a
дербі	d ɛ r b i
дмитром	d m i t r ɔ m
домашню	d ɔ m a ɕ nʲ u
достроково	d ɔ s t r ɔ k ɔ v ɔ
діток	d i t ɔ k
законним	z a k ɔ n n i m
здох	z d ɔ x
каса	k a s a
каша	k a ɕ a
кидали	k i d a l i
кримінально	k r i m i n a lʲ n o
могилів	m ɔ ɡ i l i v
напрямами	n a p rʲ a m a m i
низько	n i z ɪ k ɔ
ом	ɔ m
падати	p a d a tʲ i
паном	p a n ɔ m
партизани	p a r tʰ i z a n i
пепо	p ɛ p ɔ
попа	p ɔ p a
попросить	p ɔ p r ɔ s i tʲ
походи	p ɔ x ɔ d i
принципами	p r i n t͡sʰ i p a m i
програмами	p r ɔ ɡ r a m a m i
прориву	p r ɔ r i v u
просила	p r ɔ s i l a
пту	p t u
себто	s ɛ b t ɔ
фокс	f ɔ k s
dead	d ɛ ɑː d
festival	f ɛ s t ɪ v ɑː l
non	n o n
азс	a z s
бісить	b i s i tʲ
ган	ɡ a n
горизонт	ɡ ɔ r i z ɔ n t
дизайном	d i z ɛː n ɔ m
дров	d r ɔ v
жест	ʒ ɛ s t
жиди	ʒ i d i
зарплаті	z a r p ɮ a tʲ i
здатних	z d a t n i x
здорових	z d ɔ r ɔ v i x
знаку	z n a k u
знаходимо	z n a x ɔ d i m ɔ
знімок	z n i m ɔ k
кан	k a n
коліно	k ɔ l i n o
коста	k ɔ s t a
лип	l i p
масиву	m a s i v u
молитву	m ɔ l i t v u
набори	n a b ɔ r i
