iš	i ʃ
kąsnį	k ɔ n s n i
motorola	m o t o r o l a
motyvo	m o t i v o
neliesti	n e l j e s t i
pagydyti	p a ɡ i d i t i
pretekstu	p r e t ɛ k s t u
push	p u ʃ
raciono	r a t͡ʃ o n o
sidro	s i d r o
sočio	s o t͡ʃ j o
tele	t e l e
terminis	t e r m i n i s
troškulio	t r o ʃ k u l j o
užpilti	u ʃ p i l t i
žiba	ʒ i b a
žvyrkeliu	ʒ v i r k e l j u
aga	a ɡ a
aguonos	a ɡ w o n o s
bendrumo	b e n d r u m o
buratinas	b u r a t i n a s
burtis	b u r t i s
cell	s ɛ l
delegacijų	d e l e ɡ a t͡ʃ i j o
derinamos	d e r i n a m o s
dinaminis	d i n a m i n i s
elektriniu	e l ɛ k t r i n j u
floridą	f l o r i d ɔ w̃
ganyklos	ɡ a n i k l o s
genetinį	ɡ e n e t i n i
glostyti	ɡ l o s t i t i
grindinio	ɡ r i n d i n j o
hilo	h i l o
hitus	h i t u s
holivudą	h o l i v u d ɔ w̃
ilgojo	i l ɡ o j o
ilgumo	i l ɡ u m o
išpirkimo	i ʃ p i r k i m o
komitetus	k o m i t e t u s
kontrolinis	k o n t r o l i n i s
korpusus	k o r p u z u s
krioklio	k r i o k l i o
leonido	l e o n i d o
lydos	l i d o s
mil	m i l
mišinius	m i ʃ i n i u s
mūšos	m uː ʃ o s
nesutiks	n e z u t i k s
omnitel	o m n i t ɛ l
operatyvinio	o p e r a t i v i n j o
pd	p e d e
pilotams	p i l o t a m s
planams	p l a n a m s
pokštų	p o k ʃ t o
poligrafijos	p o l i ɡ r a f i j o s
pra	p r a
prailginta	p r a i l d͡ʒ i n t a
prailginti	p r a i l d͡ʒ i n t i
prekinį	p r e k i n i
pretendento	p r e t ɛ n d ɛ n t o
primesti	p r i m e s t i
pripratęs	p r i p r a t ɛ n s
quality	k w a l i t i
septinta	s e p t i n t a
septyneri	s e p t i n e r i
skysčius	s k i s t͡ʃ i u s
sportiniu	s p o r t i n j u
stage	s t aː ʒ
subjektus	s u b j ɛ k t u s
tolimesnę	t o l i m e s n ɛ
tolimo	t o l i m o
tolygus	t o l i ɡ u s
tool	t oː l
trinity	t r i n i t i
tuštumos	t u ʃ t u m o s
vedos	v e d o s
vežimu	v e ʒ i m u
vežimus	v e ʒ i m u s
viršenybę	v i r ʃ e n i b ɛ
vitorijos	v i t o r i j o s
vyturio	v i t u r j o
čio	t͡ʃ i o
šiluminę	ʃ i l u m i n ɛ
šūvius	ʃ uː v i u s
žūb	ʒ uː p
abipusis	a b i p u z i s
adonis	a d o n i s
ale	a l e
asistente	a s i s t ɛ n t e
atodangos	a t o d a ŋ ɡ o s
banano	b a n a n o
betmeno	b e t m e n o
blynas	b l i n a s
bolidą	b o l i d ɔ w̃
bond	b o n t
brigadą	b r i ɡ a d ɔ w̃
budu	b u d u
bunda	b u n d a
christina	k r i s t i n a
dangtis	d a ŋ t i s
dani	d a n i
dešimto	d e ʃ i m t o
dirty	d i r t i
donskis	d o n s k i s
duetu	d u e t u
eterinis	e t e r i n i s
etnografinis	e t n o ɡ r a f i n i s
final	f i n a l
five	f i v e
geografinis	d͡ʒ e o ɡ r a f i n i s
hopo	h o p o
išimtimis	i ʃ i m t i m i s
išlikusį	i ʃ l i k u s i
išmoksite	i ʃ m o k s i t e
koncertinis	k o n t͡ʃ e r t i n i s
konvojų	k o n v o j o
kosto	k o s t o
kuno	k u n o
kupolu	k u p o l u
labia	l a b j a
lada	l a d a
lam	l a m
lent	l ɛ n t
leopardo	l e o p a r d o
lindo	l i n d o
lobynas	l o b i n a s
metraščio	m e t r a ʃ t͡ʃ j o
milžino	m i l ʒ i n o
moriso	m o r i z o
nedrįso	n e d r i z o
nefrito	n e f r i t o
nesistengia	n e z i s t e n d͡ʒ i a
nežemiškos	n e ʒ e m i ʃ k o s
nikotino	n i k o t i n o
nintendo	n i n t ɛ n d o
numušti	n u m u ʃ t i
nurimo	n u r i m o
nusirito	n u z i r i t o
pac	p a k
patirsite	p a t i r s i t e
paviljone	p a v i l j o n e
pelnytų	p e l n i t o
plūsti	p l uː s t i
pripildyta	p r i p i l d i t a
pripranta	p r i p r a n t a
pritvirtintos	p r i t v i r t i n t o s
privesti	p r i v e s t i
racionalus	r a t͡ʃ o n a l u s
revolveris	r e v o l v e r i s
rifo	r i f o
scenografijos	ʃ e n o ɡ r a f i j o s
sete	s e t e
sidabriniu	s i d a b r i n j u
sijono	s i j o n o
siuntų	s i u n t o
sotūs	s o t uː s
split	s p l i t
storasis	s t o r a s i s
sudega	s u d e ɡ a
sukite	s u k i t e
suskilo	s u s k i l o
sutikimu	s u t i k i m u
sutikę	s u t i k ɛ
sutrikę	s u t r i k ɛ
sutuoktinio	s u t u o k t i n j o
svečiu	z v e t͡ʃ i u
swiss	s w i s
tab	t a p
tora	t o r a
užpildykite	u ʃ p i l d i k i t e
užtikrintų	u ʃ t i k r i n t o
venta	v ɛ n t a
vežu	v e ʒ u
zenono	d͡z e n o n o
šilelis	ʃ i l e l i s
šiluminio	ʃ i l u m i n j o
žeminti	ʒ e m i n t i
žlugdo	ʒ l u ɡ d o
žlugti	ʒ l u k t i
actekų	a k t e k o
bobos	b o b o s
bpk	b e p e k a
bruto	b r u t o
būga	b uː ɡ a
christianas	k r i s t j a n a s
dalybos	d a l i b o s
dažnesnis	d a ʒ n e s n i s
dt	d eː t eː
džimo	d͡ʒ i m o
erkių	e r k i o
erotikos	e r o t i k o s
fan	f a n
fani	f a n i
gabalo	ɡ a b a l o
gabi	ɡ a b i
gis	ɡ i s
glazgo	ɡ l a z ɡ o
gnu	ɲ u
grynumo	ɡ r i n u m o
išpopuliarino	i ʃ p o p u l j a r i n o
kompiuterine	k o m p j u t e r i n e
konektikute	k o n e k t i k u t e
krišnos	k r i ʃ n o s
kumščius	k u m ʃ t͡ʃ i u s
kvitus	k v i t u s
levickis	l e v i k i s
liksi	l i k s i
minimo	m i n i m o
naglio	n a ʎ ʎ o
october	o k t o b e r
olimpinę	o l i m p i n ɛ
pagrindiniams	p a ɡ r i n d i n j a m s
paradigma	p a r a d i ɡ m a
pervadinta	p e r v a d i n t a
pjeses	p j e z e s
priesagos	p r i z a ɡ o s
primityvus	p r i m i t i v u s
putinų	p u t i n o
rekordinį	r e k o r d i n i
renavo	r e n a v o
ritinio	r i t i n j o
scanorama	s k a n o r a m a
segmentus	s e ɡ m e n t u s
simuliacijos	s i m u l j a t͡ʃ i j o s
statiniams	s t a t i n j a m s
surinkite	s u r i n k i t e
trintį	t r i n t i
tuk	t u k
veros	v e r o s
vestuvinis	v e s t u v i n i s
viktoru	v i k t o r u
virtinę	v i r t i n ɛ
šiluminis	ʃ i l u m i n i s
žus	ʒ u s
aba	a b a
abonentų	a b o n ɛ n t o
akrobatinio	a k r o b a t i n j o
anam	a n a m
atsarga	a t͡s a r ɡ a
bix	b i k s
blinda	b l i n d a
bučinį	b u t͡ʃ i n i
een	eː n
faro	f a r o
gobelenas	ɡ o b e l e n a s
grįšite	ɡ r i ʃ i t e
gultis	ɡ u l t i s
harmony	h a ʁ m o n i
inžinerinio	i n ʒ i n e r i n j o
išpešti	i ʃ p e ʃ t i
judrūs	j u d r uː s
kontaktinis	k o n t a k t i n i s
lik	l i k
lęšis	l ɛ n ʃ i s
marijona	m a r i j o n a
mirusiu	m i r u z j u
neda	n e d a
nemalonę	n e m a l o n ɛ
nervintis	n e r v i n t i s
nusipirkom	n u z i p i r k o m
ornamentas	o r n a m e n t a s
personažu	p e r s o n a ʒ u
poetinis	p o e t i n i s
polar	p o l a r
požemius	p o ʒ e m i u s
rimo	r i m o
ryti	r i t i
silpnybę	s i l p n i b ɛ
spindesys	s p i n d e s i s
stock	s t ɔ k
sučiupti	s u t͡ʃ i u p t i
telkšo	t e l k ʃ o
tikrinimo	t i k r i n i m o
todo	t o d o
tuno	t u n o
tęskite	t ɛ n s k i t e
velžio	v e l ʒ i o
vidutinę	v i d u t i n ɛ
voko	v o k o
vyksmo	v i k s m o
žymimos	ʒ i m i m o s
algio	a l d͡ʒ o
aparate	a p a r a t e
atrodysi	a t r o d i z i
blokada	b l o k a d a
būgos	b uː ɡ o s
coast	k o a s t
dano	d a n o
darsyk	d a ʁ s i k
dolby	d o l b i
dvipusis	d v i p u z i s
fide	f i d e
gabenamas	ɡ a b e n a m a s
gamybinio	ɡ a m i b i n j o
gitaristo	d͡ʒ i t a r i s t o
glitimo	ɡ l i t i m o
gulintis	ɡ u l i n t i s
holding	h o l d i ŋ
inn	i n
italo	i t a l o
iškėlus	i ʃ k i l u s
išmeskite	i ʃ m e s k i t e
išradimus	i ʃ r a d i m u s
išvilioti	i ʃ v i l j o t i
kevin	k e v i n
kevino	k e v i n o
kinu	k i n u
kiškių	k i ʃ k i o
komunistus	k o m u n i s t u s
konsorciumo	k o n s o r t͡ʃ u m o
lucky	l u k i
moralinį	m o r a l i n i
mpeg	m p e k
nekaltybę	n e k a l t i b ɛ
nemokate	n e m o k a t e
neprilygo	n e p r i l i ɡ o
nicos	n i k o s
ninos	n i n o s
pilku	p i l k u
požymį	p o ʒ i m i
prima	p r i m a
protokolu	p r o t o k o l u
publicistikos	p u b l i t͡ʃ i s t i k o s
puri	p u r i
quattro	k w a t t r o
rekomendacijų	r e k o m ɛ n d a t͡ʃ i j o
retus	r e t u s
ribomis	r i b o m i s
rimi	r i m i
semi	s e m i
senį	s e n i
septintos	s e p t i n t o s
sita	s i t a
sostines	s o s t i n e s
spin	s p i n
studijinis	s t u d i j i n i s
terry	t ɛ r i
treko	t r e k o
tremtinio	t r e m t i n j o
trimitu	t r i m i t u
turimo	t u r i m o
tęstinumo	t ɛ n s t i n u m o
tęstinį	t ɛ n s t i n i
vagone	v a ɡ o n e
virtusi	v i r t u z i
voke	v o k e
šelpti	ʃ e l p t i
šiltomis	ʃ i l t o m i s
šuniuku	ʃ u n i u k u
žemesni	ʒ e m e s n i
žemynus	ʒ e m i n u s
žetonus	ʒ e t o n u s
žudytis	ʒ u d i t i s
acc	a k
agency	a d͡ʒ ɛ n s i
agitacijos	a d͡ʒ i t a t͡ʃ i j o s
alano	a l a n o
analinis	a n a l i n i s
atiduosiu	a t i d u o z j u
atidus	a t i d u s
atominio	a t o m i n j o
atradę	a t r a d ɛ
avarinio	a v a r i n j o
begalybę	b e ɡ a l i b ɛ
bright	b ʀ a j t
cirkuliacijos	t͡ʃ i r k u l j a t͡ʃ i j o s
coming	k o m i ŋ
como	k o m o
defektų	d e f ɛ k t o
det	d e t
domintų	d o m i n t o
duetų	d u e t o
edisono	e d i z o n o
emocinę	e m o t͡ʃ i n ɛ
far	f a r
festivaliu	f e s t i v a l j u
films	f i l m s
firminį	f i r m i n i
ganyti	ɡ a n i t i
gimda	ɡ i m d a
globalios	ɡ l o b a l j o s
godumo	ɡ o d u m o
gotta	ɡ o t t a
grafito	ɡ r a f i t o
gulint	ɡ u l i n t
guolio	ɡ w o l j o
ilgiu	i l d͡ʒ u
intymus	i n t i m u s
išlipęs	i ʃ l i p ɛ n s
išmintimi	i ʃ m i n t i m i
ištepti	i ʃ t e p t i
ištiks	i ʃ t i k s
justi	j u s t i
keblu	k e b l u
kilimu	k i l i m u
kišimosi	k i ʃ i m o s i
klierikų	k l i e r i k o
kolorito	k o l o r i t o
kolūkyje	k o l uː k i j ə
komplimentus	k o m p l i m e n t u s
konvojus	k o n v o j u s
kroviniu	k r o v i n j u
kupinos	k u p i n o s
lekavičius	l e k a v i t͡ʃ i u s
lila	l i l a
lim	l i m
lips	l i p s
lovytę	l o v i t ɛ
materialinio	m a t e r j a l i n j o
medelyno	m e d e l i n o
metano	m e t a n o
metrikų	m e t r i k o
metęs	m e t ɛ n s
micro	m i k r o
miki	m i k i
mikroskopu	m i k r o s k o p u
mila	m i l a
miles	m i l e s
minimumo	m i n i m u m o
modus	m o d u s
mylim	m i l i m
neesu	n eː z u
neolito	n e o l i t o
ole	o l e
oralinis	o r a l i n i s
oriono	o r j o n o
path	p a t
petronis	p e t r o n i s
petrošius	p e t r o ʃ i u s
picų	p i k o
pietro	p j e t r o
piktybinis	p i k t i b i n i s
pilotus	p i l o t u s
plyšio	p l i ʃ j o
poetinio	p o e t i n j o
pol	p o l
pradejo	p r a d e j o
prilygti	p r i l i k t i
prisiminus	p r i z i m i n u s
psi	p s i
pykčiu	p i k t͡ʃ i u
rūsius	r uː z i u s
shift	ʃ i f t
silikono	s i l i k o n o
sito	s i t o
skelbimo	s k e l b i m o
stebuklingi	s t e b u k l i ŋ ɡ i
stulpus	s t u l p u s
subrendo	s u b r ɛ n d o
susiliejo	s u z i l j e j o
sustiprintos	s u s t i p r i n t o s
telegraph	t e l e ɡ ʀ a f
teliks	t e l i k s
tikęs	t i k ɛ n s
tobulų	t o b u l o
tolimi	t o l i m i
tona	t o n a
topus	t o p u s
tp	t e p e
tripolio	t r i p o l j o
užimtumą	u ʒ i m t u m ɔ w̃
vale	v a l e
veš	v e ʃ
viskonsino	v i s k o n s i n o
vitebsko	v i t e p s k o
viščiukų	v i ʃ t͡ʃ i u k o
yu	j u
čeponis	t͡ʃ e p o n i s
čepulis	t͡ʃ e p u l i s
šile	ʃ i l e
šoku	ʃ o k u
švedo	ʃ v e d o
ūsus	uː z u s
žemu	ʒ e m u
žengs	ʒ e ŋ s
žinotume	ʒ i n o t u m e
apykaklę	a p i k a k l ɛ
axis	a k s i s
baritonas	b a r i t o n a s
bobis	b o b i s
bosu	b o z u
buteliu	b u t e l j u
būtinus	b uː t i n u s
canada	k a n a d a
citatų	t͡ʃ i t a t o
col	k o l
dažno	d a ʒ n o
demokratinis	d e m o k r a t i n i s
domo	d o m o
dyzelis	d i z e l i s
economy	e k o n o m i
everesto	e v e r e s t o
fo	f o
grindinys	ɡ r i n d i n i s
gruntinio	ɡ r u n t i n j o
humuso	h u m u z o
ineta	i n e t a
int	i n t
išvedimo	i ʃ v e d i m o
kopimo	k o p i m o
kūrybiškumo	k uː r i b i ʃ k u m o
miko	m i k o
mirtinos	m i r t i n o s
mičiganas	m i t͡ʃ i ɡ a n a s
mobilumo	m o b i l u m o
moralinio	m o r a l i n j o
mudvi	m u d v i
muštis	m u ʃ t i s
negrįš	n e ɡ r i ʃ
nemaži	n e m a ʒ i
olego	o l e ɡ o
oliver	o l i v e r
olympic	o l i m p i k
perlipti	p e r l i p t i
pjūklu	p j uː k l u
plytomis	p l i t o m i s
pogrindį	p o ɡ r i n d i
puntuko	p u n t u k o
semiotikos	s e m i o t i k o s
senesnio	s e n e z n j o
serotonino	s e r o t o n i n o
stigo	s t i ɡ o
susibūrimo	s u z i b uː r i m o
tebegyvena	t e b e ɡ i v e n a
titanas	t i t a n a s
ton	t o n
topografijos	t o p o ɡ r a f i j o s
užupis	u ʒ u p i s
veronikos	v e r o n i k o s
veši	v e ʃ i
viceministru	v i t͡ʃ e m i n i s t r u
virpesius	v i r p e z i u s
šlykštus	ʃ l i k ʃ t u s
ūmus	uː m u s
žinotum	ʒ i n o t u m
atestacijos	a t e s t a t͡ʃ i j o s
bakterijoms	b a k t e r i j ɔ m s
banys	b a n i s
buko	b u k o
bučinio	b u t͡ʃ i n j o
būkim	b uː k i m
diodų	d i o d o
doleriu	d o l e r j u
dovanokite	d o v a n o k i t e
dress	d r ɛ s
dynas	d i n a s
energetikų	e n e r ɡ e t i k o
evelyn	e v e l i n
fresh	f ʀ ɛ ʃ
gabenimas	ɡ a b e n i m a s
genius	d͡ʒ e n i u s
godos	ɡ o d o s
gojos	ɡ o j o s
grifo	ɡ r i f o
gulago	ɡ u l a ɡ o
guliu	ɡ u l j u
gulti	ɡ u l t i
hindi	h i n d i
idealiu	i d e a l j u
imam	i m a m
korekcijos	k o r e k t͡ʃ i j o s
meg	m e k
nebūtu	n e b uː t u
nevyks	n e v i k s
ora	o r a
pagonis	p a ɡ o n i s
parametro	p a r a m e t r o
perkūnijos	p e r k uː n i j o s
prarijo	p r a r i j o
prelato	p r e l a t o
prisistato	p r i z i s t a t o
pūgos	p uː ɡ o s
remtasi	r e m t a z i
simone	s i m o n e
sirų	s i r oː
skyrium	s k i r i u m
sonatos	s o n a t o s
soti	s o t i
sukišti	s u k i ʃ t i
suku	s u k u
tic	t i k
universitetinį	u n i v e r s i t e t i n i
uranas	u r a n a s
vagina	v a d͡ʒ i n a
ūkinį	uː k i n i
žinosi	ʒ i n o s i
žinyno	ʒ i n i n o
žodinio	ʒ o d i n j o
agronomijos	a ɡ r o n o m i j o s
buki	b u k i
dažnesni	d a ʒ n e s n i
dekoratyvus	d e k o r a t i v u s
dori	d o r i
dry	d r i
ecb	ɛ k b
economist	e k o n o m i s t
fra	f ʁ a
girdimi	ɡ i r d i m i
glenas	ɡ l e n a s
grupinio	ɡ r u p i n j o
gudavičius	ɡ u d a v i t͡ʃ i u s
helenos	h e l e n o s
honor	h o n o r
interpretavimo	i n t e r p r e t a v i m o
jong	d͡ʒ o ŋ
kolonomis	k o l o n o m i s
konfrontacijos	k o n f r o n t a t͡ʃ i j o s
kristumi	k r i s t u m i
kumštis	k u m ʃ t i s
literatūrinius	l i t e r a t uː r i n i u s
lulu	l u l u
male	m a l e
meko	m e k o
monica	m ɔ n i k a
neturtingų	n e t u r t i ŋ ɡ o
nešvarius	n e ʃ v a r j u s
nominalo	n o m i n a l o
nustokite	n u s t o k i t e
nvidia	n v i d j a
omaro	o m a r o
ose	o z e
pervedimo	p e r v e d i m o
plonomis	p l o n o m i s
pretendentus	p r e t ɛ n d ɛ n t u s
pumpurus	p u m p u r u s
raginami	r a d͡ʒ i n a m i
sevilijos	s e v i l i j o s
skystyje	s k i s t i j ə
stoškus	s t o ʃ k u s
sulos	s u l o s
sultinys	s u l t i n i s
sutvirtinimo	s u t v i r t i n i m o
tolimesnio	t o l i m e z n j o
užmigdyti	u ʒ m i ɡ d i t i
užsispyrusi	u ʃ s i s p y r u z i
vertini	v e r t i n i
šitiems	ʃ i t j ɛ m s
šiurpą	ʃ i u r p ɔ w̃
žlugs	ʒ l u k s
žuko	ʒ u k o
administraciniu	a d m i n i s t r a t͡ʃ i n j u
ao	a o
atodanga	a t o d a ŋ ɡ a
aviganis	a v i ɡ a n i s
begalo	b e ɡ a l o
bild	b i l t
bilietu	b i l j e t u
bilio	b i l j o
bing	b i ŋ
blokados	b l o k a d o s
bokštelis	b o k ʃ t e l i s
bolido	b o l i d o
bora	b o r a
budrumo	b u d r u m o
css	k ɛ s
cukriniu	k u k r i n j u
darinio	d a r i n j o
devintasis	d e v i n t a z i s
devinto	d e v i n t o
dešimtasis	d e ʃ i m t a z i s
disidentas	d i z i d ɛ n t a s
drago	d r a ɡ o
energetinio	e n e r d͡ʒ e t i n j o
entonis	e n t o n i s
fenikso	f e n i k s o
gabenamos	ɡ a b e n a m o s
geltonojo	ɡ e l t o n o j o
geltonu	ɡ e l t o n u
gindami	ɡ i n d a m i
glumina	ɡ l u m i n a
honolulu	h o n o l u l u
hum	h u m
išganymo	i ʃ ɡ a n i m o
iškeldinti	i ʃ k e l d i n t i
iškiltų	i ʃ k i l t o
išnyktų	i ʃ n i k t o
jemeno	j e m e n o
jesus	j e z u s
jona	j o n a
kely	k e l i
kilikijos	k i l i k i j o s
kilimus	k i l i m u s
kompo	k o m p o
kopose	k o p o s e
kovinį	k o v i n i
kriketo	k r i k e t o
kritiko	k r i t i k o
kritinio	k r i t i n j o
kritinę	k r i t i n ɛ
kūrybinga	k uː r i b i ŋ ɡ a
lana	l a n a
limos	l i m o s
linos	l i n o s
ltu	l t u
mechaninę	m e ʃ a n i n ɛ
medicininio	m e d i t͡ʃ i n i n j o
mel	m e l
metimus	m e t i m u s
mikrofonu	m i k r o f o n u
moderniojo	m o d e r n j o j o
mokytų	m o k i t o
mostu	m o s t u
moteriško	m o t e r i ʃ k o
negandos	n e ɡ a n d o s
nemanykite	n e m a n i k i t e
nematys	n e m a t i s
neviltis	n e v i l t i s
nic	n i k
nominali	n o m i n a l i
nusipirkę	n u z i p i r k ɛ
nutukimo	n u t u k i m o
nušvis	n u ʃ v i s
padarymo	p a d a r i m o
pasidengia	p a z i d e n d͡ʒ i a
patiriate	p a t i r j a t e
petravičius	p e t r a v i t͡ʃ i u s
pilnomis	p i l n o m i s
pinkles	p i ŋ k l e s
pinti	p i n t i
piratus	p i r a t u s
pliaže	p l i a ʒ e
požiūrius	p o ʒ i uː r i u s
pragyveno	p r a ɡ i v e n o
pramogai	p r a m o ɡ a j
prekiniu	p r e k i n j u
primo	p r i m o
prisirišti	p r i z i r i ʃ t i
priskirtų	p r i s k i r t o
pusrutulio	p u s r u t u l j o
rašantis	r a ʃ a n t i s
rublio	ʁ u b l i o
sedano	s e d a n o
senoviniu	s e n o v i n j u
sidabrinio	s i d a b r i n j o
sirupą	s i r u p ɔ w̃
sitis	s i t i s
skersinis	s k e r s i n i s
skolinimosi	s k o l i n i m o s i
spotify	s p o t i f i
sprogdinimo	s p r o ɡ d i n i m o
stebino	s t e b i n o
stebuklingos	s t e b u k l i ŋ ɡ o s
stipriam	s t i p r i a m
sumenkinti	s u m e n k i n t i
tegali	t e ɡ a l i
teleskopu	t e l e s k o p u
teritorinę	t e r i t o r i n ɛ
tin	t i n
tragedijų	t r a ɡ e d i j o
trimito	t r i m i t o
troškulį	t r o ʃ k u l i
tus	t u s
uždenkite	u ʒ d e n k i t e
vedinys	v e d i n i s
viktorinos	v i k t o r i n o s
violetinio	v i o l e t i n j o
viršuj	v i r ʃ u j
viršun	v i r ʃ u n
viskį	v i s k i
vitro	v i t r o
vožtuvo	v o ʃ t u v o
vroclavo	v r o k l a v o
šoninę	ʃ o n i n ɛ
ūkine	uː k i n e
žilvitis	ʒ i l v i t i s
žolinis	ʒ o l i n i s
agota	a ɡ o t a
agregatas	a ɡ r e ɡ a t a s
arimo	a r i m o
atributus	a t r i b u t u s
atrodytu	a t r o d i t u
ax	a k s
bastys	b a s t i s
boat	b o a t
boni	b o n i
bum	b u m
būrelius	b uː r e l j u s
būsimąjį	b uː s i m ɔ̃ j i
devinta	d e v i n t a
dešimtmečiu	d e ʃ i m t m e t͡ʃ i u
dovilų	d o v i l o
electro	e l ɛ k t r o
estrada	e s t r a d a
etninio	e t n i n j o
gaminta	ɡ a m i n t a
genitalijų	ɡ e n i t a l i j o
gitaristų	ɡ i t a r i s t o
hovardo	h o v a r d o
ignaco	i ɲ ɲ a k o
ingredientas	i n ɡ r e d j ɛ n t a s
intrigos	i n t r i ɡ o s
išniro	i ʃ n i r o
ištirtų	i ʃ t i r t o
juridinį	j u r i d i n i
kemp	k ɛ m p
kolonistų	k o l o n i s t o
krokodilo	k r o k o d i l o
legacy	l e ɡ a s i
lipnus	l i p n u s
lukšos	l u k ʃ o s
mediana	m e d j a n a
mesk	m e s k
mile	m i l e
mint	m i n t
mintim	m i n t i m
monetomis	m o n e t o m i s
monografijų	m o n o ɡ r a f i j o
musulmonams	m u z u l m o n a m s
musulmonus	m u z u l m o n u s
neto	n e t o
nulinio	n u l i n j o
ny	n i
oksidų	o k s i d o
olympiacos	o l i m p j a k o s
oy	o j
pinigo	p i n i ɡ o
programinis	p r o ɡ r a m i n i s
på	p ɔː
repeticijų	r e p e t i t͡ʃ i j o
silpnesni	s i l p n e s n i
slopinimo	z l o p i n i m o
stiprintuvo	s t i p r i n t u v o
tebeturi	t e b e t u r i
tempus	t ɛ m p u s
teorinio	t e o r i n j o
tobulintis	t o b u l i n t i s
trevoras	t r e v o r a s
turejo	t u ʀ e j o
užkniso	u ʒ k n i z o
ventspils	v ɛ n t s p i l s
virusus	v i r u z u s
šedevru	ʃ e d e v r u
šopeno	ʃ o p e n o
abstinencijos	a b s t i n e n t͡ʃ i j o s
atsarginio	a t͡s a r d͡ʒ i n j o
banaitis	b a n a i t i s
cap	k a p
cbs	s e b e ɛ s
demografijos	d e m o ɡ r a f i j o s
deus	d øː s
ding	d i ŋ
elas	e l a s
estetinį	e s t e t i n i
formatus	f o r m a t u s
galvon	ɡ a l v o n
gaminamo	ɡ a m i n a m o
grodamas	ɡ r o d a m a s
gruntu	ɡ r u n t u
imsiu	i m s j u
isic	i z i k
istoriniam	i s t o r i n j a m
išsekę	i ʃ s e k ɛ
ištikimybe	i ʃ t i k i m i b e
jurkevičius	j u r k e v i t͡ʃ i u s
kelkis	k e l k i s
kilnų	k i l n o
kinus	k i n u s
klementina	k l e m e n t i n a
klinikinis	k l i n i k i n i s
kombinato	k o m b i n a t o
komptono	k o m p t o n o
kontorų	k o n t o r o
looking	l oː k i ŋ
mistikos	m i s t i k o s
mūrinę	m uː r i n ɛ
nedideliam	n e d i d e l j a m
neradęs	n e ʀ a d ɛ n s
nešk	n e ʃ k
opec	o p ɛ k
padedantys	p a d e d a n t i s
permesti	p e r m e s t i
pirklio	p i r k l i o
plutos	p l u t o s
populiacijų	p o p u l j a t͡ʃ i j o
pradiniu	p r a d i n j u
repšys	ʁ e p ʃ i s
rodanti	r o d a n t i
rudu	ʁ u d u
rudys	ʁ u d i s
simetrijos	s i m e t r i j o s
skilo	s k i l o
slibino	z l i b i n o
stebėsenos	s t e b i s e n o s
sumuštinio	s u m u ʃ t i n j o
upeliu	u p e l j u
vlada	v l a d a
šiltu	ʃ i l t u
šonines	ʃ o n i n e s
žinomumo	ʒ i n o m u m o
aktams	a k t a m s
atgabentas	a d ɡ a b ɛ n t a s
balticum	b a l t i k u m
bananas	b a n a n a s
bikinio	b i k i n j o
bir	b i r
blusos	b l u z o s
celtic	t͡ʃ ɛ l t i k
derinį	d e r i n i
ekonominiams	e k o n o m i n j a m s
elektromagnetinio	e l ɛ k t r o m a ɲ ɲ e t i n j o
elen	e l e n
graco	ɡ r a k o
iškilūs	i ʃ k i l uː s
išnykus	i ʃ n i k u s
išviso	i ʃ v i z o
katy	k a t i
kompiuterines	k o m p j u t e r i n e s
konsolidacijos	k o n s o l i d a t͡ʃ i j o s
kritinį	k r i t i n i
kumštį	k u m ʃ t i
logo	l o ɡ o
metru	m e t r u
minimaliu	m i n i m a l j u
mokykis	m o k i k i s
nebūtum	n e b uː t u m
negatyvų	n e ɡ a t i v o
nepale	n e p a l e
nervinio	n e r v i n j o
netikro	n e t i k r o
normalia	n o r m a l j a
pagyvino	p a ɡ i v i n o
paribio	p a r i b j o
piotro	p i o t r o
pirminiu	p i r m i n j u
plikomis	p l i k o m i s
silent	s i l ɛ n t
sola	s o l a
solisto	s o l i s t o
sonos	s o n o s
spacex	s p a s ɛ k s
study	s t u d i
supratom	s u p r a t o m
telšius	t e l ʃ i u s
teminis	t e m i n i s
terminio	t e r m i n j o
tikimybe	t i k i m i b e
tipiški	t i p i ʃ k i
trigubo	t r i ɡ u b o
tvirtus	t v i r t u s
vilku	v i l k u
vorutos	v o r u t o s
širdimis	ʃ i r d i m i s
žudikus	ʒ u d i k u s
как	k a k
across	a k ʀ ɔ s
adriana	a d r i a n a
anoniminis	a n o n i m i n i s
atrasi	a t r a z i
atsakant	a t͡s a k a n t
atsakyk	a t͡s a k i k
begalinę	b e ɡ a l i n ɛ
berta	b ɛ r t a
bielskis	b i l s k i s
blokadą	b l o k a d ɔ w̃
bombonešius	b o m b o n e ʃ i u s
boras	b o r a s
brunono	b r u n o n o
bubnys	b u b n i s
burti	b u r t i
bušido	b u ʃ i d o
celibato	t͡ʃ e l i b a t o
daliniams	d a l i n j a m s
dalybų	d a l i b o
dinas	d i n a s
diplomatinis	d i p l o m a t i n i s
donbaso	d o m b a z o
džordano	d͡ʒ o r d a n o
ekslibrisų	e k s l i b r i s o
elo	e l o
etiketes	e t i k e t e s
evil	e v i l
fanams	f a n a m s
favorite	f a v o r i t e
firminis	f i r m i n i s
gaktos	ɡ a k t o s
gardens	ɡ a ʁ d ɛ n s
gelta	ɡ ɛ l t a
