un	u n
cepurītes	t͡s e p u r iː t e s
ceļojošo	t͡s e ʎ o j o ʃ o
dubļus	d u b ʎ u s
feministu	f e m i n i s t u
gleznojis	ɡ l e z n o j i s
greznību	ɡ r e z n iː b u
iebūvēti	i e b uː v eː t i
iecienīti	i e t͡s i e n iː t i
ieņēmusi	i e ɲ eː m u s i
ikrus	i k r u s
inf	i n f
kempings	k e m p i n ɡ s
kerijs	k e r i j s
key	k e j
kokteiļi	k o k t e i ʎ i
kombinējot	k o m b i n eː j o t
likvidētu	l i k v i d eː t u
mežonīgo	m e ʒ o n iː ɡ o
nekrīt	n e k r iː t
nezināsi	n e z i n ɑː s i
novērtējuši	n o v eː r t eː j u ʃ i
nummuru	n u mː u r u
pelēku	p e l eː k u
primo	p r i m o
results	r e s u l t s
stumbru	s t u m b r u
suitu	s u i t u
sērijām	s eː r i j ɑː m
sūc	s uː t͡s
sūtīti	s uː t iː t i
trenē	t r e n eː
tumes	t u m e s
tīnūžu	t iː n uː ʒ u
tūrists	t uː r i s t s
ugunij	u ɡ u n i j
use	u s e
viltību	v i l t iː b u
virgin	v i r ɡ i n
virve	v i r v e
vērši	v eː r ʃ i
zudušo	z u d u ʃ o
zīlīte	z iː l iː t e
čellu	t͡ʃ e lː u
čīles	t͡ʃ iː l e s
īstus	iː s t u s
šoferim	ʃ o f e r i m
blusu	b l u s u
cepurīti	t͡s e p u r iː t i
cietie	t͡s i e t i e
cikli	t͡s i k l i
gido	ɡ i d o
gēns	ɡ eː n s
iemetu	i e m e t u
jump	j u m p
kolektīvo	k o l e k t iː v o
koncentrētu	k o n t͡s e n t r eː t u
kopēt	k o p eː t
līvi	l iː v i
nepilnus	n e p i l n u s
nozīmju	n o z iː m j u
pieņēmu	p i e ɲ eː m u
pircējus	p i r t͡s eː j u s
portu	p o r t u
pour	p o u r
precizēt	p r e t͡s i z eː t
provinci	p r o v i n t͡s i
pumpuru	p u m p u r u
reiniks	r e i n i k s
riit	r iː t
rīkojumi	r iː k o j u m i
single	s i n ɡ l e
step	s t e p
tulk	t u l k
tuneļiem	t u n e ʎ i eˀ m
tusiņš	t u s i ɲ ʃ
uzbūvējis	u z b uː v eː j i s
viesim	v i e s i m
zinis	z i n i s
zirnekļu	z i r n e k ʎ u
ūsu	uː s u
ciemiņus	t͡s i e m i ɲ u s
cilvēkresursu	t͡s i l v eː k r e s u r s u
cirku	t͡s i r k u
din	d i n
elektrotīklu	e l e k t r o t iː k l u
els	e l s
emīliju	e m iː l i j u
enterprises	e n t e r p r i s e s
fish	f i ʃ
forests	f o r e s t s
gribējusi	ɡ r i b eː j u s i
hibrīdu	h i b r iː d u
identisku	i d e n t i s k u
ievērojuši	i e v eː r o j u ʃ i
ikri	i k r i
isis	i s i s
islāms	i s l ɑː m s
klipu	k l i p u
kristo	k r i s t o
kritušie	k r i t u ʃ i e
kritērijs	k r i t eː r i j s
krīzē	k r iː z eː
linde	l i n d e
logotipu	l o ɡ o t i p u
līknes	l iː k n e s
menti	m e n t i
mikus	m i k u s
minu	m i n u
mērījums	m eː r iː j u m s
nebus	n e b u s
necik	n e t͡s i k
nejust	n e j u s t
nepieminēt	n e p i e m i n eː t
nepiemērotu	n e p i e m eː r o t u
nepievils	n e p i e v i l s
ng	n ɡ
noformējumu	n o f o r m eː j u m u
nomierinošu	n o m i e r i n o ʃ u
novērojis	n o v eː r o j i s
osis	o s i s
piekritēju	p i e k r i t eː j u
pieminētu	p i e m i n eː t u
piemirst	p i e m i r s t
pilnām	p i l n ɑː m
pjērs	p j eː r s
pulsu	p u l s u
pēkšņu	p eː k ʃ ɲ u
pērno	p eː r n o
pētīts	p eː t iː t s
ribu	r i b u
ritmi	r i t m i
rufus	r u f u s
rupju	r u p j u
situ	s i t u
spuldze	s p u l d͡z e
stereo	s t e r e o
stiprus	s t i p r u s
studēju	s t u d eː j u
suzuki	s u z u k i
sūtījumi	s uː t iː j u m i
turkish	t u r k i ʃ
vidēs	v i d eː s
čekistu	t͡ʃ e k i s t u
čempionus	t͡ʃ e m p i o n u s
čučēt	t͡ʃ u t͡ʃ eː t
bonus	b o n u s
cilvēcību	t͡s i l v eː t͡s iː b u
civil	t͡s i v i l
drīzu	d r iː z u
dzīvojošu	d͡z iː v o j o ʃ u
fonu	f o n u
iecietību	i e t͡s i e t iː b u
iztērēti	i z t eː r eː t i
jutusi	j u t u s i
klucis	k l u t͡s i s
konkurentus	k o n k u r e n t u s
krokodils	k r o k o d i l s
krustiņš	k r u s t i ɲ ʃ
kurtu	k u r t u
leiši	l e i ʃ i
lēkme	l eː k m e
medū	m e d uː
mikijs	m i k i j s
mēdiji	m eː d i j i
nepērc	n e p eː r t͡s
neviļus	n e v i ʎ u s
november	n o v e m b e r
piecsimt	p i e t͡s s i m t
plēve	p l eː v e
protēzes	p r o t eː z e s
psihotropo	p s i h o t r o p o
pulciņi	p u l t͡s i ɲ i
pusīte	p u s iː t e
pvo	p v o
reitingi	r e i t i n ɡ i
serdes	s e r d e s
simonu	s i m o n u
sirdīm	s i r d iː m
siļķes	s i ʎː e s
skeneris	s k e n e r i s
skujiņš	s k u j i ɲ ʃ
slēptuves	s l eː p t u v e s
smukulis	s m u k u l i s
spīdīgu	s p iː d iː ɡ u
stilus	s t i l u s
svinētu	s v i n eː t u
tikumi	t i k u m i
upurē	u p u r eː
viesmīlību	v i e s m iː l iː b u
viesību	v i e s iː b u
viju	v i j u
viltojumu	v i l t o j u m u
vito	v i t o
vēstnesī	v eː s t n e s iː
ye	j e
zīm	z iː m
zīmogi	z iː m o ɡ i
žubītes	ʒ u b iː t e s
как	k a k
bit	b i t
born	b o r n
bu	b u
cementu	t͡s e m e n t u
cīsiņu	t͡s iː s i ɲ u
devil	d e v i l
dirs	d i r s
dmitriju	d m i t r i j u
doku	d o k u
dzimumlocekli	d͡z i m u m l o t͡s e k l i
dzinumi	d͡z i n u m i
edu	e d u
enzīmu	e n z iː m u
epidēmiju	e p i d eː m i j u
flirts	f l i r t s
ielikti	i e l i k t i
ievēlētie	i e v eː l eː t i e
izteiksmīgi	i z t e i k s m iː ɡ i
komplekso	k o m p l e k s o
krisu	k r i s u
krustus	k r u s t u s
kurpēs	k u r p eː s
kust	k u s t
lejupslīde	l e j u p s l iː d e
leti	l e t i
limitu	l i m i t u
lētā	l eː t ɑː
meklēsi	m e k l eː s i
melis	m e l i s
misis	m i s i s
mūru	m uː r u
neskumsti	n e s k u m s t i
nežēlīgu	n e ʒ eː l iː ɡ u
nikns	n i k n s
noietu	n o j e t u
okupē	o k u p eː
piekrituši	p i e k r i t u ʃ i
pievilkt	p i e v i l k t
plīts	p l iː t s
providus	p r o v i d u s
quo	k w o
reinu	r e i n u
relīze	r e l iː z e
rembo	r e m b o
robotus	r o b o t u s
skumst	s k u m s t
slinks	s l i n k s
slēpti	s l eː p t i
slūžu	s l uː ʒ u
svecēm	s v e t͡s eː m
sēdus	s eː d u s
sīrupu	s iː r u p u
tell	t e lː
tīšu	t iː ʃ u
veide	v e i d e
viesturu	v i e s t u r u
vietnieki	v i e t n i e k i
wiki	w i k i
zintis	z i n t i s
zombiju	z o m b i j u
īre	iː r e
cepuru	t͡s e p u r u
degvīnu	d e ɡ v iː n u
eksponāti	e k s p o n ɑː t i
epizodē	e p i z o d eː
filmēts	f i l m eː t s
fine	f i n e
frenku	f r e n k u
jezuītu	j e z u iː t u
ji	j i
kobru	k o b r u
koncentrēt	k o n t͡s e n t r eː t
korpusi	k o r p u s i
looking	l oː k i n ɡ
lukturis	l u k t u r i s
mugurpusē	m u ɡ u r p u s eː
mītus	m iː t u s
nenes	n e n e s
nepirkšu	n e p i r k ʃ u
nikijs	n i k i j s
noprotu	n o p r o t u
noveco	n o v e t͡s o
novietotu	n o v i e t o t u
pieminētie	p i e m i n eː t i e
pikseļi	p i k s e ʎ i
pirkums	p i r k u m s
plīst	p l iː s t
pretīgu	p r e t iː ɡ u
pērkonu	p eː r k o n u
pūks	p uː k s
režīmi	r e ʒ iː m i
rīsus	r iː s u s
sekojis	s e k o j i s
serverim	s e r v e r i m
sirsniņu	s i r s n i ɲ u
skice	s k i t͡s e
slinkumu	s l i n k u m u
spoguļus	s p o ɡ u ʎ u s
svētumu	s v eː t u m u
svētīts	s v eː t iː t s
tulkojumus	t u l k o j u m u s
turēsim	t u r eː s i m
vērtējumus	v eː r t eː j u m u s
vīr	v iː r
vītnes	v iː t n e s
čekus	t͡ʃ e k u s
čīkst	t͡ʃ iː k s t
ļoooti	ʎ o oː t i
žīguru	ʒ iː ɡ u r u
cinks	t͡s i n k s
filosofiju	f i l o s o f i j u
greju	ɡ r e j u
guvējs	ɡ u v eː j s
huseins	h u s e i n s
ievēlēto	i e v eː l eː t o
indeksi	i n d e k s i
integrēts	i n t e ɡ r eː t s
izdzēsu	i z d͡z eː s u
izlūku	i z l uː k u
izolēt	i z o l eː t
izolēts	i z o l eː t s
izturējis	i z t u r eː j i s
jociņi	j o t͡s i ɲ i
keidžs	k e i d͡ʒ s
klintī	k l i n t iː
kopām	k o p ɑː m
lēnāks	l eː n ɑː k s
much	m u x
mīļumu	m iː ʎ u m u
nevienlīdzību	n e v i e n l iː d͡z iː b u
norisēm	n o r i s eː m
noslēguši	n o s l eː ɡ u ʃ i
nozīmību	n o z iː m iː b u
pelēkie	p e l eː k i e
peters	p e t e r s
pievērsis	p i e v eː r s i s
pieņēmumus	p i e ɲ eː m u m u s
pilīs	p i l iː s
poker	p o k e r
pīli	p iː l i
režisoram	r e ʒ i s o r ɑ m
sekojošs	s e k o j o ʃ s
silīcijs	s i l iː t͡s i j s
sižeti	s i ʒ e t i
skrejceļu	s k r e j t͡s e ʎ u
solā	s o l ɑː
spilvenus	s p i l v e n u s
spēcīgie	s p eː t͡s iː ɡ i e
strups	s t r u p s
studētu	s t u d eː t u
svešie	s v e ʃ i e
sūkņus	s uː k ɲ u s
tit	t i t
turīgi	t u r iː ɡ i
tuvību	t u v iː b u
tvertnēm	t v e r t n eː m
tīņu	t iː ɲ u
upīti	u p iː t i
uzpērk	u z p eː r k
viktoriju	v i k t o r i j u
vēstījumi	v eː s t iː j u m i
zemestrīču	z e m e s t r iː t͡ʃ u
zemām	z e m ɑː m
zinātnisks	z i n ɑː t n i s k s
zizli	z iˀ z l i
bruks	b r u k s
cepurēm	t͡s e p u r eː m
ciemiņš	t͡s i e m i ɲ ʃ
cēls	t͡s eː l s
duelī	d u e l iː
elektrodi	e l e k t r o d i
embriju	e m b r i j u
fotosesiju	f o t o s e s i j u
gulbim	ɡ u l b i m
hipnoze	h i p n o z e
hipotēzi	h i p o t eː z i
ieguldījis	i e ɡ u l d iː j i s
iepirkt	i e p i r k t
ietvi	i e t v i
inspektori	i n s p e k t o r i
intervēt	i n t e r v eː t
jērs	j eː r s
klusējot	k l u s eː j o t
kokļu	k o k ʎ u
kultu	k u l t u
lemtu	l e m t u
leonīdu	l e o n iː d u
medumu	m e d u m u
molu	m o l u
muļķu	m u ʎː u
nekustīgs	n e k u s t iː ɡ s
nemirstību	n e m i r s t iː b u
nirt	n i r t
nostūrī	n o s t uː r iː
nosēdēt	n o s eː d eː t
nūjiņu	n uː j i ɲ u
oy	o j
piezīmēm	p i e z iː m eː m
pumpurs	p u m p u r s
respektē	r e s p e k t eː
revīziju	r e v iː z i j u
ritenim	r i t e n i m
ritu	r i t u
rudzīte	r u d͡z iː t e
strūklu	s t r uː k l u
teen	t eː n
tes	t e s
tuneļus	t u n e ʎ u s
velosipēdus	v e l o s i p eː d u s
veltījusi	v e l t iː j u s i
venus	v e n u s
virspusi	v i r s p u s i
ziemele	z i e m e l e
ziemeļkoreju	z i e m e ʎ k o r e j u
čipu	t͡ʃ i p u
čukstus	t͡ʃ u k s t u s
ērzelis	eː r z e l i s
īsāki	iː s ɑː k i
žoklis	ʒ o k l i s
bis	b i s
burvi	b u r v i
denisu	d e n i s u
dvieļus	d v i e ʎ u s
dzimušu	d͡z i m u ʃ u
dāvi	d ɑː v i
dēt	d eː t
džeinu	d͡ʒ e i n u
džips	d͡ʒ i p s
etniski	e t n i s k i
finālspēles	f i n ɑː l s p eː l e s
foreles	f o r e l e s
gļēvs	ɡ ʎ eː v s
hipiju	h i p i j u
iebūvētu	i e b uː v eː t u
imitē	i m i t eː
instinktu	i n s t i n k t u
institūti	i n s t i t uː t i
izglītotu	i z ɡ l iː t o t u
izkusis	i z k u s i s
izredzēto	i z r e d͡z eː t o
jonus	j o n u s
jutīgi	j u t iː ɡ i
koferis	k o f e r i s
kristū	k r i s t uː
lifti	l i f t i
link	l i n k
lēš	l eː ʃ
lūst	l uː s t
mitekli	m i t e k l i
negulēšu	n e ɡ u l eː ʃ u
neironu	n e i r o n u
nopirkusi	n o p i r k u s i
noritētu	n o r i t eː t u
optimismu	o p t i m i s m u
persiku	p e r s i k u
piedēvēt	p i e d eː v eː t
pieteikusi	p i e t e i k u s i
plēvi	p l eː v i
putnēnu	p u t n eː n u
pūļi	p uː ʎ i
riku	r i k u
rūtu	r uː t u
slēdzene	s l eː d͡z e n e
slēpju	s l eː p j u
sprūdžs	s p r uː d͡ʒ s
stimuls	s t i m u l s
sīrups	s iː r u p s
tronis	t r o n i s
tupi	t u p i
uzbruks	u z b r u k s
uzdotu	u z d o t u
uzliktu	u z l i k t u
vibrē	v i b r eː
vietnēs	v i e t n eː s
virpulis	v i r p u l i s
volejbolu	v o l e j b o l u
vērīgi	v eː r iː ɡ i
vērš	v eː r ʃ
zinošu	z i n o ʃ u
ērls	eː r l s
šleseru	ʃ l e s e r u
bullis	b u lː i s
bunkuru	b u n k u r u
ciemiņu	t͡s i e m i ɲ u
citēju	t͡s i t eː j u
deer	d eː r
dēļi	d eː ʎ i
enciklopēdiju	e n t͡s i k l o p eː d i j u
eng	e n ɡ
eč	e t͡ʃ
eļļā	e ʎː ɑː
films	f i l m s
gulbe	ɡ u l b e
gūsti	ɡ uː s t i
hindu	h i n d u
iepretī	i e p r e t iː
ietilpt	i e t i l p t
intuitīvi	i n t u i t iː v i
izdzīvojis	i z d͡z iː v o j i s
izredzēm	i z r e d͡z eː m
justin	j u s t i n
jēdzīgu	j eː d͡z iː ɡ u
kopmītnes	k o p m iː t n e s
kukuļus	k u k u ʎ u s
kumeļš	k u m e ʎ ʃ
kurmji	k u r m j i
kvīti	k v iː t i
likvidēti	l i k v i d eː t i
mirstīgo	m i r s t iː ɡ o
nelikt	n e l i k t
nesmuki	n e s m u k i
netipiski	n e t i p i s k i
nežēlo	n e ʒ eː l o
novirzi	n o v i r z i
noīrēt	n o iː r eː t
ogleklis	o ɡ l e k l i s
ozoliņu	o z o l i ɲ u
pirkšu	p i r k ʃ u
potes	p o t e s
progresē	p r o ɡ r e s eː
prospektu	p r o s p e k t u
prototipi	p r o t o t i p i
puriņš	p u r i ɲ ʃ
pētīs	p eː t iː s
releju	r e l e j u
relīzes	r e l iː z e s
sekmīgu	s e k m iː ɡ u
serumu	s e r u m u
sesku	s e s k u
sezonāli	s e z o n ɑː l i
spilveni	s p i l v e n i
spin	s p i n
steroīdu	s t e r o iː d u
sūtni	s uː t n i
troļļu	t r o ʎː u
turu	t u r u
venēciju	v e n eː t͡s i j u
veselumu	v e s e l u m u
virpuļviesulis	v i r p u ʎ v i e s u l i s
virsbūvi	v i r s b uː v i
vēžus	v eː ʒ u s
zīļu	z iː ʎ u
ērču	eː r t͡ʃ u
от	ɔ t
blīvu	b l iː v u
bulciņu	b u l t͡s i ɲ u
cepti	t͡s e p t i
citējot	t͡s i t eː j o t
dun	d u n
dzīļu	d͡z iː ʎ u
eksponēti	e k s p o n eː t i
elektrodu	e l e k t r o d u
esu	e s u
file	f i l e
filipu	f i l i p u
formulēt	f o r m u l eː t
holesterīns	h o l e s t e r iː n s
ht	x t
iekritis	i e k r i t i s
ienākusi	i e n ɑː k u s i
ietvju	i e t v j u
indīgo	i n d iː ɡ o
investorus	i n v e s t o r u s
jenotu	j e n o t u
jungle	j u n ɡ l e
kociņš	k o t͡s i ɲ ʃ
kūciņu	k uː t͡s i ɲ u
nesusi	n e s u s i
nilu	n i l u
nojume	n o j u m e
nomedīt	n o m e d iː t
noturīgu	n o t u r iː ɡ u
oksīdu	o k s iː d u
olā	o l ɑː
pilnveidotu	p i l n v e i d o t u
pirtis	p i r t i s
prinči	p r i n t͡ʃ i
pīpēju	p iː p eː j u
resnu	r e s n u
ride	r i d e
simbolisks	s i m b o l i s k s
skulmes	s k u l m e s
specifisko	s p e t͡s i f i s k o
specifisks	s p e t͡s i f i s k s
svins	s v i n s
trenēt	t r e n eː t
tūristus	t uː r i s t u s
upurim	u p u r i m
uzber	u z b e r
uzpildīt	u z p i l d iː t
veiklību	v e i k l iː b u
viņ	v i ɲ
zemāki	z e m ɑː k i
zemūdeni	z e m uː d e n i
zīmējis	z iː m eː j i s
ēstu	eː s t u
īsie	iː s i e
šeins	ʃ e i n s
centus	t͡s e n t u s
ceļvedī	t͡s e ʎ v e d iː
ciešs	t͡s i e ʃ s
definētu	d e f i n eː t u
derīgi	d e r iː ɡ i
drū	d r uː
ein	e i n
ekonomistu	e k o n o m i s t u
else	e l s e
formulē	f o r m u l eː
fruit	f r u i t
gleznojumu	ɡ l e z n o j u m u
gu	ɡ u
gēnus	ɡ eː n u s
iegūsim	i e ɡ uː s i m
ieietu	i e i e t u
izbūvējot	i z b uː v eː j o t
izdzīvojuši	i z d͡z iː v o j u ʃ i
justu	j u s t u
kolonisti	k o l o n i s t i
kultivē	k u l t i v eː
lidotu	l i d o t u
lielumi	l i e l u m i
likumību	l i k u m iː b u
meklēto	m e k l eː t o
mesiju	m e s i j u
minēšu	m i n eː ʃ u
moku	m o k u
neil	n e i l
nekļūdīgi	n e k ʎ uː d iː ɡ i
nelido	n e l i d o
nepietiktu	n e p i e t i k t u
nokļuvu	n o k ʎ u v u
orku	o r k u
otu	o t u
piekritējus	p i e k r i t eː j u s
plīsums	p l iː s u m s
portfelī	p o r t f e l iː
premjerministre	p r e m j e r m i n i s t r e
projektējis	p r o j e k t eː j i s
punk	p u n k
putukrējumu	p u t u k r eː j u m u
serve	s e r v e
serverī	s e r v e r iː
skudrām	s k u d r ɑː m
slimā	s l i m ɑː
smirdīgu	s m i r d iː ɡ u
spēšu	s p eː ʃ u
stiklus	s t i k l u s
sēdeklī	s eː d e k l iː
sēlpils	s eː l p i l s
veltu	v e l t u
viļķenes	v i ʎː e n e s
ēdām	eː d ɑː m
īstenoto	iː s t e n o t o
šūt	ʃ uː t
želeju	ʒ e l e j u
žestus	ʒ e s t u s
bullshit	b u l ʃ i t
bū	b uː
devīzi	d e v iː z i
dīzeļdzinēju	d iː z e ʎ d͡z i n eː j u
elpceļu	e l p t͡s e ʎ u
grozās	ɡ r o z ɑː s
grēksūdzes	ɡ r eː k s uː d͡z e s
guvēju	ɡ u v eː j u
gēlu	ɡ eː l u
gūsteknis	ɡ uː s t e k n i s
hipotēzes	h i p o t eː z e s
homeinī	h o m e i n iː
ietur	i e t u r
ietve	i e t v e
importēt	i m p o r t eː t
indīgu	i n d iː ɡ u
izbūvei	i z b uː v e i
izdzīt	i z d͡z iː t
izjustu	i z j u s t u
izlikts	i z l i k t s
izvirzīto	i z v i r z iː t o
jodu	j o d u
kompensētu	k o m p e n s eː t u
kopdzīvi	k o p d͡z iː v i
kritisku	k r i t i s k u
krēsliņš	k r eː s l i ɲ ʃ
krīzei	k r iː z e i
kuplu	k u p l u
lektoru	l e k t o r u
likuši	l i k u ʃ i
lipkes	l i p k e s
loču	l o t͡ʃ u
mežonīgi	m e ʒ o n iː ɡ i
mikroskopu	m i k r o s k o p u
nepiemēroti	n e p i e m eː r o t i
nesēžu	n e s eː ʒ u
nevils	n e v i l s
olšūnu	o l ʃ uː n u
ožu	o ʒ u
pelnītu	p e l n iː t u
pepsi	p e p s i
piekūnu	p i e k uː n u
pieteicis	p i e t e i t͡s i s
pits	p i t s
poligonu	p o l i ɡ o n u
putniņu	p u t n i ɲ u
puto	p u t o
pūliņi	p uː l i ɲ i
rosme	r o s m e
rubiks	r u b i k s
sekmētu	s e k m eː t u
sfērām	s f eː r ɑː m
sinonīms	s i n o n iː m s
skriptu	s k r i p t u
slīpumu	s l iː p u m u
sodītu	s o d iː t u
solīt	s o l iː t
somiņu	s o m i ɲ u
stundiņu	s t u n d i ɲ u
sējumi	s eː j u m i
tipisku	t i p i s k u
tuvējās	t u v eː j ɑː s
vess	v e sː
vitro	v i t r o
vēnām	v eː n ɑː m
ziepēm	z i e p eː m
ziņojot	z i ɲ o j o t
ētiski	eː t i s k i
ētisku	eː t i s k u
žūriju	ʒ uː r i j u
из	j i z
или	j i l i
beku	b e k u
burve	b u r v e
celiņi	t͡s e l i ɲ i
child	t͡ʃ i l d
cilvēcisko	t͡s i l v eː t͡s i s k o
cēli	t͡s eː l i
denis	d e n i s
diļļu	d i ʎː u
dzēsts	d͡z eː s t s
gift	ɡ i f t
gleznojumi	ɡ l e z n o j u m i
izjūk	i z j uː k
izlūki	i z l uː k i
izvirzītu	i z v i r z iː t u
klūnijs	k l uː n i j s
kobeins	k o b e i n s
koncentrēti	k o n t͡s e n t r eː t i
kū	k uː
leslijs	l e s l i j s
liksim	l i k s i m
likumdevējs	l i k u m d e v eː j s
lokomotīve	l o k o m o t iː v e
ločmele	l o t͡ʃ m e l e
meloni	m e l o n i
mirgo	m i r ɡ o
mēmā	m eː m ɑː
nemierīgi	n e m i e r iː ɡ i
nenozīmīgi	n e n o z iː m iː ɡ i
nogulēju	n o ɡ u l eː j u
nonāksim	n o n ɑː k s i m
novēroju	n o v eː r o j u
noā	n o ɑː
pelēcīgi	p e l eː t͡s iː ɡ i
pieņemtie	p i e ɲ e m t i e
protestēt	p r o t e s t eː t
regulējums	r e ɡ u l eː j u m s
skrūvēm	s k r uː v eː m
slēdzeņu	s l eː d͡z e ɲ u
stieņu	s t i e ɲ u
studējošo	s t u d eː j o ʃ o
suku	s u k u
sīlis	s iː l i s
tukumu	t u k u m u
tēriņu	t eː r i ɲ u
unces	u n t͡s e s
uzmeklēt	u z m e k l eː t
zirņus	z i r ɲ u s
zodu	z o d u
zīdu	z iː d u
zīmuļu	z iː m u ʎ u
zīmītē	z iː m iː t eː
busiņš	b u s i ɲ ʃ
būvuzņēmējs	b uː v u z ɲ eː m eː j s
dei	d e i
drustu	d r u s t u
dzinumu	d͡z i n u m u
dzinumus	d͡z i n u m u s
džipu	d͡ʒ i p u
hokejistus	h o k e j i s t u s
ieguldījumus	i e ɡ u l d iː j u m u s
izbrīnīti	i z b r iː n iː t i
izdzēstu	i z d͡z eː s t u
izjutu	i z j u t u
izlietne	i z l i e t n e
izvēlās	i z v eː l ɑː s
izvērtējot	i z v eː r t eː j o t
kefīrs	k e f iː r s
kimu	k i m u
kristīgi	k r i s t iː ɡ i
leins	l e i n s
leišu	l e i ʃ u
lokomotīvi	l o k o m o t iː v i
lūguši	l uː ɡ u ʃ i
mocekļu	m o t͡s e k ʎ u
muskuli	m u s k u l i
neietu	n e i e t u
nine	n i n e
nopelnījusi	n o p e l n iː j u s i
notievēt	n o t i e v eː t
novērtēti	n o v eː r t eː t i
pelču	p e l t͡ʃ u
pieminēju	p i e m i n eː j u
pieticis	p i e t i t͡s i s
plūmes	p l uː m e s
poteru	p o t e r u
pure	p u r e
pērienu	p eː r i e n u
pētītu	p eː t iː t u
pūlim	p uː l i m
reizumis	r e i z u m i s
reju	r e j u
rektoru	r e k t o r u
rītiņš	r iː t i ɲ ʃ
rūdīts	r uː d iː t s
sekrēciju	s e k r eː t͡s i j u
simbolisko	s i m b o l i s k o
sjū	s j uː
smitu	s m i t u
steroīdus	s t e r o iː d u s
sudoku	s u d o k u
svētums	s v eː t u m s
sūtību	s uː t iː b u
uzlikti	u z l i k t i
uzpūst	u z p uː s t
veiksmei	v e i k s m e i
viesmīlis	v i e s m iː l i s
vējos	v eː j o s
vēlējumi	v eː l eː j u m i
zemestrīci	z e m e s t r iː t͡s i
zvērēt	z v eː r eː t
īstenoti	iː s t e n o t i
šimkus	ʃ i m k u s
bruņurupuču	b r u ɲ u r u p u t͡ʃ u
būdu	b uː d u
celtu	t͡s e l t u
cinku	t͡s i n k u
duetu	d u e t u
dzeguzes	d͡z e ɡ u z e s
dēļus	d eː ʎ u s
echo	e x o
eliti	e l i t i
fsi	f s i
grimt	ɡ r i m t
het	h e t
ierindo	i e r i n d o
izdzēsts	i z d͡z eː s t s
iztērē	i z t eː r eː
koelju	k o e l j u
komunismu	k o m u n i s m u
kostīmus	k o s t iː m u s
krūmiņu	k r uː m i ɲ u
krūmus	k r uː m u s
līkne	l iː k n e
mainām	m ɑ i n ɑː m
masīvi	m ɑ s iː v i
mehiko	m e h i k o
mein	m e i n
moduļu	m o d u ʎ u
moduļus	m o d u ʎ u s
moon	m oː n
mori	m o r i
mīļums	m iː ʎ u m s
mūrus	m uː r u s
nerūp	n e r uː p
nevienmērīgi	n e v i e n m eː r iː ɡ i
nolūki	n o l uː k i
nopelnīs	n o p e l n iː s
nopirkuši	n o p i r k u ʃ i
okt	o k t
optiku	o p t i k u
optiski	o p t i s k i
piekritusi	p i e k r i t u s i
pievilcību	p i e v i l t͡s iː b u
pildījis	p i l d iː j i s
plīvurs	p l iː v u r s
prostitūciju	p r o s t i t uː t͡s i j u
pudelīte	p u d e l iː t e
pudelīti	p u d e l iː t i
rencēnu	r e n t͡s eː n u
rules	r u l e s
rēgu	r eː ɡ u
rūsu	r uː s u
sektori	s e k t o r i
settings	s e tː i n ɡ s
shine	ʃ i n e
sižetus	s i ʒ e t u s
skūpstītu	s k uː p s t iː t u
spilve	s p i l v e
spole	s p o l e
sulīgu	s u l iː ɡ u
sūtu	s uː t u
teļu	t e ʎ u
tomā	t o m ɑː
viks	v i k s
vilinoši	v i l i n o ʃ i
vīnā	v iː n ɑː
īve	iː v e
burt	b u r t
celmiņš	t͡s e l m i ɲ ʃ
cepurīte	t͡s e p u r iː t e
cēlis	t͡s eː l i s
dievību	d i e v iː b u
dzeņi	d͡z e ɲ i
džins	d͡ʒ i n s
ekspertīzes	e k s p e r t iː z e s
emu	e m u
fiksētu	f i k s eː t u
helmuts	h e l m u t s
holivudu	h o l i v u d u
hope	h o p e
izdzīvojušo	i z d͡z iː v o j u ʃ o
jorku	j o r k u
jēru	j eː r u
konkurētspēju	k o n k u r eː t s p eː j u
kornēlijs	k o r n eː l i j s
kumelīšu	k u m e l iː ʃ u
kustīgi	k u s t iː ɡ i
kūdru	k uː d r u
lētāki	l eː t ɑː k i
minējumi	m i n eː j u m i
misionāri	m i s i o n ɑː r i
nepieviļ	n e p i e v i ʎ
nosodīt	n o s o d iː t
peldi	p e l d i
podus	p o d u s
pretlikumīgi	p r e t l i k u m iː ɡ i
pretrunīgu	p r e t r u n iː ɡ u
pretvīrusu	p r e t v iː r u s u
prezentēt	p r e z e n t eː t
princesīte	p r i n t͡s e s iː t e
punktiņš	p u n k t i ɲ ʃ
relikviju	r e l i k v i j u
resno	r e s n o
ronis	r o n i s
ronu	r o n u
rozītis	r o z iː t i s
rutīnu	r u t iː n u
rūgts	r uː k t s
sekojošus	s e k o j o ʃ u s
sieniņu	s i e n i ɲ u
soliņš	s o l i ɲ ʃ
spirit	s p i r i t
sti	s t i
stilistiski	s t i l i s t i s k i
strīpu	s t r iː p u
sulīgi	s u l iː ɡ i
tikums	t i k u m s
tokiju	t o k i j u
tänav	t æ n ɑ v
tūsku	t uː s k u
vietiņu	v i e t i ɲ u
čiekurs	t͡ʃ i e k u r s
ērce	eː r t͡s e
ļeņins	ʎ e ɲ i n s
šerifs	ʃ e r i f s
žokļi	ʒ o k ʎ i
cietzemes	t͡s i e t͡s e m e s
court	k u r t
cīrihē	t͡s iː r i h eː
