на	n a
статей	s t a tʲ ɛ j
сторона	s t ɔ r o n a
сумма	s u m m a
задание	z a d a n i j ɛ
избежать	j z bʲ ɛ ʑ a tʲ
минск	m i n s k
нос	n ɔ s
победить	p ɔ b ɛ d i tʲ
получение	p ɔ l u t͡ɕ ɛ n i j ɛ
попали	p ɔ p a lʲ i
проведение	p r ɔ ʋ ɛ d ɛ n i j ɛ
продолжение	p r ɔ d ɔ l ʑ ɛ n i j ɛ
радость	r a d ɔ s tʲ
ран	r a n
семей	s ɛ m ɛ j
считал	s t͡ɕ i t a l
точку	t ɔ t͡ɕ k u
ум	u m
философии	f i ɮ ɔ s ɔ f i j
художника	x u d ɔ ʑ n i k a
чел	t͡ɕ ɛ l
андрея	a n d rʲ ɛ j a
версию	ʋ ɛ r s i j u
веществ	ʋ ɛ ɕ t͡ɕ ɛ s t ʋ
вон	ʋ ɔ n
выходить	ʋ i x ɔ d i tʲ
занятия	z a nʲ a tʲ i j a
знаком	z n a k ɔ m
играют	i ɡ r a j u t
линия	l i n i j a
мастера	m a s tʲ ɛ r a
мэр	m e r
мясо	mʲ a s o
подход	p ɔ d x ɔ d
полная	p ɔ l n a j a
помог	p ɔ m ɔ ɡ
рассказ	r a s k a z
родину	r ɔ d i n u
рука	r u k a
столице	s t ɔ l i t͡sʲ ɛ
точка	t ɔ t͡ɕ k a
усилия	u s i l i j a
ха	x a
хорошей	x ɔ r ɔ ɕ ɛ j
on	o n
боя	b ɔ j a
ведут	ʋ ɛ d u t
выполнить	ʋ i p ɔ l n i tʲ
генерального	ɡ ɛ n ɛ r a lʲ n o ɡ o
забыла	z a b i ɮ a
имею	j i m ɛ j u
кабинет	k a b i nʲ ɛ t
командой	k ɔ m a n d ɔ j
лучшего	l u t͡ɕ ɕ ɛ ɡ ɔ
минобороны	m i n ɔ b ɔ r o n i
носит	n ɔ s i t
офицер	ɔ f i t͡sʲ ɛ r
показатели	p ɔ k a z a tʲ ɛ l i
показатель	p ɔ k a z a tʲ ɛ lʲ ɪ
прекратить	p rʲ ɛ k r a tʲ i tʲ
семи	s ɛ m i
созданию	s ɔ z d a n i j u
старых	s t a r i x
сыграл	s i ɡ r a ɮ
татьяна	t a tʲ j a n a
царь	t͡sʰ a rʲ
верхней	ʋ ɛ r x n ɛ j
высшего	ʋ i s ɕ ɛ ɡ o
городских	ɡ ɔ r ɔ d s k i x
долгое	d ɔ l ɡ ɔ j ɛ
идею	j i d ɛ j u
крае	k r a j
линию	l i n i j u
лице	l i t͡sʲ ɛ
менять	m ɛ n j a tʲ
народу	n a r ɔ d u
ничем	n i t͡ɕ ɛ m
ошибка	ɔ ɕ i p k a
партию	p a r tʲ i j u
поддержке	p ɔ d dʲ ɛ r ʑ kʲ ɛ
пола	p ɔ l a
получают	p ɔ l u t͡ɕ a j u t
попробуй	p ɔ p r ɔ b u j
потерять	p ɔ tʲ ɛ rʲ a tʲ
причинам	p r i t͡ɕ i n a m
сверху	s ʋ ɛ r x u
своём	s ʋ ɔ j ɔ m
связана	s ʋʲ a z a n a
селе	s ɛ lʲ ɛ
стола	s t ɔ l a
фронт	f r ɔ n t
хорошим	x ɔ r ɔ ɕ i m
шоссе	ɕ ɔ s s ɛ
me	m e
windows	w i n d o u s
выпуска	ʋ i p u s k a
закрыть	z a kʰ r i tʲ
зная	z n a j a
ирина	j i r i n a
кости	k ɔ s tʲ i
международные	m ɛ ʑ d u n a r ɔ d n i j ɛ
отцом	ɔ t t͡sʰ ɔ m
плохой	p l ɔ x ɔ j
растения	r a s tʲ ɛ n i j a
си	s i
советские	s ɔ ʋ ɛ t s k i j ɛ
стыдно	s t i d n o
суммы	s u m m i
указ	u k a z
флаг	f l a ɡ
вино	ʋ i n o
времен	ʋ rʲ ɛ m ɛ n
гран	ɡ r a n
долю	d ɔ lʲ u
дорогая	d ɔ r ɔ ɡ a j a
екатерина	j ɛ k a tʲ ɛ r i n a
корпуса	k ɔ r p u s a
нарушение	n a r u ɕ ɛ n i j ɛ
ногу	n ɔ ɡ u
отказ	ɔ t k a z
парней	p a r nʲ ɛ j
песен	p ɛ s ɛ n
понимают	p ɔ n i m a j u t
секунду	s ɛ k u n d u
старая	s t a r a j a
формулы	f ɔ r m u l i
my	m i
база	b a z a
би	b i
видят	ʋ i dʲ a t
временно	ʋ rʲ ɛ m ɛ n n o
говорите	ɡ ɔ ʋ ɔ r i tʲ ɛ
годам	ɡ ɔ d a m
единая	j ɛ d i n a j a
еды	j ɛ d i
заменить	z a mʲ ɛ n i tʲ
звание	z ʋ a n i j ɛ
колонии	k ɔ l ɔ n i j
кредит	k rʲ ɛ d i t
матчах	m a tʰ t͡ɕʰ a x
мо	m ɔ
осторожно	ɔ s t ɔ r ɔ ʑ n o
отдельно	ɔ t dʲ ɛ l ɪ n o
поиск	p ɔ j i s k
преступление	p rʲ ɛ s t u p lʲ ɛ n i j ɛ
учения	u t͡ɕ ɛ n i j a
физики	f i z i kʲ i
важных	ʋ a ʑ n i x
взрыва	ʋ z r i ʋ a
курсы	k u r s i
носить	n ɔ s i tʲ
обзор	ɔ b z ɔ r
особое	ɔ s ɔ b ɔ j ɛ
офис	ɔ f i s
падения	p a dʲ ɛ n i j a
парка	p a r k a
покупать	p ɔ k u p a tʲ
помогать	p ɔ m ɔ ɡ a tʲ
понятие	p ɔ nʲ a tʲ i j ɛ
самих	s a mʲ ə x
спросить	s p r ɔ s i tʲ
станут	s t a n u t
статью	s t a tʲ j u
счета	s t͡ɕ ɛ t a
турнире	t u r n i rʲ ɛ
участии	u t͡ɕ a s tʲ i j
бросил	b r ɔ s i l
вернулись	ʋ ɛ r n u l i s ɪ
веры	ʋ ɛ r i
высоты	ʋ i s ɔ t i
горе	ɡ ɔ rʲ ɛ
занять	z a nʲ a tʲ
земель	z ɛ m ɛ l ɪ
зона	z ɔ n a
клиент	k l i j ɛ n t
лагерь	l a ɡʲ ɛ rʲ
мяса	mʲ a s a
народные	n a r ɔ d n i j ɛ
подумала	p ɔ d u m a l a
признание	p r i z n a n i j ɛ
принятия	p r i nʲ a tʲ i j a
советы	s ɔ ʋ ɛ t i
срока	s r ɔ k a
столе	s t ɔ lʲ ɛ
стоял	s t ɔ j a l
холодно	x ɔ l ɔ d n o
этапа	e t a p a
видите	ʋ i d i tʲ ɛ
детские	d ɛ t s k i j ɛ
ею	j ɛ j u
желаю	ʒ ɛ l a j u
звезд	z ʋ ɛ z d
зенит	z ɛ n i t
знания	z n a n i j a
зубы	z u b i
ин	i n
кожи	k ɔ ʑ i
марки	m a r kʲ
месту	m ɛ s t u
награду	n a ɡ r a d u
общие	ɔ b ɕ i j ɛ
погода	p ɔ ɡ ɔ d a
показала	p ɔ k a z a l a
показания	p ɔ k a z a n i j a
полу	p ɔ l u
природа	p r i r ɔ d a
продолжить	p r ɔ d ɔ l ʑ i tʲ
радости	r a d ɔ s tʲ i
создана	s ɔ z d a n a
требуют	t rʲ ɛ b u j u t
урок	u r ɔ k
фрг	f r ə ɡ
царя	t͡sʰ a rʲ a
at	a t
веке	ʋ ɛ kʲ ɛ
ветра	ʋ ɛ t r ɑ
воздухе	ʋ ɔ z d u xʲ ɛ
выполнять	ʋ i p ɔ l nʲ a tʲ
высокая	ʋ i s ɔ k a j a
делаем	d ɛ l ɑ j ɛ m
деньгами	d ɛ n ɪ ɡ ɑ m i
единого	j ɛ d i n o ɡ o
знаки	z n a kʲ
золотые	z ɔ l ɔ t i j ɛ
известные	i z ʋ ɛ s t n i j ɛ
казани	k a z a nʲ i
краю	k r a j u
музее	m u z ɛ j ɛ
нормы	n ɔ r m i
обязаны	ɔ bʲ a z a n i
освобождения	ɔ s ʋ ɔ b ɔ ʑ d͡ʑ ɛ n i j a
отпуск	ɔ t p u s k
полка	p ɔ l k a
поста	p ɔ s t a
просил	p r ɔ s i l
род	r ɔ d
своя	s ʋ ɔ j a
счастью	s t͡ɕ a s tʲ j u
съезда	s j ɛ z d a
убрать	u b r a tʲ
украинская	u k r a j i n s k a j a
фон	f ɔ n
one	o n e
ru	r u
банки	b a ŋ kʲ
выяснить	ʋ i j a s n i tʲ
дед	d ɛ d
критики	k r i tʲ i kʲ i
областях	ɔ b l a s tʲ a x
отличная	ɔ t l i t͡ɕ n a j a
поведения	p ɔ ʋ ɛ d ɛ n i j a
портал	p ɔ r t a l
признал	p r i z n a l
пришёл	p r i ɕ j ɔ l
родилась	r ɔ d i l a sʲ
русское	r u s k ɔ j ɛ
слышу	s l i ɕ u
собираются	s ɔ b i r a j u t sʲ a
стене	s tʲ ɛ n ɛ
стоять	s t ɔ j a tʲ
сыграть	s i ɡ r a tʲ
тюрьме	tʲ u rʲ mʲ ɛ
vi	v i
бросить	b r ɔ s i tʲ
ирана	i r a n a
канады	k a n a d i
лист	l i s t
личные	l i t͡ɕ n i j ɛ
мам	m a m
мартин	m a r tʲ i n
международном	m ɛ ʑ d u n a r ɔ d n o m
местом	m ɛ s t ɔ m
мистер	m i s tʲ ɛ r
многим	m n ɔ ɡ i m
моста	m ɔ s t a
мэра	m e r a
наказание	n a k a z a n i j ɛ
немецкого	n ɛ m ɛ t͡sʰ k ɔ ɡ ɔ
принимал	p r i n i m a l
сбор	s b ɔ r
собаки	s ɔ b a kʲ
созданы	s ɔ z d a n i
томас	t ɔ m a s
языком	j a z i k ɔ m
de	d e
белая	b ɛ l a j a
важнее	ʋ a ʑ nʲ ɛ j ɛ
вели	ʋ ɛ l i
вошел	ʋ ɔ ɕ ɛ l
враг	ʋ r a ɡ
двигатель	d ʋ i ɡ a tʲ ɛ lʲ ɪ
еда	j ɛ d a
зла	z ɫ a
казань	k a z a nʲ
личной	l i t͡ɕ n ɔ j
областей	ɔ b l a s tʲ ɛ j
озера	ɔ z ɛ r ɑ
особый	ɔ s ɔ b i j
пакет	p a kʲ ɛ t
пар	p a r
письме	p i s ɪ m ɛ
приз	p r i z
прочих	p r ɔ t͡ɕ i x
путей	p u tʲ ɛ j
ричард	r i t͡ɕ a r d
ск	s k
удастся	u d a s tʲ sʲ a
ходит	x ɔ d i t
хороших	x ɔ r ɔ ɕ i x
is	i s
бою	b ɔ j u
вел	ʋ ɛ l
выводу	ʋ i ʋ ɔ d u
выводы	ʋ i ʋ ɔ d i
громко	ɡ r ɔ m k ɔ
достичь	d ɔ s tʲ i t͡ɕʲ
едет	j ɛ d ɛ t
идите	i d i tʲ ɛ
клубы	k l u b i
корпус	k ɔ r p u s
март	m a r tʰ
меньшей	m ɛ n ɪ ɕ ɛ j
миссии	m i s s i j
отдохнуть	ɔ t d ɔ x n u tʲ
поехать	p ɔ j ɛ x a tʲ
позволяют	p ɔ z ʋ ɔ lʲ a j u t
помещения	p ɔ mʲ ɛ ɕ t͡ɕ ɛ n i j a
помогут	p ɔ m ɔ ɡ u t
профессора	p r ɔ fʲ ɛ s s ɔ r a
проходил	p r ɔ x ɔ d i l
работники	r a b ɔ t n i kʲ i
сел	s ɛ l
ска	s k a
собираюсь	s ɔ b i r a j u sʲ
собрал	s ɔ b r a l
сознания	s ɔ z n a n i j a
услышать	u s l i ɕ a tʲ
цифры	t͡sʰ i f r i
япония	j a p ɔ n i j a
базу	b a z u
блока	b l ɔ k a
губы	ɡ u b i
дмитрия	d m i t r i j a
дне	d nʲ ɛ
дороже	d ɔ r ɔ ʑ ɛ
заседание	z a s ɛ d a n i j ɛ
красные	k r a s n i j ɛ
научные	n a u t͡ɕʰ n i j ɛ
петь	p ɛ t ɪ
пособие	p ɔ s ɔ b i j ɛ
потеряла	p ɔ tʲ ɛ rʲ a l a
причину	p r i t͡ɕ i n u
простых	p r ɔ s t i x
размеры	r a z mʲ ɛ r i
риск	r i s k
слышать	s l i ɕ a tʲ
соль	s ɔ lʲ
среду	s rʲ ɛ d u
страха	s t r a x a
судно	s u d n o
сферы	s f ɛ r i
технология	tʲ ɛ x n ɔ l ɔ ɡ i j a
удобно	u d ɔ b n o
форм	f ɔ r m
хорошую	x ɔ r ɔ ɕ u j u
арт	a r tʰ
важные	ʋ a ʑ n i j ɛ
вашим	ʋ a ɕ i m
вину	ʋ i n u
военная	ʋ ɔ j ɛ n n a j a
вслед	ʋ s lʲ ɛ d
встать	ʋ s t a tʲ
вызвал	ʋ i z ʋ a l
выпить	ʋ i p i tʲ
граф	ɡ r a f
костюм	k ɔ s tʲ u m
ложь	l ɔ ʑ
молодая	m ɔ l ɔ d a j a
награды	n a ɡ r a d i
нападение	n a p a dʲ ɛ n i j ɛ
обсудить	ɔ b s u d i tʲ
ошибку	ɔ ɕ i p k u
планете	p l a nʲ ɛ tʲ ɛ
полк	p ɔ l k
помнить	p ɔ m n i tʲ
примеры	p r i m ɛ r i
принимают	p r i n i m a j u t
просить	p r ɔ s i tʲ
пытаюсь	p i t a j u sʲ
сервис	s ɛ r ʋ i s
стену	s tʲ ɛ n u
французской	f r a n t͡sʰ u z s k ɔ j
футбола	f u t b ɔ l a
хан	x a n
четко	t͡ɕ ɛ t k ɔ
чехии	t͡ɕ ɛ x i j
чтения	t͡ɕ tʲ ɛ n i j a
бориса	b ɔ r i s a
верит	ʋ ɛ r i t
возможных	ʋ ɔ z m ɔ ʑ n i x
возьми	ʋ ɔ z ɪ m i
волна	ʋ ɔ l n a
ворот	ʋ ɔ r o t
восьми	ʋ ɔ s ɪ m i
диск	d i s k
доверие	d ɔ ʋ ɛ r i j ɛ
изделий	j z dʲ ɛ l i j
лига	l i ɡ a
малых	m a l i x
наказания	n a k a z a n i j a
нападения	n a p a dʲ ɛ n i j a
огромные	ɔ ɡ r ɔ m n i j ɛ
пер	p ɛ r
питание	p i t a n i j ɛ
побед	p ɔ b ɛ d
праздника	p r a z d n i k a
предлагаю	p rʲ ɛ d l a ɡ a j u
приказал	p r i k a z a l
принимали	p r i n i m a l i
произведение	p r ɔ j i z ʋ ɛ d ɛ n i j ɛ
прочие	p r ɔ t͡ɕ i j ɛ
расширение	r a s ɕ i rʲ ɛ n i j ɛ
сука	s u k a
удара	u d a r a
уроки	u r ɔ kʲ i
ухода	u x ɔ d a
love	l o v e
вынуждены	ʋ i n u ʑ d͡ʑ ɛ n i
дорогие	d ɔ r ɔ ɡ i j ɛ
заработать	z a r a b ɔ tʰ a tʲ
кирилл	k i r i ɮ ɮ
красоты	k r a s ɔ t i
матерью	m a tʲ ɛ rʲ j u
минус	m i n u s
немножко	n ɛ m n ɔ ʑ k ɔ
общим	ɔ b ɕ i m
освобождение	ɔ s ʋ ɔ b ɔ ʑ d͡ʑ ɛ n i j ɛ
отказалась	ɔ t k a z a ɮ a sʲ
падение	p a dʲ ɛ n i j ɛ
посту	p ɔ s t u
ростом	r ɔ s t ɔ m
сохранения	s ɔ x r a nʲ ɛ n i j a
сходить	s x ɔ d i tʲ
тратить	t r a tʲ i tʲ
учета	u t͡ɕ ɛ t a
христа	x r i s t a
веб	ʋ ɛ b
высших	ʋ i s ɕ i x
дам	d a m
денис	d ɛ n i s
длинные	d l i n n i j ɛ
корабли	k ɔ r a b l i
космос	k ɔ s m ɔ s
крест	k rʲ ɛ s t
миг	m i ɡ
небе	n ɛ b ɛ
ник	n i k
огромная	ɔ ɡ r ɔ m n a j a
поддержать	p ɔ d dʲ ɛ r ʑ a tʲ
полно	p ɔ l n o
положить	p ɔ l ɔ ʑ i tʲ
помогли	p ɔ m ɔ ɡ l i
постели	p ɔ s tʲ ɛ l i
рис	r i s
саду	s a d u
судна	s u d n a
сыну	s i n u
ура	u r a
эй	e i
юг	j u ɡ
group	ɡ r u p
twitter	t w i t ə r
бен	b ɛ n
внизу	ʋ n i z u
возможным	ʋ ɔ z m ɔ ʑ n i m
вып	ʋ i p
высокую	ʋ i s ɔ k u j u
гор	ɡ ɔ r
днём	d nʲ ɔ m
зону	z ɔ n u
кадры	k a d r i
маму	m a m u
обсуждение	ɔ b s u ʑ d͡ʑ ɛ n i j ɛ
отцу	ɔ t t͡sʰ u
папы	p a p i
площадью	p l ɔ ɕ t͡ɕ a dʲ j u
помогают	p ɔ m ɔ ɡ a j u t
премию	p rʲ ɛ m i j u
придумал	p r i d u m a l
простые	p r ɔ s t i j ɛ
саша	s a ɕ a
скучно	s k u t͡ɕ n o
тюрьму	tʲ u rʲ m u
уходить	u x ɔ d i tʲ
учебного	u t͡ɕ ɛ b n o ɡ o
шансы	ɕ a n s i
эпоху	e p ɔ x u
внутрь	ʋ n u t rʲ
груз	ɡ r u z
грустно	ɡ r u s t n o
губернии	ɡ u bʲ ɛ r n i j
дар	d a r
йорка	j ɔ r k a
камни	k a m n i
классы	k l a s i
мелкие	m ɛ l k i j ɛ
молока	m ɔ l ɔ k a
находит	n a x ɔ d i t
немецкой	n ɛ m ɛ t͡sʰ k ɔ j
несет	n ɛ s ɛ t
обожаю	ɔ b ɔ ʑ a j u
плохое	p l ɔ x ɔ j ɛ
подробно	p ɔ d r ɔ b n o
пропал	p r ɔ p a l
просят	p r ɔ s j a t
разным	r a z n i m
расти	r a s tʲ i
ряду	rʲ a d u
сбора	s b ɔ r a
семьей	s ɛ m ɪ j ɛ j
советское	s ɔ ʋ ɛ t s k ɔ j ɛ
средних	s rʲ ɛ d n i x
ста	s t a
тверской	t ʋ ɛ r s k ɔ j
урожай	u r ɔ ʑ ɛː
храма	x r a m a
вдвое	ʋ d ʋ ɔ j ɛ
вред	ʋ rʲ ɛ d
голосование	ɡ ɔ l ɔ s ɔ ʋ a n i j ɛ
дадут	d a d u t
данная	d a n n a j a
забрать	z a b r a tʲ
затраты	z a tʰ r a tʰ i
золотая	z ɔ l ɔ t a j a
игроком	i ɡ r ɔ k ɔ m
изделия	j z dʲ ɛ l i j a
линий	l i n i j
лошадь	l ɔ ɕ a dʲ
малыш	m a l i ɕ
несомненно	n ɛ s ɔ m n ɛ n n o
объяснил	ɔ b j a s n i l
особой	ɔ s ɔ b ɔ j
подать	p ɔ d a tʲ
попросила	p ɔ p r ɔ s i l a
порт	p ɔ r t
пропустил	p r ɔ p u s tʲ i l
работаю	r a b ɔ t a j u
рассказы	r a s k a z i
рыба	r i b a
ряды	rʲ a d i
свободно	s ʋ ɔ b ɔ d n o
сдать	s d a tʲ
сессии	s ɛ s s i j
смех	s mʲ ɛ x
сна	s n a
старт	s t a r tʰ
строя	s t r ɔ j a
угрозы	u ɡ r ɔ z i
цикла	t͡sʰ i k l a
числу	t͡ɕ i s ɮ u
валентина	ʋ a ɮʲ ɛ n tʲ i n a
выросла	ʋ i r ɔ s l a
добра	d ɔ b r a
домашних	d ɔ m a ɕ n i x
допустить	d ɔ p u s tʲ i tʲ
зимних	z i m n i x
кучу	k u t͡ɕ u
лиза	l i z a
международным	m ɛ ʑ d u n a r ɔ d n i m
миссия	m i s s i j a
мск	m s k
народная	n a r ɔ d n a j a
обнаружено	ɔ b n a r u ʑ ɛ n o
объема	ɔ b j ɛ m a
освободить	ɔ s ʋ ɔ b ɔ d i tʲ
осени	ɔ s ɛ n i
подал	p ɔ d a l
попытку	p ɔ p i t k u
поход	p ɔ x ɔ d
пошёл	p ɔ ɕ j ɔ l
природных	p r i r ɔ d n i x
профессии	p r ɔ fʲ ɛ s s i j
рабочая	r a b ɔ t͡ɕ a j a
раздел	r a z dʲ ɛ l
размещения	r a z mʲ ɛ ɕ t͡ɕ ɛ n i j a
разум	r a z u m
сада	s a d a
село	s ɛ l o
сент	s ɛ n t
собирать	s ɔ b i r a tʲ
согласия	s ɔ ɡ l a s i j a
тома	t ɔ m a
трубку	t r u b k u
устала	u s t a ɮ a
фигуры	f i ɡ u r i
фотография	f ɔ t ɔ ɡ r a f i j a
хранения	x r a nʲ ɛ n i j a
бар	b a r
берут	b ɛ r u t
вадим	ʋ a dʲ i m
гибель	ɡ i b ɛ l ɪ
дерьмо	d ɛ r ɪ m ɔ
духа	d u x a
египта	j ɛ ɡ i p t a
крупным	k r u p n i m
нашёл	n a ɕ j ɔ l
низкой	n i z k ɔ j
нина	n i n a
отмечают	ɔ t mʲ ɛ t͡ɕ a j u t
победой	p ɔ b ɛ d ɔ j
потока	p ɔ t ɔ k a
протеста	p r ɔ tʲ ɛ s t a
ра	r a
рака	r a k a
сербии	s ɛ r b i j
согласна	s ɔ ɡ l a s n a
сок	s ɔ k
спас	s p a s
танец	t a nʲ ɛ t͡sʰ
формате	f ɔ r m a tʲ ɛ
эфир	e f i r
ярко	j a r k ɔ
всём	ʋ s j ɔ m
городские	ɡ ɔ r ɔ d s k i j ɛ
даёт	d a j ɔ t
достать	d ɔ s t a tʲ
критика	k r i tʲ i k a
куча	k u t͡ɕ a
ма	m a
находясь	n a x ɔ dʲ a sʲ
нба	n b a
ночной	n ɔ t͡ɕ n ɔ j
образа	ɔ b r a z a
органа	ɔ r ɡ a n a
популярных	p ɔ p u ɮʲ a r n i x
приносит	p r i n o s i t
скандал	s k a n d a ɮ
слышно	s l i ɕ n o
стен	s tʲ ɛ n
считая	s t͡ɕ i t a j a
территория	tʲ ɛ r r i t ɔ r i j a
ток	t ɔ k
формально	f ɔ r m a lʲ n o
форум	f ɔ r u m
черная	t͡ɕ ɛ r n a j a
шею	ɕ ɛ j u
штук	ɕ t u k
юрия	j u r i j a
борт	b ɔ r t
бред	b rʲ ɛ d
веру	ʋ ɛ r u
весны	ʋ ɛ s n i
взамен	ʋ z a mʲ ɛ n
григорий	k r i ɡ ɔ r i j
дано	d a n o
дно	d n o
залог	z a l ɔ ɡ
крик	k r i k
крис	k r i s
мэри	m e r i
начинаю	n a t͡ɕ i n a j u
нии	n i j
норма	n ɔ r m a
охрана	ɔ x r a n a
пахнет	p a x nʲ ɛ t
планета	p l a nʲ ɛ t a
полезных	p ɔ lʲ ɛ z n i x
поп	p ɔ p
поступить	p ɔ s t u p i tʲ
проезд	p r ɔ j ɛ z d
просьбой	p r ɔ s ɪ b ɔ j
родина	r ɔ d i n a
се	s ɛ
собаку	s ɔ b a k u
советом	s ɔ ʋ ɛ t ɔ m
совещание	s ɔ ʋ ɛ ɕ t͡ɕ a n i j ɛ
сохранение	s ɔ x r a nʲ ɛ n i j ɛ
стоп	s t ɔ p
сэр	s e r
угроза	u ɡ r ɔ z a
улучшения	u ɮ u t͡ɕ ɕ ɛ n i j a
фирма	f i r m a
цру	t͡sʰ r u
чистая	t͡ɕ i s t a j a
юрист	j u r i s t
юстиции	j u s tʲ i t͡sʲ i j
автобуса	a w̜ tʰ ɔ b u s a
близ	b l i z
временного	ʋ rʲ ɛ m ɛ n n o ɡ o
горах	ɡ ɔ r a x
грозит	ɡ r ɔ z i t
дышать	d i ɕ a tʲ
звездой	z ʋ ɛ z d ɔ j
мл	m ə l
многими	m n ɔ ɡ i m i
мною	m n ɔ j u
ногах	n ɔ ɡ a x
общих	ɔ b ɕ i x
плохие	p l ɔ x i j ɛ
полномочия	p ɔ l n ɔ m ɔ t͡ɕ i j a
получал	p ɔ l u t͡ɕ a l
попросили	p ɔ p r ɔ s i l i
прохождения	p r ɔ x ɔ ʑ d͡ʑ ɛ n i j a
рыбу	r i b u
сложные	s l ɔ ʑ n i j ɛ
соседи	s ɔ s ɛ d i
стараюсь	s t a r a j u sʲ
тока	t ɔ k a
угрозу	u ɡ r ɔ z u
ук	u k
фронте	f r ɔ n tʲ ɛ
ян	j a n
адресу	a d rʲ ɛ s u
аренды	a rʲ ɛ n d i
арсенал	a r s ɛ n a l
великобритания	ʋ ɛ l i k ɔ b r i t a n i j a
воздушных	ʋ ɔ z d u ɕ n i x
глупо	ɡ l u p ɔ
зашел	z a ɕ ɛ l
зима	z i m ɑ
колени	k ɔ lʲ ɛ n i
красную	k r a s n u j u
крепость	k rʲ ɛ p ɔ s tʲ
марка	m a r k a
механизмы	m ɛ x a n i z m i
ноябрь	n ɔ j a b rʲ
особых	ɔ s ɔ b i x
плотность	p l ɔ t n ɔ s tʲ
признания	p r i z n a n i j a
проведены	p r ɔ ʋ ɛ d ɛ n i
рассмотрение	r a s m ɔ tʰ rʲ ɛ n i j ɛ
сахара	s a x a r a
сельских	s ɛ l ɪ s k i x
скучаю	s k u t͡ɕ a j u
смены	s m ɛ n i
согласие	s ɔ ɡ l a s i j ɛ
технику	tʲ ɛ x n i k u
троих	t r ɔ j i x
украиной	u k r a j i n ɔ j
учить	u t͡ɕ i tʲ
физика	f i z i k a
че	t͡ɕ ɛ
эл	e ɮ
with	w i θ
аэс	a e s
верх	ʋ ɛ r x
веса	ʋ ɛ s ɑ
вины	ʋ i n i
выразить	ʋ i r a z i tʲ
дворце	d ʋ ɔ r t͡sʲ ɛ
дню	d nʲ u
дохода	d ɔ x ɔ d a
египте	j ɛ ɡ i p tʲ ɛ
еле	j ɛ lʲ ɛ
играла	i ɡ r a ɮ a
картин	k a r tʲ i n
кругу	k r u ɣ u
музыке	m u z i kʲ ɛ
обсуждения	ɔ b s u ʑ d͡ʑ ɛ n i j a
отчасти	ɔ t t͡ɕ a s tʲ i
перми	p ɛ r m i
поддержал	p ɔ d dʲ ɛ r ʑ a l
получат	p ɔ l u t͡ɕ a t
порту	p ɔ r t u
почта	p ɔ t͡ɕ t a
приглашение	p r i ɡ l a ɕ ɛ n i j ɛ
придумать	p r i d u m a tʲ
произойти	p r ɔ j i z ɔ j tʲ i
протокол	p r ɔ t ɔ k ɔ l
прочим	p r ɔ t͡ɕ i m
ракет	r a kʲ ɛ t
синий	s i n i j
смотря	s m ɔ t rʲ a
соседей	s ɔ s ɛ d ɛ j
сп	s p
угрозой	u ɡ r ɔ z ɔ j
уход	u x ɔ d
фу	f u
челси	t͡ɕ ɛ l s i
android	a n d r o i d
times	t i m e s
viii	v i i i
взрослые	ʋ z r ɔ s l i j ɛ
волю	ʋ ɔ lʲ u
вызывают	ʋ i z i ʋ a j u t
занятие	z a nʲ a tʲ i j ɛ
запас	z a p a s
иск	j i s k
командира	k ɔ m a n d i r a
кредита	k rʲ ɛ d i t a
минуте	m i n u tʲ ɛ
одних	ɔ d n i x
покупки	p ɔ k u p kʲ i
полезно	p ɔ lʲ ɛ z n o
помнит	p ɔ m n i t
приема	p r i j ɛ m ɑ
пропустить	p r ɔ p u s tʲ i tʲ
прямом	p rʲ a m ɔ m
прямые	p rʲ a m i j ɛ
